	kallisto_quant_sample140	kallisto_quant_sample145	kallisto_quant_sample150	kallisto_quant_sample173	kallisto_quant_sample178
XM_044316520.1	48	72	5	11	57
XM_044321295.1	0	6.11161	0	101.709	100.368
XR_003824459.2	0	0	0	0	0
XR_003827564.2	103	100.904	19	143	32.3925
XM_044323292.1	0	50.7479	0	0	0
XM_044320426.1	100.701	3.07542	13.3745	101.661	162.818
XM_044321698.1	1047.57	747.925	550.497	1379.45	1259.23
XM_044323347.1	0	0	0	0	0
XR_003825385.2	0	0	0	5	0
XM_029343044.2	261	400	293	236	245
XM_029351436.2	33.5586	7	6	47.629	58.5431
XR_006395568.1	117	25	10	21	21
XM_044309925.1	19	3	2	2	2
XM_029346833.2	514	522	404	953	776
XM_044320526.1	948.62	1663.57	687.071	1955.27	1314.45
XM_029342620.2	4.53319	0	10.8951	0	5.14025
XR_006391974.1	283.238	22.8214	197.634	528.859	202.046
XR_003822847.2	0	0	0	0	108.548
XM_029349965.2	4123	3174	2732	3378	3764
XR_006391296.1	2	0	12.9038	2	51.3613
XM_044319598.1	238.691	148.965	295.057	717.253	320.29
XR_003826440.2	19	33	42	24	66
XM_029345836.2	1867.47	1097.57	966.476	1848.4	1582.88
XR_006393669.1	102.156	7.43237	47.8077	108.764	72.7351
XM_044308362.1	0	0	0	0	0
XM_029352917.2	314	312	180	446	225
XM_044319621.1	4.16852	17.1681	22.0535	12.182	4.12347
XM_044315616.1	1188	1034	993	1641	1681
XM_029350551.2	1024.72	1047.11	353.048	971.118	698.72
XM_044320801.1	49.4086	33.4488	89.5941	91.7471	77.401
XM_029324913.2	1031.93	858.148	601.492	851.956	642.383
XM_029328568.2	2.56061	0	0	42.8916	77.1861
XR_006395542.1	188.818	1.38615	120.812	621.062	36.9389
XM_029334068.2	920.095	673.417	208.702	614.365	327.863
XM_044322586.1	1257.75	979.263	902.488	2357.91	2736.45
XM_029353111.2	14	3	28	12	61
XM_044325218.1	39.5371	0	0	0	0
XM_029343588.2	413	335	187	223	328
XM_044318918.1	36	0	19.5816	3	5
XR_006396398.1	5.0939	3.11016	5.24795	54.4954	37.3962
XR_006394769.1	0	0	9.60299	0	8.13704
XM_044309953.1	0	0	0	15.2088	3.01588
XM_029349576.2	48	64	46	88	92
XM_044317766.1	1639.55	984.571	759.166	1841.4	1315.09
XM_044312416.1	94.7592	17.4494	56.0201	22.2407	68.2431
XM_029336049.2	730.576	571.017	447.244	553.408	621.359
XM_044307806.1	0	3.43451	0	11.238	0
XM_044312079.1	0	0	0	0	0
XR_006391614.1	0	0	0	0	0
XM_044323807.1	17	31	96	75	14
XR_006394164.1	274	4	155	20	28
XR_006396523.1	54	32.0325	30.6834	68.9836	82.9017
XM_029349355.2	474	449	282	600	373
XM_044322510.1	91.0087	82.6483	37.9471	158.312	115.141
XM_029356281.2	86	0	0	0	0
XM_044311079.1	0	0	0	0	0
XM_029355858.2	23	29	7	44	96
XM_044313287.1	16.7667	20.0489	19.8033	45.297	26.8412
XM_029327940.2	247.481	57.7783	268.974	62.9533	47.4697
XM_029337133.2	219	126	52	93	154
XM_044313022.1	0	0	0	0	2
XR_006392544.1	0	0	0	0	0
XM_029349048.2	3.86351	9.48787	16.0906	34.8247	16.7315
XM_044317080.1	15.5654	0	4.4323	8.84689	235.784
XM_029343950.2	12	0	0	2	14.424
XM_044307120.1	0	0	0	0	0
XM_044320366.1	0	0.0332516	0.0108712	0.0186258	0.0313126
XM_029323586.2	2.01175	3	0	0	10
XM_029341602.2	518.928	446.815	217.826	641.535	433.29
XM_029349077.2	0	2.69513e-05	21.2533	0	5.3284e-06
XM_044307389.1	247.089	194.073	266.891	539.926	504.432
XM_029338743.2	0	61.1773	45.9427	38.4021	22.3052
XM_044315559.1	0.101081	53.5998	0	0	0
XR_006395046.1	0	0	0	0	0
XM_044326940.1	0	0	0	0	0
XM_029335879.2	879.313	810.902	413.957	561.211	613.252
XM_044324591.1	0	0	0	0	0
XM_044325692.1	203.703	150.923	12.4316	99.553	23.7513
XM_044307273.1	101.406	34.6666	95.8548	56.7702	79.0891
XM_029333564.2	577.033	439.487	202.126	493.49	402
XM_029325697.2	1720	2062	835	1280	1233
XM_044317033.1	63.4958	7.30039	1.96498	9.50849	31
XM_029348622.2	3.4004	0	0	0	3.56103
XM_044319732.1	42.3653	25.3826	6.68077	50.5803	8.95458
XM_044320715.1	51	10	41.7918	15	7.83703
XM_044321453.1	310.684	562.262	0	1.39219e-05	409.056
XM_044318325.1	5	0	0	0	0
XM_029332356.2	0	0	1.81461e-08	0	8.4072
XM_029328232.2	70	92	32	116	56
XM_044310916.1	231.692	6.5	68	60.6707	57.5394
XM_029337681.2	119	81	50	77	131
XM_044314015.1	0	0	0	2.17903	0
XM_044309605.1	0	0	0	0	0
XM_044312912.1	170.234	205.89	58.2491	116.415	301.252
XR_006394335.1	436.375	61.6587	224.684	266.617	41.0912
XM_044319071.1	785.994	914.081	458.573	1259.51	1602.1
XM_029329116.2	1351.23	1456.1	949.509	2074.98	1267.97
XR_003824147.2	732	1588	1069	1426	1141
XM_044324719.1	128.516	40.3333	120.611	223.944	106.871
XM_029344235.2	14353.4	17672.9	9525.42	11387.3	4699.49
XM_029353960.2	92	48	92	74	82
XM_029331427.2	651.025	583.853	582.687	762.325	1127.77
XR_006392405.1	4	7	17.0605	3	38.7993
XM_029329606.2	130	161	119	180	244
XR_006394333.1	0	0	0	0	4.4773
XM_044309519.1	0	0	0	0	0
XM_044307748.1	102.622	19.0496	39.0929	113.649	76.3871
XR_006396227.1	120.831	0	52.7617	0	222.611
XM_044312285.1	0	31.0703	4.90892	18.0177	7.61229e-07
XM_044308499.1	10	2	10	0	4
XM_029343893.2	562.002	40.0221	455.951	501.618	442.372
XM_044328750.1	242.295	86.7409	175.801	366.483	772.389
XM_044317253.1	1650	1313	10	1608	8
XR_006394095.1	0	0	0	0	0
XM_029323469.2	7887	5530	4448	6822	7111
XM_044328090.1	911.173	736.596	925.554	1013.59	1292.65
XM_044314696.1	0	0	0	2.44202	10.9031
XM_029337083.2	121.353	1.549e-06	60	194.41	57.0185
XR_003825649.2	51	25	45	30	94
XM_029338374.2	303	184.205	117.795	136.457	181.884
XM_044324901.1	0	0	0	0	0
XR_006397610.1	0	0	0	0	0
XR_006394691.1	54	69.564	51.5652	42	26
XM_044309120.1	21.5511	0	23.0645	0	11.2445
XM_044307402.1	374	98	39	187	17
XM_044320788.1	625.641	382.581	350.796	739.367	763.025
XM_044317096.1	2103	1819	1454	1792	2231
XM_029351347.2	546.993	288	385.618	884.818	755
XR_006393293.1	4.77686	0	0	6.91041	5
XM_044309857.1	401	403	386	220	253
XM_029351332.2	2095.42	1467.43	1344.83	1665.93	1694.9
XR_006393048.1	0	0	0	0	0
XM_029342030.2	138.817	91.69	0	235.986	90.3155
XM_044315842.1	54.4521	89.1218	66.7108	51.0835	25.311
XM_029353128.2	86	205	51	87	80
XR_003824733.2	29.3	0	52	1	166.68
XR_006392458.1	118.809	76.7097	82.8219	186.125	31.1317
XM_044312335.1	24.0467	0	8.79107	0	18.4616
XM_029345832.2	0	0	0	0	0
XM_029356109.2	716.631	371.718	359.17	390.755	583.229
XM_044320225.1	0	284.667	0	0	0
XM_029338520.2	1573.92	903.331	733.618	1255.02	1389.27
XM_044327933.1	0	0	0	6.44942	29.1866
XM_029336674.2	0	0	0	0	0
XM_044323304.1	116.441	3.98254	0	14.8921	8.2024
XM_044309289.1	19.9916	0	0	3	0
XM_044313537.1	44.0412	76.5357	200.139	311.76	211.554
XM_029352474.2	52.5423	10.1523	87.7434	10.1235	0
XM_029330443.2	418.61	378.374	172.523	386.842	452.496
XM_044325987.1	0	0	5.23455	0	20.5812
XR_006391360.1	351.754	361	226	381.366	584.543
XR_006391857.1	78.3405	15	17	5.91671	0
XM_044325031.1	14.5942	33	15.485	10.2072	13
XM_029343825.2	3775.29	348.411	1113.89	1236.05	4095.87
XM_044317122.1	10.5895	66.1902	1717.11	128.394	0
XM_044315056.1	379.013	131.436	202.18	441.008	219.672
XR_006396800.1	24.9019	40.7446	17.0505	12.8287	24.4599
XM_044316768.1	455.043	239.619	327.329	1268.23	354.125
XM_044328005.1	0	0	5	0	0
XM_029344209.2	25.5982	0	0	52.7128	12.7629
XR_003824994.2	339.92	210.265	205.259	185.625	135.124
XM_029333962.2	88.7502	0	90.6423	33.2841	114.703
XM_029328404.2	55	34	61	73	232
XM_029355529.2	410	233	135	371	348
XM_029327288.2	844.018	432.188	417.368	481.007	585.956
XM_044321796.1	3503.43	4505	2214.33	4336.91	3573.86
XM_044328920.1	34.2311	399.237	62.1217	54.2667	29.8046
XM_029328064.2	1.5	0.5	2.5	128	14
XM_044323986.1	136	152.359	0	0	0
XM_044323708.1	0	2	1.5	0	14.4622
XM_044321845.1	551.053	503.701	117.345	481.834	624.606
XM_029340173.2	441.25	454.885	285.631	669.54	271.114
XM_044318168.1	0	25.3984	75.4472	0	1.30421e-06
XM_044309113.1	706.245	216.412	507.099	303.555	371.298
XM_044320297.1	0	0	0	0	16.244
XM_029344251.2	37.8649	0	0	0	1.0292e-07
XM_029343676.2	1827	1170	952	1724	1366.97
XM_029338316.2	944.376	2366.14	577.899	1095.14	831.171
XR_006394706.1	125	40	13	142	37
XM_029338132.2	0.0294654	8.6821e-07	292.697	90.7719	0.00682195
XM_044313548.1	97.8916	32.8841	97.8215	58.3396	71.1189
XM_029333030.2	0	8	7	6	3
XR_003826362.2	303	206	265	220	235
XM_044316981.1	854.146	562.847	682.752	774.295	1078.88
XM_044318239.1	37.7123	4.92807	0	192.487	333.38
XM_029351243.2	0	0	0	0	0
XM_044325718.1	0	0	0	0	2.12725
XM_029338043.2	0	12.412	0	49.5192	37.2148
XM_044327834.1	38	45	6	24	16
XR_006393156.1	559	924.569	409.221	670.348	386.622
XM_029343961.2	528	382	281	447	345
XM_029358075.2	292	733	399	268	619
XM_044307897.1	62	30	32	13	46
XM_029333644.2	1093	783	806	947	968
XM_029328624.2	235	94	131	137	147
XM_044314839.1	0	0	0	0	5
XM_044329028.1	0	0	0	0	0
XM_044312182.1	6	0	5.14105	16	37.4262
XM_029323614.2	2619.9	1560.1	1447.76	2702.28	1434.64
XM_029342859.2	29.2252	2.6155	13.5621	0	47.609
XM_029332184.2	89	201	136	89	144
XM_029336027.2	1908	1389	1110	2031	1489
XM_044319932.1	7	0	0	1	3
XM_029357705.2	0	0	0	0	4
XR_003828511.2	22	14	10	40	40
XM_044328435.1	3914	4077	2321	4833	5231
XM_044310308.1	0	2.80362	0	31.3012	2.80407
XM_044312253.1	0	0	0	0	0
XR_006393480.1	1	64	11	48	68
XM_029352420.2	318.105	118.655	123.107	356.262	512.047
XM_044319605.1	50	55	58	33	95
XM_029339042.2	964.931	515.776	675.548	790.801	2185.54
XM_029327033.2	101.34	8.91114	70.1722	28.7319	0
XM_044314107.1	68.4043	36.8659	33.8426	6.83335	87.3682
XR_006393781.1	2.08608	1.1875	12.4407	2.12121	23.253
XM_044315639.1	0	0	0	1	0
XM_044327919.1	11.0352	0	0	15	0
XR_006394368.1	13.5271	0	4	0	17
XM_029346166.2	154	110	83	140	47
XM_044327453.1	0	6	0	5	22.6358
XM_044318834.1	0	0	0.00143046	0	0
XM_029328052.2	274.17	127.728	212.859	306.547	329.739
XM_044324921.1	0	0	9.79412e-07	0	0.000135107
XM_029343333.2	13421	14409	10170	10122	8427
XM_044320799.1	33.5564	37.7002	23.2038	74.5052	76.0782
XR_006397095.1	0	0	0	0	0
XM_044309143.1	2360	1671	1151	2269	2151
XM_029346377.2	11.8208	1	12	11	3
XM_029356960.2	371.419	140.581	177.295	252.297	196.992
XM_044322056.1	9	191	51	96	54
XR_006396453.1	0	10.9152	0	0	0
XM_044315363.1	0	0	4	0	9
XM_029355377.2	22.7549	0	0	35.0151	0
XM_029344849.2	218.299	377.962	28.4963	149.5	275.525
XM_029354723.2	0	0	0	0	0
XM_029349934.2	0	0	0	0	0
XM_044323236.1	891	641	445	888	924
XM_044323428.1	7.01073e-08	1.70146e-07	0	2.72543e-08	0
XM_044314564.1	524.336	328.431	99.5144	625.148	122.701
XM_029349453.2	13.645	0	0	0	5.6752
XM_029354732.2	1385	1350	503	366	552
XM_029338431.2	5922	4242	3082	6399	5962
XM_029346871.2	958.702	639.626	380.739	1253	990.833
XM_044315504.1	0	5.269	0	0	0
XM_029351031.2	3501	2465	2667	3658.96	3817
XM_029323856.2	0	0	0	0	0
XM_029325699.2	21.0531	1254.86	69	742.301	84.2302
XM_044328832.1	0	0	0	0	0
XM_044311070.1	18	28	3	148.662	151.445
XM_044325049.1	41	2	51	3	99
XM_044327999.1	1438.96	1249.19	844.72	1685.96	1339.02
XM_029326920.2	1473	1366	877	1420	1213
XM_044311548.1	0	0	0	1	0
XM_044311967.1	4.16715	0	0	0	1.38885
XM_044325113.1	0	0.577513	0	2	0
XR_006394279.1	0	0	0	0	0
XR_006398001.1	54	76	93	68.3752	193
XM_044327028.1	333	125	120	399	238
XR_006392155.1	0	0	0	0	0
XR_006392704.1	0	0	0	0	0
XM_044309565.1	26.7639	31.6485	63.426	38.0355	127.25
XM_044329315.1	0	3.1214	3.23028	28.5531	26.6538
XM_044326849.1	48	28	44	47	4.71973
XM_044311280.1	0	0	1.32108	0	6.46539
XM_029339540.2	1341.1	1193.56	802.71	1304.09	771.072
XM_044322099.1	1183.96	2604.91	1077.8	443.205	116.737
XM_044314373.1	30.8989	0	25.9486	0	263.091
XM_029348576.2	0	0	0	0	0
XM_044309551.1	24	0	22	3	19
XM_044313546.1	13.3563	415.075	232.261	84.3648	35.5115
XM_029337989.2	1915	1267	937	1173	809
XM_044307763.1	16.572	45.1789	21.6901	48.2537	24.6064
XM_044317724.1	87.3594	0	118.393	0.00426379	0
XM_044321149.1	0	0	0	65.1031	0
XM_029331870.2	0	0.000330625	0	0	0
XM_029331480.2	0.0131742	9.35089e-08	41.0857	44.1834	12.5071
XR_006397404.1	0	0	10.8719	0	5.25946
XM_044320237.1	0	0	0	0	0
XR_006396909.1	215	0	169.429	123.256	48.5449
XM_029330995.2	535	504	350	589	435
XM_029343299.2	452	140	236	303	219
XM_044320992.1	897.947	690.614	350.906	848.851	869.444
XM_029329658.2	128	155	66	146	157
XM_029331482.2	78.956	389.07	179.085	90.8229	508.594
XR_003825087.2	0	0	0	0	5.636
XM_044322932.1	23.5196	16.1062	11.9991	0	16.9887
XM_044323539.1	1146	620	615	642	990
XM_044322944.1	0	0	0	0	123.78
XM_044326754.1	404.838	295.199	130.101	149.051	234.683
XM_029348496.2	61	0	33	74	49
XM_044311907.1	28	13.7849	18.3741	24	9.29616
XM_029351921.2	0	0	0	0	0
XM_029326046.2	45	12	18	27	12
XR_006393019.1	40	157	36	2	135
XM_029345989.2	3881.44	3655.49	1351.3	1047.92	734.885
XM_044313452.1	10	0	0	0	0
XR_006392849.1	0	0	0	0	0
XM_029333305.2	229.099	121.465	76.0411	213.132	203.699
XM_044316659.1	502	305	201	339	562
XM_029355683.2	404	704	402	211	297
XM_044323327.1	0	0	0	0	0
XM_029337825.2	370	741	655	388	189
XR_006394101.1	144.089	77.2785	98	324	283.164
XM_029343792.2	2929.08	2085.57	1209.32	2768.73	2918.75
XM_044326897.1	13	2	3	14	82.4921
XM_044315852.1	0	0	0	0	0
XM_029327372.2	1956.25	1453.97	679.642	1132.88	685.039
XM_044328139.1	77	50.5166	0	88.2588	69
XR_006391356.1	496.941	317.218	453.369	653.2	710.754
XM_044312807.1	0	25.2085	0	0	0
XM_029351962.2	26165.2	11914.8	13168.4	20557.3	11169.5
XM_029329998.2	164.684	469.122	19.7681	1198.86	143.129
XM_029327174.2	175.858	11.3158	48.9551	226.528	153.741
XR_003827555.2	17.1291	0	0	23.1991	27.6642
XR_006391922.1	0	0	0	0	0
XR_003826937.2	29.1891	1.03558	21.0804	6.01622	77.7474
XM_044313305.1	0	0	0	0	0
XM_029343064.2	0	0	0	0	0
XM_044316968.1	76.5284	59.8537	88.9619	477.283	280.813
XR_003827628.2	0	0	2.16523	0	0
XM_044313513.1	443.705	472.711	205.293	367.325	586.618
XM_029336808.2	1512	1138	743	1063	1060
XM_044315041.1	55.7479	22.9321	31.7031	48.093	51.1101
XM_044320052.1	48.1191	22	20	23	41.7424
XM_044328595.1	113.487	15.2448	0	0	0
XM_044310407.1	95	31	96	104	359.961
XR_006397314.1	18.0222	7.29735	18	23	3
XM_044317513.1	3.28262	6.75142	1.92403	8	73.9669
XM_044319274.1	85.4203	7.42026	2.17863	6.74361	1.19905
XM_044314549.1	32.3545	20.0617	21.5708	47.4783	21.48
XM_029345837.2	74.534	48.4257	26.5236	123.603	66.1161
XM_044314985.1	0	3.87861	0	15.1018	0
XR_006391816.1	226.003	258.949	201.471	300.008	161.377
XR_006395621.1	9.22291	8.7168	12.1035	16.0982	13.8244
XM_029330056.2	65.4745	3	29	2	50
XM_029345406.2	27.3419	10.3139	8.13285	0	0
XM_044307711.1	0	0	30.5064	121.657	30.591
XM_044326468.1	8	0	13.9429	112.421	50.8686
XM_029343575.2	1.82268	453.021	9.48519e-08	12.8048	836.108
XM_029326691.2	931.268	3123.48	1431.38	4525.59	5321.38
XM_029339567.2	280	85	150	101	148
XR_006391932.1	6.24046	0	2	0	4.25557
XM_029338610.2	774	302	309.661	367.942	364.891
XM_029323531.2	45.1611	2.62042	24.6414	11.3095	22.242
XM_029357706.2	25.8383	0	0	0	0
XM_029325321.2	57.9177	130.145	91.1906	109.193	154.517
XM_044313590.1	2	5	5	1	19
XR_003827495.2	13	0	7	0	13
XR_006397845.1	0	0	0	0	3.03684e-07
XM_029335759.2	145.118	34.4817	10.0722	103.533	23.4418
XM_044317272.1	9.94968	0.578514	24.6886	19.9352	10.5807
XM_044314129.1	0	0	0	0	0
XR_006392094.1	16.6904	56.6708	0	27	14.4246
XM_029327250.2	138	124	58	127	109
XM_029358686.2	0	0	0	25.3787	0
XM_044311434.1	16.7633	0	12.9713	0	28.7103
XM_029346407.2	651	407	338	371	559
XM_029345949.2	526	176	232	402	684
XM_029339490.2	0	83.1863	0	68.615	61.5129
XM_044318093.1	15	0	13	1	34
XR_003826060.2	0	1.4	0	0	0
XM_029326882.2	30	0	6	18	11
XM_044313971.1	0	2	0	6	38
XM_044327142.1	0	0	0	0	6
XM_044328000.1	1	0	0	0	0
XR_006392274.1	0	0	0	0	0
XM_044319359.1	0	0	0	0	0
XM_029343798.2	262.975	0	51.6872	259.21	0
XM_029329452.2	3415.59	5006.68	3558.3	3922.49	3187.28
XM_044318707.1	0	0	0	0	0
XR_003824522.2	1	3	5	1	17
XM_044318731.1	3.45904	0	0	0	1.39001
XR_006393464.1	30.9891	7	9	12	84.2853
XM_029332707.2	171.632	101.25	74.7841	130.104	114.431
XM_044311388.1	21.4733	2.1393	0	10.9623	0
XR_006393442.1	17.7788	0	6.68257	0	0
XM_029336012.2	2337	1848	1286	2815	3410
XR_006392407.1	0	0	0	0	0
XM_029336832.2	1270	991	878	931	1012.05
XM_044319802.1	0	0	0.10353	0	0
XM_044321076.1	0	0	4.86129	0	0
XR_003824637.2	25.3582	29.2804	6.61024	25.5397	14.8668
XM_044314843.1	0	0	0	0	0
XM_044315965.1	187.427	182.111	122.804	263.82	183.195
XM_044311233.1	43.0373	0	4	0	1.255
XM_029350156.2	4115	4042	3100	3474	2485
XR_006394015.1	0	0	1.1956e-08	0	0
XM_029336582.2	24	61	26	47	45
XM_029349761.2	122.531	146.238	54.0589	29.4652	187.836
XM_044328556.1	1513	837	806	769	760
XM_044314213.1	44.5269	24.2627	17.9128	8.29897	57.8837
XM_044316072.1	271.066	62.7064	135.356	292.438	106.278
XM_044319300.1	2.99544e-05	0	9.51499	2.71671e-05	10.5791
XR_006395555.1	0.0718782	0	0	0.0150198	0.0337727
XM_029357976.2	38	23	15	13	10
XM_044314602.1	0	5.74172	12.5005	0	52
XM_044317389.1	198.072	60.5545	158.133	125.376	846.709
XR_006398069.1	139.539	59.3308	22.1023	37.7758	13.5331
XM_044323980.1	24	6	12.1985	9	28
XM_044327963.1	120	56	102	64	52
XM_029338724.2	21	4	12	7	87
XM_029325549.2	1219	1259.16	823	1093	1878.07
XR_006392564.1	2	55	7	45	65
XR_006392182.1	50.4681	18.3051	33.9935	78.6786	25.0848
XM_029335452.2	329.662	3.5216	143.507	6.22351	3.11005
XM_044325839.1	0	0	0	0	8.82929
XM_029345764.2	1257.45	1430.25	301.695	709.58	734.958
XM_044311582.1	44.7963	0	36.4486	44.282	5.47049
XM_044308369.1	567.326	471.471	195.171	487.422	448.436
XM_029340207.2	2425	2295	1529	2105	1276
XM_029347715.2	731.204	116.923	194.699	202.275	350.756
XM_044314475.1	0.00277777	0.00257245	35.2015	7.35805e-06	495.233
XM_029357177.2	83	62	135	181.217	68.1783
XR_006392235.1	155.746	160	35	159	154
XM_029358432.2	89.4569	191.512	27.9793	60.0496	16.1377
XM_029358190.2	280	85	136	147	361
XM_029346070.2	1274.17	1047.08	583.66	598.259	578.763
XM_029344628.2	0.00466422	0.0043504	0.027255	77.3064	148.64
XM_044317991.1	244	74	253	173	273
