"","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","PCC.cor","p_value","adjusted_p_value"
"24","Cluster_10061","lncRNA_5099",184,-23.34,"2 21","782 803",19,"84.21%","94.74%",0.579182314243636,0.606743872117253,0.98228265447747
"25","Cluster_10061","lncRNA_5528",182,-26,"2 19","246 267",17,"94.12%","94.12%",-0.375958697573632,0.75462690448882,0.98650082313936
"26","Cluster_10061","lncRNA_5529",182,-26,"2 19","246 267",17,"94.12%","94.12%",-0.366080160286949,0.76139919180639,0.986927421310358
"27","Cluster_10061","lncRNA_5529",182,-26,"2 19","6510 6531",17,"94.12%","94.12%",-0.366080160286949,0.76139919180639,0.986927421310358
"28","Cluster_10061","lncRNA_5530",182,-26,"2 19","246 267",17,"94.12%","94.12%",-0.366080160286949,0.76139919180639,0.986927421310358
"29","Cluster_10061","lncRNA_5530",182,-26,"2 19","6510 6531",17,"94.12%","94.12%",-0.366080160286949,0.76139919180639,0.986927421310358
"30","Cluster_10061","lncRNA_5531",182,-26,"2 19","11394 11415",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"31","Cluster_10061","lncRNA_5531",182,-26,"2 19","246 267",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"32","Cluster_10061","lncRNA_5531",182,-26,"2 19","6510 6531",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"33","Cluster_10061","lncRNA_5532",182,-26,"2 19","11394 11415",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"34","Cluster_10061","lncRNA_5532",182,-26,"2 19","246 267",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"35","Cluster_10061","lncRNA_5532",182,-26,"2 19","6510 6531",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"36","Cluster_10061","lncRNA_5533",182,-26,"2 19","11386 11407",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"37","Cluster_10061","lncRNA_5533",182,-26,"2 19","238 259",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"38","Cluster_10061","lncRNA_5533",182,-26,"2 19","6502 6523",17,"94.12%","94.12%",-0.276595237676131,0.821587750067782,0.994380945344954
"39","Cluster_10061","lncRNA_5679",172,-22.83,"2 17","2779 2800",15,"93.33%","93.33%",0.998126576037554,0.0389745384665604,0.98228265447747
"40","Cluster_10061","lncRNA_5806",163,-20.08,"2 16","22195 22216",14,"78.57%","100.00%",-0.442282657456272,0.708337615512385,0.98228265447747
"41","Cluster_10061","lncRNA_6548",184,-24.28,"2 21","2340 2361",19,"84.21%","94.74%",-0.426534348499165,0.719468651339057,0.983328700563865
"42","Cluster_10061","lncRNA_6877",168,-22.83,"2 17","967 988",15,"80.00%","100.00%",-0.0216761244427961,0.986199469740934,0.999683876482755
"43","Cluster_10061","lncRNA_7716",164,-20.55,"2 18","4949 4971",17,"76.47%","94.12%",-0.126665267175024,0.919145188438832,0.999683876482755
"44","Cluster_10061","lncRNA_7937",169,-21.48,"2 21","4570 4589",19,"78.95%","89.47%",-0.545541110474136,0.63264834459687,0.98228265447747
"45","Cluster_10061","lncRNA_7938",169,-21.48,"2 21","4570 4589",19,"78.95%","89.47%",-0.545541110474136,0.63264834459687,0.98228265447747
"46","Cluster_10061","lncRNA_7939",169,-21.48,"2 21","4390 4409",19,"78.95%","89.47%",-0.55199903577882,0.627730404953048,0.98228265447747
"47","Cluster_10061","lncRNA_8030",186,-26.99,"2 19","23787 23808",17,"94.12%","100.00%",-0.189510471228075,0.878619808386713,0.997605654331017
"48","Cluster_10061","lncRNA_8031",186,-26.99,"2 19","23787 23808",17,"94.12%","100.00%",-0.189005745467084,0.878947040737503,0.997647294889416
"49","Cluster_10061","lncRNA_8032",186,-26.99,"2 19","23771 23792",17,"94.12%","100.00%",-0.189510471228075,0.878619808386713,0.997605654331017
"50","Cluster_10061","lncRNA_8033",186,-26.99,"2 19","23608 23629",17,"94.12%","100.00%",-0.189948152846187,0.878336016948259,0.997527449136274
"51","Cluster_10061","lncRNA_9541",177,-23.33,"2 18","11161 11182",16,"93.75%","93.75%",-0.293691309015123,0.810232454252607,0.994248178674756
"52","Cluster_10061","lncRNA_967",166,-20.74,"2 15","3158 3179",13,"92.31%","100.00%",-0.431202318236516,0.716179038873433,0.982889724334266
"53","Cluster_10934","lncRNA_1021",156,-20.84,"2 21","14497 14518",19,"68.42%","73.68%",-0.217298795407198,0.860550804251704,0.995738694042208
"54","Cluster_10934","lncRNA_1022",156,-20.84,"2 21","6705 6726",19,"68.42%","73.68%",-0.349655607810819,0.772597199975365,0.989153194941747
"55","Cluster_10934","lncRNA_1023",156,-20.84,"2 21","6705 6726",19,"68.42%","73.68%",-0.349655607810819,0.772597199975365,0.989153194941747
"56","Cluster_10934","lncRNA_1031",167,-20.35,"2 20","55 76",18,"77.78%","83.33%",-0.0701603568227086,0.955297804085561,0.999683876482755
"57","Cluster_10934","lncRNA_1192",154,-23.52,"2 20","1984 2007",20,"65.00%","80.00%",-0.552003018303843,0.627727364389218,0.98228265447747
"58","Cluster_10934","lncRNA_136",169,-24.49,"2 19","8990 9012",18,"83.33%","88.89%",-0.523494542963912,0.649256091004132,0.98228265447747
"59","Cluster_10934","lncRNA_1382",145,-22.23,"2 21","12211 12232",20,"70.00%","70.00%",-0.1354403676137,0.913510166925331,0.999683876482755
"60","Cluster_10934","lncRNA_1731",163,-21.06,"2 20","15438 15459",18,"72.22%","83.33%",-0.427592071895906,0.718723958264457,0.983328700563865
"61","Cluster_10934","lncRNA_2496",151,-21.96,"2 21","7480 7502",20,"60.00%","80.00%",-0.434237355667651,0.714035827102674,0.982709484742132
"62","Cluster_10934","lncRNA_2619",164,-20.99,"2 19","5193 5213",17,"82.35%","88.24%",-0.468269989916155,0.689754929792581,0.98228265447747
"63","Cluster_10934","lncRNA_2880",155,-21.89,"2 21","5064 5087",21,"66.67%","76.19%",-0.321779291426822,0.791438188127103,0.992723336408144
"64","Cluster_10934","lncRNA_2880",161,-21.26,"2 20","13988 14008",18,"77.78%","83.33%",-0.321779291426822,0.791438188127103,0.992723336408144
"65","Cluster_10934","lncRNA_2947",161,-23.26,"2 21","674 693",19,"73.68%","84.21%",-0.527001726590744,0.646632260990723,0.98228265447747
"66","Cluster_10934","lncRNA_3178",164,-20.09,"2 21","14119 14140",19,"73.68%","78.95%",-0.11445892106667,0.926973139575875,0.999683876482755
"67","Cluster_10934","lncRNA_3179",164,-20.09,"2 21","13974 13995",19,"73.68%","78.95%",-0.135025824433782,0.913776520082417,0.999683876482755
"68","Cluster_10934","lncRNA_325",157,-20.61,"2 20","12374 12394",18,"72.22%","83.33%",-0.197112798192076,0.873686956838037,0.996881652284331
"69","Cluster_10934","lncRNA_328",158,-21.39,"2 15","5100 5121",13,"76.92%","100.00%",-0.881247055890296,0.313409301732875,0.98228265447747
"70","Cluster_10934","lncRNA_3437",159,-21.34,"2 21","1375 1393",19,"78.95%","84.21%",-0.45293011442166,0.700757410692956,0.98228265447747
"71","Cluster_10934","lncRNA_3845",154,-21.51,"2 21","871 891",19,"68.42%","78.95%",-0.408003475378194,0.732450246602776,0.984996512914975
"72","Cluster_10934","lncRNA_3846",177,-27.6,"2 20","454 474",18,"88.89%","94.44%",-0.167132117673678,0.893098711344048,0.999683876482755
"73","Cluster_10934","lncRNA_4061",165,-20.46,"2 20","4560 4580",18,"77.78%","88.89%",-0.214213185002493,0.862562547749578,0.995971053942317
"74","Cluster_10934","lncRNA_4104",158,-21.59,"2 20","949 971",19,"63.16%","89.47%",-0.122804387754925,0.921622449365467,0.999683876482755
"75","Cluster_10934","lncRNA_5172",156,-21.29,"2 21","954 976",22,"72.73%","77.27%",0.0753053659433671,0.952013687740599,0.999683876482755
"76","Cluster_10934","lncRNA_5284",151,-21.29,"2 18","174 194",16,"75.00%","81.25%",-0.110961063203793,0.929214226616331,0.999683876482755
"77","Cluster_10934","lncRNA_5284",151,-21.29,"2 18","3814 3834",16,"75.00%","81.25%",-0.110961063203793,0.929214226616331,0.999683876482755
"78","Cluster_10934","lncRNA_5285",151,-21.29,"2 18","172 192",16,"75.00%","81.25%",-0.13625559306284,0.912986322067789,0.999683876482755
"79","Cluster_10934","lncRNA_5288",163,-21.06,"2 20","2290 2311",18,"72.22%","83.33%",-0.52177871350333,0.650537334626411,0.98228265447747
"80","Cluster_10934","lncRNA_5392",164,-23.7,"2 19","1896 1919",19,"78.95%","89.47%",-0.54688911601314,0.631623844660972,0.98228265447747
"81","Cluster_10934","lncRNA_5880",151,-20.63,"2 19","10 29",17,"76.47%","76.47%",-0.0977235032606863,0.937687836936698,0.999683876482755
"82","Cluster_10934","lncRNA_614",163,-20.09,"2 21","1395 1417",20,"75.00%","80.00%",0.984448980227103,0.112418808825449,0.98228265447747
"83","Cluster_10934","lncRNA_6365",158,-21.52,"2 20","438 460",19,"73.68%","78.95%",-0.713130159201092,0.494553691505454,0.98228265447747
"84","Cluster_10934","lncRNA_6488",163,-21.06,"2 20","1096 1117",18,"72.22%","83.33%",-0.5932743878003,0.595669837351609,0.98228265447747
"85","Cluster_10934","lncRNA_6519",163,-21.06,"2 20","7854 7875",18,"72.22%","83.33%",0.283634347629412,0.816919619328753,0.994248178674756
"86","Cluster_10934","lncRNA_6623",170,-27.73,"2 21","1163 1183",19,"78.95%","89.47%",-0.932652619383683,0.234976009430594,0.98228265447747
"87","Cluster_10934","lncRNA_6647",159,-25.73,"2 21","2207 2231",22,"68.18%","77.27%",0.0123946052613029,0.992109147170827,0.999683876482755
"88","Cluster_10934","lncRNA_6666",170,-27.73,"2 21","1125 1145",19,"78.95%","89.47%",-0.790092519539381,0.420064906351836,0.98228265447747
"89","Cluster_10934","lncRNA_6667",170,-27.73,"2 21","1125 1145",19,"78.95%","89.47%",-0.785747740232032,0.424556799211016,0.98228265447747
"90","Cluster_10934","lncRNA_6667",170,-27.73,"2 21","4024 4044",19,"78.95%","89.47%",-0.785747740232032,0.424556799211016,0.98228265447747
"91","Cluster_10934","lncRNA_7050",165,-20.58,"2 20","4994 5014",18,"83.33%","83.33%",-0.258117212903916,0.833795850015791,0.995274073246762
"92","Cluster_10934","lncRNA_7079",173,-23.22,"2 18","6960 6981",16,"87.50%","93.75%",-0.655396205111694,0.545003342727131,0.98228265447747
"93","Cluster_10934","lncRNA_7124",165,-22.77,"2 20","1870 1890",18,"77.78%","88.89%",NA,NA,NA
"94","Cluster_10934","lncRNA_7299",154,-22.06,"2 21","6860 6880",19,"68.42%","78.95%",-0.349060765174771,0.773001354656904,0.98920974667661
"95","Cluster_10934","lncRNA_7300",154,-22.06,"2 21","4447 4467",19,"68.42%","78.95%",-0.350126496713613,0.772277195424803,0.989065743089201
"96","Cluster_10934","lncRNA_7301",154,-22.06,"2 21","4068 4088",19,"68.42%","78.95%",-0.349374873756584,0.772787951388183,0.989153331402177
"97","Cluster_10934","lncRNA_7348",142,-22.72,"2 20","11424 11451",24,"58.33%","66.67%",-0.535644712764622,0.640137279846214,0.98228265447747
"98","Cluster_10934","lncRNA_7385",154,-20.01,"2 20","48 70",19,"73.68%","73.68%",-0.628224252804513,0.567564085533412,0.98228265447747
"99","Cluster_10934","lncRNA_7527",156,-20.41,"2 20","1934 1953",18,"72.22%","83.33%",-0.239406530655959,0.846094266894815,0.995313587247997
"100","Cluster_10934","lncRNA_7611",174,-20.68,"2 20","1124 1146",19,"84.21%","89.47%",-0.0401764237955018,0.97441600836625,0.999683876482755
"101","Cluster_10934","lncRNA_8021",151,-20.25,"2 18","3411 3431",16,"75.00%","81.25%",-0.621222451067092,0.573272673523969,0.98228265447747
"102","Cluster_10934","lncRNA_8119",162,-21.28,"2 20","6367 6390",20,"75.00%","80.00%",-0.32685783306061,0.788020341121445,0.992218450055309
"103","Cluster_10934","lncRNA_8228",164,-21.09,"2 18","2192 2214",17,"82.35%","88.24%",-0.253477113549379,0.836851492206055,0.995313587247997
"104","Cluster_10934","lncRNA_8382",151,-21.29,"2 18","1726 1746",16,"75.00%","81.25%",-0.334283320774642,0.783011522756913,0.991162602703475
"105","Cluster_10934","lncRNA_8383",151,-21.29,"2 18","1726 1746",16,"75.00%","81.25%",-0.334283320774642,0.783011522756913,0.991162602703475
"106","Cluster_10934","lncRNA_8390",159,-23.91,"2 21","494 519",23,"69.57%","73.91%",-0.167260855374296,0.893015584247635,0.999683876482755
"107","Cluster_10934","lncRNA_8437",159,-26.23,"2 21","1765 1788",21,"66.67%","80.95%",-0.424913209170856,0.720609222661568,0.983498501898965
"108","Cluster_10934","lncRNA_8653",160,-23.13,"2 21","14398 14419",19,"68.42%","78.95%",-0.572502227002704,0.611945570876716,0.98228265447747
"109","Cluster_10934","lncRNA_8663",180,-22.78,"2 21","373 394",19,"84.21%","89.47%",-0.00469135921601663,0.99701337700838,0.999683876482755
"110","Cluster_10934","lncRNA_9161",161,-26.69,"2 19","1300 1322",18,"77.78%","83.33%",-0.0893916933201045,0.943015415229506,0.999683876482755
"111","Cluster_10934","lncRNA_9162",161,-26.69,"2 19","1290 1312",18,"77.78%","83.33%",-0.0893916933201045,0.943015415229506,0.999683876482755
"112","Cluster_10934","lncRNA_9625",167,-20.16,"2 20","10746 10767",18,"77.78%","83.33%",-0.392104365462496,0.743494414570371,0.985564310587514
"113","Cluster_10934","lncRNA_9678",153,-21.83,"2 21","2102 2121",19,"68.42%","78.95%",-0.677979028159296,0.525712018696154,0.98228265447747
"114","Cluster_10934","lncRNA_9725",162,-23.29,"2 21","1772 1792",19,"78.95%","78.95%",-0.603305059049597,0.587700293322606,0.98228265447747
"115","Cluster_10934","lncRNA_9751",166,-20.54,"2 20","3930 3952",19,"78.95%","84.21%",-0.364748676609991,0.762309814944955,0.987090425877267
"116","Cluster_10934","lncRNA_9940",167,-22.17,"2 18","12787 12807",16,"87.50%","93.75%",-0.161637312563502,0.896645061294546,0.999683876482755
"117","Cluster_10965","lncRNA_1124",168,-20.19,"2 21","17094 17115",19,"73.68%","84.21%",-0.93440324698971,0.231867241605727,0.98228265447747
"118","Cluster_10965","lncRNA_1344",164,-20.15,"2 21","2312 2333",19,"73.68%","78.95%",-0.845836503151118,0.358203651836377,0.98228265447747
"119","Cluster_10965","lncRNA_1538",175,-20.48,"2 21","1782 1804",20,"85.00%","85.00%",-0.63212623570425,0.564364809530547,0.98228265447747
"120","Cluster_10965","lncRNA_3239",165,-20.77,"2 18","521 542",16,"81.25%","87.50%",-0.861673047474493,0.33883383609677,0.98228265447747
"121","Cluster_10965","lncRNA_4874",158,-21.09,"2 21","10888 10908",19,"73.68%","78.95%",-0.551295950589309,0.62826704338151,0.98228265447747
"122","Cluster_10965","lncRNA_4875",158,-21.09,"2 21","10473 10493",19,"73.68%","78.95%",-0.532337750101347,0.642627292418183,0.98228265447747
"123","Cluster_10965","lncRNA_5044",151,-21.53,"2 17","1569 1593",18,"72.22%","77.78%",0.915489682565967,0.26360706176882,0.98228265447747
"124","Cluster_10965","lncRNA_6986",166,-22.2,"2 15","948 969",13,"92.31%","100.00%",-0.627306738187668,0.568314478847329,0.98228265447747
"125","Cluster_10965","lncRNA_710",153,-20.31,"2 19","6918 6943",21,"71.43%","71.43%",-0.273643111262947,0.823542569248943,0.994599295811242
"126","Cluster_10965","lncRNA_7608",166,-22.24,"2 19","7404 7425",17,"76.47%","88.24%",-0.947499299302167,0.207203120671968,0.98228265447747
"127","Cluster_10965","lncRNA_8429",165,-22.4,"2 21","124 143",19,"78.95%","84.21%",-0.832495654449164,0.373822643353074,0.98228265447747
"128","Cluster_10965","lncRNA_864",159,-21.57,"2 21","9420 9442",20,"70.00%","80.00%",-0.554507259029097,0.625813525414934,0.98228265447747
"129","Cluster_10965","lncRNA_9124",159,-23.73,"2 21","877 905",26,"65.38%","73.08%",-0.866110156485557,0.33322540699675,0.98228265447747
"130","Cluster_10965","lncRNA_990",152,-20.85,"2 21","5775 5796",19,"63.16%","73.68%",-0.467334749388915,0.690428578092083,0.98228265447747
"131","Cluster_11134","lncRNA_061",151,-20.23,"2 19","11113 11138",21,"71.43%","80.95%",-0.05073623637443,0.967686435212298,0.999683876482755
"132","Cluster_11134","lncRNA_062",151,-20.23,"2 19","11113 11138",21,"71.43%","80.95%",-0.05073623637443,0.967686435212298,0.999683876482755
"133","Cluster_11134","lncRNA_063",151,-20.23,"2 19","11108 11133",21,"71.43%","80.95%",-0.05073623637443,0.967686435212298,0.999683876482755
"134","Cluster_11134","lncRNA_064",151,-20.23,"2 19","11089 11114",21,"71.43%","80.95%",-0.05073623637443,0.967686435212298,0.999683876482755
"135","Cluster_11134","lncRNA_1029",166,-25.73,"2 21","2118 2142",22,"77.27%","81.82%",0.019708923887558,0.987452096916908,0.999683876482755
"136","Cluster_11134","lncRNA_1075",162,-20.17,"2 20","4410 4433",20,"75.00%","80.00%",-0.0199464096363768,0.987300879065658,0.999683876482755
"137","Cluster_11134","lncRNA_1075",162,-20.17,"2 20","7290 7313",20,"75.00%","80.00%",-0.0199464096363768,0.987300879065658,0.999683876482755
"138","Cluster_11134","lncRNA_1103",154,-22.06,"2 20","13735 13758",20,"65.00%","80.00%",-0.0351301319144216,0.977630860750844,0.999683876482755
"139","Cluster_11134","lncRNA_1110",158,-24.72,"2 15","784 805",13,"84.62%","92.31%",0.985879864173383,0.107109233351148,0.98228265447747
"140","Cluster_11134","lncRNA_1127",158,-20.17,"2 17","2942 2962",15,"86.67%","86.67%",-0.0499257801464328,0.96820304243826,0.999683876482755
"141","Cluster_11134","lncRNA_1136",142,-22.87,"2 11","10871 10892",9,"88.89%","88.89%",0.967452456185551,0.162869310709449,0.98228265447747
"142","Cluster_11134","lncRNA_1158",151,-20.05,"2 21","4129 4155",24,"58.33%","75.00%",-0.566749181464032,0.616401711477601,0.98228265447747
"143","Cluster_11134","lncRNA_1177",161,-20.09,"2 18","514 535",16,"81.25%","81.25%",0.319352637967145,0.793069114457891,0.992950133738488
"144","Cluster_11134","lncRNA_1191",171,-21.96,"2 16","2728 2749",14,"92.86%","100.00%",0.0194346337348142,0.98762674890588,0.999683876482755
"145","Cluster_11134","lncRNA_1422",158,-24.34,"2 21","3452 3477",23,"69.57%","78.26%",-0.0221948827671529,0.98586913844915,0.999683876482755
"146","Cluster_11134","lncRNA_1595",151,-22.45,"2 21","1849 1867",19,"73.68%","78.95%",0.175168934076796,0.887905675846647,0.999683876482755
"147","Cluster_11134","lncRNA_1596",151,-22.45,"2 21","1849 1867",19,"73.68%","78.95%",0.175168934076796,0.887905675846647,0.999683876482755
"148","Cluster_11134","lncRNA_1597",151,-22.45,"2 21","1504 1522",19,"73.68%","78.95%",0.175374985720536,0.887772436762246,0.999683876482755
"149","Cluster_11134","lncRNA_183",170,-22.55,"2 19","938 959",17,"76.47%","94.12%",-0.0195622829453675,0.987545469442176,0.999683876482755
"150","Cluster_11134","lncRNA_2013",161,-27.27,"2 20","637 663",23,"73.91%","78.26%",-0.0620854256461756,0.960449754256512,0.999683876482755
"151","Cluster_11134","lncRNA_2036",153,-21.73,"2 21","1621 1642",20,"70.00%","80.00%",0.228646096380803,0.853140279059607,0.995313587247997
"152","Cluster_11134","lncRNA_217",168,-21.72,"2 17","1356 1377",15,"86.67%","93.33%",0.259664327099424,0.832776161766383,0.995274073246762
"153","Cluster_11134","lncRNA_2200",146,-21.49,"2 20","922 947",22,"54.55%","77.27%",0.820488474071745,0.387403090967552,0.98228265447747
"154","Cluster_11134","lncRNA_2215",158,-21.19,"2 20","761 784",20,"70.00%","80.00%",0.883312400871812,0.310616056693156,0.98228265447747
"155","Cluster_11134","lncRNA_2216",158,-21.19,"2 20","761 784",20,"70.00%","80.00%",0.883312400871812,0.310616056693156,0.98228265447747
"156","Cluster_11134","lncRNA_228",163,-20.39,"2 16","397 418",14,"85.71%","92.86%",0.0267171325456131,0.982989321032624,0.999683876482755
"157","Cluster_11134","lncRNA_231",161,-20.56,"2 21","14441 14462",20,"75.00%","85.00%",0.00476707260161502,0.996965175831039,0.999683876482755
"158","Cluster_11134","lncRNA_231",161,-20.56,"2 21","4031 4052",20,"75.00%","85.00%",0.00476707260161502,0.996965175831039,0.999683876482755
"159","Cluster_11134","lncRNA_232",161,-20.56,"2 21","4088 4109",20,"75.00%","85.00%",-0.0011726725328954,0.999253453307943,0.999900152814925
"160","Cluster_11134","lncRNA_2345",149,-20.18,"2 15","1133 1155",14,"78.57%","85.71%",0.0236780192668401,0.984924695882383,0.999683876482755
"161","Cluster_11134","lncRNA_2386",158,-21.02,"2 21","673 693",19,"68.42%","84.21%",0.023865218879299,0.984805487220974,0.999683876482755
"162","Cluster_11134","lncRNA_2387",169,-22.32,"2 20","2865 2885",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"163","Cluster_11134","lncRNA_2387",169,-22.32,"2 20","7339 7359",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"164","Cluster_11134","lncRNA_2388",169,-22.32,"2 20","2865 2885",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"165","Cluster_11134","lncRNA_2388",169,-22.32,"2 20","7339 7359",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"166","Cluster_11134","lncRNA_2389",169,-22.32,"2 20","2865 2885",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"167","Cluster_11134","lncRNA_2389",169,-22.32,"2 20","7339 7359",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"168","Cluster_11134","lncRNA_2390",169,-22.32,"2 20","2865 2885",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"169","Cluster_11134","lncRNA_2390",169,-22.32,"2 20","7339 7359",18,"83.33%","88.89%",-0.0202775706787791,0.987090012746063,0.999683876482755
"170","Cluster_11134","lncRNA_244",150,-20.11,"2 21","2862 2889",25,"60.00%","76.00%",0.403183262303493,0.735807433250547,0.985158973185448
"171","Cluster_11134","lncRNA_245",150,-20.11,"2 21","2457 2484",25,"60.00%","76.00%",0.594662035258447,0.594571743238525,0.98228265447747
"172","Cluster_11134","lncRNA_2471",163,-20.19,"2 17","9164 9186",16,"87.50%","87.50%",-0.0196580183672039,0.987484510657474,0.999683876482755
"173","Cluster_11134","lncRNA_2472",163,-20.19,"2 17","8627 8649",16,"87.50%","87.50%",-0.0196598194010112,0.987483363862117,0.999683876482755
"174","Cluster_11134","lncRNA_2529",150,-21.56,"2 20","717 745",25,"64.00%","68.00%",0.342831197272411,0.777228221296419,0.989993152479089
"175","Cluster_11134","lncRNA_2556",156,-25.97,"2 21","915 936",19,"63.16%","78.95%",0.257069940897396,0.834485849280928,0.995274073246762
"176","Cluster_11134","lncRNA_257",154,-25.28,"2 21","504 528",22,"68.18%","77.27%",-0.0195622829453675,0.987545469442176,0.999683876482755
"177","Cluster_11134","lncRNA_2688",155,-22.79,"2 21","9529 9552",21,"66.67%","76.19%",-0.25595044957807,0.835223210624052,0.995274073246762
"178","Cluster_11134","lncRNA_2691",155,-22.79,"2 21","10041 10064",21,"66.67%","76.19%",-0.131121818390825,0.916284192127302,0.999683876482755
"179","Cluster_11134","lncRNA_2707",161,-20.55,"2 21","1372 1393",20,"80.00%","80.00%",0.384271739768819,0.748905150900071,0.98650082313936
"180","Cluster_11134","lncRNA_2799",162,-22.49,"2 20","1 20",19,"73.68%","84.21%",0.0934177515832311,0.940441570584057,0.999683876482755
"181","Cluster_11134","lncRNA_2848",150,-20.6,"2 16","1089 1111",15,"66.67%","93.33%",-0.833834852321873,0.372281008071436,0.98228265447747
"182","Cluster_11134","lncRNA_2848",150,-20.6,"2 16","1206 1228",15,"66.67%","93.33%",-0.833834852321873,0.372281008071436,0.98228265447747
"183","Cluster_11134","lncRNA_2848",150,-20.6,"2 16","1350 1372",15,"66.67%","93.33%",-0.833834852321873,0.372281008071436,0.98228265447747
"184","Cluster_11134","lncRNA_2848",150,-20.6,"2 16","1404 1426",15,"66.67%","93.33%",-0.833834852321873,0.372281008071436,0.98228265447747
