"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"38","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g21663.t3",0.98901770010242,0.00137929473649854,0.667107103030148,163,-21.44,"2 21","134 157",21,"71.43%","80.95%"
"39","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g1558.t1",0.95433245087432,0.0116345041667616,0.674410729954456,158,-21.36,"2 19","270 291",17,"70.59%","82.35%"
"40","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g18290.t1",-0.906573477308051,0.0337953882872725,0.74666119161036,168,-22.53,"2 22","149 172",21,"76.19%","80.95%"
"41","Cluster_1952","Pocillopora_meandrina_HIv1___RNAseq.g5133.t1",-0.903756010587006,0.0353201981475975,0.753759205726564,153,-20.32,"2 18","390 411",16,"75.00%","75.00%"
"42","Cluster_4118","Pocillopora_meandrina_HIv1___TS.g12427.t1",0.974320381559136,0.00492081150775938,0.667107103030148,179,-24.35,"2 21","426 448",20,"80.00%","95.00%"
"43","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g22440.t1",0.926132370246854,0.0238310751427333,0.69875948587476,145,-22.5,"2 10","168 189",8,"100.00%","100.00%"
"44","Cluster_5253","Pocillopora_meandrina_HIv1___TS.g6076.t1",0.984428566503815,0.00232707166309408,0.667107103030148,170,-21.49,"2 20","480 503",20,"80.00%","85.00%"
"45","Cluster_4435","Pocillopora_meandrina_HIv1___TS.g2276.t1",-0.907316772879211,0.0333967215434534,0.745127957735028,163,-23.7,"2 21","47 69",20,"70.00%","85.00%"
"46","Cluster_4438","Pocillopora_meandrina_HIv1___TS.g2276.t1",0.88307836329987,0.0471421082291253,0.78515157640125,155,-20.24,"2 21","47 69",20,"70.00%","75.00%"
"47","Cluster_390","Pocillopora_meandrina_HIv1___RNAseq.g22816.t2",-0.892591265912174,0.0415689975375253,0.766756712202997,167,-23.5,"2 21","818 841",21,"71.43%","85.71%"
"48","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g22088.t1",-0.920794623606387,0.0264385525938842,0.714140878917823,163,-21.91,"2 16","144 165",14,"85.71%","92.86%"
"49","Cluster_3661","Pocillopora_meandrina_HIv1___TS.g9480.t1",-0.9816904077195,0.00296589315169411,0.667107103030148,161,-20.5,"2 18","838 859",16,"68.75%","93.75%"
"50","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g5368.t1",0.997797300050036,0.000124057585767353,0.660096122950851,156,-20.5,"2 20","459 480",19,"73.68%","84.21%"
"51","Cluster_4754","Pocillopora_meandrina_HIv1___RNAseq.g16818.t2",0.949246788610649,0.0136205603286043,0.674410729954456,180,-21.06,"2 21","154 175",19,"84.21%","89.47%"
"52","Cluster_4439","Pocillopora_meandrina_HIv1___TS.g18078.t3",-0.952837587820546,0.0122076324666859,0.674410729954456,142,-20.52,"2 16","90 112",15,"73.33%","73.33%"
"53","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g18023.t1",-0.960310243284543,0.00943515284188585,0.667107103030148,161,-21.45,"2 20","866 886",18,"77.78%","83.33%"
"54","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g7261.t1",0.878762682144176,0.04974260568712,0.791950521264017,156,-23.19,"2 17","597 617",15,"73.33%","86.67%"
"55","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g25846.t1",0.891484471128355,0.0422059064532523,0.768952512663868,147,-20.14,"2 19","895 914",17,"64.71%","82.35%"
"56","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g26345.t1",0.922346426540244,0.0256715221765937,0.709624368216191,159,-21.04,"2 19","421 440",17,"82.35%","82.35%"
"57","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g27756.t1",-0.91263326425943,0.0305899097440405,0.733646194334662,165,-23.82,"2 22","343 365",20,"75.00%","75.00%"
"58","Cluster_3661","Pocillopora_meandrina_HIv1___TS.g25963.t1",-0.887124502196104,0.0447445494731384,0.77754346724481,152,-21.02,"2 17","338 359",15,"73.33%","80.00%"
"59","Cluster_4437","Pocillopora_meandrina_HIv1___TS.g25933.t1",-0.923994405874993,0.0248649694678377,0.704875357255742,156,-23.62,"2 18","716 739",19,"73.68%","78.95%"
"60","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g23007.t1",0.951315168814306,0.0128005069263181,0.674410729954456,150,-20.72,"2 18","7 26",16,"68.75%","87.50%"
"61","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g11119.t1",0.956099402283357,0.0109687919671976,0.670542603774792,147,-24.93,"2 21","312 337",23,"60.87%","69.57%"
"62","Cluster_3392","Pocillopora_meandrina_HIv1___RNAseq.g21081.t1",-0.895649530245634,0.0398252208363961,0.760878962620343,153,-21.56,"2 21","963 988",23,"69.57%","78.26%"
"63","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g27468.t1",-0.913776975404029,0.0299965016929092,0.730775150642326,150,-21.08,"2 11","35 55",9,"100.00%","100.00%"
"64","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g27793.t1",0.895299567906287,0.0400235567571609,0.760878962620343,156,-24.19,"2 19","298 318",17,"76.47%","82.35%"
"65","Cluster_2793","Pocillopora_meandrina_HIv1___RNAseq.g10367.t1",0.939433295590476,0.0177296181453449,0.674410729954456,169,-20.76,"2 20","265 284",18,"83.33%","88.89%"
"66","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g9583.t1",-0.895853447820001,0.0397097983597119,0.760878962620343,158,-20.7,"2 17","393 413",15,"80.00%","93.33%"
"67","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a",-0.93192955508854,0.0211002187421584,0.687095063784668,154,-20.25,"2 15","384 406",13,"76.92%","92.31%"
"68","Cluster_5253","Pocillopora_meandrina_HIv1___RNAseq.g11546.t1",0.935369740436277,0.0195313397102346,0.687095063784668,164,-21.04,"2 18","35 60",20,"80.00%","80.00%"
"69","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g16419.t1",0.973906530382202,0.00503992918544737,0.667107103030148,158,-20.2,"2 20","916 938",19,"73.68%","78.95%"
"70","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g15378.t1",0.883365219286889,0.0469708286266102,0.784629757022482,184,-33.52,"2 21","534 555",19,"89.47%","89.47%"
"71","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g15470.t2",0.935624225190174,0.0194168522090325,0.686220480630145,172,-24.55,"2 21","1 20",19,"78.95%","84.21%"
"72","Cluster_4435","Pocillopora_meandrina_HIv1___RNAseq.g807.t1",0.878677365221587,0.0497944583282044,0.792033204869851,159,-22.31,"2 17","203 225",16,"81.25%","87.50%"
"73","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g20080.t1",0.903300824014434,0.0355685565365482,0.754981681938814,161,-21.69,"2 18","101 122",16,"75.00%","87.50%"
"74","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g26469.t1",0.912014555696674,0.0309124747967184,0.735287181227197,163,-22.32,"2 16","457 478",14,"85.71%","92.86%"
"75","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g21739.t1",0.886677870981431,0.0450072510711983,0.777999714745241,149,-20.57,"2 20","786 809",20,"70.00%","75.00%"
"76","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g11181.t1",-0.93192955508854,0.0211002187421584,0.687095063784668,155,-24.36,"2 22","277 301",22,"68.18%","77.27%"
"77","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g16602.t1",-0.93192955508854,0.0211002187421585,0.687095063784668,160,-25.64,"2 22","620 646",24,"66.67%","75.00%"
"78","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g293.t1",0.946921132127116,0.0145622346520463,0.674410729954456,159,-22.69,"2 21","971 995",22,"68.18%","77.27%"
"79","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g293.t1",0.957927847162151,0.0102935712182265,0.667107103030148,146,-20.42,"2 11","820 841",9,"88.89%","100.00%"
"80","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g20424.t1",0.948259516464973,0.0140178042193317,0.674410729954456,160,-20.6,"2 13","344 365",11,"100.00%","100.00%"
"81","Cluster_4754","Pocillopora_meandrina_HIv1___RNAseq.g15523.t1",-0.921972656774879,0.0258556042857845,0.71024034880796,149,-21.09,"2 14","281 302",12,"83.33%","83.33%"
"82","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g3258.t1",-0.935139168288203,0.0196352577362406,0.687095063784668,164,-20.85,"2 21","274 295",19,"68.42%","84.21%"
"83","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g6185.t1",0.908577108315554,0.0327242133280849,0.743140785705912,155,-25.36,"2 21","735 761",24,"62.50%","75.00%"
"84","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g26465.t1",-0.880758144090649,0.0485347163548351,0.789106935480029,163,-22.32,"2 16","457 478",14,"85.71%","92.86%"
"85","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g27884.t1",0.938753280969367,0.0180271679691949,0.674563131338541,147,-22.21,"2 21","784 811",25,"60.00%","68.00%"
"86","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g21320.t1",-0.891992812781147,0.0419129972573029,0.767758624992504,155,-21.34,"2 22","630 651",20,"65.00%","80.00%"
"87","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g1987.t1",-0.898459659089308,0.0382440601663555,0.760878962620343,161,-21.93,"2 22","89 111",20,"60.00%","85.00%"
"88","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g1040.t1",0.927782650498653,0.023042779390023,0.69875948587476,167,-20.16,"2 21","362 384",20,"75.00%","85.00%"
"89","Cluster_4039","Pocillopora_meandrina_HIv1___TS.g2795.t1",0.945855856746705,0.0150003756458593,0.674410729954456,176,-21.18,"2 21","753 774",19,"78.95%","89.47%"
"90","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g13783.t1",-0.89208898995242,0.0418576524347325,0.767524380043095,163,-20.03,"2 21","377 399",20,"70.00%","85.00%"
"91","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g22875.t1",-0.969434363395785,0.00638532169500294,0.667107103030148,147,-20.28,"2 19","811 832",18,"66.67%","83.33%"
"92","Cluster_1952","Pocillopora_meandrina_HIv1___RNAseq.8567_t",0.903752805571931,0.0353219449190278,0.753761282147969,154,-20.25,"2 21","367 393",24,"62.50%","79.17%"
"93","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g4243.t1",-0.946607718175211,0.0146906999869563,0.674410729954456,166,-22.72,"2 20","263 284",19,"78.95%","84.21%"
"94","Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g11161.t1",-0.880732503165602,0.0485501776728131,0.789171442696661,163,-21.77,"2 21","138 161",21,"71.43%","80.95%"
"95","Cluster_2837","Pocillopora_meandrina_HIv1___RNAseq.g2284.t1",0.960253555050914,0.0094552927059897,0.667107103030148,162,-22.28,"2 21","818 838",19,"73.68%","84.21%"
"96","Cluster_2839","Pocillopora_meandrina_HIv1___RNAseq.g16451.t1",-0.936247009323366,0.0191375971948666,0.683219116162646,160,-20.11,"2 21","470 491",19,"68.42%","78.95%"
"97","Cluster_1015","Pocillopora_meandrina_HIv1___TS.g7132.t1",-0.948802331237265,0.0137989332887636,0.674410729954456,150,-21.49,"2 17","546 570",18,"77.78%","77.78%"
"98","Cluster_3392","Pocillopora_meandrina_HIv1___RNAseq.g514.t1",-0.945171362326139,0.0152841286265934,0.674410729954456,176,-23.91,"2 21","119 140",19,"78.95%","89.47%"
"99","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g14976.t1",0.958424115123168,0.0101127437370825,0.667107103030148,161,-20.11,"2 20","677 697",18,"77.78%","83.33%"
"100","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g6117.t1",0.939181928539767,0.0178394197910354,0.674410729954456,174,-25.37,"2 21","80 103",21,"85.71%","85.71%"
"101","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g8464.t2",0.90899480722513,0.0325023002881072,0.742103556687102,160,-22.02,"2 21","737 758",19,"73.68%","73.68%"
"102","Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g8464.t2",0.90899480722513,0.0325023002881072,0.742103556687102,162,-22.75,"2 20","582 604",19,"73.68%","84.21%"
"103","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g23266.t1",-0.987634431609452,0.00164758487769132,0.667107103030148,155,-22.24,"2 21","19 41",20,"65.00%","80.00%"
"104","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g23266.t1",-0.987634431609452,0.00164758487769132,0.667107103030148,155,-22.24,"2 21","198 220",20,"65.00%","80.00%"
"105","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g23266.t1",-0.987634431609452,0.00164758487769132,0.667107103030148,164,-22.56,"2 21","387 408",19,"68.42%","84.21%"
"106","Cluster_2859","Pocillopora_meandrina_HIv1___RNAseq.g21229.t1",0.920182373484542,0.0267431733841908,0.715327318703217,177,-25.38,"2 21","161 182",20,"90.00%","90.00%"
"107","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g18163.t1",-0.935740552616411,0.0193645916291576,0.685682299415548,156,-21.87,"2 18","674 698",18,"72.22%","83.33%"
"108","Cluster_3661","Pocillopora_meandrina_HIv1___RNAseq.g13279.t1",-0.927751865060303,0.0230574062064462,0.69875948587476,151,-21.29,"2 21","1 22",21,"66.67%","71.43%"
"109","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g17978.t1",0.939598045412279,0.0176577720586157,0.674410729954456,155,-21.89,"2 21","597 619",20,"65.00%","80.00%"
"110","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.9756_t",-0.892276109883152,0.0417500415514484,0.767292921933455,164,-22.63,"2 22","27 51",22,"68.18%","81.82%"
"111","Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g23639.t1",0.951038072851883,0.0129094005304718,0.674410729954456,154,-20.33,"2 15","128 149",13,"84.62%","84.62%"
"112","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g1033.t1",-0.898686203596977,0.0381174833376206,0.760878962620343,160,-24.78,"2 21","532 553",19,"68.42%","78.95%"
"113","Cluster_390","Pocillopora_meandrina_HIv1___RNAseq.g26196.t1",-0.924419052926529,0.0246584888615494,0.703848759973581,164,-21.62,"2 21","485 506",19,"73.68%","78.95%"
"114","Cluster_1793","Pocillopora_meandrina_HIv1___RNAseq.g26385.t1",-0.932581359475561,0.0207999595040796,0.687095063784668,165,-21.95,"2 20","905 924",18,"77.78%","88.89%"
"115","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g12113.t1",-0.961649905018013,0.00896332937875876,0.667107103030148,170,-20.93,"2 21","413 437",22,"81.82%","81.82%"
"116","Cluster_4435","Pocillopora_meandrina_HIv1___RNAseq.g24301.t1",-0.931343353347997,0.0213714450750241,0.6895528601817,151,-25.33,"2 21","866 888",20,"60.00%","80.00%"
"117","Cluster_4435","Pocillopora_meandrina_HIv1___RNAseq.g12193.t1",0.917070951224755,0.028308475556824,0.72314456996447,167,-21.18,"2 17","736 759",17,"88.24%","88.24%"
"118","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g9971.t1",-0.93192955508854,0.0211002187421584,0.687095063784668,156,-21.02,"2 19","635 656",17,"76.47%","82.35%"
"119","Cluster_1953","Pocillopora_meandrina_HIv1___RNAseq.g28314.t1",-0.940898040969052,0.0170941935745587,0.674410729954456,157,-21.24,"2 14","451 472",12,"83.33%","100.00%"
"120","Cluster_4438","Pocillopora_meandrina_HIv1___RNAseq.g8061.t1",-0.949659786805903,0.0134554931121749,0.674410729954456,153,-20.87,"2 16","599 619",14,"78.57%","92.86%"
"121","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g9784.t1",-0.929463219277509,0.0222488777126951,0.695908736967838,153,-22.1,"2 22","374 396",20,"60.00%","75.00%"
"122","Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g23603.t1",-0.940886427046843,0.0170992021245742,0.674410729954456,165,-21.39,"2 20","732 756",21,"80.95%","80.95%"
"123","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g8655.t1",0.900450979113626,0.037136051127394,0.760647528719935,163,-23.04,"2 21","746 768",20,"70.00%","85.00%"
"124","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g21350.t1",-0.952334774932161,0.0124024255620583,0.674410729954456,144,-20.31,"2 13","824 845",11,"81.82%","81.82%"
"125","Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g29280.t1",-0.897917385901229,0.0385475863417799,0.760878962620343,162,-25.08,"2 21","154 174",19,"78.95%","78.95%"
"126","Cluster_4118","Pocillopora_meandrina_HIv1___RNAseq.g24014.t1",0.974439078996969,0.00488682092941106,0.667107103030148,167,-21.22,"2 17","639 661",16,"87.50%","93.75%"
"127","Cluster_2839","Pocillopora_meandrina_HIv1___TS.g177.t1",-0.913606896832881,0.0300845095403174,0.731324921781178,150,-21.62,"2 11","788 809",9,"100.00%","100.00%"
"128","Cluster_2973","Pocillopora_meandrina_HIv1___TS.g7248.t1",0.951315168814306,0.0128005069263182,0.674410729954456,161,-21.64,"2 20","771 791",18,"77.78%","83.33%"
"129","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g490.t1",0.959831636100303,0.00960563113758648,0.667107103030148,161,-21.64,"2 20","807 827",18,"77.78%","83.33%"
"130","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g26433.t2",-0.905663140405421,0.0342857055424146,0.749207295199606,148,-20.52,"2 20","36 58",20,"70.00%","75.00%"
"131","Cluster_4435","Pocillopora_meandrina_HIv1___RNAseq.g27393.t1",0.95031722900213,0.0131940857571431,0.674410729954456,154,-21.14,"2 21","335 355",19,"68.42%","78.95%"
"132","Cluster_5612","Pocillopora_meandrina_HIv1___TS.g19078.t1",0.879490561552806,0.0493009206174947,0.79092910855796,149,-22.53,"2 20","145 161",18,"77.78%","77.78%"
"133","Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g14695.t1",-0.971309164464342,0.0058085902510096,0.667107103030148,152,-24.96,"2 18","253 277",18,"72.22%","77.78%"
"134","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g11538.t1",0.944276647979206,0.015657628567809,0.674410729954456,165,-24.67,"2 19","924 946",18,"77.78%","88.89%"
"135","Cluster_4118","Pocillopora_meandrina_HIv1___RNAseq.g13302.t1",-0.969770316734251,0.00628065756643089,0.667107103030148,161,-20.9,"2 21","469 488",19,"73.68%","84.21%"
"136","Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g13379.t1",0.903490921042001,0.0354647683728416,0.754429488108347,171,-21.97,"2 21","455 477",20,"75.00%","90.00%"
"137","Cluster_1296","Pocillopora_meandrina_HIv1___RNAseq.g3681.t1",-0.941449087059813,0.0168571020246148,0.674410729954456,142,-20.5,"2 21","209 235",24,"62.50%","66.67%"
"138","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g15954.t1",0.951315168814306,0.0128005069263181,0.674410729954456,149,-20.94,"2 20","60 80",18,"61.11%","83.33%"
"139","Cluster_1015","Pocillopora_meandrina_HIv1___RNAseq.g26877.t1",-0.883505959496494,0.0468868658722427,0.784401463681321,155,-20.75,"2 16","269 290",14,"71.43%","92.86%"
"140","Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g12008.t1",-0.979171224688622,0.00359722763403827,0.667107103030148,161,-20.15,"2 18","904 925",16,"75.00%","87.50%"
"141","Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g29818.t1",-0.93013375629618,0.021934637580321,0.69373422798665,166,-20.2,"2 19","601 622",17,"82.35%","82.35%"
"142","Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g30359.t1",0.943620156036596,0.0159335435147672,0.674410729954456,153,-20.76,"2 19","24 47",20,"65.00%","80.00%"
"143","Cluster_925","Pocillopora_meandrina_HIv1___RNAseq.g12090.t1",0.940344476792694,0.017333449974406,0.674410729954456,162,-20.59,"2 21","706 726",19,"78.95%","78.95%"
"144","Cluster_4435","Pocillopora_meandrina_HIv1___RNAseq.g5747.t1",0.973469289464183,0.00516679556528156,0.667107103030148,153,-21.26,"2 18","619 637",16,"81.25%","81.25%"
