species,miRNA_id,chr,start,end,strand,genomic_class,host_gene_id
Peve,Cluster_13502,Porites_evermani_scaffold_2259,40195,40285,+,intergenic,
Peve,Cluster_14500,Porites_evermani_scaffold_2738,56836,56926,+,intragenic,gene-Peve_00020407
Peve,Cluster_14999,Porites_evermani_scaffold_3072,29428,29521,+,intergenic,
Peve,Cluster_15726,Porites_evermani_scaffold_3707,36102,36199,-,intergenic,
Peve,Cluster_15890,Porites_evermani_scaffold_3893,3797,3890,-,intergenic,
Peve,Cluster_16498,Porites_evermani_scaffold_5010,12339,12433,+,intragenic,gene-Peve_00033704
Peve,Cluster_16738,Porites_evermani_scaffold_6219,6499,6590,-,intergenic,
Ptuh,Cluster_21,Pocillopora_meandrina_HIv1___Sc0000000,818027,818120,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g21001.t1
Ptuh,Cluster_36,Pocillopora_meandrina_HIv1___Sc0000000,2872019,2872110,+,intergenic,
Ptuh,Cluster_360,Pocillopora_meandrina_HIv1___Sc0000000,20372416,20372510,-,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g27446.t1
Ptuh,Cluster_390,Pocillopora_meandrina_HIv1___Sc0000001,1459402,1459496,+,intergenic,
Ptuh,Cluster_757,Pocillopora_meandrina_HIv1___Sc0000001,19145766,19145858,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g20307.t1b
Ptuh,Cluster_925,Pocillopora_meandrina_HIv1___Sc0000002,3841944,3842042,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g6748.t1
Ptuh,Cluster_1015,Pocillopora_meandrina_HIv1___Sc0000002,10845722,10845816,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g7273.t1
Ptuh,Cluster_1068,Pocillopora_meandrina_HIv1___Sc0000002,15749261,15749351,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g7731.t1
Ptuh,Cluster_1080,Pocillopora_meandrina_HIv1___Sc0000002,16106559,16106650,+,intergenic,
Ptuh,Cluster_1116,Pocillopora_meandrina_HIv1___Sc0000003,495066,495158,+,intergenic,
Ptuh,Cluster_1289,Pocillopora_meandrina_HIv1___Sc0000003,10129512,10129606,-,intergenic,
Ptuh,Cluster_1296,Pocillopora_meandrina_HIv1___Sc0000003,10366033,10366130,+,intergenic,
Ptuh,Cluster_1793,Pocillopora_meandrina_HIv1___Sc0000005,601572,601666,+,intergenic,
Ptuh,Cluster_1938,Pocillopora_meandrina_HIv1___Sc0000005,10385497,10385597,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g23713.t1
Ptuh,Cluster_1952,Pocillopora_meandrina_HIv1___Sc0000005,11260734,11260823,+,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g16681.t2
Ptuh,Cluster_1953,Pocillopora_meandrina_HIv1___Sc0000005,11261356,11261449,+,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g16681.t2
Ptuh,Cluster_2793,Pocillopora_meandrina_HIv1___Sc0000008,1783802,1783891,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g1769.t1
Ptuh,Cluster_2837,Pocillopora_meandrina_HIv1___Sc0000008,3576420,3576514,+,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g4480.t1
Ptuh,Cluster_2839,Pocillopora_meandrina_HIv1___Sc0000008,3619341,3619435,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g1976.t1
Ptuh,Cluster_2859,Pocillopora_meandrina_HIv1___Sc0000008,5387738,5387830,-,intergenic,
Ptuh,Cluster_2973,Pocillopora_meandrina_HIv1___Sc0000009,3894900,3894992,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g14376.t1
Ptuh,Cluster_3392,Pocillopora_meandrina_HIv1___Sc0000010,8012916,8013008,+,intergenic,
Ptuh,Cluster_3661,Pocillopora_meandrina_HIv1___Sc0000012,6455183,6455276,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g9990.t1
Ptuh,Cluster_4039,Pocillopora_meandrina_HIv1___Sc0000014,2366038,2366132,-,intergenic,
Ptuh,Cluster_4040,Pocillopora_meandrina_HIv1___Sc0000014,2594743,2594833,+,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g18816.t1a
Ptuh,Cluster_4118,Pocillopora_meandrina_HIv1___Sc0000014,9365459,9365552,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g26655.t1
Ptuh,Cluster_4435,Pocillopora_meandrina_HIv1___Sc0000016,7549557,7549654,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b
Ptuh,Cluster_4437,Pocillopora_meandrina_HIv1___Sc0000016,7550593,7550685,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b
Ptuh,Cluster_4438,Pocillopora_meandrina_HIv1___Sc0000016,7553282,7553379,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b
Ptuh,Cluster_4439,Pocillopora_meandrina_HIv1___Sc0000016,7555639,7555733,+,intergenic,
Ptuh,Cluster_4572,Pocillopora_meandrina_HIv1___Sc0000017,5050908,5051000,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g29326.t1
Ptuh,Cluster_4754,Pocillopora_meandrina_HIv1___Sc0000018,4564884,4564976,+,intergenic,
Ptuh,Cluster_4823,Pocillopora_meandrina_HIv1___Sc0000018,6855499,6855592,+,intragenic,gene-Pocillopora_meandrina_HIv1___TS.g8477.t1a
Ptuh,Cluster_5253,Pocillopora_meandrina_HIv1___Sc0000021,4351817,4351909,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g10955.t1
Ptuh,Cluster_5612,Pocillopora_meandrina_HIv1___Sc0000024,4808666,4808760,+,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g14877.t1
Ptuh,Cluster_5740,Pocillopora_meandrina_HIv1___Sc0000026,1154719,1154813,-,intragenic,gene-Pocillopora_meandrina_HIv1___RNAseq.g11916.t1
Ptuh,Cluster_6382,Pocillopora_meandrina_HIv1___Sc0000035,1989820,1989912,+,intergenic,
