species,feature_type,feature_id,genomic_class,host_gene_id,chr,promoter_start,promoter_end,strand
Apul,lncRNA,lncRNA_026,lncRNA,,ntLink_4,196091,197990,+
Apul,lncRNA,lncRNA_027,lncRNA,,ntLink_4,196092,197991,+
Apul,lncRNA,lncRNA_028,lncRNA,,ntLink_4,204212,206111,+
Apul,lncRNA,lncRNA_029,lncRNA,,ntLink_4,204212,206111,+
Apul,lncRNA,lncRNA_030,lncRNA,,ntLink_4,208261,210160,+
Apul,lncRNA,lncRNA_031,lncRNA,,ntLink_4,208261,210160,+
Apul,lncRNA,lncRNA_032,lncRNA,,ntLink_4,208275,210174,+
Apul,lncRNA,lncRNA_033,lncRNA,,ntLink_4,208307,210206,+
Apul,lncRNA,lncRNA_034,lncRNA,,ntLink_4,230299,232198,+
Apul,lncRNA,lncRNA_035,lncRNA,,ntLink_4,233379,235278,+
Apul,lncRNA,lncRNA_036,lncRNA,,ntLink_4,233379,235278,+
Apul,lncRNA,lncRNA_037,lncRNA,,ntLink_4,233379,235278,+
Apul,lncRNA,lncRNA_038,lncRNA,,ntLink_4,77323,79222,+
Apul,lncRNA,lncRNA_039,lncRNA,,ntLink_4,278332,280231,+
Apul,lncRNA,lncRNA_040,lncRNA,,ntLink_4,282392,284291,+
Apul,lncRNA,lncRNA_041,lncRNA,,ntLink_4,286458,288357,+
Apul,lncRNA,lncRNA_042,lncRNA,,ntLink_4,291508,293407,+
Apul,lncRNA,lncRNA_043,lncRNA,,ntLink_4,294592,296491,+
Apul,lncRNA,lncRNA_044,lncRNA,,ntLink_4,136910,138809,+
Apul,lncRNA,lncRNA_045,lncRNA,,ntLink_4,153301,155200,+
Apul,lncRNA,lncRNA_046,lncRNA,,ntLink_6,163788,165687,+
Apul,lncRNA,lncRNA_047,lncRNA,,ntLink_6,189852,191751,+
Apul,lncRNA,lncRNA_048,lncRNA,,ntLink_6,189853,191752,+
Apul,lncRNA,lncRNA_049,lncRNA,,ntLink_6,885524,887423,+
Apul,lncRNA,lncRNA_050,lncRNA,,ntLink_6,926134,928033,+
Apul,lncRNA,lncRNA_051,lncRNA,,ntLink_6,1000465,1002364,+
Apul,lncRNA,lncRNA_052,lncRNA,,ntLink_6,1013445,1015344,+
Apul,lncRNA,lncRNA_053,lncRNA,,ntLink_6,1167856,1169755,+
Apul,lncRNA,lncRNA_054,lncRNA,,ntLink_6,1236882,1238781,+
Apul,lncRNA,lncRNA_055,lncRNA,,ntLink_6,1296781,1298680,+
Apul,lncRNA,lncRNA_056,lncRNA,,ntLink_6,1555197,1557096,+
Apul,lncRNA,lncRNA_057,lncRNA,,ntLink_6,1729839,1731738,+
Apul,lncRNA,lncRNA_058,lncRNA,,ntLink_6,1758535,1760434,+
Apul,lncRNA,lncRNA_059,lncRNA,,ntLink_6,1759999,1761898,+
Apul,lncRNA,lncRNA_060,lncRNA,,ntLink_6,1806162,1808061,+
Apul,lncRNA,lncRNA_061,lncRNA,,ntLink_6,1808684,1810583,+
Apul,lncRNA,lncRNA_062,lncRNA,,ntLink_6,2320548,2322447,+
Apul,lncRNA,lncRNA_063,lncRNA,,ntLink_6,2342947,2344846,+
Apul,lncRNA,lncRNA_064,lncRNA,,ntLink_6,2342947,2344846,+
Apul,lncRNA,lncRNA_065,lncRNA,,ntLink_6,3019794,3021693,+
Apul,lncRNA,lncRNA_066,lncRNA,,ntLink_6,3103105,3105004,+
Apul,lncRNA,lncRNA_067,lncRNA,,ntLink_6,3151810,3153709,+
Apul,lncRNA,lncRNA_068,lncRNA,,ntLink_6,3151810,3153709,+
Apul,lncRNA,lncRNA_069,lncRNA,,ntLink_6,3152820,3154719,+
Apul,lncRNA,lncRNA_070,lncRNA,,ntLink_6,3157618,3159517,+
Apul,lncRNA,lncRNA_071,lncRNA,,ntLink_6,3302135,3304034,+
Apul,lncRNA,lncRNA_072,lncRNA,,ntLink_6,3332159,3334058,+
Apul,lncRNA,lncRNA_073,lncRNA,,ntLink_6,3402292,3404191,+
Apul,lncRNA,lncRNA_074,lncRNA,,ntLink_6,3722075,3723974,+
Apul,lncRNA,lncRNA_075,lncRNA,,ntLink_6,3726862,3728761,+
Apul,lncRNA,lncRNA_076,lncRNA,,ntLink_6,3731221,3733120,+
Apul,lncRNA,lncRNA_077,lncRNA,,ntLink_6,3900956,3902855,+
Apul,lncRNA,lncRNA_078,lncRNA,,ntLink_6,4199105,4201004,+
Apul,lncRNA,lncRNA_079,lncRNA,,ntLink_6,4642442,4644341,+
Apul,lncRNA,lncRNA_080,lncRNA,,ntLink_6,4642736,4644635,+
Apul,lncRNA,lncRNA_081,lncRNA,,ntLink_6,4772794,4774693,+
Apul,lncRNA,lncRNA_082,lncRNA,,ntLink_6,4874997,4876896,+
Apul,lncRNA,lncRNA_083,lncRNA,,ntLink_6,4933224,4935123,+
Apul,lncRNA,lncRNA_084,lncRNA,,ntLink_6,4933633,4935532,+
Apul,lncRNA,lncRNA_085,lncRNA,,ntLink_6,4939307,4941206,+
Apul,lncRNA,lncRNA_086,lncRNA,,ntLink_6,4981766,4983665,+
Apul,lncRNA,lncRNA_087,lncRNA,,ntLink_6,5054796,5056695,+
Apul,lncRNA,lncRNA_088,lncRNA,,ntLink_6,5263079,5264978,+
Apul,lncRNA,lncRNA_089,lncRNA,,ntLink_6,5510545,5512444,+
Apul,lncRNA,lncRNA_090,lncRNA,,ntLink_6,5537645,5539544,+
Apul,lncRNA,lncRNA_091,lncRNA,,ntLink_6,5542581,5544480,+
Apul,lncRNA,lncRNA_092,lncRNA,,ntLink_6,5542618,5544517,+
Apul,lncRNA,lncRNA_093,lncRNA,,ntLink_6,5945009,5946908,+
Apul,lncRNA,lncRNA_094,lncRNA,,ntLink_6,6011091,6012990,+
Apul,lncRNA,lncRNA_095,lncRNA,,ntLink_6,6081489,6083388,+
Apul,lncRNA,lncRNA_096,lncRNA,,ntLink_6,6093580,6095479,+
Apul,lncRNA,lncRNA_097,lncRNA,,ntLink_6,6117157,6119056,+
Apul,lncRNA,lncRNA_098,lncRNA,,ntLink_6,6137704,6139603,+
Apul,lncRNA,lncRNA_099,lncRNA,,ntLink_6,6257750,6259649,+
Apul,lncRNA,lncRNA_100,lncRNA,,ntLink_6,6260271,6262170,+
Apul,lncRNA,lncRNA_101,lncRNA,,ntLink_6,6294999,6296898,+
Apul,lncRNA,lncRNA_102,lncRNA,,ntLink_6,6399629,6401528,+
Apul,lncRNA,lncRNA_103,lncRNA,,ntLink_6,6404154,6406053,+
Apul,lncRNA,lncRNA_104,lncRNA,,ntLink_6,6405819,6407718,+
Apul,lncRNA,lncRNA_105,lncRNA,,ntLink_6,6974770,6976669,+
Apul,lncRNA,lncRNA_106,lncRNA,,ntLink_6,7049758,7051657,+
Apul,lncRNA,lncRNA_107,lncRNA,,ntLink_6,7083224,7085123,+
Apul,lncRNA,lncRNA_108,lncRNA,,ntLink_6,7094166,7096065,+
Apul,lncRNA,lncRNA_109,lncRNA,,ntLink_6,7120092,7121991,+
Apul,lncRNA,lncRNA_110,lncRNA,,ntLink_6,7158981,7160880,+
Apul,lncRNA,lncRNA_111,lncRNA,,ntLink_6,7181560,7183459,+
Apul,lncRNA,lncRNA_112,lncRNA,,ntLink_6,7350872,7352771,+
Apul,lncRNA,lncRNA_113,lncRNA,,ntLink_6,7403145,7405044,+
Apul,lncRNA,lncRNA_114,lncRNA,,ntLink_6,7430618,7432517,+
Apul,lncRNA,lncRNA_115,lncRNA,,ntLink_6,7464224,7466123,+
Apul,lncRNA,lncRNA_116,lncRNA,,ntLink_6,7464224,7466123,+
Apul,lncRNA,lncRNA_117,lncRNA,,ntLink_6,7489232,7491131,+
Apul,lncRNA,lncRNA_118,lncRNA,,ntLink_6,7489284,7491183,+
Apul,lncRNA,lncRNA_119,lncRNA,,ntLink_6,7489749,7491648,+
Apul,lncRNA,lncRNA_120,lncRNA,,ntLink_6,7530237,7532136,+
Apul,lncRNA,lncRNA_121,lncRNA,,ntLink_6,7533221,7535120,+
Apul,lncRNA,lncRNA_122,lncRNA,,ntLink_6,7542313,7544212,+
Apul,lncRNA,lncRNA_123,lncRNA,,ntLink_6,7542470,7544369,+
Apul,lncRNA,lncRNA_124,lncRNA,,ntLink_6,7542716,7544615,+
Apul,lncRNA,lncRNA_125,lncRNA,,ntLink_6,7547193,7549092,+
Apul,lncRNA,lncRNA_126,lncRNA,,ntLink_6,7547193,7549092,+
Apul,lncRNA,lncRNA_127,lncRNA,,ntLink_6,7980928,7982827,+
Apul,lncRNA,lncRNA_128,lncRNA,,ntLink_6,7957433,7959332,+
Apul,lncRNA,lncRNA_129,lncRNA,,ntLink_6,7984481,7986380,+
Apul,lncRNA,lncRNA_130,lncRNA,,ntLink_6,7993341,7995240,+
Apul,lncRNA,lncRNA_131,lncRNA,,ntLink_6,7998555,8000454,+
Apul,lncRNA,lncRNA_132,lncRNA,,ntLink_6,7998555,8000454,+
Apul,lncRNA,lncRNA_133,lncRNA,,ntLink_6,7998555,8000454,+
Apul,lncRNA,lncRNA_134,lncRNA,,ntLink_6,8002003,8003902,+
Apul,lncRNA,lncRNA_135,lncRNA,,ntLink_6,8092859,8094758,+
Apul,lncRNA,lncRNA_136,lncRNA,,ntLink_6,8096591,8098490,+
Apul,lncRNA,lncRNA_137,lncRNA,,ntLink_6,8499044,8500943,+
Apul,lncRNA,lncRNA_138,lncRNA,,ntLink_6,8610030,8611929,+
Apul,lncRNA,lncRNA_139,lncRNA,,ntLink_6,8848249,8850148,+
Apul,lncRNA,lncRNA_140,lncRNA,,ntLink_6,8859591,8861490,+
Apul,lncRNA,lncRNA_141,lncRNA,,ntLink_6,8924794,8926693,+
Apul,lncRNA,lncRNA_142,lncRNA,,ntLink_6,8958238,8960137,+
Apul,lncRNA,lncRNA_143,lncRNA,,ntLink_6,9214975,9216874,+
Apul,lncRNA,lncRNA_144,lncRNA,,ntLink_6,9214990,9216889,+
Apul,lncRNA,lncRNA_145,lncRNA,,ntLink_6,9483342,9485241,+
Apul,lncRNA,lncRNA_146,lncRNA,,ntLink_6,9519833,9521732,+
Apul,lncRNA,lncRNA_147,lncRNA,,ntLink_6,9558280,9560179,+
Apul,lncRNA,lncRNA_148,lncRNA,,ntLink_6,9558286,9560185,+
Apul,lncRNA,lncRNA_149,lncRNA,,ntLink_6,9558493,9560392,+
Apul,lncRNA,lncRNA_150,lncRNA,,ntLink_6,9558493,9560392,+
Apul,lncRNA,lncRNA_151,lncRNA,,ntLink_6,9558495,9560394,+
Apul,lncRNA,lncRNA_152,lncRNA,,ntLink_6,9558495,9560394,+
Apul,lncRNA,lncRNA_153,lncRNA,,ntLink_6,9558506,9560405,+
Apul,lncRNA,lncRNA_154,lncRNA,,ntLink_6,9558506,9560405,+
Apul,lncRNA,lncRNA_155,lncRNA,,ntLink_6,9837727,9839626,+
Apul,lncRNA,lncRNA_156,lncRNA,,ntLink_6,9983685,9985584,+
Apul,lncRNA,lncRNA_157,lncRNA,,ntLink_6,10037843,10039742,+
Apul,lncRNA,lncRNA_158,lncRNA,,ntLink_6,10037866,10039765,+
Apul,lncRNA,lncRNA_159,lncRNA,,ntLink_6,10062676,10064575,+
Apul,lncRNA,lncRNA_160,lncRNA,,ntLink_6,10141068,10142967,+
Apul,lncRNA,lncRNA_161,lncRNA,,ntLink_6,10141133,10143032,+
Apul,lncRNA,lncRNA_162,lncRNA,,ntLink_6,10505305,10507204,+
Apul,lncRNA,lncRNA_163,lncRNA,,ntLink_6,10650013,10651912,+
Apul,lncRNA,lncRNA_164,lncRNA,,ntLink_6,10734155,10736054,+
Apul,lncRNA,lncRNA_165,lncRNA,,ntLink_6,10734155,10736054,+
Apul,lncRNA,lncRNA_166,lncRNA,,ntLink_6,10707336,10709235,+
Apul,lncRNA,lncRNA_167,lncRNA,,ntLink_6,10779127,10781026,+
Apul,lncRNA,lncRNA_168,lncRNA,,ntLink_6,10918784,10920683,+
Apul,lncRNA,lncRNA_169,lncRNA,,ntLink_6,11232486,11234385,+
Apul,lncRNA,lncRNA_170,lncRNA,,ntLink_6,11453411,11455310,+
Apul,lncRNA,lncRNA_171,lncRNA,,ntLink_6,11629677,11631576,+
Apul,lncRNA,lncRNA_172,lncRNA,,ntLink_6,11727063,11728962,+
Apul,lncRNA,lncRNA_173,lncRNA,,ntLink_6,11893985,11895884,+
Apul,lncRNA,lncRNA_174,lncRNA,,ntLink_6,11893985,11895884,+
Apul,lncRNA,lncRNA_175,lncRNA,,ntLink_6,11893990,11895889,+
Apul,lncRNA,lncRNA_176,lncRNA,,ntLink_6,11944927,11946826,+
Apul,lncRNA,lncRNA_177,lncRNA,,ntLink_6,11987315,11989214,+
Apul,lncRNA,lncRNA_178,lncRNA,,ntLink_6,12010897,12012796,+
Apul,lncRNA,lncRNA_179,lncRNA,,ntLink_6,12030804,12032703,+
Apul,lncRNA,lncRNA_180,lncRNA,,ntLink_6,12558996,12560895,+
Apul,lncRNA,lncRNA_181,lncRNA,,ntLink_6,12559165,12561064,+
Apul,lncRNA,lncRNA_182,lncRNA,,ntLink_6,12567199,12569098,+
Apul,lncRNA,lncRNA_183,lncRNA,,ntLink_6,12567199,12569098,+
Apul,lncRNA,lncRNA_184,lncRNA,,ntLink_6,12567199,12569098,+
Apul,lncRNA,lncRNA_185,lncRNA,,ntLink_6,12567205,12569104,+
Apul,lncRNA,lncRNA_186,lncRNA,,ntLink_6,12567205,12569104,+
Apul,lncRNA,lncRNA_187,lncRNA,,ntLink_6,12652669,12654568,+
Apul,lncRNA,lncRNA_188,lncRNA,,ntLink_6,12834678,12836577,+
Apul,lncRNA,lncRNA_189,lncRNA,,ntLink_6,12847418,12849317,+
Apul,lncRNA,lncRNA_190,lncRNA,,ntLink_6,12855383,12857282,+
Apul,lncRNA,lncRNA_191,lncRNA,,ntLink_6,13208603,13210502,+
Apul,lncRNA,lncRNA_192,lncRNA,,ntLink_6,13208623,13210522,+
Apul,lncRNA,lncRNA_193,lncRNA,,ntLink_6,13208630,13210529,+
Apul,lncRNA,lncRNA_194,lncRNA,,ntLink_6,13306522,13308421,+
Apul,lncRNA,lncRNA_195,lncRNA,,ntLink_6,13447954,13449853,+
Apul,lncRNA,lncRNA_196,lncRNA,,ntLink_6,13509568,13511467,+
Apul,lncRNA,lncRNA_197,lncRNA,,ntLink_6,13509614,13511513,+
Apul,lncRNA,lncRNA_198,lncRNA,,ntLink_6,13519608,13521507,+
Apul,lncRNA,lncRNA_199,lncRNA,,ntLink_6,13643834,13645733,+
Apul,lncRNA,lncRNA_200,lncRNA,,ntLink_6,13940765,13942664,+
Apul,lncRNA,lncRNA_201,lncRNA,,ntLink_6,13981480,13983379,+
Apul,lncRNA,lncRNA_202,lncRNA,,ntLink_6,14460165,14462064,+
Apul,lncRNA,lncRNA_203,lncRNA,,ntLink_6,14557010,14558909,+
Apul,lncRNA,lncRNA_204,lncRNA,,ntLink_6,14690103,14692002,+
Apul,lncRNA,lncRNA_205,lncRNA,,ntLink_6,14817147,14819046,+
Apul,lncRNA,lncRNA_206,lncRNA,,ntLink_6,14839765,14841664,+
Apul,lncRNA,lncRNA_207,lncRNA,,ntLink_6,14884081,14885980,+
Apul,lncRNA,lncRNA_208,lncRNA,,ntLink_6,14884081,14885980,+
Apul,lncRNA,lncRNA_209,lncRNA,,ntLink_6,14986834,14988733,+
Apul,lncRNA,lncRNA_210,lncRNA,,ntLink_6,15043633,15045532,+
Apul,lncRNA,lncRNA_211,lncRNA,,ntLink_6,15534808,15536707,+
Apul,lncRNA,lncRNA_212,lncRNA,,ntLink_6,15908023,15909922,+
Apul,lncRNA,lncRNA_213,lncRNA,,ntLink_6,15951003,15952902,+
Apul,lncRNA,lncRNA_214,lncRNA,,ntLink_6,16205899,16207798,+
Apul,lncRNA,lncRNA_215,lncRNA,,ntLink_6,16219187,16221086,+
Apul,lncRNA,lncRNA_216,lncRNA,,ntLink_6,16219241,16221140,+
Apul,lncRNA,lncRNA_217,lncRNA,,ntLink_6,16531207,16533106,+
Apul,lncRNA,lncRNA_218,lncRNA,,ntLink_6,16809788,16811687,+
Apul,lncRNA,lncRNA_219,lncRNA,,ntLink_6,17125823,17127722,+
Apul,lncRNA,lncRNA_220,lncRNA,,ntLink_6,17678547,17680446,+
Apul,lncRNA,lncRNA_221,lncRNA,,ntLink_6,17728191,17730090,+
Apul,lncRNA,lncRNA_222,lncRNA,,ntLink_6,17846939,17848838,+
Apul,lncRNA,lncRNA_223,lncRNA,,ntLink_6,17856466,17858365,+
Apul,lncRNA,lncRNA_224,lncRNA,,ntLink_6,17882572,17884471,+
Apul,lncRNA,lncRNA_225,lncRNA,,ntLink_6,17936816,17938715,+
Apul,lncRNA,lncRNA_226,lncRNA,,ntLink_6,17937122,17939021,+
Apul,lncRNA,lncRNA_227,lncRNA,,ntLink_6,18051853,18053752,+
Apul,lncRNA,lncRNA_228,lncRNA,,ntLink_6,18057199,18059098,+
Apul,lncRNA,lncRNA_229,lncRNA,,ntLink_6,18090769,18092668,+
Apul,lncRNA,lncRNA_230,lncRNA,,ntLink_6,18137364,18139263,+
Apul,lncRNA,lncRNA_231,lncRNA,,ntLink_6,18406709,18408608,+
Apul,lncRNA,lncRNA_232,lncRNA,,ntLink_6,18417669,18419568,+
Apul,lncRNA,lncRNA_233,lncRNA,,ntLink_6,18457829,18459728,+
Apul,lncRNA,lncRNA_234,lncRNA,,ntLink_6,18457829,18459728,+
Apul,lncRNA,lncRNA_235,lncRNA,,ntLink_6,18457849,18459748,+
Apul,lncRNA,lncRNA_236,lncRNA,,ntLink_6,18642275,18644174,+
Apul,lncRNA,lncRNA_237,lncRNA,,ntLink_6,18722999,18724898,+
Apul,lncRNA,lncRNA_238,lncRNA,,ntLink_6,18757906,18759805,+
Apul,lncRNA,lncRNA_239,lncRNA,,ntLink_6,18944449,18946348,+
Apul,lncRNA,lncRNA_240,lncRNA,,ntLink_6,19116752,19118651,+
Apul,lncRNA,lncRNA_241,lncRNA,,ntLink_6,19356805,19358704,+
Apul,lncRNA,lncRNA_242,lncRNA,,ntLink_6,19598775,19600674,+
Apul,lncRNA,lncRNA_243,lncRNA,,ntLink_6,19853816,19855715,+
Apul,lncRNA,lncRNA_244,lncRNA,,ntLink_6,20073918,20075817,+
Apul,lncRNA,lncRNA_245,lncRNA,,ntLink_6,20073918,20075817,+
Apul,lncRNA,lncRNA_246,lncRNA,,ntLink_6,20073934,20075833,+
Apul,lncRNA,lncRNA_247,lncRNA,,ntLink_6,20226310,20228209,+
Apul,lncRNA,lncRNA_248,lncRNA,,ntLink_6,20261521,20263420,+
Apul,lncRNA,lncRNA_249,lncRNA,,ntLink_6,20263118,20265017,+
Apul,lncRNA,lncRNA_250,lncRNA,,ntLink_6,20263221,20265120,+
Apul,lncRNA,lncRNA_251,lncRNA,,ntLink_6,20263932,20265831,+
Apul,lncRNA,lncRNA_252,lncRNA,,ntLink_6,20499306,20501205,+
Apul,lncRNA,lncRNA_253,lncRNA,,ntLink_6,20547556,20549455,+
Apul,lncRNA,lncRNA_254,lncRNA,,ntLink_6,20554124,20556023,+
Apul,lncRNA,lncRNA_255,lncRNA,,ntLink_6,20625373,20627272,+
Apul,lncRNA,lncRNA_256,lncRNA,,ntLink_6,20656829,20658728,+
Apul,lncRNA,lncRNA_257,lncRNA,,ntLink_6,20678919,20680818,+
Apul,lncRNA,lncRNA_258,lncRNA,,ntLink_6,20678919,20680818,+
Apul,lncRNA,lncRNA_259,lncRNA,,ntLink_6,20680099,20681998,+
Apul,lncRNA,lncRNA_260,lncRNA,,ntLink_6,20700003,20701902,+
Apul,lncRNA,lncRNA_261,lncRNA,,ntLink_6,20723059,20724958,+
Apul,lncRNA,lncRNA_262,lncRNA,,ntLink_6,20729430,20731329,+
Apul,lncRNA,lncRNA_263,lncRNA,,ntLink_6,20751169,20753068,+
Apul,lncRNA,lncRNA_264,lncRNA,,ntLink_6,20790266,20792165,+
Apul,lncRNA,lncRNA_265,lncRNA,,ntLink_6,20830528,20832427,+
Apul,lncRNA,lncRNA_266,lncRNA,,ntLink_6,20864350,20866249,+
Apul,lncRNA,lncRNA_267,lncRNA,,ntLink_6,20882836,20884735,+
Apul,lncRNA,lncRNA_268,lncRNA,,ntLink_6,21011809,21013708,+
Apul,lncRNA,lncRNA_269,lncRNA,,ntLink_6,21017803,21019702,+
Apul,lncRNA,lncRNA_270,lncRNA,,ntLink_6,21071270,21073169,+
Apul,lncRNA,lncRNA_271,lncRNA,,ntLink_6,21082420,21084319,+
Apul,lncRNA,lncRNA_272,lncRNA,,ntLink_6,21083554,21085453,+
Apul,lncRNA,lncRNA_273,lncRNA,,ntLink_6,21098136,21100035,+
Apul,lncRNA,lncRNA_274,lncRNA,,ntLink_6,21100866,21102765,+
Apul,lncRNA,lncRNA_275,lncRNA,,ntLink_6,21102753,21104652,+
Apul,lncRNA,lncRNA_276,lncRNA,,ntLink_6,21141950,21143849,+
Apul,lncRNA,lncRNA_277,lncRNA,,ntLink_6,21161089,21162988,+
Apul,lncRNA,lncRNA_278,lncRNA,,ntLink_6,21162183,21164082,+
Apul,lncRNA,lncRNA_279,lncRNA,,ntLink_6,21167692,21169591,+
Apul,lncRNA,lncRNA_280,lncRNA,,ntLink_6,21177880,21179779,+
Apul,lncRNA,lncRNA_281,lncRNA,,ntLink_6,21180432,21182331,+
Apul,lncRNA,lncRNA_282,lncRNA,,ntLink_6,21324856,21326755,+
Apul,lncRNA,lncRNA_283,lncRNA,,ntLink_6,21468804,21470703,+
Apul,lncRNA,lncRNA_284,lncRNA,,ntLink_6,21523645,21525544,+
Apul,lncRNA,lncRNA_285,lncRNA,,ntLink_6,21549837,21551736,+
Apul,lncRNA,lncRNA_286,lncRNA,,ntLink_6,21560640,21562539,+
Apul,lncRNA,lncRNA_287,lncRNA,,ntLink_6,21575257,21577156,+
Apul,lncRNA,lncRNA_288,lncRNA,,ntLink_6,21608414,21610313,+
Apul,lncRNA,lncRNA_289,lncRNA,,ntLink_6,21612899,21614798,+
Apul,lncRNA,lncRNA_290,lncRNA,,ntLink_6,21622303,21624202,+
Apul,lncRNA,lncRNA_291,lncRNA,,ntLink_6,21769217,21771116,+
Apul,lncRNA,lncRNA_292,lncRNA,,ntLink_6,21771477,21773376,+
Apul,lncRNA,lncRNA_293,lncRNA,,ntLink_6,21776220,21778119,+
Apul,lncRNA,lncRNA_294,lncRNA,,ntLink_6,21831401,21833300,+
Apul,lncRNA,lncRNA_295,lncRNA,,ntLink_6,21831401,21833300,+
Apul,lncRNA,lncRNA_296,lncRNA,,ntLink_6,21852942,21854841,+
Apul,lncRNA,lncRNA_297,lncRNA,,ntLink_6,21935446,21937345,+
Apul,lncRNA,lncRNA_298,lncRNA,,ntLink_6,21962353,21964252,+
Apul,lncRNA,lncRNA_299,lncRNA,,ntLink_6,21991679,21993578,+
Apul,lncRNA,lncRNA_300,lncRNA,,ntLink_6,22012949,22014848,+
Apul,lncRNA,lncRNA_301,lncRNA,,ntLink_6,22298010,22299909,+
Apul,lncRNA,lncRNA_302,lncRNA,,ntLink_6,22626931,22628830,+
Apul,lncRNA,lncRNA_303,lncRNA,,ntLink_6,22686032,22687931,+
Apul,lncRNA,lncRNA_304,lncRNA,,ntLink_6,22723461,22725360,+
Apul,lncRNA,lncRNA_305,lncRNA,,ntLink_6,22723461,22725360,+
Apul,lncRNA,lncRNA_306,lncRNA,,ntLink_6,22775625,22777524,+
Apul,lncRNA,lncRNA_307,lncRNA,,ntLink_6,23048554,23050453,+
Apul,lncRNA,lncRNA_308,lncRNA,,ntLink_6,60985,62884,+
Apul,lncRNA,lncRNA_309,lncRNA,,ntLink_6,177526,179425,+
Apul,lncRNA,lncRNA_310,lncRNA,,ntLink_6,210088,211987,+
Apul,lncRNA,lncRNA_311,lncRNA,,ntLink_6,210267,212166,+
Apul,lncRNA,lncRNA_312,lncRNA,,ntLink_6,385997,387896,+
Apul,lncRNA,lncRNA_313,lncRNA,,ntLink_6,417208,419107,+
Apul,lncRNA,lncRNA_314,lncRNA,,ntLink_6,417975,419874,+
Apul,lncRNA,lncRNA_315,lncRNA,,ntLink_6,485617,487516,+
Apul,lncRNA,lncRNA_316,lncRNA,,ntLink_6,485617,487516,+
Apul,lncRNA,lncRNA_317,lncRNA,,ntLink_6,611233,613132,+
Apul,lncRNA,lncRNA_318,lncRNA,,ntLink_6,713417,715316,+
Apul,lncRNA,lncRNA_319,lncRNA,,ntLink_6,713546,715445,+
Apul,lncRNA,lncRNA_320,lncRNA,,ntLink_6,713549,715448,+
Apul,lncRNA,lncRNA_321,lncRNA,,ntLink_6,713549,715448,+
Apul,lncRNA,lncRNA_322,lncRNA,,ntLink_6,794261,796160,+
Apul,lncRNA,lncRNA_323,lncRNA,,ntLink_6,1012853,1014752,+
Apul,lncRNA,lncRNA_324,lncRNA,,ntLink_6,1013429,1015328,+
Apul,lncRNA,lncRNA_325,lncRNA,,ntLink_6,1038829,1040728,+
Apul,lncRNA,lncRNA_326,lncRNA,,ntLink_6,1051434,1053333,+
Apul,lncRNA,lncRNA_327,lncRNA,,ntLink_6,1112582,1114481,+
Apul,lncRNA,lncRNA_328,lncRNA,,ntLink_6,1168379,1170278,+
Apul,lncRNA,lncRNA_329,lncRNA,,ntLink_6,1199127,1201026,+
Apul,lncRNA,lncRNA_330,lncRNA,,ntLink_6,1311707,1313606,+
Apul,lncRNA,lncRNA_331,lncRNA,,ntLink_6,1822670,1824569,+
Apul,lncRNA,lncRNA_332,lncRNA,,ntLink_6,1996137,1998036,+
Apul,lncRNA,lncRNA_333,lncRNA,,ntLink_6,2204914,2206813,+
Apul,lncRNA,lncRNA_334,lncRNA,,ntLink_6,2204927,2206826,+
