"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"30","Peve_00020280","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.50885235708578,0.660139821996647,0.978262075707395,162,-20.32,"2 21","23050 23074",22,"72.73%","81.82%","CDS"
"31","Peve_00021129","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_1167",-0.852009196975279,0.350768023926223,0.978262075707395,149,-20.61,"2 21","8782 8801",19,"68.42%","73.68%","CDS"
"32","Peve_00021129","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_1167",-0.852009196975279,0.350768023926223,0.978262075707395,152,-22.37,"2 19","8305 8325",17,"76.47%","76.47%","CDS"
"33","Peve_00021129","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_1167",-0.852009196975279,0.350768023926223,0.978262075707395,157,-25.52,"2 14","8246 8267",12,"91.67%","91.67%","CDS"
"34","Peve_00021666","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.776500756359696,0.433985609518348,0.978262075707395,151,-20.04,"2 18","4640 4660",16,"68.75%","87.50%","CDS"
"35","Peve_00021666","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.776500756359696,0.433985609518348,0.978262075707395,159,-22.73,"2 17","17037 17059",16,"81.25%","87.50%","CDS"
"36","Peve_00022399","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.96340568543199,0.172756858375729,0.978262075707395,159,-25.46,"2 20","9013 9034",18,"72.22%","77.78%","CDS"
"37","Peve_00022758","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4079",-0.49070575715517,0.673478005503441,0.978262075707395,154,-20.3,"2 17","26070 26090",15,"80.00%","86.67%","CDS"
"38","Peve_00022758","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.224512468658601,0.855842097427499,0.995934364227446,148,-20.54,"2 14","13468 13490",13,"76.92%","92.31%","CDS"
"39","Peve_00022758","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.224512468658601,0.855842097427499,0.995934364227446,148,-20.54,"2 14","9831 9853",13,"76.92%","92.31%","CDS"
"40","Peve_00023576","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4629",-0.443383362280846,0.707556077121805,0.978262075707395,158,-22.36,"2 21","565 590",23,"73.91%","73.91%","3UTR"
"41","Peve_00024135","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.968265682884771,0.160810700466916,0.978262075707395,157,-23.83,"2 14","3020 3041",12,"91.67%","91.67%","CDS"
"42","Peve_00024135","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4629",-0.459291304587532,0.696206820742941,0.978262075707395,161,-21.38,"2 21","96 117",20,"75.00%","85.00%","5UTR"
"43","Peve_00024307","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.71125027084516,0.4962585326906,0.978262075707395,182,-29.63,"2 19","1616 1637",17,"94.12%","94.12%","CDS"
"44","Peve_00024659","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4079",-0.64722817611429,0.551856191524426,0.978262075707395,153,-20.38,"2 18","54023 54044",16,"68.75%","81.25%","CDS"
"45","Peve_00024659","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_589",-0.836245110168539,0.369492099600368,0.978262075707395,154,-20.71,"2 19","25642 25663",17,"64.71%","82.35%","CDS"
"46","Peve_00025620","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4080",-0.353807739380877,0.76977343147138,0.990928854718251,154,-20.24,"2 17","5573 5593",15,"80.00%","86.67%","CDS"
"47","Peve_00025620","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4080",-0.353807739380877,0.76977343147138,0.990928854718251,167,-22.84,"2 21","2179 2201",20,"75.00%","85.00%","CDS"
"48","Peve_00025621","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4080",-0.493563460326041,0.671388135316601,0.978262075707395,162,-20.9,"2 15","10651 10672",13,"84.62%","100.00%","CDS"
"49","Peve_00027096","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_9149",-0.625208025473825,0.570028248898732,0.978262075707395,153,-23.74,"2 18","968 989",16,"68.75%","81.25%","5UTR"
"50","Peve_00027430","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.994235828720486,0.0683868173364106,0.978262075707395,164,-22.1,"2 18","2766 2788",17,"82.35%","88.24%","CDS"
"51","Peve_00027430","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.980285016295319,0.126622077309072,0.978262075707395,157,-24.37,"2 14","9071 9092",12,"91.67%","91.67%","CDS"
"52","Peve_00027471","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2787",-0.0468809540205123,0.970143714428972,0.999448381576871,160,-22.26,"2 19","9164 9184",17,"76.47%","88.24%","CDS"
"53","Peve_00027789","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2882",-0.748465005305627,0.461582374498804,0.978262075707395,159,-20.51,"2 21","4183 4206",21,"71.43%","76.19%","CDS"
"54","Peve_00028070","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_589",-0.969262116586372,0.158252603648299,0.978262075707395,159,-21.43,"2 21","16 38",20,"65.00%","85.00%","CDS"
"55","Peve_00028309","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_4079",-0.796272454187231,0.413604356922386,0.978262075707395,159,-22.59,"2 20","6270 6288",18,"77.78%","83.33%","CDS"
"56","Peve_00028884","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.898389711968954,0.289475524970988,0.978262075707395,173,-23.49,"2 21","476 497",20,"85.00%","90.00%","3UTR"
"57","Peve_00028884","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.898389711968954,0.289475524970988,0.978262075707395,162,-22.73,"2 20","5070 5092",19,"73.68%","84.21%","CDS"
"58","Peve_00028884","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_4080",-0.235777127616489,0.848472931070267,0.995934364227446,161,-20.13,"2 20","773 793",18,"77.78%","83.33%","CDS"
"59","Peve_00030308","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.518683658922479,0.652844496740148,0.978262075707395,153,-20.8,"2 16","7603 7623",14,"85.71%","85.71%","CDS"
"60","Peve_00030308","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.518683658922479,0.652844496740148,0.978262075707395,162,-22.62,"2 15","17266 17287",13,"92.31%","92.31%","CDS"
"61","Peve_00031168","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.016795419779404,0.989307200927989,0.999448381576871,155,-23.55,"2 12","37375 37396",10,"100.00%","100.00%","CDS"
"62","Peve_00034914","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.95511454027282,0.1914634825654,0.978262075707395,155,-20.67,"2 21","17350 17372",20,"60.00%","85.00%","CDS"
"63","Peve_00035074","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.087895103005773,0.94397193973631,0.999448381576871,157,-22.6,"2 19","15527 15549",18,"72.22%","83.33%","CDS"
"64","Peve_00035074","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.087895103005773,0.94397193973631,0.999448381576871,157,-22.6,"2 19","16040 16062",18,"72.22%","83.33%","CDS"
"65","Peve_00035074","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2787",-0.087895103005773,0.94397193973631,0.999448381576871,154,-20.59,"2 21","470 493",21,"71.43%","76.19%","5UTR"
"66","Peve_00035142","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_29",-0.671586767205626,0.531226103418974,0.978262075707395,161,-22.26,"2 21","3583 3604",20,"75.00%","85.00%","CDS"
"67","Peve_00035683","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_1167",-0.786061657442383,0.424233605747508,0.978262075707395,155,-26.13,"2 21","1948 1970",20,"70.00%","75.00%","CDS"
"68","Peve_00036038","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_2787",-0.922579895499576,0.252153246880857,0.978262075707395,165,-22.26,"2 18","4237 4258",16,"81.25%","87.50%","CDS"
"69","Peve_00036455","GO:0004972","NMDA glutamate receptor activity",2,2,0.42,0.044,"Molecular Functions","Cluster_4080",-0.890782801653919,0.300313569088032,0.978262075707395,154,-20.02,"2 21","4247 4274",25,"64.00%","76.00%","CDS"
"70","Peve_00036559","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_2882",-0.45846185119999,0.69680113300986,0.978262075707395,164,-24.56,"2 17","8973 8994",15,"86.67%","86.67%","CDS"
"71","Peve_00039003","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4080",-0.963942793191011,0.171476585924269,0.978262075707395,166,-20.09,"2 21","35325 35348",21,"76.19%","85.71%","CDS"
"72","Peve_00039003","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.325834941278272,0.788709251996208,0.995566433255672,155,-23.09,"2 12","16734 16755",10,"100.00%","100.00%","CDS"
"73","Peve_00039158","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4079",-0.964937964759837,0.169079461370046,0.978262075707395,154,-24.93,"2 21","26440 26467",25,"64.00%","76.00%","CDS"
"74","Peve_00040892","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_29",-0.425787218746355,0.719994422568675,0.981399458610969,155,-20.03,"2 20","44314 44332",18,"77.78%","77.78%","CDS"
"75","Peve_00040892","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_29",-0.425787218746355,0.719994422568675,0.981399458610969,158,-21.73,"2 21","517 537",19,"73.68%","78.95%","CDS"
"76","Peve_00042075","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.307051959431017,0.801314918023939,0.995934364227446,167,-25.47,"2 21","7681 7703",20,"70.00%","90.00%","CDS"
"77","Peve_00042448","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_589",-0.934753615028442,0.231240264998328,0.978262075707395,153,-22.29,"2 21","4750 4771",20,"70.00%","80.00%","CDS"
"78","Peve_00042992","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_6906",-0.864236295577706,0.33560428584668,0.978262075707395,156,-20.28,"2 17","510 531",15,"80.00%","80.00%","5UTR"
"79","Peve_00043062","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_589",-0.904752880512727,0.280110880440018,0.978262075707395,163,-26.35,"2 20","608 629",18,"72.22%","83.33%","CDS"
"80","Peve_00043853","GO:0005007","fibroblast growth factor receptor activity",4,3,0.84,0.031,"Molecular Functions","Cluster_11134",-0.978623848179068,0.131867132380441,0.978262075707395,176,-25.33,"2 21","172 193",19,"73.68%","94.74%","5UTR"
"81","Peve_00044452","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4080",-0.507552296556673,0.661100816142754,0.978262075707395,148,-20.48,"2 21","2173 2196",22,"68.18%","77.27%","CDS"
"82","Peve_00044866","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_4080",-0.700738530824903,0.50570792773587,0.978262075707395,174,-24.53,"2 20","493 515",19,"78.95%","94.74%","5UTR"
"83","Peve_00044867","GO:0003690","double-stranded DNA binding",23,5,4.83,0.045,"Molecular Functions","Cluster_2854",-0.403891947767298,0.735314338811888,0.985951058933025,157,-20.28,"2 21","5006 5025",19,"73.68%","78.95%","CDS"
