,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
12,apul-mir-novel-9,FUN_026122,3UTR,FUN_026122;2 22;654 678,-23.28,22,63.64%,90.91%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
13,apul-mir-novel-9,FUN_024529,3UTR,FUN_024529;2 20;563 590,-22.75,23,69.57%,78.26%,-0.973898923067543,0.973898923067543,-1,0.00504212756126728,predicted binding + coexpression
14,apul-mir-novel-5,FUN_003478,3UTR,FUN_003478;2 23;798 823,-20.12,23,69.57%,86.96%,-0.987158026110664,0.987158026110664,-1,0.00174358522915539,predicted binding + coexpression
15,apul-mir-novel-15,FUN_041625,3UTR,FUN_041625;2 21;954 975,-22.47,19,68.42%,84.21%,0.979681354691911,0.979681354691911,1,0.00346615436725054,predicted binding + coexpression
16,apul-mir-novel-21,FUN_006047,3UTR,FUN_006047;2 21;103 125,-25.52,20,80.00%,90.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233,predicted binding + coexpression
17,apul-mir-novel-34,FUN_004030,3UTR,FUN_004030;2 17;27 48,-21.04,15,86.67%,93.33%,-0.960360362974489,0.960360362974489,-1,0.00941735834402992,predicted binding + coexpression
18,apul-mir-novel-23,FUN_037708,3UTR,FUN_037708;2 21;392 415,-21.45,21,71.43%,76.19%,0.97837155759896,0.97837155759896,1,0.00380590308574924,predicted binding + coexpression
19,apul-mir-novel-9,FUN_026892,3UTR,FUN_026892;2 22;48 70,-20.81,20,60.00%,80.00%,0.965113242711184,0.965113242711184,1,0.00778106354057356,predicted binding + coexpression
20,apul-mir-novel-26,FUN_008327,3UTR,FUN_008327;2 19;645 665,-21.33,17,64.71%,88.24%,-0.969079550705252,0.969079550705252,-1,0.00649647778506713,predicted binding + coexpression
21,apul-mir-novel-19,FUN_003440,3UTR,FUN_003440;2 21;823 843,-24.38,19,63.16%,84.21%,0.967855742230399,0.967855742230399,1,0.00688468077332657,predicted binding + coexpression
22,apul-mir-novel-28,FUN_028212,3UTR,FUN_028212;2 22;861 883,-21.3,20,65.00%,85.00%,0.961211818569935,0.961211818569935,1,0.00911674719626504,predicted binding + coexpression
23,apul-mir-2022,FUN_012601,3UTR,FUN_012601;2 19;420 444,-20.51,19,63.16%,89.47%,-0.987937302187941,0.987937302187941,-1,0.00158749787882643,predicted binding + coexpression
24,apul-mir-novel-9,FUN_016637,3UTR,FUN_016637;2 15;64 86,-20.82,13,84.62%,92.31%,0.965113242711184,0.965113242711184,1,0.00778106354057356,predicted binding + coexpression
25,apul-mir-novel-9,FUN_039073,3UTR,FUN_039073;2 22;50 72,-20.65,20,55.00%,75.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
26,apul-mir-novel-34,FUN_031571,3UTR,FUN_031571;2 15;403 425,-21.44,14,92.86%,92.86%,0.989849332448064,0.989849332448064,1,0.00122578245722519,predicted binding + coexpression
27,apul-mir-novel-10,FUN_012580,3UTR,FUN_012580;2 15;158 179,-21.01,13,92.31%,100.00%,-0.971424618827498,0.971424618827498,-1,0.00577366509372755,predicted binding + coexpression
28,apul-mir-novel-5,FUN_040689,3UTR,FUN_040689;2 18;593 616,-21.54,16,81.25%,93.75%,0.98897179438378,0.98897179438378,1,0.00138794229797963,predicted binding + coexpression
29,apul-mir-2028,FUN_003898,3UTR,FUN_003898;2 21;527 549,-22.05,20,75.00%,80.00%,0.979630113873169,0.979630113873169,1,0.00347924745250208,predicted binding + coexpression
30,apul-mir-2036,FUN_014804,3UTR,FUN_014804;2 19;164 191,-21.21,22,77.27%,77.27%,0.959657908317892,0.959657908317892,1,0.00966775954318747,predicted binding + coexpression
31,apul-mir-novel-29,FUN_022543,3UTR,FUN_022543;2 22;275 297,-21.16,20,70.00%,85.00%,-0.960219481549203,0.960219481549203,-1,0.00946740491407129,predicted binding + coexpression
32,apul-mir-novel-29,FUN_031944,3UTR,FUN_031944;2 23;568 588,-27.7,21,71.43%,85.71%,-0.970032542846498,0.970032542846498,-1,0.00619935937556317,predicted binding + coexpression
33,apul-mir-novel-16,FUN_036658,3UTR,FUN_036658;2 20;21 43,-20.3,19,78.95%,84.21%,-0.980395448057802,0.980395448057802,-1,0.00328539797028087,predicted binding + coexpression
34,apul-mir-novel-15,FUN_013801,3UTR,FUN_013801;2 18;370 392,-22.29,17,76.47%,76.47%,0.973950013786862,0.973950013786862,1,0.00502736934165484,predicted binding + coexpression
35,apul-mir-novel-15,FUN_013936,3UTR,FUN_013936;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341029,predicted binding + coexpression
36,apul-mir-novel-9,FUN_034898,3UTR,FUN_034898;2 21;360 381,-20.02,20,70.00%,75.00%,0.963993725212303,0.963993725212303,1,0.00815720831608488,predicted binding + coexpression
37,apul-mir-2023,FUN_002342,3UTR,FUN_002342;2 20;692 713,-20.87,19,63.16%,73.68%,0.973893925144242,0.973893925144242,1,0.00504357204244837,predicted binding + coexpression
38,apul-mir-novel-34,FUN_037296,3UTR,FUN_037296;2 21;503 519,-20.93,19,68.42%,73.68%,0.970911358215383,0.970911358215383,1,0.00592945735113148,predicted binding + coexpression
39,apul-mir-novel-9,FUN_002032,3UTR,FUN_002032;2 22;878 901,-27.81,21,76.19%,85.71%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
40,apul-mir-novel-28,FUN_041829,3UTR,FUN_041829;2 23;97 122,-27.09,23,69.57%,82.61%,0.96870312590872,0.96870312590872,1,0.00661509267158132,predicted binding + coexpression
41,apul-mir-2050,FUN_027208,3UTR,FUN_027208;2 19;713 733,-20.44,17,88.24%,88.24%,0.990139574386811,0.990139574386811,1,0.00117363744401445,predicted binding + coexpression
42,apul-mir-novel-9,FUN_040522,3UTR,FUN_040522;2 21;162 185,-22.03,20,65.00%,80.00%,0.961191758006318,0.961191758006318,1,0.00912379283291792,predicted binding + coexpression
43,apul-mir-novel-15,FUN_013771,3UTR,FUN_013771;2 18;385 407,-21.17,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
44,apul-mir-novel-15,FUN_013777,3UTR,FUN_013777;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
45,apul-mir-novel-17,FUN_018894,3UTR,FUN_018894;2 11;84 105,-20.34,9,100.00%,100.00%,-0.969058804392155,0.969058804392155,-1,0.00650299672929437,predicted binding + coexpression
46,apul-mir-novel-21,FUN_008423,3UTR,FUN_008423;2 17;158 182,-21.83,18,77.78%,77.78%,0.977388854104582,0.977388854104582,1,0.00406760929145233,predicted binding + coexpression
47,apul-mir-novel-9,FUN_037136,3UTR,FUN_037136;2 22;48 70,-21.13,20,60.00%,80.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
48,apul-mir-novel-9,FUN_002626,3UTR,FUN_002626;2 22;475 497,-20.47,20,65.00%,70.00%,-0.980027543260989,0.980027543260989,-1,0.00337812497848748,predicted binding + coexpression
49,apul-mir-novel-15,FUN_022389,3UTR,FUN_022389;2 19;474 494,-21.19,17,82.35%,88.24%,0.99711235936688,0.99711235936688,1,0.000186191723320705,predicted binding + coexpression
50,apul-mir-novel-15,FUN_029089,3UTR,FUN_029089;2 17;243 265,-20.05,16,68.75%,81.25%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
51,apul-mir-novel-15,FUN_040273,3UTR,FUN_040273;2 21;647 671,-21.84,22,59.09%,72.73%,-0.971023628272827,0.971023628272827,-1,0.00589526287201513,predicted binding + coexpression
52,apul-mir-novel-15,FUN_028533,3UTR,FUN_028533;2 21;838 860,-20.94,20,80.00%,85.00%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
53,apul-mir-novel-6,FUN_021020,3UTR,FUN_021020;2 21;614 636,-20.28,20,70.00%,85.00%,0.960566003787893,0.960566003787893,1,0.00934446304885304,predicted binding + coexpression
54,apul-mir-novel-5,FUN_034095,3UTR,FUN_034095;2 23;973 998,-21.21,23,73.91%,82.61%,0.979159544197398,0.979159544197398,1,0.00360024762062114,predicted binding + coexpression
55,apul-mir-novel-15,FUN_018974,3UTR,FUN_018974;2 21;894 920,-23.11,24,62.50%,75.00%,0.972275921067839,0.972275921067839,1,0.00551829871221388,predicted binding + coexpression
56,apul-mir-novel-9,FUN_006649,3UTR,FUN_006649;2 21;741 763,-20.99,19,73.68%,78.95%,0.960485624156678,0.960485624156678,1,0.0093729338037559,predicted binding + coexpression
57,apul-mir-2050,FUN_012901,3UTR,FUN_012901;2 20;44 68,-20.34,21,66.67%,76.19%,0.988405531088292,0.988405531088292,1,0.00149607509505869,predicted binding + coexpression
58,apul-mir-novel-15,FUN_025954,3UTR,FUN_025954;2 21;349 368,-22.18,19,73.68%,78.95%,0.993639608434193,0.993639608434193,1,0.0006083378812905,predicted binding + coexpression
59,apul-mir-2025,FUN_031240,3UTR,FUN_031240;2 21;502 528,-20.32,24,75.00%,75.00%,0.987112716818925,0.987112716818925,1,0.00175280902511889,predicted binding + coexpression
60,apul-mir-novel-31,FUN_016389,3UTR,FUN_016389;2 20;379 399,-20.09,18,77.78%,83.33%,0.995492213564925,0.995492213564925,1,0.000363065499834431,predicted binding + coexpression
61,apul-mir-novel-28,FUN_013441,3UTR,FUN_013441;2 23;674 696,-20.43,22,63.64%,81.82%,0.979485291299236,0.979485291299236,1,0.00351634071926723,predicted binding + coexpression
62,apul-mir-novel-15,FUN_007609,3UTR,FUN_007609;2 19;612 634,-22.11,18,77.78%,88.89%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
63,apul-mir-novel-28,FUN_004088,3UTR,FUN_004088;2 23;778 803,-20.9,23,60.87%,82.61%,-0.966338509909935,0.966338509909935,-1,0.00737613387218483,predicted binding + coexpression
64,apul-mir-novel-8a; apul-mir-novel-8b,FUN_043410,3UTR,FUN_043410;2 21;364 388,-22.31,22,77.27%,77.27%,-0.983031019325006,0.983031019325006,-1,0.00264672589177186,predicted binding + coexpression
65,apul-mir-novel-21,FUN_006081,3UTR,FUN_006081;2 21;845 867,-25.52,20,80.00%,90.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233,predicted binding + coexpression
66,apul-mir-novel-15,FUN_019442,3UTR,FUN_019442;2 19;405 428,-24.59,19,89.47%,89.47%,0.972405796451194,0.972405796451194,1,0.00547967560671656,predicted binding + coexpression
67,apul-mir-100,FUN_028974,3UTR,FUN_028974;2 9;745 766,-21.49,7,100.00%,100.00%,-0.976242455648011,0.976242455648011,-1,0.00438008401342708,predicted binding + coexpression
68,apul-mir-novel-3,FUN_032813,3UTR,FUN_032813;2 21;848 871,-22.89,21,76.19%,85.71%,-0.962521932705698,0.962521932705698,-1,0.00866050057254566,predicted binding + coexpression
69,apul-mir-novel-23,FUN_022469,3UTR,FUN_022469;2 18;178 199,-21.37,16,81.25%,93.75%,0.96824479400018,0.96824479400018,1,0.00676046735214234,predicted binding + coexpression
70,apul-mir-novel-9,FUN_000484,3UTR,FUN_000484;2 22;47 69,-20.81,20,60.00%,80.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353,predicted binding + coexpression
71,apul-mir-novel-5,FUN_017622,3UTR,FUN_017622;2 21;739 763,-20.35,20,70.00%,85.00%,0.995693532787135,0.995693532787135,1,0.000339027428145737,predicted binding + coexpression
72,apul-mir-novel-9,FUN_018376,3UTR,FUN_018376;2 22;580 600,-21.35,20,65.00%,75.00%,0.991502576852876,0.991502576852876,1,0.000939096871218252,predicted binding + coexpression
73,apul-mir-100,FUN_018376,3UTR,FUN_018376;2 20;264 285,-21.71,18,72.22%,77.78%,-0.972117222602966,0.972117222602966,-1,0.00556561459709215,predicted binding + coexpression
74,apul-mir-novel-7,FUN_038158,3UTR,FUN_038158;2 14;88 109,-21.61,12,83.33%,100.00%,0.963064629680728,0.963064629680728,1,0.00847377040471592,predicted binding + coexpression
75,apul-mir-novel-5,FUN_026831,3UTR,FUN_026831;2 21;134 157,-23,19,68.42%,100.00%,0.997716478496002,0.997716478496002,1,0.000130946140340583,predicted binding + coexpression
76,apul-mir-novel-21,FUN_006054,3UTR,FUN_006054;2 21;103 125,-25.52,20,80.00%,90.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233,predicted binding + coexpression
77,apul-mir-novel-15,FUN_001948,CDS,FUN_001948;2 21;13634 13655,-21.88,20,60.00%,80.00%,0.979680269937281,0.979680269937281,1,0.00346643137529996,predicted binding + coexpression
78,apul-mir-novel-15,FUN_001948,CDS,FUN_001948;2 21;5724 5746,-24.71,20,70.00%,80.00%,0.979680269937281,0.979680269937281,1,0.00346643137529996,predicted binding + coexpression
79,apul-mir-novel-15,FUN_000607,CDS,FUN_000607;2 18;2753 2776,-24.5,18,83.33%,88.89%,0.975751510133819,0.975751510133819,1,0.00451621830381497,predicted binding + coexpression
80,apul-mir-novel-15,FUN_000634,CDS,FUN_000634;2 21;1967 1987,-22.68,19,73.68%,84.21%,0.978580789954303,0.978580789954303,1,0.00375092828341024,predicted binding + coexpression
81,apul-mir-novel-15,FUN_003924,CDS,FUN_003924;2 21;2127 2150,-21.19,21,66.67%,76.19%,0.9785058578063,0.9785058578063,1,0.00377058596288974,predicted binding + coexpression
82,apul-mir-novel-15,FUN_006513,CDS,FUN_006513;2 20;158 179,-20.85,19,78.95%,84.21%,0.986343585700007,0.986343585700007,1,0.00191182107517003,predicted binding + coexpression
83,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 21;1457 1478,-20.86,19,63.16%,73.68%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
84,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 21;20175 20196,-20.86,19,63.16%,73.68%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
85,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 21;35118 35139,-20.86,19,63.16%,73.68%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
86,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 21;50475 50496,-20.86,19,63.16%,73.68%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
87,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 21;68356 68377,-20.86,19,63.16%,73.68%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
88,apul-mir-novel-15,FUN_007037,CDS,FUN_007037;2 19;93201 93220,-20.58,17,76.47%,82.35%,0.978255057697467,0.978255057697467,1,0.00383662722599413,predicted binding + coexpression
89,apul-mir-novel-15,FUN_007038,CDS,FUN_007038;2 21;286 307,-20.86,19,63.16%,73.68%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
90,apul-mir-novel-15,FUN_008324,CDS,FUN_008324;2 21;1279 1300,-21.21,20,80.00%,80.00%,0.96755942484353,0.96755942484353,1,0.00697978447307705,predicted binding + coexpression
91,apul-mir-novel-15,FUN_008023,CDS,FUN_008023;2 21;2687 2705,-20.47,19,73.68%,84.21%,0.985965668756982,0.985965668756982,1,0.00199161354692373,predicted binding + coexpression
92,apul-mir-novel-15,FUN_008973,CDS,FUN_008973;2 21;14716 14740,-23.7,22,63.64%,86.36%,0.989250151196218,0.989250151196218,1,0.00133578284446748,predicted binding + coexpression
93,apul-mir-novel-15,FUN_009363,CDS,FUN_009363;2 13;13603 13625,-20.85,12,83.33%,91.67%,0.966011128896181,0.966011128896181,1,0.00748363036526953,predicted binding + coexpression
94,apul-mir-novel-15,FUN_014041,CDS,FUN_014041;2 18;2780 2802,-21.22,17,76.47%,76.47%,0.978983580949011,0.978983580949011,1,0.00364584405831639,predicted binding + coexpression
95,apul-mir-novel-15,FUN_014058,CDS,FUN_014058;2 18;1816 1838,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
96,apul-mir-novel-15,FUN_012225,CDS,FUN_012225;2 18;2066 2086,-23.09,16,75.00%,87.50%,0.986492779299764,0.986492779299764,1,0.0018806196778239,predicted binding + coexpression
97,apul-mir-novel-15,FUN_012231,CDS,FUN_012231;2 17;1279 1299,-24.76,15,86.67%,93.33%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
98,apul-mir-novel-15,FUN_016037,CDS,FUN_016037;2 19;39357 39377,-27.3,17,76.47%,94.12%,0.96040332870312,0.96040332870312,1,0.00940211256050052,predicted binding + coexpression
99,apul-mir-novel-15,FUN_019769,CDS,FUN_019769;2 21;1716 1738,-20.94,20,80.00%,85.00%,0.978580789954303,0.978580789954303,1,0.0037509282834102,predicted binding + coexpression
100,apul-mir-novel-15,FUN_020616,CDS,FUN_020616;2 21;1663 1685,-20.94,20,80.00%,85.00%,0.986705326043718,0.986705326043718,1,0.00183646402768314,predicted binding + coexpression
101,apul-mir-novel-15,FUN_020838,CDS,FUN_020838;2 21;19620 19641,-20.82,19,73.68%,78.95%,0.961649036923387,0.961649036923387,1,0.00896363253992455,predicted binding + coexpression
102,apul-mir-novel-15,FUN_022712,CDS,FUN_022712;2 20;1014 1040,-22.11,23,69.57%,73.91%,0.959547018810186,0.959547018810186,1,0.00970748436589319,predicted binding + coexpression
103,apul-mir-novel-15,FUN_022138,CDS,FUN_022138;2 21;93 111,-20.26,19,73.68%,78.95%,0.97716189362909,0.97716189362909,1,0.00412886433342424,predicted binding + coexpression
104,apul-mir-novel-15,FUN_022243,CDS,FUN_022243;2 21;4267 4285,-20.72,19,73.68%,84.21%,0.963024871661293,0.963024871661293,1,0.00848740486726359,predicted binding + coexpression
105,apul-mir-novel-15,FUN_022863,CDS,FUN_022863;2 20;5113 5136,-20.21,20,60.00%,75.00%,0.964482351901114,0.964482351901114,1,0.00799231837934494,predicted binding + coexpression
106,apul-mir-novel-15,FUN_024838,CDS,FUN_024838;2 21;427 454,-21.01,25,64.00%,72.00%,0.978580789954302,0.978580789954302,1,0.00375092828341026,predicted binding + coexpression
107,apul-mir-novel-15,FUN_028143,CDS,FUN_028143;2 21;3069 3091,-24.58,20,80.00%,80.00%,0.964923001448358,0.964923001448358,1,0.00784457023969649,predicted binding + coexpression
108,apul-mir-novel-15,FUN_029262,CDS,FUN_029262;2 21;1678 1700,-21.39,20,70.00%,85.00%,0.976239321583211,0.976239321583211,1,0.00438094868887469,predicted binding + coexpression
109,apul-mir-novel-15,FUN_031641,CDS,FUN_031641;2 21;13791 13811,-20.17,19,68.42%,73.68%,0.991062089848895,0.991062089848895,1,0.00101298898918499,predicted binding + coexpression
110,apul-mir-novel-15,FUN_032182,CDS,FUN_032182;2 19;490 511,-20.29,17,76.47%,76.47%,0.962827161928118,0.962827161928118,1,0.00855531344348705,predicted binding + coexpression
111,apul-mir-novel-15,FUN_029557,CDS,FUN_029557;2 21;15480 15502,-20.53,21,71.43%,76.19%,0.995551555051207,0.995551555051207,1,0.000355923108488488,predicted binding + coexpression
112,apul-mir-novel-15,FUN_032682,CDS,FUN_032682;2 21;2414 2437,-21.77,21,71.43%,76.19%,0.97290904560828,0.97290904560828,1,0.00533086387440018,predicted binding + coexpression
113,apul-mir-novel-15,FUN_033843,CDS,FUN_033843;2 21;19260 19288,-23.13,26,69.23%,69.23%,0.985432747417414,0.985432747417414,1,0.00210595497996595,predicted binding + coexpression
114,apul-mir-novel-15,FUN_033691,CDS,FUN_033691;2 21;4646 4666,-20.64,19,68.42%,78.95%,0.96246517579357,0.96246517579357,1,0.00868010643458414,predicted binding + coexpression
115,apul-mir-novel-15,FUN_035068,CDS,FUN_035068;2 21;4190 4211,-20.33,19,78.95%,89.47%,0.959872807839183,0.959872807839183,1,0.00959092658741825,predicted binding + coexpression
116,apul-mir-novel-15,FUN_035253,CDS,FUN_035253;2 19;7335 7358,-22.74,19,78.95%,84.21%,0.996146713545927,0.996146713545927,1,0.000286965457292542,predicted binding + coexpression
117,apul-mir-novel-15,FUN_037444,CDS,FUN_037444;2 21;601 624,-21.25,21,66.67%,80.95%,0.976958160494132,0.976958160494132,1,0.00418410740270778,predicted binding + coexpression
118,apul-mir-novel-15,FUN_036878,CDS,FUN_036878;2 21;664 685,-21.44,19,73.68%,73.68%,0.989950814252193,0.989950814252193,1,0.00120746468811392,predicted binding + coexpression
119,apul-mir-novel-15,FUN_038277,CDS,FUN_038277;2 20;95508 95526,-22,18,72.22%,83.33%,0.969180567031551,0.969180567031551,1,0.0064647670185131,predicted binding + coexpression
120,apul-mir-novel-15,FUN_041624,CDS,FUN_041624;2 21;2373 2394,-22.47,19,68.42%,84.21%,0.986126231746681,0.986126231746681,1,0.00195758058584625,predicted binding + coexpression
121,apul-mir-2028,FUN_001874,CDS,FUN_001874;2 13;823 844,-21.19,11,90.91%,100.00%,-0.96751705886406,0.96751705886406,-1,0.00699341695630629,predicted binding + coexpression
122,apul-mir-2028,FUN_002335,CDS,FUN_002335;2 11;229 250,-20.13,9,100.00%,100.00%,0.979075871194958,0.979075871194958,1,0.00362190571765341,predicted binding + coexpression
123,apul-mir-2028,FUN_016651,CDS,FUN_016651;2 18;1553 1577,-21.39,19,73.68%,78.95%,0.968966702440181,0.968966702440181,1,0.00653196313909641,predicted binding + coexpression
124,apul-mir-2028,FUN_017984,CDS,FUN_017984;2 21;12646 12666,-24.45,19,78.95%,84.21%,0.982058636642181,0.982058636642181,1,0.0028770326166407,predicted binding + coexpression
125,apul-mir-2028,FUN_023006,CDS,FUN_023006;2 21;1744 1766,-22.33,20,80.00%,80.00%,0.970239527025441,0.970239527025441,1,0.00613543464777121,predicted binding + coexpression
126,apul-mir-2028,FUN_023999,CDS,FUN_023999;2 21;1743 1768,-23.49,23,60.87%,69.57%,0.966354786185076,0.966354786185076,1,0.00737080286405159,predicted binding + coexpression
127,apul-mir-2028,FUN_024153,CDS,FUN_024153;2 18;21845 21866,-23.92,16,81.25%,87.50%,0.977635652313831,0.977635652313831,1,0.00400134430274417,predicted binding + coexpression
128,apul-mir-2028,FUN_029615,CDS,FUN_029615;2 21;31 54,-21.13,21,66.67%,76.19%,0.971250475416305,0.971250475416305,1,0.00582637037894256,predicted binding + coexpression
129,apul-mir-2028,FUN_037335,CDS,FUN_037335;2 20;15045 15068,-22.06,20,70.00%,80.00%,0.962742365856554,0.962742365856554,1,0.00858449325991209,predicted binding + coexpression
130,apul-mir-2028,FUN_043718,CDS,FUN_043718;2 15;1263 1284,-20.72,13,92.31%,100.00%,-0.965621178986747,0.965621178986747,-1,0.00761233679546693,predicted binding + coexpression
131,apul-mir-novel-20,FUN_004026,CDS,FUN_004026;2 19;869 889,-23.88,17,88.24%,88.24%,0.972632016403415,0.972632016403415,1,0.00541261487272714,predicted binding + coexpression
132,apul-mir-novel-20,FUN_012517,CDS,FUN_012517;2 18;3765 3787,-20.28,17,70.59%,82.35%,0.986069300948617,0.986069300948617,1,0.0019696253948224,predicted binding + coexpression
133,apul-mir-novel-20,FUN_027781,CDS,FUN_027781;2 14;41153 41174,-21.01,12,75.00%,100.00%,0.96539314674157,0.96539314674157,1,0.00768793438561037,predicted binding + coexpression
134,apul-mir-novel-20,FUN_029149,CDS,FUN_029149;2 21;12633 12654,-23.09,19,73.68%,78.95%,0.985225054297151,0.985225054297151,1,0.00215108638641699,predicted binding + coexpression
135,apul-mir-novel-20,FUN_035880,CDS,FUN_035880;2 20;4567 4589,-22.61,19,78.95%,89.47%,0.975899897469788,0.975899897469788,1,0.00447492705509625,predicted binding + coexpression
136,apul-mir-novel-20,FUN_034785,CDS,FUN_034785;2 20;7576 7601,-20.42,22,68.18%,72.73%,-0.972334551978289,0.972334551978289,-1,0.00550085163712914,predicted binding + coexpression
137,apul-mir-novel-20,FUN_037333,CDS,FUN_037333;2 12;4272 4293,-20.31,10,100.00%,100.00%,0.97846801486278,0.97846801486278,1,0.00378052656609614,predicted binding + coexpression
138,apul-mir-novel-4,FUN_002646,CDS,FUN_002646;2 20;18504 18527,-27.49,21,66.67%,80.95%,0.976473755665439,0.976473755665439,1,0.00431642508902756,predicted binding + coexpression
139,apul-mir-novel-4,FUN_006488,CDS,FUN_006488;2 17;226 248,-23.2,17,82.35%,88.24%,0.970398484687404,0.970398484687404,1,0.00608649070563876,predicted binding + coexpression
140,apul-mir-novel-4,FUN_031513,CDS,FUN_031513;2 20;5281 5306,-22.01,23,60.87%,69.57%,-0.976904487025009,0.976904487025009,-1,0.00419870148827339,predicted binding + coexpression
141,apul-mir-novel-4,FUN_032162,CDS,FUN_032162;2 20;1699 1720,-21.66,19,63.16%,78.95%,-0.970090512303536,0.970090512303536,-1,0.00618143417402044,predicted binding + coexpression
142,apul-mir-novel-4,FUN_036560,CDS,FUN_036560;2 15;74 94,-20.35,13,69.23%,76.92%,0.974492254868024,0.974492254868024,1,0.00487161854311547,predicted binding + coexpression
143,apul-mir-2022,FUN_000420,CDS,FUN_000420;2 18;1144 1166,-22.28,16,81.25%,93.75%,0.97161195715853,0.97161195715853,1,0.00571714276917764,predicted binding + coexpression
144,apul-mir-2022,FUN_002566,CDS,FUN_002566;2 22;1786 1808,-25.15,20,75.00%,85.00%,0.986949430054417,0.986949430054417,1,0.00178618352147705,predicted binding + coexpression
145,apul-mir-2022,FUN_002376,CDS,FUN_002376;2 22;4982 5008,-21.87,24,66.67%,75.00%,-0.980880235753916,0.980880235753916,-1,0.00316452248438938,predicted binding + coexpression
