"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"195",195,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000003:11037759-11038531",146,-30.01,2,21,600,628,26,"65.38%","65.38%","Pocillopora_meandrina_HIv1___TS.g11041.t1",0.959840752421338,0.00960237459287759,0.667107103030161,NA,NA,NA,NA,NA
"217",217,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000006:10154697-10155697",157,-29.97,2,21,546,565,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___TS.g15059.t1",0.938779898628061,0.0180154908165704,0.674410729954476,NA,NA,NA,NA,NA
"223",223,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000006:7636916-7637916",146,-30.01,2,21,828,856,26,"65.38%","65.38%","Pocillopora_meandrina_HIv1___RNAseq.g27489.t1",0.938779898628061,0.0180154908165704,0.674410729954476,NA,NA,NA,NA,NA
"232",232,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000007:5135149-5136149",145,-24.83,2,20,874,894,18,"61.11%","77.78%","Pocillopora_meandrina_HIv1___RNAseq.g5575.t1",-0.927672082741259,0.0230953264417934,0.698759485874756,"Q4V8V1","Breast cancer metastasis-suppressor 1-like protein-A","Danio rerio (Zebrafish) (Brachydanio rerio)","histone deacetylation [GO:0016575]; negative regulation of cell migration [GO:0030336]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of stem cell population maintenance [GO:1902459]","GO:0000122; GO:0016575; GO:0030336; GO:0030512; GO:0042826; GO:0070822; GO:1902455; GO:1902459"
"260",260,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000012:5907976-5908976",150,-21.01,2,15,938,959,13,"76.92%","84.62%","Pocillopora_meandrina_HIv1___RNAseq.g9962.t1a",0.929810593848995,0.0220859037276938,0.694660351169505,NA,NA,NA,NA,NA
"266",266,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000013:8231368-8232368",163,-26.02,2,17,128,151,17,"82.35%","88.24%","Pocillopora_meandrina_HIv1___RNAseq.g3736.t1",-0.898047575626946,0.0384746455788641,0.760878962620332,NA,NA,NA,NA,NA
"276",276,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000015:4542727-4543727",161,-22.13,2,18,948,969,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g4470.t1",0.911529929038018,0.0311658930926369,0.736477304549637,"Q9NZJ4","Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)","Homo sapiens (Human)","negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]","GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0042802; GO:0051087; GO:0070628; GO:0070852; GO:0090084"
"295",295,"Cluster_1068","Pocillopora_meandrina_HIv1___Sc0000018:8112514-8113514",140,-22.83,2,9,791,812,7,"100.00%","100.00%","Pocillopora_meandrina_HIv1___TS.g8592.t1",0.938779898628061,0.0180154908165704,0.674410729954476,NA,NA,NA,NA,NA
"352",352,"Cluster_1080","Pocillopora_meandrina_HIv1___Sc0000010:8572196-8573196",169,-20.95,2,20,462,482,18,"77.78%","94.44%","Pocillopora_meandrina_HIv1___RNAseq.g13529.t1",-0.94794890100126,0.0141435534052206,0.674410729954476,"Q9D7M8","DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (DNA-directed RNA polymerase II subunit D)","Mus musculus (Mouse)","mRNA export from nucleus in response to heat stress [GO:0031990]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]","GO:0000166; GO:0000288; GO:0000932; GO:0005634; GO:0005654; GO:0005665; GO:0005829; GO:0006366; GO:0006367; GO:0016607; GO:0031369; GO:0031990; GO:0034402; GO:0045948"
"358",358,"Cluster_1080","Pocillopora_meandrina_HIv1___Sc0000034:363924-364924",182,-20.44,2,21,323,343,19,"89.47%","94.74%","Pocillopora_meandrina_HIv1___RNAseq.g9265.t1",0.915463997365209,0.0291280470997241,0.726734809168451,NA,NA,NA,NA,NA
"360",360,"Cluster_1080","Pocillopora_meandrina_HIv1___Sc0000044:991014-992014",178,-24.01,2,21,722,742,19,"84.21%","94.74%","Pocillopora_meandrina_HIv1___RNAseq.g4947.t1",-0.881328155386284,0.0481914054721745,0.788202769721945,"Q7TN02","Mediator of RNA polymerase II transcription subunit 26 (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26)","Mus musculus (Mouse)","positive regulation of gene expression [GO:0010628]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]","GO:0003712; GO:0005634; GO:0005654; GO:0006357; GO:0010628; GO:0016592; GO:0032968; GO:0051123; GO:0060261; GO:0070847"
"364",364,"Cluster_1116","Pocillopora_meandrina_HIv1___Sc0000003:7962721-7963721",156,-20.03,2,21,805,824,19,"78.95%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g15789.t1",-0.88869857361464,0.0438226048704799,0.774662491925395,NA,NA,NA,NA,NA
"367",367,"Cluster_1116","Pocillopora_meandrina_HIv1___Sc0000006:5728068-5729068",171,-23.99,2,21,696,720,22,"77.27%","81.82%","Pocillopora_meandrina_HIv1___TS.g14605.t2",0.896919047723435,0.0391083811405708,0.760878962620332,"Q9C0A0","Contactin-associated protein-like 4 (Cell recognition molecule Caspr4)","Homo sapiens (Human)","cell adhesion [GO:0007155]; regulation of grooming behavior [GO:2000821]; regulation of synaptic transmission, dopaminergic [GO:0032225]; regulation of synaptic transmission, GABAergic [GO:0032228]","GO:0007155; GO:0032225; GO:0032228; GO:0042734; GO:0042995; GO:2000821"
"370",370,"Cluster_1116","Pocillopora_meandrina_HIv1___Sc0000010:499671-500671",157,-20.6,2,21,600,621,20,"70.00%","85.00%","Pocillopora_meandrina_HIv1___RNAseq.g12885.t1",-0.884874533118656,0.0460728881542177,0.781898617866587,NA,NA,NA,NA,NA
"374",374,"Cluster_1116","Pocillopora_meandrina_HIv1___Sc0000013:6288542-6289078",157,-21.61,2,21,283,308,24,"70.83%","75.00%","Pocillopora_meandrina_HIv1___RNAseq.g3552.t1",0.947909268643452,0.0141596244533775,0.674410729954476,NA,NA,NA,NA,NA
"375",375,"Cluster_1116","Pocillopora_meandrina_HIv1___Sc0000015:8335637-8336637",149,-20.6,2,21,954,981,25,"64.00%","76.00%","Pocillopora_meandrina_HIv1___RNAseq.g4733.t1b",0.984268783372301,0.00236292463134709,0.667107103030161,NA,NA,NA,NA,NA
"413",413,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000002:9804337-9805337",143,-22.21,2,18,839,859,16,"68.75%","75.00%","Pocillopora_meandrina_HIv1___RNAseq.g7188.t1",-0.941449087059812,0.0168571020246151,0.674410729954476,NA,NA,NA,NA,NA
"423",423,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000005:12318449-12319449",150,-20.78,2,21,83,103,19,"68.42%","73.68%","Pocillopora_meandrina_HIv1___RNAseq.g23904.t1",-0.945872618092515,0.0149934490890256,0.674410729954476,NA,NA,NA,NA,NA
"433",433,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000006:7354421-7355421",152,-20.29,2,20,257,276,18,"72.22%","77.78%","Pocillopora_meandrina_HIv1___RNAseq.g27467.t1",-0.980394648427,0.00328559858298792,0.667107103030161,"O42412","Thyroxine 5-deiodinase (EC 1.21.99.3) (5DIII) (DIOIII) (Type 3 DI) (Type III iodothyronine deiodinase)","Gallus gallus (Chicken)","hormone biosynthetic process [GO:0042446]; thyroid hormone metabolic process [GO:0042403]","GO:0004800; GO:0005886; GO:0010008; GO:0033798; GO:0042403; GO:0042446"
"444",444,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000008:8063371-8064371",147,-21.59,2,19,589,611,19,"73.68%","73.68%","Pocillopora_meandrina_HIv1___RNAseq.g2374.t1",-0.937764994677695,0.0184624632119159,0.677936616642814,NA,NA,NA,NA,NA
"460",460,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000015:9271412-9272412",156,-20.76,2,21,905,926,19,"68.42%","73.68%","Pocillopora_meandrina_HIv1___RNAseq.g4840.t1",-0.897961449768791,0.0385228939633405,0.760878962620332,"A2A6A1","G patch domain-containing protein 8","Mus musculus (Mouse)","","GO:0003676; GO:0005634; GO:0046872"
"492",492,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000034:2976433-2976835",151,-25.15,2,21,368,393,23,"65.22%","69.57%","Pocillopora_meandrina_HIv1___RNAseq.g9470.t1",-0.93581307375279,0.0193320343366891,0.68529644171199,NA,NA,NA,NA,NA
"497",497,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000039:1186485-1187485",160,-25,2,20,765,789,21,"80.95%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g3965.t1",-0.95853811479899,0.0100713536600541,0.667107103030161,"Q460N5","Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2) (Poly [ADP-ribose] polymerase 14) (PARP-14)","Homo sapiens (Human)","innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of type II interferon-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein poly-ADP-ribosylation [GO:0070212]","GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0010629; GO:0016020; GO:0016779; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:1902216; GO:1990404"
"498",498,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000039:1211573-1212573",160,-25,2,20,766,790,21,"80.95%","80.95%","Pocillopora_meandrina_HIv1___RNAseq.g3966.t1",-0.960835050497104,0.00924937266998503,0.667107103030161,"Q460N5","Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2) (Poly [ADP-ribose] polymerase 14) (PARP-14)","Homo sapiens (Human)","innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of type II interferon-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein poly-ADP-ribosylation [GO:0070212]","GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0010629; GO:0016020; GO:0016779; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:1902216; GO:1990404"
"499",499,"Cluster_1296","Pocillopora_meandrina_HIv1___Sc0000040:2422872-2423872",155,-22.93,2,20,324,345,18,"66.67%","77.78%","Pocillopora_meandrina_HIv1___TS.g15728.t1",-0.88766157913043,0.044429295698789,0.776294186242663,NA,NA,NA,NA,NA
"516",516,"Cluster_1793","Pocillopora_meandrina_HIv1___Sc0000002:6066890-6067890",179,-27.46,2,20,439,459,18,"88.89%","88.89%","Pocillopora_meandrina_HIv1___RNAseq.g6914.t1",-0.920731943787312,0.0264696868151218,0.71428916766521,NA,NA,NA,NA,NA
"521",521,"Cluster_1793","Pocillopora_meandrina_HIv1___Sc0000006:12384354-12385354",191,-31.07,2,20,576,596,18,"94.44%","100.00%","Pocillopora_meandrina_HIv1___RNAseq.g27972.t1",-0.938821380753771,0.017997297530927,0.674410729954476,NA,NA,NA,NA,NA
"569",569,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000000:11638378-11639378",157,-20.18,2,22,566,588,20,"65.00%","75.00%","Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a",-0.931929555088538,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"599",599,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000001:16450717-16451717",152,-20.98,2,19,979,1000,17,"64.71%","88.24%","Pocillopora_meandrina_HIv1___RNAseq.g20039.t1",-0.931929555088538,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"607",607,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000001:3632973-3633973",150,-23.15,2,22,298,320,21,"61.90%","80.95%","Pocillopora_meandrina_HIv1___TS.g28288.t1",-0.931929555088539,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"640",640,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000003:15551635-15552635",153,-22.24,2,22,172,192,20,"70.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g16347.t1",-0.916779953336722,0.0284563307217094,0.724029933136918,"Q9VBW3","Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14)","Drosophila melanogaster (Fruit fly)","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; Golgi organization [GO:0007030]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of cell size [GO:0045792]; positive regulation of kinase activity [GO:0033674]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of wound healing [GO:0090303]; protein phosphorylation [GO:0006468]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; wound healing [GO:0042060]","GO:0004713; GO:0004714; GO:0005509; GO:0005524; GO:0005886; GO:0006468; GO:0007030; GO:0007156; GO:0007169; GO:0014068; GO:0016339; GO:0033674; GO:0042060; GO:0043235; GO:0045177; GO:0045792; GO:0090303"
"663",663,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000004:14512732-14513108",146,-20.35,2,11,289,311,9,"88.89%","100.00%","Pocillopora_meandrina_HIv1___TS.g13098.t1",-0.968690929628852,0.0066189476302874,0.667107103030161,NA,NA,NA,NA,NA
"669",669,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000005:10887140-10888140",167,-24.63,2,21,405,428,20,"70.00%","90.00%","Pocillopora_meandrina_HIv1___RNAseq.9397_t",-0.938290343737649,0.0182306508277494,0.67649047138782,"Q58D31","Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9)","Bos taurus (Bovine)","flagellated sperm motility [GO:0030317]; sorbitol catabolic process [GO:0006062]","GO:0003939; GO:0006062; GO:0008270; GO:0030317; GO:0031514; GO:0031966; GO:0046526"
"675",675,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000005:13790762-13791762",158,-24,2,15,320,342,13,"84.62%","92.31%","Pocillopora_meandrina_HIv1___TS.g16929.t1",-0.931505175469489,0.021296460478133,0.689082978724957,"Q8IVG5","Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like)","Homo sapiens (Human)","","GO:0005737; GO:0005739; GO:0005769"
"684",684,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000006:1791386-1792386",164,-22.77,2,22,130,153,21,"66.67%","85.71%","Pocillopora_meandrina_HIv1___RNAseq.g26810.t1",-0.926538810640125,0.0236361348277314,0.698759485874756,NA,NA,NA,NA,NA
"688",688,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000006:2535800-2536800",166,-21.65,2,22,225,245,20,"75.00%","85.00%","Pocillopora_meandrina_HIv1___RNAseq.g26939.t1",-0.931929555088539,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"706",706,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000007:2144770-2145770",156,-20.26,2,20,400,420,18,"72.22%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g5308.t1",-0.970702274621538,0.00599331201058183,0.667107103030161,"Q3UJK4","GTP-binding protein 2 (GTP-binding-like protein 2)","Mus musculus (Mouse)","nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; rescue of stalled ribosome [GO:0072344]; translational elongation [GO:0006414]","GO:0003746; GO:0003924; GO:0005525; GO:0006414; GO:0042802; GO:0070966; GO:0072344"
"722",722,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000008:5806767-5807767",160,-22.98,2,18,957,981,18,"77.78%","83.33%","Pocillopora_meandrina_HIv1___TS.g4673.t1",-0.913412453415158,0.0301852264600589,0.731630337652041,"A0JMD4","Two pore channel protein 2 (Two pore calcium channel protein 2) (Voltage-dependent calcium channel protein TPC2)","Danio rerio (Zebrafish) (Brachydanio rerio)","calcium-mediated signaling [GO:0019722]; endocytosis involved in viral entry into host cell [GO:0075509]; regulation of ion transmembrane transport [GO:0034765]; regulation of myotome development [GO:2000290]; skeletal myofibril assembly [GO:0014866]; smooth muscle contraction [GO:0006939]; sodium ion transmembrane transport [GO:0035725]","GO:0005245; GO:0005764; GO:0005765; GO:0006939; GO:0014866; GO:0015280; GO:0019722; GO:0031902; GO:0034765; GO:0035725; GO:0042802; GO:0072345; GO:0075509; GO:0080025; GO:0097682; GO:2000290"
"738",738,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000010:3600541-3601541",151,-22.03,2,20,787,806,18,"66.67%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g13248.t1",-0.931929555088539,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"758",758,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000012:6753947-6754947",158,-21.74,2,19,302,324,17,"76.47%","76.47%","Pocillopora_meandrina_HIv1___RNAseq.g10013.t1",0.892902407030778,0.0413905055173883,0.765959821806914,NA,NA,NA,NA,NA
"763",763,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000012:9867758-9868066",172,-24.23,2,22,274,298,22,"77.27%","81.82%","Pocillopora_meandrina_HIv1___TS.g23752.t1",-0.931929555088538,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"772",772,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000013:7635303-7636303",158,-23.46,2,17,792,816,17,"82.35%","88.24%","Pocillopora_meandrina_HIv1___RNAseq.g3677.t1",-0.931929555088539,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"777",777,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000014:4140557-4141557",161,-20.67,2,18,934,956,16,"75.00%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g26199.t1",-0.878424320238951,0.0499483505098944,0.792431097388,"P12716","Actin, cytoplasmic (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic, intermediate form]","Pisaster ochraceus (Ochre sea star) (Asterias ochracea)","","GO:0005524; GO:0005737; GO:0005856; GO:0016787"
"782",782,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000015:8728436-8729436",156,-20.68,2,22,97,120,21,"66.67%","76.19%","Pocillopora_meandrina_HIv1___RNAseq.g4782.t1",-0.962736514933134,0.00858650786786343,0.667107103030161,"P22574","Homeobox protein Hox-B4a (Hox-B4) (Homeobox protein Zf-13)","Danio rerio (Zebrafish) (Brachydanio rerio)","anterior/posterior pattern specification [GO:0009952]; embryonic skeletal system morphogenesis [GO:0048704]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0048704"
"785",785,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000016:1605439-1606439",158,-20.18,2,20,62,85,19,"68.42%","84.21%","Pocillopora_meandrina_HIv1___RNAseq.g11294.t1",-0.931929555088539,0.021100218742159,0.687095063784671,NA,NA,NA,NA,NA
"787",787,"Cluster_1938","Pocillopora_meandrina_HIv1___Sc0000016:1868037-1869037",169,-22.61,2,22,623,645,20,"75.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g11321.t1",-0.946406867222498,0.0147732199935823,0.674410729954476,"Q13443","Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)","Homo sapiens (Human)","amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]","GO:0004222; GO:0005080; GO:0005178; GO:0005518; GO:0005615; GO:0005925; GO:0006509; GO:0007155; GO:0007160; GO:0007179; GO:0007229; GO:0008237; GO:0009897; GO:0009986; GO:0010042; GO:0016477; GO:0016485; GO:0017124; GO:0030216; GO:0030335; GO:0031293; GO:0033627; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0042987; GO:0043236; GO:0043406; GO:0046872; GO:0050714; GO:0051044; GO:0051384; GO:0051549; GO:0051592; GO:0070062; GO:0071222; GO:1902945"
