# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/01.61-lncRNA-pipeline/Peve_lncRNA_fixed.gtf" "-o" "../output/01.61-lncRNA-pipeline/Peve_counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam" "../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.61-lncRNA-pipeline/RNA-POR-71-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-73-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-76-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-79-S1-TP2.sorted.bam	../output/01.61-lncRNA-pipeline/RNA-POR-82-S1-TP2.sorted.bam
lncRNA_35	Porites_evermani_scaffold_1	1361448	1366431	+	4984	0	0	0	0	0
lncRNA_36	Porites_evermani_scaffold_1	1361458	1369482	+	8025	0	0	0	0	0
lncRNA_37	Porites_evermani_scaffold_1	1361458	1369482	+	8025	0	0	0	0	0
lncRNA_38	Porites_evermani_scaffold_1	1485980	1489082	+	3103	2	0	0	0	6
lncRNA_39	Porites_evermani_scaffold_1	1491331	1511273	+	19943	120	93	390	90	169
lncRNA_40	Porites_evermani_scaffold_1	1579058	1579301	+	244	0	0	0	0	0
lncRNA_41	Porites_evermani_scaffold_1	1585708	1591493	+	5786	159	78	288	97	325
lncRNA_42	Porites_evermani_scaffold_1	1593913	1611229	+	17317	73	60	195	34	97
lncRNA_43	Porites_evermani_scaffold_1	1604964	1611229	+	6266	0	0	0	0	0
lncRNA_44	Porites_evermani_scaffold_1	1605025	1611229	+	6205	0	0	0	0	0
lncRNA_45	Porites_evermani_scaffold_1	1616159	1620029	+	3871	142	30	221	22	140
lncRNA_46	Porites_evermani_scaffold_1	1680201	1687620	+	7420	16556	19519	26673	9669	39930
lncRNA_47	Porites_evermani_scaffold_1	1690018	1697961	+	7944	4	1	0	17	0
lncRNA_48	Porites_evermani_scaffold_1	1690383	1697961	+	7579	0	0	0	0	0
lncRNA_49	Porites_evermani_scaffold_1	1740363	1742166	+	1804	83	32	211	34	53
lncRNA_50	Porites_evermani_scaffold_1	1748488	1782190	+	33703	113	89	267	160	360
lncRNA_51	Porites_evermani_scaffold_1	1800468	1802489	+	2022	26	0	0	2	2
lncRNA_52	Porites_evermani_scaffold_1	2565	6331	+	3767	0	0	0	0	0
lncRNA_53	Porites_evermani_scaffold_1	2565	6331	+	3767	0	0	0	0	0
lncRNA_54	Porites_evermani_scaffold_1	101849	109532	+	7684	169	70	276	45	105
lncRNA_55	Porites_evermani_scaffold_1	149637	155026	+	5390	1864	844	2596	922	3328
lncRNA_56	Porites_evermani_scaffold_1	210456	220608	+	10153	49	32	144	50	51
lncRNA_57	Porites_evermani_scaffold_1	213154	215387	+	2234	0	0	0	0	0
lncRNA_58	Porites_evermani_scaffold_1	269247	269691	+	445	2	0	0	0	3
lncRNA_59	Porites_evermani_scaffold_1	274649	275762	+	1114	0	0	10	0	2
lncRNA_60	Porites_evermani_scaffold_1	283309	286412	+	3104	0	1	51	0	7
lncRNA_61	Porites_evermani_scaffold_1	307246	313927	+	6682	1	0	16	0	26
lncRNA_62	Porites_evermani_scaffold_1	307342	313927	+	6586	0	0	0	0	0
lncRNA_63	Porites_evermani_scaffold_1	308279	313927	+	5649	0	0	0	0	0
lncRNA_64	Porites_evermani_scaffold_1	322274	331629	+	9356	0	0	0	0	0
lncRNA_65	Porites_evermani_scaffold_1	322287	330562	+	8276	0	0	0	0	0
lncRNA_66	Porites_evermani_scaffold_1	322289	331629	+	9341	0	0	0	0	0
lncRNA_67	Porites_evermani_scaffold_1	322326	331680	+	9355	2	0	0	0	0
lncRNA_68	Porites_evermani_scaffold_1	422643	423512	+	870	0	0	0	0	0
lncRNA_69	Porites_evermani_scaffold_1	424076	424277	+	202	1	8	18	0	1
lncRNA_70	Porites_evermani_scaffold_1	424478	429034	+	4557	46	8	93	2	9
lncRNA_71	Porites_evermani_scaffold_1	438941	447192	+	8252	495	249	321	329	493
lncRNA_72	Porites_evermani_scaffold_1	440254	447192	+	6939	0	0	0	0	0
lncRNA_73	Porites_evermani_scaffold_1	462456	477071	+	14616	15587	3168	5294	4429	16920
lncRNA_74	Porites_evermani_scaffold_1	486163	490079	+	3917	12	1	2	0	0
lncRNA_75	Porites_evermani_scaffold_1	486174	486892	+	719	0	0	0	0	0
lncRNA_76	Porites_evermani_scaffold_1	492252	504354	+	12103	2	0	0	0	1
lncRNA_77	Porites_evermani_scaffold_1	492364	504354	+	11991	0	0	0	0	0
lncRNA_78	Porites_evermani_scaffold_1	492611	523702	+	31092	0	0	0	0	0
lncRNA_79	Porites_evermani_scaffold_1	505388	523702	+	18315	0	0	0	0	0
lncRNA_80	Porites_evermani_scaffold_1	525254	534693	+	9440	12866	4742	2553	6781	10203
lncRNA_81	Porites_evermani_scaffold_1	529278	534693	+	5416	0	0	0	0	0
lncRNA_82	Porites_evermani_scaffold_1	554421	571855	+	17435	101	30	234	103	162
lncRNA_83	Porites_evermani_scaffold_1	595094	597300	+	2207	2	0	48	3	12
lncRNA_84	Porites_evermani_scaffold_1	665095	669160	+	4066	0	0	0	0	0
lncRNA_85	Porites_evermani_scaffold_1	665139	669160	+	4022	0	0	0	0	0
lncRNA_86	Porites_evermani_scaffold_1	679763	680210	+	448	0	0	0	0	0
lncRNA_87	Porites_evermani_scaffold_1	700640	711574	+	10935	84	30	2	55	111
lncRNA_88	Porites_evermani_scaffold_1	716352	717549	+	1198	15695	2535	2779	7641	17513
lncRNA_89	Porites_evermani_scaffold_1	725768	737893	+	12126	10	0	0	8	28
lncRNA_90	Porites_evermani_scaffold_1	728828	739438	+	10611	0	0	0	0	0
lncRNA_91	Porites_evermani_scaffold_1	728941	739438	+	10498	0	0	0	0	0
lncRNA_92	Porites_evermani_scaffold_1	728941	739438	+	10498	0	0	0	0	0
lncRNA_93	Porites_evermani_scaffold_1	818678	819860	+	1183	203	170	1291	212	477
lncRNA_94	Porites_evermani_scaffold_1	821302	828044	+	6743	112	158	187	60	132
lncRNA_95	Porites_evermani_scaffold_1	822045	828044	+	6000	0	0	0	0	0
lncRNA_96	Porites_evermani_scaffold_1	829786	835541	+	5756	130	88	580	122	146
lncRNA_97	Porites_evermani_scaffold_1	1023009	1030894	+	7886	6	0	0	0	20
lncRNA_98	Porites_evermani_scaffold_1	1045506	1045824	+	319	0	0	0	0	0
lncRNA_99	Porites_evermani_scaffold_1	1046286	1048284	+	1999	0	5	0	0	0
lncRNA_100	Porites_evermani_scaffold_1	1055095	1062137	+	7043	262	88	96	56	363
lncRNA_101	Porites_evermani_scaffold_1	1057487	1064479	+	6993	0	0	0	0	6
lncRNA_102	Porites_evermani_scaffold_1	1084867	1089422	+	4556	334	112	0	147	431
lncRNA_103	Porites_evermani_scaffold_1	1207862	1256716	+	48855	173	78	352	59	91
lncRNA_104	Porites_evermani_scaffold_1	1306243	1319585	+	13343	4	0	0	4	5
lncRNA_105	Porites_evermani_scaffold_1	1306795	1319585	+	12791	0	0	0	0	0
lncRNA_106	Porites_evermani_scaffold_1	1306797	1317545	+	10749	0	0	0	0	0
lncRNA_107	Porites_evermani_scaffold_1	1321938	1323128	+	1191	0	0	0	0	0
lncRNA_108	Porites_evermani_scaffold_1	1328832	1329768	+	937	0	0	137	0	13
lncRNA_109	Porites_evermani_scaffold_1	1370266	1377818	+	7553	772	415	1124	584	767
lncRNA_110	Porites_evermani_scaffold_1	1371698	1377818	+	6121	0	0	0	0	0
lncRNA_111	Porites_evermani_scaffold_1	1380412	1417060	+	36649	9	0	0	0	4
lncRNA_112	Porites_evermani_scaffold_1	1380748	1417060	+	36313	0	0	0	0	0
lncRNA_113	Porites_evermani_scaffold_1	1434176	1448182	+	14007	215	199	209	253	386
lncRNA_114	Porites_evermani_scaffold_1	1435394	1450173	+	14780	3	0	0	1	9
lncRNA_115	Porites_evermani_scaffold_1	1574631	1583392	+	8762	253	157	155	201	209
lncRNA_116	Porites_evermani_scaffold_1	1632711	1640507	+	7797	0	0	0	0	0
lncRNA_117	Porites_evermani_scaffold_1	1632711	1640507	+	7797	0	0	0	0	0
lncRNA_118	Porites_evermani_scaffold_1	1632718	1640507	+	7790	0	0	0	0	0
lncRNA_119	Porites_evermani_scaffold_1	1632718	1640507	+	7790	0	0	0	0	0
lncRNA_120	Porites_evermani_scaffold_1	1632745	1639775	+	7031	0	0	0	0	0
lncRNA_121	Porites_evermani_scaffold_1	1633048	1640507	+	7460	0	0	0	0	0
lncRNA_122	Porites_evermani_scaffold_1	1633070	1640507	+	7438	0	0	0	0	0
lncRNA_123	Porites_evermani_scaffold_1	1635368	1639775	+	4408	0	0	0	0	0
lncRNA_124	Porites_evermani_scaffold_1	1639156	1640507	+	1352	0	0	0	0	0
lncRNA_125	Porites_evermani_scaffold_1	1643415	1660056	+	16642	0	0	0	0	0
lncRNA_126	Porites_evermani_scaffold_1	1643468	1660056	+	16589	0	0	0	0	0
lncRNA_127	Porites_evermani_scaffold_1	1671729	1673714	+	1986	56	60	186	50	137
lncRNA_128	Porites_evermani_scaffold_1	1715634	1725219	+	9586	612	209	316	342	631
lncRNA_129	Porites_evermani_scaffold_1	1785757	1786303	+	547	18	22	60	25	39
lncRNA_130	Porites_evermani_scaffold_1	1786867	1787144	+	278	29	3	72	18	0
lncRNA_131	Porites_evermani_scaffold_1	1788103	1792423	+	4321	104	52	294	137	41
lncRNA_132	Porites_evermani_scaffold_1	86665	87363	+	699	648	230	212	104	1149
lncRNA_133	Porites_evermani_scaffold_1	208799	209203	+	405	5	0	64	2	15
lncRNA_134	Porites_evermani_scaffold_1	267810	268477	+	668	15	1	88	22	2
lncRNA_135	Porites_evermani_scaffold_1	372245	372449	+	205	9	0	26	8	18
lncRNA_136	Porites_evermani_scaffold_1	663959	664258	+	300	4	6	33	3	13
lncRNA_137	Porites_evermani_scaffold_1	708835	709158	+	324	0	0	0	0	0
lncRNA_138	Porites_evermani_scaffold_1	741551	743416	+	1866	199	110	201	88	380
lncRNA_139	Porites_evermani_scaffold_1	797316	799464	+	2149	116	55	435	21	190
lncRNA_140	Porites_evermani_scaffold_1	799726	800144	+	419	10	5	118	2	61
lncRNA_141	Porites_evermani_scaffold_1	974432	974726	+	295	16	6	77	6	38
lncRNA_142	Porites_evermani_scaffold_1	1202044	1202328	+	285	4	0	28	0	3
lncRNA_143	Porites_evermani_scaffold_1	1477781	1478077	+	297	0	0	40	0	0
lncRNA_144	Porites_evermani_scaffold_1	1483216	1483696	+	481	4	4	84	14	26
lncRNA_145	Porites_evermani_scaffold_1	1711688	1711964	+	277	26	0	46	0	2
lncRNA_146	Porites_evermani_scaffold_1	1712480	1712705	+	226	11	0	33	5	2
lncRNA_147	Porites_evermani_scaffold_1	1758804	1759079	+	276	0	0	0	0	0
lncRNA_148	Porites_evermani_scaffold_10	161304	188259	+	26956	43	10	127	27	53
lncRNA_149	Porites_evermani_scaffold_10	161353	186747	+	25395	0	0	0	0	0
lncRNA_150	Porites_evermani_scaffold_10	189846	196981	+	7136	0	0	0	0	0
lncRNA_151	Porites_evermani_scaffold_10	189846	196981	+	7136	0	0	0	0	0
lncRNA_152	Porites_evermani_scaffold_10	190275	198925	+	8651	5	0	36	28	86
lncRNA_153	Porites_evermani_scaffold_10	260427	263111	+	2685	0	0	0	0	0
lncRNA_154	Porites_evermani_scaffold_10	260440	263111	+	2672	0	0	0	0	0
lncRNA_155	Porites_evermani_scaffold_10	264840	270359	+	5520	453	383	718	550	399
lncRNA_156	Porites_evermani_scaffold_10	318856	330698	+	11843	0	0	0	0	0
lncRNA_157	Porites_evermani_scaffold_10	318856	330698	+	11843	0	0	0	0	0
lncRNA_158	Porites_evermani_scaffold_10	318856	330698	+	11843	0	0	0	0	0
lncRNA_159	Porites_evermani_scaffold_10	321042	330698	+	9657	0	0	0	0	0
lncRNA_160	Porites_evermani_scaffold_10	561903	567236	+	5334	3840	8950	2634	2737	2370
lncRNA_161	Porites_evermani_scaffold_10	562194	564790	+	2597	0	0	0	0	0
lncRNA_162	Porites_evermani_scaffold_10	612387	617900	+	5514	3834	948	1142	1298	4504
lncRNA_163	Porites_evermani_scaffold_10	695456	696610	+	1155	0	0	0	0	0
lncRNA_164	Porites_evermani_scaffold_10	723779	726426	+	2648	2	2	15	0	0
lncRNA_165	Porites_evermani_scaffold_10	764132	772718	+	8587	0	1	13	6	6
lncRNA_166	Porites_evermani_scaffold_10	780074	781491	+	1418	0	0	0	0	0
lncRNA_167	Porites_evermani_scaffold_10	780105	781896	+	1792	0	0	8	0	0
lncRNA_168	Porites_evermani_scaffold_10	815185	821439	+	6255	8	0	0	10	0
lncRNA_169	Porites_evermani_scaffold_10	822420	823992	+	1573	94	63	229	198	156
lncRNA_170	Porites_evermani_scaffold_10	890033	892111	+	2079	2867	983	5846	3452	4254
lncRNA_171	Porites_evermani_scaffold_10	892255	917469	+	25215	0	0	20	0	0
lncRNA_172	Porites_evermani_scaffold_10	892288	914235	+	21948	0	0	0	0	0
lncRNA_173	Porites_evermani_scaffold_10	960783	967260	+	6478	0	2	0	2	0
lncRNA_174	Porites_evermani_scaffold_10	1071612	1085055	+	13444	0	0	0	4	6
lncRNA_175	Porites_evermani_scaffold_10	1071808	1085055	+	13248	0	0	0	0	0
lncRNA_176	Porites_evermani_scaffold_10	1075979	1085055	+	9077	0	0	0	0	0
lncRNA_177	Porites_evermani_scaffold_10	1076113	1085055	+	8943	0	0	0	0	0
lncRNA_178	Porites_evermani_scaffold_10	16485	16833	+	349	0	0	0	0	0
lncRNA_179	Porites_evermani_scaffold_10	142409	152395	+	9987	96	28	276	90	70
lncRNA_180	Porites_evermani_scaffold_10	220335	220896	+	562	73	16	66	34	128
lncRNA_181	Porites_evermani_scaffold_10	227006	231898	+	4893	37	0	578	102	111
lncRNA_182	Porites_evermani_scaffold_10	231158	233251	+	2094	0	0	0	0	0
lncRNA_183	Porites_evermani_scaffold_10	231898	250545	+	18648	93	52	593	288	562
lncRNA_184	Porites_evermani_scaffold_10	240017	243709	+	3693	0	0	0	0	0
lncRNA_185	Porites_evermani_scaffold_10	247351	250545	+	3195	0	0	0	0	0
lncRNA_186	Porites_evermani_scaffold_10	237325	239701	+	2377	0	0	0	0	0
lncRNA_187	Porites_evermani_scaffold_10	250755	254859	+	4105	13	0	34	4	6
lncRNA_188	Porites_evermani_scaffold_10	284174	285163	+	990	0	0	0	0	12
lncRNA_189	Porites_evermani_scaffold_10	305001	313356	+	8356	0	0	0	0	0
lncRNA_190	Porites_evermani_scaffold_10	305012	313356	+	8345	0	0	0	0	0
lncRNA_191	Porites_evermani_scaffold_10	305012	313356	+	8345	0	0	0	0	0
lncRNA_192	Porites_evermani_scaffold_10	305881	310695	+	4815	0	0	0	0	0
lncRNA_193	Porites_evermani_scaffold_10	330174	339383	+	9210	0	0	0	0	0
lncRNA_194	Porites_evermani_scaffold_10	330174	341560	+	11387	2	0	0	2	1
lncRNA_195	Porites_evermani_scaffold_10	418585	419560	+	976	30	0	156	54	124
lncRNA_196	Porites_evermani_scaffold_10	419695	423672	+	3978	34	9	164	27	122
lncRNA_197	Porites_evermani_scaffold_10	420534	421949	+	1416	0	0	0	0	0
lncRNA_198	Porites_evermani_scaffold_10	422198	427707	+	5510	0	0	0	8	18
lncRNA_199	Porites_evermani_scaffold_10	464404	465649	+	1246	0	0	0	0	0
lncRNA_200	Porites_evermani_scaffold_10	464566	465649	+	1084	0	0	0	0	0
lncRNA_201	Porites_evermani_scaffold_10	467964	472361	+	4398	4	0	12	6	0
lncRNA_202	Porites_evermani_scaffold_10	499549	499901	+	353	0	0	0	0	0
lncRNA_203	Porites_evermani_scaffold_10	501902	503955	+	2054	2	1	26	3	10
lncRNA_204	Porites_evermani_scaffold_10	510560	513287	+	2728	10	6	63	44	36
lncRNA_205	Porites_evermani_scaffold_10	517921	520657	+	2737	6	10	60	13	44
lncRNA_206	Porites_evermani_scaffold_10	524809	525785	+	977	4	10	89	30	28
lncRNA_207	Porites_evermani_scaffold_10	547963	549085	+	1123	5	8	46	8	13
lncRNA_208	Porites_evermani_scaffold_10	572522	573395	+	874	0	0	0	0	0
lncRNA_209	Porites_evermani_scaffold_10	594440	597371	+	2932	0	0	0	0	0
lncRNA_210	Porites_evermani_scaffold_10	602830	604015	+	1186	48	0	8	8	43
lncRNA_211	Porites_evermani_scaffold_10	605445	607627	+	2183	102	44	589	119	183
lncRNA_212	Porites_evermani_scaffold_10	624449	627164	+	2716	10	2	22	17	14
lncRNA_213	Porites_evermani_scaffold_10	691896	692814	+	919	0	0	0	0	2
lncRNA_214	Porites_evermani_scaffold_10	755413	755962	+	550	0	0	0	0	0
lncRNA_215	Porites_evermani_scaffold_10	921935	924406	+	2472	6	0	0	0	2
lncRNA_216	Porites_evermani_scaffold_10	928890	931235	+	2346	20	0	0	0	0
lncRNA_217	Porites_evermani_scaffold_10	1048397	1055014	+	6618	0	16	21	0	10
lncRNA_218	Porites_evermani_scaffold_10	1059959	1060607	+	649	0	0	0	0	0
lncRNA_219	Porites_evermani_scaffold_10	1112665	1115093	+	2429	7	1	0	0	0
lncRNA_220	Porites_evermani_scaffold_10	1116565	1124222	+	7658	1	2	1	2	11
lncRNA_221	Porites_evermani_scaffold_10	1137018	1155879	+	18862	0	2	0	2	6
lncRNA_222	Porites_evermani_scaffold_10	1137956	1155879	+	17924	0	0	0	0	0
lncRNA_223	Porites_evermani_scaffold_10	1141267	1143700	+	2434	0	0	0	0	0
lncRNA_224	Porites_evermani_scaffold_10	25816	26468	+	653	203	0	2	22	92
lncRNA_225	Porites_evermani_scaffold_10	59062	59394	+	333	0	0	35	0	0
lncRNA_226	Porites_evermani_scaffold_10	73507	73729	+	223	0	0	40	3	4
lncRNA_227	Porites_evermani_scaffold_10	224119	224845	+	727	1023	488	1787	897	2153
lncRNA_228	Porites_evermani_scaffold_10	303646	304284	+	639	16	6	4	0	6
lncRNA_229	Porites_evermani_scaffold_10	350626	351725	+	1100	9	0	136	38	8
lncRNA_230	Porites_evermani_scaffold_10	403613	405205	+	1593	23	15	193	19	141
lncRNA_231	Porites_evermani_scaffold_10	413266	413486	+	221	16	0	0	2	28
lncRNA_232	Porites_evermani_scaffold_10	456861	457132	+	272	2	0	30	0	0
lncRNA_233	Porites_evermani_scaffold_10	489116	489356	+	241	0	0	40	0	0
lncRNA_234	Porites_evermani_scaffold_10	538147	538387	+	241	3	0	24	9	0
lncRNA_235	Porites_evermani_scaffold_10	599620	600024	+	405	10	6	73	12	13
lncRNA_236	Porites_evermani_scaffold_10	1043981	1044529	+	549	28	42	88	43	83
lncRNA_237	Porites_evermani_scaffold_10	1045986	1046752	+	767	111	28	52	52	99
lncRNA_238	Porites_evermani_scaffold_10	1181563	1182204	+	642	396	61	188	82	492
lncRNA_239	Porites_evermani_scaffold_10	1183265	1183548	+	284	0	0	28	0	10
lncRNA_240	Porites_evermani_scaffold_10	1195311	1195548	+	238	0	0	28	0	0
lncRNA_241	Porites_evermani_scaffold_100	49375	71827	+	22453	203	160	491	151	182
lncRNA_242	Porites_evermani_scaffold_100	76876	85201	+	8326	0	0	0	0	0
lncRNA_243	Porites_evermani_scaffold_100	76876	85201	+	8326	0	0	0	0	0
lncRNA_244	Porites_evermani_scaffold_100	76892	85201	+	8310	0	0	0	0	0
lncRNA_245	Porites_evermani_scaffold_100	96686	97079	+	394	8	0	0	0	0
lncRNA_246	Porites_evermani_scaffold_100	248550	275221	+	26672	0	1	2	5	13
lncRNA_247	Porites_evermani_scaffold_100	303839	306424	+	2586	536	271	659	441	506
lncRNA_248	Porites_evermani_scaffold_100	467739	468875	+	1137	5	0	0	0	45
lncRNA_249	Porites_evermani_scaffold_100	478268	504168	+	25901	1204	198	6504	1227	2577
lncRNA_250	Porites_evermani_scaffold_100	2447	10576	+	8130	1125	555	2640	1788	4030
lncRNA_251	Porites_evermani_scaffold_100	36060	36597	+	538	14	20	30	36	18
lncRNA_252	Porites_evermani_scaffold_100	39105	39317	+	213	8	0	29	0	0
lncRNA_253	Porites_evermani_scaffold_100	39365	41000	+	1636	20	6	61	0	29
lncRNA_254	Porites_evermani_scaffold_100	90922	91951	+	1030	2	0	0	0	0
lncRNA_255	Porites_evermani_scaffold_100	102557	103953	+	1397	0	0	0	0	0
lncRNA_256	Porites_evermani_scaffold_100	126279	127281	+	1003	8	6	1	0	0
lncRNA_257	Porites_evermani_scaffold_100	147846	152138	+	4293	14	6	37	7	9
lncRNA_258	Porites_evermani_scaffold_100	180349	205505	+	25157	0	0	0	0	0
lncRNA_259	Porites_evermani_scaffold_100	180364	204837	+	24474	0	0	0	0	0
lncRNA_260	Porites_evermani_scaffold_100	180368	205505	+	25138	0	0	0	0	0
lncRNA_261	Porites_evermani_scaffold_100	208305	216507	+	8203	65	49	215	73	108
lncRNA_262	Porites_evermani_scaffold_100	232466	238657	+	6192	79	33	95	39	119
lncRNA_263	Porites_evermani_scaffold_100	277388	293660	+	16273	0	0	0	0	0
lncRNA_264	Porites_evermani_scaffold_100	277388	298969	+	21582	9	0	49	7	13
lncRNA_265	Porites_evermani_scaffold_100	362047	364720	+	2674	0	0	0	0	2
lncRNA_266	Porites_evermani_scaffold_100	399628	400056	+	429	0	0	0	0	6
lncRNA_267	Porites_evermani_scaffold_100	417913	438089	+	20177	104	51	66	48	109
lncRNA_268	Porites_evermani_scaffold_100	445551	446676	+	1126	450	197	1134	308	394
lncRNA_269	Porites_evermani_scaffold_100	479227	480232	+	1006	0	0	0	0	0
lncRNA_270	Porites_evermani_scaffold_100	483931	486756	+	2826	0	0	0	0	0
lncRNA_271	Porites_evermani_scaffold_100	522102	523479	+	1378	4	0	0	0	0
lncRNA_272	Porites_evermani_scaffold_100	72458	72849	+	392	11	12	100	1	30
lncRNA_273	Porites_evermani_scaffold_100	74376	74611	+	236	12	29	32	3	19
lncRNA_274	Porites_evermani_scaffold_100	148592	148883	+	292	0	0	0	0	0
lncRNA_275	Porites_evermani_scaffold_100	149555	150013	+	459	0	0	0	0	0
lncRNA_276	Porites_evermani_scaffold_100	207392	207801	+	410	42	40	131	44	80
lncRNA_277	Porites_evermani_scaffold_100	306695	307207	+	513	369	296	262	322	183
lncRNA_278	Porites_evermani_scaffold_100	369850	370112	+	263	0	2	0	0	28
lncRNA_279	Porites_evermani_scaffold_100	413927	414220	+	294	0	2	39	0	0
lncRNA_280	Porites_evermani_scaffold_100	465896	466521	+	626	3	0	37	24	19
lncRNA_281	Porites_evermani_scaffold_1000	165	4794	+	4630	353	206	333	240	506
lncRNA_282	Porites_evermani_scaffold_1000	66769	77486	+	10718	88	73	74	53	120
lncRNA_283	Porites_evermani_scaffold_1000	67210	77486	+	10277	0	0	0	0	0
lncRNA_284	Porites_evermani_scaffold_1000	74505	77486	+	2982	0	0	0	0	0
lncRNA_285	Porites_evermani_scaffold_1000	117641	130508	+	12868	0	0	0	0	0
lncRNA_286	Porites_evermani_scaffold_1000	117641	130508	+	12868	0	0	0	0	0
lncRNA_287	Porites_evermani_scaffold_1000	117641	130508	+	12868	0	0	0	0	0
