"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"11",11,3175,"Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g8983.t1",-0.0918085627005339,0.883270129010063,0.996747583939503,158,-22.49,"2 19","27 48",17,"76.47%","76.47%","Q5ZIL9","KIF-binding protein (KIF1-binding protein)","Gallus gallus (Chicken)","central nervous system projection neuron axonogenesis [GO:0021952]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial transport [GO:0006839]; neuron projection maintenance [GO:1990535]","GO:0000226; GO:0005739; GO:0005856; GO:0006839; GO:0019894; GO:0021952; GO:1990535"
"12",12,3244,"Cluster_4040","Pocillopora_meandrina_HIv1___TS.g22767.t1a",0.346625949710687,0.567666432728768,0.975095755436566,158,-20.21,"2 21","590 613",21,"71.43%","80.95%","Q6DDG2","Uncharacterized protein KIAA2013 homolog","Xenopus laevis (African clawed frog)","","GO:0016020"
"13",13,3999,"Cluster_360","Pocillopora_meandrina_HIv1___RNAseq.g17722.t1",-0.295368388635023,0.629467458613076,0.977982859683049,146,-20.46,"2 21","235 260",23,"65.22%","69.57%","C3ZQF9","QRFP-like peptide receptor","Branchiostoma floridae (Florida lancelet) (Amphioxus)","cellular response to peptide [GO:1901653]; G protein-coupled receptor signaling pathway [GO:0007186]","GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:1901653"
"14",14,4103,"Cluster_4823","Pocillopora_meandrina_HIv1___RNAseq.g811.t1",-0.544219339081172,0.342991018776531,0.963617152970834,163,-20.27,"2 21","954 976",20,"75.00%","80.00%","A0A2J6RX17",NA,NA,NA,NA
"15",15,4544,"Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g24720.t1",-0.762016998798653,0.134278806477858,0.876805058669263,147,-22.65,"2 12","17 38",10,"90.00%","90.00%",NA,NA,NA,NA,NA
"16",16,4956,"Cluster_5612","Pocillopora_meandrina_HIv1___RNAseq.g18620.t1",-0.429711982351175,0.470211966036101,0.97024921967979,158,-22.97,"2 19","452 472",17,"70.59%","82.35%","Q14192","Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)","Homo sapiens (Human)","atrial cardiac muscle cell development [GO:0055014]; heart trabecula formation [GO:0060347]; negative regulation of apoptotic process [GO:0043066]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoblast differentiation [GO:0001649]; response to hormone [GO:0009725]; ventricular cardiac muscle cell development [GO:0055015]","GO:0000122; GO:0001649; GO:0003712; GO:0003714; GO:0005634; GO:0005654; GO:0005925; GO:0008134; GO:0009725; GO:0030018; GO:0042802; GO:0043066; GO:0043425; GO:0046872; GO:0055014; GO:0055015; GO:0060347; GO:0070885"
"17",17,5099,"Cluster_4439","Pocillopora_meandrina_HIv1___RNAseq.g24722.t1",0.21249810298673,0.731489248384738,0.983488024952819,147,-22.65,"2 12","17 38",10,"90.00%","90.00%",NA,NA,NA,NA,NA
"18",18,5517,"Cluster_390","Pocillopora_meandrina_HIv1___RNAseq.g30375.t1",-0.658418876847452,0.226967777184273,0.926947473179405,176,-20.27,"2 21","772 793",19,"78.95%","89.47%",NA,NA,NA,NA,NA
"19",19,6082,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g7705.t1",-0.721886476538526,0.168524744703725,0.89249276095641,155,-21.63,"2 22","674 699",23,"65.22%","78.26%","O60749","Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)","Homo sapiens (Human)","early endosome to Golgi transport [GO:0034498]; intracellular protein transport [GO:0006886]; lamellipodium morphogenesis [GO:0072673]; retrograde transport, endosome to Golgi [GO:0042147]","GO:0005154; GO:0005158; GO:0005737; GO:0005764; GO:0005768; GO:0005829; GO:0006886; GO:0010008; GO:0016020; GO:0030027; GO:0030904; GO:0030905; GO:0031901; GO:0032991; GO:0034498; GO:0035091; GO:0042147; GO:0042802; GO:0042803; GO:0045296; GO:0046982; GO:0072673; GO:1990459; GO:1990460"
"20",20,6126,"Cluster_2973","Pocillopora_meandrina_HIv1___RNAseq.g25291.t1",-0.947885623670125,0.0141692154004804,0.674410729954476,159,-20.09,"2 21","843 865",20,"70.00%","80.00%","Q5ZHW4","Ras-related protein Rab-5B (EC 3.6.5.2)","Gallus gallus (Chicken)","endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; regulation of endocytosis [GO:0030100]","GO:0003924; GO:0003925; GO:0005525; GO:0005768; GO:0005769; GO:0005886; GO:0006886; GO:0006897; GO:0012505; GO:0019003; GO:0030100; GO:0030139; GO:0031901"
"21",21,6703,"Cluster_925","Pocillopora_meandrina_HIv1___RNAseq.g13890.t1",-0.360103856233975,0.551613094436177,0.973839008969304,150,-29.8,"2 20","40 70",27,"62.96%","66.67%","O00571","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)","Homo sapiens (Human)","cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; cytosolic ribosome assembly [GO:0042256]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; primary miRNA processing [GO:0031053]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055]","GO:0003677; GO:0003678; GO:0003723; GO:0003724; GO:0003729; GO:0003924; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0005886; GO:0006413; GO:0007059; GO:0007276; GO:0008134; GO:0008143; GO:0008190; GO:0008625; GO:0009615; GO:0010494; GO:0010501; GO:0010628; GO:0016055; GO:0016887; GO:0017111; GO:0017148; GO:0030027; GO:0030154; GO:0030307; GO:0030308; GO:0031053; GO:0031252; GO:0031333; GO:0031369; GO:0031954; GO:0032727; GO:0032728; GO:0033592; GO:0034063; GO:0034157; GO:0034161; GO:0034774; GO:0035556; GO:0035613; GO:0036493; GO:0042256; GO:0043015; GO:0043024; GO:0043065; GO:0043066; GO:0043154; GO:0043186; GO:0043273; GO:0043280; GO:0043539; GO:0045070; GO:0045087; GO:0045296; GO:0045727; GO:0045944; GO:0045948; GO:0048027; GO:0055088; GO:0070062; GO:0070878; GO:0071243; GO:0071470; GO:0071651; GO:0071902; GO:0072559; GO:0090263; GO:0097193; GO:0098586; GO:1900087; GO:1900227; GO:1901223; GO:1901224; GO:1901985; GO:1902042; GO:1902523; GO:1903608; GO:1904813; GO:2001243"
"22",22,7990,"Cluster_5612","Pocillopora_meandrina_HIv1___TS.g29578.t1",0.404084453861222,0.499869903335709,0.973552982047016,164,-20.84,"2 19","589 608",17,"76.47%","94.12%","P07949","Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]","Homo sapiens (Human)","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; axon guidance [GO:0007411]; cellular response to retinoic acid [GO:0071300]; embryonic epithelial tube formation [GO:0001838]; enteric nervous system development [GO:0048484]; glial cell-derived neurotrophic factor receptor signaling pathway [GO:0035860]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; innervation [GO:0060384]; lymphocyte migration into lymphoid organs [GO:0097021]; MAPK cascade [GO:0000165]; membrane protein proteolysis [GO:0033619]; neural crest cell migration [GO:0001755]; neuron cell-cell adhesion [GO:0007158]; neuron maturation [GO:0042551]; Peyer's patch morphogenesis [GO:0061146]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of cell size [GO:0045793]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of gene expression [GO:0010628]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of metanephric glomerulus development [GO:0072300]; positive regulation of neuron maturation [GO:0014042]; positive regulation of neuron projection development [GO:0010976]; positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]; positive regulation of protein kinase B signaling [GO:0051897]; posterior midgut development [GO:0007497]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of cell adhesion [GO:0030155]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; retina development in camera-type eye [GO:0060041]; signal transduction [GO:0007165]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; ureter maturation [GO:0035799]; ureteric bud development [GO:0001657]","GO:0000165; GO:0001657; GO:0001755; GO:0001838; GO:0004713; GO:0004714; GO:0005509; GO:0005524; GO:0005769; GO:0005886; GO:0006468; GO:0006919; GO:0007156; GO:0007158; GO:0007165; GO:0007169; GO:0007411; GO:0007497; GO:0009410; GO:0010008; GO:0010628; GO:0010976; GO:0014042; GO:0030155; GO:0030335; GO:0030424; GO:0030425; GO:0033141; GO:0033619; GO:0033630; GO:0033674; GO:0035799; GO:0035860; GO:0038023; GO:0042551; GO:0043025; GO:0043235; GO:0043410; GO:0045121; GO:0045793; GO:0045893; GO:0048265; GO:0048484; GO:0050770; GO:0051897; GO:0060041; GO:0060384; GO:0061146; GO:0071300; GO:0072300; GO:0097021; GO:0098797; GO:2001241"
"23",23,8104,"Cluster_21","Pocillopora_meandrina_HIv1___RNAseq.g21215.t1",-0.622837524743441,0.261748909513701,0.94038270248135,163,-22.15,"2 16","402 423",14,"85.71%","92.86%","G5EG78","Peroxidasin homolog pxn-2 (EC 1.11.2.-)","Caenorhabditis elegans","axon guidance [GO:0007411]; basement membrane organization [GO:0071711]; embryonic body morphogenesis [GO:0010172]; muscle attachment [GO:0016203]; negative regulation of axon regeneration [GO:0048681]; regulation of basement membrane organization [GO:0110011]; response to oxidative stress [GO:0006979]","GO:0004601; GO:0005604; GO:0005615; GO:0006979; GO:0007411; GO:0010172; GO:0016203; GO:0020037; GO:0046872; GO:0048681; GO:0071711; GO:0110011; GO:0140825"
"24",24,8895,"Cluster_1952","Pocillopora_meandrina_HIv1___RNAseq.g12797.t1",-0.443652585622828,0.454244228316983,0.97024921967979,168,-21.23,"2 21","614 635",19,"78.95%","78.95%",NA,NA,NA,NA,NA
"25",25,9523,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g25347.t1",-0.790118828858174,0.111718642098965,0.861905598279715,160,-23.15,"2 20","435 458",20,"80.00%","80.00%","Q90673","PRELI domain-containing protein 1, mitochondrial (Px19-like protein)","Gallus gallus (Chicken)","apoptotic process [GO:0006915]; lipid transport [GO:0006869]","GO:0005739; GO:0005758; GO:0006869; GO:0006915"
"26",26,9978,"Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g27764.t1",0.149392499845022,0.810497479850447,0.99342246930427,144,-20.59,"2 18","352 376",19,"63.16%","73.68%","Q9CYL5","Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)","Mus musculus (Mouse)","positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]","GO:0000139; GO:0005615; GO:0010634; GO:0010718; GO:0042803; GO:0070374"
"27",27,10041,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g8274.t1",0.0868075201672735,0.889612203120078,0.997033432013061,156,-22.12,"2 20","92 112",18,"72.22%","83.33%",NA,NA,NA,NA,NA
"28",28,10424,"Cluster_4435","Pocillopora_meandrina_HIv1___TS.g16379.t1",0.583262720305481,0.301937267387296,0.952219926110793,158,-21.31,"2 20","486 508",19,"68.42%","84.21%","Q13315","Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)","Homo sapiens (Human)","brain development [GO:0007420]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; cellular response to nitrosative stress [GO:0071500]; cellular response to retinoic acid [GO:0071300]; cellular response to X-ray [GO:0071481]; cellular senescence [GO:0090398]; determination of adult lifespan [GO:0008340]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of protein-containing complex localization to telomere [GO:0097695]; establishment of RNA localization to telomere [GO:0097694]; female meiotic nuclear division [GO:0007143]; heart development [GO:0007507]; histone mRNA catabolic process [GO:0071044]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lipoprotein catabolic process [GO:0042159]; male meiotic nuclear division [GO:0007140]; meiotic telomere clustering [GO:0045141]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic spindle assembly checkpoint signaling [GO:0007094]; multicellular organism growth [GO:0035264]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of telomere capping [GO:1904354]; negative regulation of TORC1 signaling [GO:1904262]; neuron apoptotic process [GO:0051402]; oocyte development [GO:0048599]; ovarian follicle development [GO:0001541]; peptidyl-serine autophosphorylation [GO:0036289]; peptidyl-serine phosphorylation [GO:0018105]; pexophagy [GO:0000425]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA catabolic process [GO:1903626]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of telomerase catalytic core complex assembly [GO:1904884]; positive regulation of telomere maintenance via telomerase [GO:0032212]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; pre-B cell allelic exclusion [GO:0002331]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; reciprocal meiotic recombination [GO:0007131]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of cell cycle [GO:0051726]; regulation of cellular response to gamma radiation [GO:1905843]; regulation of cellular response to heat [GO:1900034]; regulation of microglial cell activation [GO:1903978]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of telomere maintenance via telomerase [GO:0032210]; replicative senescence [GO:0090399]; response to hypoxia [GO:0001666]; response to ionizing radiation [GO:0010212]; signal transduction [GO:0007165]; signal transduction in response to DNA damage [GO:0042770]; somitogenesis [GO:0001756]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]","GO:0000077; GO:0000425; GO:0000723; GO:0000724; GO:0001541; GO:0001666; GO:0001756; GO:0002331; GO:0003677; GO:0004674; GO:0004677; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005782; GO:0005813; GO:0005819; GO:0005829; GO:0006302; GO:0006303; GO:0006468; GO:0006974; GO:0006977; GO:0007094; GO:0007095; GO:0007131; GO:0007140; GO:0007143; GO:0007165; GO:0007420; GO:0007507; GO:0008340; GO:0008630; GO:0009791; GO:0010212; GO:0010506; GO:0010628; GO:0016303; GO:0018105; GO:0030335; GO:0030889; GO:0031410; GO:0032210; GO:0032212; GO:0033151; GO:0035264; GO:0036289; GO:0042159; GO:0042770; GO:0042802; GO:0042981; GO:0043065; GO:0043231; GO:0043517; GO:0043525; GO:0044877; GO:0045141; GO:0045785; GO:0045944; GO:0046777; GO:0047485; GO:0048538; GO:0048599; GO:0051402; GO:0051726; GO:0071044; GO:0071300; GO:0071480; GO:0071481; GO:0071500; GO:0090398; GO:0090399; GO:0097694; GO:0097695; GO:0106310; GO:1900034; GO:1901796; GO:1903626; GO:1903978; GO:1904262; GO:1904354; GO:1904358; GO:1904884; GO:1905843; GO:1990391"
"29",29,10516,"Cluster_1068","Pocillopora_meandrina_HIv1___RNAseq.g15685.t1",-0.786499434697622,0.114554057572539,0.86545548976814,147,-21.81,"2 18","934 960",21,"71.43%","71.43%","Q6NYE7","Transmembrane protein 192","Danio rerio (Zebrafish) (Brachydanio rerio)","","GO:0005765; GO:0005770"
"30",30,10576,"Cluster_4572","Pocillopora_meandrina_HIv1___RNAseq.g10271.t1",-0.748563790485293,0.145504630464525,0.881974942637183,165,-20.38,"2 19","541 563",18,"77.78%","88.89%","Q55E58","Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)","Dictyostelium discoideum (Social amoeba)","cheating during chimeric sorocarp development [GO:0099139]; mitotic cytokinesis [GO:0000281]; phosphatidylinositol dephosphorylation [GO:0046856]; protein phosphorylation [GO:0006468]","GO:0000281; GO:0004438; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0005829; GO:0006468; GO:0042641; GO:0046856; GO:0099139; GO:0106310"
"31",31,10753,"Cluster_3661","Pocillopora_meandrina_HIv1___TS.g15056.t2",0.099153500692597,0.873961011156953,0.996087148068407,165,-20.47,"2 20","612 635",20,"80.00%","85.00%","A0A061ACU2","Piezo-type mechanosensitive ion channel component 1","Caenorhabditis elegans","cation transmembrane transport [GO:0098655]; cellular response to mechanical stimulus [GO:0071260]; detection of mechanical stimulus [GO:0050982]; flagellated sperm motility [GO:0030317]; positive regulation of brood size [GO:0090727]; positive regulation of ovulation [GO:0060279]; regulation of membrane potential [GO:0042391]; response to mechanical stimulus [GO:0009612]","GO:0005261; GO:0005886; GO:0008381; GO:0009612; GO:0016020; GO:0030317; GO:0042391; GO:0050982; GO:0060279; GO:0071260; GO:0090727; GO:0098655"
"32",32,10866,"Cluster_4040","Pocillopora_meandrina_HIv1___RNAseq.g19028.t1",-0.279818830030183,0.648429115936314,0.977982859683049,157,-21.61,"2 14","158 179",12,"91.67%","91.67%",NA,NA,NA,NA,NA
"33",33,11188,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g27850.t1",0.32885417199639,0.588964187303784,0.976732732570472,164,-23.94,"2 19","160 181",17,"76.47%","94.12%",NA,NA,NA,NA,NA
"34",34,11225,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g14994.t1",-0.519547085027068,0.369591375482111,0.967036459062329,160,-24.96,"2 18","765 788",17,"82.35%","82.35%",NA,NA,NA,NA,NA
"35",35,11410,"Cluster_1938","Pocillopora_meandrina_HIv1___RNAseq.g24097.t1",0.0350554202657384,0.95537519599225,0.999610930147471,164,-26.62,"2 22","748 771",21,"66.67%","85.71%",NA,NA,NA,NA,NA
"36",36,11831,"Cluster_4437","Pocillopora_meandrina_HIv1___RNAseq.g3720.t1",-0.79742665653341,0.106059532600003,0.857985528806831,145,-20.52,"2 20","70 97",25,"60.00%","72.00%","Q58A42","Protein DD3-3","Dictyostelium discoideum (Social amoeba)","","GO:0016020"
