"Species","Protein_ID","Protein_of_interest","Protein_of_interest_simplified"
"Apul","FUN_006169","KAT4-TAF1","KAT4-TAF1"
"Apul","FUN_006369","JKAMP","JKAMP"
"Apul","FUN_006436","USP35; USP38","USP3"
"Apul","FUN_006803","PAN3","PAN3"
"Apul","FUN_006885","USP19","USP19"
"Apul","FUN_006936","INTS9","INTS9"
"Apul","FUN_006985","UBE3A","UBE3A"
"Apul","FUN_007011","DIS3","DIS3"
"Apul","FUN_007018","PUS3","PUS3"
"Apul","FUN_007147","UBA1; UBA7","UBA"
"Apul","FUN_007150","HDAC11","HDAC11"
"Apul","FUN_007708","USP34","USP34"
"Apul","FUN_007775","XPO5","XPO5"
"Apul","FUN_007977","BUB1","BUB1"
"Apul","FUN_008086","RIOX1; RIOX2","RIOX"
"Apul","FUN_008104","HSP90","HSP90"
"Apul","FUN_008108","PARP3","PARP3"
"Apul","FUN_008187","RPS6KA4; RPS6KA5","RPS6KA"
"Apul","FUN_008214","DICER1; DICER2","DICER"
"Apul","FUN_008278","KAT5","KAT5"
"Apul","FUN_008282","DICER1","DICER1"
"Apul","FUN_008394","CNOT9","CNOT9"
"Apul","FUN_008428","EXOSC5","EXOSC5"
"Apul","FUN_008709","DCP1; DCP1B","DCP1"
"Apul","FUN_008710","BAZ1B; SUV39H1-KMT1A; SUV39H2-KMT1B","H3K9 KMT (SUV39H)"
"Apul","FUN_008711","NAA10","NAA10"
"Apul","FUN_008879","RAD21","RAD21"
"Apul","FUN_009381","MCM3AP","MCM3AP"
"Apul","FUN_009519","H1-2; MACROH2A1","Histone variants"
"Apul","FUN_009959","H2AZ1; H2AZ2","H2AZ"
"Apul","FUN_010587","MDC1","MDC1"
"Apul","FUN_010596","RDRP","RDRP"
"Apul","FUN_010597","RDRP","RDRP"
"Apul","FUN_010598","RDRP","RDRP"
"Apul","FUN_010654","ESCO1; ESCO2","ESCO"
"Apul","FUN_010713","PPP1R8","PPP1R8"
"Apul","FUN_010733","EIF3H","EIF3H"
"Apul","FUN_010779","KAT8","KAT8"
"Apul","FUN_010827","INTS2","INTS2"
"Apul","FUN_010962","RNF20; RNF40","RNF"
"Apul","FUN_011179","KMT5A—SETD8","KMT5A—SETD8"
"Apul","FUN_011276","KMT2F-SETD1A; KMT2G-SETD1B","KMT2"
"Apul","FUN_011750","USP16; USP45","USP"
"Apul","FUN_011847","ACAT1","ACAT1"
"Apul","FUN_011876","ZC3H12A","ZC3H12A"
"Apul","FUN_011931","ACAT2","ACAT2"
"Apul","FUN_011956","NSUN4","NSUN4"
"Apul","FUN_011974","SENP6; SENP7","SENP"
"Apul","FUN_012178","RBBP4","RBBP4"
"Apul","FUN_012182","ATM","ATM"
"Apul","FUN_012241","ARID1A; ARID1B","ARID1"
"Apul","FUN_012301","NONO; PSPC1; SFPQ","DBHS family"
"Apul","FUN_012353","KDM1A","KDM1A"
"Apul","FUN_012366","PARP4","PARP4"
"Apul","FUN_012384","WTAP","WTAP"
"Apul","FUN_012485","EED","EED"
"Apul","FUN_012490","PRDM13","PRDM13"
"Apul","FUN_012544","LIN28A","LIN28A"
"Apul","FUN_012591","PUS7","PUS7"
"Apul","FUN_012595","CDK8","CDK8"
"Apul","FUN_012662","PARP12","PARP12"
"Apul","FUN_012762","HDAC; HDAC8","HDAC8"
"Apul","FUN_013085","XRN1","XRN1"
"Apul","FUN_013145","EXOSC10","EXOSC10"
"Apul","FUN_013373","USP13; USP5","USP"
"Apul","FUN_013377","NSUN6","NSUN6"
"Apul","FUN_013400","YBX1","YBX1"
"Apul","FUN_013560","PPP1R7","PPP1R7"
"Apul","FUN_014437","GTF3C2","GTF3C2"
"Apul","FUN_014483","KAT9-ELP3","KAT9-ELP3"
"Apul","FUN_014486","H2AX; HDAC; HDAC1; HDAC2","FLAG: H2AX+HDAC1/2 (review)"
"Apul","FUN_014509","SMYD4","SMYD4"
"Apul","FUN_014515","SETD6","SETD6"
"Apul","FUN_014527","PPM1D","PPM1D"
"Apul","FUN_014530","RAN","RAN"
"Apul","FUN_014539","USP14","USP14"
"Apul","FUN_014592","DGCR8","DGCR8"
"Apul","FUN_014616","PPP4C","PPP4C"
"Apul","FUN_014621","USP30","USP30"
"Apul","FUN_014624","PPP1CA; PPP1CC","PPP1C"
"Apul","FUN_014690","USP32; USP6","USP"
"Apul","FUN_014855","PRPF8","PRPF8"
"Apul","FUN_015054","EWSR1; FUS","FET family"
"Apul","FUN_015145","KDM2A; KDM2B","KDM2"
"Apul","FUN_015158","HNRNPA1; HNRNPA2B1","HNRNPA"
"Apul","FUN_015193","TRIM37","TRIM37"
"Apul","FUN_015228","SIRT4","SIRT4"
"Apul","FUN_015272","METTL16","METTL16"
"Apul","FUN_015402","MCPH1","MCPH1"
"Apul","FUN_015424","COPS5","COPS5"
"Apul","FUN_016070","YWHAQ","YWHAQ"
"Apul","FUN_016091","MAPK1; MAPK3","MAPK"
"Apul","FUN_016148","HIRA","HIRA"
"Apul","FUN_016161","EYA1; EYA2; EYA3; EYA4","EYA"
"Apul","FUN_016200","PRDM5","PRDM5"
"Apul","FUN_016202","CTCF; PRDM15; PRDM4; PRDM9","PRDM (+CTCF)"
"Apul","FUN_016284","MAP3K22","MAP3K22"
"Apul","FUN_016320","USP26; USP37","USP"
"Apul","FUN_016340","UBE4A","UBE4A"
"Apul","FUN_016352","DIS3L2","DIS3L2"
"Apul","FUN_016369","XRN; XRN1","XRN1"
"Apul","FUN_016504","NOP58","NOP58"
"Apul","FUN_016586","MPND","MPND"
"Apul","FUN_016587","RDRP","RDRP"
"Apul","FUN_016652","TRMT112","TRMT112"
"Apul","FUN_016677","TYW5","TYW5"
"Apul","FUN_017768","PSMD7","PSMD7"
"Apul","FUN_017839","KMT2H-ASH1L; KMT3A-SETD2; WHSC1-NSD2","H3K36 KMT"
"Apul","FUN_017901","MAP3K12","MAP3K12"
"Apul","FUN_017922","PPP1R13B","PPP1R13B"
"Apul","FUN_018005","EZH1; EZH2; KMT6-EZH2","EZH"
"Apul","FUN_018029","PPP1R9A; PPP1R9B","PPP1R9"
"Apul","FUN_018046","UBA5","UBA5"
"Apul","FUN_018521","PARN","PARN"
"Apul","FUN_021938","DNMT1; DNMT3A; DNMT3B","DNMT"
"Apul","FUN_022104","KAT2A; KAT2B","KAT2"
"Apul","FUN_022341","TET3","TET3"
"Apul","FUN_022390","TRMT61A","TRMT61A"
"Apul","FUN_022482","KAT1-HAT1","KAT1-HAT1"
"Apul","FUN_022629","KMT2C; KMT2D","KMT2"
"Apul","FUN_022632","BLOC1S1","BLOC1S1"
"Apul","FUN_022663","EXOSC4","EXOSC4"
"Apul","FUN_022863","PAN2","PAN2"
"Apul","FUN_022980","NOP56","NOP56"
"Apul","FUN_023050","ZRANB1","ZRANB1"
"Apul","FUN_023134","EGR1","EGR1"
"Apul","FUN_023173","SMC3","SMC3"
"Apul","FUN_023202","HASPIN","HASPIN"
"Apul","FUN_023231","PUS1","PUS1"
"Apul","FUN_023248","SMYD5","SMYD5"
"Apul","FUN_023369","KMT3B-NSD1; WHSC1L-NSD3","NSD"
"Apul","FUN_023552","TRMT1","TRMT1"
"Apul","FUN_023577","ZCCHC4","ZCCHC4"
"Apul","FUN_023643","EXOSC1","EXOSC1"
"Apul","FUN_023943","EXOSC9","EXOSC9"
"Apul","FUN_023950","KAT3A-CREBBP; KAT3B-EP300","KAT3"
"Apul","FUN_024017","UHRF1; UHRF2","UHRF"
"Apul","FUN_024018","RBM15; RBM15B","RBM15"
"Apul","FUN_024199","USP12; USP46","USP"
"Apul","FUN_024215","UCHL1; UCHL3; UCHL4","UCHL"
"Apul","FUN_024220","KLF4","KLF4"
"Apul","FUN_024350","ALG13; OTUD4","FLAG: ALG13+OTUD4 (review)"
"Apul","FUN_024354","SETMAR","SETMAR"
"Apul","FUN_024373","NFX1","NFX1"
"Apul","FUN_024446","TRMT10A","TRMT10A"
"Apul","FUN_024481","APBB1","APBB1"
"Apul","FUN_024561","EXOSC8","EXOSC8"
"Apul","FUN_024566","OGT","OGT"
"Apul","FUN_024761","UBE2A","UBE2A"
"Apul","FUN_024863","INTS13","INTS13"
"Apul","FUN_025431","USP48","USP48"
"Apul","FUN_025671","OTUD3","OTUD3"
"Apul","FUN_025733","METTL6","METTL6"
"Apul","FUN_025748","UBE2Z","UBE2Z"
"Apul","FUN_025756","ADARB1; ADARB2","ADARB"
"Apul","FUN_025766","METTL2A; METTL2B; METTL8","METTL"
"Apul","FUN_025798","ALKBH1","ALKBH1"
"Apul","FUN_026076","USP40","USP40"
"Apul","FUN_026177","HDAC; HDAC4; HDAC5; HDAC7; HDAC9","HDAC class IIa"
"Apul","FUN_026582","SMARCC2","SMARCC2"
"Apul","FUN_027254","STAG1; STAG2","STAG"
"Apul","FUN_027900","RNF168","RNF168"
"Apul","FUN_027982","USP2; USP21","USP2"
"Apul","FUN_028095","NCBP2","NCBP2"
"Apul","FUN_028193","EIF3F","EIF3F"
"Apul","FUN_028262","CHEK1","CHEK1"
"Apul","FUN_028279","PUS7L","PUS7L"
"Apul","FUN_028309","KDM6A; UTY","KDM6A/UTY"
"Apul","FUN_028511","FMR1","FMR1"
"Apul","FUN_028819","OTUD5","OTUD5"
"Apul","FUN_028838","MAPK11; MAPK12; MAPK13; MAPK14","MAPK1"
"Apul","FUN_028908","NSUN5","NSUN5"
"Apul","FUN_028911","SENP8","SENP8"
"Apul","FUN_028977","KMT2E; SETD5","SETD5/KMT2E"
"Apul","FUN_029179","RDRP","RDRP"
"Apul","FUN_029182","RDRP","RDRP"
"Apul","FUN_029184","RDRP","RDRP"
"Apul","FUN_029200","RDRP","RDRP"
"Apul","FUN_029248","KDM7A; PHF2; PHF8","KDM7"
"Apul","FUN_029414","MTREX","MTREX"
"Apul","FUN_029664","SMARCA2; SMARCA4","SMARCA"
"Apul","FUN_029671","METTL4","METTL4"
"Apul","FUN_030672","PRMT2","PRMT2"
"Apul","FUN_031561","PNPT1","PNPT1"
"Apul","FUN_031939","METTL5","METTL5"
"Apul","FUN_032088","SIRT2","SIRT2"
"Apul","FUN_032104","UBR2","UBR2"
"Apul","FUN_032117","XPO1","XPO1"
"Apul","FUN_032118","INTS7","INTS7"
"Apul","FUN_032137","PUS10","PUS10"
"Apul","FUN_032162","PPP1CB","PPP1CB"
"Apul","FUN_032215","YTHDF1; YTHDF2; YTHDF3","YTHDF"
"Apul","FUN_032220","DLAT","DLAT"
"Apul","FUN_032245","MAPK8; MAPK8B; MAPK9","MAPK8/9 (JNK)"
"Apul","FUN_032353","USP53; USP54","USP5"
"Apul","FUN_032363","TET1; TET2","TET"
"Apul","FUN_032433","GTF3C1","GTF3C1"
"Apul","FUN_032605","ATR","ATR"
"Apul","FUN_032607","PSMD14","PSMD14"
"Apul","FUN_032610","STK4","STK4"
"Apul","FUN_032699","AGO1; AGO2","AGO"
"Apul","FUN_032709","PABPC1","PABPC1"
"Apul","FUN_032714","PABPC1","PABPC1"
"Apul","FUN_032715","PABPC1","PABPC1"
"Apul","FUN_032747","AGO2","AGO2"
"Apul","FUN_032749","AGO2","AGO2"
"Apul","FUN_032757","SETD4","SETD4"
"Apul","FUN_032815","ZC3H12A; ZC3H12B; ZC3H12C; ZC3H12D","ZC3H12"
"Apul","FUN_032832","SRRT","SRRT"
"Apul","FUN_032833","SRRT","SRRT"
"Apul","FUN_033309","KDM1B","KDM1B"
"Apul","FUN_033745","KAT13D-CLOCK","KAT13D-CLOCK"
"Apul","FUN_033843","DDB1","DDB1"
"Apul","FUN_033885","SIRT3","SIRT3"
"Apul","FUN_033922","KMT5B; KMT5C","KMT5"
"Apul","FUN_034012","USP36; USP42","USP"
"Apul","FUN_034029","PRMT6; PRMT8","PRMT"
"Apul","FUN_034263","KMT1E-SETDB1","KMT1E-SETDB1"
"Apul","FUN_034339","NAT10","NAT10"
"Apul","FUN_034460","PRKDC","PRKDC"
"Apul","FUN_034483","SIRT7","SIRT7"
"Apul","FUN_034727","USP7","USP7"
"Apul","FUN_034781","USP10","USP10"
"Apul","FUN_034799","PRMT5","PRMT5"
"Apul","FUN_034808","UBA3","UBA3"
"Apul","FUN_034836","VIRMA","VIRMA"
"Apul","FUN_034864","CNOT1","CNOT1"
"Apul","FUN_034936","INTS8","INTS8"
"Apul","FUN_034972","AURKA; AURKB; AURKC","AURK"
"Apul","FUN_035067","PRMT7","PRMT7"
"Apul","FUN_035357","DTX3L","DTX3L"
"Apul","FUN_035359","PARP14; PARP15; PARP9","PARP"
"Apul","FUN_035552","UBE2V1","UBE2V1"
"Apul","FUN_035677","PPP1R16A; PPP1R16B","PPP1R16"
"Apul","FUN_035679","EXOSC7","EXOSC7"
"Apul","FUN_035720","SIRT5","SIRT5"
"Apul","FUN_035775","EDC4","EDC4"
"Apul","FUN_035777","PAPD5","PAPD5"
"Apul","FUN_035819","ATXN3; ATXN3L","ATXN3"
"Apul","FUN_035867","UBA2","UBA2"
"Apul","FUN_036028","OTUD6A; OTUD6B","OTUD6"
"Apul","FUN_036132","H2AJ; H2AW","H2A"
"Apul","FUN_036205","PARP2","PARP2"
"Apul","FUN_036208","JARID2","JARID2"
"Apul","FUN_036742","PPP1R2","PPP1R2"
"Apul","FUN_036826","CHUK","CHUK"
"Apul","FUN_036827","STAMBPL1","STAMBPL1"
"Apul","FUN_036993","CNOT11","CNOT11"
"Apul","FUN_036994","CNOT11","CNOT11"
"Apul","FUN_037053","PARG","PARG"
"Apul","FUN_037054","METTL14","METTL14"
"Apul","FUN_037062","CNOT4","CNOT4"
"Apul","FUN_037073","PHAX","PHAX"
"Apul","FUN_037093","USP39","USP39"
"Apul","FUN_037221","METTL1","METTL1"
"Apul","FUN_037324","VCPIP1","VCPIP1"
"Apul","FUN_037383","ADAR","ADAR"
"Apul","FUN_037384","TRDMT1","TRDMT1"
"Apul","FUN_037684","JMJD6","JMJD6"
"Apul","FUN_037745","ASH2L","ASH2L"
"Apul","FUN_037911","KMT3C-SMYD2; SMYD3","SMYD"
"Apul","FUN_038002","POP7","POP7"
"Apul","FUN_038038","TOM1","TOM1"
"Apul","FUN_038040","USP22; USP27X; USP51","USP"
"Apul","FUN_038041","SUZ12","SUZ12"
"Apul","FUN_038060","USP31; USP43","USP"
"Apul","FUN_038088","ARH1-ADPRH","ARH1-ADPRH"
"Apul","FUN_038100","PRKCB","PRKCB"
"Apul","FUN_038218","ALKBH5","ALKBH5"
"Apul","FUN_038315","TNRC6","TNRC6"
"Apul","FUN_038346","ALYREF","ALYREF"
"Apul","FUN_038347","DUS1L","DUS1L"
"Apul","FUN_038403","NAA60","NAA60"
"Apul","FUN_038418","DDX17","DDX17"
"Apul","FUN_038421","USP1","USP1"
"Apul","FUN_038430","INTS1","INTS1"
"Apul","FUN_038524","SMG1","SMG1"
"Apul","FUN_038633","JOSD1; JOSD2","JOSD"
"Apul","FUN_038733","CNOT; CNOT3","CNOT3"
"Apul","FUN_039863","KDM8","KDM8"
"Apul","FUN_039873","PRDM12","PRDM12"
"Apul","FUN_039874","EXOSC2","EXOSC2"
"Apul","FUN_040002","DLK1","DLK1"
"Apul","FUN_040021","PARP11","PARP11"
"Apul","FUN_040025","PARP13-ZC3HAV1","PARP13-ZC3HAV1"
"Apul","FUN_040029","PARP7-TIPARP","PARP7-TIPARP"
"Apul","FUN_040103","WDR5","WDR5"
"Apul","FUN_040153","ATAT1","ATAT1"
"Apul","FUN_040230","DCP2","DCP2"
"Apul","FUN_040242","INTS14","INTS14"
"Apul","FUN_040266","DAPK3","DAPK3"
"Apul","FUN_040690","CNOT10","CNOT10"
"Apul","FUN_040713","MBD2; MBD3","MBD"
"Apul","FUN_040861","INTS3","INTS3"
"Apul","FUN_040878","SIRT6","SIRT6"
"Apul","FUN_040949","NSUN2","NSUN2"
"Apul","FUN_040954","RPUSD2","RPUSD2"
"Apul","FUN_041312","NAA50","NAA50"
"Apul","FUN_041548","PRMT9","PRMT9"
"Apul","FUN_041551","PAK2","PAK2"
"Apul","FUN_041562","DNMT3L; USP9Y","FLAG: DNMT3L+USP9Y (review)"
"Apul","FUN_041566","USP25; USP28","USP2"
"Apul","FUN_041642","CUL4A","CUL4A"
"Apul","FUN_041731","INTS10","INTS10"
"Apul","FUN_041732","KMT2A; KMT2B","KMT2"
"Apul","FUN_041750","DKC1","DKC1"
"Apul","FUN_041759","DDX6","DDX6"
"Apul","FUN_041777","DYRK1A","DYRK1A"
"Apul","FUN_041827","INTS6; INTS6L","INTS6"
"Apul","FUN_041902","BRCC3","BRCC3"
"Apul","FUN_041920","COPS6","COPS6"
"Apul","FUN_041921","INTS4","INTS4"
"Apul","FUN_042630","KMT4-DOT1L","KMT4-DOT1L"
"Apul","FUN_042837","BRD3; BRD4","BRD"
"Apul","FUN_042871","HENMT1","HENMT1"
"Apul","FUN_042970","UCHL5","UCHL5"
"Apul","FUN_042971","DROSHA","DROSHA"
"Apul","FUN_042972","USP20; USP33","USP"
"Apul","FUN_043156","PKN1","PKN1"
"Apul","FUN_043321","DNMT1","DNMT1"
"Apul","FUN_043421","DHX9","DHX9"
"Apul","FUN_043447","KMT1C-EHMT2; KMT1D-EHMT1","EHMT"
"Apul","FUN_043503","CSNK2B","CSNK2B"
"Apul","FUN_043532","KHSRP","KHSRP"
"Apul","FUN_043551","INTS5","INTS5"
"Apul","FUN_044376","PKM","PKM"
"Apul","FUN_044515","UPF1","UPF1"
"Apul","FUN_044804","INTS11","INTS11"
"Apul","FUN_045085","SENP1; SENP2; SENP3","SENP"
"Apul","FUN_045194","BAZ2B; MBD6","BAZ2B/MBD6"
"Apul","FUN_045329","KDM5A; KDM5B; KDM5C; KDM5D","KDM5"
"Apul","FUN_045369","RDRP","RDRP"
"Apul","FUN_045444","PRDM11","PRDM11"
"Apul","FUN_045726","NCBP1","NCBP1"
"Peve","Peve_00000002","USP1","USP1"
"Peve","Peve_00000006","DDX17","DDX17"
"Peve","Peve_00000025","NAA60","NAA60"
"Peve","Peve_00000085","DUS1L","DUS1L"
"Peve","Peve_00000091","ALYREF","ALYREF"
"Peve","Peve_00000108","INTS1","INTS1"
"Peve","Peve_00000244","MAP3K12","MAP3K12"
"Peve","Peve_00000581","USP26; USP37","USP"
"Peve","Peve_00000800","RDRP","RDRP"
"Peve","Peve_00000868","EIF3F","EIF3F"
"Peve","Peve_00000948","USP31; USP43","USP"
"Peve","Peve_00000999","SENP6; SENP7","SENP"
"Peve","Peve_00001083","KDM2A; KDM2B","KDM2"
"Peve","Peve_00001166","EWSR1; FUS","FET family"
"Peve","Peve_00001201","USP13; USP5","USP"
"Peve","Peve_00001498","INTS9","INTS9"
"Peve","Peve_00001862","HNRNPA1; HNRNPA2B1","HNRNPA"
"Peve","Peve_00001903","PPP4C; PPP6C","PPP"
"Peve","Peve_00001916","PRDM4","PRDM4"
"Peve","Peve_00001954","DICER1","DICER1"
"Peve","Peve_00001955","KAT5","KAT5"
"Peve","Peve_00002044","HYL1","HYL1"
"Peve","Peve_00002136","CNOT11","CNOT11"
"Peve","Peve_00002139","CNOT11","CNOT11"
"Peve","Peve_00002216","PRMT7","PRMT7"
"Peve","Peve_00002272","MBD2; MBD3","MBD"
"Peve","Peve_00002288","SIRT6","SIRT6"
"Peve","Peve_00002298","INTS3","INTS3"
"Peve","Peve_00002408","USP30","USP30"
"Peve","Peve_00002411","PPP1CA; PPP1CC","PPP1C"
"Peve","Peve_00002451","RDRP","RDRP"
"Peve","Peve_00002799","PPP1R12A; PPP1R16A; PPP1R16B","PPP1R1"
"Peve","Peve_00002923","KAT1-HAT1","KAT1-HAT1"
"Peve","Peve_00003185","PPP1R12B; PPP1R12C","PPP1R12"
"Peve","Peve_00003311","SMG5","SMG5"
"Peve","Peve_00003553","YWHAQ","YWHAQ"
"Peve","Peve_00003674","PUS7L","PUS7L"
"Peve","Peve_00003957","HDAC; HDAC3","HDAC3"
"Peve","Peve_00004144","SLK","SLK"
"Peve","Peve_00004296","ARH3-ADPRS","ARH3-ADPRS"
"Peve","Peve_00004333","DIS3L2","DIS3L2"
"Peve","Peve_00004388","NAT10","NAT10"
"Peve","Peve_00004457","POP7","POP7"
"Peve","Peve_00004487","KAT8","KAT8"
"Peve","Peve_00004734","PHAX","PHAX"
"Peve","Peve_00004753","USP39","USP39"
"Peve","Peve_00004891","NCBP2","NCBP2"
"Peve","Peve_00004929","KAT13D-CLOCK","KAT13D-CLOCK"
"Peve","Peve_00004940","EXOSC2","EXOSC2"
"Peve","Peve_00004957","PARP11","PARP11"
"Peve","Peve_00004975","USP11; USP15; USP19; USP4","USP"
"Peve","Peve_00005079","DIS3L","DIS3L"
"Peve","Peve_00005268","DICER1; DICER2","DICER"
"Peve","Peve_00005354","KMT3B-NSD1; WHSC1-NSD2; WHSC1L-NSD3","NSD"
"Peve","Peve_00005574","DHX9","DHX9"
"Peve","Peve_00005781","CNOT1","CNOT1"
"Peve","Peve_00006057","MCPH1","MCPH1"
"Peve","Peve_00006197","ADAR","ADAR"
"Peve","Peve_00006200","TRDMT1","TRDMT1"
"Peve","Peve_00006231","VCPIP1","VCPIP1"
"Peve","Peve_00006280","AGO2","AGO2"
"Peve","Peve_00006288","AGO1; AGO2","AGO"
"Peve","Peve_00006460","SMARCC2","SMARCC2"
"Peve","Peve_00006524","INTS2","INTS2"
"Peve","Peve_00006788","TARBP1","TARBP1"
"Peve","Peve_00006850","KMT5A—SETD8","KMT5A—SETD8"
"Peve","Peve_00006950","STAMBPL1","STAMBPL1"
"Peve","Peve_00006971","CHUK","CHUK"
"Peve","Peve_00007016","USP36; USP42","USP"
"Peve","Peve_00007069","RDRP","RDRP"
"Peve","Peve_00007106","ARH1-ADPRH","ARH1-ADPRH"
"Peve","Peve_00007168","JMJD7","JMJD7"
"Peve","Peve_00007263","BRD3; BRD4","BRD"
"Peve","Peve_00007312","PARN","PARN"
"Peve","Peve_00007373","JKAMP","JKAMP"
"Peve","Peve_00007386","CUL4A","CUL4A"
"Peve","Peve_00007462","USP3; USP44; USP49","USP"
"Peve","Peve_00007510","DNMT1","DNMT1"
"Peve","Peve_00007557","PRMT5","PRMT5"
"Peve","Peve_00007660","DAPK3","DAPK3"
"Peve","Peve_00007768","UBA6","UBA6"
"Peve","Peve_00007872","INTS4","INTS4"
"Peve","Peve_00007875","COPS6","COPS6"
"Peve","Peve_00007914","PUS10","PUS10"
"Peve","Peve_00007923","RNF20; RNF40","RNF"
"Peve","Peve_00008062","EXOSC3","EXOSC3"
"Peve","Peve_00008102","FMR1","FMR1"
"Peve","Peve_00008113","STAG1; STAG2","STAG"
"Peve","Peve_00008289","PSMD7","PSMD7"
"Peve","Peve_00008443","PARP14; PARP9","PARP"
"Peve","Peve_00008516","ZRANB1","ZRANB1"
"Peve","Peve_00008524","EGR1","EGR1"
"Peve","Peve_00008743","CNOT2","CNOT2"
"Peve","Peve_00008765","WEE1","WEE1"
"Peve","Peve_00008825","RPUSD2","RPUSD2"
"Peve","Peve_00008963","TUT4; TUT7","TUT"
"Peve","Peve_00009071","TRMT1","TRMT1"
"Peve","Peve_00009242","YTHDC1","YTHDC1"
"Peve","Peve_00009281","NSUN2","NSUN2"
"Peve","Peve_00009358","INTS11","INTS11"
"Peve","Peve_00009530","INTS5","INTS5"
"Peve","Peve_00009726","KAT2A; KAT2B","KAT2"
"Peve","Peve_00009801","EXOSC5","EXOSC5"
"Peve","Peve_00009964","OGT","OGT"
"Peve","Peve_00009976","SMC3","SMC3"
"Peve","Peve_00010001","HASPIN","HASPIN"
"Peve","Peve_00010453","VIRMA","VIRMA"
"Peve","Peve_00010858","RPS6KA4; RPS6KA5","RPS6KA"
"Peve","Peve_00010916","EED","EED"
"Peve","Peve_00010926","SENP8","SENP8"
"Peve","Peve_00010989","HDAC; HDAC8","HDAC8"
"Peve","Peve_00011107","OTUD6A; OTUD6B","OTUD6"
"Peve","Peve_00011277","UBR2","UBR2"
"Peve","Peve_00011375","PKN1","PKN1"
"Peve","Peve_00011466","KMT2H-ASH1L; KMT3A-SETD2","H3K36 KMT (ASH1L/SETD2)"
"Peve","Peve_00011728","PRDM12","PRDM12"
"Peve","Peve_00011815","COPS5","COPS5"
"Peve","Peve_00011853","DGCR8","DGCR8"
"Peve","Peve_00012020","PKM","PKM"
"Peve","Peve_00012249","NFX1","NFX1"
"Peve","Peve_00012281","KMT2C; KMT2D","KMT2"
"Peve","Peve_00012531","KDM3A; KDM3B; KDM3C-JMJD1C","KDM3"
"Peve","Peve_00012616","UBA2","UBA2"
"Peve","Peve_00012697","HDAC; HDAC4; HDAC5; HDAC7; HDAC9","HDAC class IIa"
"Peve","Peve_00012762","MAPK8; MAPK8B; MAPK9","MAPK8/9 (JNK)"
"Peve","Peve_00012955","KAT14","KAT14"
"Peve","Peve_00013005","DCP2","DCP2"
"Peve","Peve_00013020","TRIM37","TRIM37"
"Peve","Peve_00013276","METTL6","METTL6"
"Peve","Peve_00013366","MAPK1; MAPK3","MAPK"
"Peve","Peve_00013425","HIRA","HIRA"
"Peve","Peve_00013464","INTS15","INTS15"
