Entry	GeneID	Gene Ontology IDs
A0A0R3K2G2	gene-Pocillopora_meandrina_HIv1___RNAseq.g27565.t1	GO:0003973; GO:0019563; GO:0046872; GO:0051537
A0A0R4I9Y1	gene-Pocillopora_meandrina_HIv1___RNAseq.g7333.t1	GO:0001525; GO:0002376; GO:0005524; GO:0005811; GO:0005829; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042
A0A0R4I9Y1	gene-Pocillopora_meandrina_HIv1___RNAseq.g7336.t1	GO:0001525; GO:0002376; GO:0005524; GO:0005811; GO:0005829; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042
A0A0R4IB93	gene-Pocillopora_meandrina_HIv1___RNAseq.g13326.t1	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006508; GO:0016579; GO:0031647; GO:1904888
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7226.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7224.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g10661.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___TS.g1088.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7212.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7204.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___TS.g950.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IBK5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7213.t1	GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0008270; GO:0016887; GO:0019216; GO:0042742; GO:0045765; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051
A0A0R4IC37	gene-Pocillopora_meandrina_HIv1___RNAseq.g12101.t1	GO:0003676; GO:0005654
A0A0R4IKU3	gene-Pocillopora_meandrina_HIv1___RNAseq.g4397.t1	GO:0001944; GO:0001955; GO:0002040; GO:0004866; GO:0004867; GO:0005886; GO:0008191; GO:0015026; GO:0016055; GO:0030198; GO:0045765; GO:0051726; GO:0060070; GO:0060828; GO:0090049; GO:0090210; GO:0098552; GO:1904684; GO:1990791; GO:1990909
A0A0R4IVA4	gene-Pocillopora_meandrina_HIv1___RNAseq.g948.t1	GO:0000226; GO:0000922; GO:0004722; GO:0004725; GO:0005730; GO:0005737; GO:0005813; GO:0007096; GO:0032467; GO:0051301; GO:0060091; GO:0060271; GO:0072686
A0A0R4IXF6	gene-Pocillopora_meandrina_HIv1___RNAseq.g4104.t1	GO:0000123; GO:0001819; GO:0003682; GO:0003713; GO:0004402; GO:0005634; GO:0005737; GO:0005813; GO:0006338; GO:0007507; GO:0007616; GO:0010484; GO:0018393; GO:0040029; GO:0043992; GO:0045589; GO:0045893; GO:0045944; GO:0048167; GO:0050863; GO:0060173; GO:0060349; GO:0061035; GO:0061733; GO:0106078; GO:0106227; GO:0106229; GO:0140672; GO:1903010
A0A0R4IZ84	gene-Pocillopora_meandrina_HIv1___RNAseq.g22309.t1	GO:0000184; GO:0000781; GO:0004519; GO:0005697; GO:0005730; GO:0005829; GO:0042162; GO:0043009; GO:0070034
A0A0U1QT59	gene-Pocillopora_meandrina_HIv1___RNAseq.g8968.t1	GO:0001582; GO:0005886; GO:0007635; GO:0008345; GO:0008381; GO:0019230; GO:0019232; GO:0030425; GO:0046662; GO:0050974; GO:1905790; GO:1905792
A0A125YHX7	gene-Pocillopora_meandrina_HIv1___RNAseq.g23055.t1	GO:0005509; GO:0016174; GO:0016460
A0A140LI67	gene-Pocillopora_meandrina_HIv1___TS.g4918.t1	GO:0005545; GO:0005737; GO:0005856; GO:0005923; GO:0014069; GO:0016323; GO:0070830
A0A140LIJ0	gene-Pocillopora_meandrina_HIv1___RNAseq.g5099.t1	GO:0002080; GO:0007342; GO:0035036
A0A172J1V3	gene-Pocillopora_meandrina_HIv1___RNAseq.g29367.t1a	GO:0002047; GO:0008171; GO:0008757; GO:0032259; GO:0042802; GO:0042803; GO:1904047
A0A1B0GTI8	gene-Pocillopora_meandrina_HIv1___RNAseq.g18748.t1	GO:0016020
A0A1B0GTI8	gene-Pocillopora_meandrina_HIv1___TS.g21219.t1	GO:0016020
A0A1B0GTI8	gene-Pocillopora_meandrina_HIv1___RNAseq.g18747.t1a	GO:0016020
A0A1B4XBH3	gene-Pocillopora_meandrina_HIv1___RNAseq.g23681.t1	GO:0004312; GO:0006633; GO:0016491; GO:0017000; GO:0031177; GO:0044550
A0A1C9II22	gene-Pocillopora_meandrina_HIv1___RNAseq.g11387.t1	GO:0009820; GO:0016491
A0A1D5P556	gene-Pocillopora_meandrina_HIv1___RNAseq.g30174.t1	GO:0003779; GO:0016055; GO:0021516; GO:0030036; GO:0031267; GO:0048715; GO:0060828; GO:0090263; GO:2000050
A0A1D8PEL1	gene-Pocillopora_meandrina_HIv1___RNAseq.g22183.t1	GO:0004496; GO:0005524; GO:0005829; GO:0006696; GO:0010142; GO:0019287; GO:0046872
A0A1L8EYB2	gene-Pocillopora_meandrina_HIv1___RNAseq.g15482.t1	GO:0005879; GO:0036158; GO:0070840; GO:0120293
A0A1L8F5J9	gene-Pocillopora_meandrina_HIv1___RNAseq.g2141.t1	GO:0004972; GO:0005886; GO:0007268; GO:0010043; GO:0015280; GO:0017146; GO:0022849; GO:0035235; GO:0035725; GO:0038023; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0046872; GO:0048167; GO:0070588; GO:0098839
A0A1L8G2K9	gene-Pocillopora_meandrina_HIv1___RNAseq.g5191.t1	GO:0000785; GO:0003690; GO:0003697; GO:0004222; GO:0005634; GO:0006508; GO:0006974; GO:0008270; GO:0016540; GO:0031593; GO:0106300
A0A1L8GWK2	gene-Pocillopora_meandrina_HIv1___RNAseq.g15639.t1	GO:0000978; GO:0000981; GO:0005634; GO:0006357
A0A1L8GXM0	gene-Pocillopora_meandrina_HIv1___RNAseq.g7541.t1	GO:0000722; GO:0000729; GO:0000781; GO:0000794; GO:0003691; GO:0005524; GO:0006302; GO:0007004; GO:0016887; GO:0030870; GO:0035861; GO:0043047; GO:0043539; GO:0046872; GO:0051310; GO:0051880; GO:0062176; GO:0070192; GO:0110025
A0A1L8GXY4	gene-Pocillopora_meandrina_HIv1___RNAseq.g17812.t1	GO:0003351; GO:0003356; GO:0005576; GO:0005930; GO:0007288; GO:0060271
A0A1L8HFX9	gene-Pocillopora_meandrina_HIv1___TS.g1185.t1	GO:0001578; GO:0001725; GO:0005737; GO:0005884; GO:0008017; GO:0008093; GO:0031110; GO:0035371; GO:0042995; GO:0051015; GO:0051764; GO:0060296; GO:1904825
A0A1S4F2V5	gene-Pocillopora_meandrina_HIv1___RNAseq.g9577.t1	GO:0006508; GO:0008234
A0A1W2PQ73	gene-Pocillopora_meandrina_HIv1___RNAseq.g7392.t1a	GO:0000981; GO:0005634; GO:0006357; GO:0030154; GO:0043565
A0A1W5T1T1	gene-Pocillopora_meandrina_HIv1___RNAseq.g23684.t1	GO:0004312; GO:0006633; GO:0016491; GO:0030639; GO:0031177; GO:1901336
A0A286Y9D1	gene-Pocillopora_meandrina_HIv1___TS.g22251.t2	GO:0000122; GO:0005634; GO:0006357; GO:0008270; GO:0008285; GO:0010463; GO:0042393; GO:0048286; GO:0060916; GO:0072201; GO:0140566; GO:2000584; GO:2000791
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g9846.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g26039.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g15478.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g13573.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g29739.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g751.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g27583.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g9847.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g3999.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g9845.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RNI3	gene-Pocillopora_meandrina_HIv1___RNAseq.g22003.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___TS.g14841.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g1452.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g12549.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g26666.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g17759.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g12551.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g12548.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g18824.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g7012.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g12552.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g12545.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4RP11	gene-Pocillopora_meandrina_HIv1___RNAseq.g18826.t1	GO:0003725; GO:0005524; GO:0016779; GO:0045087; GO:0046872
A0A2B4SES9	gene-Pocillopora_meandrina_HIv1___RNAseq.g17799.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703; GO:0180001
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g28731.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17784.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17789.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17798.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17787.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17796.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17785.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SII1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17794.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709; GO:0140703
A0A2B4SJA1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17786.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709
A0A2B4SJA1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17783.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709
A0A2B4SJA1	gene-Pocillopora_meandrina_HIv1___RNAseq.g17797.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709
A0A2B4SJD2	gene-Pocillopora_meandrina_HIv1___RNAseq.g17782.t1	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709
A0A2C9JXL4	gene-Pocillopora_meandrina_HIv1___RNAseq.g27166.t1	GO:0000166; GO:0006486; GO:0016020; GO:0016263; GO:0016267; GO:0030145
A0A2I4HXH5	gene-Pocillopora_meandrina_HIv1___RNAseq.g23863.t1	GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872; GO:0098552
A0A2J6RX17	gene-Pocillopora_meandrina_HIv1___RNAseq.g9567.t1	GO:0009116; GO:0016787; GO:0043531
A0A2J6RX17	gene-Pocillopora_meandrina_HIv1___RNAseq.g19885.t1	GO:0009116; GO:0016787; GO:0043531
A0A2J6RX17	gene-Pocillopora_meandrina_HIv1___RNAseq.g19891.t1	GO:0009116; GO:0016787; GO:0043531
A0A2J6RX17	gene-Pocillopora_meandrina_HIv1___RNAseq.g9561.t1	GO:0009116; GO:0016787; GO:0043531
A0A2J6RX17	gene-Pocillopora_meandrina_HIv1___RNAseq.g13378.t1	GO:0009116; GO:0016787; GO:0043531
A0A2R8Q1W5	gene-Pocillopora_meandrina_HIv1___RNAseq.g7828.t1	GO:0005634; GO:0005737; GO:0006511; GO:0010506; GO:0016234; GO:0016567; GO:0030536; GO:0031463; GO:0034599; GO:0043161; GO:0071379; GO:0071466; GO:1990756
A0A2R8QF68	gene-Pocillopora_meandrina_HIv1___RNAseq.g21683.t3	GO:0005886; GO:0015277; GO:0022849; GO:0032983; GO:0035249; GO:0042734; GO:0050804; GO:0098839; GO:1904315
A0A386CAB9	gene-Pocillopora_meandrina_HIv1___RNAseq.g928.t1	GO:0002221; GO:0005524; GO:0005737; GO:0006508; GO:0006954; GO:0008233; GO:0012501; GO:0032731; GO:0042981; GO:0045087; GO:0050729; GO:0061702; GO:0072558
A0A3G2LGI8	gene-Pocillopora_meandrina_HIv1___RNAseq.g29083.t1	GO:0001726; GO:0005178; GO:0005200; GO:0005856; GO:0005886; GO:0005925; GO:0005938; GO:0030036; GO:0051015; GO:0098609
A0A3M6TIF0	gene-Pocillopora_meandrina_HIv1___RNAseq.g21126.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A3M6TIF0	gene-Pocillopora_meandrina_HIv1___RNAseq.g10157.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A3M6TIF0	gene-Pocillopora_meandrina_HIv1___RNAseq.g29845.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A3M6TIF0	gene-Pocillopora_meandrina_HIv1___RNAseq.g29842.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A3M6TIF0	gene-Pocillopora_meandrina_HIv1___RNAseq.g1451.t1	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501
A0A3Q2HW92	gene-Pocillopora_meandrina_HIv1___RNAseq.g18788.t1	GO:0000380; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0008643; GO:0015293; GO:0016604; GO:0033162; GO:0033229; GO:0042438; GO:0043021; GO:0043474; GO:0048022; GO:1903712
A0A4X1TB62	gene-Pocillopora_meandrina_HIv1___RNAseq.g3998.t1	GO:0001725; GO:0005813; GO:0005869; GO:0005938; GO:0030017
A0A4X1TZW7	gene-Pocillopora_meandrina_HIv1___RNAseq.g4193.t1	GO:0001669; GO:0005516; GO:0005879; GO:0017124; GO:0030317; GO:0036126; GO:0061966; GO:0097228; GO:0097728; GO:0160112
A0A5C1RDG7	gene-Pocillopora_meandrina_HIv1___RNAseq.g20348.t1	GO:0044283; GO:0046872; GO:0051213
A0A678XMK4	gene-Pocillopora_meandrina_HIv1___RNAseq.g12126.t1	GO:0001594; GO:0005886; GO:0007186
A0A6B9HEI0	gene-Pocillopora_meandrina_HIv1___RNAseq.g24835.t1	GO:0005829; GO:0008168; GO:0017000; GO:0031419; GO:0032259; GO:0046872; GO:0051539
A0A7N9VSG0	gene-Pocillopora_meandrina_HIv1___RNAseq.g8172.t1	GO:0005524; GO:0005634; GO:0005737; GO:0005819; GO:0016887; GO:0042273; GO:0042802; GO:1990275
