"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"196",196,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:3859698-3862272",147,-20.4,2,18,455,475,16,"68.75%","81.25%","Pocillopora_meandrina_HIv1___RNAseq.g18923.t1",-0.9481018576615,0.0140815848402414,0.674410729954476,"Q21565","Putative ammonium transporter 3","Caenorhabditis elegans","ammonium homeostasis [GO:0097272]; ammonium transmembrane transport [GO:0072488]","GO:0005886; GO:0008519; GO:0072488; GO:0097272"
"197",197,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000001:4223913-4228359",156,-20.92,2,21,2664,2685,19,"63.16%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g18965.t1",-0.906314215938165,0.0339347989781252,0.747091411809125,NA,NA,NA,NA,NA
"234",234,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:1333753-1338936",148,-20.37,2,18,2477,2499,17,"70.59%","76.47%","Pocillopora_meandrina_HIv1___RNAseq.g6552.t1",0.897218385768527,0.0389399636395567,0.760878962620332,NA,NA,NA,NA,NA
"256",256,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:18138433-18155173",151,-22.32,2,18,782,805,18,"72.22%","83.33%","Pocillopora_meandrina_HIv1___TS.g1655.t1",-0.904285975488622,0.0350317411578746,0.752464154338323,"Q6QNK2","Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)","Homo sapiens (Human)","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]","GO:0004930; GO:0005654; GO:0005886; GO:0007166; GO:0007186; GO:0007189; GO:0016020"
"261",261,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:18714978-18719477",159,-22.47,2,21,2080,2104,22,"63.64%","81.82%","Pocillopora_meandrina_HIv1___TS.g1697.t1",-0.958727713745867,0.0100026389168762,0.667107103030161,NA,NA,NA,NA,NA
"277",277,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:3892407-3898360",154,-20.84,2,20,1488,1510,19,"68.42%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g6750.t1",-0.912844530650332,0.0304800145511138,0.73319787949976,"P43903","Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase)","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)","","GO:0003960; GO:0005829; GO:0008270; GO:0016651; GO:0070402"
"279",279,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:3981603-3987956",156,-20.13,2,13,344,365,11,"90.91%","100.00%","Pocillopora_meandrina_HIv1___TS.g505.t1",0.912376883590065,0.0307234425839662,0.734435517457325,"Q8TDX7","Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)","Homo sapiens (Human)","cellular response to potassium ion [GO:0035865]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle [GO:0007346]; spindle assembly [GO:0051225]","GO:0000922; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005815; GO:0005874; GO:0006468; GO:0007346; GO:0018105; GO:0032212; GO:0035865; GO:0046872; GO:0051225; GO:0051973; GO:0106310; GO:0140677; GO:1900227; GO:1904355"
"280",280,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000002:4112734-4127831",162,-23.15,2,19,2701,2722,17,"76.47%","82.35%","Pocillopora_meandrina_HIv1___RNAseq.g6772.t1",0.936720470517942,0.0189261783836326,0.681945623924457,"Q8NDI1","EH domain-binding protein 1","Homo sapiens (Human)","actin cytoskeleton organization [GO:0030036]; endocytosis [GO:0006897]; protein transport [GO:0015031]","GO:0005654; GO:0005768; GO:0005815; GO:0005829; GO:0005886; GO:0006897; GO:0015031; GO:0030036; GO:0031941"
"313",313,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:12182719-12198728",162,-24.51,2,21,2210,2235,23,"73.91%","78.26%","Pocillopora_meandrina_HIv1___RNAseq.g16130.t1",-0.889813819944852,0.043173095303961,0.772585614708841,NA,NA,NA,NA,NA
"340",340,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:17533948-17538936",157,-20.39,2,16,3836,3856,14,"85.71%","92.86%","Pocillopora_meandrina_HIv1___RNAseq.g16481.t1",-0.951109640836896,0.0128812467808478,0.674410729954476,NA,NA,NA,NA,NA
"359",359,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000003:4132775-4136372",164,-20.2,2,21,82,103,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g15519.t1",0.896193339043487,0.0395176486729274,0.760878962620332,"Q5FWH7","Zinc transporter ZIP12 (Solute carrier family 39 member 12) (Zrt- and Irt-like protein 12) (ZIP-12)","Mus musculus (Mouse)","cellular zinc ion homeostasis [GO:0006882]; positive regulation of sprouting angiogenesis [GO:1903672]; regulation of microtubule polymerization [GO:0031113]; regulation of neuron projection development [GO:0010975]; response to decreased oxygen levels [GO:0036293]; signal transduction [GO:0007165]; zinc ion import across plasma membrane [GO:0071578]","GO:0005385; GO:0005886; GO:0006882; GO:0007165; GO:0010975; GO:0031113; GO:0036293; GO:0048471; GO:0071578; GO:1903672"
"396",396,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000004:11175935-11188943",153,-20.82,2,18,5824,5845,16,"68.75%","81.25%","Pocillopora_meandrina_HIv1___RNAseq.8254_t",0.973420510644559,0.0051810132167092,0.667107103030161,"Q8CFG0","Extracellular sulfatase Sulf-2 (mSulf-2) (EC 3.1.6.-)","Mus musculus (Mouse)","bone development [GO:0060348]; cartilage development [GO:0051216]; chondrocyte development [GO:0002063]; embryonic skeletal system development [GO:0048706]; esophagus smooth muscle contraction [GO:0014846]; glial cell-derived neurotrophic factor receptor signaling pathway [GO:0035860]; glomerular basement membrane development [GO:0032836]; glomerular filtration [GO:0003094]; heparan sulfate proteoglycan metabolic process [GO:0030201]; innervation [GO:0060384]; kidney development [GO:0001822]; liver regeneration [GO:0097421]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of vascular endothelial growth factor production [GO:0010575]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of hepatocyte proliferation [GO:2000345]; response to wounding [GO:0009611]; sulfur compound metabolic process [GO:0006790]","GO:0001822; GO:0002063; GO:0003094; GO:0004065; GO:0005509; GO:0005539; GO:0005615; GO:0005783; GO:0005795; GO:0005886; GO:0006790; GO:0008449; GO:0009611; GO:0009986; GO:0010575; GO:0014846; GO:0030177; GO:0030201; GO:0032836; GO:0035860; GO:0040037; GO:0048706; GO:0051216; GO:0060348; GO:0060384; GO:0090263; GO:0097421; GO:2000345"
"419",419,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000004:8532714-8550495",152,-20.89,2,19,6736,6759,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g24763.t1",0.92643346781419,0.0236866105606006,0.698759485874756,"Q9NR30","Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu)","Homo sapiens (Human)","chromatin remodeling [GO:0006338]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; osteoblast differentiation [GO:0001649]; positive regulation of histone acetylation [GO:0035066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; R-loop processing [GO:0062176]; response to exogenous dsRNA [GO:0043330]; rRNA processing [GO:0006364]; transcription by RNA polymerase II [GO:0006366]","GO:0001649; GO:0002735; GO:0003723; GO:0003724; GO:0003725; GO:0005524; GO:0005654; GO:0005694; GO:0005730; GO:0005739; GO:0005829; GO:0006338; GO:0006364; GO:0006366; GO:0016020; GO:0016887; GO:0019843; GO:0030515; GO:0035066; GO:0035198; GO:0042802; GO:0043123; GO:0043330; GO:0045087; GO:0045943; GO:0045944; GO:0045945; GO:0051607; GO:0062176; GO:0097322; GO:0110016"
"433",433,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000005:11469509-11474763",146,-20.19,2,19,635,656,17,"64.71%","70.59%","Pocillopora_meandrina_HIv1___RNAseq.g23824.t1",0.971289075176257,0.0058146743817068,0.667107103030161,"Q8NFH3","Nucleoporin Nup43 (Nup107-160 subcomplex subunit Nup43) (p42)","Homo sapiens (Human)","cell division [GO:0051301]; chromosome segregation [GO:0007059]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]","GO:0000776; GO:0005635; GO:0005643; GO:0005654; GO:0005829; GO:0006913; GO:0007059; GO:0015031; GO:0016607; GO:0031080; GO:0051028; GO:0051301"
"448",448,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000005:13987199-13991827",153,-20.59,2,21,2170,2194,22,"72.73%","77.27%","Pocillopora_meandrina_HIv1___RNAseq.g24080.t2",0.954557594083825,0.0115489682521901,0.674410729954476,NA,NA,NA,NA,NA
"450",450,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000005:14026698-14034645",155,-20.95,2,21,2813,2835,20,"65.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g24083.t1",-0.883110189300541,0.0471230954280263,0.785088219864557,NA,NA,NA,NA,NA
"465",465,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000005:5035330-5041235",155,-22.65,2,21,2215,2239,22,"63.64%","77.27%","Pocillopora_meandrina_HIv1___RNAseq.g23314.t1",0.973526906616148,0.00515001839310857,0.667107103030161,"Q7T070","Ammonium transporter Rh type B (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein)","Danio rerio (Zebrafish) (Brachydanio rerio)","ammonium homeostasis [GO:0097272]; ammonium transmembrane transport [GO:0072488]","GO:0005886; GO:0008519; GO:0016323; GO:0030659; GO:0072488; GO:0097272"
"495",495,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:10370305-10390788",161,-21.01,2,20,13707,13727,18,"77.78%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g27742.t1",0.91150666461836,0.0311780750845868,0.736477304549637,"Q53LP3","Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C)","Homo sapiens (Human)","",""
"496",496,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:10581202-10590084",164,-22.25,2,21,2431,2452,19,"63.16%","89.47%","Pocillopora_meandrina_HIv1___RNAseq.g27760.t1",0.882202613581853,0.0476662305849289,0.786807790715057,"P21868","Casein kinase II subunit alpha (CK II) (EC 2.7.11.1)","Gallus gallus (Chicken)","peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; regulation of cell cycle [GO:0051726]; rhythmic process [GO:0048511]; Wnt signaling pathway [GO:0016055]","GO:0004674; GO:0005524; GO:0005634; GO:0005829; GO:0005956; GO:0016055; GO:0018105; GO:0018107; GO:0048511; GO:0051726; GO:0106310"
"498",498,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:10667840-10670470",159,-20.7,2,17,1043,1065,16,"81.25%","87.50%","Pocillopora_meandrina_HIv1___RNAseq.g27772.t1",-0.907680570853649,0.0332021512989354,0.744417354792335,NA,NA,NA,NA,NA
"500",500,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:10678114-10681316",152,-21.41,2,13,2972,2993,11,"90.91%","90.91%","Pocillopora_meandrina_HIv1___TS.g15117.t1",-0.954767350464004,0.0114694640650769,0.674410729954476,NA,NA,NA,NA,NA
"501",501,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:11150502-11163614",159,-20.88,2,20,592,613,18,"66.67%","83.33%","Pocillopora_meandrina_HIv1___RNAseq.g27818.t1",0.920854436764395,0.0264088533071111,0.713796945324334,NA,NA,NA,NA,NA
"509",509,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:12490252-12500127",157,-22.01,2,21,2219,2238,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g27996.t1",0.9758183867188,0.00449759328557457,0.667107103030161,"P35668","Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)","Xenopus laevis (African clawed frog)","","GO:0000287; GO:0004363; GO:0005524; GO:0042803; GO:0043295"
"515",515,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:2848912-2855139",158,-20.21,2,20,692,714,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.g26982.t1",0.917091323906559,0.0282981335401128,0.723063722613888,NA,NA,NA,NA,NA
"527",527,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000006:4038047-4044258",165,-23.41,2,20,2084,2108,21,"76.19%","85.71%","Pocillopora_meandrina_HIv1___RNAseq.g27117.t1",-0.913076993310031,0.030359240438003,0.732417882476039,NA,NA,NA,NA,NA
"553",553,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000007:106643-120483",145,-20.31,2,21,5242,5263,20,"60.00%","80.00%","Pocillopora_meandrina_HIv1___RNAseq.g5062.t1",0.957515572883927,0.0104445896982126,0.667107103030161,"Q86VP3","Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)","Homo sapiens (Human)","apoptotic process [GO:0006915]; autophagosome assembly [GO:0000045]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; mitochondrion-endoplasmic reticulum membrane tethering [GO:1990456]; protein localization to phagophore assembly site [GO:0034497]; protein localization to plasma membrane [GO:0072659]","GO:0000045; GO:0005739; GO:0005783; GO:0006915; GO:0032469; GO:0034497; GO:0044325; GO:0072659; GO:1990456"
"554",554,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000007:1136855-1158547",152,-22.7,2,20,661,682,19,"73.68%","78.95%","Pocillopora_meandrina_HIv1___RNAseq.11406_t",-0.915907688765361,0.0289010065712606,0.72578745096866,"P20072","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)","Bos taurus (Bovine)","","GO:0005509; GO:0005544; GO:0005634; GO:0005737; GO:0042584"
"605",605,"Cluster_1015","Pocillopora_meandrina_HIv1___Sc0000007:8673801-8690540",147,-20.43,2,18,536,561,20,"70.00%","75.00%","Pocillopora_meandrina_HIv1___RNAseq.g5860.t1",-0.973621379457586,0.00512254841582783,0.667107103030161,"Q5ZKL5","Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like)","Gallus gallus (Chicken)","proteolysis [GO:0006508]","GO:0004252; GO:0005794; GO:0005829; GO:0005856; GO:0006508"
