"","X.1","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"11",11,3186,"Cluster_11134","Peve_00000502",-0.0195622829453675,0.987545469442176,0.999448381576871,151,-20.27,"2 21","492 514",20,"65.00%","75.00%","O73792","Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)","Danio rerio (Zebrafish) (Brachydanio rerio)","angiogenesis [GO:0001525]; blood vessel development [GO:0001568]; endothelial cell-cell adhesion [GO:0071603]; heart development [GO:0007507]; positive regulation of angiogenesis [GO:0045766]; positive regulation of kinase activity [GO:0033674]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vasculature development [GO:0001944]","GO:0001525; GO:0001568; GO:0001944; GO:0004714; GO:0005524; GO:0005886; GO:0007169; GO:0007507; GO:0033674; GO:0043235; GO:0045766; GO:0071603"
"12",12,3816,"Cluster_11134","Peve_00003970",0.875640822838247,0.320878802775509,0.978262075707395,159,-22.3,"2 21","497 519",20,"70.00%","80.00%",NA,NA,NA,NA,NA
"13",13,4102,"Cluster_2854","Peve_00040567",-0.957255331744831,0.186807945938679,0.978262075707395,161,-22.84,"2 14","457 478",12,"91.67%","100.00%",NA,NA,NA,NA,NA
"14",14,4766,"Cluster_14999","Peve_00021924",0.525134194156591,0.64803024914489,0.978262075707395,169,-20.78,"2 20","671 691",18,"83.33%","88.89%","P11617","Adenosine receptor A2a","Canis lupus familiaris (Dog) (Canis familiaris)","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; apoptotic signaling pathway [GO:0097190]; eating behavior [GO:0042755]; G protein-coupled adenosine receptor signaling pathway [GO:0001973]; G protein-coupled receptor signaling pathway [GO:0007186]; inhibitory postsynaptic potential [GO:0060080]; locomotory behavior [GO:0007626]; negative regulation of alpha-beta T cell activation [GO:0046636]; negative regulation of inflammatory response [GO:0050728]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; response to amphetamine [GO:0001975]; response to inorganic substance [GO:0010035]; response to purine-containing compound [GO:0014074]; synaptic transmission, dopaminergic [GO:0001963]","GO:0001609; GO:0001963; GO:0001973; GO:0001975; GO:0004930; GO:0005886; GO:0007186; GO:0007189; GO:0007626; GO:0008289; GO:0010035; GO:0014074; GO:0019899; GO:0032230; GO:0042755; GO:0042802; GO:0046636; GO:0050728; GO:0060080; GO:0097190; GO:0098794; GO:2001235"
"15",15,4778,"Cluster_2882","Peve_00021927",-0.892924110050365,0.297299769223052,0.978262075707395,170,-28.51,"2 20","163 187",21,"80.95%","80.95%","Q9NW07","Zinc finger protein 358","Homo sapiens (Human)","embryonic forelimb morphogenesis [GO:0035115]; neural tube development [GO:0021915]; regulation of transcription by RNA polymerase II [GO:0006357]; stem cell population maintenance [GO:0019827]","GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0019827; GO:0021915; GO:0035115; GO:0046872"
"16",16,5055,"Cluster_5882","Peve_00022603",0.435789685184326,0.71293829531919,0.979663631127656,153,-20.48,"2 19","224 246",18,"72.22%","77.78%",NA,NA,NA,NA,NA
"17",17,5140,"Cluster_4080","Peve_00008995",-0.971045671478489,0.153569641017152,0.978262075707395,170,-20.07,"2 19","520 541",17,"82.35%","88.24%",NA,NA,NA,NA,NA
"18",18,6139,"Cluster_6906","Peve_00041017",-0.686063329690759,0.518674561276582,0.978262075707395,155,-20.43,"2 17","385 407",16,"75.00%","87.50%",NA,NA,NA,NA,NA
"19",19,6850,"Cluster_4080","Peve_00027432",-0.962123501271326,0.175776353057003,0.978262075707395,154,-20.4,"2 21","764 789",23,"69.57%","73.91%","Q7RTR2","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","Homo sapiens (Human)","I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"20",20,6882,"Cluster_15726","Peve_00027432",-0.99995514319204,0.00602991134659825,0.573710369894872,156,-20.62,"2 21","242 264",22,"72.73%","77.27%","Q7RTR2","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","Homo sapiens (Human)","I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"21",21,7123,"Cluster_4735","Peve_00036295",-0.852895805300287,0.349688398936474,0.978262075707395,150,-22.91,"2 19","688 707",17,"76.47%","82.35%","P20749","B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3)","Homo sapiens (Human)","antimicrobial humoral response [GO:0019730]; cellular response to DNA damage stimulus [GO:0006974]; defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; extracellular matrix organization [GO:0030198]; follicular dendritic cell differentiation [GO:0002268]; germinal center formation [GO:0002467]; humoral immune response mediated by circulating immunoglobulin [GO:0002455]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; marginal zone B cell differentiation [GO:0002315]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; negative regulation of T cell apoptotic process [GO:0070233]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of type II interferon production [GO:0032729]; protein import into nucleus [GO:0006606]; regulation of apoptotic process [GO:0042981]; regulation of DNA binding [GO:0051101]; regulation of NIK/NF-kappaB signaling [GO:1901222]; response to UV-C [GO:0010225]; response to virus [GO:0009615]; spleen development [GO:0048536]; T cell apoptotic process [GO:0070231]; T-helper 1 type immune response [GO:0042088]; T-helper 2 cell differentiation [GO:0045064]","GO:0002268; GO:0002315; GO:0002455; GO:0002467; GO:0003713; GO:0003714; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006606; GO:0006974; GO:0007249; GO:0009615; GO:0010225; GO:0019730; GO:0030198; GO:0030330; GO:0030496; GO:0030674; GO:0032088; GO:0032717; GO:0032720; GO:0032729; GO:0032733; GO:0032991; GO:0032996; GO:0033257; GO:0042088; GO:0042742; GO:0042771; GO:0042826; GO:0042832; GO:0042981; GO:0043066; GO:0043231; GO:0045064; GO:0045727; GO:0045892; GO:0045893; GO:0045944; GO:0046426; GO:0048471; GO:0048536; GO:0051101; GO:0070231; GO:0070233; GO:0140297; GO:1901222"
"22",22,7400,"Cluster_6914","Peve_00023536",0.983583822690962,0.11551198723578,0.978262075707395,158,-21.61,"2 20","751 774",21,"71.43%","76.19%",NA,NA,NA,NA,NA
"23",23,8096,"Cluster_14999","Peve_00024162",0.554217104380676,0.626035468965994,0.978262075707395,166,-23.03,"2 20","808 830",19,"78.95%","84.21%","Q7Z7L1","Schlafen family member 11 (EC 3.6.-.-)","Homo sapiens (Human)","cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; immune system process [GO:0002376]; negative regulation of DNA replication [GO:0008156]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; positive regulation of cell death [GO:0010942]; replication fork arrest [GO:0043111]","GO:0000049; GO:0002376; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006974; GO:0008156; GO:0010942; GO:0016887; GO:0043111; GO:0051607; GO:0090734; GO:2000134"
"24",24,8206,"Cluster_6255","Peve_00024166",0.14696818568836,0.906097009741613,0.999448381576871,164,-20.33,"2 20","302 321",18,"77.78%","88.89%","Q5T6L9","Endoplasmic reticulum membrane-associated RNA degradation protein (ER membrane-associated RNA degradation protein)","Homo sapiens (Human)","","GO:0005789"
"25",25,8251,"Cluster_6255","Peve_00024167",0.579354837652673,0.606609131763246,0.978262075707395,164,-20.33,"2 20","302 321",18,"77.78%","88.89%",NA,NA,NA,NA,NA
"26",27,9357,"Cluster_15726","Peve_00021264",-0.868839489372007,0.329732672528259,0.978262075707395,158,-20.43,"2 21","161 187",24,"70.83%","75.00%","O15050","TPR and ankyrin repeat-containing protein 1 (Lupus brain antigen 1 homolog)","Homo sapiens (Human)","",""
"27",28,9402,"Cluster_15726","Peve_00021265",0.347175490793444,0.774281638798566,0.992080413497249,158,-20.43,"2 21","161 187",24,"70.83%","75.00%","Q3KNI6","Dynein axonemal assembly factor 6 (PIH1 domain-containing protein 3)","Mus musculus (Mouse)","axonemal dynein complex assembly [GO:0070286]; cilium movement [GO:0003341]; flagellated sperm motility [GO:0030317]; inner dynein arm assembly [GO:0036159]; outer dynein arm assembly [GO:0036158]","GO:0003341; GO:0005737; GO:0005802; GO:0030317; GO:0036158; GO:0036159; GO:0045505; GO:0051087; GO:0070286"
"28",29,9546,"Cluster_2787","Peve_00021261",0.946064772237234,0.210040456651987,0.978262075707395,156,-20.1,"2 21","498 518",20,"75.00%","80.00%","Q2EMV9","Protein mono-ADP-ribosyltransferase PARP14 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (Collaborator of STAT6) (CoaSt6) (Poly [ADP-ribose] polymerase 14) (PARP-14)","Mus musculus (Mouse)","innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of type II interferon-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein poly-ADP-ribosylation [GO:0070212]","GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0010629; GO:0016779; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:1902216; GO:1990404"
"29",30,10134,"Cluster_4079","Peve_00034267",-0.736471247319451,0.472981319904014,0.978262075707395,157,-22.72,"2 14","842 863",12,"91.67%","91.67%",NA,NA,NA,NA,NA
"30",31,10206,"Cluster_11134","Peve_00012359",-0.206138384221755,0.867820587841691,0.996991458252342,166,-24.26,"2 21","899 923",22,"77.27%","81.82%","Q9BX70","BTB/POZ domain-containing protein 2","Homo sapiens (Human)","neurogenesis [GO:0022008]","GO:0000932; GO:0005829; GO:0022008"
"31",32,10251,"Cluster_11134","Peve_00012351",-0.00459214192079096,0.997076541380776,0.999448381576871,160,-23.53,"2 21","2 23",19,"57.89%","89.47%","Q6PHS9","Voltage-dependent calcium channel subunit alpha-2/delta-2 (Protein ducky) (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]","Mus musculus (Mouse)","calcium ion transport [GO:0006816]; muscle cell development [GO:0055001]; neuromuscular junction development [GO:0007528]; organ growth [GO:0035265]; positive regulation of organ growth [GO:0046622]; regulation of heart contraction [GO:0008016]; regulation of ion transmembrane transport [GO:0034765]; regulation of multicellular organism growth [GO:0040014]; rhythmic synaptic transmission [GO:0060024]","GO:0005245; GO:0005886; GO:0005891; GO:0006816; GO:0007528; GO:0008016; GO:0034765; GO:0035265; GO:0040014; GO:0046622; GO:0046872; GO:0055001; GO:0060024"
"32",33,10356,"Cluster_2787","Peve_00042714",0.867933894665659,0.330895275232091,0.978262075707395,158,-23.39,"2 16","954 976",15,"80.00%","93.33%",NA,NA,NA,NA,NA
"33",34,10370,"Cluster_6914","Peve_00042714",0.853558462702337,0.34887952241865,0.978262075707395,159,-20.72,"2 20","709 727",18,"77.78%","88.89%",NA,NA,NA,NA,NA
"34",35,10402,"Cluster_2854","Peve_00021480",-0.921491639051535,0.25394296861445,0.978262075707395,163,-21.86,"2 17","877 899",16,"87.50%","87.50%","Q5PRC1","LHFPL tetraspan subfamily member 6 protein","Danio rerio (Zebrafish) (Brachydanio rerio)","","GO:0016020"
"35",36,10806,"Cluster_2787","Peve_00045095",0.781241154543022,0.429173830812632,0.978262075707395,159,-21.11,"2 21","817 840",21,"71.43%","76.19%","P48442","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR)","Rattus norvegicus (Rat)","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; apoptotic process [GO:0006915]; bile acid secretion [GO:0032782]; branching morphogenesis of an epithelial tube [GO:0048754]; calcium ion import [GO:0070509]; cellular calcium ion homeostasis [GO:0006874]; cellular response to glucose stimulus [GO:0071333]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hypoxia [GO:0071456]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to peptide [GO:1901653]; cellular response to vitamin D [GO:0071305]; chloride transmembrane transport [GO:1902476]; detection of calcium ion [GO:0005513]; fat pad development [GO:0060613]; G protein-coupled receptor signaling pathway [GO:0007186]; JNK cascade [GO:0007254]; ossification [GO:0001503]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin secretion [GO:0032024]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of vasoconstriction [GO:0045907]; regulation of calcium ion transport [GO:0051924]; response to calcium ion [GO:0051592]; response to fibroblast growth factor [GO:0071774]; response to ischemia [GO:0002931]; response to metal ion [GO:0010038]; response to organic cyclic compound [GO:0014070]; vasodilation [GO:0042311]","GO:0001503; GO:0002931; GO:0004930; GO:0005178; GO:0005509; GO:0005513; GO:0005634; GO:0005737; GO:0005886; GO:0006874; GO:0006915; GO:0007186; GO:0007193; GO:0007200; GO:0007254; GO:0008284; GO:0009986; GO:0010038; GO:0010628; GO:0014070; GO:0016020; GO:0016323; GO:0016324; GO:0016597; GO:0019901; GO:0030424; GO:0032024; GO:0032781; GO:0032782; GO:0035729; GO:0042311; GO:0042803; GO:0043005; GO:0043025; GO:0043679; GO:0044325; GO:0045907; GO:0048754; GO:0050927; GO:0051592; GO:0051924; GO:0060613; GO:0070374; GO:0070509; GO:0071305; GO:0071333; GO:0071404; GO:0071456; GO:0071774; GO:0090280; GO:1901653; GO:1902476"
"36",37,10838,"Cluster_11997","Peve_00045095",-0.925750201402595,0.246869420228106,0.978262075707395,178,-20.15,"2 21","93 113",19,"84.21%","94.74%","P48442","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR)","Rattus norvegicus (Rat)","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; apoptotic process [GO:0006915]; bile acid secretion [GO:0032782]; branching morphogenesis of an epithelial tube [GO:0048754]; calcium ion import [GO:0070509]; cellular calcium ion homeostasis [GO:0006874]; cellular response to glucose stimulus [GO:0071333]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hypoxia [GO:0071456]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to peptide [GO:1901653]; cellular response to vitamin D [GO:0071305]; chloride transmembrane transport [GO:1902476]; detection of calcium ion [GO:0005513]; fat pad development [GO:0060613]; G protein-coupled receptor signaling pathway [GO:0007186]; JNK cascade [GO:0007254]; ossification [GO:0001503]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin secretion [GO:0032024]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of vasoconstriction [GO:0045907]; regulation of calcium ion transport [GO:0051924]; response to calcium ion [GO:0051592]; response to fibroblast growth factor [GO:0071774]; response to ischemia [GO:0002931]; response to metal ion [GO:0010038]; response to organic cyclic compound [GO:0014070]; vasodilation [GO:0042311]","GO:0001503; GO:0002931; GO:0004930; GO:0005178; GO:0005509; GO:0005513; GO:0005634; GO:0005737; GO:0005886; GO:0006874; GO:0006915; GO:0007186; GO:0007193; GO:0007200; GO:0007254; GO:0008284; GO:0009986; GO:0010038; GO:0010628; GO:0014070; GO:0016020; GO:0016323; GO:0016324; GO:0016597; GO:0019901; GO:0030424; GO:0032024; GO:0032781; GO:0032782; GO:0035729; GO:0042311; GO:0042803; GO:0043005; GO:0043025; GO:0043679; GO:0044325; GO:0045907; GO:0048754; GO:0050927; GO:0051592; GO:0051924; GO:0060613; GO:0070374; GO:0070509; GO:0071305; GO:0071333; GO:0071404; GO:0071456; GO:0071774; GO:0090280; GO:1901653; GO:1902476"
"37",39,11511,"Cluster_11134","Peve_00043447",0.495145859811942,0.670229233806936,0.978262075707395,162,-24.88,"2 19","26 47",17,"76.47%","82.35%",NA,NA,NA,NA,NA
"38",40,12054,"Cluster_13502","Peve_00011191",-0.0830090964863612,0.947093890502283,0.999448381576871,154,-20.67,"2 21","858 878",19,"68.42%","78.95%","Q711G3","Isoamyl acetate-hydrolyzing esterase 1 homolog (EC 3.1.-.-) (Hypertrophic agonist-responsive protein B64)","Rattus norvegicus (Rat)","lipid catabolic process [GO:0016042]","GO:0016042; GO:0016787; GO:0042802"
"39",41,13152,"Cluster_4629","Peve_00010241",-0.170224835442477,0.891101203143093,0.999448381576871,166,-27.23,"2 19","832 853",17,"76.47%","88.24%","Q60598","Src substrate cortactin","Mus musculus (Mouse)","actin cytoskeleton reorganization [GO:0031532]; cell motility [GO:0048870]; dendritic spine maintenance [GO:0097062]; extrinsic apoptotic signaling pathway [GO:0097191]; focal adhesion assembly [GO:0048041]; intracellular protein transport [GO:0006886]; lamellipodium organization [GO:0097581]; modification of postsynaptic actin cytoskeleton [GO:0098885]; modification of postsynaptic structure [GO:0099010]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neuron projection morphogenesis [GO:0048812]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of chemotaxis [GO:0050921]; positive regulation of smooth muscle contraction [GO:0045987]; receptor-mediated endocytosis [GO:0006898]; regulation of actin filament polymerization [GO:0030833]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of axon extension [GO:0030516]; regulation of cell projection assembly [GO:0060491]; substrate-dependent cell migration, cell extension [GO:0006930]","GO:0001726; GO:0002102; GO:0005522; GO:0005737; GO:0005783; GO:0005794; GO:0005829; GO:0005884; GO:0005886; GO:0005905; GO:0005925; GO:0005938; GO:0006886; GO:0006898; GO:0006930; GO:0008076; GO:0030027; GO:0030054; GO:0030426; GO:0030427; GO:0030516; GO:0030833; GO:0030838; GO:0030863; GO:0030864; GO:0031532; GO:0043197; GO:0043231; GO:0045987; GO:0048041; GO:0048812; GO:0048870; GO:0050921; GO:0051015; GO:0060491; GO:0070064; GO:0071933; GO:0097062; GO:0097191; GO:0097581; GO:0098794; GO:0098871; GO:0098885; GO:0098978; GO:0099010; GO:1903146; GO:1990023; GO:2001237"
