"miRNA_cluster"	"miRNA_location"	"mRNA_FUNid"	"mRNA_location"	"score"	"energy"	"miRNA_start"	"miRNA_end"	"target_start"	"target_end"	"aln_length"	"subject_identity"	"Qquery_identity"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013926"	"ptg000008l:28860627-28861627"	160	-21.17	2	18	531	553	17	"82.35%"	"82.35%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013927"	"ptg000008l:28893609-28894609"	152	-21.17	2	18	385	407	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013936"	"ptg000008l:29022648-29023648"	152	-22.29	2	18	250	272	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_013969"	"ptg000008l:29450827-29451827"	152	-22.29	2	18	373	395	17	"76.47%"	"76.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_014343"	"ptg000008l:35594474-35595127"	157	-20.65	2	21	255	276	20	"70.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_014344"	"ptg000008l:35594474-35595127"	157	-20.65	2	21	255	276	20	"70.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_016253"	"ptg000011l:866962-867962"	167	-21.38	2	16	297	318	14	"92.86%"	"92.86%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_016253"	"ptg000011l:866962-867962"	173	-24.95	2	21	497	518	20	"85.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_016908"	"ptg000011l:8708587-8709587"	166	-22.54	2	21	489	509	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_017319"	"ptg000011l:12023697-12024697"	153	-20.28	2	21	315	336	20	"70.00%"	"80.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_017321"	"ptg000011l:12060392-12061392"	153	-20.28	2	21	315	336	20	"70.00%"	"80.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_018621"	"ptg000012l:11218476-11219476"	159	-20.98	2	19	902	925	20	"80.00%"	"80.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_018974"	"ptg000012l:15854445-15855445"	155	-23.11	2	21	894	920	24	"62.50%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019124"	"ptg000012l:17452953-17453953"	147	-22.09	2	21	783	810	25	"60.00%"	"68.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019442"	"ptg000015l:2291661-2292661"	177	-24.59	2	19	405	428	19	"89.47%"	"89.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019580"	"ptg000015l:3738068-3739068"	156	-20.9	2	21	180	201	19	"57.89%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019621"	"ptg000015l:4425809-4426809"	156	-20.9	2	21	322	343	19	"57.89%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019652"	"ptg000015l:4861679-4862679"	156	-20.9	2	21	359	380	19	"57.89%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019770"	"ptg000015l:5920912-5921912"	156	-20.9	2	21	388	409	19	"57.89%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019832"	"ptg000015l:6339668-6340668"	171	-20.94	2	21	394	416	20	"80.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_019833"	"ptg000015l:6349768-6350768"	156	-20.9	2	21	191	212	19	"57.89%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_020810"	"ptg000015l:8931379-8932379"	160	-20.79	2	21	690	711	19	"68.42%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_021129"	"ptg000016l:1093326-1093835"	172	-25.05	2	21	254	275	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_021130"	"ptg000016l:1093326-1093835"	172	-25.05	2	21	254	275	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_021783"	"ptg000016l:2809875-2810875"	145	-21.37	2	10	937	958	8	"100.00%"	"100.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_022058"	"ptg000016l:5135129-5136129"	166	-23.22	2	21	291	311	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_022389"	"ptg000016l:8501008-8501864"	164	-21.19	2	19	474	494	17	"82.35%"	"88.24%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_023335"	"ptg000017l:6446983-6447355"	150	-22.25	2	21	171	197	24	"62.50%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_023439"	"ptg000017l:7538948-7539948"	170	-21.68	2	21	470	490	19	"78.95%"	"89.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_023440"	"ptg000017l:7539370-7540370"	170	-21.68	2	21	48	68	19	"78.95%"	"89.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_023827"	"ptg000017l:11897823-11898823"	164	-22.94	2	17	365	386	15	"86.67%"	"86.67%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_024352"	"ptg000018l:5339775-5340775"	162	-20.97	2	21	96	122	24	"75.00%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_024660"	"ptg000018l:9569445-9570445"	164	-25.08	2	20	455	474	18	"77.78%"	"88.89%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_024899"	"ptg000018l:12383940-12384940"	154	-22.44	2	21	529	549	19	"63.16%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025197"	"ptg000018l:15756863-15757863"	171	-21.7	2	21	778	800	20	"80.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025322"	"ptg000019l:1239789-1240789"	158	-21.18	2	21	727	750	21	"71.43%"	"80.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025385"	"ptg000019l:2143840-2144840"	163	-20.65	2	21	582	605	21	"71.43%"	"80.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025386"	"ptg000019l:2143921-2144921"	163	-20.65	2	21	501	524	21	"71.43%"	"80.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025528"	"ptg000019l:3905815-3906057"	157	-20.49	2	19	173	195	18	"72.22%"	"83.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025709"	"ptg000019l:5976780-5977780"	167	-21.38	2	16	229	250	14	"92.86%"	"92.86%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025709"	"ptg000019l:5976780-5977780"	173	-24.95	2	21	426	447	20	"85.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_025954"	"ptg000020l:2387826-2388826"	157	-22.18	2	21	349	368	19	"73.68%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_026707"	"ptg000020l:12691303-12692303"	154	-23.89	2	21	595	620	23	"65.22%"	"78.26%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_027507"	"ptg000021l:6043897-6044897"	158	-20.68	2	20	511	533	19	"73.68%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_027667"	"ptg000021l:8557801-8558801"	151	-21.14	2	21	709	731	20	"55.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_028046"	"ptg000021l:15243971-15244971"	154	-21.8	2	21	212	232	19	"68.42%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_028074"	"ptg000021l:15523132-15524132"	159	-22.99	2	17	660	682	16	"75.00%"	"93.75%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_028533"	"ptg000022l:255767-256767"	171	-20.94	2	21	838	860	20	"80.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_029089"	"ptg000022l:8095685-8096685"	147	-20.05	2	17	243	265	16	"68.75%"	"81.25%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_030164"	"ptg000023l:9968609-9969609"	152	-20.25	2	14	674	696	13	"84.62%"	"92.31%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_030675"	"ptg000023l:14626150-14627150"	140	-20.9	2	9	343	364	7	"100.00%"	"100.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_032438"	"ptg000023l:31974470-31975470"	161	-22.91	2	19	215	237	18	"77.78%"	"83.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_032675"	"ptg000023l:34846829-34847829"	147	-21.14	2	12	149	170	10	"90.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_033322"	"ptg000023l:41941708-41942708"	166	-24.46	2	17	720	740	15	"93.33%"	"93.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_034372"	"ptg000024l:8130240-8131240"	154	-20.94	2	21	937	957	19	"63.16%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_034721"	"ptg000024l:10824491-10825491"	165	-20.25	2	20	809	832	20	"80.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_034774"	"ptg000025l:67175-68175"	167	-21.38	2	16	224	245	14	"92.86%"	"92.86%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_034774"	"ptg000025l:67175-68175"	173	-24.95	2	21	421	442	20	"85.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_035353"	"ptg000025l:6643765-6644765"	158	-23.22	2	21	880	900	19	"73.68%"	"78.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_035404"	"ptg000025l:7084907-7085907"	163	-21.94	2	21	394	420	24	"70.83%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_036131"	"ptg000025l:15640068-15641068"	153	-24.95	2	21	9	30	20	"65.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_036431"	"ptg000025l:17997895-17998895"	161	-20.59	2	18	963	984	16	"75.00%"	"87.50%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_036745"	"ptg000026l:1271233-1272233"	165	-21.58	2	21	255	276	20	"80.00%"	"85.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_037703"	"ptg000026l:12585961-12586945"	161	-21.24	2	21	269	290	20	"80.00%"	"80.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_038778"	"ptg000027l:11301376-11301950"	162	-21.38	2	21	510	533	21	"76.19%"	"80.95%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_039457"	"ptg000030l:332367-333367"	157	-21.95	2	16	164	184	14	"85.71%"	"92.86%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_039502"	"ptg000030l:714752-715752"	154	-22.41	2	21	904	930	24	"66.67%"	"75.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_040203"	"ptg000031l:5456003-5457003"	167	-20.51	2	20	979	1000	18	"77.78%"	"83.33%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_040273"	"ptg000031l:6185894-6186894"	147	-21.84	2	21	647	671	22	"59.09%"	"72.73%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_040565"	"ptg000031l:10548654-10549654"	167	-21.29	2	20	937	958	18	"72.22%"	"88.89%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_040722"	"ptg000031l:12417175-12418175"	156	-22.8	2	19	808	828	17	"64.71%"	"94.12%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_041524"	"ptg000035l:4813315-4814315"	152	-21.93	2	21	886	905	19	"68.42%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_041610"	"ptg000035l:5911324-5912088"	166	-21.71	2	21	370	390	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_041611"	"ptg000035l:5911324-5912088"	166	-21.71	2	21	370	390	19	"78.95%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_041625"	"ptg000035l:6021219-6022219"	164	-22.47	2	21	954	975	19	"68.42%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_041884"	"ptg000035l:8604806-8605806"	159	-20.28	2	16	125	146	14	"85.71%"	"85.71%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_042325"	"ptg000036l:3786325-3787325"	155	-20.02	2	21	901	924	21	"66.67%"	"76.19%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_042385"	"ptg000036l:4487819-4488697"	172	-24.38	2	21	87	108	19	"73.68%"	"89.47%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_042406"	"ptg000036l:4633467-4634467"	162	-20.79	2	21	622	642	19	"73.68%"	"84.21%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_042675"	"ptg000039l:1037584-1038584"	167	-27.39	2	21	441	463	20	"70.00%"	"90.00%"
"Cluster_10051"	"ptg000016l:7795530-7795551(+)"	"FUN_043795"	"ptg000049l:1154021-1155021"	160	-21.37	2	17	607	628	15	"80.00%"	"86.67%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_000324"	"ntLink_6:1543821-1544821"	156	-21.19	2	13	852	873	11	"90.91%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_000912"	"ntLink_6:5973579-5974579"	160	-23.17	2	21	890	911	19	"68.42%"	"78.95%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_001213"	"ntLink_6:9850724-9851724"	158	-21.36	2	16	798	820	15	"86.67%"	"86.67%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_001214"	"ntLink_6:9872126-9873126"	162	-23.22	2	20	1	23	19	"78.95%"	"78.95%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_001596"	"ntLink_6:14143598-14144598"	152	-20.13	2	20	913	934	19	"68.42%"	"84.21%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_002181"	"ntLink_6:22138235-22139235"	156	-22.07	2	14	582	604	13	"92.31%"	"92.31%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_002182"	"ntLink_6:22138485-22139235"	156	-22.07	2	14	332	354	13	"92.31%"	"92.31%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_002454"	"ntLink_8:1785802-1786802"	167	-24.87	2	19	576	597	18	"88.89%"	"88.89%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_003898"	"ntLink_8:16641900-16642900"	163	-22.05	2	21	527	549	20	"75.00%"	"80.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_003937"	"ntLink_8:17362595-17363595"	161	-25.09	2	14	203	224	12	"91.67%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_004380"	"ntLink_8:22560065-22560836"	152	-20.87	2	13	570	591	11	"81.82%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_004381"	"ntLink_8:22560065-22560836"	152	-20.87	2	13	570	591	11	"81.82%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_005124"	"ntLink_8:31353632-31354632"	168	-23.81	2	19	876	896	17	"88.24%"	"88.24%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_005126"	"ntLink_8:31362431-31363338"	157	-20.39	2	19	610	632	18	"77.78%"	"77.78%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_005127"	"ntLink_8:31362431-31363338"	157	-20.39	2	19	610	632	18	"77.78%"	"77.78%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_005163"	"ntLink_8:31987189-31988189"	162	-20.11	2	21	525	545	19	"73.68%"	"84.21%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_005787"	"ptg000001l:3958401-3959401"	162	-24.8	2	20	760	782	19	"73.68%"	"84.21%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006110"	"ptg000001l:7876383-7877383"	150	-21.15	2	20	802	826	21	"66.67%"	"71.43%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006343"	"ptg000001l:11153242-11154242"	156	-22.86	2	14	469	491	13	"92.31%"	"92.31%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006437"	"ptg000001l:12437245-12438245"	157	-20.22	2	20	897	923	23	"73.91%"	"73.91%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006454"	"ptg000001l:12652596-12653596"	164	-21.37	2	21	622	643	19	"73.68%"	"78.95%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006535"	"ptg000001l:13735083-13736053"	142	-20.47	2	15	40	61	13	"69.23%"	"76.92%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_006940"	"ptg000001l:18544196-18545196"	159	-22.15	2	20	835	856	18	"72.22%"	"77.78%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_007102"	"ptg000001l:20508739-20509739"	168	-20.74	2	19	356	376	17	"88.24%"	"88.24%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_007209"	"ptg000002l:60646-61646"	156	-22.07	2	14	582	604	13	"92.31%"	"92.31%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_007210"	"ptg000002l:60893-61646"	156	-22.07	2	14	335	357	13	"92.31%"	"92.31%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_007701"	"ptg000002l:3410412-3411412"	166	-23.78	2	21	751	771	19	"78.95%"	"84.21%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_008504"	"ptg000002l:12322471-12323233"	161	-20.56	2	21	107	129	21	"76.19%"	"80.95%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_009086"	"ptg000004l:2547485-2548485"	153	-21.13	2	21	513	540	25	"72.00%"	"72.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_010151"	"ptg000005l:150293-151293"	152	-23.14	2	19	723	743	17	"70.59%"	"82.35%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_010161"	"ptg000005l:254463-255463"	162	-20.7	2	16	249	271	15	"86.67%"	"93.33%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_010507"	"ptg000006l:1550973-1551973"	164	-20.49	2	21	257	278	19	"73.68%"	"78.95%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_010925"	"ptg000007l:4349258-4350258"	151	-20.19	2	18	10	30	16	"75.00%"	"81.25%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_011482"	"ptg000007l:10514880-10515880"	151	-21.05	2	21	753	775	20	"65.00%"	"75.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_012203"	"ptg000008l:6343050-6344050"	161	-26.72	2	14	671	692	12	"91.67%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_012235"	"ptg000008l:6619571-6620571"	156	-27.28	2	13	592	613	11	"90.91%"	"100.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_013765"	"ptg000008l:26323920-26324920"	163	-23.01	2	20	717	738	18	"72.22%"	"83.33%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_013795"	"ptg000008l:26893068-26894068"	163	-23.01	2	20	704	725	18	"72.22%"	"83.33%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_013918"	"ptg000008l:28715138-28716138"	163	-23.01	2	20	717	738	18	"72.22%"	"83.33%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014018"	"ptg000008l:30160972-30161560"	164	-24.11	2	21	161	180	19	"84.21%"	"84.21%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014038"	"ptg000008l:30485770-30486770"	163	-23.01	2	20	711	732	18	"72.22%"	"83.33%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014173"	"ptg000008l:32746616-32747616"	175	-20.59	2	20	587	608	18	"83.33%"	"88.89%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014442"	"ptg000009l:235940-236940"	159	-20.86	2	16	482	503	14	"85.71%"	"85.71%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014681"	"ptg000009l:2092120-2093120"	146	-26.12	2	21	721	747	24	"62.50%"	"70.83%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_014682"	"ptg000009l:2092539-2093539"	146	-26.12	2	21	302	328	24	"62.50%"	"70.83%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_015076"	"ptg000009l:5918622-5919622"	152	-21.44	2	21	890	910	20	"75.00%"	"75.00%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_015285"	"ptg000009l:8454926-8455926"	146	-20.73	2	19	532	553	17	"64.71%"	"70.59%"
"Cluster_10057"	"ptg000016l:8599884-8599905(-)"	"FUN_015302"	"ptg000009l:8623530-8624530"	166	-21.42	2	15	299	320	13	"92.31%"	"100.00%"
