"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"20","FUN_000345","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"21","FUN_000350","GO:0010634","positive regulation of epithelial cell migration",16,16,11.82,0.02619,"Biological Processes",1
"22","FUN_000350","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"23","FUN_000362","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"24","FUN_000370","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"25","FUN_000370","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"26","FUN_000370","GO:0032869","cellular response to insulin stimulus",45,42,33.24,0.04689,"Biological Processes",0.933333333333333
"27","FUN_000382","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"28","FUN_000393","GO:0006412","translation",228,184,168.41,0.00618,"Biological Processes",0.807017543859649
"29","FUN_000396","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"30","FUN_000397","GO:0034446","substrate adhesion-dependent cell spreading",18,18,13.3,0.04797,"Biological Processes",1
"31","FUN_000440","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"32","FUN_000488","GO:0006412","translation",228,184,168.41,0.00618,"Biological Processes",0.807017543859649
"33","FUN_000489","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"34","FUN_000535","GO:0006281","DNA repair",146,131,107.84,0.02744,"Biological Processes",0.897260273972603
"35","FUN_000632","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"36","FUN_000637","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"37","FUN_000641","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"38","FUN_000641","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"39","FUN_000870","GO:0002181","cytoplasmic translation",33,33,24.38,0.00227,"Biological Processes",1
"40","FUN_000894","GO:0006325","chromatin organization",154,133,113.75,0.00213,"Biological Processes",0.863636363636364
"41","FUN_000895","GO:0000381","regulation of alternative mRNA splicing, via splice...",14,14,10.34,0.01431,"Biological Processes",1
"42","FUN_000898","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"43","FUN_000898","GO:0008360","regulation of cell shape",26,26,19.21,5e-04,"Biological Processes",1
"44","FUN_000908","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"45","FUN_000908","GO:0006606","protein import into nucleus",31,29,22.9,0.04012,"Biological Processes",0.935483870967742
"46","FUN_000910","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"47","FUN_000916","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"48","FUN_000935","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"49","FUN_000942","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"50","FUN_000960","GO:0006099","tricarboxylic acid cycle",14,14,10.34,0.01431,"Biological Processes",1
"51","FUN_001006","GO:0006886","intracellular protein transport",141,127,104.15,1.3e-05,"Biological Processes",0.900709219858156
"52","FUN_001006","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"53","FUN_001023","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"54","FUN_001024","GO:0006006","glucose metabolic process",41,40,30.28,0.00563,"Biological Processes",0.975609756097561
"55","FUN_001036","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"56","FUN_001068","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"57","FUN_001068","GO:0051028","mRNA transport",19,18,14.03,0.04806,"Biological Processes",0.947368421052632
"58","FUN_001147","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"59","FUN_001151","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"60","FUN_001151","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"61","FUN_001151","GO:0042632","cholesterol homeostasis",11,11,8.13,0.03559,"Biological Processes",1
"62","FUN_001155","GO:0007420","brain development",199,139,146.99,0.00387,"Biological Processes",0.698492462311558
"63","FUN_001155","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"64","FUN_001155","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"65","FUN_001155","GO:0043065","positive regulation of apoptotic process",88,77,65,0.01263,"Biological Processes",0.875
"66","FUN_001157","GO:0000381","regulation of alternative mRNA splicing, via splice...",14,14,10.34,0.01431,"Biological Processes",1
"67","FUN_001160","GO:0006006","glucose metabolic process",41,40,30.28,0.00563,"Biological Processes",0.975609756097561
"68","FUN_001184","GO:0006886","intracellular protein transport",141,127,104.15,1.3e-05,"Biological Processes",0.900709219858156
"69","FUN_001185","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"70","FUN_001190","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"71","FUN_001196","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"72","FUN_001228","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"73","FUN_001235","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"74","FUN_001267","GO:0031397","negative regulation of protein ubiquitination",12,11,8.86,0.04827,"Biological Processes",0.916666666666667
"75","FUN_001267","GO:0042632","cholesterol homeostasis",11,11,8.13,0.03559,"Biological Processes",1
"76","FUN_001267","GO:0043065","positive regulation of apoptotic process",88,77,65,0.01263,"Biological Processes",0.875
"77","FUN_001270","GO:0043433","negative regulation of DNA-binding transcription fa...",245,173,180.97,0.02717,"Biological Processes",0.706122448979592
"78","FUN_001312","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"79","FUN_001332","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"80","FUN_001344","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"81","FUN_001365","GO:0090084","negative regulation of inclusion body assembly",17,16,12.56,0.04048,"Biological Processes",0.941176470588235
"82","FUN_001369","GO:0007420","brain development",199,139,146.99,0.00387,"Biological Processes",0.698492462311558
"83","FUN_001396","GO:0006541","glutamine metabolic process",11,11,8.13,0.04819,"Biological Processes",1
"84","FUN_001401","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"85","FUN_001404","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"86","FUN_001417","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"87","FUN_001422","GO:0015031","protein transport",328,277,242.28,0.00655,"Biological Processes",0.844512195121951
"88","FUN_001453","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"89","FUN_001455","GO:0007015","actin filament organization",66,62,48.75,0.03917,"Biological Processes",0.939393939393939
"90","FUN_001455","GO:0007264","small GTPase-mediated signal transduction",98,84,72.39,0.00558,"Biological Processes",0.857142857142857
"91","FUN_001455","GO:0008360","regulation of cell shape",26,26,19.21,5e-04,"Biological Processes",1
"92","FUN_001455","GO:0032956","regulation of actin cytoskeleton organization",46,44,33.98,0.01899,"Biological Processes",0.956521739130435
"93","FUN_001459","GO:0010508","positive regulation of autophagy",66,41,48.75,0.03662,"Biological Processes",0.621212121212121
"94","FUN_001459","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"95","FUN_001459","GO:0034599","cellular response to oxidative stress",27,24,19.94,0.03548,"Biological Processes",0.888888888888889
"96","FUN_001459","GO:0045600","positive regulation of fat cell differentiation",14,13,10.34,0.04821,"Biological Processes",0.928571428571429
"97","FUN_001459","GO:0071356","cellular response to tumor necrosis factor",43,38,31.76,0.01922,"Biological Processes",0.883720930232558
"98","FUN_001463","GO:0006606","protein import into nucleus",31,29,22.9,0.04012,"Biological Processes",0.935483870967742
"99","FUN_001463","GO:0006979","response to oxidative stress",83,74,61.31,0.0016,"Biological Processes",0.891566265060241
"100","FUN_001463","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"101","FUN_001463","GO:0010508","positive regulation of autophagy",66,41,48.75,0.03662,"Biological Processes",0.621212121212121
"102","FUN_001463","GO:0016310","phosphorylation",434,335,320.58,0.00697,"Biological Processes",0.771889400921659
"103","FUN_001463","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"104","FUN_001463","GO:0034599","cellular response to oxidative stress",27,24,19.94,0.03548,"Biological Processes",0.888888888888889
"105","FUN_001463","GO:0046039","GTP metabolic process",14,14,10.34,0.04809,"Biological Processes",1
"106","FUN_001507","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"107","FUN_001531","GO:0042147","retrograde transport, endosome to Golgi",17,17,12.56,0.01054,"Biological Processes",1
"108","FUN_001578","GO:0006281","DNA repair",146,131,107.84,0.02744,"Biological Processes",0.897260273972603
"109","FUN_001654","GO:0006412","translation",228,184,168.41,0.00618,"Biological Processes",0.807017543859649
"110","FUN_001654","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"111","FUN_001654","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"112","FUN_001654","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"113","FUN_001654","GO:0043065","positive regulation of apoptotic process",88,77,65,0.01263,"Biological Processes",0.875
"114","FUN_001655","GO:0006886","intracellular protein transport",141,127,104.15,1.3e-05,"Biological Processes",0.900709219858156
"115","FUN_001655","GO:0006890","retrograde vesicle-mediated transport, Golgi to end...",11,11,8.13,0.03559,"Biological Processes",1
"116","FUN_001743","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"117","FUN_001771","GO:0000381","regulation of alternative mRNA splicing, via splice...",14,14,10.34,0.01431,"Biological Processes",1
"118","FUN_001771","GO:0000398","mRNA splicing, via spliceosome",80,78,59.09,0.00206,"Biological Processes",0.975
"119","FUN_001781","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"120","FUN_001786","GO:0043065","positive regulation of apoptotic process",88,77,65,0.01263,"Biological Processes",0.875
"121","FUN_001842","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"122","FUN_001856","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"123","FUN_001860","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"124","FUN_001881","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"125","FUN_001909","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"126","FUN_001921","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"127","FUN_001932","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"128","FUN_001947","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"129","FUN_001948","GO:0016310","phosphorylation",434,335,320.58,0.00697,"Biological Processes",0.771889400921659
"130","FUN_002092","GO:0006281","DNA repair",146,131,107.84,0.02744,"Biological Processes",0.897260273972603
"131","FUN_002102","GO:0010976","positive regulation of neuron projection developmen...",34,31,25.11,0.0474,"Biological Processes",0.911764705882353
"132","FUN_002200","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"133","FUN_002327","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"134","FUN_002329","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"135","FUN_002331","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"136","FUN_002333","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"137","FUN_002335","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"138","FUN_002337","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"139","FUN_002339","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"140","FUN_002340","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"141","FUN_002341","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"142","FUN_002345","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"143","FUN_002346","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"144","FUN_002432","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"145","FUN_002450","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"146","FUN_002454","GO:0010508","positive regulation of autophagy",66,41,48.75,0.03662,"Biological Processes",0.621212121212121
"147","FUN_002454","GO:0050821","protein stabilization",31,29,22.9,0.00576,"Biological Processes",0.935483870967742
"148","FUN_002463","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"149","FUN_002469","GO:0006513","protein monoubiquitination",11,11,8.13,0.04819,"Biological Processes",1
"150","FUN_002469","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"151","FUN_002469","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"152","FUN_002471","GO:0006513","protein monoubiquitination",11,11,8.13,0.04819,"Biological Processes",1
"153","FUN_002471","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"154","FUN_002471","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"155","FUN_002477","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"156","FUN_002736","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"157","FUN_002806","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"158","FUN_002813","GO:0006325","chromatin organization",154,133,113.75,0.00213,"Biological Processes",0.863636363636364
"159","FUN_002813","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"160","FUN_002861","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"161","FUN_003165","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"162","FUN_003712","GO:0006412","translation",228,184,168.41,0.00618,"Biological Processes",0.807017543859649
"163","FUN_003713","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"164","FUN_003978","GO:0035082","axoneme assembly",46,42,33.98,0.04758,"Biological Processes",0.91304347826087
"165","FUN_003991","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"166","FUN_003991","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"167","FUN_004002","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"168","FUN_004003","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"169","FUN_004038","GO:0006886","intracellular protein transport",141,127,104.15,1.3e-05,"Biological Processes",0.900709219858156
"170","FUN_004038","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"171","FUN_004057","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"172","FUN_004057","GO:0006325","chromatin organization",154,133,113.75,0.00213,"Biological Processes",0.863636363636364
"173","FUN_004062","GO:0035082","axoneme assembly",46,42,33.98,0.04758,"Biological Processes",0.91304347826087
"174","FUN_004083","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"175","FUN_004093","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"176","FUN_004114","GO:0006006","glucose metabolic process",41,40,30.28,0.00563,"Biological Processes",0.975609756097561
"177","FUN_004157","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"178","FUN_004158","GO:0006979","response to oxidative stress",83,74,61.31,0.0016,"Biological Processes",0.891566265060241
"179","FUN_004174","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"180","FUN_004206","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"181","FUN_004210","GO:0006606","protein import into nucleus",31,29,22.9,0.04012,"Biological Processes",0.935483870967742
"182","FUN_004210","GO:0045727","positive regulation of translation",22,22,16.25,0.01421,"Biological Processes",1
"183","FUN_004236","GO:0001764","neuron migration",39,32,28.81,0.01059,"Biological Processes",0.82051282051282
"184","FUN_004247","GO:0042632","cholesterol homeostasis",11,11,8.13,0.03559,"Biological Processes",1
"185","FUN_004254","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"186","FUN_004254","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"187","FUN_004298","GO:0016192","vesicle-mediated transport",401,281,296.2,0.0211,"Biological Processes",0.70074812967581
"188","FUN_004302","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"189","FUN_004303","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"190","FUN_004304","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"191","FUN_004305","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"192","FUN_004331","GO:0090630","activation of GTPase activity",16,16,11.82,0.00779,"Biological Processes",1
"193","FUN_004332","GO:0000226","microtubule cytoskeleton organization",169,147,124.83,0.0226,"Biological Processes",0.869822485207101
"194","FUN_004332","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"195","FUN_004332","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"196","FUN_004339","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"197","FUN_004343","GO:0000398","mRNA splicing, via spliceosome",80,78,59.09,0.00206,"Biological Processes",0.975
"198","FUN_004343","GO:0051028","mRNA transport",19,18,14.03,0.04806,"Biological Processes",0.947368421052632
"199","FUN_004346","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"200","FUN_004356","GO:0006281","DNA repair",146,131,107.84,0.02744,"Biological Processes",0.897260273972603
"201","FUN_004373","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"202","FUN_004373","GO:0043065","positive regulation of apoptotic process",88,77,65,0.01263,"Biological Processes",0.875
"203","FUN_004407","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"204","FUN_004423","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"205","FUN_004423","GO:0006281","DNA repair",146,131,107.84,0.02744,"Biological Processes",0.897260273972603
"206","FUN_004436","GO:0010629","negative regulation of gene expression",543,413,401.09,0.02375,"Biological Processes",0.760589318600368
"207","FUN_004447","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"208","FUN_004448","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"209","FUN_004448","GO:0034599","cellular response to oxidative stress",27,24,19.94,0.03548,"Biological Processes",0.888888888888889
"210","FUN_004455","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"211","FUN_004465","GO:0010508","positive regulation of autophagy",66,41,48.75,0.03662,"Biological Processes",0.621212121212121
"212","FUN_004465","GO:0018105","peptidyl-serine phosphorylation",55,49,40.63,0.00728,"Biological Processes",0.890909090909091
"213","FUN_004484","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"214","FUN_004499","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"215","FUN_004546","GO:0006606","protein import into nucleus",31,29,22.9,0.04012,"Biological Processes",0.935483870967742
"216","FUN_004568","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"217","FUN_004575","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"218","FUN_004575","GO:0007250","activation of NF-kappaB-inducing kinase activity",18,17,13.3,0.03138,"Biological Processes",0.944444444444444
"219","FUN_004575","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"220","FUN_004575","GO:0032743","positive regulation of interleukin-2 production",17,16,12.56,0.04048,"Biological Processes",0.941176470588235
"221","FUN_004575","GO:0043122","regulation of canonical NF-kappaB signal transducti...",262,192,193.53,0.0059,"Biological Processes",0.732824427480916
"222","FUN_004576","GO:0006513","protein monoubiquitination",11,11,8.13,0.04819,"Biological Processes",1
"223","FUN_004576","GO:0070936","protein K48-linked ubiquitination",18,17,13.3,0.04044,"Biological Processes",0.944444444444444
"224","FUN_004601","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"225","FUN_004611","GO:0000226","microtubule cytoskeleton organization",169,147,124.83,0.0226,"Biological Processes",0.869822485207101
"226","FUN_004625","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"227","FUN_004633","GO:0016266","O-glycan processing",14,14,10.34,0.01938,"Biological Processes",1
"228","FUN_004634","GO:0016266","O-glycan processing",14,14,10.34,0.01938,"Biological Processes",1
"229","FUN_004635","GO:0016266","O-glycan processing",14,14,10.34,0.01938,"Biological Processes",1
"230","FUN_004716","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"231","FUN_004720","GO:0045727","positive regulation of translation",22,22,16.25,0.01421,"Biological Processes",1
"232","FUN_004759","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"233","FUN_004776","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"234","FUN_004776","GO:0007250","activation of NF-kappaB-inducing kinase activity",18,17,13.3,0.03138,"Biological Processes",0.944444444444444
"235","FUN_004776","GO:0032743","positive regulation of interleukin-2 production",17,16,12.56,0.04048,"Biological Processes",0.941176470588235
"236","FUN_004781","GO:0016567","protein ubiquitination",341,253,251.88,0.02111,"Biological Processes",0.741935483870968
"237","FUN_004817","GO:0007420","brain development",199,139,146.99,0.00387,"Biological Processes",0.698492462311558
"238","FUN_004870","GO:0010976","positive regulation of neuron projection developmen...",34,31,25.11,0.0474,"Biological Processes",0.911764705882353
"239","FUN_004871","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"240","FUN_004887","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"241","FUN_004895","GO:0007049","cell cycle",973,589,718.71,0.00906,"Biological Processes",0.605344295991778
"242","FUN_004896","GO:0006470","protein dephosphorylation",30,30,22.16,0.00309,"Biological Processes",1
"243","FUN_004918","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
"244","FUN_004989","GO:0006511","ubiquitin-dependent protein catabolic process",234,186,172.85,0.00143,"Biological Processes",0.794871794871795
"245","FUN_004990","GO:0046039","GTP metabolic process",14,14,10.34,0.04809,"Biological Processes",1
"246","FUN_005040","GO:0016310","phosphorylation",434,335,320.58,0.00697,"Biological Processes",0.771889400921659
"247","FUN_005042","GO:0016310","phosphorylation",434,335,320.58,0.00697,"Biological Processes",0.771889400921659
"248","FUN_005053","GO:0045727","positive regulation of translation",22,22,16.25,0.01421,"Biological Processes",1
"249","FUN_005113","GO:0006508","proteolysis",667,531,492.68,0.02972,"Biological Processes",0.796101949025487
"250","FUN_005118","GO:0006890","retrograde vesicle-mediated transport, Golgi to end...",11,11,8.13,0.03559,"Biological Processes",1
"251","FUN_005118","GO:0007030","Golgi organization",38,36,28.07,0.00349,"Biological Processes",0.947368421052632
"252","FUN_005120","GO:0002181","cytoplasmic translation",33,33,24.38,0.00227,"Biological Processes",1
"253","FUN_005173","GO:0000122","negative regulation of transcription by RNA polymer...",155,126,114.49,0.01816,"Biological Processes",0.812903225806452
