mRNA	GO
FUN_000086	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000087	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000088	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000089	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000090	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000091	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000092	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000093	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000094	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000095	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000096	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000097	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000098	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000099	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000100	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000101	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000102	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000103	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000104	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000105	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000106	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000107	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000108	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000109	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000110	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000111	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000112	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000113	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000114	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000115	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000116	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000117	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000118	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000119	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000120	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000121	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000122	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000123	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000124	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000125	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000126	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000127	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000128	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000129	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000130	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000131	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000132	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000133	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000134	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000135	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000136	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000137	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000138	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000139	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000140	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000141	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000142	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000143	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000144	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000145	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000146	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000147	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000148	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000149	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000150	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000151	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000152	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000153	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000154	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000155	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000156	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000157	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000158	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000159	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000160	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000161	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000162	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000163	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000164	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000165	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000166	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000167	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000168	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000169	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000170	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000171	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000172	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000173	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000174	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000175	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000176	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000177	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000178	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000179	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000180	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
FUN_000185	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
FUN_000209	GO:0004252; GO:0005576; GO:0006508
FUN_000210	GO:0001525; GO:0002250; GO:0002474; GO:0004175; GO:0004177; GO:0005138; GO:0005151; GO:0005576; GO:0005615; GO:0005737; GO:0005783; GO:0005788; GO:0005789; GO:0005829; GO:0005886; GO:0006508; GO:0006509; GO:0007165; GO:0008217; GO:0008235; GO:0008270; GO:0009617; GO:0016020; GO:0019885; GO:0042277; GO:0043171; GO:0045088; GO:0045444; GO:0045766; GO:0070006; GO:0070062
FUN_000212	GO:0005737; GO:0005783; GO:0006508; GO:0008270; GO:0016020; GO:0042277; GO:0043171; GO:0070006
FUN_000213	GO:0003723; GO:0003968; GO:0010492; GO:0030422; GO:0031380; GO:0035194
FUN_000228	GO:0001750; GO:0003924; GO:0003925; GO:0005525; GO:0005576; GO:0005764; GO:0005770; GO:0005794; GO:0005829; GO:0006887; GO:0007596; GO:0010628; GO:0016192; GO:0016324; GO:0019003; GO:0019882; GO:0019904; GO:0030141; GO:0030318; GO:0030425; GO:0030667; GO:0031489; GO:0032400; GO:0032402; GO:0032585; GO:0033093; GO:0033162; GO:0035580; GO:0036257; GO:0042470; GO:0043316; GO:0043320; GO:0045921; GO:0048489; GO:0050766; GO:0070062; GO:0070382; GO:0071985; GO:0097278; GO:1903307; GO:1903428; GO:1903435; GO:1990182
FUN_000229	GO:0000079; GO:0005634; GO:0005675; GO:0006357; GO:0006366; GO:0007049; GO:0016538; GO:0070816; GO:0070985
FUN_000230	GO:0000175; GO:0003730; GO:0005737; GO:0015030; GO:0045930; GO:0070935
FUN_000242	GO:0005743; GO:0006601; GO:0015068
FUN_000244	GO:0005739; GO:0005743; GO:0006601; GO:0015067; GO:0015068
FUN_000247	GO:0005576
FUN_000264	GO:0000976; GO:0001657; GO:0003148; GO:0003170; GO:0003180; GO:0003183; GO:0003184; GO:0003281; GO:0003682; GO:0005634; GO:0005654; GO:0005794; GO:0005829; GO:0006955; GO:0007179; GO:0007352; GO:0008285; GO:0009653; GO:0010991; GO:0016604; GO:0030154; GO:0030279; GO:0030509; GO:0030512; GO:0030514; GO:0031589; GO:0031625; GO:0032496; GO:0032991; GO:0034616; GO:0034713; GO:0035904; GO:0042310; GO:0042802; GO:0043066; GO:0043627; GO:0045444; GO:0045668; GO:0045907; GO:0046872; GO:0060394; GO:0060395; GO:0060948; GO:0060976; GO:0060977; GO:0070410; GO:0070411; GO:0070412; GO:0070698; GO:0071144; GO:0140416; GO:1902895
FUN_000265	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0005160; GO:0005634; GO:0005667; GO:0005737; GO:0006468; GO:0007179; GO:0007182; GO:0007183; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042060; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0051098; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071141; GO:0071142; GO:0071144; GO:0097718; GO:0140297; GO:1900224
FUN_000270	GO:0005347; GO:0005739; GO:0005743; GO:0015217; GO:0015228; GO:0015866; GO:0015867; GO:0035349; GO:0043262; GO:0080121; GO:0080122
FUN_000283	GO:0004888; GO:0005231; GO:0005262; GO:0005886; GO:0005892; GO:0007165; GO:0007268; GO:0010996; GO:0022848; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0051899; GO:1904315
FUN_000286	GO:0002291; GO:0002605; GO:0002617; GO:0005102; GO:0005615; GO:0019835; GO:0043381; GO:0050687; GO:0062023
FUN_000287	GO:0002291; GO:0002605; GO:0002617; GO:0005102; GO:0005576; GO:0005577; GO:0005615; GO:0043381; GO:0050687; GO:0062023; GO:0070062; GO:1904813
FUN_000314	GO:0003964; GO:0006313
FUN_000316	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0006508; GO:0015074; GO:0046872
FUN_000320	GO:0002244; GO:0005737; GO:0008021
FUN_000323	GO:0000146; GO:0000149; GO:0001726; GO:0001750; GO:0003774; GO:0003779; GO:0005509; GO:0005516; GO:0005524; GO:0005737; GO:0005790; GO:0005794; GO:0005829; GO:0005882; GO:0006582; GO:0006887; GO:0006892; GO:0007015; GO:0007268; GO:0007601; GO:0008021; GO:0015629; GO:0016020; GO:0016192; GO:0016236; GO:0016459; GO:0016461; GO:0017075; GO:0017157; GO:0019901; GO:0030048; GO:0030050; GO:0030073; GO:0030141; GO:0030318; GO:0030424; GO:0030425; GO:0031267; GO:0031585; GO:0031982; GO:0031987; GO:0032252; GO:0032400; GO:0032402; GO:0032433; GO:0032593; GO:0032869; GO:0033602; GO:0042417; GO:0042438; GO:0042470; GO:0042476; GO:0042552; GO:0042641; GO:0042642; GO:0042759; GO:0042802; GO:0043005; GO:0043008; GO:0043025; GO:0043473; GO:0044877; GO:0048066; GO:0048306; GO:0048820; GO:0050808; GO:0050885; GO:0051015; GO:0051643; GO:0051967; GO:0055037; GO:0065003; GO:0072659; GO:0097718; GO:0098685; GO:0098794; GO:0098871; GO:0098978; GO:0099089; GO:0099566; GO:0099640; GO:0150103; GO:1900078; GO:1903078; GO:1904754; GO:1904960; GO:1990904
FUN_000327	GO:0004100; GO:0005886; GO:0009792
FUN_000329	GO:0005509; GO:0005730; GO:0005737; GO:0005813; GO:0005814; GO:0005815; GO:0007098; GO:0008017; GO:0015031; GO:0031683; GO:0032391; GO:0036064; GO:0044615; GO:0051028; GO:0051301; GO:0070390
FUN_000330	GO:0001726; GO:0005178; GO:0005200; GO:0005737; GO:0005856; GO:0005886; GO:0005916; GO:0005925; GO:0045202; GO:0051015; GO:0098609
FUN_000334	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000335	GO:0005737; GO:0005813; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686; GO:0097431; GO:1990023
FUN_000336	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000339	GO:0005737; GO:0005813; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686; GO:0097431; GO:1990023
FUN_000341	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000342	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000343	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000345	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000350	GO:0000922; GO:0003924; GO:0003925; GO:0005525; GO:0005737; GO:0005768; GO:0005771; GO:0005794; GO:0005802; GO:0005813; GO:0005814; GO:0005829; GO:0006887; GO:0007080; GO:0008017; GO:0010634; GO:0010796; GO:0010971; GO:0016020; GO:0016192; GO:0030133; GO:0030424; GO:0030953; GO:0031175; GO:0031410; GO:0031489; GO:0031982; GO:0032154; GO:0032367; GO:0032402; GO:0032465; GO:0032991; GO:0034394; GO:0036258; GO:0045335; GO:0045773; GO:0048169; GO:0048471; GO:0051223; GO:0051650; GO:0055037; GO:0055038; GO:0060627; GO:0070062; GO:0072594; GO:0072659; GO:0090150; GO:0090307; GO:0098685; GO:0098837; GO:0098887; GO:0098978; GO:0099003; GO:0150093; GO:1903078; GO:1990182
FUN_000356	GO:0000132; GO:0000166; GO:0001965; GO:0005092; GO:0005737; GO:0005813; GO:0005829; GO:0005938; GO:0007052; GO:0007186; GO:0008022; GO:0016328; GO:0019904; GO:0031291; GO:0032991; GO:0042802; GO:0043621; GO:0051301; GO:0051661; GO:0060236; GO:0070840; GO:0097431; GO:0097575; GO:0099738; GO:1904778; GO:1905832
FUN_000362	GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301
FUN_000370	GO:0003924; GO:0005525; GO:0005794; GO:0005813; GO:0005814; GO:0005886; GO:0005929; GO:0006914; GO:0007030; GO:0007409; GO:0010506; GO:0015031; GO:0019003; GO:0030496; GO:0030670; GO:0031267; GO:0032869; GO:0036064; GO:0045335; GO:0055038; GO:0060271; GO:0061512; GO:0072659
FUN_000374	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0008270
FUN_000378	GO:0004325; GO:0005743; GO:0006783; GO:0046872; GO:0051537
FUN_000382	GO:0004252; GO:0005615; GO:0006508; GO:0043542; GO:0046872
FUN_000393	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:1990904
FUN_000396	GO:0005634; GO:0005829; GO:0008430; GO:0015031; GO:0016020; GO:0018549; GO:0050873
FUN_000397	GO:0004672; GO:0004715; GO:0005737; GO:0005925; GO:0006468; GO:0015629; GO:0016477; GO:0034446; GO:0042802; GO:0046777; GO:0048041; GO:0051893
FUN_000401	GO:0000139; GO:0008376; GO:0016020; GO:0030166; GO:0030206; GO:0032580; GO:0046872; GO:0047237; GO:0047238; GO:0050650; GO:0050651; GO:0050652; GO:0050653
FUN_000418	GO:0004497; GO:0005506; GO:0005789; GO:0008202; GO:0008395; GO:0020037; GO:0042445; GO:0042448; GO:0050649; GO:0070330; GO:0070989; GO:1901615
FUN_000419	GO:0003723; GO:0003968; GO:0010492; GO:0030422; GO:0031380; GO:0035194
FUN_000421	NA
FUN_000423	NA
FUN_000424	NA
FUN_000425	NA
FUN_000428	NA
FUN_000429	GO:0001945; GO:0003017; GO:0003682; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0007155; GO:0008544; GO:0010467; GO:0016020; GO:0031012; GO:0036303; GO:0048014; GO:0120193
FUN_000432	NA
FUN_000440	GO:0003989; GO:0005524; GO:0005634; GO:0005739; GO:0006084; GO:0006633; GO:0009374; GO:0009410; GO:0010629; GO:0010884; GO:0010906; GO:0014070; GO:0031667; GO:0031999; GO:0042802; GO:0043086; GO:0046322; GO:0046872; GO:0050995; GO:0051289; GO:0060421; GO:0097009; GO:2001295
FUN_000478	GO:0004890; GO:0005230; GO:0005231; GO:0005254; GO:0005886; GO:0006811; GO:0007165; GO:0007268; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:1902476; GO:1902711; GO:1904315
FUN_000480	GO:0004888; GO:0005231; GO:0005886; GO:0006811; GO:0007165; GO:0007218; GO:0007268; GO:0007417; GO:0008270; GO:0016594; GO:0016933; GO:0016934; GO:0030425; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0043200; GO:0043204; GO:0045202; GO:0045211; GO:0045664; GO:0050877; GO:0060012; GO:0071230; GO:0071294; GO:0071361; GO:1902476; GO:1904315
FUN_000482	GO:0004983; GO:0005886
FUN_000488	GO:0003723; GO:0003735; GO:0006412; GO:0015934
FUN_000489	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0015074; GO:0046872
FUN_000491	GO:0004126; GO:0008270
FUN_000493	GO:0004126; GO:0005634; GO:0005737; GO:0008270; GO:0009972; GO:0042803; GO:0061676; GO:0070383
FUN_000494	GO:0004126; GO:0005634; GO:0005737; GO:0008270; GO:0042803; GO:0061676; GO:0070383
FUN_000496	GO:0004126; GO:0005634; GO:0005737; GO:0008270; GO:0042803; GO:0061676; GO:0070383
FUN_000497	GO:0004126; GO:0005634; GO:0005737; GO:0008270; GO:0042803; GO:0061676; GO:0070383
FUN_000498	GO:0001228; GO:0003677; GO:0005634; GO:0061400; GO:0071277
FUN_000499	GO:0001556; GO:0004114; GO:0004115; GO:0004119; GO:0005829; GO:0007165; GO:0009410; GO:0016020; GO:0019933; GO:0019934; GO:0040020; GO:0043066; GO:0043116; GO:0043117; GO:0043951; GO:0046872; GO:0047555; GO:0048599; GO:0060282; GO:0060700; GO:0071321; GO:0071560; GO:0097190; GO:0099130
FUN_000502	GO:0004683; GO:0005516; GO:0005524; GO:0005737; GO:0006468; GO:0010613; GO:0033017; GO:0042383; GO:0043005; GO:0060341; GO:0106310
FUN_000518	GO:0003007; GO:0004096; GO:0005737; GO:0005739; GO:0005777; GO:0007568; GO:0008340; GO:0020037; GO:0034976; GO:0035206; GO:0036335; GO:0038001; GO:0042542; GO:0042744; GO:0046872; GO:0048167; GO:0072593
FUN_000521	GO:0005886; GO:0006865; GO:0022857
FUN_000522	GO:0004674; GO:0005261; GO:0005262; GO:0005524; GO:0005886; GO:0006468; GO:0009636; GO:0016324; GO:0031526; GO:0046872; GO:0051262; GO:0070588; GO:0098655; GO:0106310
FUN_000529	GO:0003007; GO:0004096; GO:0005737; GO:0005739; GO:0005777; GO:0007568; GO:0008340; GO:0020037; GO:0034976; GO:0035206; GO:0036335; GO:0038001; GO:0042542; GO:0042744; GO:0046872; GO:0048167; GO:0072593
FUN_000535	GO:0000785; GO:0003677; GO:0005634; GO:0005737; GO:0006281; GO:0006306; GO:0006974; GO:0007095; GO:0008263; GO:0008630; GO:0009314; GO:0016607
FUN_000537	GO:0000030; GO:0004169; GO:0005783; GO:0016020; GO:0035269
FUN_000542	GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0001525; GO:0001570; GO:0001656; GO:0001706; GO:0001714; GO:0001828; GO:0001947; GO:0003142; GO:0003143; GO:0003151; GO:0003308; GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0006355; GO:0006357; GO:0007283; GO:0007369; GO:0007492; GO:0007493; GO:0007507; GO:0008013; GO:0009653; GO:0010467; GO:0010628; GO:0016055; GO:0021903; GO:0023019; GO:0030154; GO:0030178; GO:0030308; GO:0031648; GO:0035050; GO:0035987; GO:0042074; GO:0043565; GO:0045595; GO:0045732; GO:0045893; GO:0045944; GO:0045995; GO:0048568; GO:0048617; GO:0048863; GO:0048866; GO:0050821; GO:0060214; GO:0060913; GO:0060956; GO:0061009; GO:0061010; GO:0061031; GO:0061629; GO:0072091; GO:0072189; GO:0090090; GO:1903226; GO:1990830; GO:2000035; GO:2000043; GO:2000738
FUN_000545	GO:0004139; GO:0005576; GO:0005654; GO:0005829; GO:0006098; GO:0009264; GO:0016052; GO:0034774; GO:0046121; GO:0046386; GO:1904813
FUN_000547	GO:0005765; GO:0005774; GO:0015184; GO:0015293; GO:0015811
FUN_000549	GO:0000209; GO:0001934; GO:0005634; GO:0005829; GO:0005886; GO:0006915; GO:0007032; GO:0007040; GO:0008333; GO:0015031; GO:0032092; GO:0045022; GO:0061631; GO:0070695; GO:1905719
FUN_000552	GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602
FUN_000553	GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602
FUN_000562	GO:0005524; GO:0005730; GO:0005829; GO:0010628; GO:0032088
FUN_000587	GO:0005886; GO:0006897; GO:0020016
FUN_000588	GO:0003677; GO:0005634; GO:0046872
FUN_000600	GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223
