qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Cluster_2839.mature::Pocillopora_meandrina_HIv1___Sc0000008:3619363-3619384(-)	Cluster_1951.mature::ntLink_6:13351801-13351822(-)	100	8	0	0	15	22	2	9	0.12	16.4
Cluster_2859.mature::Pocillopora_meandrina_HIv1___Sc0000008:5387760-5387781(-)	Cluster_10093.mature::ptg000016l:11751407-11751428(-)	100	8	0	0	2	9	6	13	0.12	16.4
Cluster_2973.mature::Pocillopora_meandrina_HIv1___Sc0000009:3894922-3894943(-)	Cluster_15851.mature::ptg000025l:10501052-10501073(+)	100	10	0	0	10	19	17	8	0.008	20.3
Cluster_3392.mature::Pocillopora_meandrina_HIv1___Sc0000010:8012938-8012959(+)	Cluster_5900.mature::ptg000009l:616601-616622(-)	100	9	0	0	10	18	6	14	0.031	18.3
Cluster_3661.mature::Pocillopora_meandrina_HIv1___Sc0000012:6455205-6455226(+)	Cluster_10207.mature::ptg000017l:6375014-6375034(-)	100	7	0	0	2	8	12	6	0.48	14.4
Cluster_4039.mature::Pocillopora_meandrina_HIv1___Sc0000014:2366060-2366081(-)	Cluster_15316.mature::ptg000024l:4086254-4086275(+)	100	22	0	0	1	22	1	22	5.36e-10	44.1
Cluster_4040.mature::Pocillopora_meandrina_HIv1___Sc0000014:2594792-2594813(+)	Cluster_5900.mature::ptg000009l:616601-616622(-)	100	8	0	0	6	13	3	10	0.12	16.4
Cluster_4118.mature::Pocillopora_meandrina_HIv1___Sc0000014:9365481-9365502(-)	Cluster_19193.mature::ptg000039l:35786-35807(-)	100	7	0	0	10	16	19	13	0.48	14.4
Cluster_4435.mature::Pocillopora_meandrina_HIv1___Sc0000016:7549579-7549600(+)	Cluster_10419.mature::ptg000018l:2286829-2286850(+)	100	8	0	0	10	17	19	12	0.12	16.4
Cluster_4437.mature::Pocillopora_meandrina_HIv1___Sc0000016:7550615-7550635(+)	Cluster_15340.mature::ptg000024l:5256476-5256497(-)	100	6	0	0	5	10	12	17	1.8	12.4
Cluster_4438.mature::Pocillopora_meandrina_HIv1___Sc0000016:7553304-7553325(+)	Cluster_15340.mature::ptg000024l:5256476-5256497(-)	100	7	0	0	6	12	12	18	0.48	14.4
Cluster_4439.mature::Pocillopora_meandrina_HIv1___Sc0000016:7555692-7555713(+)	Cluster_15851.mature::ptg000025l:10501052-10501073(+)	90	10	1	0	13	22	10	1	1.9	12.4
Cluster_4572.mature::Pocillopora_meandrina_HIv1___Sc0000017:5050959-5050980(-)	Cluster_18723.mature::ptg000035l:4808391-4808412(+)	100	6	0	0	2	7	4	9	1.9	12.4
Cluster_4754.mature::Pocillopora_meandrina_HIv1___Sc0000018:4564906-4564927(+)	Cluster_1826.mature::ntLink_6:4847465-4847486(-)	100	8	0	0	8	15	22	15	0.12	16.4
Cluster_4823.mature::Pocillopora_meandrina_HIv1___Sc0000018:6855521-6855542(+)	Cluster_2463.mature::ptg000001l:5548893-5548914(-)	100	8	0	0	15	22	10	3	0.12	16.4
Cluster_5253.mature::Pocillopora_meandrina_HIv1___Sc0000021:4351839-4351860(+)	Cluster_5981.mature::ptg000009l:4940537-4940559(-)	100	7	0	0	13	19	1	7	0.48	14.4
Cluster_5612.mature::Pocillopora_meandrina_HIv1___Sc0000024:4808688-4808708(+)	Cluster_2859.mature::ptg000001l:20063094-20063116(+)	100	6	0	0	4	9	7	12	1.8	12.4
Cluster_5740.mature::Pocillopora_meandrina_HIv1___Sc0000026:1154772-1154793(-)	Cluster_10057.mature::ptg000016l:8599884-8599905(-)	100	8	0	0	7	14	18	11	0.12	16.4
Cluster_6382.mature::Pocillopora_meandrina_HIv1___Sc0000035:1989842-1989863(+)	Cluster_18772.mature::ptg000035l:8367748-8367770(-)	100	7	0	0	9	15	12	18	0.48	14.4
Cluster_1826.mature::ntLink_6:4847465-4847486(-)	Cluster_16498.mature::Porites_evermani_scaffold_5010:12392-12413(+)	90.909	11	1	0	12	22	12	22	0.54	14.4
Cluster_1832.mature::ntLink_6:5157559-5157579(+)	Cluster_8888.mature::Porites_evermani_scaffold_910:139353-139373(+)	100	21	0	0	1	21	1	21	2.24e-09	42.1
Cluster_1862.mature::ntLink_6:7263537-7263560(-)	Cluster_8634.mature::Porites_evermani_scaffold_866:22854-22875(-)	100	7	0	0	1	7	3	9	0.61	14.4
Cluster_1951.mature::ntLink_6:13351801-13351822(-)	Cluster_10061.mature::Porites_evermani_scaffold_1159:7428-7449(+)	100	9	0	0	11	19	11	19	0.035	18.3
Cluster_2463.mature::ptg000001l:5548893-5548914(-)	Cluster_7658.mature::Porites_evermani_scaffold_730:82423-82444(-)	100	7	0	0	8	14	8	14	0.54	14.4
Cluster_2859.mature::ptg000001l:20063094-20063116(+)	Cluster_7053.mature::Porites_evermani_scaffold_613:156505-156526(+)	100	7	0	0	14	20	14	20	0.58	14.4
Cluster_3250.mature::ptg000002l:7337560-7337581(+)	Cluster_6255.mature::Porites_evermani_scaffold_502:58997-59018(-)	100	7	0	0	2	8	4	10	0.54	14.4
Cluster_3366.mature::ptg000002l:14046285-14046308(+)	Cluster_6255.mature::Porites_evermani_scaffold_502:58997-59018(-)	100	7	0	0	10	16	11	5	0.61	14.4
Cluster_3367.mature::ptg000002l:14046591-14046614(+)	Cluster_13502.mature::Porites_evermani_scaffold_2259:40244-40265(+)	100	7	0	0	18	24	13	19	0.61	14.4
Cluster_3437.mature::ptg000004l:1859911-1859933(-)	Cluster_6255.mature::Porites_evermani_scaffold_502:58997-59018(-)	100	22	0	0	1	22	1	22	6.43e-10	44.1
Cluster_4220.mature::ptg000007l:915927-915948(-)	Cluster_1140.mature::Porites_evermani_scaffold_47:475994-476015(-)	100	9	0	0	2	10	13	21	0.035	18.3
Cluster_4254.mature::ptg000007l:3377335-3377356(+)	Cluster_4115.mature::Porites_evermani_scaffold_257:110361-110382(-)	100	9	0	0	7	15	11	19	0.035	18.3
Cluster_5012.mature::ptg000008l:10754789-10754809(-)	Cluster_6914.mature::Porites_evermani_scaffold_594:158230-158250(+)	100	21	0	0	1	21	1	21	2.24e-09	42.1
Cluster_5899.mature::ptg000009l:616336-616357(-)	Cluster_6906.mature::Porites_evermani_scaffold_590:199855-199876(+)	100	6	0	0	5	10	16	11	2.1	12.4
Cluster_5900.mature::ptg000009l:616601-616622(-)	Cluster_10965.mature::Porites_evermani_scaffold_1429:47285-47306(-)	100	6	0	0	15	20	17	12	2.1	12.4
Cluster_5981.mature::ptg000009l:4940537-4940559(-)	Cluster_10934.mature::Porites_evermani_scaffold_1415:72071-72092(+)	100	8	0	0	15	22	11	4	0.15	16.4
Cluster_10051.mature::ptg000016l:7795530-7795551(+)	Cluster_16498.mature::Porites_evermani_scaffold_5010:12392-12413(+)	100	6	0	0	12	17	4	9	2.1	12.4
Cluster_10057.mature::ptg000016l:8599884-8599905(-)	Cluster_7053.mature::Porites_evermani_scaffold_613:156505-156526(+)	100	7	0	0	6	12	20	14	0.54	14.4
Cluster_10093.mature::ptg000016l:11751407-11751428(-)	Cluster_10965.mature::Porites_evermani_scaffold_1429:47285-47306(-)	100	7	0	0	9	15	14	20	0.54	14.4
Cluster_10207.mature::ptg000017l:6375014-6375034(-)	Cluster_2882.mature::Porites_evermani_scaffold_148:94583-94604(-)	100	7	0	0	15	21	18	12	0.51	14.4
Cluster_10228.mature::ptg000017l:7471168-7471190(+)	Cluster_2882.mature::Porites_evermani_scaffold_148:94583-94604(-)	100	7	0	0	15	21	17	11	0.58	14.4
Cluster_10419.mature::ptg000018l:2286829-2286850(+)	Cluster_15726.mature::Porites_evermani_scaffold_3707:36124-36145(-)	100	7	0	0	11	17	7	1	0.54	14.4
Cluster_14402.mature::ptg000023l:18708925-18708946(+)	Cluster_5882.mature::Porites_evermani_scaffold_461:215508-215529(+)	100	8	0	0	7	14	5	12	0.14	16.4
Cluster_14768.mature::ptg000023l:37965298-37965318(+)	Cluster_9149.mature::Porites_evermani_scaffold_984:51883-51904(-)	100	6	0	0	8	13	7	12	2	12.4
Cluster_15316.mature::ptg000024l:4086254-4086275(+)	Cluster_14999.mature::Porites_evermani_scaffold_3072:29480-29501(+)	100	22	0	0	1	22	1	22	6.06e-10	44.1
Cluster_15340.mature::ptg000024l:5256476-5256497(-)	Cluster_14500.mature::Porites_evermani_scaffold_2738:56885-56906(+)	100	7	0	0	2	8	21	15	0.54	14.4
Cluster_15671.mature::ptg000025l:1981742-1981763(+)	Cluster_2787.mature::Porites_evermani_scaffold_138:127966-127987(+)	100	7	0	0	15	21	18	12	0.54	14.4
Cluster_15775.mature::ptg000025l:7472581-7472603(-)	Cluster_6906.mature::Porites_evermani_scaffold_590:199855-199876(+)	100	6	0	0	16	21	13	18	2.3	12.4
Cluster_15851.mature::ptg000025l:10501052-10501073(+)	Cluster_10061.mature::Porites_evermani_scaffold_1159:7428-7449(+)	100	7	0	0	11	17	12	6	0.54	14.4
Cluster_15854.mature::ptg000025l:10668923-10668945(-)	Cluster_8888.mature::Porites_evermani_scaffold_910:139353-139373(+)	100	6	0	0	16	21	9	4	2.3	12.4
Cluster_15928.mature::ptg000025l:15156437-15156458(+)	Cluster_2787.mature::Porites_evermani_scaffold_138:127966-127987(+)	100	7	0	0	14	20	18	12	0.54	14.4
Cluster_16409.mature::ptg000026l:8745562-8745583(-)	Cluster_16498.mature::Porites_evermani_scaffold_5010:12392-12413(+)	100	7	0	0	10	16	10	16	0.54	14.4
Cluster_17776.mature::ptg000031l:5461327-5461348(-)	Cluster_6905.mature::Porites_evermani_scaffold_590:199392-199413(+)	100	7	0	0	1	7	4	10	0.54	14.4
