source,target
ptuh-mir-novel-12,gene-Pocillopora_meandrina_HIv1___TS.g18078.t3
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___RNAseq.g18023.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___RNAseq.g7261.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g25846.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g26345.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g27756.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___TS.g25963.t1
ptuh-mir-novel-14,gene-Pocillopora_meandrina_HIv1___TS.g25933.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g23007.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g11119.t1
ptuh-mir-novel-10,gene-Pocillopora_meandrina_HIv1___RNAseq.g21081.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___RNAseq.g27468.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g27793.t1
ptuh-mir-novel-20,gene-Pocillopora_meandrina_HIv1___RNAseq.g10367.t1
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___RNAseq.g9583.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a
ptuh-mir-novel-23,gene-Pocillopora_meandrina_HIv1___RNAseq.g11546.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g16419.t1
ptuh-mir-100,gene-Pocillopora_meandrina_HIv1___RNAseq.g15378.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g15470.t2
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g807.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g20080.t1
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___RNAseq.g26469.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g21739.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g11181.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g16602.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g293.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g293.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g20424.t1
ptuh-mir-novel-22,gene-Pocillopora_meandrina_HIv1___RNAseq.g15523.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g3258.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g6185.t1
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___RNAseq.g26465.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g27884.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g21320.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g1987.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g1040.t1
ptuh-mir-2025,gene-Pocillopora_meandrina_HIv1___TS.g2795.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g13783.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g22875.t1
ptuh-mir-novel-4,gene-Pocillopora_meandrina_HIv1___RNAseq.8567_t
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___RNAseq.g4243.t1
ptuh-mir-novel-32,gene-Pocillopora_meandrina_HIv1___RNAseq.g11161.t1
ptuh-mir-novel-26,gene-Pocillopora_meandrina_HIv1___RNAseq.g2284.t1
ptuh-mir-novel-25,gene-Pocillopora_meandrina_HIv1___RNAseq.g16451.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g7132.t1
ptuh-mir-novel-10,gene-Pocillopora_meandrina_HIv1___RNAseq.g514.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g14976.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g6117.t1
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___RNAseq.g8464.t2
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g23266.t1
ptuh-mir-novel-18,gene-Pocillopora_meandrina_HIv1___RNAseq.g21229.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g18163.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___RNAseq.g13279.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g17978.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.9756_t
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g23639.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g1033.t1
ptuh-mir-novel-33,gene-Pocillopora_meandrina_HIv1___RNAseq.g26196.t1
ptuh-mir-2023,gene-Pocillopora_meandrina_HIv1___RNAseq.g26385.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g12113.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g24301.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g12193.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g9971.t1
ptuh-mir-novel-3,gene-Pocillopora_meandrina_HIv1___RNAseq.g28314.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g8061.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g9784.t1
ptuh-mir-novel-32,gene-Pocillopora_meandrina_HIv1___RNAseq.g23603.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g8655.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g21350.t1
ptuh-mir-novel-12,gene-Pocillopora_meandrina_HIv1___RNAseq.g29280.t1
ptuh-mir-novel-9,gene-Pocillopora_meandrina_HIv1___RNAseq.g24014.t1
ptuh-mir-novel-25,gene-Pocillopora_meandrina_HIv1___TS.g177.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___TS.g7248.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g490.t1
ptuh-mir-100,gene-Pocillopora_meandrina_HIv1___RNAseq.g26433.t2
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g27393.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___TS.g19078.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g14695.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g11538.t1
ptuh-mir-novel-9,gene-Pocillopora_meandrina_HIv1___RNAseq.g13302.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g13379.t1
ptuh-mir-100,gene-Pocillopora_meandrina_HIv1___RNAseq.g3681.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g15954.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g26877.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g12008.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g29818.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___RNAseq.g30359.t1
ptuh-mir-novel-24,gene-Pocillopora_meandrina_HIv1___RNAseq.g12090.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g5747.t1
ptuh-mir-novel-14,gene-Pocillopora_meandrina_HIv1___TS.g27445.t1
ptuh-mir-novel-24,gene-Pocillopora_meandrina_HIv1___RNAseq.g17412.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g22817.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g19720.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___TS.g19282.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g20993.t2
ptuh-mir-novel-14,gene-Pocillopora_meandrina_HIv1___RNAseq.g11445.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g28515.t2b
ptuh-mir-novel-12,gene-Pocillopora_meandrina_HIv1___RNAseq.g297.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g5338.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g17919.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g2373.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g18093.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g14438.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g19428.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g14394.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___TS.g20181.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g12751.t1
ptuh-mir-novel-33,gene-Pocillopora_meandrina_HIv1___RNAseq.g22695.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g22032.t2
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g21904.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g5.t1
ptuh-mir-novel-13,gene-Pocillopora_meandrina_HIv1___RNAseq.g9830.t1
ptuh-mir-novel-33,gene-Pocillopora_meandrina_HIv1___RNAseq.g28356.t1
ptuh-mir-novel-22,gene-Pocillopora_meandrina_HIv1___RNAseq.g4310.t1
ptuh-mir-novel-21,gene-Pocillopora_meandrina_HIv1___TS.g12426.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g17631.t2
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g18289.t1
ptuh-mir-novel-4,gene-Pocillopora_meandrina_HIv1___TS.g25423.t1
ptuh-mir-novel-22,gene-Pocillopora_meandrina_HIv1___RNAseq.g26224.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g808.t1
ptuh-mir-novel-33,gene-Pocillopora_meandrina_HIv1___RNAseq.g10673.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g4165.t1
ptuh-mir-novel-17,gene-Pocillopora_meandrina_HIv1___RNAseq.g22070.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___RNAseq.g4778.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g6162.t1a
ptuh-mir-novel-4,gene-Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g13574.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___RNAseq.g2495.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g21284.t1
ptuh-mir-novel-19,gene-Pocillopora_meandrina_HIv1___RNAseq.g25934.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g9824.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g8619.t1
ptuh-mir-novel-20,gene-Pocillopora_meandrina_HIv1___RNAseq.g19866.t1
ptuh-mir-novel-31,gene-Pocillopora_meandrina_HIv1___TS.g23557.t1
ptuh-mir-novel-28,gene-Pocillopora_meandrina_HIv1___TS.g26182.t1
ptuh-mir-novel-22,gene-Pocillopora_meandrina_HIv1___RNAseq.g26785.t1
ptuh-mir-novel-11; ptuh-mir-novel-15,gene-Pocillopora_meandrina_HIv1___RNAseq.g5374.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g20311.t2
ptuh-mir-novel-14,gene-Pocillopora_meandrina_HIv1___RNAseq.g7708.t1
ptuh-mir-2030,gene-Pocillopora_meandrina_HIv1___RNAseq.g17683.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___RNAseq.g24443.t1
ptuh-mir-novel-25,gene-Pocillopora_meandrina_HIv1___RNAseq.g14189.t1
ptuh-mir-novel-16,gene-Pocillopora_meandrina_HIv1___TS.g20446.t1
ptuh-mir-2023,gene-Pocillopora_meandrina_HIv1___RNAseq.g23519.t1a
ptuh-mir-novel-3,gene-Pocillopora_meandrina_HIv1___RNAseq.g25683.t1
ptuh-mir-novel-6,gene-Pocillopora_meandrina_HIv1___TS.g416.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g22365.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g21104.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g22634.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g21142.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g28963.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.3177_t
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g29288.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g19972.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g29722.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g18923.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g18965.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g6552.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g1655.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g1697.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g6750.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g505.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g6772.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g16130.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g16481.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g15519.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.8254_t
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g24763.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g23824.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g24080.t2
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g24083.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g23314.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27742.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27760.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27772.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g15117.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27818.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27996.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g26982.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g27117.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g5062.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.11406_t
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g5860.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g23876.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g2576.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g12993.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g13548.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g2591.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g8574.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g8585.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g20707.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g9701.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g9702.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g10033.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g3779.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g26196.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g4267.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g21810.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g4434.t2
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g29485.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g28506.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g28745.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___TS.g5522.t2
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g849.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g30274.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g539.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g17125.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g3896.t1
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.29409_t
ptuh-mir-novel-5,gene-Pocillopora_meandrina_HIv1___RNAseq.g18.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g22294.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g27545.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g19748.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g20083.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g7336.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g6566.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g11527.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g16546.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g15535.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g24591.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g22950.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g15934.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g23590.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g4177.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g13326.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g8413.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g3707.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g26156.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g4205.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g11480.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g6717.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g226.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g3050.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g17551.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g17333.t1a
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g17458.t2
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g17826.t3
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g14224.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g12666.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g20737.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___TS.g25657.t1
ptuh-mir-novel-7,gene-Pocillopora_meandrina_HIv1___RNAseq.g12583.t1
ptuh-mir-novel-2,gene-Pocillopora_meandrina_HIv1___RNAseq.g2384.t1
ptuh-mir-novel-2,gene-Pocillopora_meandrina_HIv1___RNAseq.g9314.t1
ptuh-mir-novel-2,gene-Pocillopora_meandrina_HIv1___TS.g3046.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___TS.g25934.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g15187.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g15759.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g2156.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g2488.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g14376.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g3549.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g29244.t2
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g397.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g17525.t1
ptuh-mir-2036,gene-Pocillopora_meandrina_HIv1___RNAseq.g1636.t1
ptuh-mir-novel-8,gene-Pocillopora_meandrina_HIv1___RNAseq.g15769.t1
ptuh-mir-novel-8,gene-Pocillopora_meandrina_HIv1___RNAseq.g13243.t1
ptuh-mir-novel-8,gene-Pocillopora_meandrina_HIv1___RNAseq.g11564.t1
ptuh-mir-novel-8,gene-Pocillopora_meandrina_HIv1___RNAseq.g28744.t1
ptuh-mir-novel-8,gene-Pocillopora_meandrina_HIv1___RNAseq.g3117.t1
