"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"19","Cluster_5981","FUN_012516",0.91318960314172,0.0303007902784342,0.922979388371587,151,-24.1,"2 22","218 245",25,"64.00%","72.00%"
"20","Cluster_4220","FUN_041670",-0.963033219379839,0.0084845415358989,0.696512129680701,143,-20.77,"2 21","240 267",25,"60.00%","64.00%"
"21","Cluster_3366","FUN_023803",0.881114119723408,0.0483202262003849,0.96546924320845,160,-21.6,"2 23","352 379",25,"68.00%","76.00%"
"22","Cluster_15316","FUN_029420",0.904239489935055,0.0350570127190687,0.955405536641937,159,-24.18,"2 21","168 194",24,"62.50%","79.17%"
"23","Cluster_14402","FUN_006425",0.905658990907276,0.0342879456764622,0.950618253871956,167,-26.62,"2 21","325 349",22,"77.27%","77.27%"
"24","Cluster_15340","FUN_034331",0.94735279088149,0.0143859052783021,0.791406447288987,155,-22.83,"2 21","750 772",20,"65.00%","80.00%"
"25","Cluster_18711","FUN_011647",-0.934483591954529,0.019931698625076,0.870542031315368,169,-21.12,"2 19","761 783",18,"83.33%","88.89%"
"26","Cluster_15340","FUN_031699",-0.933747396339595,0.0202663060621374,0.874851497109032,153,-20.68,"2 21","333 352",19,"68.42%","78.95%"
"27","Cluster_10057","FUN_001214",0.934801298442879,0.0197878570789982,0.86874670502882,162,-23.22,"2 20","1 23",19,"78.95%","78.95%"
"28","Cluster_5012","FUN_035855",0.9658101093013,0.00754988858923516,0.677079544727381,155,-20.3,"2 20","752 770",18,"77.78%","83.33%"
"29","Cluster_3250","FUN_040184",0.88328449467037,0.0470190087487873,0.96546924320845,170,-22.32,"2 19","70 91",17,"82.35%","88.24%"
"30","Cluster_5981","FUN_032443",0.898911920913488,0.0379915018463866,0.96546924320845,150,-20.62,"2 21","834 861",24,"62.50%","75.00%"
"31","Cluster_1862","FUN_032449",0.995693532787135,0.00033902742814575,0.393371538720933,161,-20.24,"2 21","213 240",23,"78.26%","78.26%"
"32","Cluster_3250","FUN_000258",0.977388854104582,0.00406760929145233,0.545343267336266,167,-21.54,"2 21","785 807",20,"75.00%","85.00%"
"33","Cluster_5981","FUN_010495",0.878919133374315,0.0496475644454636,0.96546924320845,147,-21.99,"2 21","197 220",20,"65.00%","70.00%"
"34","Cluster_1862","FUN_037383",0.918909104941592,0.0273802661228337,0.914225011702335,152,-20.44,"2 23","383 409",24,"62.50%","75.00%"
"35","Cluster_14768","FUN_000662",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%"
"36","Cluster_5981","FUN_030107",0.965113242711184,0.00778106354057353,0.677079544727381,166,-24.76,"2 16","252 275",15,"93.33%","93.33%"
"37","Cluster_18728","FUN_028681",-0.921599313631769,0.026039899045672,0.914225011702335,146,-20.91,"2 15","136 157",13,"76.92%","76.92%"
"38","Cluster_5981","FUN_041289",0.965113242711184,0.00778106354057353,0.677079544727381,156,-21.49,"2 22","196 219",21,"61.90%","80.95%"
"39","Cluster_3367","FUN_014908",-0.923959542719925,0.0248819460130936,0.912822926973849,160,-21.83,"2 20","507 528",18,"72.22%","88.89%"
"40","Cluster_5981","FUN_043213",-0.939467449175775,0.0177147162505936,0.847898695599974,162,-24.97,"2 22","364 384",20,"75.00%","80.00%"
"41","Cluster_18728","FUN_029594",-0.894881290301398,0.0402610204271611,0.96546924320845,160,-20.78,"2 21","290 311",19,"68.42%","78.95%"
"42","Cluster_3367","FUN_040457",-0.91834045230983,0.027666353073052,0.914225011702335,155,-22.07,"2 23","639 666",25,"64.00%","80.00%"
"43","Cluster_14768","FUN_032115",-0.946006984217175,0.01493796053591,0.804401617334221,162,-24,"2 20","529 553",22,"72.73%","77.27%"
"44","Cluster_1862","FUN_043901",0.939864170893346,0.0175419173063509,0.847898695599974,177,-23.2,"2 23","577 601",22,"72.73%","90.91%"
"45","Cluster_18728","FUN_029602",-0.892392843466376,0.0416829538043013,0.96546924320845,156,-20.78,"2 21","281 302",19,"68.42%","73.68%"
"46","Cluster_5981","FUN_016608",0.994627225901417,0.000472369028023397,0.467545540101175,160,-20.92,"2 21","477 497",19,"78.95%","84.21%"
"47","Cluster_15854","FUN_013364",-0.971490463332523,0.00575377810454247,0.627193380257548,168,-20.23,"2 22","888 911",21,"71.43%","85.71%"
"48","Cluster_5981","FUN_026122",0.965113242711184,0.00778106354057353,0.677079544727381,168,-23.28,"2 22","654 678",22,"63.64%","90.91%"
"49","Cluster_3366","FUN_013080",0.888310868864341,0.0440491206471639,0.96546924320845,153,-21.45,"2 19","466 490",18,"61.11%","88.89%"
"50","Cluster_5981","FUN_024529",-0.973898923067543,0.00504212756126728,0.595990930925003,152,-22.75,"2 20","563 590",23,"69.57%","78.26%"
"51","Cluster_3366","FUN_020765",0.888310868864341,0.0440491206471639,0.96546924320845,169,-21.17,"2 21","473 496",20,"80.00%","90.00%"
"52","Cluster_1862","FUN_003478",-0.987158026110664,0.00174358522915539,0.545343267336266,173,-20.12,"2 23","798 823",23,"69.57%","86.96%"
"53","Cluster_18728","FUN_013292",-0.958719638413883,0.0100055624471572,0.717681557663573,170,-25.71,"2 21","299 319",19,"78.95%","89.47%"
"54","Cluster_10051","FUN_041625",0.979681354691911,0.00346615436725054,0.545343267336266,164,-22.47,"2 21","954 975",19,"68.42%","84.21%"
"55","Cluster_3366","FUN_005016",0.888310868864341,0.0440491206471639,0.96546924320845,170,-25.67,"2 19","29 52",17,"76.47%","94.12%"
"56","Cluster_16409","FUN_035124",0.897831046991203,0.0385959833026285,0.96546924320845,154,-21.27,"2 20","812 839",24,"62.50%","75.00%"
"57","Cluster_5981","FUN_038089",0.881461368085258,0.0481112842362314,0.96546924320845,145,-21.45,"2 10","54 76",8,"100.00%","100.00%"
"58","Cluster_16409","FUN_001557",0.918650189158978,0.0275104069554112,0.914225011702335,148,-20.39,"2 20","848 874",23,"65.22%","78.26%"
"59","Cluster_3250","FUN_006047",0.977388854104582,0.00406760929145233,0.545343267336266,175,-25.52,"2 21","103 125",20,"80.00%","90.00%"
"60","Cluster_1862","FUN_037230",0.938426896439605,0.0181705523275463,0.847898695599974,173,-20.07,"2 23","814 838",22,"72.73%","86.36%"
"61","Cluster_18728","FUN_001066",-0.928799836792751,0.0225611843017344,0.902348283694733,156,-24.73,"2 21","518 539",19,"57.89%","84.21%"
"62","Cluster_5981","FUN_017959",0.899732687616379,0.0375345236466155,0.96546924320845,160,-21.39,"2 22","603 628",23,"65.22%","78.26%"
"63","Cluster_14402","FUN_022526",0.922321225378356,0.0256839204452313,0.914225011702335,153,-20.09,"2 20","655 678",20,"70.00%","80.00%"
"64","Cluster_3250","FUN_023956",0.942012341638402,0.0166158734514718,0.837006715321312,157,-23.35,"2 21","21 42",20,"70.00%","85.00%"
"65","Cluster_15340","FUN_043619",0.944683231412696,0.0154875356468844,0.816817349985554,153,-22.28,"2 15","705 728",15,"80.00%","86.67%"
"66","Cluster_19193","FUN_043612",0.911230385834477,0.0313228601641537,0.927609281109268,178,-32.5,"2 21","463 483",19,"89.47%","89.47%"
"67","Cluster_16409","FUN_004030",-0.960360362974489,0.00941735834402992,0.717681557663573,168,-21.04,"2 17","27 48",15,"86.67%","93.33%"
"68","Cluster_19193","FUN_037708",0.97837155759896,0.00380590308574924,0.545343267336266,159,-21.45,"2 21","392 415",21,"71.43%","76.19%"
"69","Cluster_3366","FUN_040868",0.888310868864341,0.0440491206471639,0.96546924320845,157,-20.2,"2 23","90 114",22,"63.64%","77.27%"
"70","Cluster_14768","FUN_000845",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%"
"71","Cluster_14768","FUN_000845",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%"
"72","Cluster_5981","FUN_026892",0.965113242711184,0.00778106354057356,0.677079544727381,157,-20.81,"2 22","48 70",20,"60.00%","80.00%"
"73","Cluster_18728","FUN_040469",-0.958719638413883,0.0100055624471572,0.717681557663573,157,-26.06,"2 16","646 666",14,"85.71%","92.86%"
"74","Cluster_15340","FUN_023778",-0.886287505512474,0.0452372569377336,0.96546924320845,165,-23.89,"2 14","482 503",12,"100.00%","100.00%"
"75","Cluster_14768","FUN_008327",-0.969079550705252,0.00649647778506713,0.657963653091088,158,-21.33,"2 19","645 665",17,"64.71%","88.24%"
"76","Cluster_15340","FUN_003440",0.967855742230399,0.00688468077332657,0.671934042973242,154,-24.38,"2 21","823 843",19,"63.16%","84.21%"
"77","Cluster_2463","FUN_004508",-0.939930912925519,0.0175129008046142,0.847898695599974,165,-20.8,"2 21","374 393",19,"78.95%","84.21%"
"78","Cluster_10228","FUN_022416",0.887904729240808,0.0442868039725923,0.96546924320845,159,-20.23,"2 20","782 804",18,"72.22%","77.78%"
"79","Cluster_17791","FUN_022419",0.908924996309387,0.0325393554071181,0.937259394150211,179,-21.96,"2 20","264 286",18,"83.33%","94.44%"
"80","Cluster_5012","FUN_032577",0.924178193615416,0.0247755362242095,0.911947326397717,157,-21.54,"2 20","268 293",23,"69.57%","78.26%"
"81","Cluster_3366","FUN_028212",0.961211818569935,0.00911674719626504,0.714292812413301,159,-21.3,"2 22","861 883",20,"65.00%","85.00%"
"82","Cluster_15340","FUN_004121",0.956144560038257,0.0109519472421122,0.74182245292781,153,-21.22,"2 18","576 597",16,"75.00%","75.00%"
"83","Cluster_10051","FUN_041610",0.950416141898834,0.0131549018449425,0.768499722441305,166,-21.71,"2 21","370 390",19,"78.95%","84.21%"
"84","Cluster_10228","FUN_012601",-0.987937302187941,0.00158749787882643,0.545343267336266,157,-20.51,"2 19","420 444",19,"63.16%","89.47%"
"85","Cluster_5012","FUN_004327",0.924178193615415,0.0247755362242096,0.911947326397717,165,-21.49,"2 20","975 997",20,"80.00%","85.00%"
"86","Cluster_5012","FUN_029573",-0.881893431169151,0.0478517087663895,0.96546924320845,154,-22.07,"2 20","47 73",24,"66.67%","70.83%"
"87","Cluster_18728","FUN_024795",-0.958719638413883,0.0100055624471572,0.717681557663573,157,-26.88,"2 16","969 989",14,"85.71%","92.86%"
"88","Cluster_4220","FUN_039701",0.912695187691424,0.0305576856594619,0.922979388371587,164,-20.7,"2 17","427 448",15,"80.00%","93.33%"
"89","Cluster_19193","FUN_023704",0.919289861326711,0.027189244910435,0.914225011702335,152,-20.36,"2 13","111 132",11,"90.91%","90.91%"
"90","Cluster_3367","FUN_006496",-0.91834045230983,0.027666353073052,0.914225011702335,171,-26,"2 22","194 219",22,"77.27%","86.36%"
"91","Cluster_19193","FUN_024347",0.90253274780724,0.0359888920549166,0.960663545556015,152,-21.2,"2 21","354 375",19,"63.16%","73.68%"
"92","Cluster_18728","FUN_011056",0.909544979248351,0.0322107470887216,0.934522799840711,155,-29.13,"2 21","579 601",20,"70.00%","75.00%"
"93","Cluster_19193","FUN_041738",0.942173838181256,0.016546917218467,0.836776328693902,151,-21.37,"2 18","557 577",16,"75.00%","81.25%"
"94","Cluster_1862","FUN_033968",0.914941018366899,0.0293963918076494,0.922979388371587,152,-20.2,"2 23","739 765",24,"62.50%","75.00%"
"95","Cluster_5981","FUN_016637",0.965113242711184,0.00778106354057356,0.677079544727381,158,-20.82,"2 15","64 86",13,"84.62%","92.31%"
"96","Cluster_14402","FUN_044050",-0.888830873815023,0.04374539357953,0.96546924320845,159,-20.55,"2 21","658 682",22,"68.18%","77.27%"
"97","Cluster_18728","FUN_034127",-0.88257316744877,0.047444236195946,0.96546924320845,143,-22.64,"2 12","441 462",10,"80.00%","90.00%"
"98","Cluster_5981","FUN_039073",0.965113242711184,0.00778106354057353,0.677079544727381,149,-20.65,"2 22","50 72",20,"55.00%","75.00%"
"99","Cluster_5900","FUN_030691",0.891045279573933,0.0424594923654875,0.96546924320845,158,-20.68,"2 17","463 483",15,"86.67%","86.67%"
"100","Cluster_16409","FUN_031571",0.989849332448064,0.00122578245722519,0.545343267336266,161,-21.44,"2 15","403 425",14,"92.86%","92.86%"
"101","Cluster_16409","FUN_020702",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"102","Cluster_16409","FUN_020705",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"103","Cluster_16409","FUN_020706",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"104","Cluster_15340","FUN_005093",0.906659813531637,0.033749004138785,0.94668977834888,155,-20.53,"2 21","669 692",21,"66.67%","76.19%"
"105","Cluster_18772","FUN_026553",0.907139286332059,0.0334917787925308,0.945544188656538,162,-21.04,"2 22","340 362",21,"76.19%","80.95%"
"106","Cluster_4220","FUN_012580",-0.971424618827498,0.00577366509372755,0.628006396123141,166,-21.01,"2 15","158 179",13,"92.31%","100.00%"
"107","Cluster_15775","FUN_008268",0.931130346130316,0.0214702776348296,0.88955502143681,155,-20.63,"2 22","195 212",20,"75.00%","75.00%"
"108","Cluster_1862","FUN_040689",0.98897179438378,0.00138794229797963,0.545343267336266,169,-21.54,"2 18","593 616",16,"81.25%","93.75%"
"109","Cluster_3366","FUN_015543",0.888310868864341,0.0440491206471639,0.96546924320845,153,-22.71,"2 14","136 159",12,"83.33%","91.67%"
"110","Cluster_18711","FUN_011619",-0.905114959891679,0.0345820495015364,0.952409225428678,169,-21.12,"2 19","761 783",18,"83.33%","88.89%"
"111","Cluster_10057","FUN_003898",0.979630113873169,0.00347924745250208,0.545343267336266,163,-22.05,"2 21","527 549",20,"75.00%","80.00%"
"112","Cluster_18723","FUN_038202",0.922780365056995,0.0254583396281075,0.914225011702335,150,-22.67,"2 21","7 27",19,"68.42%","73.68%"
"113","Cluster_18772","FUN_014804",0.959657908317892,0.00966775954318747,0.717681557663573,160,-21.21,"2 19","164 191",22,"77.27%","77.27%"
"114","Cluster_3367","FUN_022543",-0.960219481549203,0.00946740491407129,0.717681557663573,163,-21.16,"2 22","275 297",20,"70.00%","85.00%"
"115","Cluster_17776","FUN_008136",0.881149608817262,0.0482988590122213,0.96546924320845,146,-20.69,"2 20","707 724",18,"72.22%","72.22%"
"116","Cluster_3367","FUN_005646",-0.91834045230983,0.027666353073052,0.914225011702335,152,-20.85,"2 21","339 362",19,"57.89%","78.95%"
"117","Cluster_3366","FUN_026050",0.890236163709922,0.0429279311868107,0.96546924320845,155,-23.22,"2 22","851 879",25,"64.00%","76.00%"
"118","Cluster_16409","FUN_019787",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"119","Cluster_16409","FUN_019788",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"120","Cluster_3367","FUN_031944",-0.970032542846498,0.00619935937556317,0.646579426239839,161,-27.7,"2 23","568 588",21,"71.43%","85.71%"
"121","Cluster_18711","FUN_036658",-0.980395448057802,0.00328539797028087,0.545343267336266,166,-20.3,"2 20","21 43",19,"78.95%","84.21%"
"122","Cluster_3367","FUN_018272",0.94156349811638,0.0168080110027922,0.839818475412396,164,-20.09,"2 23","271 293",21,"66.67%","85.71%"
"123","Cluster_5900","FUN_041316",0.89072092476841,0.0426470819650211,0.96546924320845,159,-21.59,"2 21","152 176",22,"72.73%","72.73%"
"124","Cluster_10051","FUN_013801",0.973950013786862,0.00502736934165484,0.59526595061023,152,-22.29,"2 18","370 392",17,"76.47%","76.47%"
"125","Cluster_14768","FUN_000656",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%"
"126","Cluster_14768","FUN_000656",0.929222172391746,0.0223621946443423,0.900124376770459,150,-20.84,"2 20","178 202",22,"68.18%","68.18%"
"127","Cluster_15928","FUN_028180",-0.891629842244459,0.042122076655814,0.96546924320845,163,-20.06,"2 20","347 368",18,"77.78%","77.78%"
"128","Cluster_10051","FUN_013936",0.978580789954302,0.00375092828341029,0.545343267336266,152,-22.29,"2 18","250 272",17,"76.47%","76.47%"
"129","Cluster_5981","FUN_034898",0.963993725212303,0.00815720831608488,0.68407245151765,143,-20.02,"2 21","360 381",20,"70.00%","75.00%"
"130","Cluster_5012","FUN_002342",0.973893925144242,0.00504357204244837,0.596107939419204,146,-20.87,"2 20","692 713",19,"63.16%","73.68%"
"131","Cluster_3366","FUN_039470",0.888310868864341,0.0440491206471639,0.96546924320845,164,-25.81,"2 23","962 984",21,"66.67%","85.71%"
"132","Cluster_16409","FUN_037296",0.970911358215383,0.00592945735113148,0.635704442702164,146,-20.93,"2 21","503 519",19,"68.42%","73.68%"
"133","Cluster_3367","FUN_005639",-0.91834045230983,0.027666353073052,0.914225011702335,152,-20.85,"2 21","339 362",19,"57.89%","78.95%"
"134","Cluster_2463","FUN_001844",0.93037473208988,0.0218220605908716,0.893410997624977,158,-20.51,"2 18","205 226",17,"82.35%","88.24%"
"135","Cluster_5900","FUN_017225",0.913601217338232,0.0300874498463117,0.922979388371587,146,-20.28,"2 16","420 443",16,"75.00%","75.00%"
"136","Cluster_5981","FUN_002032",0.965113242711184,0.00778106354057353,0.677079544727381,172,-27.81,"2 22","878 901",21,"76.19%","85.71%"
"137","Cluster_18772","FUN_008620",-0.885026412931428,0.045982834248485,0.96546924320845,175,-22.35,"2 20","949 971",18,"83.33%","88.89%"
"138","Cluster_3250","FUN_015574",0.930820292742754,0.0216144018865856,0.890973145755446,170,-20.77,"2 21","489 509",19,"84.21%","84.21%"
"139","Cluster_3366","FUN_041829",0.96870312590872,0.00661509267158132,0.661457911465912,164,-27.09,"2 23","97 122",23,"69.57%","82.61%"
"140","Cluster_19193","FUN_001354",0.900622422690111,0.0370411435512327,0.96546924320845,155,-20.92,"2 21","588 611",21,"66.67%","76.19%"
"141","Cluster_10228","FUN_040720",0.88203253918906,0.0477682298260038,0.96546924320845,160,-25.5,"2 21","198 220",19,"63.16%","84.21%"
"142","Cluster_3367","FUN_041060",-0.91834045230983,0.027666353073052,0.914225011702335,159,-20.06,"2 19","819 842",18,"77.78%","88.89%"
"143","Cluster_4220","FUN_031529",-0.919394723755509,0.0271367122765176,0.914225011702335,167,-28.12,"2 21","276 300",22,"72.73%","81.82%"
"144","Cluster_4254","FUN_027208",0.990139574386811,0.00117363744401445,0.545343267336266,168,-20.44,"2 19","713 733",17,"88.24%","88.24%"
"145","Cluster_3367","FUN_000494",-0.948855952045759,0.013777373638824,0.780657911162811,146,-20.66,"2 15","340 363",13,"69.23%","84.62%"
"146","Cluster_3366","FUN_028569",0.888310868864341,0.0440491206471639,0.96546924320845,152,-23.13,"2 22","752 772",20,"65.00%","85.00%"
"147","Cluster_10419","FUN_005951",-0.911459476837608,0.0312027888015098,0.927095055076847,164,-21.59,"2 17","923 944",15,"80.00%","93.33%"
"148","Cluster_5981","FUN_040522",0.961191758006318,0.00912379283291792,0.714377796821481,155,-22.03,"2 21","162 185",20,"65.00%","80.00%"
"149","Cluster_18728","FUN_016754",-0.958719638413883,0.0100055624471572,0.717681557663573,157,-26.06,"2 16","250 270",14,"85.71%","92.86%"
"150","Cluster_14402","FUN_013639",0.908718443748873,0.0326490711777368,0.938222391732489,154,-23.12,"2 21","770 790",19,"63.16%","84.21%"
"151","Cluster_3366","FUN_041082",0.888310868864341,0.0440491206471639,0.96546924320845,157,-23.5,"2 18","264 287",16,"68.75%","87.50%"
"152","Cluster_15340","FUN_017011",0.894339600913098,0.0405692107949411,0.96546924320845,152,-22.24,"2 21","708 729",19,"57.89%","78.95%"
"153","Cluster_10051","FUN_013771",0.978580789954302,0.00375092828341026,0.545343267336266,152,-21.17,"2 18","385 407",17,"76.47%","76.47%"
"154","Cluster_10051","FUN_013777",0.978580789954302,0.00375092828341026,0.545343267336266,152,-22.29,"2 18","250 272",17,"76.47%","76.47%"
"155","Cluster_18723","FUN_018894",-0.969058804392155,0.00650299672929437,0.65809644381895,150,-20.34,"2 11","84 105",9,"100.00%","100.00%"
"156","Cluster_3367","FUN_004413",-0.882535200357958,0.047466966746595,0.96546924320845,167,-22.91,"2 22","337 362",22,"77.27%","81.82%"
"157","Cluster_3367","FUN_018647",-0.91834045230983,0.027666353073052,0.914225011702335,154,-20.77,"2 20","431 455",19,"63.16%","84.21%"
"158","Cluster_4220","FUN_027959",0.910586916819464,0.0316609057188031,0.930231346604955,146,-22.81,"2 21","402 422",19,"63.16%","73.68%"
"159","Cluster_15340","FUN_021078",0.917452102344503,0.0281151890024615,0.91821751926912,152,-24.73,"2 20","271 292",19,"73.68%","78.95%"
"160","Cluster_1832","FUN_017983",0.945765705423933,0.0150376481830758,0.806418030288612,178,-24.35,"2 19","124 144",17,"82.35%","100.00%"
"161","Cluster_4254","FUN_017983",0.917063401169944,0.0283123085859136,0.91957570445875,163,-21.48,"2 21","953 975",20,"75.00%","80.00%"
"162","Cluster_10051","FUN_023440",0.928404130358632,0.0227481437676838,0.904208605256969,170,-21.68,"2 21","48 68",19,"78.95%","89.47%"
"163","Cluster_19193","FUN_039408",0.920952433397918,0.0263602178674966,0.914225011702335,160,-20.02,"2 20","480 501",19,"78.95%","84.21%"
"164","Cluster_3250","FUN_008423",0.977388854104582,0.00406760929145233,0.545343267336266,155,-21.83,"2 17","158 182",18,"77.78%","77.78%"
"165","Cluster_19193","FUN_012699",0.909588274624816,0.0321878392872483,0.934271312307026,156,-20.59,"2 19","385 409",20,"75.00%","80.00%"
"166","Cluster_15775","FUN_043133",0.940892648805206,0.0170965189072738,0.844400311580421,168,-20.39,"2 22","513 537",22,"72.73%","81.82%"
"167","Cluster_5981","FUN_037136",0.965113242711184,0.00778106354057353,0.677079544727381,157,-21.13,"2 22","48 70",20,"60.00%","80.00%"
"168","Cluster_5981","FUN_002626",-0.980027543260989,0.00337812497848748,0.545343267336266,153,-20.47,"2 22","475 497",20,"65.00%","70.00%"
"169","Cluster_2463","FUN_019853",0.913377051820482,0.0302035752460684,0.922979388371587,155,-20.89,"2 21","436 454",19,"73.68%","84.21%"
"170","Cluster_10051","FUN_022389",0.99711235936688,0.000186191723320705,0.393371538720933,164,-21.19,"2 19","474 494",17,"82.35%","88.24%"
"171","Cluster_17776","FUN_004275",0.90561694605623,0.034310646508512,0.950736619239696,145,-22.92,"2 10","667 688",8,"100.00%","100.00%"
"172","Cluster_16409","FUN_020726",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%"
"173","Cluster_15340","FUN_029642",0.880340901416551,0.0487865044012962,0.96546924320845,157,-21.2,"2 19","835 858",19,"73.68%","78.95%"
"174","Cluster_10057","FUN_005127",0.913288973765842,0.0302492419807902,0.922979388371587,157,-20.39,"2 19","610 632",18,"77.78%","77.78%"
"175","Cluster_10051","FUN_029089",0.978580789954302,0.00375092828341026,0.545343267336266,147,-20.05,"2 17","243 265",16,"68.75%","81.25%"
"176","Cluster_4220","FUN_029569",0.89053071415118,0.0427572118172664,0.96546924320845,163,-21.41,"2 17","783 807",18,"83.33%","83.33%"
"177","Cluster_3366","FUN_014822",0.888310868864341,0.0440491206471639,0.96546924320845,170,-22.31,"2 23","30 53",21,"71.43%","80.95%"
"178","Cluster_10051","FUN_040273",-0.971023628272827,0.00589526287201513,0.633716525723998,147,-21.84,"2 21","647 671",22,"59.09%","72.73%"
"179","Cluster_10419","FUN_037853",-0.911992092573669,0.0309242064091859,0.924732751073243,163,-20.25,"2 21","339 364",23,"73.91%","73.91%"
"180","Cluster_3437","FUN_015054",-0.925932783067388,0.0239269919652675,0.911947326397717,168,-20.64,"2 22","932 955",21,"76.19%","80.95%"
"181","Cluster_10051","FUN_028533",0.978580789954302,0.00375092828341026,0.545343267336266,171,-20.94,"2 21","838 860",20,"80.00%","85.00%"
"182","Cluster_10093","FUN_004824",0.892231247691693,0.0417758333428006,0.96546924320845,159,-21.49,"2 21","655 678",21,"66.67%","80.95%"
"183","Cluster_3366","FUN_034461",0.888310868864341,0.0440491206471639,0.96546924320845,174,-21.35,"2 23","394 415",21,"85.71%","85.71%"
"184","Cluster_1862","FUN_022873",0.900403409925386,0.0371623981684278,0.96546924320845,172,-21.74,"2 21","202 225",19,"68.42%","94.74%"
"185","Cluster_10207","FUN_024260",-0.946398188227218,0.0147767891703283,0.801301622128722,149,-22.38,"2 19","365 386",18,"61.11%","83.33%"
"186","Cluster_2463","FUN_002930",-0.892464843933718,0.0416415916519815,0.96546924320845,179,-25.95,"2 21","743 765",20,"85.00%","90.00%"
"187","Cluster_3366","FUN_002935",0.909204539208535,0.0323910575218071,0.936038830949265,161,-22.35,"2 19","423 450",21,"71.43%","80.95%"
"188","Cluster_1951","FUN_014499",0.947520043695962,0.0143177722601088,0.789685182794853,164,-20.1,"2 18","970 994",19,"78.95%","84.21%"
"189","Cluster_15340","FUN_009243",-0.898144042659504,0.038420626879773,0.96546924320845,167,-20.43,"2 21","344 366",20,"75.00%","85.00%"
