HOG	OG	Gene Tree Parent Clade	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
N1.HOG0000010	OG0000009	n0	FUN_025255-T1, FUN_011580-T1, FUN_040179-T1, FUN_023664-T1, FUN_007719-T1, FUN_030532-T1, FUN_005790-T1, FUN_021056-T1, FUN_039116-T1, FUN_021070-T1, FUN_005496-T1, FUN_025185-T1, FUN_025176-T1, FUN_002269-T1, FUN_002282-T1, FUN_002235-T1, FUN_002296-T1, FUN_002258-T1, FUN_002219-T1, FUN_019194-T1, FUN_007276-T1, FUN_007295-T1, FUN_012934-T1, FUN_013679-T1, FUN_011834-T1, FUN_030556-T1, FUN_039147-T1, FUN_003184-T1, FUN_003339-T1, FUN_003210-T1, FUN_003353-T1, FUN_003194-T1, FUN_017716-T1, FUN_019227-T1, FUN_044334-T1, FUN_041107-T1, FUN_002257-T1, FUN_002295-T1, FUN_003365-T1, FUN_007207-T1, FUN_023829-T1, FUN_007259-T1, FUN_002218-T1, FUN_025163-T1, FUN_021090-T1, FUN_002178-T1, FUN_025375-T1, FUN_042540-T1, FUN_042708-T1, FUN_042557-T1, FUN_023878-T1, FUN_042735-T1, FUN_042510-T1, FUN_039523-T1, FUN_023856-T1, FUN_044082-T1, FUN_039627-T1, FUN_044335-T1, FUN_034069-T1, FUN_021188-T1, FUN_039220-T1, FUN_039247-T1, FUN_036612-T1, FUN_036686-T1, FUN_030594-T1, FUN_036647-T1, FUN_039181-T1, FUN_030501-T1, FUN_041106-T1, FUN_023830-T1, FUN_042692-T1, FUN_044332-T1, FUN_005758-T1, FUN_044081-T1, FUN_044333-T1, FUN_023855-T1, FUN_012965-T1, FUN_039626-T1, FUN_021187-T1, FUN_002281-T1, FUN_002294-T1, FUN_002234-T1		
N1.HOG0000011	OG0000010	n0	FUN_009246-T1, FUN_009213-T1, FUN_009109-T1, FUN_009157-T1, FUN_009169-T1, FUN_009092-T1, FUN_009140-T1, FUN_009242-T1, FUN_009071-T1, FUN_009259-T1, FUN_009100-T1, FUN_009188-T1, FUN_009095-T1, FUN_009212-T1, FUN_009177-T1, FUN_009262-T1, FUN_009187-T1, FUN_009178-T1, FUN_016863-T1, FUN_016865-T1, FUN_009112-T1, FUN_002815-T1, FUN_009231-T1, FUN_009124-T1, FUN_009149-T1, FUN_009088-T1, FUN_009274-T1, FUN_007644-T1, FUN_009073-T1, FUN_009230-T1, FUN_009251-T1, FUN_009078-T1, FUN_009152-T1, FUN_009203-T1, FUN_009166-T1, FUN_009240-T1, FUN_009137-T1, FUN_009175-T1, FUN_009080-T1, FUN_009198-T1, FUN_009205-T1, FUN_009155-T1, FUN_013267-T1, FUN_009113-T1, FUN_023651-T1, FUN_009869-T1, FUN_009216-T1, FUN_009107-T1, FUN_009196-T1, FUN_009247-T1, FUN_009097-T1, FUN_023604-T1, FUN_023601-T1, FUN_023609-T1, FUN_044689-T1, FUN_009067-T1, FUN_009117-T1, FUN_009222-T1, FUN_026699-T1, FUN_029699-T1, FUN_029696-T1, FUN_016753-T1, FUN_026562-T1, FUN_016905-T1, FUN_016901-T1, FUN_016961-T1, FUN_016959-T1, FUN_013635-T1, FUN_013636-T1, FUN_009003-T1, FUN_009234-T1, FUN_009061-T1, FUN_009245-T1, FUN_009207-T1, FUN_009116-T1, FUN_009183-T1, FUN_009226-T1, FUN_009172-T1, FUN_009130-T1, FUN_009058-T1, FUN_009133-T1		
N1.HOG0000012	OG0000011	n0	FUN_027262-T1, FUN_027262-T2, FUN_027731-T1, FUN_027256-T2, FUN_031448-T1, FUN_039390-T3, FUN_039363-T1, FUN_031339-T1, FUN_039330-T1, FUN_039391-T1, FUN_031423-T1, FUN_031396-T1, FUN_039360-T1, FUN_039338-T1, FUN_031427-T1, FUN_031419-T1, FUN_031459-T1, FUN_031374-T1, FUN_031357-T1, FUN_031327-T1, FUN_007673-T1, FUN_031392-T1, FUN_031320-T1, FUN_039357-T1, FUN_027252-T1, FUN_031334-T1, FUN_031413-T1, FUN_039420-T1, FUN_031373-T1, FUN_031409-T1, FUN_031428-T1, FUN_039324-T1, FUN_031396-T2, FUN_039384-T1, FUN_031387-T1, FUN_031379-T1, FUN_039374-T1, FUN_031457-T1, FUN_031444-T1, FUN_031444-T2, FUN_031404-T1, FUN_039406-T1, FUN_031316-T1, FUN_031401-T1, FUN_039346-T1, FUN_031365-T1, FUN_031422-T1, FUN_039390-T2, FUN_039363-T2, FUN_031345-T1, FUN_039390-T1, FUN_039409-T1, FUN_031362-T1, FUN_031382-T1, FUN_039378-T3, FUN_039378-T1, FUN_039378-T2, FUN_031310-T1, FUN_031374-T2, FUN_031323-T1, FUN_027256-T1, FUN_007674-T1, FUN_039573-T2, FUN_039573-T1, FUN_027458-T2, FUN_027458-T1, FUN_039358-T1, FUN_039428-T1, FUN_039415-T2, FUN_039415-T3, FUN_039415-T1, FUN_031437-T1, FUN_039365-T1, FUN_039431-T1, FUN_031445-T1, FUN_027730-T1, FUN_039368-T1, FUN_039416-T1, FUN_031429-T1, FUN_039387-T1, FUN_031460-T1		
N1.HOG0000013	OG0000012	n1	FUN_038501-T1		
N1.HOG0000014	OG0000012	n2	FUN_037169-T1		
N1.HOG0000015	OG0000013	n0	FUN_027114-T1, FUN_027113-T1, FUN_027112-T1, FUN_027115-T1, FUN_027111-T1, FUN_027110-T1, FUN_027108-T1, FUN_027109-T1, FUN_005691-T1, FUN_021828-T1, FUN_027104-T1, FUN_027119-T1, FUN_025151-T1, FUN_005632-T1, FUN_039477-T1, FUN_039454-T1, FUN_005651-T1, FUN_005633-T1, FUN_005636-T1, FUN_005654-T1, FUN_005631-T1, FUN_025148-T1, FUN_005641-T1, FUN_005667-T1, FUN_027106-T1, FUN_005687-T1, FUN_027116-T1, FUN_027118-T1, FUN_027121-T1, FUN_005660-T1, FUN_005668-T1, FUN_005676-T1, FUN_003458-T1, FUN_005648-T1, FUN_025152-T1, FUN_005652-T1, FUN_005650-T1, FUN_005630-T1, FUN_005692-T1, FUN_005683-T1, FUN_005635-T1, FUN_005682-T1, FUN_005663-T1, FUN_005669-T1, FUN_005638-T1, FUN_005656-T1, FUN_005659-T1, FUN_005640-T1, FUN_005653-T1, FUN_005634-T1, FUN_027102-T1, FUN_027105-T1, FUN_027120-T1, FUN_005672-T1, FUN_005673-T1, FUN_025150-T1, FUN_025149-T1, FUN_005677-T1, FUN_005666-T1, FUN_005647-T1, FUN_005680-T1, FUN_005690-T1, FUN_005664-T1, FUN_005662-T1, FUN_025154-T1, FUN_005695-T1, FUN_025153-T1, FUN_005686-T1, FUN_005661-T1, FUN_005642-T1, FUN_005637-T1, FUN_005655-T1, FUN_005658-T1, FUN_005670-T1, FUN_025147-T1	Pocillopora_meandrina_HIv1___RNAseq.g25149.t1	
N1.HOG0000016	OG0000014	n0	FUN_033705-T1		
N1.HOG0000017	OG0000015	n0	FUN_019827-T2, FUN_019827-T1, FUN_019309-T1, FUN_019873-T1, FUN_002934-T1, FUN_002888-T1, FUN_002901-T1, FUN_002950-T1, FUN_006289-T1, FUN_027781-T1, FUN_028535-T1, FUN_019360-T1, FUN_019365-T1, FUN_019358-T1, FUN_019356-T1, FUN_019252-T1, FUN_028530-T1, FUN_006353-T1, FUN_020965-T1, FUN_019317-T1, FUN_006310-T1, FUN_020989-T1, FUN_028544-T1, FUN_019595-T1, FUN_027767-T1, FUN_019821-T1, FUN_019691-T1, FUN_019588-T1, FUN_020029-T1, FUN_027790-T1, FUN_019275-T1, FUN_019870-T1, FUN_044467-T1, FUN_045038-T1, FUN_019801-T1, FUN_027798-T1, FUN_019869-T1, FUN_006343-T1, FUN_019820-T1, FUN_019318-T1, FUN_019589-T1, FUN_002842-T1, FUN_019596-T1, FUN_020937-T1, FUN_019587-T1, FUN_019872-T1, FUN_019802-T1, FUN_002841-T1, FUN_028626-T1, FUN_006035-T1, FUN_006026-T1, FUN_006297-T1, FUN_006301-T1, FUN_028650-T1, FUN_028740-T1, FUN_028669-T1, FUN_020614-T1, FUN_019619-T1, FUN_019366-T1, FUN_019353-T1, FUN_019349-T1, FUN_006342-T1, FUN_028602-T1, FUN_028545-T1, FUN_019251-T1, FUN_028531-T1, FUN_028536-T1, FUN_019586-T1, FUN_020031-T1, FUN_019803-T1, FUN_020990-T1, FUN_019379-T1, FUN_027766-T1, FUN_006354-T1		
N1.HOG0000018	OG0000016	n0	FUN_028583-T1, FUN_028579-T1, FUN_044292-T1, FUN_028730-T2, FUN_028638-T1, FUN_028827-T1, FUN_028702-T1, FUN_028693-T1, FUN_010844-T1, FUN_028679-T1, FUN_028655-T1, FUN_028632-T1, FUN_010846-T1, FUN_010856-T1, FUN_010850-T1, FUN_028701-T1, FUN_028617-T1, FUN_010854-T1, FUN_038676-T1, FUN_028640-T1, FUN_044723-T1, FUN_038665-T1, FUN_038642-T1, FUN_038660-T1, FUN_038651-T1, FUN_038657-T1, FUN_028760-T1, FUN_028645-T1, FUN_009779-T1, FUN_028824-T1, FUN_009781-T1, FUN_028663-T1, FUN_028623-T1, FUN_028825-T1, FUN_028694-T1, FUN_028594-T1, FUN_028639-T1, FUN_028722-T1, FUN_028562-T1, FUN_028587-T1, FUN_028829-T1, FUN_028691-T1, FUN_028563-T1, FUN_028616-T1, FUN_026610-T1, FUN_028687-T1, FUN_028659-T1, FUN_028634-T1, FUN_028757-T1, FUN_028788-T1, FUN_028783-T1, FUN_028723-T1, FUN_028700-T1, FUN_028809-T1, FUN_009732-T1, FUN_009722-T1, FUN_009860-T1, FUN_009569-T1, FUN_028771-T1, FUN_028733-T1, FUN_028765-T1, FUN_028728-T1, FUN_028730-T1, FUN_028767-T1, FUN_028618-T1, FUN_028804-T1, FUN_028806-T1, FUN_028807-T1, FUN_028808-T1, FUN_028810-T1, FUN_028696-T1, FUN_028592-T1		
N1.HOG0000019	OG0000017	n2	FUN_003905-T1		
N1.HOG0000020	OG0000017	n3	FUN_003947-T1, FUN_003954-T1, FUN_003949-T1, FUN_003908-T1, FUN_003575-T1, FUN_003973-T1, FUN_003808-T1, FUN_003826-T1, FUN_003819-T1, FUN_003912-T1, FUN_003959-T1, FUN_003909-T1, FUN_003958-T1, FUN_003976-T1, FUN_003805-T1, FUN_003825-T1, FUN_003972-T1, FUN_003906-T1, FUN_003828-T1, FUN_003824-T1, FUN_003813-T1, FUN_003822-T1, FUN_003803-T1, FUN_003968-T1, FUN_003811-T1, FUN_003815-T1, FUN_003814-T1, FUN_003941-T1, FUN_003942-T1, FUN_003950-T1, FUN_003945-T2, FUN_003945-T1, FUN_003943-T1, FUN_003946-T1, FUN_003948-T1, FUN_003951-T1, FUN_003957-T1, FUN_003809-T1, FUN_003820-T1, FUN_003827-T1, FUN_003804-T1, FUN_003821-T1, FUN_003810-T1, FUN_003802-T1, FUN_003970-T1, FUN_003966-T1, FUN_003975-T1, FUN_003974-T1, FUN_003801-T1, FUN_003907-T1, FUN_003914-T1, FUN_003910-T1, FUN_003911-T1, FUN_003955-T1, FUN_003964-T1, FUN_003961-T1, FUN_003963-T1, FUN_003816-T1, FUN_003832-T1, FUN_003823-T1, FUN_003812-T1, FUN_003831-T1, FUN_003830-T1, FUN_003817-T1, FUN_003836-T1, FUN_003834-T1		
