HOG	OG	Gene Tree Parent Clade	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
N0.HOG0000735	OG0000564	n1	FUN_015693-T1	Pocillopora_meandrina_HIv1___RNAseq.g17457.t1a	Peve_00014383
N0.HOG0000736	OG0000564	n4	FUN_028404-T1, FUN_035484-T1, FUN_030174-T1	Pocillopora_meandrina_HIv1___RNAseq.g15360.t1b	Peve_00031434, Peve_00002399
N0.HOG0000737	OG0000564	n9	FUN_013098-T1, FUN_031440-T1, FUN_015692-T1, FUN_023288-T1		Peve_00007009
N0.HOG0000738	OG0000565	n0	FUN_013437-T1, FUN_013449-T1, FUN_013541-T1, FUN_013533-T1, FUN_013460-T1, FUN_013501-T1, FUN_013511-T1, FUN_013444-T1, FUN_013430-T1, FUN_013443-T1, FUN_013470-T1, FUN_013433-T1, FUN_013530-T1, FUN_013445-T1		
N0.HOG0000739	OG0000566	n1	FUN_013526-T1		Peve_00022751
N0.HOG0000740	OG0000566	n2	FUN_044933-T1, FUN_044498-T1, FUN_044845-T1, FUN_045804-T2, FUN_045804-T1, FUN_027453-T1, FUN_040849-T1	Pocillopora_meandrina_HIv1___RNAseq.g7679.t1	Peve_00013665, Peve_00013664, Peve_00008710, Peve_00011601
N0.HOG0000741	OG0000567	n0	FUN_015744-T1, FUN_042274-T1, FUN_015791-T1, FUN_042177-T1, FUN_033095-T1, FUN_042377-T1, FUN_015792-T1, FUN_015623-T1, FUN_015713-T1, FUN_015572-T1, FUN_042273-T1, FUN_015490-T1, FUN_015674-T1, FUN_015570-T1		
N0.HOG0000742	OG0000568	n0	FUN_021819-T1, FUN_039687-T1, FUN_033576-T1, FUN_015675-T1, FUN_042179-T1, FUN_037157-T1, FUN_039671-T1, FUN_017294-T1, FUN_017269-T1, FUN_029989-T1, FUN_026567-T1, FUN_039995-T1	Pocillopora_meandrina_HIv1___TS.g20331.t1a	Peve_00036137
N0.HOG0000743	OG0000569	n0	FUN_034194-T1, FUN_034189-T1, FUN_034200-T1, FUN_034191-T1, FUN_034202-T1, FUN_034193-T1, FUN_034196-T1, FUN_016789-T1, FUN_034199-T1	Pocillopora_meandrina_HIv1___RNAseq.g12680.t1, Pocillopora_meandrina_HIv1___RNAseq.g12674.t1, Pocillopora_meandrina_HIv1___RNAseq.g12675.t1	Peve_00026215, Peve_00015722
N0.HOG0000744	OG0000570	n0	FUN_030859-T1, FUN_017615-T1	Pocillopora_meandrina_HIv1___RNAseq.g15319.t1, Pocillopora_meandrina_HIv1___RNAseq.g16835.t1, Pocillopora_meandrina_HIv1___RNAseq.g10262.t1, Pocillopora_meandrina_HIv1___RNAseq.g14533.t1, Pocillopora_meandrina_HIv1___RNAseq.g131.t1, Pocillopora_meandrina_HIv1___TS.g11709.t1, Pocillopora_meandrina_HIv1___RNAseq.g22849.t1, Pocillopora_meandrina_HIv1___RNAseq.g29266.t1, Pocillopora_meandrina_HIv1___RNAseq.g29269.t1	Peve_00030750, Peve_00011597, Peve_00040261
N0.HOG0000745	OG0000571	n0	FUN_023938-T1, FUN_017799-T1, FUN_017797-T1	Pocillopora_meandrina_HIv1___RNAseq.g17409.t1, Pocillopora_meandrina_HIv1___RNAseq.g17405.t1, Pocillopora_meandrina_HIv1___RNAseq.g17406.t1, Pocillopora_meandrina_HIv1___RNAseq.g17403.t1, Pocillopora_meandrina_HIv1___RNAseq.g17404.t1, Pocillopora_meandrina_HIv1___RNAseq.g17411.t1, Pocillopora_meandrina_HIv1___RNAseq.g17408.t1, Pocillopora_meandrina_HIv1___RNAseq.g17412.t1, Pocillopora_meandrina_HIv1___RNAseq.g17402.t1, Pocillopora_meandrina_HIv1___RNAseq.g17401.t1	Peve_00015559
N0.HOG0000746	OG0000572	n0	FUN_017877-T1, FUN_017874-T1	Pocillopora_meandrina_HIv1___RNAseq.g11645.t1	Peve_00024559, Peve_00012853, Peve_00012852, Peve_00016896, Peve_00024558, Peve_00024557, Peve_00024560, Peve_00012854, Peve_00016895, Peve_00012855, Peve_00008442
N0.HOG0000747	OG0000573	n2		Pocillopora_meandrina_HIv1___RNAseq.g1112.t1	Peve_00000100
N0.HOG0000748	OG0000573	n3	FUN_037577-T1, FUN_018710-T1, FUN_037575-T1, FUN_037580-T1	Pocillopora_meandrina_HIv1___RNAseq.g12796.t2	Peve_00008773, Peve_00008774, Peve_00006241
N0.HOG0000749	OG0000573	n10	FUN_018711-T1, FUN_037576-T1	Pocillopora_meandrina_HIv1___RNAseq.g8249.t1	Peve_00021573
N0.HOG0000750	OG0000574	n0	FUN_019424-T1, FUN_019424-T2, FUN_019424-T3, FUN_019407-T1, FUN_019419-T1, FUN_019422-T1, FUN_019420-T1, FUN_019413-T1, FUN_019412-T1, FUN_019409-T1, FUN_019417-T1, FUN_019414-T1, FUN_019411-T1		Peve_00022941
N0.HOG0000751	OG0000575	n1	FUN_024166-T1, FUN_024168-T1, FUN_024169-T1	Pocillopora_meandrina_HIv1___RNAseq.g19060.t1, Pocillopora_meandrina_HIv1___RNAseq.g19061.t1, Pocillopora_meandrina_HIv1___RNAseq.g19059.t1	Peve_00018701, Peve_00015138, Peve_00018700
N0.HOG0000752	OG0000575	n9		Pocillopora_meandrina_HIv1___RNAseq.g11476.t1, Pocillopora_meandrina_HIv1___RNAseq.g19056.t1, Pocillopora_meandrina_HIv1___RNAseq.g19057.t1	Peve_00021051, Peve_00021049
N0.HOG0000753	OG0000576	n0	FUN_029238-T1, FUN_029236-T1	Pocillopora_meandrina_HIv1___RNAseq.g25555.t2	Peve_00045053, Peve_00045049, Peve_00027667, Peve_00024304, Peve_00045050, Peve_00024305, Peve_00027666, Peve_00045064, Peve_00030930, Peve_00045052, Peve_00045047
N0.HOG0000754	OG0000577	n0	FUN_029533-T1	Pocillopora_meandrina_HIv1___RNAseq.g15940.t1, Pocillopora_meandrina_HIv1___RNAseq.g16661.t1, Pocillopora_meandrina_HIv1___TS.g14662.t1, Pocillopora_meandrina_HIv1___RNAseq.g20639.t1, Pocillopora_meandrina_HIv1___TS.g10965.t1, Pocillopora_meandrina_HIv1___RNAseq.g15950.t1, Pocillopora_meandrina_HIv1___RNAseq.g10728.t1, Pocillopora_meandrina_HIv1___RNAseq.g20640.t1, Pocillopora_meandrina_HIv1___TS.g10960.t1, Pocillopora_meandrina_HIv1___RNAseq.g15956.t1, Pocillopora_meandrina_HIv1___RNAseq.g20641.t1, Pocillopora_meandrina_HIv1___RNAseq.g10729.t1, Pocillopora_meandrina_HIv1___RNAseq.g3095.t1	
N0.HOG0000755	OG0000578	n0	FUN_029823-T1	Pocillopora_meandrina_HIv1___RNAseq.g25994.t1, Pocillopora_meandrina_HIv1___RNAseq.g15405.t1	Peve_00013286, Peve_00042358, Peve_00008876, Peve_00019064, Peve_00029431, Peve_00003941, Peve_00012759, Peve_00019778, Peve_00041620, Peve_00017019, Peve_00042357
N0.HOG0000756	OG0000579	n1	FUN_030084-T1	Pocillopora_meandrina_HIv1___RNAseq.g18615.t1	Peve_00020726
N0.HOG0000757	OG0000579	n3	FUN_045279-T1, FUN_045160-T1, FUN_045440-T1, FUN_045631-T1, FUN_045384-T1, FUN_044607-T1	Pocillopora_meandrina_HIv1___RNAseq.g8477.t2, Pocillopora_meandrina_HIv1___RNAseq.g1791.t1, Pocillopora_meandrina_HIv1___RNAseq.g8472.t1	Peve_00007402, Peve_00016270
N0.HOG0000758	OG0000580	n0	FUN_032440-T2, FUN_032440-T1, FUN_032442-T1, FUN_032442-T2, FUN_032437-T1, FUN_032437-T3, FUN_032437-T4, FUN_032437-T5, FUN_032437-T2, FUN_032439-T1, FUN_032439-T2, FUN_032441-T1		Peve_00043628, Peve_00039389
N0.HOG0000759	OG0000581	n0	FUN_032868-T1, FUN_032866-T1, FUN_032863-T1, FUN_032870-T1, FUN_032871-T1, FUN_032861-T1, FUN_032837-T1, FUN_032855-T1, FUN_032859-T1, FUN_032860-T1, FUN_032856-T1, FUN_032857-T1, FUN_032858-T1		Peve_00014571
N0.HOG0000760	OG0000582	n0	FUN_033930-T1		Peve_00027614, Peve_00012725, Peve_00018117, Peve_00011697, Peve_00018120, Peve_00012729, Peve_00018121, Peve_00009821, Peve_00021337, Peve_00021336, Peve_00021339, Peve_00021342, Peve_00040888
N0.HOG0000761	OG0000583	n0	FUN_034673-T1, FUN_034660-T1	Pocillopora_meandrina_HIv1___RNAseq.g4139.t1, Pocillopora_meandrina_HIv1___RNAseq.g9267.t1, Pocillopora_meandrina_HIv1___RNAseq.g9281.t1, Pocillopora_meandrina_HIv1___TS.g21825.t1, Pocillopora_meandrina_HIv1___TS.g21812.t1	Peve_00043446, Peve_00026983, Peve_00035960, Peve_00043443, Peve_00043444, Peve_00036584, Peve_00036585
N0.HOG0000762	OG0000584	n1	FUN_044971-T1		Peve_00015457
N0.HOG0000763	OG0000584	n3	FUN_045436-T1		Peve_00027090, Peve_00010822, Peve_00017564, Peve_00039997, Peve_00038190, Peve_00040649
N0.HOG0000764	OG0000584	n9	FUN_036775-T1	Pocillopora_meandrina_HIv1___RNAseq.g10301.t1, Pocillopora_meandrina_HIv1___RNAseq.g18245.t1, Pocillopora_meandrina_HIv1___TS.g6470.t1	Peve_00031218
N0.HOG0000765	OG0000585	n0	FUN_037716-T1, FUN_037726-T1	Pocillopora_meandrina_HIv1___RNAseq.g5352.t1, Pocillopora_meandrina_HIv1___RNAseq.g5351.t1	Peve_00029482, Peve_00029481, Peve_00018881, Peve_00031297, Peve_00031296, Peve_00018335, Peve_00009806, Peve_00009807, Peve_00018880, Peve_00029486
N0.HOG0000766	OG0000586	n0	FUN_038494-T1	Pocillopora_meandrina_HIv1___TS.g7989.t1, Pocillopora_meandrina_HIv1___TS.g7995.t1, Pocillopora_meandrina_HIv1___RNAseq.g28571.t1, Pocillopora_meandrina_HIv1___RNAseq.g28212.t1, Pocillopora_meandrina_HIv1___RNAseq.g28206.t1, Pocillopora_meandrina_HIv1___RNAseq.g28205.t1, Pocillopora_meandrina_HIv1___RNAseq.g28208.t1, Pocillopora_meandrina_HIv1___RNAseq.g28204.t1, Pocillopora_meandrina_HIv1___RNAseq.g28202.t1, Pocillopora_meandrina_HIv1___RNAseq.g28207.t1a	Peve_00037772, Peve_00037761, Peve_00037769
N0.HOG0000767	OG0000587	n0	FUN_044806-T1	Pocillopora_meandrina_HIv1___RNAseq.g16051.t1, Pocillopora_meandrina_HIv1___RNAseq.g20822.t2a, Pocillopora_meandrina_HIv1___RNAseq.g864.t1, Pocillopora_meandrina_HIv1___RNAseq.g9615.t1, Pocillopora_meandrina_HIv1___RNAseq.g25079.t1, Pocillopora_meandrina_HIv1___RNAseq.g19342.t1, Pocillopora_meandrina_HIv1___RNAseq.g11340.t1, Pocillopora_meandrina_HIv1___RNAseq.g17016.t1a, Pocillopora_meandrina_HIv1___RNAseq.g1203.t1, Pocillopora_meandrina_HIv1___RNAseq.g25078.t1, Pocillopora_meandrina_HIv1___RNAseq.g20552.t1, Pocillopora_meandrina_HIv1___TS.g15521.t1, Pocillopora_meandrina_HIv1___RNAseq.g17374.t1	
N0.HOG0000768	OG0000588	n1		Pocillopora_meandrina_HIv1___RNAseq.g12656.t1	Peve_00034729
N0.HOG0000769	OG0000588	n2	FUN_044897-T1, FUN_045604-T1	Pocillopora_meandrina_HIv1___RNAseq.g1231.t1, Pocillopora_meandrina_HIv1___RNAseq.g25841.t1, Pocillopora_meandrina_HIv1___RNAseq.g12657.t1, Pocillopora_meandrina_HIv1___RNAseq.g12923.t1a, Pocillopora_meandrina_HIv1___RNAseq.g14558.t1, Pocillopora_meandrina_HIv1___RNAseq.g11743.t1, Pocillopora_meandrina_HIv1___RNAseq.g1232.t1, Pocillopora_meandrina_HIv1___TS.g9282.t1b, Pocillopora_meandrina_HIv1___RNAseq.g25088.t1	Peve_00005394
N0.HOG0000770	OG0000589	n0	FUN_045425-T1	Pocillopora_meandrina_HIv1___TS.g9452.t1, Pocillopora_meandrina_HIv1___TS.g21317.t1, Pocillopora_meandrina_HIv1___RNAseq.g22890.t1, Pocillopora_meandrina_HIv1___RNAseq.g17671.t1, Pocillopora_meandrina_HIv1___RNAseq.g14506.t1, Pocillopora_meandrina_HIv1___RNAseq.g10148.t1, Pocillopora_meandrina_HIv1___RNAseq.g1205.t1, Pocillopora_meandrina_HIv1___RNAseq.g14830.t1, Pocillopora_meandrina_HIv1___RNAseq.g20554.t1, Pocillopora_meandrina_HIv1___RNAseq.g1227.t1, Pocillopora_meandrina_HIv1___TS.g25305.t1, Pocillopora_meandrina_HIv1___TS.g19980.t1, Pocillopora_meandrina_HIv1___RNAseq.g14507.t1	
N0.HOG0000771	OG0000590	n0	FUN_045478-T1	Pocillopora_meandrina_HIv1___TS.g19499.t1, Pocillopora_meandrina_HIv1___RNAseq.g14517.t1, Pocillopora_meandrina_HIv1___RNAseq.g4133.t1, Pocillopora_meandrina_HIv1___RNAseq.g11457.t1, Pocillopora_meandrina_HIv1___RNAseq.g6139.t1, Pocillopora_meandrina_HIv1___RNAseq.g14516.t1, Pocillopora_meandrina_HIv1___RNAseq.g4132.t1, Pocillopora_meandrina_HIv1___RNAseq.g11458.t1, Pocillopora_meandrina_HIv1___RNAseq.g29719.t1, Pocillopora_meandrina_HIv1___RNAseq.g3345.t1, Pocillopora_meandrina_HIv1___RNAseq.g6140.t1	Peve_00022520, Peve_00011351
N0.HOG0000772	OG0000591	n0	FUN_045515-T1	Pocillopora_meandrina_HIv1___RNAseq.g27017.t1, Pocillopora_meandrina_HIv1___RNAseq.g10149.t1, Pocillopora_meandrina_HIv1___RNAseq.g1271.t1, Pocillopora_meandrina_HIv1___RNAseq.g19367.t1	Peve_00009195, Peve_00010231, Peve_00032995, Peve_00001807, Peve_00023676, Peve_00008900, Peve_00010966, Peve_00030705, Peve_00021589
N0.HOG0000773	OG0000592	n0		Pocillopora_meandrina_HIv1___RNAseq.g20805.t1, Pocillopora_meandrina_HIv1___RNAseq.g20717.t1, Pocillopora_meandrina_HIv1___RNAseq.g20720.t1, Pocillopora_meandrina_HIv1___RNAseq.g20719.t1, Pocillopora_meandrina_HIv1___RNAseq.g20718.t1, Pocillopora_meandrina_HIv1___TS.g27743.t1, Pocillopora_meandrina_HIv1___RNAseq.g25568.t1, Pocillopora_meandrina_HIv1___RNAseq.g10522.t1, Pocillopora_meandrina_HIv1___RNAseq.g10516.t1a, Pocillopora_meandrina_HIv1___RNAseq.g15899.t1, Pocillopora_meandrina_HIv1___RNAseq.g10377.t1, Pocillopora_meandrina_HIv1___RNAseq.g22148.t1, Pocillopora_meandrina_HIv1___RNAseq.g25570.t1, Pocillopora_meandrina_HIv1___RNAseq.g8855.t1	
N0.HOG0000774	OG0000593	n0		Pocillopora_meandrina_HIv1___RNAseq.g14341.t1, Pocillopora_meandrina_HIv1___TS.g5928.t1, Pocillopora_meandrina_HIv1___RNAseq.g14986.t1, Pocillopora_meandrina_HIv1___RNAseq.g14371.t1, Pocillopora_meandrina_HIv1___RNAseq.g14369.t1, Pocillopora_meandrina_HIv1___RNAseq.g3111.t1, Pocillopora_meandrina_HIv1___RNAseq.g3110.t1, Pocillopora_meandrina_HIv1___RNAseq.g14373.t1, Pocillopora_meandrina_HIv1___RNAseq.g25111.t1, Pocillopora_meandrina_HIv1___RNAseq.g14372.t1, Pocillopora_meandrina_HIv1___RNAseq.g14362.t1, Pocillopora_meandrina_HIv1___RNAseq.g14458.t1, Pocillopora_meandrina_HIv1___RNAseq.g14370.t1	Peve_00017791
N0.HOG0000775	OG0000594	n0		Pocillopora_meandrina_HIv1___RNAseq.g14504.t1, Pocillopora_meandrina_HIv1___TS.g6029.t1, Pocillopora_meandrina_HIv1___TS.g5997.t1, Pocillopora_meandrina_HIv1___TS.g5999.t1, Pocillopora_meandrina_HIv1___RNAseq.g14595.t3, Pocillopora_meandrina_HIv1___RNAseq.g6138.t1a, Pocillopora_meandrina_HIv1___RNAseq.g25183.t2a, Pocillopora_meandrina_HIv1___RNAseq.g25194.t1, Pocillopora_meandrina_HIv1___RNAseq.g14621.t1, Pocillopora_meandrina_HIv1___RNAseq.g14595.t1, Pocillopora_meandrina_HIv1___RNAseq.g25183.t2b, Pocillopora_meandrina_HIv1___TS.g29569.t1, Pocillopora_meandrina_HIv1___RNAseq.g23193.t1, Pocillopora_meandrina_HIv1___RNAseq.g26911.t1	
N0.HOG0000776	OG0000595	n0		Pocillopora_meandrina_HIv1___RNAseq.g1228.t1, Pocillopora_meandrina_HIv1___RNAseq.g24535.t1, Pocillopora_meandrina_HIv1___RNAseq.g6484.t1b, Pocillopora_meandrina_HIv1___RNAseq.g16439.t1, Pocillopora_meandrina_HIv1___RNAseq.g14355.t1, Pocillopora_meandrina_HIv1___RNAseq.g28250.t1, Pocillopora_meandrina_HIv1___RNAseq.g6887.t1, Pocillopora_meandrina_HIv1___RNAseq.g28237.t1, Pocillopora_meandrina_HIv1___RNAseq.g6001.t1, Pocillopora_meandrina_HIv1___RNAseq.g347.t1, Pocillopora_meandrina_HIv1___RNAseq.g21859.t1, Pocillopora_meandrina_HIv1___RNAseq.g28251.t1	Peve_00041813, Peve_00038025
N0.HOG0000777	OG0000596	n0		Pocillopora_meandrina_HIv1___RNAseq.g22459.t1, Pocillopora_meandrina_HIv1___RNAseq.g22463.t1, Pocillopora_meandrina_HIv1___RNAseq.g22466.t1, Pocillopora_meandrina_HIv1___RNAseq.g22458.t1, Pocillopora_meandrina_HIv1___RNAseq.g22457.t1, Pocillopora_meandrina_HIv1___TS.g27220.t1, Pocillopora_meandrina_HIv1___RNAseq.g22455.t1, Pocillopora_meandrina_HIv1___RNAseq.g22461.t1, Pocillopora_meandrina_HIv1___RNAseq.g22462.t1, Pocillopora_meandrina_HIv1___RNAseq.g22467.t1, Pocillopora_meandrina_HIv1___RNAseq.g22460.t1, Pocillopora_meandrina_HIv1___RNAseq.g22454.t1, Pocillopora_meandrina_HIv1___RNAseq.g22465.t1, Pocillopora_meandrina_HIv1___TS.g27229.t1	
N0.HOG0000778	OG0000597	n0		Pocillopora_meandrina_HIv1___TS.g16071.t2, Pocillopora_meandrina_HIv1___RNAseq.g23189.t1, Pocillopora_meandrina_HIv1___RNAseq.g23186.t2, Pocillopora_meandrina_HIv1___RNAseq.g23188.t1, Pocillopora_meandrina_HIv1___RNAseq.g23185.t1, Pocillopora_meandrina_HIv1___RNAseq.g23184.t1, Pocillopora_meandrina_HIv1___RNAseq.g3075.t1, Pocillopora_meandrina_HIv1___RNAseq.g3007.t1, Pocillopora_meandrina_HIv1___RNAseq.g3008.t1, Pocillopora_meandrina_HIv1___TS.g26863.t1, Pocillopora_meandrina_HIv1___RNAseq.g11290.t1, Pocillopora_meandrina_HIv1___TS.g26744.t1a, Pocillopora_meandrina_HIv1___RNAseq.g26962.t1	Peve_00030372
N0.HOG0000779	OG0000598	n0		Pocillopora_meandrina_HIv1___RNAseq.g18093.t1, Pocillopora_meandrina_HIv1___TS.g26676.t1, Pocillopora_meandrina_HIv1___RNAseq.g8049.t1, Pocillopora_meandrina_HIv1___RNAseq.g3676.t1, Pocillopora_meandrina_HIv1___TS.g26899.t1, Pocillopora_meandrina_HIv1___TS.g3356.t1d, Pocillopora_meandrina_HIv1___TS.g22706.t1, Pocillopora_meandrina_HIv1___RNAseq.g3675.t1, Pocillopora_meandrina_HIv1___RNAseq.g11169.t1a, Pocillopora_meandrina_HIv1___TS.g3356.t1c, Pocillopora_meandrina_HIv1___TS.g14166.t1, Pocillopora_meandrina_HIv1___RNAseq.g15271.t1, Pocillopora_meandrina_HIv1___RNAseq.g15577.t1	Peve_00035006
N0.HOG0000780	OG0000599	n0		Pocillopora_meandrina_HIv1___RNAseq.g20716.t1	Peve_00037757, Peve_00026021, Peve_00019554, Peve_00001185, Peve_00016359, Peve_00001702, Peve_00020244, Peve_00016680, Peve_00031016, Peve_00007343, Peve_00031019, Peve_00024955, Peve_00000729
N0.HOG0000781	OG0000600	n0		Pocillopora_meandrina_HIv1___RNAseq.g20032.t1, Pocillopora_meandrina_HIv1___RNAseq.g20034.t1, Pocillopora_meandrina_HIv1___RNAseq.g20033.t1	Peve_00034790, Peve_00017667, Peve_00042617, Peve_00032278, Peve_00008300, Peve_00042614, Peve_00008306, Peve_00008303, Peve_00008305, Peve_00042623, Peve_00042622
N0.HOG0000782	OG0000601	n0			Peve_00041230, Peve_00000254, Peve_00033056, Peve_00026007, Peve_00012962, Peve_00012964, Peve_00026005, Peve_00009220, Peve_00044024, Peve_00012953, Peve_00044020, Peve_00012961, Peve_00012954, Peve_00026006
N0.HOG0000783	OG0000602	n0			Peve_00021314, Peve_00005676, Peve_00040246, Peve_00000272, Peve_00012887, Peve_00028353, Peve_00008226, Peve_00028354, Peve_00040248, Peve_00005962, Peve_00010466, Peve_00025683, Peve_00020864, Peve_00001031
N0.HOG0000784	OG0000603	n0			Peve_00025583, Peve_00011200, Peve_00005800, Peve_00011203, Peve_00015805, Peve_00015807, Peve_00025584, Peve_00038473, Peve_00004106, Peve_00011031, Peve_00000308, Peve_00000300, Peve_00025585, Peve_00005802
N0.HOG0000785	OG0000604	n0			Peve_00016878, Peve_00000450, Peve_00036399, Peve_00036279, Peve_00022785, Peve_00011255, Peve_00012755, Peve_00021134, Peve_00018913, Peve_00021141, Peve_00030336, Peve_00021140, Peve_00029064, Peve_00021137
N0.HOG0000786	OG0000605	n0			Peve_00023039, Peve_00000915, Peve_00017271, Peve_00017275, Peve_00013244, Peve_00013242, Peve_00023040, Peve_00017270, Peve_00004408, Peve_00013245, Peve_00030060, Peve_00024744, Peve_00013246, Peve_00013243
N0.HOG0000787	OG0000606	n0			Peve_00039786, Peve_00033884, Peve_00029167, Peve_00019812, Peve_00020167, Peve_00030335, Peve_00017330, Peve_00022426, Peve_00041582, Peve_00002107, Peve_00016291, Peve_00015671, Peve_00020396, Peve_00014170
N0.HOG0000788	OG0000607	n0			Peve_00033068, Peve_00033067, Peve_00008649, Peve_00028215, Peve_00002584, Peve_00040884, Peve_00034446, Peve_00017230, Peve_00045339, Peve_00015842, Peve_00040494, Peve_00044538, Peve_00034467, Peve_00008284
N0.HOG0000789	OG0000608	n0			Peve_00003288, Peve_00037974, Peve_00043951, Peve_00009899, Peve_00003292, Peve_00043953, Peve_00027495, Peve_00043956, Peve_00003287, Peve_00016412, Peve_00041099, Peve_00016418, Peve_00014478, Peve_00037969
N0.HOG0000790	OG0000609	n0			Peve_00010166, Peve_00027870, Peve_00033677, Peve_00004565, Peve_00042819, Peve_00012908, Peve_00004569, Peve_00026480, Peve_00021697, Peve_00023786, Peve_00004573, Peve_00010167, Peve_00033712, Peve_00031867
N0.HOG0000791	OG0000610	n0			Peve_00020828, Peve_00013043, Peve_00004744, Peve_00009186, Peve_00020827, Peve_00029871, Peve_00024961, Peve_00013042, Peve_00024967, Peve_00013041, Peve_00013039, Peve_00013040, Peve_00013044, Peve_00020830
N0.HOG0000792	OG0000611	n0			Peve_00008533, Peve_00041457, Peve_00041460, Peve_00041462, Peve_00017291, Peve_00035949, Peve_00041458, Peve_00024842, Peve_00013273, Peve_00012581, Peve_00013272, Peve_00013271, Peve_00040586, Peve_00008542
N0.HOG0000793	OG0000612	n0			Peve_00024704, Peve_00032570, Peve_00033106, Peve_00023503, Peve_00044476, Peve_00044472, Peve_00008560, Peve_00014955, Peve_00033749, Peve_00033748, Peve_00023908, Peve_00023907, Peve_00024701, Peve_00029273
N0.HOG0000794	OG0000613	n0	FUN_025714-T1, FUN_044178-T1, FUN_042680-T1, FUN_000038-T1, FUN_042689-T1, FUN_042683-T1, FUN_042686-T1, FUN_044187-T1, FUN_044194-T1, FUN_008505-T1, FUN_044264-T1, FUN_044190-T1, FUN_044257-T1		
N0.HOG0000795	OG0000614	n0	FUN_000108-T1, FUN_000075-T1		Peve_00014934, Peve_00008655, Peve_00008657, Peve_00024901, Peve_00007762, Peve_00004153, Peve_00018786, Peve_00007207, Peve_00014933, Peve_00004155, Peve_00043172
N0.HOG0000796	OG0000615	n0	FUN_001811-T1, FUN_001817-T1, FUN_001840-T1, FUN_000360-T1, FUN_001831-T1, FUN_001818-T1, FUN_001822-T1, FUN_001822-T2, FUN_001800-T1, FUN_001812-T1, FUN_001801-T1, FUN_001801-T2, FUN_001801-T3		
N0.HOG0000797	OG0000616	n0	FUN_006900-T1, FUN_001125-T1, FUN_001128-T1, FUN_001126-T1, FUN_001123-T1, FUN_001124-T1	Pocillopora_meandrina_HIv1___RNAseq.g28713.t1	Peve_00023615, Peve_00023614, Peve_00013191, Peve_00012028, Peve_00013195, Peve_00013194
N0.HOG0000798	OG0000617	n0	FUN_014519-T1, FUN_014521-T1, FUN_014520-T1, FUN_001253-T1, FUN_025652-T1, FUN_014634-T1, FUN_001254-T1, FUN_024178-T1, FUN_024180-T1, FUN_024179-T1, FUN_014635-T1, FUN_042647-T1, FUN_014990-T1		
N0.HOG0000799	OG0000618	n1	FUN_016880-T1, FUN_040294-T1	Pocillopora_meandrina_HIv1___RNAseq.g1823.t1	Peve_00027105
N0.HOG0000800	OG0000618	n4	FUN_001435-T1, FUN_001440-T1, FUN_001429-T1, FUN_001430-T1, FUN_001443-T1, FUN_001439-T1, FUN_001445-T1, FUN_001433-T1		Peve_00018453
N0.HOG0000801	OG0000619	n0	FUN_005973-T1, FUN_005982-T1, FUN_005974-T1, FUN_005987-T1, FUN_007106-T1, FUN_001521-T1	Pocillopora_meandrina_HIv1___TS.g12018.t1, Pocillopora_meandrina_HIv1___RNAseq.g14975.t1	Peve_00041910, Peve_00013080, Peve_00029800, Peve_00011051, Peve_00041914
N0.HOG0000802	OG0000620	n0	FUN_025424-T1, FUN_005826-T1, FUN_031178-T1, FUN_018248-T1, FUN_019074-T1, FUN_016155-T1, FUN_036014-T1, FUN_043060-T1, FUN_002498-T1, FUN_011797-T1, FUN_010128-T1, FUN_013152-T1, FUN_001935-T1		
N0.HOG0000803	OG0000621	n0	FUN_019614-T1, FUN_001980-T1, FUN_026667-T1, FUN_042256-T1, FUN_002034-T1	Pocillopora_meandrina_HIv1___RNAseq.g10113.t1, Pocillopora_meandrina_HIv1___RNAseq.g12926.t1	Peve_00037570, Peve_00000489, Peve_00001971, Peve_00001781, Peve_00035544, Peve_00037048
N0.HOG0000804	OG0000622	n0	FUN_030883-T1, FUN_027694-T1, FUN_036947-T1, FUN_002138-T1, FUN_033304-T1, FUN_033303-T1, FUN_043796-T1, FUN_033629-T1, FUN_003444-T1	Pocillopora_meandrina_HIv1___TS.g7638.t1, Pocillopora_meandrina_HIv1___RNAseq.g29564.t1	Peve_00037342, Peve_00043919
N0.HOG0000805	OG0000623	n0	FUN_017247-T1, FUN_042487-T1, FUN_002165-T1, FUN_042349-T1, FUN_003504-T1, FUN_033633-T1, FUN_009793-T1, FUN_011753-T1, FUN_017632-T1, FUN_029956-T1, FUN_003637-T1, FUN_011365-T1, FUN_010175-T1		
N0.HOG0000806	OG0000624	n0	FUN_036559-T1, FUN_040924-T1, FUN_036481-T1, FUN_002176-T1, FUN_041144-T1, FUN_034768-T1, FUN_021111-T1, FUN_005495-T1, FUN_009967-T1, FUN_017226-T1, FUN_011440-T1, FUN_029779-T1, FUN_014414-T1		
N0.HOG0000807	OG0000625	n1	FUN_002177-T1		Peve_00004302
N0.HOG0000808	OG0000625	n2	FUN_026500-T1		Peve_00011707, Peve_00009357, Peve_00032202, Peve_00031711, Peve_00010010, Peve_00017891, Peve_00012156, Peve_00035327, Peve_00034613, Peve_00042178
