"","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"77",31160,"Cluster_6914","Peve_00012096",0.491149649949668,0.673153635859973,0.978262075707395,162,-22.58,"2 20","427 448",19,"73.68%","84.21%"
"78",31235,"Cluster_1167","Peve_00012094",0.903208049381211,0.282411016339115,0.978262075707395,160,-25.03,"2 21","632 653",19,"68.42%","78.95%"
"79",31311,"Cluster_11134","Peve_00012093",0.135349197658078,0.913568746942343,0.999448381576871,154,-22.61,"2 16","35 58",16,"81.25%","81.25%"
"80",32093,"Cluster_2882","Peve_00043872",-0.221661772972479,0.857703825740684,0.995934364227446,142,-21.59,"2 20","623 651",25,"60.00%","64.00%"
"81",32430,"Cluster_9149","Peve_00015373",-0.716432687710147,0.491547372396074,0.978262075707395,155,-23.3,"2 17","95 117",16,"75.00%","87.50%"
"82",32777,"Cluster_6904","Peve_00018631",0.942871445939377,0.216227680823179,0.978262075707395,151,-20.95,"2 17","522 544",16,"75.00%","81.25%"
"83",32970,"Cluster_9149","Peve_00018638",-0.5,0.666666666666667,0.978262075707395,150,-24.37,"2 11","229 250",9,"100.00%","100.00%"
"84",33114,"Cluster_13502","Peve_00015952",0.997844556977271,0.0418062711782387,0.909359886114279,162,-21.27,"2 19","471 492",17,"76.47%","82.35%"
"85",33261,"Cluster_2787","Peve_00015956",0.867933894665659,0.330895275232091,0.978262075707395,142,-20.15,"2 21","603 631",26,"61.54%","65.38%"
"86",33351,"Cluster_2787","Peve_00015954",0.915469496120001,0.263639000703321,0.978262075707395,162,-23.27,"2 16","605 627",15,"86.67%","93.33%"
"87",33381,"Cluster_11134","Peve_00015954",0.0859761032553724,0.945198256029055,0.999448381576871,168,-24.82,"2 17","911 932",15,"86.67%","93.33%"
"89",33977,"Cluster_589","Peve_00043253",0.254676094397093,0.836062299150708,0.995934364227446,155,-23.55,"2 12","237 258",10,"100.00%","100.00%"
"90",34205,"Cluster_1167","Peve_00043255",0.934594582589545,0.231525051438805,0.978262075707395,151,-20.58,"2 16","972 993",14,"78.57%","78.57%"
"91",34291,"Cluster_29","Peve_00014796",-0.368569774287229,0.759695126986102,0.988219883885475,163,-20.09,"2 21","290 313",21,"66.67%","85.71%"
"92",35625,"Cluster_9149","Peve_00000950",-0.530914621111018,0.643696967318726,0.978262075707395,149,-23.36,"2 19","654 671",17,"76.47%","76.47%"
"93",36177,"Cluster_15726","Peve_00040751",0.409472213034631,0.731425729304172,0.984875474239448,150,-23.49,"2 21","228 248",19,"68.42%","73.68%"
"94",36677,"Cluster_589","Peve_00035550",-0.975813921435687,0.140299809445224,0.978262075707395,155,-23.55,"2 12","730 751",10,"100.00%","100.00%"
"95",36902,"Cluster_589","Peve_00033788",0.159680919674548,0.897906931664995,0.999448381576871,156,-20.9,"2 20","619 638",18,"72.22%","83.33%"
"96",37162,"Cluster_11135","Peve_00033785",0.389287341276078,0.745442633743431,0.987366286869687,163,-20.89,"2 21","808 830",20,"70.00%","85.00%"
"97",37666,"Cluster_29","Peve_00041803",-0.95795731448529,0.185256641609839,0.978262075707395,160,-22.47,"2 20","751 775",21,"76.19%","85.71%"
"98",38075,"Cluster_1167","Peve_00044326",0.87966160096372,0.315538117094371,0.978262075707395,141,-21.22,"2 16","477 504",20,"70.00%","70.00%"
"99",38075,"Cluster_1167","Peve_00044326",0.87966160096372,0.315538117094371,0.978262075707395,144,-20.02,"2 18","241 264",18,"66.67%","72.22%"
"100",38075,"Cluster_1167","Peve_00044326",0.87966160096372,0.315538117094371,0.978262075707395,144,-20.61,"2 18","709 732",18,"66.67%","72.22%"
"101",38145,"Cluster_9149","Peve_00044327",0.892711956251587,0.297599627259818,0.978262075707395,152,-20.37,"2 21","587 605",19,"73.68%","73.68%"
"102",38189,"Cluster_8988","Peve_00044324",0.00830668455821486,0.994711739550347,0.999448381576871,164,-21.12,"2 17","116 137",15,"80.00%","93.33%"
"103",38353,"Cluster_4735","Peve_00004507",-0.499055763751742,0.667360561442896,0.978262075707395,157,-20.5,"2 20","108 128",18,"72.22%","83.33%"
"104",38705,"Cluster_1167","Peve_00032789",0.4610628902044,0.694936498274576,0.978262075707395,153,-21.53,"2 21","313 340",25,"72.00%","72.00%"
"105",38885,"Cluster_1167","Peve_00010863",0.992234890982229,0.0793871715760993,0.978262075707395,145,-20.42,"2 19","49 71",18,"66.67%","72.22%"
"106",39602,"Cluster_589","Peve_00019220",-0.801271959357038,0.408314024815898,0.978262075707395,165,-28.04,"2 20","802 822",18,"77.78%","88.89%"
"107",40170,"Cluster_9149","Peve_00038781",-0.0820144647626005,0.94772925930155,0.999448381576871,166,-21.35,"2 19","122 143",17,"82.35%","82.35%"
"108",40682,"Cluster_589","Peve_00029609",-0.642203340279065,0.556040956302545,0.978262075707395,155,-23.41,"2 12","527 548",10,"100.00%","100.00%"
"109",40745,"Cluster_6914","Peve_00016568",0.95678183695816,0.187847289465867,0.978262075707395,157,-22.5,"2 20","286 308",20,"70.00%","85.00%"
"110",41252,"Cluster_10060","Peve_00014061",-0.732992461699907,0.47624607954137,0.978262075707395,166,-22.52,"2 20","384 408",21,"76.19%","80.95%"
"112",43116,"Cluster_2787","Peve_00005044",0.867933894665659,0.330895275232091,0.978262075707395,156,-21.57,"2 13","504 525",11,"90.91%","100.00%"
"113",43781,"Cluster_14999","Peve_00023299",-0.90594181020657,0.278328563669732,0.978262075707395,167,-21.66,"2 17","154 176",16,"87.50%","93.75%"
"114",43890,"Cluster_5882","Peve_00023293",-0.968739261167441,0.159599910760673,0.978262075707395,161,-21.18,"2 19","36 58",18,"72.22%","88.89%"
"116",44805,"Cluster_9149","Peve_00006532",-0.771388877632978,0.439124742327824,0.978262075707395,142,-22.63,"2 21","374 398",22,"59.09%","72.73%"
"121",45507,"Cluster_4629","Peve_00035611",0.0558367272176816,0.964434738537409,0.999448381576871,163,-25.59,"2 21","533 555",20,"65.00%","90.00%"
"122",47073,"Cluster_796","Peve_00027101",0.954017724036939,0.193806668464751,0.978262075707395,155,-21.46,"2 20","77 98",18,"66.67%","77.78%"
"123",47415,"Cluster_9149","Peve_00011253",-0.551370623074399,0.628210062882611,0.978262075707395,152,-21.89,"2 21","961 982",19,"63.16%","73.68%"
"124",48322,"Cluster_11135","Peve_00013094",0.641626448829066,0.556519923539791,0.978262075707395,157,-22.08,"2 19","626 649",19,"68.42%","84.21%"
"125",48364,"Cluster_10934","Peve_00013095",-0.0420352317209879,0.973231653297393,0.999448381576871,163,-22.92,"2 21","937 959",20,"75.00%","80.00%"
"126",48373,"Cluster_15890","Peve_00013095",-0.99757658370632,0.0443299128918105,0.926127022176621,180,-23.84,"2 21","676 697",19,"84.21%","89.47%"
"127",48450,"Cluster_9149","Peve_00013097",-0.809770565233956,0.399183099170274,0.978262075707395,157,-20.88,"2 14","588 609",12,"91.67%","91.67%"
"128",48594,"Cluster_13502","Peve_00039257",0.257303735391603,0.834331830140354,0.995934364227446,200,-40.02,"2 21","850 871",19,"100.00%","100.00%"
"129",49672,"Cluster_11135","Peve_00020221",0.844443877729655,0.359862212804899,0.978262075707395,160,-20.87,"2 18","322 344",17,"82.35%","82.35%"
"130",50767,"Cluster_2854","Peve_00044378",-0.743122849152393,0.466687574853706,0.978262075707395,160,-20.79,"2 18","377 401",19,"73.68%","84.21%"
"131",51128,"Cluster_2882","Peve_00041686",-0.898389711968954,0.289475524970989,0.978262075707395,168,-22.11,"2 21","226 247",19,"68.42%","89.47%"
"132",51686,"Cluster_8884","Peve_00043934",0.844023627644647,0.360361376930212,0.978262075707395,195,-34.9,"2 20","707 727",18,"100.00%","100.00%"
"133",51687,"Cluster_8887","Peve_00043934",0.95919344463284,0.182493794656647,0.978262075707395,195,-37.56,"2 20","707 727",18,"100.00%","100.00%"
"134",51688,"Cluster_8888","Peve_00043934",0.897592589889809,0.290628818214082,0.978262075707395,195,-39.19,"2 20","707 727",18,"100.00%","100.00%"
"135",52476,"Cluster_2787","Peve_00043687",-0.972545288651367,0.149521009442806,0.978262075707395,151,-20.33,"2 17","289 311",16,"75.00%","81.25%"
"136",52971,"Cluster_2787","Peve_00019753",0.950413624646263,0.201320237615395,0.978262075707395,161,-22.27,"2 18","895 916",16,"75.00%","87.50%"
"137",53091,"Cluster_11134","Peve_00015233",-0.856078539892879,0.345787863891157,0.978262075707395,151,-20.75,"2 12","524 545",10,"90.00%","100.00%"
"138",53112,"Cluster_4629","Peve_00015231",-0.341885224710884,0.777869179595863,0.993041249086501,167,-29.78,"2 21","638 661",21,"76.19%","80.95%"
"139",53250,"Cluster_5882","Peve_00015234",0.490154400272193,0.673880773766397,0.978262075707395,151,-21.4,"2 21","783 805",20,"60.00%","80.00%"
"140",54119,"Cluster_8988","Peve_00036930",-0.246168907684073,0.841656410474464,0.995934364227446,159,-22.71,"2 21","894 919",23,"65.22%","78.26%"
"141",54570,"Cluster_9149","Peve_00004063",-0.795749857374899,0.414154010727954,0.978262075707395,148,-20.56,"2 19","98 118",17,"64.71%","82.35%"
"142",54615,"Cluster_9149","Peve_00001233",-0.5,0.666666666666667,0.978262075707395,161,-26.19,"2 14","601 622",12,"91.67%","100.00%"
"143",55277,"Cluster_6904","Peve_00030428",0.742592842212241,0.467191590606991,0.978262075707395,158,-27.77,"2 21","574 597",21,"66.67%","85.71%"
"144",55279,"Cluster_6906","Peve_00030428",0.973101367926096,0.147992105390084,0.978262075707395,166,-28.49,"2 21","574 597",21,"71.43%","90.48%"
"145",55342,"Cluster_11135","Peve_00030429",0.537378723899158,0.638829168067299,0.978262075707395,155,-21.46,"2 21","813 836",21,"66.67%","76.19%"
"146",55677,"Cluster_4629","Peve_00034505",0.997938030915673,0.0408894104551382,0.909359886114279,158,-20.97,"2 20","824 846",19,"68.42%","84.21%"
"147",56042,"Cluster_6904","Peve_00018190",-0.951310992493219,0.199475076059675,0.978262075707395,159,-21.81,"2 20","723 744",18,"66.67%","83.33%"
"148",56460,"Cluster_9149","Peve_00007170",-0.702482477624325,0.504149839908326,0.978262075707395,146,-21.3,"2 11","1 16",9,"88.89%","100.00%"
"149",56492,"Cluster_6904","Peve_00007171",0.807934326017399,0.40117113687066,0.978262075707395,155,-20.16,"2 18","611 631",16,"81.25%","81.25%"
"150",56530,"Cluster_4080","Peve_00035488",-0.763288241353977,0.447167268224907,0.978262075707395,166,-20.17,"2 21","81 104",21,"76.19%","85.71%"
"151",56808,"Cluster_6905","Peve_00023820",-0.91209508067308,0.268927766945705,0.978262075707395,148,-23.48,"2 13","431 452",11,"81.82%","90.91%"
"152",56841,"Cluster_2787","Peve_00023821",0.0495528258027282,0.968440766795971,0.999448381576871,158,-21.33,"2 21","86 110",22,"68.18%","81.82%"
"153",57927,"Cluster_4629","Peve_00007823",0.967684759055735,0.16228386362466,0.978262075707395,151,-20.66,"2 21","542 565",21,"66.67%","71.43%"
"154",58191,"Cluster_2787","Peve_00027347",0.630578672858647,0.565635234611323,0.978262075707395,161,-24.48,"2 20","68 91",20,"75.00%","85.00%"
"155",58236,"Cluster_2787","Peve_00027346",0.981358557231542,0.123115251235074,0.978262075707395,161,-24.48,"2 20","68 91",20,"75.00%","85.00%"
"156",59002,"Cluster_2854","Peve_00009466",-0.845973210128434,0.358040470050356,0.978262075707395,157,-20.21,"2 21","45 67",21,"71.43%","80.95%"
"157",59375,"Cluster_6914","Peve_00029413",0.992714239036179,0.0768947365714533,0.978262075707395,173,-21.1,"2 18","833 853",16,"87.50%","93.75%"
"158",60336,"Cluster_11134","Peve_00030746",-0.290272080189818,0.812508380380798,0.995934364227446,154,-20.28,"2 21","709 729",19,"63.16%","84.21%"
"159",60492,"Cluster_4629","Peve_00031293",-0.390719037694159,0.744452806396853,0.987197309954181,155,-21.77,"2 21","285 309",22,"63.64%","77.27%"
"160",61046,"Cluster_8884","Peve_00020751",-0.994265595189033,0.0682098427573981,0.978262075707395,170,-23.5,"2 20","62 83",19,"78.95%","89.47%"
"161",61047,"Cluster_8887","Peve_00020751",-0.985201616566502,0.109657739516166,0.978262075707395,170,-23.5,"2 20","62 83",19,"78.95%","89.47%"
"162",61048,"Cluster_8888","Peve_00020751",-0.609450322193467,0.582780352386895,0.978262075707395,170,-23.74,"2 20","62 83",19,"78.95%","89.47%"
"163",61136,"Cluster_8884","Peve_00020753",-0.947118896471404,0.207959151134339,0.978262075707395,170,-23.5,"2 20","62 83",19,"78.95%","89.47%"
"164",61137,"Cluster_8887","Peve_00020753",-0.821901473199095,0.385826733407904,0.978262075707395,170,-23.5,"2 20","62 83",19,"78.95%","89.47%"
"165",61138,"Cluster_8888","Peve_00020753",-0.219753560508399,0.858949346278634,0.995934364227446,170,-23.74,"2 20","62 83",19,"78.95%","89.47%"
"166",61777,"Cluster_11135","Peve_00006706",0.330394430175901,0.785636471795003,0.994879653208015,150,-20.76,"2 19","592 613",17,"58.82%","82.35%"
"167",61911,"Cluster_11134","Peve_00006705",0.875640822838247,0.320878802775509,0.978262075707395,150,-21.92,"2 16","971 993",15,"73.33%","86.67%"
"168",62049,"Cluster_13502","Peve_00006701",0.063055306810569,0.959831096479895,0.999448381576871,170,-25.38,"2 19","120 141",17,"76.47%","94.12%"
"169",62470,"Cluster_4080","Peve_00021405",0.0966894033674828,0.938349297926935,0.999448381576871,175,-22.04,"2 20","76 97",18,"83.33%","88.89%"
"170",63434,"Cluster_8988","Peve_00012936",0.758542187632656,0.45182390691845,0.978262075707395,158,-20.01,"2 21","408 428",19,"63.16%","89.47%"
"171",63615,"Cluster_9149","Peve_00029784",-0.5,0.666666666666667,0.978262075707395,161,-23.72,"2 18","807 828",16,"75.00%","87.50%"
"172",63767,"Cluster_589","Peve_00024867",0.215454912020844,0.86175314051756,0.996611113450215,170,-24.15,"2 19","94 115",17,"82.35%","88.24%"
"173",64290,"Cluster_9149","Peve_00010792",-0.673819341236973,0.529305197194449,0.978262075707395,163,-23.82,"2 20","266 287",18,"72.22%","83.33%"
"174",64682,"Cluster_6904","Peve_00011776",-0.951310992493219,0.199475076059675,0.978262075707395,143,-20.99,"2 21","834 858",22,"59.09%","68.18%"
"175",65672,"Cluster_6904","Peve_00010423",-0.951310992493219,0.199475076059675,0.978262075707395,158,-21.6,"2 21","893 913",19,"68.42%","84.21%"
"176",65674,"Cluster_6906","Peve_00010423",-0.686063329690759,0.518674561276582,0.978262075707395,158,-21.6,"2 21","893 913",19,"68.42%","84.21%"
"177",65781,"Cluster_11134","Peve_00010429",0.0856826438312012,0.945385770056313,0.999448381576871,148,-21.39,"2 14","52 75",14,"78.57%","85.71%"
"178",66840,"Cluster_5882","Peve_00039041",0.415049322538645,0.727528637816425,0.983792337076078,167,-27.87,"2 17","546 569",17,"88.24%","88.24%"
"179",67107,"Cluster_4629","Peve_00029667",0.997938030915673,0.0408894104551382,0.909359886114279,154,-20.44,"2 19","313 334",17,"70.59%","76.47%"
"180",67337,"Cluster_6904","Peve_00012158",0.342003598131734,0.777788986723782,0.993032175831671,152,-20.36,"2 18","977 999",17,"70.59%","82.35%"
"181",67339,"Cluster_6906","Peve_00012158",-0.151760475211785,0.903011528059311,0.999448381576871,152,-20.81,"2 18","977 999",17,"70.59%","82.35%"
"182",67422,"Cluster_4629","Peve_00002471",-0.765254522086073,0.445226213975171,0.978262075707395,166,-26.6,"2 20","975 997",19,"78.95%","84.21%"
"183",68050,"Cluster_4080","Peve_00042986",0.995069943523853,0.0632411347771786,0.978262075707395,166,-21.48,"2 20","837 859",19,"73.68%","89.47%"
"184",68272,"Cluster_2854","Peve_00041187",-0.945089156654587,0.211949200042434,0.978262075707395,149,-20.22,"2 21","117 140",22,"63.64%","77.27%"
"185",68277,"Cluster_4629","Peve_00041187",0.705857228187026,0.501124001282144,0.978262075707395,154,-22.16,"2 19","715 736",17,"64.71%","82.35%"
"186",69246,"Cluster_11134","Peve_00016481",0.372888029894863,0.756735108869313,0.988219883885475,153,-21.17,"2 15","397 419",14,"78.57%","92.86%"
"190",70662,"Cluster_4629","Peve_00018306",-0.776276454607042,0.434212176619684,0.978262075707395,154,-20.11,"2 20","51 73",19,"68.42%","78.95%"
