transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
mrna-21546,136,60,337,44,144
mrna-21545,0,17,0,0,0
mrna-21544,54,0,0,31,31
mrna-21549,88,0,176,89,139
mrna-21548,307,148,437,141,333
mrna-35097,0,0,3,0,26
mrna-26423,0,0,0,0,0
mrna-28391,1419,142,507,297,397
mrna-28390,244,106,415,115,390
mrna-28393,659,145,0,204,668
mrna-28392,34128,18491,45776,34919,57051
mrna-28395,6,3,58,0,0
mrna-28394,0,0,0,0,0
mrna-28397,0,60,0,0,0
mrna-28396,1811,463,2634,433,1634
mrna-28399,14,0,0,0,30
mrna-28398,141,13,55,37,165
mrna-29046,423,241,486,165,451
mrna-29047,28,8,0,12,69
mrna-29044,22,6,29,21,27
mrna-29045,4,8,25,2,14
mrna-29042,303,53,729,83,488
mrna-29043,2613,997,790,746,3217
mrna-29040,1,0,0,0,0
mrna-29041,248,32,300,249,210
mrna-29048,0,0,0,0,0
mrna-29049,93,21,68,0,22
mrna-08616,41,69,226,72,58
mrna-08617,344,101,550,158,71
mrna-08614,1,0,0,0,0
mrna-08615,313,77,258,73,140
mrna-08612,27,26,0,0,11
mrna-08613,179,112,446,97,319
mrna-08610,99,13,0,116,48
mrna-08611,0,0,0,0,0
mrna-08618,13,0,0,14,4
mrna-08619,46,6,0,8,28
mrna-17519,0,0,0,0,0
mrna-17518,0,0,0,0,0
mrna-12749,2,0,0,0,0
mrna-12748,0,0,0,4,0
mrna-17511,49,59,80,34,85
mrna-12746,0,0,0,19,0
mrna-17513,133,28,307,35,66
mrna-17512,22,0,80,3,0
mrna-12743,0,0,0,0,0
mrna-17514,2,8,0,0,0
mrna-12741,204,17,546,163,262
mrna-17516,2,14,0,0,0
mrna-11218,103,2,136,24,32
mrna-11219,185,0,292,85,34
mrna-11214,4,0,0,0,0
mrna-11215,0,0,0,0,0
mrna-11216,9613,2175,3409,4706,13297
mrna-11217,1445,1108,1781,864,1962
mrna-11210,268,11,621,4,69
mrna-11211,32,0,0,0,0
mrna-11212,0,0,0,0,0
mrna-11213,2970,179,6695,2160,3048
mrna-19023,0,0,0,0,0
mrna-19022,297,0,558,62,165
mrna-19021,32,0,104,16,24
mrna-19020,67,0,130,53,71
mrna-19027,6,0,0,0,0
mrna-19026,271,184,1112,274,774
mrna-19025,19,20,0,8,14
mrna-19024,17,20,0,33,47
mrna-33427,0,0,0,0,0
mrna-19029,26,0,103,7,57
mrna-19028,0,0,0,0,0
mrna-26135,24,0,0,0,0
mrna-26134,23,19,15,4,13
mrna-33425,0,0,0,0,0
mrna-33424,0,0,0,0,0
mrna-04949,0,0,0,0,0
mrna-33429,0,0,0,0,0
mrna-33428,0,0,0,0,0
mrna-27882,46,66,726,192,128
mrna-27883,646,98,143,194,738
mrna-27888,0,0,0,0,0
mrna-02163,0,0,0,0,0
mrna-04945,0,0,0,0,0
mrna-30666,0,224,287,392,219
mrna-30667,4,0,0,0,0
mrna-30661,448,26,353,328,344
mrna-04612,34,0,0,0,0
mrna-04613,43,30,0,0,9
mrna-04610,17,12,95,0,19
mrna-04611,59,0,15,0,8
mrna-13502,20,7,186,1,19
mrna-13503,3,0,0,0,0
mrna-13500,131,109,579,131,146
mrna-13501,0,0,88,12,9
mrna-01228,0,0,0,0,0
mrna-01229,0,0,0,0,0
mrna-04618,0,0,0,0,0
mrna-04619,0,0,0,0,0
mrna-13508,0,3,0,0,0
mrna-13509,62,6,23,19,33
mrna-09057,78,0,107,38,20
mrna-09056,410,232,1174,458,798
mrna-09055,0,388,0,11,0
mrna-09054,45,951,175,28,78
mrna-09053,0,0,0,0,0
mrna-09052,746,513,841,368,588
mrna-09051,157,61,264,107,259
mrna-09050,346,531,1468,464,598
mrna-09059,59,101,634,63,165
mrna-09058,0,0,0,0,0
mrna-07109,349,63,328,43,152
mrna-30668,0,0,0,0,13
mrna-07108,43,0,175,45,49
mrna-30669,24,9,0,0,44
mrna-38414,0,0,0,0,0
mrna-26500,0,0,0,0,0
mrna-28809,94,36,139,47,50
mrna-28808,0,0,0,17,0
mrna-15829,0,0,0,0,0
mrna-15828,32,0,0,0,64
mrna-28801,60,32,252,28,93
mrna-28800,8,58,713,158,155
mrna-28803,237,59,305,83,236
mrna-28802,0,0,729,13,30
mrna-15823,207,16,0,120,95
mrna-15822,5,3,3,11,3
mrna-28807,31,19,28,219,49
mrna-28806,21,26,0,14,101
mrna-11755,0,0,0,0,0
mrna-11754,0,0,0,0,0
mrna-11759,156,0,0,0,0
mrna-11758,0,0,0,0,0
mrna-02751,0,0,0,0,0
mrna-02750,0,0,0,0,0
mrna-02753,376,64,657,314,320
mrna-02752,13,0,0,0,16
mrna-02755,22,16,25,6,74
mrna-02754,264,47,341,106,420
mrna-02757,102,49,0,28,52
mrna-02756,0,3,0,0,11
mrna-02759,0,0,0,0,0
mrna-02758,0,0,0,0,0
mrna-03486,43,5,80,5,19
mrna-03487,0,0,0,2,0
mrna-00669,300,81,939,211,372
mrna-00668,2568,1005,3944,1847,2911
mrna-03482,0,0,0,2,0
mrna-03483,0,0,0,0,0
mrna-03480,145,80,330,148,96
mrna-03481,76,0,300,46,98
mrna-00663,3265,835,2052,869,3754
mrna-00662,1256,298,571,347,1543
mrna-00661,0,0,0,0,0
mrna-00660,0,0,0,0,39
mrna-00667,56,25,129,18,37
mrna-00666,275,35,238,129,161
mrna-03488,0,0,0,34,0
mrna-03489,3,0,0,0,2
mrna-10485,0,0,88,0,13
mrna-26504,0,0,0,0,0
mrna-02289,61,0,0,0,17
mrna-02288,0,0,0,0,12
mrna-02283,31,3,13,3,58
mrna-02282,0,7,0,0,0
mrna-02281,0,0,0,0,0
mrna-02280,11,2,46,0,11
mrna-02287,0,0,20,4,0
mrna-02286,0,0,0,0,0
mrna-02285,0,0,0,0,0
mrna-02284,0,0,0,0,0
mrna-05255,57,0,145,24,77
mrna-05254,0,0,0,0,13
mrna-05257,929,32,1786,532,1273
mrna-05256,0,0,0,0,0
mrna-05251,494,118,813,266,620
mrna-05250,0,4,0,10,0
mrna-05253,0,0,0,0,0
mrna-05252,217,172,395,220,117
mrna-05259,31,20,104,26,25
mrna-05258,10,0,44,0,0
mrna-00599,89,36,140,66,638
mrna-00598,687,490,1874,526,1115
mrna-00595,0,0,0,0,0
mrna-00594,5,20,18,16,121
mrna-00597,57,178,698,96,94
mrna-00596,0,0,0,0,0
mrna-00591,1577,699,1474,728,954
mrna-00590,237,53,289,111,97
mrna-00593,86,133,371,92,159
mrna-00592,814,527,1869,1028,1099
mrna-06500,31,3,0,0,0
mrna-06501,210,163,195,118,484
mrna-06502,147,52,538,52,180
mrna-06503,1752,920,1040,1190,2883
mrna-06504,814,87,62,91,48
mrna-06505,62,44,247,37,21
mrna-06506,0,8,0,0,0
mrna-06507,0,0,0,0,0
mrna-06508,1754,195,291,516,7392
mrna-06509,0,0,0,0,0
mrna-10489,1217,257,930,787,1060
mrna-25019,0,0,0,0,0
mrna-25018,1,0,0,0,0
mrna-25015,0,0,0,0,0
mrna-25014,0,0,0,0,0
mrna-25017,0,0,0,0,0
mrna-25016,1352,486,1024,609,1451
mrna-25011,0,0,0,0,0
mrna-25010,364,77,685,265,331
mrna-25013,0,0,0,0,0
mrna-25012,0,0,0,0,0
mrna-12296,0,0,0,0,29
mrna-17544,0,0,0,0,0
mrna-12293,0,0,0,0,0
mrna-12292,0,0,0,14,0
mrna-03158,0,39,0,0,7
mrna-03159,276,125,589,2,229
mrna-03150,21,0,0,0,0
mrna-03151,4,0,0,0,0
mrna-03152,1077,443,2513,888,1129
mrna-03153,0,0,0,0,0
mrna-03154,5,0,52,0,22
mrna-03155,6,223,866,222,1152
mrna-03156,998,271,2156,1341,4174
mrna-03157,0,0,0,2,23
mrna-15012,6,0,0,5,13
mrna-15013,68,0,0,11,8
mrna-30158,0,0,0,0,0
mrna-30159,0,0,0,4,0
mrna-30156,0,0,0,0,0
mrna-30157,0,0,0,3,0
mrna-30154,0,0,0,0,0
mrna-30155,0,0,0,0,2
mrna-30152,0,0,0,0,0
mrna-30153,0,0,0,0,0
mrna-30150,122,27,11,53,74
mrna-30151,171,44,167,63,100
mrna-07671,697,86,38,61,61
mrna-07670,182,313,1037,552,1180
mrna-07673,322,259,481,250,457
mrna-07672,0,0,0,0,0
mrna-07675,7,4,0,3,0
mrna-07674,24,7,0,0,0
mrna-07677,251,159,199,36,249
mrna-07676,6,0,0,0,0
mrna-07679,63,0,0,16,72
mrna-07678,21,17,362,151,128
mrna-27262,25,18,93,10,11
mrna-22542,35,44,69,36,76
mrna-22543,51,0,0,34,33
mrna-22540,0,12,0,0,104
mrna-22541,2,9,0,0,27
mrna-22546,4567,2852,4121,2308,5931
mrna-22547,767,124,172,290,858
mrna-22544,571,174,1224,525,762
mrna-22545,1921,697,886,572,2354
mrna-22548,528,163,969,438,180
mrna-22549,3,0,0,0,3
mrna-27263,43,13,150,26,16
mrna-16970,0,3,0,3,523
mrna-23949,0,0,0,0,0
mrna-23948,0,17,0,0,18
mrna-22094,0,0,0,0,0
mrna-22095,205,92,252,52,385
mrna-22096,188,85,256,138,84
mrna-22097,0,0,0,0,0
mrna-22090,25,6,58,4,4
mrna-22091,94,50,0,25,0
mrna-22092,93,43,826,60,207
mrna-22093,334,154,395,184,365
mrna-22098,1,2,4,0,0
mrna-22099,0,0,0,0,0
mrna-36419,139,38,209,32,216
mrna-36418,5691,2913,4366,4312,10580
mrna-36415,291,112,802,314,277
mrna-36414,26,0,0,31,64
mrna-36417,0,0,0,0,0
mrna-36416,162,99,306,43,113
mrna-36411,4081,1033,3932,1317,4982
mrna-36410,1257,844,4962,2214,2235
mrna-36413,0,0,0,0,0
mrna-36412,0,0,0,0,0
mrna-23941,151,76,6,66,178
mrna-23940,0,0,0,5,0
mrna-23943,0,0,0,0,0
mrna-34927,22,0,0,13,10
mrna-34926,20,4,8,14,31
mrna-34925,372,616,29,58,417
mrna-34924,0,0,0,0,0
mrna-34923,203,155,0,56,145
mrna-34922,2684,105,3552,1544,3087
mrna-34921,77,34,0,0,55
mrna-34920,54,145,0,18,130
mrna-18864,0,0,0,0,0
mrna-34929,488,22,41,0,216
mrna-34928,14,0,0,0,12
mrna-31035,37,52,487,0,50
mrna-23947,45,0,47,30,471
mrna-23946,0,0,0,0,0
mrna-18367,0,0,0,0,5
mrna-18366,12,0,13,0,0
mrna-18365,42,18,0,0,47
mrna-18364,0,0,0,0,0
mrna-18363,0,24,68,5,28
mrna-18362,0,0,0,0,0
mrna-18361,69,0,114,0,81
mrna-18360,0,0,0,0,0
mrna-26739,0,0,0,0,0
mrna-26738,0,0,0,0,0
mrna-26735,644,288,1193,243,1608
mrna-26734,684,322,1234,264,1755
mrna-26737,66,45,293,33,142
mrna-26736,6,4,109,7,0
mrna-26731,0,0,0,0,0
mrna-26730,0,0,0,0,0
mrna-26733,96,77,145,24,165
mrna-26732,0,3,362,5,4
mrna-27062,2325,933,3607,2338,3124
mrna-27063,2386,871,3028,1298,2502
mrna-27060,0,0,0,0,0
mrna-27061,220,187,293,48,129
mrna-27066,65,21,325,24,85
mrna-27067,435,195,217,36,134
mrna-27064,16,27,216,109,97
mrna-27065,28,6,0,0,0
mrna-27068,96,95,114,18,174
mrna-27069,6141,3369,7121,3034,6926
mrna-20077,0,0,0,0,65
mrna-01149,7575,275,12787,12959,6126
mrna-01148,29,0,0,34,8
mrna-01141,1720,817,2945,1586,2273
mrna-01140,0,0,0,0,0
mrna-01143,309,80,910,219,394
mrna-01142,4,9,0,0,34
mrna-01145,0,0,28,7,25
mrna-01144,2,3,0,2,3
mrna-01147,22,31,374,144,288
mrna-01146,81,98,231,93,193
mrna-30978,0,4,235,0,0
mrna-30979,0,0,0,0,0
mrna-30970,34,6,0,0,66
mrna-30971,0,0,0,13,0
mrna-30972,0,9,0,0,0
mrna-30973,0,0,32,0,0
mrna-30974,1,4,47,2,23
mrna-30975,30,0,0,0,1
mrna-30976,15,0,0,0,27
mrna-30977,0,0,0,0,0
mrna-35339,485,650,551,159,527
mrna-35338,1862,700,155,1732,2775
mrna-15881,0,0,0,0,0
mrna-35335,9,0,0,8,5
mrna-35334,23,0,168,25,31
mrna-35337,14,24,0,50,3
mrna-35336,18,0,0,3,0
mrna-35331,3486,728,2962,1600,4876
mrna-35330,55,0,166,18,34
mrna-35333,24,21,6,0,10
mrna-35332,900,270,712,432,1188
mrna-16620,0,0,0,0,0
mrna-16621,0,0,0,0,48
mrna-16622,0,0,0,0,0
mrna-16623,0,0,0,0,0
mrna-16624,0,0,0,0,0
mrna-16625,0,0,0,0,0
mrna-16626,0,0,0,0,0
mrna-16627,950,420,2036,660,985
mrna-16628,7,74,0,0,20
mrna-16629,0,0,0,0,0
mrna-21039,0,0,0,23,0
mrna-21038,95,7,755,146,53
mrna-21033,37,13,0,22,23
mrna-21032,68,15,889,104,170
mrna-21031,30,0,0,0,147
mrna-21030,451,75,142,84,642
mrna-21037,31,8,20,16,50
mrna-21036,55,25,181,10,363
mrna-21035,55,2,160,5,500
mrna-21034,123,142,204,11,145
mrna-24005,301,333,1156,170,499
mrna-08455,215,133,732,161,54
mrna-24007,1072,546,2503,906,1954
mrna-24006,17,11,0,0,0
mrna-24001,10267,6817,12406,6836,12327
mrna-24000,45,0,238,10,32
mrna-24003,2853,817,1181,1924,4272
mrna-24002,298,266,752,592,386
mrna-24009,92,88,268,134,397
mrna-08459,1557,1241,2209,763,2685
mrna-34336,0,15,0,0,0
mrna-39720,0,36,156,37,0
mrna-34337,11,4,29,0,6
mrna-00456,1787,602,1160,557,2200
mrna-35803,0,48,284,60,434
mrna-35802,0,84,409,127,728
mrna-35801,2,0,21,3,5
mrna-35800,0,0,0,0,0
mrna-35807,119,0,79,167,0
mrna-35806,2823,1741,1466,1320,3897
mrna-35805,659,295,801,318,599
mrna-35804,0,0,0,0,15
mrna-00450,162,56,232,166,255
mrna-35809,141,0,97,42,43
mrna-35808,0,0,0,0,0
mrna-00451,0,0,7,0,0
mrna-19221,4341,1439,3996,1150,5290
mrna-19220,265,172,433,112,237
mrna-19223,95,41,258,33,88
mrna-19222,23,0,0,0,6
mrna-19225,0,0,0,0,0
mrna-19224,0,0,0,0,0
mrna-19227,850,522,1804,555,1356
mrna-19226,31,0,0,20,28
mrna-19229,1550,954,737,948,2189
mrna-19228,272,376,773,226,406
mrna-00453,16,0,40,0,0
mrna-10507,1261,349,3896,4070,1944
mrna-10506,29,12,121,9,92
mrna-10505,2065,1165,3576,1315,2855
mrna-10504,25,17,67,4,30
mrna-10503,1076,32,193,235,713
mrna-10502,108,180,278,80,199
mrna-10501,2618,1081,3904,2238,3061
mrna-10500,0,0,0,3,0
mrna-10509,0,0,0,0,0
mrna-10508,500,101,1955,1274,711
mrna-25358,4,0,0,0,0
mrna-25359,47,19,61,31,33
mrna-25352,824,287,933,405,983
mrna-32929,4529,875,3811,2024,4366
mrna-25350,0,28,19,0,7
mrna-25351,0,0,0,0,0
mrna-25356,140,31,217,93,263
mrna-25357,0,0,0,0,0
mrna-25354,12,13,0,0,3
mrna-32928,311,328,539,134,284
mrna-06249,0,0,0,0,0
mrna-06248,370,213,398,202,260
mrna-39402,0,8,0,0,18
mrna-33315,169,0,351,150,161
mrna-33314,701,130,1267,456,862
mrna-33317,97,23,128,15,174
mrna-33316,88,41,436,17,65
mrna-20805,254,154,886,187,342
mrna-20804,178,28,280,28,134
mrna-20807,89,86,146,16,54
mrna-20806,521,257,856,239,553
mrna-20809,12,0,0,0,0
mrna-20808,103,65,327,53,108
mrna-33319,18,0,0,0,0
mrna-33318,403,120,311,261,454
mrna-37405,0,0,0,0,0
mrna-37404,450,108,33,0,215
mrna-37407,10,0,6,0,5
mrna-37406,0,0,0,17,0
mrna-37401,11,0,0,3,0
mrna-37400,950,845,400,379,2144
mrna-37403,0,1,74,0,7
mrna-37402,0,5,45,0,0
mrna-37409,0,0,0,0,0
mrna-37408,0,0,0,0,0
mrna-32451,64,0,0,53,45
mrna-17999,219,97,78,241,370
mrna-17998,187,79,86,165,195
mrna-17995,0,0,0,0,0
mrna-17994,0,0,0,0,0
mrna-17997,618,348,1664,622,484
mrna-17996,311,86,377,115,731
mrna-17991,500,141,1262,333,575
mrna-17990,119,254,1018,22,672
mrna-17993,0,0,0,0,0
mrna-17992,156,11,70,24,254
mrna-13795,28,0,0,13,54
mrna-32048,5018,1747,354,2822,5004
mrna-32049,7017,1400,2451,2826,10031
mrna-32042,194,0,3,7,15
mrna-32043,3,0,20,0,0
mrna-32040,2,0,0,0,0
mrna-32041,0,0,37,0,7
mrna-32046,170,0,0,0,0
mrna-32047,138,31,1111,170,193
mrna-32044,9,53,0,12,42
mrna-32045,0,0,0,0,0
mrna-36758,136,134,127,186,137
mrna-36759,0,0,0,2,11
mrna-36752,10,10,176,27,68
mrna-36753,314168,136687,264586,109284,294967
mrna-36750,4,6,59,1,31
mrna-36751,354,379,847,361,733
mrna-36756,116,46,269,76,104
mrna-36757,82,77,512,49,157
mrna-36754,65,57,181,43,181
mrna-36755,274,179,1592,275,536
mrna-26078,772,212,2951,188,1048
mrna-26079,19,33,138,44,100
mrna-26072,19,0,0,4,5
mrna-26073,186,119,365,123,161
mrna-26070,834,664,596,303,902
mrna-26071,6544,2923,7330,5674,8943
mrna-26076,44,16,124,16,52
mrna-26077,235,170,977,266,240
mrna-26074,0,0,0,25,13
mrna-26075,64,27,105,21,110
mrna-28928,0,0,0,0,0
mrna-28929,0,0,0,0,0
mrna-28926,11,26,23,13,12
mrna-28927,6,44,0,0,10
mrna-28924,0,0,0,0,0
mrna-28925,19,4,245,0,0
mrna-28922,75,0,0,31,22
mrna-28923,146,185,0,0,111
mrna-28920,4,0,0,0,15
mrna-28921,672,312,1354,1084,780
mrna-21868,896,120,949,318,894
mrna-21869,6217,869,5900,3852,10288
mrna-21860,404,181,249,121,317
mrna-17330,14,0,0,0,0
mrna-21862,4639,2635,2395,2185,6695
mrna-21863,2,0,3,15,12
mrna-17335,0,0,0,0,0
mrna-21865,0,0,0,0,11
mrna-21866,132,27,291,91,363
mrna-21867,52,114,386,44,342
mrna-14972,0,0,0,0,0
mrna-14973,0,11,0,0,0
mrna-14970,0,0,0,0,6
mrna-14971,0,0,0,0,2
mrna-14976,50,37,24,33,165
mrna-14977,0,0,0,0,0
mrna-14974,0,0,0,0,0
mrna-14975,0,0,0,0,0
mrna-14978,0,15,42,0,11
mrna-14979,0,0,0,0,0
mrna-20167,0,0,0,0,0
mrna-23592,545,127,763,218,874
mrna-23593,334,445,1636,345,783
mrna-23590,436,137,953,328,332
mrna-23591,0,0,0,0,50
mrna-23596,28,21,241,73,40
mrna-23597,1702,676,1794,582,1579
mrna-23594,186,52,500,191,76
mrna-23595,0,0,0,0,0
mrna-23598,21,7,63,33,99
mrna-23599,37,55,580,49,171
mrna-25382,0,0,0,0,2
mrna-12747,3,0,0,18,0
mrna-17510,0,0,0,0,0
mrna-12745,0,0,0,0,0
mrna-12744,42476,10638,11864,19607,56572
mrna-17515,0,0,0,0,0
mrna-12742,80,23,0,65,70
mrna-17517,0,4,0,2,0
mrna-12740,161,81,42,40,82
mrna-28218,0,0,0,0,0
mrna-28219,0,0,0,0,0
mrna-39838,128,250,307,214,168
mrna-39839,0,0,0,0,0
mrna-28214,0,1,0,0,0
mrna-28215,0,0,0,0,0
mrna-39834,226,51,803,105,191
mrna-28217,20,0,209,47,194
mrna-28210,0,0,0,0,0
mrna-39833,714,276,1413,505,693
mrna-39830,0,0,0,0,0
mrna-39831,1901,1449,4775,1283,3338
mrna-20023,1573,735,1172,522,1479
mrna-20022,0,0,0,4,0
mrna-20021,0,0,0,0,0
mrna-20020,0,0,0,0,0
mrna-20027,28,4,741,0,84
mrna-20026,220,94,1019,162,182
mrna-20025,314,279,911,144,371
mrna-20024,1,0,42,0,10
mrna-20029,1407,3339,3179,2062,2580
mrna-20028,3830,1206,4441,2274,5225
mrna-20169,45,0,98,0,71
mrna-12468,53,0,0,0,2
mrna-12469,0,0,0,0,0
mrna-12462,6,0,52,0,20
mrna-12463,0,0,0,0,0
mrna-12460,98,0,129,105,26
mrna-12461,0,0,0,0,0
mrna-12466,0,0,0,0,0
mrna-12467,0,0,18,0,0
mrna-12464,0,0,0,0,0
mrna-12465,0,0,0,0,0
mrna-04384,118,80,727,94,96
mrna-04385,982,616,2770,872,1369
mrna-04386,180,113,154,57,203
mrna-04387,286,280,589,106,345
mrna-04380,6,4,1,0,10
mrna-04381,2,4,0,0,0
mrna-15209,24,50,238,26,89
mrna-15208,194,108,218,260,501
mrna-15207,29,2,3,3,23
mrna-15206,0,0,0,0,4
mrna-15205,0,0,0,0,0
mrna-15204,0,45,297,0,0
mrna-04388,0,19,0,0,18
mrna-04389,43,61,115,41,102
mrna-15201,86,13,238,146,273
mrna-15200,0,0,0,0,0
mrna-35121,277,89,0,141,639
mrna-22970,0,0,0,0,0
mrna-05475,127,108,352,86,63
mrna-05474,105,165,331,138,141
mrna-05477,37,57,115,23,61
mrna-05476,209,239,835,180,379
mrna-05471,212,63,1006,231,588
mrna-05470,49,11,182,20,179
mrna-05473,549,397,941,429,716
mrna-05472,364,343,735,191,526
mrna-14154,0,0,0,3,0
mrna-14155,700,66,961,290,836
mrna-14156,6,9,0,10,20
mrna-14157,59,34,87,27,56
mrna-05479,1466,546,3731,1262,1349
mrna-05478,77,94,400,99,241
mrna-14152,0,0,0,0,13
mrna-14153,0,114,82,0,21
mrna-09152,17,0,0,0,6
mrna-09153,0,0,0,0,0
mrna-09150,0,0,0,0,6
mrna-09151,2,0,0,0,35
mrna-09156,0,0,0,0,10
mrna-09157,94,24,140,43,133
mrna-09154,0,0,0,0,0
mrna-09155,0,0,0,0,0
mrna-09158,0,0,0,0,0
mrna-09159,10,0,0,0,0
mrna-30439,0,0,0,0,0
mrna-30438,0,0,0,0,0
mrna-37688,0,0,0,0,0
mrna-37687,4,0,0,0,0
mrna-37686,0,10,0,0,0
mrna-37685,0,0,0,0,0
mrna-37684,6,0,40,0,0
mrna-22937,0,0,0,0,3
mrna-22936,0,0,0,0,23
mrna-22935,11,84,0,69,0
mrna-01389,0,0,0,0,0
mrna-01388,0,0,0,0,0
mrna-01387,0,0,0,0,0
mrna-01386,0,0,0,0,0
mrna-01385,0,0,0,0,0
mrna-01384,4,0,5,1,4
mrna-01383,0,0,0,0,0
mrna-01382,62,0,0,14,34
mrna-01381,0,0,0,0,0
mrna-01380,0,0,0,0,0
mrna-30435,0,0,68,0,18
mrna-30434,8,4,0,7,11
mrna-04403,0,0,0,0,0
mrna-04402,66,47,262,26,76
mrna-04401,1003,1327,846,284,836
mrna-04400,40,31,468,42,144
mrna-04407,2257,366,1505,556,2019
mrna-04406,36,0,205,0,16
mrna-04405,0,0,0,0,0
mrna-04404,158,0,0,72,108
mrna-15782,0,0,0,0,0
mrna-15783,0,0,0,0,0
mrna-15780,7,3,15,0,17
mrna-04408,0,0,0,0,0
mrna-15786,59,0,68,19,10
mrna-15787,47,4,13,17,23
mrna-15784,25,0,0,0,5
mrna-15785,11,0,0,0,0
mrna-02126,426,149,1140,352,640
mrna-02127,6845,2773,5388,2841,8592
mrna-02124,169,105,465,87,98
mrna-02125,33,36,191,29,126
mrna-02122,1426,951,877,754,1798
mrna-02123,517,22,97,60,86
mrna-02120,19,25,0,23,94
mrna-02121,251,88,651,127,234
mrna-02128,144,123,609,161,160
mrna-02129,205,80,724,119,120
mrna-03839,271,105,670,170,577
mrna-03838,20,0,0,0,16
mrna-03833,1049,412,1785,433,1613
mrna-03832,484,15,460,78,151
mrna-03831,128,60,420,118,127
mrna-03830,158,62,461,123,143
mrna-03837,676,304,1212,510,1158
mrna-03836,4598,2449,6571,2745,10812
mrna-03835,147,159,24,155,153
mrna-03834,0,0,0,0,0
mrna-24249,22,21,613,101,167
mrna-24248,0,0,81,31,41
mrna-24243,146,38,514,138,108
mrna-24242,52,7,183,16,22
mrna-24241,300,157,362,163,282
mrna-24240,82,81,156,70,93
mrna-24247,195,105,176,60,107
mrna-24246,0,0,2,0,0
mrna-24245,0,0,0,0,0
mrna-24244,426,137,988,3,225
mrna-00418,0,0,0,0,0
mrna-00419,1019,4818,1893,632,1451
