feature_type,feature_id,genomic_context_binary,genomic_context_proportional,max_prop,TE_exonic_prop,TE_intronic_prop,exon_prop,intron_prop,TE_intergenic_prop,intergenic_prop
miRNA_precursor,Cluster_10057,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_10093,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_10207,TE_intronic,intron,0.911,0,0.089,0,0.911,0,0
miRNA_precursor,Cluster_10228,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_10419,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_14402,TE_intronic,intron,0.648,0,0.352,0,0.648,0,0
miRNA_precursor,Cluster_14768,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15316,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15340,exon,exon,1,0,0,1,0,0,0
miRNA_precursor,Cluster_15671,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15775,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15851,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15854,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_15928,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_16409,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_17776,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_17791,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_18711,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_18723,intron,intron,1,0,0,0,1,0,0
miRNA_precursor,Cluster_18728,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_18772,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_precursor,Cluster_19193,intron,intron,1,0,0,0,1,0,0
miRNA_promoter,Cluster_1826,TE_intergenic,intergenic,0.853,0,0,0,0,0.147,0.853
miRNA_promoter,Cluster_1832,exon,intergenic,0.41,0,0,0.361,0.083,0.146,0.41
miRNA_promoter,Cluster_1862,exon,intergenic,0.394,0,0,0.219,0.386,0,0.394
miRNA_promoter,Cluster_1951,TE_intronic,intron,0.734,0,0.032,0.234,0.734,0,0
miRNA_promoter,Cluster_2463,exon,intergenic,0.543,0,0,0.444,0,0.012,0.543
miRNA_promoter,Cluster_2859,intergenic,intergenic,1,0,0,0,0,0,1
miRNA_promoter,Cluster_3250,exon,exon,0.663,0,0,0.663,0.337,0,0
miRNA_promoter,Cluster_3366,TE_intronic,intron,0.578,0,0.035,0.388,0.578,0,0
miRNA_promoter,Cluster_3367,TE_intronic,intron,0.578,0,0.035,0.388,0.578,0,0
miRNA_promoter,Cluster_3437,exon,intergenic,0.474,0,0,0.136,0.309,0.081,0.474
miRNA_promoter,Cluster_4220,exon,intergenic,0.508,0,0,0.177,0.315,0,0.508
miRNA_promoter,Cluster_4254,TE_intergenic,intergenic,0.829,0,0,0,0,0.171,0.829
miRNA_promoter,Cluster_5012,TE_intergenic,intergenic,0.795,0,0,0,0,0.205,0.795
miRNA_promoter,Cluster_5899,TE_intronic,intron,0.721,0,0.011,0.268,0.721,0,0
miRNA_promoter,Cluster_5900,TE_intronic,intron,0.721,0,0.011,0.268,0.721,0,0
miRNA_promoter,Cluster_5981,exon,exon,0.757,0,0,0.757,0.243,0,0
miRNA_promoter,Cluster_10051,exon,intergenic,0.556,0,0,0.348,0.097,0,0.556
miRNA_promoter,Cluster_10057,exon,intron,0.562,0,0,0.438,0.562,0,0
miRNA_promoter,Cluster_10093,exon,exon,0.916,0,0,0.916,0.084,0,0
miRNA_promoter,Cluster_10207,TE_intronic,intron,0.748,0,0.041,0.211,0.748,0,0
miRNA_promoter,Cluster_10228,TE_intergenic,intergenic,0.915,0,0,0,0,0.085,0.915
miRNA_promoter,Cluster_10419,TE_intronic,intergenic,0.514,0,0.074,0.041,0.37,0,0.514
miRNA_promoter,Cluster_14402,exon,intergenic,0.514,0,0,0.444,0,0.041,0.514
miRNA_promoter,Cluster_14768,TE_intergenic,intergenic,0.807,0,0,0,0,0.193,0.807
miRNA_promoter,Cluster_15316,exon,intron,0.738,0,0,0.156,0.738,0.043,0.063
miRNA_promoter,Cluster_15340,exon,exon,0.5,0,0,0.5,0.5,0,0
miRNA_promoter,Cluster_15671,TE_exonic,exon,0.835,0.165,0,0.835,0,0,0
miRNA_promoter,Cluster_15775,exon,intergenic,0.527,0,0,0.473,0,0,0.527
miRNA_promoter,Cluster_15851,TE_intergenic,intergenic,0.945,0,0,0,0,0.055,0.945
miRNA_promoter,Cluster_15854,TE_intergenic,intergenic,0.961,0,0,0,0,0.039,0.961
miRNA_promoter,Cluster_15928,TE_intronic,intron,0.856,0,0.048,0.096,0.856,0,0
miRNA_promoter,Cluster_16409,TE_intergenic,intergenic,0.785,0,0,0,0,0.215,0.785
miRNA_promoter,Cluster_17776,intergenic,intergenic,1,0,0,0,0,0,1
miRNA_promoter,Cluster_17791,exon,intergenic,0.805,0,0,0.171,0.024,0,0.805
miRNA_promoter,Cluster_18711,TE_intronic,intron,0.738,0,0.202,0.06,0.738,0,0
miRNA_promoter,Cluster_18723,exon,intron,0.745,0,0,0.255,0.745,0,0
miRNA_promoter,Cluster_18728,intergenic,intergenic,0,0,0,0,0,0,0
miRNA_promoter,Cluster_18772,intergenic,intergenic,1,0,0,0,0,0,1
miRNA_promoter,Cluster_19193,exon,intergenic,0.45,0,0,0.241,0.264,0.044,0.45
lncRNA_body,lncRNA_001,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_002,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_003,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_004,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_005,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_006,TE_intronic,intron,0.752,0,0.099,0.148,0.752,0,0
lncRNA_body,lncRNA_007,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_008,TE_exonic,intron,0.511,0.489,0,0,0.511,0,0
lncRNA_body,lncRNA_009,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_010,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_011,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_012,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_013,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_014,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_015,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_016,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_017,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_018,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_019,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_020,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_021,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_022,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_023,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_024,TE_intronic,intron,0.662,0,0.05,0.288,0.662,0,0
lncRNA_body,lncRNA_025,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_026,TE_intronic,intron,0.594,0,0.055,0.351,0.594,0,0
lncRNA_body,lncRNA_027,TE_intronic,intron,0.594,0,0.055,0.351,0.594,0,0
lncRNA_body,lncRNA_028,TE_intronic,intron,0.641,0,0.051,0.307,0.641,0,0
lncRNA_body,lncRNA_029,TE_intronic,intron,0.63,0,0.049,0.32,0.63,0,0
lncRNA_body,lncRNA_030,TE_intronic,intron,0.624,0,0.05,0.326,0.624,0,0
lncRNA_body,lncRNA_031,TE_intronic,intron,0.556,0,0.047,0.397,0.556,0,0
lncRNA_body,lncRNA_032,TE_intronic,intron,0.663,0,0.054,0.283,0.663,0,0
lncRNA_body,lncRNA_033,TE_intronic,intron,0.624,0,0.05,0.326,0.624,0,0
lncRNA_body,lncRNA_034,TE_intronic,intron,0.551,0,0.053,0.396,0.551,0,0
lncRNA_body,lncRNA_035,TE_intronic,intron,0.551,0,0.054,0.394,0.551,0,0
lncRNA_body,lncRNA_036,TE_intronic,intron,0.549,0,0.054,0.397,0.549,0,0
lncRNA_body,lncRNA_037,TE_intronic,intron,0.547,0,0.054,0.399,0.547,0,0
lncRNA_body,lncRNA_038,TE_intronic,intron,0.63,0,0.07,0.3,0.63,0,0
lncRNA_body,lncRNA_039,TE_intronic,intron,0.52,0,0.051,0.429,0.52,0,0
lncRNA_body,lncRNA_040,TE_intronic,intron,0.52,0,0.051,0.429,0.52,0,0
lncRNA_body,lncRNA_041,TE_intronic,intron,0.52,0,0.051,0.429,0.52,0,0
lncRNA_body,lncRNA_042,TE_intronic,intron,0.529,0,0.059,0.413,0.529,0,0
lncRNA_body,lncRNA_043,TE_intronic,intron,0.52,0,0.051,0.429,0.52,0,0
lncRNA_body,lncRNA_044,TE_intronic,intron,0.846,0,0.154,0,0.846,0,0
lncRNA_body,lncRNA_045,TE_intronic,intron,0.858,0,0.142,0,0.858,0,0
lncRNA_body,lncRNA_046,TE_intronic,intron,0.838,0,0.162,0,0.838,0,0
lncRNA_body,lncRNA_047,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_048,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_049,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_050,TE_intronic,intron,0.802,0,0.126,0.072,0.802,0,0
lncRNA_body,lncRNA_051,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_052,exon,exon,0.595,0,0,0.595,0.405,0,0
lncRNA_body,lncRNA_053,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_054,exon,intron,0.763,0,0,0.162,0.763,0.075,0
lncRNA_body,lncRNA_055,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_056,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_057,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_058,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_059,TE_intronic,exon,0.757,0,0.085,0.757,0.158,0,0
lncRNA_body,lncRNA_060,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_061,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_062,exon,intron,0.958,0,0,0.042,0.958,0,0
lncRNA_body,lncRNA_063,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_064,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_065,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_066,TE_intronic,intron,0.773,0,0.132,0.086,0.773,0.008,0
lncRNA_body,lncRNA_067,TE_intronic,exon,0.439,0,0.174,0.439,0.388,0,0
lncRNA_body,lncRNA_068,TE_intronic,exon,0.439,0,0.174,0.439,0.388,0,0
lncRNA_body,lncRNA_069,TE_intronic,exon,0.439,0,0.174,0.439,0.388,0,0
lncRNA_body,lncRNA_070,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_071,TE_intronic,intron,0.663,0,0.109,0.228,0.663,0,0
lncRNA_body,lncRNA_072,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_073,TE_intronic,intron,0.912,0,0.088,0,0.912,0,0
lncRNA_body,lncRNA_074,TE_intronic,intron,0.731,0,0.034,0.234,0.731,0,0
lncRNA_body,lncRNA_075,TE_intronic,intron,0.972,0,0.028,0,0.972,0,0
lncRNA_body,lncRNA_076,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_077,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_078,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_079,TE_intronic,intron,0.887,0,0.098,0.015,0.887,0,0
lncRNA_body,lncRNA_080,TE_intronic,intron,0.887,0,0.098,0.015,0.887,0,0
lncRNA_body,lncRNA_081,TE_intronic,intron,0.95,0,0.05,0,0.95,0,0
lncRNA_body,lncRNA_082,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_083,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_084,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_085,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_086,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_087,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_088,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_089,TE_intronic,intron,0.814,0,0.084,0.102,0.814,0,0
lncRNA_body,lncRNA_090,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_091,exon,exon,0.551,0,0,0.551,0.449,0,0
lncRNA_body,lncRNA_092,exon,exon,0.551,0,0,0.551,0.449,0,0
lncRNA_body,lncRNA_093,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_094,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_095,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_096,exon,intron,0.652,0,0,0.348,0.652,0,0
lncRNA_body,lncRNA_097,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_098,TE_intronic,intron,0.557,0,0.443,0,0.557,0,0
lncRNA_body,lncRNA_099,TE_intronic,intron,0.677,0,0.068,0.255,0.677,0,0
lncRNA_body,lncRNA_100,TE_intronic,intron,0.672,0,0.067,0.261,0.672,0,0
lncRNA_body,lncRNA_101,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_102,TE_intronic,intron,0.82,0,0.036,0.144,0.82,0,0
lncRNA_body,lncRNA_103,TE_exonic,exon,0.471,0.011,0.066,0.471,0.451,0,0
lncRNA_body,lncRNA_104,TE_exonic,exon,0.471,0.011,0.066,0.471,0.451,0,0
lncRNA_body,lncRNA_105,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_106,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_107,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_108,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_109,TE_intronic,intron,0.96,0,0.039,0.001,0.96,0,0
lncRNA_body,lncRNA_110,exon,intron,0.964,0,0,0.036,0.964,0,0
lncRNA_body,lncRNA_111,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_112,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_113,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_114,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_115,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_116,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_117,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_118,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_119,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_120,exon,intron,0.604,0,0,0.396,0.604,0,0
lncRNA_body,lncRNA_121,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_122,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_123,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_124,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_125,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_126,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_127,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_128,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_129,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_130,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_131,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_132,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_133,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_134,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_135,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_136,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_137,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_138,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_139,TE_intronic,intron,0.746,0,0.113,0.141,0.746,0,0
lncRNA_body,lncRNA_140,TE_intronic,exon,0.41,0,0.184,0.41,0.406,0,0
lncRNA_body,lncRNA_141,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_142,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_143,TE_intronic,intron,0.928,0,0.034,0.038,0.928,0,0
lncRNA_body,lncRNA_144,TE_intronic,intron,0.927,0,0.034,0.038,0.927,0,0
lncRNA_body,lncRNA_145,exon,intron,0.995,0,0,0.005,0.995,0,0
lncRNA_body,lncRNA_146,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_147,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_148,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_149,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_150,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_151,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_152,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_153,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_154,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_155,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_156,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_157,TE_intronic,intron,0.89,0,0.097,0.012,0.89,0,0
lncRNA_body,lncRNA_158,TE_intronic,intron,0.878,0,0.108,0.015,0.878,0,0
lncRNA_body,lncRNA_159,TE_intronic,intron,0.636,0,0.364,0,0.636,0,0
lncRNA_body,lncRNA_160,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_161,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_162,TE_intronic,intron,0.741,0,0.159,0.101,0.741,0,0
lncRNA_body,lncRNA_163,TE_intronic,intron,0.944,0,0.056,0,0.944,0,0
lncRNA_body,lncRNA_164,exon,exon,0.585,0,0,0.585,0.415,0,0
lncRNA_body,lncRNA_165,exon,exon,0.585,0,0,0.585,0.415,0,0
lncRNA_body,lncRNA_166,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_167,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_168,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_169,exon,intron,0.783,0,0,0.217,0.783,0,0
lncRNA_body,lncRNA_170,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_171,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_172,TE_exonic,intron,0.818,0.002,0.135,0.046,0.818,0,0
lncRNA_body,lncRNA_173,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_174,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_175,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_176,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_177,exon,exon,0.97,0,0,0.97,0.03,0,0
lncRNA_body,lncRNA_178,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_179,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_180,exon,exon,1,0,0,1,0,0,0
lncRNA_body,lncRNA_181,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_182,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_183,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_184,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_185,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_186,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_187,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_188,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_189,TE_intronic,intron,0.988,0,0.012,0,0.988,0,0
lncRNA_body,lncRNA_190,TE_intronic,intron,0.93,0,0.07,0,0.93,0,0
lncRNA_body,lncRNA_191,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_192,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_193,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_194,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_195,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_196,TE_intronic,intron,0.871,0,0.067,0.062,0.871,0,0
lncRNA_body,lncRNA_197,TE_intronic,intron,0.871,0,0.067,0.062,0.871,0,0
lncRNA_body,lncRNA_198,exon,intron,0.879,0,0,0.121,0.879,0,0
lncRNA_body,lncRNA_199,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_200,TE_intronic,intron,0.983,0,0.017,0,0.983,0,0
lncRNA_body,lncRNA_201,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_202,TE_intergenic,TE_intergenic,1,0,0,0,0,1,0
lncRNA_body,lncRNA_203,intergenic,intergenic,0,0,0,0,0,0,0
lncRNA_body,lncRNA_204,intron,intron,1,0,0,0,1,0,0
lncRNA_body,lncRNA_205,TE_intronic,intron,0.57,0,0.085,0.344,0.57,0,0
lncRNA_body,lncRNA_206,TE_intronic,intron,0.626,0,0.094,0.281,0.626,0,0
lncRNA_body,lncRNA_207,exon,exon,0.804,0,0,0.804,0.196,0,0
