"target","gene_name"
"Peve_00020454","NSUN6"
"Peve_00031952","NSUN5"
"Peve_00027400","NOP2"
"Peve_00017924","ALKBH1"
"Peve_00028081","YBX1"
"Peve_00000091","ALYREF"
"Peve_00009071","TRMT1"
"Peve_00037601","TRMT61A"
"Peve_00025476","TRMT10A"
"Peve_00021327","METTL2A"
"Peve_00021327","METTL2B"
"Peve_00013276","METTL6"
"Peve_00021327","METTL8"
"Peve_00044303","METTL1"
"Peve_00042716","DKC1"
"Peve_00008825","RPUSD2"
"Peve_00037184","PUS3"
"Peve_00007914","PUS10"
"Peve_00029854","PUS1"
"Peve_00003674","PUS7L"
"Peve_00038779","PUS7"
"Peve_00006197","ADAR"
"Peve_00040609","ADARB1"
"Peve_00040609","ADARB2"
"Peve_00038865","Senp1"
"Peve_00038865","Senp2"
"Peve_00038865","Senp3"
"Peve_00000999","Senp6"
"Peve_00000999","Senp7"
"Peve_00010926","Senp8"
"Peve_00045030","Tet1"
"Peve_00045030","Tet2"
"Peve_00028605","Tet3"
"Peve_00034012","HUWE1"
"Peve_00014397","UBE2Z"
"Peve_00036916","UBE2V1"
"Peve_00025825","UBE2A"
"Peve_00036939","UBE2D1"
"Peve_00036939","UBE2D2"
"Peve_00036939","UBE2D3"
"Peve_00028251","UBA1"
"Peve_00034936","UBA3"
"Peve_00007768","UBA6"
"Peve_00028251","UBA7"
"Peve_00021796","UBA5"
"Peve_00012616","UBA2"
"Peve_00044576","UBE4A"
"Peve_00023794","UHRF1"
"Peve_00016940","TOM1"
"Peve_00013020","TRIM37"
"Peve_00045265","UBE3A"
"Peve_00011277","UBR2"
"Peve_00007923","RNF20"
"Peve_00007923","RNF40"
"Peve_00018303","ARID1A"
"Peve_00018303","ARID1B"
"Peve_00007386","CUL4A"
"Peve_00013534","DDB1"
"Peve_00016232","DTX3L"
