,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
36,apul-mir-novel-9,FUN_030107,3UTR,FUN_030107;2 16;252 275,-24.76,15,93.33%,93.33%,0.965113242711184,0.965113242711184,1,0.00778106354057353
37,apul-mir-100,FUN_028681,3UTR,FUN_028681;2 15;136 157,-20.91,13,76.92%,76.92%,-0.921599313631769,0.921599313631769,-1,0.026039899045672
38,apul-mir-novel-9,FUN_041289,3UTR,FUN_041289;2 22;196 219,-21.49,21,61.90%,80.95%,0.965113242711184,0.965113242711184,1,0.00778106354057353
39,apul-mir-novel-29,FUN_014908,3UTR,FUN_014908;2 20;507 528,-21.83,18,72.22%,88.89%,-0.923959542719925,0.923959542719925,-1,0.0248819460130936
40,apul-mir-novel-9,FUN_043213,3UTR,FUN_043213;2 22;364 384,-24.97,20,75.00%,80.00%,-0.939467449175775,0.939467449175775,-1,0.0177147162505936
41,apul-mir-100,FUN_029594,3UTR,FUN_029594;2 21;290 311,-20.78,19,68.42%,78.95%,-0.894881290301398,0.894881290301398,-1,0.0402610204271611
42,apul-mir-novel-29,FUN_040457,3UTR,FUN_040457;2 23;639 666,-22.07,25,64.00%,80.00%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
43,apul-mir-novel-26,FUN_032115,3UTR,FUN_032115;2 20;529 553,-24,22,72.73%,77.27%,-0.946006984217175,0.946006984217175,-1,0.01493796053591
44,apul-mir-novel-5,FUN_043901,3UTR,FUN_043901;2 23;577 601,-23.2,22,72.73%,90.91%,0.939864170893346,0.939864170893346,1,0.0175419173063509
45,apul-mir-100,FUN_029602,3UTR,FUN_029602;2 21;281 302,-20.78,19,68.42%,73.68%,-0.892392843466376,0.892392843466376,-1,0.0416829538043013
46,apul-mir-novel-9,FUN_016608,3UTR,FUN_016608;2 21;477 497,-20.92,19,78.95%,84.21%,0.994627225901417,0.994627225901417,1,0.000472369028023397
47,apul-mir-novel-12,FUN_013364,3UTR,FUN_013364;2 22;888 911,-20.23,21,71.43%,85.71%,-0.971490463332523,0.971490463332523,-1,0.00575377810454247
48,apul-mir-novel-9,FUN_026122,3UTR,FUN_026122;2 22;654 678,-23.28,22,63.64%,90.91%,0.965113242711184,0.965113242711184,1,0.00778106354057353
49,apul-mir-novel-28,FUN_013080,3UTR,FUN_013080;2 19;466 490,-21.45,18,61.11%,88.89%,0.888310868864341,0.888310868864341,1,0.0440491206471639
50,apul-mir-novel-9,FUN_024529,3UTR,FUN_024529;2 20;563 590,-22.75,23,69.57%,78.26%,-0.973898923067543,0.973898923067543,-1,0.00504212756126728
51,apul-mir-novel-28,FUN_020765,3UTR,FUN_020765;2 21;473 496,-21.17,20,80.00%,90.00%,0.888310868864341,0.888310868864341,1,0.0440491206471639
52,apul-mir-novel-5,FUN_003478,3UTR,FUN_003478;2 23;798 823,-20.12,23,69.57%,86.96%,-0.987158026110664,0.987158026110664,-1,0.00174358522915539
53,apul-mir-100,FUN_013292,3UTR,FUN_013292;2 21;299 319,-25.71,19,78.95%,89.47%,-0.958719638413883,0.958719638413883,-1,0.0100055624471572
54,apul-mir-novel-15,FUN_041625,3UTR,FUN_041625;2 21;954 975,-22.47,19,68.42%,84.21%,0.979681354691911,0.979681354691911,1,0.00346615436725054
55,apul-mir-novel-28,FUN_005016,3UTR,FUN_005016;2 19;29 52,-25.67,17,76.47%,94.12%,0.888310868864341,0.888310868864341,1,0.0440491206471639
56,apul-mir-novel-34,FUN_035124,3UTR,FUN_035124;2 20;812 839,-21.27,24,62.50%,75.00%,0.897831046991203,0.897831046991203,1,0.0385959833026285
57,apul-mir-novel-9,FUN_038089,3UTR,FUN_038089;2 10;54 76,-21.45,8,100.00%,100.00%,0.881461368085258,0.881461368085258,1,0.0481112842362314
58,apul-mir-novel-34,FUN_001557,3UTR,FUN_001557;2 20;848 874,-20.39,23,65.22%,78.26%,0.918650189158978,0.918650189158978,1,0.0275104069554112
59,apul-mir-novel-21,FUN_006047,3UTR,FUN_006047;2 21;103 125,-25.52,20,80.00%,90.00%,0.977388854104582,0.977388854104582,1,0.00406760929145233
60,apul-mir-novel-5,FUN_037230,3UTR,FUN_037230;2 23;814 838,-20.07,22,72.73%,86.36%,0.938426896439605,0.938426896439605,1,0.0181705523275463
61,apul-mir-100,FUN_001066,3UTR,FUN_001066;2 21;518 539,-24.73,19,57.89%,84.21%,-0.928799836792751,0.928799836792751,-1,0.0225611843017344
62,apul-mir-novel-9,FUN_017959,3UTR,FUN_017959;2 22;603 628,-21.39,23,65.22%,78.26%,0.899732687616379,0.899732687616379,1,0.0375345236466155
63,apul-mir-novel-22,FUN_022526,3UTR,FUN_022526;2 20;655 678,-20.09,20,70.00%,80.00%,0.922321225378356,0.922321225378356,1,0.0256839204452313
64,apul-mir-novel-21,FUN_023956,3UTR,FUN_023956;2 21;21 42,-23.35,20,70.00%,85.00%,0.942012341638402,0.942012341638402,1,0.0166158734514718
65,apul-mir-novel-19,FUN_043619,3UTR,FUN_043619;2 15;705 728,-22.28,15,80.00%,86.67%,0.944683231412696,0.944683231412696,1,0.0154875356468844
66,apul-mir-novel-23,FUN_043612,3UTR,FUN_043612;2 21;463 483,-32.5,19,89.47%,89.47%,0.911230385834477,0.911230385834477,1,0.0313228601641537
67,apul-mir-novel-34,FUN_004030,3UTR,FUN_004030;2 17;27 48,-21.04,15,86.67%,93.33%,-0.960360362974489,0.960360362974489,-1,0.00941735834402992
68,apul-mir-novel-23,FUN_037708,3UTR,FUN_037708;2 21;392 415,-21.45,21,71.43%,76.19%,0.97837155759896,0.97837155759896,1,0.00380590308574924
69,apul-mir-novel-28,FUN_040868,3UTR,FUN_040868;2 23;90 114,-20.2,22,63.64%,77.27%,0.888310868864341,0.888310868864341,1,0.0440491206471639
70,apul-mir-novel-26,FUN_000845,3UTR,FUN_000845;2 20;178 202,-20.84,22,68.18%,68.18%,0.929222172391746,0.929222172391746,1,0.0223621946443423
71,apul-mir-novel-26,FUN_000845,3UTR,FUN_000845;2 20;178 202,-20.84,22,68.18%,68.18%,0.929222172391746,0.929222172391746,1,0.0223621946443423
72,apul-mir-novel-9,FUN_026892,3UTR,FUN_026892;2 22;48 70,-20.81,20,60.00%,80.00%,0.965113242711184,0.965113242711184,1,0.00778106354057356
73,apul-mir-100,FUN_040469,3UTR,FUN_040469;2 16;646 666,-26.06,14,85.71%,92.86%,-0.958719638413883,0.958719638413883,-1,0.0100055624471572
74,apul-mir-novel-19,FUN_023778,3UTR,FUN_023778;2 14;482 503,-23.89,12,100.00%,100.00%,-0.886287505512474,0.886287505512474,-1,0.0452372569377336
75,apul-mir-novel-26,FUN_008327,3UTR,FUN_008327;2 19;645 665,-21.33,17,64.71%,88.24%,-0.969079550705252,0.969079550705252,-1,0.00649647778506713
76,apul-mir-novel-19,FUN_003440,3UTR,FUN_003440;2 21;823 843,-24.38,19,63.16%,84.21%,0.967855742230399,0.967855742230399,1,0.00688468077332657
77,apul-mir-novel-13,FUN_004508,3UTR,FUN_004508;2 21;374 393,-20.8,19,78.95%,84.21%,-0.939930912925519,0.939930912925519,-1,0.0175129008046142
78,apul-mir-2022,FUN_022416,3UTR,FUN_022416;2 20;782 804,-20.23,18,72.22%,77.78%,0.887904729240808,0.887904729240808,1,0.0442868039725923
79,apul-mir-novel-2,FUN_022419,3UTR,FUN_022419;2 20;264 286,-21.96,18,83.33%,94.44%,0.908924996309387,0.908924996309387,1,0.0325393554071181
80,apul-mir-2023,FUN_032577,3UTR,FUN_032577;2 20;268 293,-21.54,23,69.57%,78.26%,0.924178193615416,0.924178193615416,1,0.0247755362242095
81,apul-mir-novel-28,FUN_028212,3UTR,FUN_028212;2 22;861 883,-21.3,20,65.00%,85.00%,0.961211818569935,0.961211818569935,1,0.00911674719626504
82,apul-mir-novel-19,FUN_004121,3UTR,FUN_004121;2 18;576 597,-21.22,16,75.00%,75.00%,0.956144560038257,0.956144560038257,1,0.0109519472421122
83,apul-mir-novel-15,FUN_041610,3UTR,FUN_041610;2 21;370 390,-21.71,19,78.95%,84.21%,0.950416141898834,0.950416141898834,1,0.0131549018449425
84,apul-mir-2022,FUN_012601,3UTR,FUN_012601;2 19;420 444,-20.51,19,63.16%,89.47%,-0.987937302187941,0.987937302187941,-1,0.00158749787882643
85,apul-mir-2023,FUN_004327,3UTR,FUN_004327;2 20;975 997,-21.49,20,80.00%,85.00%,0.924178193615415,0.924178193615415,1,0.0247755362242096
86,apul-mir-2023,FUN_029573,3UTR,FUN_029573;2 20;47 73,-22.07,24,66.67%,70.83%,-0.881893431169151,0.881893431169151,-1,0.0478517087663895
87,apul-mir-100,FUN_024795,3UTR,FUN_024795;2 16;969 989,-26.88,14,85.71%,92.86%,-0.958719638413883,0.958719638413883,-1,0.0100055624471572
88,apul-mir-novel-10,FUN_039701,3UTR,FUN_039701;2 17;427 448,-20.7,15,80.00%,93.33%,0.912695187691424,0.912695187691424,1,0.0305576856594619
89,apul-mir-novel-23,FUN_023704,3UTR,FUN_023704;2 13;111 132,-20.36,11,90.91%,90.91%,0.919289861326711,0.919289861326711,1,0.027189244910435
90,apul-mir-novel-29,FUN_006496,3UTR,FUN_006496;2 22;194 219,-26,22,77.27%,86.36%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
91,apul-mir-novel-23,FUN_024347,3UTR,FUN_024347;2 21;354 375,-21.2,19,63.16%,73.68%,0.90253274780724,0.90253274780724,1,0.0359888920549166
92,apul-mir-100,FUN_011056,3UTR,FUN_011056;2 21;579 601,-29.13,20,70.00%,75.00%,0.909544979248351,0.909544979248351,1,0.0322107470887216
93,apul-mir-novel-23,FUN_041738,3UTR,FUN_041738;2 18;557 577,-21.37,16,75.00%,81.25%,0.942173838181256,0.942173838181256,1,0.016546917218467
94,apul-mir-novel-5,FUN_033968,3UTR,FUN_033968;2 23;739 765,-20.2,24,62.50%,75.00%,0.914941018366899,0.914941018366899,1,0.0293963918076494
95,apul-mir-novel-9,FUN_016637,3UTR,FUN_016637;2 15;64 86,-20.82,13,84.62%,92.31%,0.965113242711184,0.965113242711184,1,0.00778106354057356
96,apul-mir-novel-22,FUN_044050,3UTR,FUN_044050;2 21;658 682,-20.55,22,68.18%,77.27%,-0.888830873815023,0.888830873815023,-1,0.04374539357953
97,apul-mir-100,FUN_034127,3UTR,FUN_034127;2 12;441 462,-22.64,10,80.00%,90.00%,-0.88257316744877,0.88257316744877,-1,0.047444236195946
98,apul-mir-novel-9,FUN_039073,3UTR,FUN_039073;2 22;50 72,-20.65,20,55.00%,75.00%,0.965113242711184,0.965113242711184,1,0.00778106354057353
99,apul-mir-novel-8a; apul-mir-novel-8b,FUN_030691,3UTR,FUN_030691;2 17;463 483,-20.68,15,86.67%,86.67%,0.891045279573933,0.891045279573933,1,0.0424594923654875
100,apul-mir-novel-34,FUN_031571,3UTR,FUN_031571;2 15;403 425,-21.44,14,92.86%,92.86%,0.989849332448064,0.989849332448064,1,0.00122578245722519
101,apul-mir-novel-34,FUN_020702,3UTR,FUN_020702;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
102,apul-mir-novel-34,FUN_020705,3UTR,FUN_020705;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
103,apul-mir-novel-34,FUN_020706,3UTR,FUN_020706;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
104,apul-mir-novel-19,FUN_005093,3UTR,FUN_005093;2 21;669 692,-20.53,21,66.67%,76.19%,0.906659813531637,0.906659813531637,1,0.033749004138785
105,apul-mir-2036,FUN_026553,3UTR,FUN_026553;2 22;340 362,-21.04,21,76.19%,80.95%,0.907139286332059,0.907139286332059,1,0.0334917787925308
106,apul-mir-novel-10,FUN_012580,3UTR,FUN_012580;2 15;158 179,-21.01,13,92.31%,100.00%,-0.971424618827498,0.971424618827498,-1,0.00577366509372755
107,apul-mir-novel-33,FUN_008268,3UTR,FUN_008268;2 22;195 212,-20.63,20,75.00%,75.00%,0.931130346130316,0.931130346130316,1,0.0214702776348296
108,apul-mir-novel-5,FUN_040689,3UTR,FUN_040689;2 18;593 616,-21.54,16,81.25%,93.75%,0.98897179438378,0.98897179438378,1,0.00138794229797963
109,apul-mir-novel-28,FUN_015543,3UTR,FUN_015543;2 14;136 159,-22.71,12,83.33%,91.67%,0.888310868864341,0.888310868864341,1,0.0440491206471639
110,apul-mir-novel-16,FUN_011619,3UTR,FUN_011619;2 19;761 783,-21.12,18,83.33%,88.89%,-0.905114959891679,0.905114959891679,-1,0.0345820495015364
111,apul-mir-2028,FUN_003898,3UTR,FUN_003898;2 21;527 549,-22.05,20,75.00%,80.00%,0.979630113873169,0.979630113873169,1,0.00347924745250208
112,apul-mir-novel-17,FUN_038202,3UTR,FUN_038202;2 21;7 27,-22.67,19,68.42%,73.68%,0.922780365056995,0.922780365056995,1,0.0254583396281075
113,apul-mir-2036,FUN_014804,3UTR,FUN_014804;2 19;164 191,-21.21,22,77.27%,77.27%,0.959657908317892,0.959657908317892,1,0.00966775954318747
114,apul-mir-novel-29,FUN_022543,3UTR,FUN_022543;2 22;275 297,-21.16,20,70.00%,85.00%,-0.960219481549203,0.960219481549203,-1,0.00946740491407129
115,apul-mir-novel-7,FUN_008136,3UTR,FUN_008136;2 20;707 724,-20.69,18,72.22%,72.22%,0.881149608817262,0.881149608817262,1,0.0482988590122213
116,apul-mir-novel-29,FUN_005646,3UTR,FUN_005646;2 21;339 362,-20.85,19,57.89%,78.95%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
117,apul-mir-novel-28,FUN_026050,3UTR,FUN_026050;2 22;851 879,-23.22,25,64.00%,76.00%,0.890236163709922,0.890236163709922,1,0.0429279311868107
118,apul-mir-novel-34,FUN_019787,3UTR,FUN_019787;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
119,apul-mir-novel-34,FUN_019788,3UTR,FUN_019788;2 20;523 545,-23.37,19,78.95%,89.47%,0.912436100242777,0.912436100242777,1,0.0306925837127653
120,apul-mir-novel-29,FUN_031944,3UTR,FUN_031944;2 23;568 588,-27.7,21,71.43%,85.71%,-0.970032542846498,0.970032542846498,-1,0.00619935937556317
121,apul-mir-novel-16,FUN_036658,3UTR,FUN_036658;2 20;21 43,-20.3,19,78.95%,84.21%,-0.980395448057802,0.980395448057802,-1,0.00328539797028087
122,apul-mir-novel-29,FUN_018272,3UTR,FUN_018272;2 23;271 293,-20.09,21,66.67%,85.71%,0.94156349811638,0.94156349811638,1,0.0168080110027922
123,apul-mir-novel-8a; apul-mir-novel-8b,FUN_041316,3UTR,FUN_041316;2 21;152 176,-21.59,22,72.73%,72.73%,0.89072092476841,0.89072092476841,1,0.0426470819650211
124,apul-mir-novel-15,FUN_013801,3UTR,FUN_013801;2 18;370 392,-22.29,17,76.47%,76.47%,0.973950013786862,0.973950013786862,1,0.00502736934165484
125,apul-mir-novel-26,FUN_000656,3UTR,FUN_000656;2 20;178 202,-20.84,22,68.18%,68.18%,0.929222172391746,0.929222172391746,1,0.0223621946443423
126,apul-mir-novel-26,FUN_000656,3UTR,FUN_000656;2 20;178 202,-20.84,22,68.18%,68.18%,0.929222172391746,0.929222172391746,1,0.0223621946443423
127,apul-mir-novel-31,FUN_028180,3UTR,FUN_028180;2 20;347 368,-20.06,18,77.78%,77.78%,-0.891629842244459,0.891629842244459,-1,0.042122076655814
128,apul-mir-novel-15,FUN_013936,3UTR,FUN_013936;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341029
129,apul-mir-novel-9,FUN_034898,3UTR,FUN_034898;2 21;360 381,-20.02,20,70.00%,75.00%,0.963993725212303,0.963993725212303,1,0.00815720831608488
130,apul-mir-2023,FUN_002342,3UTR,FUN_002342;2 20;692 713,-20.87,19,63.16%,73.68%,0.973893925144242,0.973893925144242,1,0.00504357204244837
131,apul-mir-novel-28,FUN_039470,3UTR,FUN_039470;2 23;962 984,-25.81,21,66.67%,85.71%,0.888310868864341,0.888310868864341,1,0.0440491206471639
132,apul-mir-novel-34,FUN_037296,3UTR,FUN_037296;2 21;503 519,-20.93,19,68.42%,73.68%,0.970911358215383,0.970911358215383,1,0.00592945735113148
133,apul-mir-novel-29,FUN_005639,3UTR,FUN_005639;2 21;339 362,-20.85,19,57.89%,78.95%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
134,apul-mir-novel-13,FUN_001844,3UTR,FUN_001844;2 18;205 226,-20.51,17,82.35%,88.24%,0.93037473208988,0.93037473208988,1,0.0218220605908716
135,apul-mir-novel-8a; apul-mir-novel-8b,FUN_017225,3UTR,FUN_017225;2 16;420 443,-20.28,16,75.00%,75.00%,0.913601217338232,0.913601217338232,1,0.0300874498463117
136,apul-mir-novel-9,FUN_002032,3UTR,FUN_002032;2 22;878 901,-27.81,21,76.19%,85.71%,0.965113242711184,0.965113242711184,1,0.00778106354057353
137,apul-mir-2036,FUN_008620,3UTR,FUN_008620;2 20;949 971,-22.35,18,83.33%,88.89%,-0.885026412931428,0.885026412931428,-1,0.045982834248485
138,apul-mir-novel-21,FUN_015574,3UTR,FUN_015574;2 21;489 509,-20.77,19,84.21%,84.21%,0.930820292742754,0.930820292742754,1,0.0216144018865856
139,apul-mir-novel-28,FUN_041829,3UTR,FUN_041829;2 23;97 122,-27.09,23,69.57%,82.61%,0.96870312590872,0.96870312590872,1,0.00661509267158132
140,apul-mir-novel-23,FUN_001354,3UTR,FUN_001354;2 21;588 611,-20.92,21,66.67%,76.19%,0.900622422690111,0.900622422690111,1,0.0370411435512327
141,apul-mir-2022,FUN_040720,3UTR,FUN_040720;2 21;198 220,-25.5,19,63.16%,84.21%,0.88203253918906,0.88203253918906,1,0.0477682298260038
142,apul-mir-novel-29,FUN_041060,3UTR,FUN_041060;2 19;819 842,-20.06,18,77.78%,88.89%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
143,apul-mir-novel-10,FUN_031529,3UTR,FUN_031529;2 21;276 300,-28.12,22,72.73%,81.82%,-0.919394723755509,0.919394723755509,-1,0.0271367122765176
144,apul-mir-2050,FUN_027208,3UTR,FUN_027208;2 19;713 733,-20.44,17,88.24%,88.24%,0.990139574386811,0.990139574386811,1,0.00117363744401445
145,apul-mir-novel-29,FUN_000494,3UTR,FUN_000494;2 15;340 363,-20.66,13,69.23%,84.62%,-0.948855952045759,0.948855952045759,-1,0.013777373638824
146,apul-mir-novel-28,FUN_028569,3UTR,FUN_028569;2 22;752 772,-23.13,20,65.00%,85.00%,0.888310868864341,0.888310868864341,1,0.0440491206471639
147,apul-mir-novel-14,FUN_005951,3UTR,FUN_005951;2 17;923 944,-21.59,15,80.00%,93.33%,-0.911459476837608,0.911459476837608,-1,0.0312027888015098
148,apul-mir-novel-9,FUN_040522,3UTR,FUN_040522;2 21;162 185,-22.03,20,65.00%,80.00%,0.961191758006318,0.961191758006318,1,0.00912379283291792
149,apul-mir-100,FUN_016754,3UTR,FUN_016754;2 16;250 270,-26.06,14,85.71%,92.86%,-0.958719638413883,0.958719638413883,-1,0.0100055624471572
150,apul-mir-novel-22,FUN_013639,3UTR,FUN_013639;2 21;770 790,-23.12,19,63.16%,84.21%,0.908718443748873,0.908718443748873,1,0.0326490711777368
151,apul-mir-novel-28,FUN_041082,3UTR,FUN_041082;2 18;264 287,-23.5,16,68.75%,87.50%,0.888310868864341,0.888310868864341,1,0.0440491206471639
152,apul-mir-novel-19,FUN_017011,3UTR,FUN_017011;2 21;708 729,-22.24,19,57.89%,78.95%,0.894339600913098,0.894339600913098,1,0.0405692107949411
153,apul-mir-novel-15,FUN_013771,3UTR,FUN_013771;2 18;385 407,-21.17,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026
154,apul-mir-novel-15,FUN_013777,3UTR,FUN_013777;2 18;250 272,-22.29,17,76.47%,76.47%,0.978580789954302,0.978580789954302,1,0.00375092828341026
155,apul-mir-novel-17,FUN_018894,3UTR,FUN_018894;2 11;84 105,-20.34,9,100.00%,100.00%,-0.969058804392155,0.969058804392155,-1,0.00650299672929437
156,apul-mir-novel-29,FUN_004413,3UTR,FUN_004413;2 22;337 362,-22.91,22,77.27%,81.82%,-0.882535200357958,0.882535200357958,-1,0.047466966746595
157,apul-mir-novel-29,FUN_018647,3UTR,FUN_018647;2 20;431 455,-20.77,19,63.16%,84.21%,-0.91834045230983,0.91834045230983,-1,0.027666353073052
158,apul-mir-novel-10,FUN_027959,3UTR,FUN_027959;2 21;402 422,-22.81,19,63.16%,73.68%,0.910586916819464,0.910586916819464,1,0.0316609057188031
159,apul-mir-novel-19,FUN_021078,3UTR,FUN_021078;2 20;271 292,-24.73,19,73.68%,78.95%,0.917452102344503,0.917452102344503,1,0.0281151890024615
160,apul-mir-novel-27,FUN_017983,3UTR,FUN_017983;2 19;124 144,-24.35,17,82.35%,100.00%,0.945765705423933,0.945765705423933,1,0.0150376481830758
161,apul-mir-2050,FUN_017983,3UTR,FUN_017983;2 21;953 975,-21.48,20,75.00%,80.00%,0.917063401169944,0.917063401169944,1,0.0283123085859136
162,apul-mir-novel-15,FUN_023440,3UTR,FUN_023440;2 21;48 68,-21.68,19,78.95%,89.47%,0.928404130358632,0.928404130358632,1,0.0227481437676838
163,apul-mir-novel-23,FUN_039408,3UTR,FUN_039408;2 20;480 501,-20.02,19,78.95%,84.21%,0.920952433397918,0.920952433397918,1,0.0263602178674966
164,apul-mir-novel-21,FUN_008423,3UTR,FUN_008423;2 17;158 182,-21.83,18,77.78%,77.78%,0.977388854104582,0.977388854104582,1,0.00406760929145233
