"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V1","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"11",11,"Cluster_10051","ptg000001l:6239707-6240707",157,-20.34,2,21,880,904,22,"72.73%","81.82%","FUN_005968",0.703569004644295,0.184883173128681,0.998649612991003,NA,NA,NA,NA,NA,NA
"12",12,"Cluster_10051","ptg000002l:11522556-11523001",159,-22.34,2,21,96,118,20,"65.00%","85.00%","FUN_008435",-0.76585723410925,0.131123643340224,0.998649612991003,NA,NA,NA,NA,NA,NA
"13",13,"Cluster_10051","ptg000002l:11522556-11523001",159,-22.34,2,21,96,118,20,"65.00%","85.00%","FUN_008436",0.307387134462008,0.614876326134462,0.998649612991003,"ptg000002l:11523001-11536864","Q07889","Son of sevenless homolog 1 (SOS-1)","Homo sapiens (Human)","axon guidance [GO:0007411]; B cell homeostasis [GO:0001782]; B cell receptor signaling pathway [GO:0050853]; blood vessel morphogenesis [GO:0048514]; cardiac atrium morphogenesis [GO:0003209]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; eyelid development in camera-type eye [GO:0061029]; Fc-epsilon receptor signaling pathway [GO:0038095]; fibroblast growth factor receptor signaling pathway [GO:0008543]; hair follicle development [GO:0001942]; heart trabecula morphogenesis [GO:0061384]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; leukocyte migration [GO:0050900]; midbrain morphogenesis [GO:1904693]; multicellular organism growth [GO:0035264]; neurotrophin TRK receptor signaling pathway [GO:0048011]; pericardium morphogenesis [GO:0003344]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of GTPase activity [GO:0043547]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; Ras protein signal transduction [GO:0007265]; regulation of cell population proliferation [GO:0042127]; regulation of MAP kinase activity [GO:0043405]; regulation of pro-B cell differentiation [GO:2000973]; regulation of T cell differentiation in thymus [GO:0033081]; regulation of T cell proliferation [GO:0042129]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; signal transduction [GO:0007165]; vitellogenesis [GO:0007296]","GO:0001782; GO:0001942; GO:0003209; GO:0003344; GO:0005085; GO:0005096; GO:0005737; GO:0005829; GO:0005886; GO:0006357; GO:0007165; GO:0007173; GO:0007265; GO:0007296; GO:0007411; GO:0008286; GO:0008543; GO:0014069; GO:0017124; GO:0019221; GO:0033081; GO:0035264; GO:0038095; GO:0042127; GO:0042129; GO:0043025; GO:0043405; GO:0043539; GO:0043547; GO:0045742; GO:0046982; GO:0048009; GO:0048011; GO:0048514; GO:0050853; GO:0050900; GO:0051057; GO:0060021; GO:0061029; GO:0061384; GO:1904693; GO:1905360; GO:2000973"
"14",14,"Cluster_10051","ptg000002l:274236-275236",156,-23.87,2,13,76,97,11,"90.91%","100.00%","FUN_007232",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Cluster_10051","ptg000002l:6500744-6501744",155,-20.77,2,21,4,26,20,"70.00%","75.00%","FUN_007951",-0.358898844961052,0.5530447881714,0.998649612991003,NA,NA,NA,NA,NA,NA
"16",16,"Cluster_10051","ptg000004l:4291243-4292243",157,-20.52,2,21,732,751,19,"68.42%","84.21%","FUN_009231",-0.430528449238871,0.469273482679056,0.998649612991003,"ptg000004l:4288240-4291243","Q96AY4","Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic cell cycle [GO:0007346]","GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301"
"17",17,"Cluster_10051","ptg000007l:1550409-1551409",169,-22.97,2,20,374,397,20,"80.00%","90.00%","FUN_010685",-0.178089727783541,0.774453487231661,0.998649612991003,"ptg000007l:1549143-1550409","Q8HYJ7","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 (EC 2.4.1.152) (3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT5) (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)","Gorilla gorilla gorilla (Western lowland gorilla)","ceramide metabolic process [GO:0006672]; fucosylation [GO:0036065]; oligosaccharide metabolic process [GO:0009311]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]","GO:0006487; GO:0006493; GO:0006672; GO:0009311; GO:0017060; GO:0017083; GO:0032580; GO:0036065; GO:0046920"
"18",18,"Cluster_10051","ptg000008l:10473161-10474161",156,-21.23,2,21,156,177,19,"57.89%","84.21%","FUN_012610",-0.432281098342673,0.467260278398976,0.998649612991003,NA,NA,NA,NA,NA,NA
"19",19,"Cluster_10051","ptg000008l:14323611-14324611",156,-23.87,2,13,68,89,11,"90.91%","100.00%","FUN_012897",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Cluster_10051","ptg000008l:15416800-15417800",156,-23.87,2,13,70,91,11,"90.91%","100.00%","FUN_012917",0.118147632977058,0.849920470557,0.998649612991003,NA,NA,NA,NA,NA,NA
"21",21,"Cluster_10051","ptg000008l:20423233-20424233",174,-21.16,2,21,880,900,19,"84.21%","89.47%","FUN_013265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Cluster_10051","ptg000008l:2249492-2250492",163,-24.45,2,16,284,305,14,"85.71%","92.86%","FUN_011867",0.407376799061256,0.496038499498735,0.998649612991003,NA,NA,NA,NA,NA,NA
"23",23,"Cluster_10051","ptg000008l:24047644-24048644",162,-21.04,2,21,186,206,19,"73.68%","84.21%","FUN_013558",-0.435021434996124,0.464116314429277,0.998649612991003,NA,NA,NA,NA,NA,NA
"24",24,"Cluster_10051","ptg000008l:26878806-26879806",164,-21.3,2,17,33,54,15,"86.67%","86.67%","FUN_013794",0.903585602802314,0.035413110706321,0.956725250647607,NA,NA,NA,NA,NA,NA
"25",25,"Cluster_10051","ptg000008l:35267918-35268918",159,-20.36,2,21,174,196,20,"75.00%","75.00%","FUN_014330",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"Cluster_10051","ptg000008l:6591882-6592882",167,-22.01,2,16,569,590,14,"92.86%","92.86%","FUN_012231",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"27",27,"Cluster_10051","ptg000008l:8326983-8327983",163,-22.81,2,21,804,826,20,"75.00%","80.00%","FUN_012367",0.789345881882932,0.112322368285846,0.998649612991003,NA,NA,NA,NA,NA,NA
"28",28,"Cluster_10051","ptg000009l:14625993-14626993",167,-21.41,2,20,759,780,18,"72.22%","88.89%","FUN_015711",0.00183679723133306,0.997661318444458,0.999722967761679,NA,NA,NA,NA,NA,NA
"29",29,"Cluster_10051","ptg000009l:1809772-1810385",159,-21.97,2,20,216,237,18,"66.67%","83.33%","FUN_014646",0.899802336682014,0.037495826415247,0.96546924320845,NA,NA,NA,NA,NA,NA
"30",30,"Cluster_10051","ptg000009l:1809772-1810385",159,-21.97,2,20,216,237,18,"66.67%","83.33%","FUN_014647",-0.472871002332587,0.421180294562504,0.998649612991003,NA,NA,NA,NA,NA,NA
"31",31,"Cluster_10051","ptg000009l:3573458-3574458",156,-23.87,2,13,247,268,11,"90.91%","100.00%","FUN_014838",-0.339851986015243,0.575767313606354,0.998649612991003,NA,NA,NA,NA,NA,NA
"32",32,"Cluster_10051","ptg000009l:8626928-8627928",161,-20.11,2,21,651,672,20,"75.00%","85.00%","FUN_015302",-0.114831279111567,0.854114234297733,0.998649612991003,NA,NA,NA,NA,NA,NA
"33",33,"Cluster_10051","ptg000011l:11842699-11843699",151,-22.16,2,20,659,678,18,"66.67%","88.89%","FUN_017308",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"34",34,"Cluster_10051","ptg000011l:13786293-13787293",146,-20.02,2,16,854,878,17,"70.59%","76.47%","FUN_017738",0.978580789954302,0.00375092828341026,0.545343267336266,"ptg000011l:13785629-13786293","P35061","Histone H2A","Acropora formosa (Staghorn coral)","","GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982"
"35",35,"Cluster_10051","ptg000011l:5050166-5051166",164,-24.91,2,21,342,363,19,"73.68%","78.95%","FUN_016587",0.0185245023198867,0.976415220127497,0.998649612991003,"ptg000011l:5040886-5050166","Q0DXS3","Probable RNA-dependent RNA polymerase 1 (OsRDR1) (EC 2.7.7.48)","Oryza sativa subsp. japonica (Rice)","positive regulation of post-transcriptional gene silencing [GO:0060148]; response to salicylic acid [GO:0009751]; response to virus [GO:0009615]; siRNA processing [GO:0030422]; wax biosynthetic process [GO:0010025]","GO:0003723; GO:0003968; GO:0009615; GO:0009751; GO:0010025; GO:0030422; GO:0031380; GO:0060148"
"36",36,"Cluster_10051","ptg000012l:13120497-13121497",156,-23.87,2,13,71,92,11,"90.91%","100.00%","FUN_018761",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Cluster_10051","ptg000012l:17350813-17351813",170,-25.68,2,19,519,540,17,"82.35%","88.24%","FUN_019112",0.979114430567039,0.0036119195946308,0.545343267336266,NA,NA,NA,NA,NA,NA
"38",38,"Cluster_10051","ptg000015l:1839572-1840572",168,-20.74,2,20,634,655,19,"84.21%","89.47%","FUN_019399",-0.080154157396673,0.898053941761961,0.998649612991003,"ptg000015l:1840572-1844826","A1L314","Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) (Protein MPS1)","Mus musculus (Mouse)","antibacterial innate immune response [GO:0140367]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; disruption by host of symbiont membrane [GO:0052337]","GO:0030659; GO:0031410; GO:0042742; GO:0045335; GO:0050829; GO:0050830; GO:0052337; GO:0140367"
"39",39,"Cluster_10051","ptg000015l:4854935-4855935",171,-20.94,2,21,67,89,20,"80.00%","85.00%","FUN_019651",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Cluster_10051","ptg000015l:5531064-5532064",171,-20.94,2,21,67,89,20,"80.00%","85.00%","FUN_019740",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"41",41,"Cluster_10051","ptg000016l:4101041-4102041",159,-22.33,2,21,44,62,19,"78.95%","84.21%","FUN_021995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Cluster_10051","ptg000016l:5638249-5639249",162,-21.57,2,19,82,103,17,"76.47%","82.35%","FUN_022115",-0.47144663488365,0.422778972809274,0.998649612991003,"ptg000016l:5639249-5647210","B8UU78","EGF and laminin G domain-containing protein","Acropora millepora (Staghorn coral) (Heteropora millepora)","","GO:0016020"
"43",43,"Cluster_10051","ptg000016l:8501008-8501864",164,-21.19,2,19,474,494,17,"82.35%","88.24%","FUN_022388",-0.0463701233686425,0.940980890013824,0.998649612991003,NA,NA,NA,NA,NA,NA
"44",44,"Cluster_10051","ptg000017l:1486004-1487004",162,-23.81,2,21,794,814,19,"73.68%","84.21%","FUN_022920",-0.142873167425342,0.818709028606746,0.998649612991003,NA,NA,NA,NA,NA,NA
"45",45,"Cluster_10051","ptg000017l:6446983-6447355",150,-22.25,2,21,171,197,24,"62.50%","75.00%","FUN_023334",-0.40400219393816,0.499965710065499,0.998649612991003,"ptg000017l:6442220-6446983","Q9HB40","Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1)","Homo sapiens (Human)","blood vessel diameter maintenance [GO:0097746]; negative regulation of blood pressure [GO:0045776]; proteolysis [GO:0006508]; retinoic acid metabolic process [GO:0042573]","GO:0004185; GO:0005829; GO:0006508; GO:0042573; GO:0045776; GO:0070062; GO:0097746"
"46",46,"Cluster_10051","ptg000017l:941960-942960",166,-21.05,2,17,716,736,15,"93.33%","93.33%","FUN_022873",0.128341197898181,0.837040624343782,0.998649612991003,"ptg000017l:942960-943967","P52953","Homeobox protein MSX-2 (Homeobox protein Hox-8-1)","Rattus norvegicus (Rat)","activation of meiosis [GO:0090427]; anterior/posterior pattern specification [GO:0009952]; BMP signaling pathway [GO:0030509]; BMP signaling pathway involved in heart development [GO:0061312]; bone morphogenesis [GO:0060349]; bone trabecula formation [GO:0060346]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cartilage development [GO:0051216]; cellular response to estradiol stimulus [GO:0071392]; cellular response to growth factor stimulus [GO:0071363]; chondrocyte development [GO:0002063]; embryonic digit morphogenesis [GO:0042733]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; embryonic limb morphogenesis [GO:0030326]; embryonic morphogenesis [GO:0048598]; embryonic nail plate morphogenesis [GO:0035880]; enamel mineralization [GO:0070166]; endochondral bone growth [GO:0003416]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; frontal suture morphogenesis [GO:0060364]; mammary gland epithelium development [GO:0061180]; mesenchymal cell apoptotic process [GO:0097152]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of keratinocyte differentiation [GO:0045617]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; odontogenesis [GO:0042476]; ossification [GO:0001503]; osteoblast development [GO:0002076]; osteoblast differentiation [GO:0001649]; outflow tract morphogenesis [GO:0003151]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cell death [GO:0010942]; positive regulation of mesenchymal cell apoptotic process [GO:2001055]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of timing of catagen [GO:0051795]; regulation of apoptotic process [GO:0042981]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction involved in regulation of gene expression [GO:0023019]; stem cell differentiation [GO:0048863]; transcription by RNA polymerase II [GO:0006366]; wound healing [GO:0042060]; wound healing, spreading of epidermal cells [GO:0035313]","GO:0000122; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001503; GO:0001649; GO:0002063; GO:0002076; GO:0003148; GO:0003151; GO:0003198; GO:0003416; GO:0003677; GO:0005634; GO:0005667; GO:0006357; GO:0006366; GO:0008285; GO:0009952; GO:0010942; GO:0023019; GO:0030326; GO:0030509; GO:0030513; GO:0032792; GO:0035115; GO:0035116; GO:0035313; GO:0035880; GO:0042060; GO:0042476; GO:0042733; GO:0042981; GO:0043065; GO:0043066; GO:0043565; GO:0045599; GO:0045617; GO:0045669; GO:0045892; GO:0048598; GO:0048863; GO:0051216; GO:0051795; GO:0060346; GO:0060349; GO:0060364; GO:0060444; GO:0061180; GO:0061312; GO:0070166; GO:0071363; GO:0071392; GO:0090427; GO:0097152; GO:1990837; GO:2000678; GO:2001055"
"47",47,"Cluster_10051","ptg000018l:7031166-7032166",156,-20.19,2,21,968,989,19,"57.89%","84.21%","FUN_024497",-0.114831279111567,0.854114234297733,0.998649612991003,NA,NA,NA,NA,NA,NA
"48",48,"Cluster_10051","ptg000019l:2186635-2187635",154,-20.05,2,19,550,569,17,"82.35%","82.35%","FUN_025392",0.564952069648082,0.321025583758806,0.998649612991003,"ptg000019l:2187635-2190134","P97864","Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (Cysteine protease LICE2) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]","Mus musculus (Mouse)","apoptotic process [GO:0006915]; cellular response to staurosporine [GO:0072734]; defense response to bacterium [GO:0042742]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; fibroblast apoptotic process [GO:0044346]; heart development [GO:0007507]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lymphocyte apoptotic process [GO:0070227]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of plasma membrane repair [GO:1905686]; protein catabolic process [GO:0030163]; protein processing [GO:0016485]; proteolysis [GO:0006508]; response to UV [GO:0009411]","GO:0003723; GO:0004190; GO:0004197; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0006508; GO:0006915; GO:0006954; GO:0007507; GO:0008233; GO:0008234; GO:0008303; GO:0009411; GO:0016485; GO:0030163; GO:0035556; GO:0042742; GO:0043065; GO:0043231; GO:0044346; GO:0051402; GO:0070227; GO:0072734; GO:0097153; GO:0097191; GO:0097193; GO:0097194; GO:0097200; GO:1905686"
"49",49,"Cluster_10051","ptg000019l:3905815-3906057",157,-20.49,2,19,173,195,18,"72.22%","83.33%","FUN_025529",0.774382389356872,0.124199651053957,0.998649612991003,NA,NA,NA,NA,NA,NA
"50",50,"Cluster_10051","ptg000020l:12119189-12120189",156,-23.87,2,13,72,93,11,"90.91%","100.00%","FUN_026661",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Cluster_10051","ptg000020l:14177063-14178063",163,-22.28,2,21,514,538,22,"68.18%","81.82%","FUN_026849",-0.308126576002738,0.613980534946383,0.998649612991003,NA,NA,NA,NA,NA,NA
"52",52,"Cluster_10051","ptg000021l:11114347-11115347",163,-26.17,2,21,417,439,20,"65.00%","90.00%","FUN_027814",0.677739133841698,0.208664593004033,0.998649612991003,NA,NA,NA,NA,NA,NA
"53",53,"Cluster_10051","ptg000021l:2258260-2259260",156,-23.87,2,13,100,121,11,"90.91%","100.00%","FUN_027248",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Cluster_10051","ptg000022l:2625302-2626302",156,-23.87,2,13,73,94,11,"90.91%","100.00%","FUN_028683",-0.22248603816439,0.719076690436035,0.998649612991003,NA,NA,NA,NA,NA,NA
"55",55,"Cluster_10051","ptg000022l:5486190-5487190",154,-20.44,2,21,352,372,19,"68.42%","78.95%","FUN_028871",-0.216845914796322,0.726082507821212,0.998649612991003,NA,NA,NA,NA,NA,NA
"56",56,"Cluster_10051","ptg000022l:5504136-5505136",154,-20.44,2,21,347,367,19,"68.42%","78.95%","FUN_028873",-0.0761144853513735,0.903181684020961,0.998649612991003,NA,NA,NA,NA,NA,NA
"57",57,"Cluster_10051","ptg000022l:6500625-6501625",166,-20.01,2,19,622,643,17,"76.47%","88.24%","FUN_028963",-0.476207236344532,0.417441215634275,0.998649612991003,NA,NA,NA,NA,NA,NA
"58",58,"Cluster_10051","ptg000023l:14155246-14156246",162,-22.68,2,21,302,322,19,"73.68%","84.21%","FUN_030640",0.978580789954303,0.00375092828341024,0.545343267336266,NA,NA,NA,NA,NA,NA
"59",59,"Cluster_10051","ptg000023l:28701419-28702419",150,-20.95,2,11,402,423,9,"100.00%","100.00%","FUN_032084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"Cluster_10051","ptg000023l:29121376-29122376",141,-20.74,2,12,445,465,10,"90.00%","90.00%","FUN_032133",0.802188920225255,0.102419904171384,0.998649612991003,"ptg000023l:29105077-29121376","Q7LHG5","Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]","GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197"
"61",61,"Cluster_10051","ptg000023l:3044243-3045243",159,-21.06,2,21,946,968,20,"70.00%","80.00%","FUN_029532",0.968136791844896,0.00679487480367087,0.667454393045194,"ptg000023l:3045243-3047214","P16157","Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)","Homo sapiens (Human)","cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]","GO:0005198; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030507; GO:0031430; GO:0043005; GO:0044325; GO:0045199; GO:0051117; GO:0072659"
"62",62,"Cluster_10051","ptg000023l:3721232-3722232",165,-23.74,2,20,955,975,18,"83.33%","83.33%","FUN_029613",0.138089706987878,0.824739116117988,0.998649612991003,"ptg000023l:3722232-3724455","E7FAM5","E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)","Danio rerio (Zebrafish) (Brachydanio rerio)","embryonic body morphogenesis [GO:0010172]; fibroblast growth factor receptor signaling pathway [GO:0008543]; G1/S transition of mitotic cell cycle [GO:0000082]; miRNA metabolic process [GO:0010586]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; neural tube development [GO:0021915]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein polyubiquitination [GO:0000209]; regulation of miRNA-mediated gene silencing [GO:0060964]; regulation of neural precursor cell proliferation [GO:2000177]; stem cell proliferation [GO:0072089]","GO:0000082; GO:0000209; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010172; GO:0010586; GO:0017148; GO:0021915; GO:0030371; GO:0035198; GO:0035278; GO:0043161; GO:0051865; GO:0060964; GO:0061630; GO:0072089; GO:2000177"
"63",63,"Cluster_10051","ptg000023l:43302764-43303764",159,-22.99,2,17,689,711,16,"75.00%","93.75%","FUN_033563",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"64",64,"Cluster_10051","ptg000024l:6118764-6119764",161,-21.3,2,20,973,993,18,"77.78%","83.33%","FUN_034212",0.657252268506758,0.228086502007384,0.998649612991003,NA,NA,NA,NA,NA,NA
"65",65,"Cluster_10051","ptg000024l:6880594-6881594",152,-20.72,2,21,331,350,19,"73.68%","78.95%","FUN_034267",-0.391555731506893,0.514505204520073,0.998649612991003,NA,NA,NA,NA,NA,NA
"66",66,"Cluster_10051","ptg000024l:9841963-9842963",161,-22.94,2,20,892,916,21,"71.43%","85.71%","FUN_034629",-0.429712457899088,0.470211419302524,0.998649612991003,NA,NA,NA,NA,NA,NA
"67",67,"Cluster_10051","ptg000025l:10051448-10052448",158,-21.15,2,21,333,353,19,"73.68%","78.95%","FUN_035629",0.0466297149480264,0.940650725278414,0.998649612991003,NA,NA,NA,NA,NA,NA
"68",68,"Cluster_10051","ptg000025l:17029308-17030308",157,-21.17,2,20,771,794,20,"70.00%","85.00%","FUN_036244",0.980509833063189,0.00325674264532644,0.545343267336266,"ptg000025l:17006276-17029308","Q7YRU6","Solute carrier family 12 member 7 (K-Cl cotransporter 4) (Potassium-chloride cotransporter isoform 4)","Oryctolagus cuniculus (Rabbit)","potassium ion transmembrane transport [GO:0071805]","GO:0005886; GO:0015379; GO:0071805"
"69",69,"Cluster_10051","ptg000025l:17029490-17030490",157,-21.17,2,20,589,612,20,"70.00%","85.00%","FUN_036245",-0.114831279111567,0.854114234297733,0.998649612991003,NA,NA,NA,NA,NA,NA
"70",70,"Cluster_10051","ptg000026l:10000179-10001179",149,-20.39,2,15,114,136,14,"71.43%","92.86%","FUN_037406",0.0809274753622794,0.897072521492781,0.998649612991003,NA,NA,NA,NA,NA,NA
"71",71,"Cluster_10051","ptg000026l:12585961-12586945",161,-21.24,2,21,269,290,20,"80.00%","80.00%","FUN_037704",0.153829013817712,0.804914037552495,0.998649612991003,NA,NA,NA,NA,NA,NA
"72",72,"Cluster_10051","ptg000026l:4640581-4641581",155,-20.48,2,21,609,631,20,"70.00%","75.00%","FUN_037020",NA,NA,NA,NA,NA,NA,NA,NA,NA
