Orthogroup	Duplications (all)	Duplications (50% support)
OG0000133	27	27
OG0000134	26	26
OG0000135	27	27
OG0000136	29	29
OG0000137	27	27
OG0000138	29	29
OG0000139	28	28
OG0000140	29	29
OG0000141	28	28
OG0000142	24	24
OG0000143	28	28
OG0000144	27	27
OG0000145	24	22
OG0000146	25	23
OG0000147	26	26
OG0000148	28	28
OG0000149	28	28
OG0000150	28	28
OG0000151	26	26
OG0000152	26	26
OG0000153	24	23
OG0000154	27	27
OG0000155	24	24
OG0000156	25	25
OG0000157	27	27
OG0000158	25	25
OG0000159	26	26
OG0000160	25	25
OG0000161	25	25
OG0000162	26	26
OG0000163	26	26
OG0000164	26	26
OG0000165	27	27
OG0000166	27	27
OG0000167	25	25
OG0000168	25	25
OG0000169	23	23
OG0000170	23	22
OG0000171	21	18
OG0000172	24	24
OG0000173	23	21
OG0000174	25	25
OG0000175	26	26
OG0000176	25	25
OG0000177	26	26
OG0000178	25	25
OG0000179	25	25
OG0000180	25	25
OG0000181	25	25
OG0000182	21	21
OG0000183	25	25
OG0000184	25	25
OG0000185	24	24
OG0000186	25	25
OG0000187	25	25
OG0000188	25	25
OG0000189	25	25
OG0000190	25	25
OG0000191	20	19
OG0000192	24	24
OG0000193	24	24
OG0000194	20	20
OG0000195	20	20
OG0000196	21	21
OG0000197	24	24
OG0000198	22	22
OG0000199	19	13
OG0000200	21	21
OG0000201	24	24
OG0000202	24	24
OG0000203	24	24
OG0000204	24	24
OG0000205	24	24
OG0000206	24	24
OG0000207	24	24
OG0000208	20	20
OG0000209	23	23
OG0000210	23	23
OG0000211	19	11
OG0000212	21	21
OG0000213	22	22
OG0000214	22	22
OG0000215	19	18
OG0000216	23	23
OG0000217	23	23
OG0000218	22	22
OG0000219	23	23
OG0000220	23	23
OG0000221	23	23
OG0000222	22	22
OG0000223	22	22
OG0000224	20	20
OG0000225	22	22
OG0000226	21	21
OG0000227	22	22
OG0000228	17	17
OG0000229	22	22
OG0000230	22	22
OG0000231	20	20
OG0000232	19	19
OG0000233	20	20
OG0000234	22	22
OG0000235	20	20
OG0000236	22	22
OG0000237	21	21
OG0000238	21	21
OG0000239	22	22
OG0000240	22	22
OG0000241	20	20
OG0000242	21	21
OG0000243	22	22
OG0000244	22	22
OG0000245	22	22
OG0000246	19	19
OG0000247	20	20
OG0000248	19	19
OG0000249	18	18
OG0000250	19	19
OG0000251	20	20
OG0000252	21	21
OG0000253	19	19
OG0000254	19	19
OG0000255	21	21
OG0000256	21	21
OG0000257	19	19
OG0000258	21	21
OG0000259	18	18
OG0000260	19	19
OG0000261	18	18
OG0000262	19	19
OG0000263	20	20
OG0000264	19	19
OG0000265	20	20
OG0000266	18	18
OG0000267	18	18
OG0000268	18	18
OG0000269	17	17
OG0000270	20	20
OG0000271	16	16
OG0000272	19	19
OG0000273	17	17
OG0000274	20	20
OG0000275	20	20
OG0000276	20	20
OG0000277	18	18
OG0000278	20	20
OG0000279	20	20
OG0000280	14	13
OG0000281	19	19
OG0000282	15	12
OG0000283	18	18
OG0000284	18	18
OG0000285	18	18
OG0000286	19	19
OG0000287	15	15
OG0000288	16	15
OG0000289	16	16
OG0000290	18	18
OG0000291	15	15
OG0000292	16	14
OG0000293	17	17
OG0000294	14	13
OG0000295	18	18
OG0000296	19	19
OG0000297	19	19
OG0000298	19	19
OG0000299	18	18
OG0000300	19	19
OG0000301	19	19
OG0000302	19	19
OG0000303	19	19
OG0000304	19	19
OG0000305	19	19
OG0000306	19	19
OG0000307	19	19
OG0000308	18	18
OG0000309	18	18
OG0000310	18	18
OG0000311	18	18
OG0000312	18	18
OG0000313	18	18
OG0000314	15	15
OG0000315	16	16
OG0000316	15	15
OG0000317	17	17
OG0000318	17	17
OG0000319	18	18
OG0000320	16	16
OG0000321	18	18
OG0000322	17	17
OG0000323	18	18
OG0000324	18	18
OG0000325	17	17
OG0000326	15	15
OG0000327	12	11
OG0000328	17	17
OG0000329	14	14
OG0000330	16	16
OG0000331	17	17
OG0000332	18	18
OG0000333	18	18
OG0000334	18	18
OG0000335	16	16
OG0000336	17	17
OG0000337	13	13
OG0000338	17	17
OG0000339	11	9
OG0000340	15	15
OG0000341	17	17
OG0000342	17	17
OG0000343	15	15
OG0000344	13	13
OG0000345	15	15
OG0000346	13	9
OG0000347	16	16
OG0000348	15	15
OG0000349	16	16
OG0000350	13	13
OG0000351	17	17
OG0000352	15	15
OG0000353	15	15
OG0000354	17	17
OG0000355	17	17
OG0000356	17	17
OG0000357	15	15
OG0000358	17	17
OG0000359	16	16
OG0000360	17	17
OG0000361	17	17
OG0000362	17	17
OG0000363	17	17
OG0000364	17	17
OG0000365	13	12
OG0000366	15	15
OG0000367	14	14
OG0000368	14	14
OG0000369	16	16
OG0000370	16	16
OG0000371	12	12
OG0000372	16	16
OG0000373	15	15
OG0000374	15	15
OG0000375	16	16
OG0000376	16	16
OG0000377	16	16
OG0000378	13	13
OG0000379	13	12
OG0000380	12	12
OG0000381	13	13
OG0000382	13	13
OG0000383	14	14
OG0000384	14	14
OG0000385	12	12
OG0000386	15	15
OG0000387	14	14
OG0000388	13	13
OG0000389	12	12
OG0000390	14	14
OG0000391	14	14
OG0000392	15	15
OG0000393	15	15
OG0000394	16	16
OG0000395	15	15
OG0000396	16	16
OG0000397	13	13
OG0000398	16	16
OG0000399	16	16
OG0000400	16	16
OG0000401	15	15
OG0000402	14	14
OG0000403	15	15
OG0000404	15	15
OG0000405	16	16
OG0000406	16	16
OG0000407	16	16
OG0000408	16	16
OG0000409	15	15
OG0000410	10	10
OG0000411	14	14
OG0000412	15	15
OG0000413	12	12
OG0000414	14	14
OG0000415	13	13
OG0000416	15	15
OG0000417	14	14
OG0000418	15	15
OG0000419	13	13
OG0000420	13	13
OG0000421	15	15
OG0000422	14	14
OG0000423	13	13
OG0000424	13	13
OG0000425	14	14
OG0000426	12	11
OG0000427	14	14
OG0000428	9	7
OG0000429	13	13
OG0000430	11	9
OG0000431	14	14
OG0000432	13	13
OG0000433	13	13
OG0000434	12	12
OG0000435	12	12
OG0000436	12	12
OG0000437	14	14
OG0000438	12	12
OG0000439	13	13
OG0000440	13	13
OG0000441	11	10
OG0000442	13	13
OG0000443	15	15
OG0000444	11	10
OG0000445	11	10
OG0000446	12	12
OG0000447	12	12
OG0000448	11	11
OG0000449	14	14
OG0000450	15	15
OG0000451	14	14
OG0000452	15	15
OG0000453	15	15
OG0000454	14	14
OG0000455	14	14
OG0000456	15	15
OG0000457	15	15
OG0000458	14	14
OG0000459	13	13
OG0000460	14	14
OG0000461	15	15
OG0000462	15	15
OG0000463	15	15
OG0000464	15	15
OG0000465	8	7
OG0000466	14	14
OG0000467	12	12
OG0000468	14	14
OG0000469	14	14
OG0000470	14	14
OG0000471	14	14
OG0000472	11	11
OG0000473	11	11
OG0000474	12	12
OG0000475	12	12
OG0000476	14	14
OG0000477	13	13
OG0000478	13	13
OG0000479	12	12
OG0000480	12	12
OG0000481	14	14
OG0000482	13	13
OG0000483	11	11
OG0000484	6	4
OG0000485	12	12
OG0000486	12	12
OG0000487	12	12
OG0000488	13	13
OG0000489	12	12
OG0000490	14	14
OG0000491	13	13
OG0000492	12	12
OG0000493	12	12
OG0000494	12	12
OG0000495	14	14
OG0000496	12	12
OG0000497	11	11
OG0000498	12	12
OG0000499	13	13
OG0000500	10	9
OG0000501	12	12
OG0000502	12	12
OG0000503	12	12
OG0000504	10	10
OG0000505	13	13
OG0000506	10	10
OG0000507	12	12
OG0000508	13	13
OG0000509	14	14
OG0000510	14	14
OG0000511	14	14
OG0000512	14	14
OG0000513	14	14
OG0000514	13	13
OG0000515	13	13
OG0000516	14	14
OG0000517	14	14
OG0000518	13	13
OG0000519	13	13
OG0000520	14	14
OG0000521	14	14
OG0000522	14	14
OG0000523	14	14
OG0000524	13	13
OG0000525	13	13
OG0000526	13	13
OG0000527	13	13
OG0000528	13	13
OG0000529	14	14
OG0000530	14	14
OG0000531	14	14
OG0000532	14	14
OG0000533	14	14
OG0000534	14	14
OG0000535	14	14
OG0000536	13	13
OG0000537	13	13
OG0000538	13	13
OG0000539	11	11
OG0000540	13	13
OG0000541	13	13
OG0000542	12	12
OG0000543	13	13
OG0000544	12	12
OG0000545	11	11
OG0000546	13	13
OG0000547	13	13
OG0000548	11	11
OG0000549	13	13
OG0000550	13	13
OG0000551	12	12
OG0000552	13	13
OG0000553	13	13
OG0000554	11	11
OG0000555	9	8
OG0000556	12	12
OG0000557	13	13
OG0000558	11	11
OG0000559	11	11
OG0000560	12	12
OG0000561	10	10
OG0000562	11	11
OG0000563	9	8
OG0000564	8	7
OG0000565	13	13
OG0000566	10	10
OG0000567	13	13
OG0000568	11	11
OG0000569	11	11
OG0000570	11	11
OG0000571	11	11
OG0000572	11	11
OG0000573	8	8
OG0000574	12	12
OG0000575	10	10
OG0000576	11	11
OG0000577	12	12
OG0000578	11	11
OG0000579	9	9
OG0000580	12	12
OG0000581	12	12
OG0000582	12	12
OG0000583	11	11
OG0000584	9	9
OG0000585	11	11
OG0000586	11	11
OG0000587	12	12
OG0000588	10	10
OG0000589	12	12
OG0000590	11	11
OG0000591	11	11
OG0000592	13	13
OG0000593	12	12
OG0000594	13	13
OG0000595	12	12
OG0000596	13	13
OG0000597	12	12
OG0000598	12	12
OG0000599	12	12
OG0000600	12	12
OG0000601	13	13
OG0000602	13	13
OG0000603	13	13
OG0000604	13	13
OG0000605	13	13
OG0000606	13	13
OG0000607	13	13
OG0000608	13	13
OG0000609	13	13
OG0000610	13	13
OG0000611	13	13
OG0000612	13	13
OG0000613	12	12
OG0000614	11	11
OG0000615	12	12
OG0000616	10	10
OG0000617	12	12
OG0000618	9	9
OG0000619	9	9
OG0000620	12	12
OG0000621	10	10
OG0000622	9	9
OG0000623	12	12
OG0000624	12	12
OG0000625	10	10
OG0000626	10	10
OG0000627	7	7
OG0000628	8	8
OG0000629	12	12
OG0000630	12	12
OG0000631	12	12
OG0000632	12	12
OG0000633	12	12
OG0000634	11	11
OG0000635	9	9
OG0000636	10	10
OG0000637	11	11
OG0000638	9	9
OG0000639	9	9
OG0000640	11	11
OG0000641	12	12
OG0000642	12	12
OG0000643	10	10
OG0000644	12	12
OG0000645	12	12
OG0000646	10	10
OG0000647	7	7
OG0000648	11	11
OG0000649	10	10
OG0000650	10	10
OG0000651	10	10
OG0000652	9	9
OG0000653	10	10
OG0000654	12	12
OG0000655	12	12
OG0000656	7	3
OG0000657	12	12
OG0000658	8	8
OG0000659	12	12
OG0000660	10	10
OG0000661	10	10
OG0000662	10	10
OG0000663	11	11
OG0000664	12	12
OG0000665	11	11
OG0000666	9	9
OG0000667	9	8
OG0000668	10	10
OG0000669	10	10
OG0000670	10	10
OG0000671	10	10
OG0000672	10	10
OG0000673	9	9
OG0000674	10	10
OG0000675	12	12
OG0000676	9	9
OG0000677	10	10
OG0000678	9	9
OG0000679	11	11
OG0000680	12	12
OG0000681	10	10
OG0000682	9	9
OG0000683	7	7
OG0000684	10	10
OG0000685	10	10
OG0000686	10	10
OG0000687	12	12
OG0000688	11	11
OG0000689	12	12
OG0000690	12	12
OG0000691	12	12
OG0000692	12	12
OG0000693	12	12
OG0000694	12	12
OG0000695	12	12
OG0000696	12	12
OG0000697	11	11
OG0000698	12	12
OG0000699	12	12
OG0000700	11	11
OG0000701	12	12
OG0000702	12	12
OG0000703	11	11
OG0000704	11	11
OG0000705	12	12
OG0000706	11	11
OG0000707	12	12
OG0000708	11	11
OG0000709	11	11
OG0000710	11	11
OG0000711	11	11
OG0000712	11	11
OG0000713	12	12
OG0000714	12	12
OG0000715	12	12
OG0000716	12	12
OG0000717	12	12
OG0000718	12	12
OG0000719	12	12
OG0000720	12	12
OG0000721	12	12
OG0000722	12	12
OG0000723	12	12
OG0000724	11	11
OG0000725	8	8
OG0000726	11	11
OG0000727	11	11
OG0000728	8	8
OG0000729	9	9
OG0000730	9	9
OG0000731	10	10
OG0000732	10	10
OG0000733	9	9
OG0000734	10	10
OG0000735	9	9
OG0000736	8	8
OG0000737	10	10
OG0000738	10	10
OG0000739	7	7
OG0000740	10	10
OG0000741	11	11
OG0000742	9	9
OG0000743	8	8
OG0000744	8	8
OG0000745	10	10
OG0000746	10	10
OG0000747	11	11
OG0000748	8	8
OG0000749	9	9
OG0000750	7	7
OG0000751	11	11
OG0000752	10	10
OG0000753	7	6
OG0000754	9	9
OG0000755	9	9
OG0000756	9	9
OG0000757	9	9
OG0000758	9	9
OG0000759	7	6
OG0000760	9	9
OG0000761	11	11
OG0000762	9	9
OG0000763	9	9
OG0000764	6	6
OG0000765	8	8
OG0000766	11	11
OG0000767	11	11
OG0000768	11	11
OG0000769	7	6
OG0000770	8	8
OG0000771	8	8
OG0000772	9	9
OG0000773	9	9
OG0000774	9	9
OG0000775	8	8
OG0000776	8	8
OG0000777	9	9
OG0000778	10	10
OG0000779	9	9
OG0000780	11	11
OG0000781	9	9
OG0000782	8	8
OG0000783	9	9
OG0000784	9	9
OG0000785	10	10
OG0000786	9	9
OG0000787	9	9
OG0000788	9	9
OG0000789	9	9
OG0000790	9	9
OG0000791	9	9
OG0000792	11	11
OG0000793	9	9
OG0000794	9	9
OG0000795	8	8
OG0000796	11	11
OG0000797	11	11
OG0000798	10	10
OG0000799	9	9
OG0000800	10	10
OG0000801	9	9
OG0000802	9	9
OG0000803	9	9
OG0000804	8	8
OG0000805	10	10
OG0000806	8	8
OG0000807	11	11
OG0000808	9	9
OG0000809	9	9
OG0000810	8	8
OG0000811	9	9
OG0000812	8	8
OG0000813	8	8
OG0000814	10	10
OG0000815	9	9
OG0000816	10	10
OG0000817	10	10
OG0000818	10	10
OG0000819	8	8
OG0000820	10	10
OG0000821	10	10
OG0000822	11	11
OG0000823	11	11
OG0000824	10	10
OG0000825	10	10
OG0000826	10	10
OG0000827	11	11
OG0000828	11	11
OG0000829	10	10
OG0000830	11	11
OG0000831	10	10
OG0000832	10	10
OG0000833	10	10
OG0000834	11	11
OG0000835	10	10
OG0000836	11	11
OG0000837	10	10
OG0000838	10	10
OG0000839	11	11
OG0000840	11	11
OG0000841	10	10
OG0000842	10	10
OG0000843	10	10
OG0000844	10	10
OG0000845	8	8
OG0000846	11	11
OG0000847	11	11
OG0000848	11	11
OG0000849	11	11
OG0000850	11	11
OG0000851	11	11
OG0000852	11	11
OG0000853	11	11
OG0000854	8	8
OG0000855	10	10
OG0000856	9	9
OG0000857	6	6
OG0000858	6	5
OG0000859	10	10
OG0000860	6	4
OG0000861	8	8
OG0000862	5	4
OG0000863	4	4
OG0000864	8	8
OG0000865	7	7
OG0000866	10	10
OG0000867	7	6
OG0000868	9	9
OG0000869	9	9
OG0000870	8	8
OG0000871	8	8
OG0000872	9	9
OG0000873	8	8
OG0000874	8	8
OG0000875	7	7
OG0000876	9	9
OG0000877	10	10
OG0000878	9	9
OG0000879	8	8
OG0000880	7	7
OG0000881	10	10
OG0000882	9	9
OG0000883	8	8
OG0000884	7	7
OG0000885	7	6
OG0000886	8	8
OG0000887	10	10
OG0000888	7	7
OG0000889	8	8
OG0000890	6	5
OG0000891	9	9
OG0000892	9	9
OG0000893	9	9
OG0000894	9	9
OG0000895	7	7
OG0000896	6	6
OG0000897	10	10
OG0000898	8	8
OG0000899	6	6
OG0000900	10	10
OG0000901	8	8
OG0000902	6	6
OG0000903	8	8
OG0000904	8	8
OG0000905	10	10
OG0000906	10	10
OG0000907	7	7
OG0000908	8	8
OG0000909	6	6
OG0000910	7	7
OG0000911	7	7
OG0000912	9	9
OG0000913	4	4
OG0000914	9	9
OG0000915	9	9
OG0000916	8	8
OG0000917	8	8
OG0000918	7	7
OG0000919	6	6
OG0000920	6	6
OG0000921	8	8
OG0000922	7	7
OG0000923	8	8
OG0000924	8	8
OG0000925	8	8
OG0000926	9	9
OG0000927	8	8
OG0000928	8	8
OG0000929	7	7
OG0000930	10	10
OG0000931	7	7
OG0000932	9	9
OG0000933	7	6
OG0000934	8	8
OG0000935	8	8
OG0000936	9	9
OG0000937	7	7
OG0000938	8	8
OG0000939	7	5
OG0000940	9	9
OG0000941	8	8
OG0000942	7	7
OG0000943	8	8
OG0000944	8	8
OG0000945	8	8
OG0000946	8	8
OG0000947	9	9
OG0000948	8	8
OG0000949	8	8
OG0000950	9	9
OG0000951	7	7
OG0000952	7	7
OG0000953	8	8
OG0000954	9	9
OG0000955	8	8
OG0000956	8	8
OG0000957	8	8
OG0000958	8	8
OG0000959	8	8
OG0000960	7	7
OG0000961	7	5
OG0000962	9	9
OG0000963	9	9
OG0000964	8	8
OG0000965	8	8
OG0000966	10	10
OG0000967	8	8
OG0000968	9	9
OG0000969	8	8
OG0000970	6	6
OG0000971	8	8
OG0000972	7	7
OG0000973	9	9
OG0000974	7	7
OG0000975	9	9
OG0000976	8	8
OG0000977	9	9
OG0000978	7	7
OG0000979	8	8
OG0000980	8	8
OG0000981	9	9
OG0000982	6	4
OG0000983	8	8
OG0000984	10	10
OG0000985	10	10
OG0000986	9	9
OG0000987	10	10
OG0000988	10	10
OG0000989	10	10
OG0000990	10	10
OG0000991	10	10
OG0000992	9	9
OG0000993	10	10
OG0000994	10	10
OG0000995	10	10
OG0000996	9	9
OG0000997	9	9
OG0000998	10	10
OG0000999	10	10
OG0001000	9	9
OG0001001	9	9
OG0001002	10	10
OG0001003	10	10
OG0001004	10	10
OG0001005	8	8
OG0001006	10	10
OG0001007	8	8
OG0001008	10	10
OG0001009	8	8
OG0001010	9	9
OG0001011	9	9
OG0001012	9	9
OG0001013	10	10
OG0001014	8	8
OG0001015	9	9
OG0001016	10	10
OG0001017	10	10
OG0001018	10	10
OG0001019	10	10
OG0001020	10	10
OG0001021	10	10
OG0001022	10	10
OG0001023	10	10
OG0001024	10	10
OG0001025	10	10
OG0001026	10	10
OG0001027	10	10
OG0001028	10	10
OG0001029	10	10
OG0001030	7	7
OG0001031	8	8
OG0001032	9	9
OG0001033	9	9
OG0001034	7	7
OG0001035	9	9
OG0001036	7	7
OG0001037	9	9
OG0001038	7	7
OG0001039	8	8
OG0001040	9	9
OG0001041	9	9
OG0001042	5	5
OG0001043	9	9
OG0001044	9	9
OG0001045	9	9
OG0001046	9	9
OG0001047	8	8
OG0001048	7	7
OG0001049	8	8
OG0001050	7	7
OG0001051	9	9
OG0001052	6	6
OG0001053	6	6
OG0001054	5	4
OG0001055	8	8
OG0001056	5	4
OG0001057	9	9
OG0001058	8	8
OG0001059	7	7
OG0001060	7	7
OG0001061	7	7
OG0001062	5	5
OG0001063	9	9
OG0001064	9	9
OG0001065	8	8
OG0001066	8	8
OG0001067	7	7
OG0001068	8	8
OG0001069	7	7
OG0001070	7	7
OG0001071	6	6
OG0001072	7	7
OG0001073	8	8
OG0001074	7	7
OG0001075	5	4
OG0001076	6	6
OG0001077	7	7
OG0001078	7	7
OG0001079	6	6
OG0001080	7	7
OG0001081	6	6
OG0001082	9	9
OG0001083	8	8
OG0001084	7	7
OG0001085	7	7
OG0001086	7	7
OG0001087	7	7
OG0001088	8	8
OG0001089	7	7
OG0001090	6	6
OG0001091	6	6
OG0001092	6	6
OG0001093	7	7
OG0001094	7	7
OG0001095	7	7
OG0001096	7	7
OG0001097	9	9
OG0001098	8	8
OG0001099	7	7
OG0001100	7	7
OG0001101	7	7
OG0001102	6	6
OG0001103	7	7
OG0001104	6	6
OG0001105	5	5
OG0001106	5	5
OG0001107	7	7
OG0001108	9	9
OG0001109	9	9
OG0001110	7	7
OG0001111	5	5
OG0001112	7	7
OG0001113	5	5
OG0001114	7	7
OG0001115	6	6
OG0001116	6	6
OG0001117	7	7
OG0001118	7	7
OG0001119	7	7
OG0001120	7	7
OG0001121	7	7
OG0001122	9	9
OG0001123	7	7
OG0001124	7	7
OG0001125	8	8
OG0001126	7	7
OG0001127	7	7
OG0001128	6	6
OG0001129	7	7
OG0001130	6	6
OG0001131	7	7
OG0001132	6	6
OG0001133	7	7
OG0001134	6	6
OG0001135	7	7
OG0001136	7	7
OG0001137	6	6
OG0001138	8	8
OG0001139	8	8
OG0001140	7	7
OG0001141	9	9
OG0001142	6	5
OG0001143	6	6
OG0001144	5	4
OG0001145	5	5
OG0001146	7	7
OG0001147	8	8
OG0001148	6	6
OG0001149	7	7
OG0001150	7	7
OG0001151	6	5
OG0001152	9	9
OG0001153	9	9
OG0001154	9	9
OG0001155	8	8
OG0001156	9	9
OG0001157	7	7
OG0001158	8	8
OG0001159	8	8
OG0001160	9	9
OG0001161	9	9
OG0001162	9	9
OG0001163	8	8
OG0001164	8	8
OG0001165	9	9
OG0001166	9	9
OG0001167	8	8
OG0001168	8	8
OG0001169	9	9
OG0001170	9	9
OG0001171	9	9
OG0001172	9	9
OG0001173	8	8
OG0001174	8	8
OG0001175	9	9
OG0001176	9	9
OG0001177	8	8
OG0001178	9	9
OG0001179	7	7
OG0001180	8	8
OG0001181	8	8
OG0001182	8	8
OG0001183	8	8
OG0001184	9	9
OG0001185	9	9
OG0001186	9	9
OG0001187	9	9
OG0001188	9	9
OG0001189	9	9
OG0001190	9	9
OG0001191	9	9
OG0001192	9	9
OG0001193	9	9
OG0001194	9	9
OG0001195	9	9
OG0001196	9	9
OG0001197	9	9
OG0001198	9	9
OG0001199	9	9
OG0001200	9	9
OG0001201	9	9
OG0001202	9	9
OG0001203	4	3
OG0001204	8	8
OG0001205	7	7
OG0001206	8	8
OG0001207	6	6
OG0001208	7	7
OG0001209	7	7
OG0001210	6	6
OG0001211	6	6
OG0001212	5	5
OG0001213	6	6
OG0001214	6	6
OG0001215	7	7
OG0001216	5	5
OG0001217	7	7
OG0001218	8	8
OG0001219	4	4
OG0001220	7	7
OG0001221	5	5
OG0001222	6	6
OG0001223	6	6
OG0001224	5	5
OG0001225	8	8
OG0001226	6	6
OG0001227	8	8
OG0001228	4	3
OG0001229	8	8
OG0001230	6	6
OG0001231	6	6
OG0001232	5	5
OG0001233	6	6
OG0001234	7	7
OG0001235	6	6
OG0001236	7	7
OG0001237	5	5
OG0001238	6	6
OG0001239	6	6
OG0001240	7	7
OG0001241	7	7
OG0001242	7	7
OG0001243	8	8
OG0001244	8	8
OG0001245	6	6
OG0001246	6	6
OG0001247	8	8
OG0001248	6	6
OG0001249	5	4
OG0001250	7	7
OG0001251	6	6
OG0001252	8	8
OG0001253	6	6
OG0001254	8	8
OG0001255	7	7
OG0001256	6	6
OG0001257	6	6
OG0001258	7	7
OG0001259	6	6
OG0001260	7	7
OG0001261	5	5
OG0001262	6	6
OG0001263	6	6
OG0001264	5	5
OG0001265	7	7
OG0001266	7	7
OG0001267	7	7
OG0001268	6	6
OG0001269	4	4
OG0001270	7	7
OG0001271	7	7
OG0001272	8	8
OG0001273	7	7
OG0001274	6	6
OG0001275	8	8
OG0001276	5	5
OG0001277	6	6
OG0001278	8	8
OG0001279	6	6
OG0001280	7	7
OG0001281	4	4
OG0001282	6	6
OG0001283	6	6
OG0001284	8	8
OG0001285	5	5
OG0001286	4	3
OG0001287	6	6
OG0001288	8	8
OG0001289	8	8
OG0001290	8	8
OG0001291	4	4
OG0001292	8	8
OG0001293	6	6
OG0001294	6	6
OG0001295	7	7
OG0001296	8	8
OG0001297	6	6
OG0001298	4	3
OG0001299	7	7
OG0001300	7	7
OG0001301	7	7
OG0001302	5	5
OG0001303	4	3
OG0001304	6	6
OG0001305	5	5
OG0001306	5	5
OG0001307	6	6
OG0001308	5	4
OG0001309	5	5
OG0001310	6	6
OG0001311	5	5
OG0001312	7	7
OG0001313	6	6
OG0001314	5	5
OG0001315	6	6
OG0001316	8	8
OG0001317	6	6
OG0001318	7	7
OG0001319	6	6
OG0001320	6	6
OG0001321	6	6
OG0001322	8	8
OG0001323	6	6
OG0001324	6	6
OG0001325	6	6
OG0001326	6	6
OG0001327	6	6
OG0001328	5	5
OG0001329	7	7
OG0001330	5	5
OG0001331	6	6
OG0001332	7	7
OG0001333	6	6
OG0001334	6	6
OG0001335	5	4
OG0001336	8	8
OG0001337	6	6
OG0001338	6	6
OG0001339	6	6
OG0001340	5	5
OG0001341	8	8
OG0001342	8	8
OG0001343	7	7
OG0001344	6	6
OG0001345	8	8
OG0001346	6	6
OG0001347	8	8
OG0001348	6	6
OG0001349	6	6
OG0001350	6	6
OG0001351	5	4
OG0001352	6	6
OG0001353	6	6
OG0001354	6	6
OG0001355	8	8
OG0001356	6	6
OG0001357	5	5
OG0001358	8	8
OG0001359	6	6
OG0001360	5	5
OG0001361	6	6
OG0001362	5	5
OG0001363	6	6
OG0001364	7	7
OG0001365	6	6
OG0001366	5	5
OG0001367	7	7
OG0001368	8	8
OG0001369	6	6
OG0001370	6	6
OG0001371	6	6
OG0001372	6	6
OG0001373	8	8
OG0001374	5	5
OG0001375	7	7
OG0001376	6	6
OG0001377	5	5
OG0001378	7	7
OG0001379	6	6
OG0001380	6	6
OG0001381	5	5
OG0001382	6	6
OG0001383	6	6
OG0001384	7	7
OG0001385	8	8
OG0001386	7	7
OG0001387	8	8
OG0001388	8	8
OG0001389	8	8
OG0001390	8	8
OG0001391	8	8
OG0001392	8	8
OG0001393	8	8
OG0001394	7	7
