"X.1","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","PCC.cor","p_value","adjusted_p_value","species"
85,"Cluster_10051","lncRNA_20908",148,-20.16,"2 14","165 187",13,"84.62%","84.62%",815351,0.743789314696923,0.14955172789171,0.999980945197546,"A. pulchra"
86,"Cluster_10051","lncRNA_21111",159,-20.7,"2 21","11711 11729",19,"78.95%","84.21%",823268,0.190044060719542,0.759492918911162,0.999980945197546,"A. pulchra"
87,"Cluster_10051","lncRNA_21528",148,-20.16,"2 14","837 859",13,"84.62%","84.62%",839531,0.585362509729922,0.299767618083248,0.999980945197546,"A. pulchra"
88,"Cluster_10051","lncRNA_21554",165,-21.87,"2 19","889 911",18,"83.33%","83.33%",840545,-0.407526732749957,0.495864163145167,0.999980945197546,"A. pulchra"
89,"Cluster_10051","lncRNA_22103",161,-22.55,"2 21","880 901",20,"70.00%","90.00%",861956,-0.226333560073287,0.714302821647213,0.999980945197546,"A. pulchra"
90,"Cluster_10051","lncRNA_2230",149,-20.38,"2 16","10685 10705",14,"71.43%","92.86%",86948,-0.388832383692523,0.517697819764086,0.999980945197546,"A. pulchra"
91,"Cluster_10051","lncRNA_2230",149,-20.38,"2 16","25426 25446",14,"71.43%","92.86%",86948,-0.388832383692523,0.517697819764086,0.999980945197546,"A. pulchra"
92,"Cluster_10051","lncRNA_2231",149,-20.38,"2 16","1150 1170",14,"71.43%","92.86%",86987,-0.273386690280549,0.656299229980338,0.999980945197546,"A. pulchra"
93,"Cluster_10051","lncRNA_22788",170,-22.02,"2 19","1263 1284",17,"82.35%","88.24%",888671,0.726091011294209,0.164831932160137,0.999980945197546,"A. pulchra"
94,"Cluster_10051","lncRNA_23518",157,-21.38,"2 20","325 345",18,"72.22%","83.33%",917141,-0.297631422228452,0.626715642984281,0.999980945197546,"A. pulchra"
95,"Cluster_10051","lncRNA_23575",170,-23.38,"2 19","73 94",17,"82.35%","88.24%",919364,0.00849034173383769,0.989189891035205,0.999980945197546,"A. pulchra"
96,"Cluster_10051","lncRNA_23602",169,-22.97,"2 20","95 118",20,"80.00%","90.00%",920417,0.893724800589326,0.0409199018373519,0.972855157123468,"A. pulchra"
97,"Cluster_10051","lncRNA_23895",158,-24.22,"2 21","355 379",22,"68.18%","81.82%",931844,-0.246562719917164,0.689277084491511,0.999980945197546,"A. pulchra"
98,"Cluster_10051","lncRNA_25287",155,-20.65,"2 20","563 584",18,"61.11%","83.33%",986132,-0.345691715452666,0.568782396690851,0.999980945197546,"A. pulchra"
99,"Cluster_10051","lncRNA_25313",157,-24.62,"2 21","24440 24461",20,"70.00%","85.00%",987146,-0.468629781692578,0.42594460669665,0.999980945197546,"A. pulchra"
100,"Cluster_10051","lncRNA_25370",158,-24.08,"2 21","814 840",24,"66.67%","79.17%",989369,0.511438500949006,0.378438048886883,0.999980945197546,"A. pulchra"
101,"Cluster_10051","lncRNA_25375",149,-21.62,"2 19","119 144",21,"61.90%","76.19%",989564,0.664358083814439,0.221295949563592,0.999980945197546,"A. pulchra"
102,"Cluster_10051","lncRNA_25444",149,-20.39,"2 15","11695 11717",14,"71.43%","92.86%",992255,-0.113234324781057,0.856134276200838,0.999980945197546,"A. pulchra"
103,"Cluster_10051","lncRNA_25444",149,-20.39,"2 15","4480 4502",14,"71.43%","92.86%",992255,-0.113234324781057,0.856134276200838,0.999980945197546,"A. pulchra"
104,"Cluster_10051","lncRNA_26016",161,-22.2,"2 19","12264 12287",19,"78.95%","78.95%",1014563,-0.353248503655106,0.559767488859572,0.999980945197546,"A. pulchra"
105,"Cluster_10051","lncRNA_26160",173,-25.37,"2 20","1683 1703",18,"88.89%","88.89%",1020179,-0.691918327395025,0.195509317848114,0.999980945197546,"A. pulchra"
106,"Cluster_10051","lncRNA_27197",163,-22.06,"2 21","13896 13920",22,"72.73%","77.27%",1060622,0.911403712833766,0.031232002252113,0.923578308636201,"A. pulchra"
107,"Cluster_10051","lncRNA_27236",147,-21.84,"2 21","968 992",22,"59.09%","72.73%",1062143,-0.225424447045841,0.715430424614425,0.999980945197546,"A. pulchra"
108,"Cluster_10051","lncRNA_27237",147,-21.84,"2 21","313 337",22,"59.09%","72.73%",1062182,0.049979818605246,0.936390222166227,0.999980945197546,"A. pulchra"
109,"Cluster_10051","lncRNA_27496",166,-20.14,"2 19","3043 3064",17,"82.35%","82.35%",1072283,-0.434529510099224,0.464680356355268,0.999980945197546,"A. pulchra"
110,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","11962 11983",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
111,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","13283 13304",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
112,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","14604 14625",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
113,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","15925 15946",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
114,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","19229 19250",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
115,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","27154 27175",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
116,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","30462 30483",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
117,"Cluster_10051","lncRNA_27520",172,-21.89,"2 21","35084 35105",19,"73.68%","89.47%",1073219,0.797636321223081,0.105898485686312,0.999980945197546,"A. pulchra"
118,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","11962 11983",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
119,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","13283 13304",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
120,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","14604 14625",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
121,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","15925 15946",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
122,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","19229 19250",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
123,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","27154 27175",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
124,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","30462 30483",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
125,"Cluster_10051","lncRNA_27521",172,-21.89,"2 21","35084 35105",19,"73.68%","89.47%",1073258,0.863062186167879,0.0595649667737819,0.972855157123468,"A. pulchra"
126,"Cluster_10051","lncRNA_27523",172,-21.89,"2 21","22620 22641",19,"73.68%","89.47%",1073336,0.896944825931778,0.039093868354971,0.972855157123468,"A. pulchra"
127,"Cluster_10051","lncRNA_27524",172,-21.89,"2 21","17251 17272",19,"73.68%","89.47%",1073375,0.878236061620065,0.050062939358976,0.972855157123468,"A. pulchra"
128,"Cluster_10051","lncRNA_27549",158,-20.08,"2 20","14458 14480",19,"68.42%","84.21%",1074350,0.399511770450874,0.505201377875833,0.999980945197546,"A. pulchra"
129,"Cluster_10051","lncRNA_27550",158,-20.08,"2 20","9972 9994",19,"68.42%","84.21%",1074389,0.336078806760178,0.580288787358538,0.999980945197546,"A. pulchra"
130,"Cluster_10051","lncRNA_28307",156,-21.5,"2 21","8221 8242",19,"63.16%","78.95%",1103912,0.194983559213491,0.753321404319131,0.999980945197546,"A. pulchra"
131,"Cluster_10051","lncRNA_28376",150,-25.29,"2 21","6916 6942",24,"62.50%","75.00%",1106603,0.700202666646349,0.187936150313335,0.999980945197546,"A. pulchra"
132,"Cluster_10051","lncRNA_29576",156,-21.5,"2 21","13525 13546",19,"63.16%","78.95%",1153403,0.163855039277512,0.792310632069014,0.999980945197546,"A. pulchra"
133,"Cluster_10051","lncRNA_30504",164,-24.77,"2 21","8662 8683",19,"73.68%","78.95%",1189595,0.0750018250888202,0.904594317258679,0.999980945197546,"A. pulchra"
134,"Cluster_10051","lncRNA_30507",164,-22.32,"2 21","5467 5488",19,"68.42%","84.21%",1189712,-0.391453824518938,0.514624599212465,0.999980945197546,"A. pulchra"
135,"Cluster_10051","lncRNA_30779",160,-22.9,"2 21","597 616",19,"78.95%","84.21%",1200320,-0.397386782594129,0.507682944513394,0.999980945197546,"A. pulchra"
136,"Cluster_10051","lncRNA_30882",165,-21.87,"2 19","444 466",18,"83.33%","83.33%",1204337,-0.542145574296308,0.345207936028568,0.999980945197546,"A. pulchra"
137,"Cluster_10051","lncRNA_30884",165,-21.87,"2 19","347 369",18,"83.33%","83.33%",1204415,-0.644494870373547,0.240417880648293,0.999980945197546,"A. pulchra"
138,"Cluster_10051","lncRNA_339",150,-20.15,"2 21","1191 1211",19,"63.16%","78.95%",13199,0.902567969697401,0.0359695821124778,0.958234348983841,"A. pulchra"
139,"Cluster_10051","lncRNA_3766",170,-22.02,"2 19","22202 22223",17,"82.35%","88.24%",146852,0.847931792715532,0.0695390103327536,0.98602693806824,"A. pulchra"
140,"Cluster_10051","lncRNA_3866",154,-20.18,"2 21","6551 6571",19,"68.42%","78.95%",150752,-0.362600823076852,0.548648681644771,0.999980945197546,"A. pulchra"
141,"Cluster_10051","lncRNA_3959",152,-20.86,"2 21","7978 7999",19,"63.16%","73.68%",154379,0.398603199063102,0.506262104325853,0.999980945197546,"A. pulchra"
142,"Cluster_10051","lncRNA_3960",152,-20.86,"2 21","4584 4605",19,"63.16%","73.68%",154418,0.833810166625921,0.0792695993025743,0.999980945197546,"A. pulchra"
143,"Cluster_10051","lncRNA_4071",150,-20.26,"2 20","617 639",19,"63.16%","78.95%",158747,0.380150696923183,0.527901915381483,0.999980945197546,"A. pulchra"
144,"Cluster_10051","lncRNA_4209",156,-20.89,"2 21","904 925",19,"63.16%","78.95%",164129,-0.652827780567826,0.232343080555835,0.999980945197546,"A. pulchra"
145,"Cluster_10051","lncRNA_4268",152,-20.86,"2 21","4684 4705",19,"63.16%","73.68%",166430,0.219824567073394,0.722381470892488,0.999980945197546,"A. pulchra"
146,"Cluster_10051","lncRNA_4269",152,-20.86,"2 21","3806 3827",19,"63.16%","73.68%",166469,0.661511203511292,0.22400972251169,0.999980945197546,"A. pulchra"
147,"Cluster_10051","lncRNA_4273",155,-20.58,"2 19","1496 1515",17,"76.47%","82.35%",166625,0.280891870957957,0.647117669093507,0.999980945197546,"A. pulchra"
148,"Cluster_10051","lncRNA_4397",152,-21.57,"2 21","95 116",19,"57.89%","78.95%",171461,-0.0535368187749705,0.931867381661139,0.999980945197546,"A. pulchra"
149,"Cluster_10051","lncRNA_4601",161,-22.44,"2 19","568 592",20,"75.00%","80.00%",179417,0.974352431864629,0.00491162582179648,0.581175362277977,"A. pulchra"
150,"Cluster_10051","lncRNA_4839",151,-20.65,"2 16","506 527",14,"78.57%","78.57%",188699,0.888939002019339,0.0436823213296858,0.972855157123468,"A. pulchra"
151,"Cluster_10051","lncRNA_4969",159,-20.58,"2 20","4222 4243",18,"66.67%","83.33%",193769,-0.0980051631592623,0.875415998187351,0.999980945197546,"A. pulchra"
152,"Cluster_10051","lncRNA_5217",159,-20.63,"2 16","1001 1022",14,"85.71%","85.71%",203402,-0.165418710338007,0.79034687216173,0.999980945197546,"A. pulchra"
153,"Cluster_10051","lncRNA_5275",164,-22.18,"2 21","9853 9874",19,"73.68%","78.95%",205664,0.233114678385372,0.705899760803415,0.999980945197546,"A. pulchra"
154,"Cluster_10051","lncRNA_5308",159,-21.08,"2 20","6205 6224",18,"83.33%","83.33%",206951,0.349739140538539,0.563950627197483,0.999980945197546,"A. pulchra"
155,"Cluster_10051","lncRNA_5926",161,-21.81,"2 20","3086 3110",21,"76.19%","80.95%",231053,0.910652226629321,0.0316265422606753,0.926658065507764,"A. pulchra"
156,"Cluster_10051","lncRNA_6027",159,-20.7,"2 21","349 367",19,"78.95%","84.21%",234992,-0.140459806437668,0.821750823721522,0.999980945197546,"A. pulchra"
157,"Cluster_10051","lncRNA_6143",165,-20.95,"2 20","4586 4606",18,"77.78%","88.89%",239516,-0.312893129173822,0.608211565557286,0.999980945197546,"A. pulchra"
158,"Cluster_10051","lncRNA_6144",165,-20.95,"2 20","4571 4591",18,"77.78%","88.89%",239555,-0.312893129173822,0.608211565557286,0.999980945197546,"A. pulchra"
