"id","type","group","size","color"
"Peve_00043301","mRNA","mRNA",10,"#4DBBD5"
"Peve_00030841","mRNA","mRNA",10,"#4DBBD5"
"Peve_00006285","mRNA","mRNA",10,"#4DBBD5"
"Peve_00011900","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021553","mRNA","mRNA",10,"#4DBBD5"
"Peve_00013205","mRNA","mRNA",10,"#4DBBD5"
"Peve_00032724","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043468","mRNA","mRNA",10,"#4DBBD5"
"Peve_00008133","mRNA","mRNA",10,"#4DBBD5"
"Peve_00001878","mRNA","mRNA",10,"#4DBBD5"
"Peve_00036519","mRNA","mRNA",10,"#4DBBD5"
"Peve_00030612","mRNA","mRNA",10,"#4DBBD5"
"Peve_00037399","mRNA","mRNA",10,"#4DBBD5"
"Peve_00038107","mRNA","mRNA",10,"#4DBBD5"
"Peve_00019126","mRNA","mRNA",10,"#4DBBD5"
"Peve_00013947","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043123","mRNA","mRNA",10,"#4DBBD5"
"Peve_00030693","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000601","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012638","mRNA","mRNA",10,"#4DBBD5"
"Peve_00003000","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021216","mRNA","mRNA",10,"#4DBBD5"
"Peve_00015043","mRNA","mRNA",10,"#4DBBD5"
"Peve_00001935","mRNA","mRNA",10,"#4DBBD5"
"Peve_00044964","mRNA","mRNA",10,"#4DBBD5"
"Peve_00036516","mRNA","mRNA",10,"#4DBBD5"
"Peve_00011858","mRNA","mRNA",10,"#4DBBD5"
"Peve_00029393","mRNA","mRNA",10,"#4DBBD5"
"Peve_00019237","mRNA","mRNA",10,"#4DBBD5"
"Peve_00039724","mRNA","mRNA",10,"#4DBBD5"
"Peve_00022350","mRNA","mRNA",10,"#4DBBD5"
"Peve_00001193","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012907","mRNA","mRNA",10,"#4DBBD5"
"Peve_00037614","mRNA","mRNA",10,"#4DBBD5"
"Peve_00018844","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000256","mRNA","mRNA",10,"#4DBBD5"
"Peve_00007613","mRNA","mRNA",10,"#4DBBD5"
"Peve_00014436","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023049","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012607","mRNA","mRNA",10,"#4DBBD5"
"Peve_00006347","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043325","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021224","mRNA","mRNA",10,"#4DBBD5"
"Peve_00026910","mRNA","mRNA",10,"#4DBBD5"
"Peve_00025489","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021676","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012722","mRNA","mRNA",10,"#4DBBD5"
"Peve_00004871","mRNA","mRNA",10,"#4DBBD5"
"Peve_00028810","mRNA","mRNA",10,"#4DBBD5"
"Peve_00014069","mRNA","mRNA",10,"#4DBBD5"
"Peve_00002661","mRNA","mRNA",10,"#4DBBD5"
"Peve_00013531","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000891","mRNA","mRNA",10,"#4DBBD5"
"Peve_00032829","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043724","mRNA","mRNA",10,"#4DBBD5"
"Peve_00025970","mRNA","mRNA",10,"#4DBBD5"
"Peve_00025028","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043521","mRNA","mRNA",10,"#4DBBD5"
"Peve_00039320","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000786","mRNA","mRNA",10,"#4DBBD5"
"Peve_00033364","mRNA","mRNA",10,"#4DBBD5"
"Peve_00024049","mRNA","mRNA",10,"#4DBBD5"
"Peve_00007535","mRNA","mRNA",10,"#4DBBD5"
"Peve_00044580","mRNA","mRNA",10,"#4DBBD5"
"Peve_00044581","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021049","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023227","mRNA","mRNA",10,"#4DBBD5"
"Peve_00020556","mRNA","mRNA",10,"#4DBBD5"
"Peve_00001444","mRNA","mRNA",10,"#4DBBD5"
"Peve_00013823","mRNA","mRNA",10,"#4DBBD5"
"Peve_00040371","mRNA","mRNA",10,"#4DBBD5"
"Peve_00040370","mRNA","mRNA",10,"#4DBBD5"
"Peve_00041130","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000334","mRNA","mRNA",10,"#4DBBD5"
"Peve_00008498","mRNA","mRNA",10,"#4DBBD5"
"Peve_00029820","mRNA","mRNA",10,"#4DBBD5"
"Peve_00037304","mRNA","mRNA",10,"#4DBBD5"
"Peve_00017540","mRNA","mRNA",10,"#4DBBD5"
"Peve_00029618","mRNA","mRNA",10,"#4DBBD5"
"Peve_00007832","mRNA","mRNA",10,"#4DBBD5"
"Peve_00002105","mRNA","mRNA",10,"#4DBBD5"
"Peve_00028990","mRNA","mRNA",10,"#4DBBD5"
"Peve_00045236","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000213","mRNA","mRNA",10,"#4DBBD5"
"Peve_00038927","mRNA","mRNA",10,"#4DBBD5"
"Peve_00042916","mRNA","mRNA",10,"#4DBBD5"
"Peve_00002033","mRNA","mRNA",10,"#4DBBD5"
"Peve_00019364","mRNA","mRNA",10,"#4DBBD5"
"Peve_00020364","mRNA","mRNA",10,"#4DBBD5"
"Peve_00006941","mRNA","mRNA",10,"#4DBBD5"
"Peve_00031444","mRNA","mRNA",10,"#4DBBD5"
"Peve_00016785","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012516","mRNA","mRNA",10,"#4DBBD5"
"Peve_00038025","mRNA","mRNA",10,"#4DBBD5"
"Peve_00012704","mRNA","mRNA",10,"#4DBBD5"
"Peve_00034569","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023336","mRNA","mRNA",10,"#4DBBD5"
"Peve_00028838","mRNA","mRNA",10,"#4DBBD5"
"Peve_00035609","mRNA","mRNA",10,"#4DBBD5"
"Peve_00044680","mRNA","mRNA",10,"#4DBBD5"
"Peve_00023421","mRNA","mRNA",10,"#4DBBD5"
"Peve_00026462","mRNA","mRNA",10,"#4DBBD5"
"Peve_00006824","mRNA","mRNA",10,"#4DBBD5"
"Peve_00041291","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021707","mRNA","mRNA",10,"#4DBBD5"
"Peve_00033304","mRNA","mRNA",10,"#4DBBD5"
"Peve_00010520","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021191","mRNA","mRNA",10,"#4DBBD5"
"Peve_00021645","mRNA","mRNA",10,"#4DBBD5"
"Peve_00038441","mRNA","mRNA",10,"#4DBBD5"
"Peve_00042442","mRNA","mRNA",10,"#4DBBD5"
"Peve_00014601","mRNA","mRNA",10,"#4DBBD5"
"Peve_00033630","mRNA","mRNA",10,"#4DBBD5"
"Peve_00007302","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043672","mRNA","mRNA",10,"#4DBBD5"
"Peve_00034555","mRNA","mRNA",10,"#4DBBD5"
"Peve_00045100","mRNA","mRNA",10,"#4DBBD5"
"Peve_00024638","mRNA","mRNA",10,"#4DBBD5"
"Peve_00027583","mRNA","mRNA",10,"#4DBBD5"
"Peve_00024588","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000905","mRNA","mRNA",10,"#4DBBD5"
"Peve_00032177","mRNA","mRNA",10,"#4DBBD5"
"Peve_00043019","mRNA","mRNA",10,"#4DBBD5"
"Peve_00015503","mRNA","mRNA",10,"#4DBBD5"
"Peve_00009459","mRNA","mRNA",10,"#4DBBD5"
"Peve_00039844","mRNA","mRNA",10,"#4DBBD5"
"Peve_00010457","mRNA","mRNA",10,"#4DBBD5"
"Peve_00000107","mRNA","mRNA",10,"#4DBBD5"
"Peve_00002367","mRNA","mRNA",10,"#4DBBD5"
"Peve_00003541","mRNA","mRNA",10,"#4DBBD5"
"Peve_00001450","mRNA","mRNA",10,"#4DBBD5"
"Peve_00033678","mRNA","mRNA",10,"#4DBBD5"
"Peve_00041933","mRNA","mRNA",10,"#4DBBD5"
"Peve_00032232","mRNA","mRNA",10,"#4DBBD5"
"Peve_00026202","mRNA","mRNA",10,"#4DBBD5"
"Peve_00036582","mRNA","mRNA",10,"#4DBBD5"
"Peve_00031673","mRNA","mRNA",10,"#4DBBD5"
"Peve_00018929","mRNA","mRNA",10,"#4DBBD5"
