Coords	Name	MIRNA	POR-73-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	POR-79-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	POR-82-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Porites_evermani_scaffold_3:273264-273693	Cluster_83	N	38	0	0
Porites_evermani_scaffold_3:274347-274774	Cluster_84	N	1	71	4
Porites_evermani_scaffold_3:351338-351765	Cluster_85	N	40	11	15
Porites_evermani_scaffold_3:377444-377871	Cluster_86	N	37	35	54
Porites_evermani_scaffold_3:378181-378609	Cluster_87	N	0	1	222
Porites_evermani_scaffold_3:379989-380417	Cluster_88	N	36	71	53
Porites_evermani_scaffold_3:442552-442961	Cluster_89	N	2	64	1
Porites_evermani_scaffold_3:524230-524659	Cluster_90	N	0	0	234
Porites_evermani_scaffold_3:569030-569452	Cluster_91	N	0	0	69
Porites_evermani_scaffold_3:601694-602109	Cluster_92	N	0	27	19
Porites_evermani_scaffold_3:612587-613004	Cluster_93	N	16	23	8
Porites_evermani_scaffold_3:616083-616505	Cluster_94	N	2	77	0
Porites_evermani_scaffold_3:884825-885244	Cluster_95	N	1	1	51
Porites_evermani_scaffold_3:887272-887701	Cluster_96	N	13	28	93
Porites_evermani_scaffold_3:906479-906970	Cluster_97	N	188	28	83
Porites_evermani_scaffold_3:957048-957474	Cluster_98	N	44	76	109
Porites_evermani_scaffold_3:957498-957915	Cluster_99	N	32	21	69
Porites_evermani_scaffold_3:959040-959464	Cluster_100	N	62	17	38
Porites_evermani_scaffold_3:959491-959910	Cluster_101	N	48	29	77
Porites_evermani_scaffold_3:960417-960842	Cluster_102	N	37	28	50
Porites_evermani_scaffold_3:963666-964590	Cluster_103	N	204	86	273
Porites_evermani_scaffold_3:969211-969639	Cluster_104	N	104	0	0
Porites_evermani_scaffold_3:1044837-1045245	Cluster_105	N	6	14	31
Porites_evermani_scaffold_3:1045267-1045693	Cluster_106	N	24	22	69
Porites_evermani_scaffold_3:1049000-1049427	Cluster_107	N	17	194	137
Porites_evermani_scaffold_3:1069617-1070037	Cluster_108	N	13	16	113
Porites_evermani_scaffold_3:1093422-1095688	Cluster_109	N	1720	1666	2605
Porites_evermani_scaffold_3:1105278-1105878	Cluster_110	N	205	67	44
Porites_evermani_scaffold_3:1106680-1107102	Cluster_111	N	40	67	50
Porites_evermani_scaffold_3:1111977-1112385	Cluster_112	N	8	23	15
Porites_evermani_scaffold_3:1113111-1113514	Cluster_113	N	62	13	66
Porites_evermani_scaffold_3:1116586-1117024	Cluster_114	N	60	52	25
Porites_evermani_scaffold_3:1134664-1135078	Cluster_115	N	43	20	1
Porites_evermani_scaffold_3:1149463-1149891	Cluster_116	N	82	12	12
Porites_evermani_scaffold_3:1150146-1150632	Cluster_117	N	16	50	83
Porites_evermani_scaffold_3:1151163-1151593	Cluster_118	N	50	54	71
Porites_evermani_scaffold_3:1154760-1156560	Cluster_119	N	33	34	618
Porites_evermani_scaffold_3:1157559-1159124	Cluster_120	N	2936	926	1779
Porites_evermani_scaffold_3:1197278-1197756	Cluster_121	N	527	383	0
Porites_evermani_scaffold_3:1198609-1199025	Cluster_122	N	37	17	0
Porites_evermani_scaffold_3:1207847-1208699	Cluster_123	N	102	121	68
Porites_evermani_scaffold_3:1213994-1214423	Cluster_124	N	38	127	71
Porites_evermani_scaffold_3:1214607-1215346	Cluster_125	N	156	217	234
Porites_evermani_scaffold_3:1215989-1218604	Cluster_126	N	739	323	1134
Porites_evermani_scaffold_3:1219491-1220023	Cluster_127	N	63	33	492
Porites_evermani_scaffold_3:1220310-1221518	Cluster_128	N	2698	12224	5348
Porites_evermani_scaffold_3:1221608-1222513	Cluster_129	N	177	284	334
Porites_evermani_scaffold_3:1222669-1223086	Cluster_130	N	35	52	1
Porites_evermani_scaffold_3:1226088-1226516	Cluster_131	N	21	25	7
Porites_evermani_scaffold_3:1226559-1227281	Cluster_132	N	487	101	2
Porites_evermani_scaffold_3:1229476-1230396	Cluster_133	N	28	429	11
Porites_evermani_scaffold_3:1237576-1238733	Cluster_134	N	60	1254	117
Porites_evermani_scaffold_3:1239758-1240186	Cluster_135	N	55	40	63
Porites_evermani_scaffold_3:1240254-1240683	Cluster_136	N	31	39	44
Porites_evermani_scaffold_3:1251999-1252411	Cluster_137	N	62	29	8
Porites_evermani_scaffold_3:1260400-1260915	Cluster_138	N	334	115	87
Porites_evermani_scaffold_3:1262077-1262982	Cluster_139	N	66	310	70
Porites_evermani_scaffold_3:1272632-1273032	Cluster_140	N	42	39	1
Porites_evermani_scaffold_3:1273279-1274564	Cluster_141	N	686	511	81
Porites_evermani_scaffold_3:1274579-1275176	Cluster_142	N	38	140	95
Porites_evermani_scaffold_3:1275513-1275923	Cluster_143	N	48	43	49
Porites_evermani_scaffold_3:1276350-1277621	Cluster_144	N	775	1444	541
Porites_evermani_scaffold_3:1286604-1287032	Cluster_145	N	52	107	36
Porites_evermani_scaffold_3:1291634-1292052	Cluster_146	N	9	141	6
Porites_evermani_scaffold_3:1294468-1294897	Cluster_147	N	29	73	0
Porites_evermani_scaffold_3:1296998-1297427	Cluster_148	N	54	107	1
Porites_evermani_scaffold_3:1297637-1298052	Cluster_149	N	40	69	11
Porites_evermani_scaffold_3:1299150-1300859	Cluster_150	N	270	288	191
Porites_evermani_scaffold_3:1300922-1301348	Cluster_151	N	43	58	7
Porites_evermani_scaffold_3:1301527-1302311	Cluster_152	N	193	306	86
Porites_evermani_scaffold_3:1302571-1303021	Cluster_153	N	16	85	29
Porites_evermani_scaffold_3:1304070-1304695	Cluster_154	N	138	252	8
Porites_evermani_scaffold_3:1319343-1320095	Cluster_155	N	97	101	113
Porites_evermani_scaffold_3:1320119-1321662	Cluster_156	N	572	301	1260
Porites_evermani_scaffold_3:1321696-1322655	Cluster_157	N	305	235	436
Porites_evermani_scaffold_3:1322753-1323466	Cluster_158	N	160	132	223
Porites_evermani_scaffold_3:1323501-1323931	Cluster_159	N	100	62	65
Porites_evermani_scaffold_3:1323956-1324623	Cluster_160	N	55	75	131
Porites_evermani_scaffold_3:1324678-1325110	Cluster_161	N	85	66	135
Porites_evermani_scaffold_3:1327233-1328023	Cluster_162	N	645	4	0
Porites_evermani_scaffold_3:1328068-1328496	Cluster_163	N	138	14	0
Porites_evermani_scaffold_3:1331195-1331819	Cluster_164	N	92	15	7
Porites_evermani_scaffold_3:1340908-1343571	Cluster_165	N	2503	2338	30
Porites_evermani_scaffold_3:1344094-1345112	Cluster_166	N	174	177	5
Porites_evermani_scaffold_3:1346322-1346750	Cluster_167	N	79	54	0
Porites_evermani_scaffold_3:1347151-1347570	Cluster_168	N	25	48	1
Porites_evermani_scaffold_3:1350580-1351061	Cluster_169	N	187	229	0
Porites_evermani_scaffold_3:1352636-1356583	Cluster_170	N	4751	4379	1928
Porites_evermani_scaffold_3:1360192-1360601	Cluster_171	N	12	17	35
Porites_evermani_scaffold_3:1360949-1361396	Cluster_172	N	110	88	112
Porites_evermani_scaffold_3:1363133-1363562	Cluster_173	N	72	56	157
Porites_evermani_scaffold_3:1363766-1364386	Cluster_174	N	60	55	160
Porites_evermani_scaffold_3:1365262-1365691	Cluster_175	N	968	24	8
Porites_evermani_scaffold_3:1370860-1371321	Cluster_176	N	52	35	30
Porites_evermani_scaffold_3:1376344-1376771	Cluster_177	N	132	3	11
Porites_evermani_scaffold_3:1377158-1377571	Cluster_178	N	74	21	35
Porites_evermani_scaffold_3:1378170-1378589	Cluster_179	N	55	24	155
Porites_evermani_scaffold_3:1380410-1381535	Cluster_180	N	135	116	87
Porites_evermani_scaffold_3:1383064-1383483	Cluster_181	N	26	16	51
Porites_evermani_scaffold_3:1384866-1385295	Cluster_182	N	38	27	66
Porites_evermani_scaffold_3:1387127-1387536	Cluster_183	N	36	26	17
Porites_evermani_scaffold_3:1387840-1388335	Cluster_184	N	147	264	110
Porites_evermani_scaffold_3:1388819-1389248	Cluster_185	N	10	6	64
Porites_evermani_scaffold_3:1389637-1390039	Cluster_186	N	18	42	49
Porites_evermani_scaffold_3:1390437-1390991	Cluster_187	N	70	98	41
Porites_evermani_scaffold_3:1391273-1391700	Cluster_188	N	22	50	5
Porites_evermani_scaffold_3:1394691-1395119	Cluster_189	N	15	25	154
Porites_evermani_scaffold_3:1395794-1396347	Cluster_190	N	87	103	1
Porites_evermani_scaffold_3:1396784-1397676	Cluster_191	N	1638	955	2
Porites_evermani_scaffold_3:1402852-1403281	Cluster_192	N	20	19	58
Porites_evermani_scaffold_3:1405354-1405850	Cluster_193	N	31	459	76
Porites_evermani_scaffold_3:1406592-1407020	Cluster_194	N	51	26	15
Porites_evermani_scaffold_3:1407213-1407618	Cluster_195	N	17	39	22
Porites_evermani_scaffold_3:1407785-1409009	Cluster_196	N	1334	2097	955
Porites_evermani_scaffold_3:1409311-1409884	Cluster_197	N	85	96	59
Porites_evermani_scaffold_3:1410328-1411115	Cluster_198	N	416	389	357
Porites_evermani_scaffold_3:1411652-1413346	Cluster_199	N	649	1077	939
Porites_evermani_scaffold_3:1415503-1415919	Cluster_200	N	31	53	0
Porites_evermani_scaffold_3:1416069-1416548	Cluster_201	N	54	148	1
Porites_evermani_scaffold_3:1417847-1420479	Cluster_202	N	3892	6278	789
Porites_evermani_scaffold_3:1420879-1422055	Cluster_203	N	1420	677	15
Porites_evermani_scaffold_3:1451367-1451794	Cluster_204	N	20	23	18
Porites_evermani_scaffold_4:54594-55016	Cluster_205	N	46	4	43
Porites_evermani_scaffold_4:95813-96267	Cluster_206	N	665	366	135
Porites_evermani_scaffold_4:292779-293196	Cluster_207	N	10	51	17
Porites_evermani_scaffold_4:302715-303136	Cluster_208	N	1	97	22
Porites_evermani_scaffold_4:415892-416310	Cluster_209	N	5	13	47
Porites_evermani_scaffold_4:490604-492432	Cluster_210	N	4644	2029	3686
Porites_evermani_scaffold_4:547165-547586	Cluster_211	N	31	14	65
Porites_evermani_scaffold_4:626910-627321	Cluster_212	N	19	10	29
Porites_evermani_scaffold_4:760150-760568	Cluster_213	N	0	26	36
Porites_evermani_scaffold_4:925824-926466	Cluster_214	N	188	69	69
Porites_evermani_scaffold_4:1080056-1080761	Cluster_215	N	619	7	2
Porites_evermani_scaffold_4:1088658-1089236	Cluster_216	N	275	11	0
Porites_evermani_scaffold_4:1089286-1089864	Cluster_217	N	248	9	3
Porites_evermani_scaffold_4:1091092-1091513	Cluster_218	N	94	7	0
Porites_evermani_scaffold_4:1091736-1092166	Cluster_219	N	157	16	0
Porites_evermani_scaffold_4:1131056-1131475	Cluster_220	N	87	0	0
Porites_evermani_scaffold_4:1138212-1138641	Cluster_221	N	0	21	34
Porites_evermani_scaffold_4:1193656-1194074	Cluster_222	N	53	9	3
Porites_evermani_scaffold_4:1317075-1317494	Cluster_223	N	48	0	10
Porites_evermani_scaffold_5:63778-64207	Cluster_224	N	136	28	46
Porites_evermani_scaffold_5:105456-105875	Cluster_225	N	30	15	23
Porites_evermani_scaffold_5:106083-106488	Cluster_226	N	48	8	5
Porites_evermani_scaffold_5:169363-169772	Cluster_227	N	157	5	2
Porites_evermani_scaffold_5:199226-199643	Cluster_228	N	28	17	15
Porites_evermani_scaffold_5:240611-241033	Cluster_229	N	31	12	38
Porites_evermani_scaffold_5:328988-329416	Cluster_230	N	13	10	36
Porites_evermani_scaffold_5:412045-412450	Cluster_231	N	2	39	115
Porites_evermani_scaffold_5:412878-413293	Cluster_232	N	4	46	86
Porites_evermani_scaffold_5:414677-415498	Cluster_233	N	9	85	137
Porites_evermani_scaffold_5:503131-503689	Cluster_234	N	5	265	11
Porites_evermani_scaffold_5:572500-573131	Cluster_235	N	32	99	58
Porites_evermani_scaffold_5:701264-701679	Cluster_236	N	130	10	1
Porites_evermani_scaffold_5:723897-724324	Cluster_237	N	59	0	6
Porites_evermani_scaffold_5:813209-813631	Cluster_238	N	0	7	58
Porites_evermani_scaffold_5:813805-814458	Cluster_239	N	27	34	129
Porites_evermani_scaffold_5:863209-863638	Cluster_240	N	2	104	1
Porites_evermani_scaffold_5:873226-873631	Cluster_241	N	34	13	0
Porites_evermani_scaffold_5:874613-875043	Cluster_242	N	215	76	32
Porites_evermani_scaffold_5:1012439-1012868	Cluster_243	N	98	2	1017
Porites_evermani_scaffold_5:1148363-1148790	Cluster_244	N	18	26	1
Porites_evermani_scaffold_5:1242798-1243198	Cluster_245	N	66	2	0
Porites_evermani_scaffold_6:4655-5082	Cluster_246	N	39	0	32
Porites_evermani_scaffold_6:62477-62895	Cluster_247	N	31	31	17
Porites_evermani_scaffold_6:152687-153107	Cluster_248	N	33	14	30
Porites_evermani_scaffold_6:161534-161961	Cluster_249	N	12	87	20
Porites_evermani_scaffold_6:177564-177989	Cluster_250	N	47	8	21
Porites_evermani_scaffold_6:193620-194028	Cluster_251	N	33	19	27
Porites_evermani_scaffold_6:282945-283858	Cluster_252	N	51	1905	934
Porites_evermani_scaffold_6:365034-365452	Cluster_253	N	13	88	77
Porites_evermani_scaffold_6:391737-392157	Cluster_254	N	17	92	72
Porites_evermani_scaffold_6:402256-402676	Cluster_255	N	21	9	38
Porites_evermani_scaffold_6:482535-482964	Cluster_256	N	119	0	5
Porites_evermani_scaffold_6:553430-553863	Cluster_257	N	343	208	13
Porites_evermani_scaffold_6:602452-602869	Cluster_258	N	0	17	32
Porites_evermani_scaffold_6:604820-605237	Cluster_259	N	15	4	34
Porites_evermani_scaffold_6:936404-936827	Cluster_260	N	24	29	14
Porites_evermani_scaffold_6:1001262-1001679	Cluster_261	N	9	7	57
Porites_evermani_scaffold_6:1137018-1137507	Cluster_262	N	426	275	2
Porites_evermani_scaffold_6:1143326-1144244	Cluster_263	N	947	246	0
Porites_evermani_scaffold_6:1226597-1227005	Cluster_264	N	11	7	22
Porites_evermani_scaffold_6:1249434-1249860	Cluster_265	N	35	72	172
Porites_evermani_scaffold_6:1258213-1258640	Cluster_266	N	8	12	54
Porites_evermani_scaffold_6:1315887-1316336	Cluster_267	N	1	115	250
Porites_evermani_scaffold_6:1339948-1340486	Cluster_268	N	218	113	515
Porites_evermani_scaffold_6:1352686-1353103	Cluster_269	N	44	1	0
Porites_evermani_scaffold_6:1359837-1360264	Cluster_270	N	16	1	102
Porites_evermani_scaffold_6:1376280-1376703	Cluster_271	N	363	0	0
Porites_evermani_scaffold_7:22242-22666	Cluster_272	N	36	10	18
Porites_evermani_scaffold_7:24499-24919	Cluster_273	N	0	3	49
Porites_evermani_scaffold_7:83888-84316	Cluster_274	N	175	67	2
Porites_evermani_scaffold_7:325805-326238	Cluster_275	N	13	12	514
Porites_evermani_scaffold_7:379394-379992	Cluster_276	N	280	343	446
Porites_evermani_scaffold_7:521035-521464	Cluster_277	N	37	63	37
Porites_evermani_scaffold_7:551264-551684	Cluster_278	N	34	61	81
Porites_evermani_scaffold_7:695823-696227	Cluster_279	N	15	11	22
Porites_evermani_scaffold_7:703401-703826	Cluster_280	N	19	45	39
Porites_evermani_scaffold_7:740974-741402	Cluster_281	N	82	5	0
Porites_evermani_scaffold_7:758390-758816	Cluster_282	N	3	47	17
Porites_evermani_scaffold_7:799064-799479	Cluster_283	N	22	17	15
Porites_evermani_scaffold_7:871107-871535	Cluster_284	N	619	77	1
Porites_evermani_scaffold_7:947199-947620	Cluster_285	N	9	3	94
Porites_evermani_scaffold_7:948305-948733	Cluster_286	N	109	13	519
Porites_evermani_scaffold_7:980073-980494	Cluster_287	N	79	82	25
Porites_evermani_scaffold_7:980867-981295	Cluster_288	N	62	12	9
Porites_evermani_scaffold_7:984342-984762	Cluster_289	N	24	20	11
Porites_evermani_scaffold_7:985821-986319	Cluster_290	N	57	72	246
Porites_evermani_scaffold_7:1052930-1053348	Cluster_291	N	40	9	27
Porites_evermani_scaffold_7:1076738-1077145	Cluster_292	N	11	19	28
Porites_evermani_scaffold_7:1098409-1098826	Cluster_293	N	15	14	49
Porites_evermani_scaffold_7:1196227-1196671	Cluster_294	N	45	0	1652
Porites_evermani_scaffold_8:49407-49838	Cluster_295	N	0	835	0
Porites_evermani_scaffold_8:163540-163952	Cluster_296	N	0	70	23
Porites_evermani_scaffold_8:184797-185215	Cluster_297	N	24	15	1
Porites_evermani_scaffold_8:305170-305593	Cluster_298	N	30	73	69
Porites_evermani_scaffold_8:314157-314576	Cluster_299	N	24	39	35
Porites_evermani_scaffold_8:365601-366267	Cluster_300	N	11	71	75
Porites_evermani_scaffold_8:368030-368454	Cluster_301	N	44	1	1
Porites_evermani_scaffold_8:434154-434811	Cluster_302	N	25	71	96
Porites_evermani_scaffold_8:437336-437764	Cluster_303	N	7	1	87
Porites_evermani_scaffold_8:492383-492802	Cluster_304	N	8	29	11
Porites_evermani_scaffold_8:516599-517014	Cluster_305	N	22	11	20
Porites_evermani_scaffold_8:567773-569290	Cluster_306	N	881	309	126
Porites_evermani_scaffold_8:921938-922365	Cluster_307	N	0	0	137
Porites_evermani_scaffold_8:946065-946494	Cluster_308	N	0	4	167
Porites_evermani_scaffold_8:994852-995266	Cluster_309	N	12	3	43
Porites_evermani_scaffold_8:995820-996351	Cluster_310	N	240	36	88
Porites_evermani_scaffold_8:1027868-1028765	Cluster_311	N	322	66	211
Porites_evermani_scaffold_8:1030920-1031327	Cluster_312	N	35	22	18
Porites_evermani_scaffold_8:1031486-1032483	Cluster_313	N	1429	117	2499
Porites_evermani_scaffold_8:1053194-1053611	Cluster_314	N	0	4	50
Porites_evermani_scaffold_8:1079295-1079718	Cluster_315	N	1	2	178
Porites_evermani_scaffold_8:1080029-1080448	Cluster_316	N	9	87	1
Porites_evermani_scaffold_8:1102354-1102771	Cluster_317	N	3	20	20
Porites_evermani_scaffold_8:1134279-1134682	Cluster_318	N	26	26	59
Porites_evermani_scaffold_8:1148044-1148460	Cluster_319	N	7	3	35
Porites_evermani_scaffold_8:1157458-1157860	Cluster_320	N	17	23	35
Porites_evermani_scaffold_8:1161103-1161536	Cluster_321	N	80	38	42
Porites_evermani_scaffold_8:1164283-1164710	Cluster_322	N	11	46	62
Porites_evermani_scaffold_8:1178042-1178524	Cluster_323	N	7	68	45
Porites_evermani_scaffold_8:1178905-1179328	Cluster_324	N	14	15	41
Porites_evermani_scaffold_9:8650-9078	Cluster_325	N	10	0	50
Porites_evermani_scaffold_9:16281-16708	Cluster_326	N	18	55	116
Porites_evermani_scaffold_9:62490-62918	Cluster_327	N	40	22	14
Porites_evermani_scaffold_9:99132-99555	Cluster_328	N	34	10	28
Porites_evermani_scaffold_9:184038-185063	Cluster_329	N	54	172	80
Porites_evermani_scaffold_9:185660-187250	Cluster_330	N	440	908	250
Porites_evermani_scaffold_9:301892-302412	Cluster_331	N	89	313	371
Porites_evermani_scaffold_9:406881-407360	Cluster_332	N	12	462	2
Porites_evermani_scaffold_9:410079-410590	Cluster_333	N	46	118	29
Porites_evermani_scaffold_9:425203-425612	Cluster_334	N	13	3	23
Porites_evermani_scaffold_9:454420-454848	Cluster_335	N	16	36	41
Porites_evermani_scaffold_9:563274-563701	Cluster_336	N	1	54	0
Porites_evermani_scaffold_9:574284-574713	Cluster_337	N	56	7	19
Porites_evermani_scaffold_9:687232-687653	Cluster_338	N	9	1	41
Porites_evermani_scaffold_9:687874-689738	Cluster_339	N	1911	1479	2169
Porites_evermani_scaffold_9:689868-691319	Cluster_340	N	372	401	577
Porites_evermani_scaffold_9:691462-691908	Cluster_341	N	79	63	84
Porites_evermani_scaffold_9:710348-710766	Cluster_342	N	56	0	0
Porites_evermani_scaffold_9:729106-729528	Cluster_343	N	51	11	5
Porites_evermani_scaffold_9:751552-752805	Cluster_344	N	47	162	386
Porites_evermani_scaffold_9:753625-754264	Cluster_345	N	13	179	229
Porites_evermani_scaffold_9:754557-755227	Cluster_346	N	52	106	127
Porites_evermani_scaffold_9:755296-758524	Cluster_347	N	833	1729	2537
Porites_evermani_scaffold_9:791759-792188	Cluster_348	N	191	22	61
Porites_evermani_scaffold_9:891226-891645	Cluster_349	N	65	22	22
Porites_evermani_scaffold_9:981482-981908	Cluster_350	N	0	1	83
Porites_evermani_scaffold_9:981956-982385	Cluster_351	N	1	0	122
Porites_evermani_scaffold_9:1003430-1004241	Cluster_352	N	191	55	889
Porites_evermani_scaffold_9:1006158-1007170	Cluster_353	N	436	304	572
Porites_evermani_scaffold_9:1019635-1020052	Cluster_354	N	2	26	29
Porites_evermani_scaffold_9:1069869-1070488	Cluster_355	N	1	89	121
Porites_evermani_scaffold_10:187039-187456	Cluster_356	N	14	24	20
Porites_evermani_scaffold_10:189279-189759	Cluster_357	N	77	89	91
Porites_evermani_scaffold_10:189845-190269	Cluster_358	N	41	52	38
Porites_evermani_scaffold_10:193839-194264	Cluster_359	N	52	62	67
Porites_evermani_scaffold_10:240068-240485	Cluster_360	N	66	43	145
Porites_evermani_scaffold_10:258153-258566	Cluster_361	N	37	0	33
Porites_evermani_scaffold_10:305672-306091	Cluster_362	N	0	24	26
Porites_evermani_scaffold_10:403923-404467	Cluster_363	N	0	506	293
Porites_evermani_scaffold_10:556434-556856	Cluster_364	N	71	0	1
Porites_evermani_scaffold_10:561705-562125	Cluster_365	N	31	9	8
Porites_evermani_scaffold_10:565492-565912	Cluster_366	N	70	3	3
Porites_evermani_scaffold_10:566850-567267	Cluster_367	N	84	15	10
Porites_evermani_scaffold_10:610525-610954	Cluster_368	N	3	0	48
Porites_evermani_scaffold_10:635948-636375	Cluster_369	N	559	0	0
Porites_evermani_scaffold_10:716128-717150	Cluster_370	N	381	251	843
