V1	GO_terms
Pocillopora_meandrina_HIv1___RNAseq.17969_t	GO:0000139; GO:0005319; GO:0005524; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005886; GO:0006869; GO:0008203; GO:0010745; GO:0010874; GO:0016887; GO:0031902; GO:0033344; GO:0034375; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0140359; GO:1903064; GO:0000139; GO:0005319; GO:0005524; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005886; GO:0006869; GO:0008203; GO:0010745; GO:0010874; GO:0016887; GO:0031902; GO:0033344; GO:0034375; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0140359; GO:1903064
Pocillopora_meandrina_HIv1___RNAseq.18346_t	GO:0004452; GO:0005737; GO:0005777; GO:0006695; GO:0009240; GO:0035634; GO:0046872; GO:0050992
Pocillopora_meandrina_HIv1___RNAseq.18533_t	GO:0000324; GO:0005773; GO:0005774; GO:0015819; GO:0022857; GO:0051453; GO:1903826
Pocillopora_meandrina_HIv1___RNAseq.1861_t	GO:0016020
Pocillopora_meandrina_HIv1___RNAseq.18822_t	GO:0000139; GO:0000287; GO:0003924; GO:0005525; GO:0005681; GO:0005765; GO:0005789; GO:0005829; GO:0005886; GO:0007165; GO:0007264; GO:0014069; GO:0016020; GO:0016241; GO:0019003; GO:0019901; GO:0032008; GO:0048709; GO:0048714; GO:0051726; GO:0070062; GO:0120163; GO:2000074
Pocillopora_meandrina_HIv1___RNAseq.19013_t	GO:0000139; GO:0003924; GO:0005525; GO:0005737; GO:0005783; GO:0005886; GO:0006886; GO:0007005; GO:0009792; GO:0016192; GO:0048259; GO:0048599; GO:1904748
Pocillopora_meandrina_HIv1___RNAseq.19030_t	GO:0005788; GO:0006511; GO:0006621; GO:0030246; GO:0030433; GO:0030968; GO:0030970; GO:0034976
Pocillopora_meandrina_HIv1___RNAseq.19082_t	GO:0000978; GO:0000981; GO:0001525; GO:0001974; GO:0005634; GO:0005654; GO:0006357; GO:0009952; GO:0010159; GO:0021615; GO:0030878; GO:0048538; GO:0048645; GO:0048704; GO:0051216; GO:0060017; GO:0071837; GO:0072089; GO:2000648
Pocillopora_meandrina_HIv1___RNAseq.19135_t	GO:0006979; GO:0008270; GO:0030091; GO:0033743
Pocillopora_meandrina_HIv1___RNAseq.1913_t	GO:0001222; GO:0005654; GO:0005829; GO:0006367; GO:0006368; GO:0016567; GO:0030891; GO:0031462; GO:0031466; GO:0031625; GO:0032436; GO:0065003; GO:0070449
Pocillopora_meandrina_HIv1___RNAseq.19224_t	GO:0016020; GO:0016787
Pocillopora_meandrina_HIv1___RNAseq.19512_t	GO:0006629
Pocillopora_meandrina_HIv1___RNAseq.19516_t	GO:0000978; GO:0000981; GO:0005634; GO:0006260; GO:0006357; GO:0045893
Pocillopora_meandrina_HIv1___RNAseq.1964_t	GO:0003974; GO:0003978; GO:0006012
Pocillopora_meandrina_HIv1___RNAseq.1965_t	GO:0005737; GO:0046872; GO:0061630
Pocillopora_meandrina_HIv1___RNAseq.1985_t	GO:0005524; GO:0006935; GO:0006972; GO:0016020; GO:0016887; GO:0031154; GO:0042626; GO:0055085; GO:0140359
Pocillopora_meandrina_HIv1___RNAseq.20070_t	GO:0004601; GO:0006633; GO:0006952; GO:0006979; GO:0020037; GO:0031408; GO:0046872; GO:0051213
Pocillopora_meandrina_HIv1___RNAseq.2014_t	GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0007189; GO:0016020; GO:0035556; GO:0046872; GO:0071880
Pocillopora_meandrina_HIv1___RNAseq.20168_t	NA
Pocillopora_meandrina_HIv1___RNAseq.20620_t	GO:0000137; GO:0000139; GO:0005096; GO:0005737; GO:0005856; GO:0005886; GO:0006887; GO:0006893; GO:0007409; GO:0007420; GO:0008593; GO:0016323; GO:0019901; GO:0030424; GO:0030864; GO:0030866; GO:0031267; GO:0031901; GO:0032588; GO:0032878; GO:0035090; GO:0035748; GO:0045159; GO:0050708; GO:0051294; GO:0065003
Pocillopora_meandrina_HIv1___RNAseq.20826_t	GO:0016607
Pocillopora_meandrina_HIv1___RNAseq.20855_t	GO:0005634; GO:0005737; GO:0048471; GO:2000812
Pocillopora_meandrina_HIv1___RNAseq.21094_t	GO:0000209; GO:0001701; GO:0001932; GO:0001934; GO:0002039; GO:0005102; GO:0005634; GO:0005737; GO:0005886; GO:0005938; GO:0006913; GO:0006915; GO:0007605; GO:0007628; GO:0008013; GO:0008022; GO:0009950; GO:0009953; GO:0010629; GO:0010800; GO:0014069; GO:0015630; GO:0016055; GO:0016328; GO:0019899; GO:0019901; GO:0019904; GO:0020027; GO:0030159; GO:0030163; GO:0030178; GO:0030511; GO:0030877; GO:0031122; GO:0031398; GO:0031410; GO:0031625; GO:0032147; GO:0032436; GO:0032991; GO:0033138; GO:0034101; GO:0034244; GO:0036342; GO:0042802; GO:0042803; GO:0043507; GO:0043621; GO:0045202; GO:0045599; GO:0045732; GO:0045860; GO:0045893; GO:0046330; GO:0046332; GO:0048318; GO:0048320; GO:0048468; GO:0048471; GO:0050877; GO:0051248; GO:0051443; GO:0060070; GO:0060090; GO:0060272; GO:0060322; GO:0060828; GO:0065003; GO:0070016; GO:0070411; GO:0070412; GO:0071514; GO:0071944; GO:0090090; GO:1905235; GO:1990909; GO:2000060
Pocillopora_meandrina_HIv1___RNAseq.21365_t	GO:0000244; GO:0005681
Pocillopora_meandrina_HIv1___RNAseq.21377_t	GO:0000381; GO:0003723; GO:0003729; GO:0005634; GO:0006397; GO:0007399; GO:0008380; GO:1990825
Pocillopora_meandrina_HIv1___RNAseq.21387_t	GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005954; GO:0014069; GO:0035458; GO:0043197; GO:0046427; GO:0046872; GO:0051346; GO:0060996; GO:0106310; GO:1990443; GO:2000124; GO:2001222
Pocillopora_meandrina_HIv1___RNAseq.21398_t	GO:0000122; GO:0002052; GO:0003700; GO:0005634; GO:0006357; GO:0007346; GO:0007405; GO:0009953; GO:0016199; GO:0021852; GO:0042472; GO:0045665; GO:0045666; GO:0045787; GO:0048664; GO:1990837
Pocillopora_meandrina_HIv1___RNAseq.21440_t	GO:0003723; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0032543
Pocillopora_meandrina_HIv1___RNAseq.21564_t	GO:0001942; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005911; GO:0007165; GO:0030159; GO:0030216; GO:0030425; GO:0031697; GO:0035329; GO:0042802; GO:0043113; GO:0045600; GO:0046332; GO:0050673; GO:0050680; GO:0050821; GO:0051091; GO:0060038; GO:0060044; GO:0060412; GO:0060487; GO:0060575; GO:0070699; GO:0097283; GO:1902174; GO:2000036
Pocillopora_meandrina_HIv1___RNAseq.21590_t	GO:0005509; GO:0005783; GO:0005793; GO:0005794; GO:0015031; GO:0016192
Pocillopora_meandrina_HIv1___RNAseq.21899_t	GO:0003714; GO:0004672; GO:0004674; GO:0004706; GO:0005524; GO:0005737; GO:0006351; GO:0006354; GO:0006468; GO:0007224; GO:0008219; GO:0018105; GO:0018107; GO:0043065; GO:0043425; GO:0043433; GO:0043507; GO:0045892; GO:0046330; GO:0106310
Pocillopora_meandrina_HIv1___RNAseq.21938_t	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006352; GO:0006366; GO:0007369; GO:0009792
Pocillopora_meandrina_HIv1___RNAseq.22127_t	GO:0002940; GO:0005654; GO:0008276; GO:0018364; GO:0030488; GO:0031167; GO:0032991; GO:0034968; GO:0046982; GO:0048471; GO:0070476; GO:2000234
Pocillopora_meandrina_HIv1___RNAseq.2246_t	GO:0000139; GO:0001537; GO:0006790; GO:0008146; GO:0016051; GO:0030166
Pocillopora_meandrina_HIv1___RNAseq.2248_t	GO:0000139; GO:0001537; GO:0006790; GO:0008146; GO:0016051; GO:0030166
Pocillopora_meandrina_HIv1___RNAseq.22530_t	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0022625; GO:0022626; GO:0031672; GO:0045202; GO:0045471
Pocillopora_meandrina_HIv1___RNAseq.22573_t	GO:0005576; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.2280_t	GO:0005576; GO:0008191; GO:0008270; GO:0010466
Pocillopora_meandrina_HIv1___RNAseq.22823_t	GO:0005634; GO:0005737; GO:0016491; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.23010_t	GO:0005524; GO:0016020; GO:0016787; GO:0070733
Pocillopora_meandrina_HIv1___RNAseq.23069_t	GO:0005634; GO:0006325; GO:0006355; GO:0031674; GO:0043565; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.2312_t	GO:0004423; GO:0005509; GO:0005737; GO:0005764; GO:0006027; GO:0008484; GO:0030200; GO:0030209; GO:0043202
Pocillopora_meandrina_HIv1___RNAseq.23947_t	GO:0005764; GO:0016787
Pocillopora_meandrina_HIv1___RNAseq.24125_t	GO:0005739; GO:0005829
Pocillopora_meandrina_HIv1___RNAseq.2460_t	GO:0004222; GO:0005576; GO:0006508; GO:0008270
Pocillopora_meandrina_HIv1___RNAseq.24743_t	GO:0001649; GO:0005109; GO:0005576; GO:0005581; GO:0005615; GO:0016477; GO:0016528; GO:0017147; GO:0032092; GO:0033687; GO:0033690; GO:0043932; GO:0045669; GO:0060071; GO:0060122; GO:0062023; GO:0090090; GO:0090103; GO:0090177
Pocillopora_meandrina_HIv1___RNAseq.25006_t	GO:0008428; GO:0008948; GO:0046872; GO:0047443; GO:0051252
Pocillopora_meandrina_HIv1___RNAseq.25162_t	GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0010629; GO:0016779; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:1902216; GO:1990404
Pocillopora_meandrina_HIv1___RNAseq.26310_t	GO:0003723; GO:0003725; GO:0003726; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006382; GO:0006396; GO:0006397; GO:0007274; GO:0007420; GO:0008251; GO:0008285; GO:0016553; GO:0016556; GO:0021610; GO:0021618; GO:0021965; GO:0030336; GO:0035264; GO:0042802; GO:0044387; GO:0045070; GO:0045202; GO:0046872; GO:0050685; GO:0050884; GO:0051726; GO:0060384; GO:0060415; GO:0061744; GO:0097049
Pocillopora_meandrina_HIv1___RNAseq.26407_t	GO:0005886; GO:0022841; GO:0030322; GO:0034765; GO:0071805
Pocillopora_meandrina_HIv1___RNAseq.26738_t	GO:0001755; GO:0003677; GO:0005634; GO:0014029; GO:0014036; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.26869_t	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0042802; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Pocillopora_meandrina_HIv1___RNAseq.26916_t	GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0043621; GO:0045892; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.27147_t	GO:0002181; GO:0003735; GO:0022625; GO:0042788; GO:0045202
Pocillopora_meandrina_HIv1___RNAseq.27166_t	
Pocillopora_meandrina_HIv1___RNAseq.27460_t	GO:0004503; GO:0009637; GO:0033162; GO:0042438; GO:0042470; GO:0046872
Pocillopora_meandrina_HIv1___RNAseq.27464_t	GO:0004503; GO:0005507; GO:0006583; GO:0033162; GO:0042470
Pocillopora_meandrina_HIv1___RNAseq.27546_t	GO:0000050; GO:0000415; GO:0000821; GO:0004333; GO:0005634; GO:0005694; GO:0005739; GO:0005829; GO:0006099; GO:0006106; GO:0006108; GO:0006281; GO:0006974; GO:0045239; GO:2001034
Pocillopora_meandrina_HIv1___RNAseq.27566_t	GO:0000050; GO:0000415; GO:0000821; GO:0004333; GO:0005634; GO:0005694; GO:0005739; GO:0005829; GO:0006099; GO:0006106; GO:0006108; GO:0006281; GO:0006974; GO:0045239; GO:2001034
Pocillopora_meandrina_HIv1___RNAseq.27597_t	GO:0004089; GO:0005737; GO:0005886; GO:0008270
Pocillopora_meandrina_HIv1___RNAseq.27627_t	GO:0000139; GO:0002079; GO:0002081; GO:0003281; GO:0003413; GO:0003713; GO:0005654; GO:0005793; GO:0005794; GO:0005801; GO:0005856; GO:0006366; GO:0006486; GO:0006888; GO:0007030; GO:0016607; GO:0030133; GO:0031267; GO:0033116; GO:0051216; GO:0060122; GO:0090161; GO:0099041
Pocillopora_meandrina_HIv1___RNAseq.27898_t	GO:0005886; GO:0022841; GO:0030322; GO:0034765; GO:0071805
Pocillopora_meandrina_HIv1___RNAseq.28003_t	GO:0004040; GO:0043864
Pocillopora_meandrina_HIv1___RNAseq.28392_t	GO:0001669; GO:0005829; GO:0006801; GO:0006909; GO:0006968; GO:0008022; GO:0009055; GO:0016020; GO:0016175; GO:0016176; GO:0031267; GO:0032010; GO:0042554; GO:0043020; GO:0045087; GO:0045730
Pocillopora_meandrina_HIv1___RNAseq.28478_t	GO:0001678; GO:0001917; GO:0004340; GO:0005524; GO:0005536; GO:0005737; GO:0005739; GO:0005829; GO:0006006; GO:0006096; GO:0008865; GO:0031966; GO:0046835; GO:0051156; GO:0001678; GO:0001917; GO:0004340; GO:0005524; GO:0005536; GO:0005737; GO:0005739; GO:0005829; GO:0006006; GO:0006096; GO:0008865; GO:0031966; GO:0046835; GO:0051156
Pocillopora_meandrina_HIv1___RNAseq.28516_t	GO:0005886; GO:0006935; GO:0006954; GO:0010756
Pocillopora_meandrina_HIv1___RNAseq.28643_t	GO:0004222; GO:0005509; GO:0005615; GO:0008270; GO:0009953; GO:0016485; GO:0030154; GO:0048632
Pocillopora_meandrina_HIv1___RNAseq.28787_t	GO:0000122; GO:0002088; GO:0005634; GO:0014029; GO:0021501; GO:0030509; GO:0033504; GO:0043066; GO:0043425; GO:0043565; GO:0045892; GO:0046983
Pocillopora_meandrina_HIv1___RNAseq.28951_t	GO:0000287; GO:0005524; GO:0016779
Pocillopora_meandrina_HIv1___RNAseq.29356_t	GO:0002084; GO:0005737; GO:0008474; GO:0016020; GO:0032839
Pocillopora_meandrina_HIv1___RNAseq.29369_t	GO:0006631; GO:0043956
Pocillopora_meandrina_HIv1___RNAseq.29374_t	GO:0006631; GO:0043956
Pocillopora_meandrina_HIv1___RNAseq.29385_t	GO:0006631; GO:0043956
Pocillopora_meandrina_HIv1___RNAseq.29588_t	GO:0000785; GO:0000977; GO:0000981; GO:0005654; GO:0006357; GO:0045893; GO:0046982
Pocillopora_meandrina_HIv1___RNAseq.29613_t	GO:0006527; GO:0008783; GO:0033389; GO:0046872; GO:0047971
Pocillopora_meandrina_HIv1___RNAseq.29614_t	GO:0005829; GO:0005856; GO:0005886; GO:0005911; GO:0007155; GO:0007266; GO:0045296; GO:0051015
Pocillopora_meandrina_HIv1___RNAseq.29625_t	GO:0006811; GO:0016020; GO:0022857
Pocillopora_meandrina_HIv1___RNAseq.29948_t	
Pocillopora_meandrina_HIv1___RNAseq.30071_t	GO:0003779; GO:0005737; GO:0015629
Pocillopora_meandrina_HIv1___RNAseq.30196_t	GO:0004022; GO:0005739; GO:0006539; GO:0006629; GO:0046872; GO:0047988
Pocillopora_meandrina_HIv1___RNAseq.30209_t	GO:0000324; GO:0005773; GO:0005774; GO:0015819; GO:0022857; GO:0051453; GO:1903826
Pocillopora_meandrina_HIv1___RNAseq.3034_t	GO:0002116; GO:0005886; GO:0007162; GO:0007411; GO:0008360; GO:0017154; GO:0021612; GO:0021628; GO:0021637; GO:0021766; GO:0021785; GO:0021828; GO:0021860; GO:0030334; GO:0043087; GO:0048843; GO:0048846; GO:0050772; GO:0050919; GO:0051495; GO:0097485; GO:1902287; GO:1990138
Pocillopora_meandrina_HIv1___RNAseq.30869_t	GO:0003714; GO:0003950; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0010629; GO:0016779; GO:0019899; GO:0042531; GO:0042532; GO:0045087; GO:0060336; GO:0070212; GO:0070403; GO:1902216; GO:1990404
Pocillopora_meandrina_HIv1___RNAseq.3177_t	GO:0000785; GO:0003682; GO:0004842; GO:0006275; GO:0006513; GO:0046872; GO:0048026; GO:0051865
