transcript_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___RNAseq.g30031.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16006.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11657.t1,329,400,398,173,104
Pocillopora_meandrina_HIv1___RNAseq.g17467.t1,989,123,1081,1775,1374
Pocillopora_meandrina_HIv1___RNAseq.g14643.t1,520,687,811,367,171
Pocillopora_meandrina_HIv1___RNAseq.g1285.t1,6,52,20,0,66
Pocillopora_meandrina_HIv1___RNAseq.g8080.t1,44,11,16,108,19
Pocillopora_meandrina_HIv1___RNAseq.g26994.t1,0,12,0,0,15
Pocillopora_meandrina_HIv1___RNAseq.g24459.t1,0,0,18,0,0
Pocillopora_meandrina_HIv1___TS.g4785.t1,25,69,16,0,33
Pocillopora_meandrina_HIv1___RNAseq.g7852.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g19282.t1,0,6,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18290.t1,41,200,16,89,0
Pocillopora_meandrina_HIv1___RNAseq.g27067.t1,1385,1087,1163,843,393
Pocillopora_meandrina_HIv1___TS.g26027.t1a,0,0,0,11,0
Pocillopora_meandrina_HIv1___TS.g26027.t1b,127,57,217,43,57
Pocillopora_meandrina_HIv1___RNAseq.g2261.t1,12194,6852,13746,10894,2430
Pocillopora_meandrina_HIv1___RNAseq.g22096.t1,143,112,85,16,97
Pocillopora_meandrina_HIv1___RNAseq.g7153.t1,0,3,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22216.t1,1788,1856,1368,2085,442
Pocillopora_meandrina_HIv1___TS.g13769.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g9227.t1,161,250,403,228,31
Pocillopora_meandrina_HIv1___TS.g13844.t2,89,126,172,111,90
Pocillopora_meandrina_HIv1___RNAseq.g8082.t1,1079,554,1523,987,755
Pocillopora_meandrina_HIv1___RNAseq.g26996.t1,854,513,1177,604,635
Pocillopora_meandrina_HIv1___RNAseq.g16191.t1,4151,1246,6814,3368,274
Pocillopora_meandrina_HIv1___RNAseq.g24112.t1,1079,521,1467,759,182
Pocillopora_meandrina_HIv1___RNAseq.g8193.t1,1060,349,1517,392,319
Pocillopora_meandrina_HIv1___RNAseq.g12695.t1,37,249,152,21,51
Pocillopora_meandrina_HIv1___TS.g700.t1d,236,0,30,22,46
Pocillopora_meandrina_HIv1___RNAseq.g1430.t1,4,1,2,7,1
Pocillopora_meandrina_HIv1___TS.g700.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g700.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g700.t1c,0,0,4,0,0
Pocillopora_meandrina_HIv1___RNAseq.g75.t1,322,234,371,276,262
Pocillopora_meandrina_HIv1___RNAseq.g18433.t1,344,632,282,230,62
Pocillopora_meandrina_HIv1___RNAseq.g26239.t1,1998,1889,2531,1991,880
Pocillopora_meandrina_HIv1___RNAseq.g13014.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14122.t1,291,416,267,520,639
Pocillopora_meandrina_HIv1___RNAseq.g14147.t1,6,15,57,18,243
Pocillopora_meandrina_HIv1___RNAseq.g11338.t1,262,263,147,174,148
Pocillopora_meandrina_HIv1___RNAseq.g9613.t1,410,231,299,323,186
Pocillopora_meandrina_HIv1___RNAseq.g11344.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21164.t1,1636,2562,2022,4950,1364
Pocillopora_meandrina_HIv1___RNAseq.g3612.t1,0,12,0,0,0
Pocillopora_meandrina_HIv1___TS.g25305.t1,0,18,9,13,5
Pocillopora_meandrina_HIv1___RNAseq.g4246.t1,12,4,7,21,6
Pocillopora_meandrina_HIv1___RNAseq.g12989.t1,37,6,27,0,15
Pocillopora_meandrina_HIv1___RNAseq.g5034.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5079.t1,551,636,685,533,305
Pocillopora_meandrina_HIv1___RNAseq.g18998.t1,1825,866,3701,1018,141
Pocillopora_meandrina_HIv1___RNAseq.g20990.t1,2132,1612,2570,1494,1600
Pocillopora_meandrina_HIv1___RNAseq.g16380.t1,298,891,695,1709,676
Pocillopora_meandrina_HIv1___RNAseq.g26598.t1,679,1968,1335,965,751
Pocillopora_meandrina_HIv1___RNAseq.g21053.t1,31,190,83,175,64
Pocillopora_meandrina_HIv1___RNAseq.g11009.t1,151,406,0,0,0
Pocillopora_meandrina_HIv1___TS.g9102.t1,774,1540,532,1224,457
Pocillopora_meandrina_HIv1___TS.g8720.t1,15,59,39,51,5
Pocillopora_meandrina_HIv1___RNAseq.g14943.t1,3337,5055,4771,9427,1681
Pocillopora_meandrina_HIv1___RNAseq.g9375.t1b,2904,2962,3612,3190,2638
Pocillopora_meandrina_HIv1___RNAseq.g9375.t1a,115,219,135,195,74
Pocillopora_meandrina_HIv1___RNAseq.g6536.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23923.t1,932,2509,2076,3325,706
Pocillopora_meandrina_HIv1___RNAseq.g13016.t1,6,0,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11892.t1,3096,1825,1864,2391,727
Pocillopora_meandrina_HIv1___RNAseq.g26460.t1,0,0,53,39,0
Pocillopora_meandrina_HIv1___TS.g4101.t1,0,0,0,0,17
Pocillopora_meandrina_HIv1___RNAseq.g20147.t1,2432,2344,2417,5286,1389
Pocillopora_meandrina_HIv1___RNAseq.g21694.t1,322,767,443,347,259
Pocillopora_meandrina_HIv1___RNAseq.g25062.t1,179,104,241,114,16
Pocillopora_meandrina_HIv1___RNAseq.g9962.t1a,136,39,97,260,7
Pocillopora_meandrina_HIv1___RNAseq.g9962.t1b,525,664,577,565,75
Pocillopora_meandrina_HIv1___RNAseq.g5735.t1,182,69,350,159,89
Pocillopora_meandrina_HIv1___TS.g19975.t1,2,11,31,7,14
Pocillopora_meandrina_HIv1___RNAseq.g15192.t1,851,1348,1746,856,774
Pocillopora_meandrina_HIv1___RNAseq.g17432.t1,737,1433,994,910,898
Pocillopora_meandrina_HIv1___RNAseq.g4152.t1,91,127,102,69,43
Pocillopora_meandrina_HIv1___RNAseq.g11890.t1,4,124,73,71,44
Pocillopora_meandrina_HIv1___RNAseq.g29019.t1,1471,845,4125,795,1205
Pocillopora_meandrina_HIv1___TS.g17835.t1,74,10,19,12,81
Pocillopora_meandrina_HIv1___TS.g11577.t1,0,0,0,64,0
Pocillopora_meandrina_HIv1___RNAseq.g12254.t1,0,1,7,8,45
Pocillopora_meandrina_HIv1___RNAseq.g6179.t1,28025,17944,41183,32705,4630
Pocillopora_meandrina_HIv1___RNAseq.g13294.t1,295,678,367,800,659
Pocillopora_meandrina_HIv1___RNAseq.g11046.t1,77,47,89,165,48
Pocillopora_meandrina_HIv1___RNAseq.g24255.t1,2038,715,2361,1190,1346
Pocillopora_meandrina_HIv1___TS.g2263.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15190.t1,2998,2591,5180,3738,1535
Pocillopora_meandrina_HIv1___RNAseq.13574_t,242,763,484,753,280
Pocillopora_meandrina_HIv1___RNAseq.g11620.t1,211,81,49,74,63
Pocillopora_meandrina_HIv1___RNAseq.g14941.t1,543,351,553,347,424
Pocillopora_meandrina_HIv1___RNAseq.g30175.t1,25,13,21,19,9
Pocillopora_meandrina_HIv1___RNAseq.g29740.t1,171,1657,136,206,160
Pocillopora_meandrina_HIv1___RNAseq.g13974.t1,95,166,35,466,112
Pocillopora_meandrina_HIv1___RNAseq.g13939.t1,1079,823,1056,766,217
Pocillopora_meandrina_HIv1___TS.g28900.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18262.t1,0,1,0,1,0
Pocillopora_meandrina_HIv1___RNAseq.g3607.t1,864,1322,1019,936,603
Pocillopora_meandrina_HIv1___RNAseq.g23703.t1,42,25,142,42,56
Pocillopora_meandrina_HIv1___RNAseq.g9634.t1,1649,2156,2739,2128,762
Pocillopora_meandrina_HIv1___RNAseq.g21340.t1,399,363,775,620,371
Pocillopora_meandrina_HIv1___RNAseq.g10306.t1,39,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g14213.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21322.t1,200,158,455,283,184
Pocillopora_meandrina_HIv1___RNAseq.g9338.t1,56,187,35,126,21
Pocillopora_meandrina_HIv1___RNAseq.g15028.t1,480,559,668,452,516
Pocillopora_meandrina_HIv1___RNAseq.g29005.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29001.t2,450,588,119,2718,116
Pocillopora_meandrina_HIv1___RNAseq.g23.t1,0,8,23,11,14
Pocillopora_meandrina_HIv1___RNAseq.g19733.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g5822.t1,52,78,16,0,123
Pocillopora_meandrina_HIv1___TS.g1362.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27234.t1,54,43,52,58,97
Pocillopora_meandrina_HIv1___RNAseq.g14774.t1,3323,2361,1412,4982,197
Pocillopora_meandrina_HIv1___RNAseq.g24746.t1,139,74,2,43,53
Pocillopora_meandrina_HIv1___RNAseq.g18191.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2663.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1937.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9143.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g21812.t1,0,0,0,4,0
Pocillopora_meandrina_HIv1___RNAseq.g6807.t1,67,42,81,96,78
Pocillopora_meandrina_HIv1___RNAseq.g27463.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g20637.t1,0,0,7,5,0
Pocillopora_meandrina_HIv1___RNAseq.g3605.t1,1425,1250,1364,1617,150
Pocillopora_meandrina_HIv1___RNAseq.g18260.t1,120,327,490,230,252
Pocillopora_meandrina_HIv1___RNAseq.g29291.t1,4125,2254,3780,4701,1701
Pocillopora_meandrina_HIv1___RNAseq.g6822.t1,1305,5630,1717,2474,1291
Pocillopora_meandrina_HIv1___RNAseq.g7466.t1,13,105,27,68,11
Pocillopora_meandrina_HIv1___RNAseq.g16571.t1,3,2,214,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25816.t1,89,60,73,65,16
Pocillopora_meandrina_HIv1___RNAseq.g21.t1,1981,955,2048,1255,245
Pocillopora_meandrina_HIv1___RNAseq.g12860.t1,0,7,16,0,0
Pocillopora_meandrina_HIv1___TS.g14300.t1,0,17,0,2,0
Pocillopora_meandrina_HIv1___TS.g26926.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1554.t1,674,345,600,524,441
Pocillopora_meandrina_HIv1___RNAseq.g280.t1,305,177,251,324,125
Pocillopora_meandrina_HIv1___RNAseq.g25384.t1b,21,12,2,16,24
Pocillopora_meandrina_HIv1___RNAseq.g25384.t1c,91,251,205,728,445
Pocillopora_meandrina_HIv1___RNAseq.g20005.t1,253,189,1452,281,83
Pocillopora_meandrina_HIv1___RNAseq.g26414.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28079.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24738.t1,95,27,73,64,70
Pocillopora_meandrina_HIv1___RNAseq.g18193.t1,20,0,0,47,35
Pocillopora_meandrina_HIv1___RNAseq.g25819.t1,99,82,53,87,71
Pocillopora_meandrina_HIv1___RNAseq.g24744.t1,2,0,0,62,10
Pocillopora_meandrina_HIv1___RNAseq.g2661.t1,0,0,7,0,4
Pocillopora_meandrina_HIv1___RNAseq.g4477.t1,102,54,205,102,69
Pocillopora_meandrina_HIv1___RNAseq.g5576.t1,466,580,448,147,247
Pocillopora_meandrina_HIv1___RNAseq.g14803.t1,0,0,0,25,0
Pocillopora_meandrina_HIv1___RNAseq.g10883.t1,0,0,49,64,47
Pocillopora_meandrina_HIv1___RNAseq.g6805.t1,1385,1028,1829,1329,583
Pocillopora_meandrina_HIv1___RNAseq.g17348.t1,5769,2801,7674,4177,3157
Pocillopora_meandrina_HIv1___TS.g7943.t1,1437,792,1287,832,914
Pocillopora_meandrina_HIv1___RNAseq.g9796.t1,15,105,37,60,75
Pocillopora_meandrina_HIv1___RNAseq.g12223.t1,117,483,294,426,64
Pocillopora_meandrina_HIv1___RNAseq.g8589.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g789.t1,134,225,172,356,14
Pocillopora_meandrina_HIv1___TS.g24952.t1,128,172,529,129,165
Pocillopora_meandrina_HIv1___RNAseq.g24409.t1,4450,1781,4571,2779,805
Pocillopora_meandrina_HIv1___RNAseq.g16573.t1,0,51,45,86,14
Pocillopora_meandrina_HIv1___RNAseq.g7910.t1,573,1327,1023,1192,295
Pocillopora_meandrina_HIv1___RNAseq.g22731.t1,615,316,219,413,325
Pocillopora_meandrina_HIv1___TS.g10972.t1,0,0,15,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19604.t1,161,1354,742,787,373
Pocillopora_meandrina_HIv1___RNAseq.g16347.t1,924,2527,1192,1352,520
Pocillopora_meandrina_HIv1___RNAseq.g26416.t1,497,654,1525,2153,321
Pocillopora_meandrina_HIv1___RNAseq.g20738.t1,112,196,286,64,159
Pocillopora_meandrina_HIv1___RNAseq.g8206.t1,1627,2199,2591,2820,885
Pocillopora_meandrina_HIv1___RNAseq.g1233.t1,13,52,16,22,9
Pocillopora_meandrina_HIv1___TS.g5989.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g21065.t1,552,543,747,653,338
Pocillopora_meandrina_HIv1___RNAseq.g2766.t1,0,1,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30226.t1,58,77,65,104,0
Pocillopora_meandrina_HIv1___RNAseq.g5574.t1,712,1485,1067,1698,731
Pocillopora_meandrina_HIv1___RNAseq.g10697.t1,5,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g11093.t1,160,501,424,273,302
Pocillopora_meandrina_HIv1___TS.g10469.t1,121,0,89,0,9
Pocillopora_meandrina_HIv1___TS.g20133.t1,5,9,32,4,20
Pocillopora_meandrina_HIv1___RNAseq.g26115.t1,44,83,137,75,42
Pocillopora_meandrina_HIv1___RNAseq.g1611.t1,54,131,84,90,77
Pocillopora_meandrina_HIv1___RNAseq.g12256.t1,0,0,0,14,0
Pocillopora_meandrina_HIv1___RNAseq.g26694.t1,918,409,976,996,345
Pocillopora_meandrina_HIv1___RNAseq.g10695.t1,0,0,7,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6557.t1,0,0,0,10,0
Pocillopora_meandrina_HIv1___RNAseq.g24220.t1,0,8,0,0,0
Pocillopora_meandrina_HIv1___TS.g12644.t2,18,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29541.t1,8745,3621,6868,5598,3671
Pocillopora_meandrina_HIv1___RNAseq.g16648.t1,436,156,671,178,351
Pocillopora_meandrina_HIv1___RNAseq.g25464.t1,2571,1609,2782,1518,1122
Pocillopora_meandrina_HIv1___RNAseq.g16345.t1,301,326,185,313,173
Pocillopora_meandrina_HIv1___RNAseq.g14090.t1,6,4,9,7,6
Pocillopora_meandrina_HIv1___RNAseq.g27078.t1,0,0,12,4,0
Pocillopora_meandrina_HIv1___TS.g28760.t1b,0,0,1,3,0
Pocillopora_meandrina_HIv1___TS.g28760.t1c,0,0,0,1,7
Pocillopora_meandrina_HIv1___TS.g989.t1,2279,788,2296,1524,924
Pocillopora_meandrina_HIv1___RNAseq.g13132.t1,0,39,0,38,0
Pocillopora_meandrina_HIv1___TS.g27229.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g12018.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21219.t1,157,199,109,113,12
Pocillopora_meandrina_HIv1___RNAseq.g11703.t1a,1455,971,2729,789,600
Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b,5151,2904,4633,2685,2491
Pocillopora_meandrina_HIv1___RNAseq.g1872.t2,5766,2594,4785,5743,2649
Pocillopora_meandrina_HIv1___RNAseq.g5511.t1,334,278,561,259,239
Pocillopora_meandrina_HIv1___RNAseq.g4180.t1,440,557,632,665,217
Pocillopora_meandrina_HIv1___RNAseq.g5035.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20104.t1,0,0,19,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6755.t1,2365,1056,3398,960,1056
Pocillopora_meandrina_HIv1___RNAseq.g3489.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23585.t1,95,24,97,31,0
Pocillopora_meandrina_HIv1___RNAseq.g4750.t1,283,222,264,210,144
Pocillopora_meandrina_HIv1___TS.g5223.t1b,0,0,71,35,0
Pocillopora_meandrina_HIv1___TS.g5223.t1a,35,38,38,24,88
Pocillopora_meandrina_HIv1___TS.g22219.t1,53,53,16,36,14
Pocillopora_meandrina_HIv1___RNAseq.g20343.t1,190,66,123,121,17
Pocillopora_meandrina_HIv1___RNAseq.g24222.t1,0,6,0,0,0
Pocillopora_meandrina_HIv1___TS.g12646.t1,2,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1935.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19944.t1,206,756,233,600,330
Pocillopora_meandrina_HIv1___TS.g28199.t1,71,22,36,19,36
Pocillopora_meandrina_HIv1___RNAseq.g22527.t1,899,683,717,829,281
Pocillopora_meandrina_HIv1___RNAseq.g5581.t1,0,0,0,2306,1174
Pocillopora_meandrina_HIv1___RNAseq.g23845.t1,5,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g10490.t1,11,169,41,94,66
Pocillopora_meandrina_HIv1___TS.g16149.t1,234,334,194,223,274
Pocillopora_meandrina_HIv1___RNAseq.g18313.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g20086.t1,2944,1654,3712,2329,2095
Pocillopora_meandrina_HIv1___RNAseq.g3768.t1,54,118,82,195,0
Pocillopora_meandrina_HIv1___TS.g8971.t1,517,823,693,786,678
Pocillopora_meandrina_HIv1___RNAseq.1964_t,4638,4982,5558,4746,2406
Pocillopora_meandrina_HIv1___RNAseq.g5008.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13933.t1,53300,52541,37548,93517,31253
Pocillopora_meandrina_HIv1___TS.g28029.t1a,640,398,721,483,356
Pocillopora_meandrina_HIv1___TS.g28029.t1b,79,23,95,130,56
Pocillopora_meandrina_HIv1___RNAseq.g10449.t1,1089,1388,1424,1037,727
Pocillopora_meandrina_HIv1___RNAseq.g24094.t1,180,394,291,55,73
Pocillopora_meandrina_HIv1___RNAseq.g14551.t1,0,0,30,1,2
Pocillopora_meandrina_HIv1___RNAseq.g14626.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g8973.t2,95,111,1814,1918,1526
Pocillopora_meandrina_HIv1___RNAseq.g21523.t1,3481,1660,3995,2570,892
Pocillopora_meandrina_HIv1___RNAseq.g6661.t1,214,473,136,827,63
Pocillopora_meandrina_HIv1___RNAseq.g8633.t1,0,24,40,12,0
Pocillopora_meandrina_HIv1___RNAseq.g20341.t1,600,755,546,670,163
Pocillopora_meandrina_HIv1___RNAseq.g27390.t2,228,135,225,123,68
Pocillopora_meandrina_HIv1___RNAseq.g21486.t1c,1271,3105,2957,2258,1490
Pocillopora_meandrina_HIv1___TS.g16233.t1,73,55,90,82,7
Pocillopora_meandrina_HIv1___RNAseq.g14932.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13931.t1,4313,4752,4724,2865,1056
Pocillopora_meandrina_HIv1___RNAseq.g19946.t1,1,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g17885.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14649.t1,0,69,60,19,6
Pocillopora_meandrina_HIv1___RNAseq.g2692.t1,7551,2254,8200,5321,2203
Pocillopora_meandrina_HIv1___RNAseq.g27786.t1,859,965,932,712,558
Pocillopora_meandrina_HIv1___RNAseq.g27392.t1,778,513,529,377,296
Pocillopora_meandrina_HIv1___RNAseq.g19139.t1,1896,817,679,864,732
Pocillopora_meandrina_HIv1___RNAseq.g22064.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g9905.t1,418,344,624,283,220
Pocillopora_meandrina_HIv1___TS.g11394.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17425.t1,47,62,64,79,49
Pocillopora_meandrina_HIv1___RNAseq.g27784.t1,1695,784,1838,1745,774
Pocillopora_meandrina_HIv1___RNAseq.g3393.t1,2678,2101,3321,4287,2409
Pocillopora_meandrina_HIv1___RNAseq.g23252.t1,119,104,56,120,16
Pocillopora_meandrina_HIv1___RNAseq.g5582.t1,0,0,0,4430,2766
Pocillopora_meandrina_HIv1___RNAseq.g8230.t1,175,191,225,248,120
Pocillopora_meandrina_HIv1___RNAseq.g10775.t1,18,29,71,87,60
Pocillopora_meandrina_HIv1___RNAseq.g14930.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29609.t1,619,200,208,179,181
Pocillopora_meandrina_HIv1___RNAseq.g23709.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8773.t1,0,0,0,3,0
Pocillopora_meandrina_HIv1___RNAseq.g10753.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19731.t1,348,217,860,181,548
Pocillopora_meandrina_HIv1___RNAseq.g21308.t1,1114,1118,869,951,520
Pocillopora_meandrina_HIv1___RNAseq.g8908.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8908.t1c,18,0,7,0,0
Pocillopora_meandrina_HIv1___TS.g20076.t1,0,0,43,51,0
Pocillopora_meandrina_HIv1___RNAseq.g22066.t1,0,13,44,12,18
Pocillopora_meandrina_HIv1___RNAseq.g3135.t1,47,19,40,10,0
Pocillopora_meandrina_HIv1___RNAseq.g21849.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15481.t1,375,178,287,255,126
Pocillopora_meandrina_HIv1___RNAseq.g25524.t1,267,217,323,282,308
Pocillopora_meandrina_HIv1___RNAseq.g2366.t1,0,3,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5580.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19957.t1,38,130,163,84,293
Pocillopora_meandrina_HIv1___RNAseq.g3184.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13674.t1,277,396,401,395,74
Pocillopora_meandrina_HIv1___RNAseq.g17718.t1,13,199,0,40,0
Pocillopora_meandrina_HIv1___RNAseq.g17932.t1,10145,6366,15178,11620,2837
Pocillopora_meandrina_HIv1___RNAseq.g12908.t1,0,7,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2669.t1,0,0,29,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23587.t2,0,251,111,105,71
Pocillopora_meandrina_HIv1___RNAseq.g21484.t1,0,15,0,16,0
Pocillopora_meandrina_HIv1___RNAseq.g21118.t1,1405,816,1845,829,300
Pocillopora_meandrina_HIv1___RNAseq.g18938.t1,888,449,702,517,200
Pocillopora_meandrina_HIv1___RNAseq.g17930.t1,0,31,39,32,0
