"target","protein_name","gene_name","std_gene_name","species","accession","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","EXOSC10 OS=Exaiptasia diaphana OX=2652724","EXOSC10","Exaiptasia diaphana","A0A913YD70",52.787,574,228,11,2,550,196,751,0,572
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10","PMEA_00016072","EXOSC10","Pocillopora meandrina","A0AAU9X394",97.929,869,18,0,1,869,1,869,0,1776
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10 homolog","EXOSC10","EXOSC10","Hydra vulgaris","T2ME73",39.627,858,408,18,1,756,5,854,0,574
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","Exosome complex component 10 isoform X2","LOC100209380","EXOSC10","Hydra vulgaris","A0ABM4CIG1",39.86,858,412,17,364,1122,2,854,0,577
"Pocillopora_meandrina_HIv1___RNAseq.g17818.t1","Exosome complex component CSL4","EXOSC1","EXOSC1","Hydra vulgaris","T2M320",55.191,183,80,2,8,189,9,190,1e-69,210
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","exosc6","EXOSC6","Stylophora pistillata","A0A2B4RYW7",62.963,270,27,3,1,199,1,268,5.2e-109,313
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","LOC116290412","EXOSC6","Actinia tenebrosa","A0A6P8HE33",58.462,260,108,0,3,262,2,261,9.89e-118,338
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3-like","PACLA_8A000183","EXOSC6","Paramuricea clavata","A0A6S7GJ09",51.111,135,64,1,1,135,1,133,1.53e-42,142
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","EXOSC6 OS=Exaiptasia diaphana OX=2652724","EXOSC6","Exaiptasia diaphana","A0A913WZJ6",58.846,260,107,0,3,262,2,261,3.5e-115,331
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","P5673_017063","EXOSC6","Acropora cervicornis","A0AAD9V3T6",54.545,154,48,1,1,132,45,198,8.96e-53,168
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","PMEA_00019616","EXOSC6","Pocillopora meandrina","A0AAU9X9S1",98.507,268,4,0,1,268,1,268,0,546
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3 isoform X2","LOC100207150","EXOSC6","Hydra vulgaris","A0ABM4C6I8",45.318,267,124,6,1,256,1,256,2.29e-76,232
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","Exosome complex component MTR3","NEMVEDRAFT_v1g180736","EXOSC6","Nematostella vectensis","A7RQ94",66.023,259,88,0,1,259,1,259,3.6e-132,374
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","Exosc9","EXOSC9","Stylophora pistillata","A0A2B4RAA2",92.929,198,14,0,33,230,51,248,1.98e-134,391
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","Exosc5","EXOSC5","Stylophora pistillata","A0A2B4RF23",92.275,233,18,0,1,233,1,233,1.35e-161,446
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","Exosc2","EXOSC2","Stylophora pistillata","A0A2B4S5V0",94.295,298,17,0,1,298,1,298,0,577
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","exosc3","EXOSC3","Stylophora pistillata","A0A2B4SR58",86.885,244,30,1,1,244,1,242,5.75e-161,445
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","pdam_00009552","EXOSC9","Pocillopora damicornis","A0A3M6UQC0",99.134,462,4,0,1,462,1,462,0,936
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","pdam_00007007","EXOSC2","Pocillopora damicornis","A0A3M6UUQ1",98.322,298,5,0,1,298,1,298,0,604
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","pdam_00007805","EXOSC5","Pocillopora damicornis","A0A3M6V4C8",99.571,233,1,0,1,233,1,233,3.26e-173,475
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","LOC116300293","EXOSC9","Actinia tenebrosa","A0A6P8IEZ0",74.02,204,53,0,1,204,1,204,3.82e-118,343
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","LOC116303449","EXOSC2","Actinia tenebrosa","A0A6P8IPQ4",70.27,296,88,0,1,296,1,296,2.32e-156,438
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","LOC116304424","EXOSC3","Actinia tenebrosa","A0A6P8IV31",64.255,235,83,1,3,237,7,240,1.32e-118,338
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","LOC116306362","EXOSC5","Actinia tenebrosa","A0A6P8J3V5",62.389,226,85,0,1,226,6,231,4.57e-110,315
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","PACLA_8A022679","EXOSC3","Paramuricea clavata","A0A6S7G1C4",54.545,242,109,1,1,242,1,241,6.48e-92,270
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","PACLA_8A071563","EXOSC2","Paramuricea clavata","A0A6S7J9K2",70.283,212,59,2,3,214,2,209,3.14e-107,311
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","PACLA_8A074450","EXOSC5","Paramuricea clavata","A0A6S7JNA3",57.727,220,93,0,9,228,14,233,1.24e-92,271
"Pocillopora_meandrina_HIv1___RNAseq.g18660.t1","Exosome complex component RRP43, partial","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I466",52.632,152,71,1,2,153,168,318,2.67e-50,163
"Pocillopora_meandrina_HIv1___RNAseq.g18660.t1","Exosome complex component RRP43","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I844",52.893,121,57,0,2,122,168,288,1.76e-41,140
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","PACLA_8A072350","EXOSC9","Paramuricea clavata","A0A7D9L738",67.986,278,89,0,1,278,1,278,6.44e-141,405
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","EXOSC9 OS=Clytia hemisphaerica OX=252671","EXOSC9","Clytia hemisphaerica","A0A7M5WMX1",48.165,436,188,9,1,413,1,421,5.77e-133,391
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","EXOSC5 OS=Exaiptasia diaphana OX=2652724","EXOSC5","Exaiptasia diaphana","A0A913XB37",62.037,216,82,0,10,225,16,231,2.48e-104,301
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","EXOSC2 OS=Exaiptasia diaphana OX=2652724","EXOSC2","Exaiptasia diaphana","A0A913XN19",72.635,296,80,1,1,295,1,296,1.81e-160,448
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913Y5G0",60.412,437,161,5,7,432,1,436,0,529
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","EXOSC3 OS=Exaiptasia diaphana OX=2652724","EXOSC3","Exaiptasia diaphana","A0A913Y852",63.319,229,84,0,9,237,12,240,4.22e-116,331
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913YV10",60,440,161,5,7,435,1,436,0,528
"Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","Exosome complex component RRP41","EXOSC4","EXOSC4","Desmophyllum pertusum","A0A9W9YAL0",97.6,125,3,0,1,125,1,125,9.77e-89,260
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","EXOSC9","EXOSC9","Desmophyllum pertusum","A0A9W9YLS2",82.398,392,66,2,1,392,1,389,0,655
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","EXOSC2","EXOSC2","Desmophyllum pertusum","A0A9X0CGQ7",92,225,18,0,1,225,1,225,5.4e-153,427
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","P5673_013236","EXOSC9","Acropora cervicornis","A0AAD9QLH6",81.863,204,37,0,1,204,1,204,2.37e-125,361
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","P5673_005421","EXOSC3","Acropora cervicornis","A0AAD9QY03",73.75,240,63,0,1,240,1,240,3.11e-136,382
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","P5673_022786","EXOSC2","Acropora cervicornis","A0AAD9UZC1",75.312,320,53,2,1,317,1,297,1.58e-173,482
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","PMEA_00021516","EXOSC2","Pocillopora meandrina","A0AAU9VU96",98.658,298,4,0,1,298,1,298,0,604
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","PMEA_00031659","EXOSC5","Pocillopora meandrina","A0AAU9VZK7",98.712,233,3,0,1,233,1,233,2.8e-171,470
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","PMEA_00012340","EXOSC9","Pocillopora meandrina","A0AAU9WU01",94.105,475,12,1,384,858,4,462,0,902
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","PMEA_00013752","EXOSC3","Pocillopora meandrina","A0AAU9WXP4",97.934,242,5,0,1,242,1,242,3.67e-178,488
"Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","Exosome complex component RRP41","LOC100202311","EXOSC4","Hydra vulgaris","A0ABM4BSR1",63.223,242,89,0,1,242,1,242,2.06e-118,337
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46-like","LOC136084887","EXOSC5","Hydra vulgaris","A0ABM4CKD3",37.674,215,134,0,1,215,17,231,3.03e-61,191
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","LOC100212566","EXOSC9","Hydra vulgaris","A0ABM4D7J1",52.101,357,159,4,1,348,1,354,8.87e-130,382
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","PLOB_00043031","EXOSC9","Porites lobata","A0ABN8N3W7",73.589,443,110,4,24,465,1,437,0,657
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","PEVE_00009801","EXOSC5","Porites evermanni","A0ABN8R6C4",82.833,233,40,0,1,233,1,233,1.81e-146,407
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","PEVE_00023222","EXOSC9","Porites evermanni","A0ABN8SQP2",73.363,443,112,3,24,466,1,437,0,656
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","NEMVEDRAFT_v1g99151","EXOSC5","Nematostella vectensis","A7RZV7",62.1,219,83,0,3,221,5,223,6.79e-105,302
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","NEMVEDRAFT_v1g120763","EXOSC3","Nematostella vectensis","A7SJP6",67.811,233,74,1,7,239,9,240,3.96e-120,342
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","Exosome complex component RRP40","EXOSC3","EXOSC3","Hydra vulgaris","T2M4E6",52.361,233,106,4,11,240,10,240,2.42e-79,238
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex component RRP46","EXOSC5","EXOSC5","Hydra vulgaris","T2M4V1",37.674,215,134,0,1,215,17,231,1.86e-61,192
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","Exosome complex component RRP4","EXOSC2","EXOSC2","Hydra vulgaris","T2ME10",61.538,299,106,2,1,291,1,298,1.61e-134,382
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","Exosome complex component RRP45","EXOSC9","EXOSC9","Hydra vulgaris","T2ME23",47.711,415,184,5,1,387,1,410,9.27e-131,385
"Pocillopora_meandrina_HIv1___RNAseq.g20537.t1","Exosome complex exonuclease RRP44 isoform X2","LOC100215214","DIS3","Hydra vulgaris","A0ABM4D387",56.418,966,391,8,1,949,1,953,0,1116
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","Exosome complex exonuclease RRP46","PLOB_00045787","EXOSC5","Porites lobata","A0ABN8N0P1",81.974,233,42,0,1,233,1,233,6.18e-146,406
"Pocillopora_meandrina_HIv1___RNAseq.g20537.t1","Exosome complex exonuclease RRP44","PLOB_00046581","DIS3","Porites lobata","A0ABN8PS90",82.968,957,159,2,1,956,1,954,0,1675
"Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","Exosome complex exonuclease RRP41","PLOB_00014067","EXOSC4","Porites lobata","A0ABN8R256",90.612,245,23,0,1,245,1,245,6.67e-174,478
"Pocillopora_meandrina_HIv1___RNAseq.g20537.t1","Exosome complex exonuclease RRP44","PEVE_00021642","DIS3","Porites evermanni","A0ABN8SLK5",82.654,957,162,2,1,956,1,954,0,1666
"Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","Exosome component 4","PEVE_00027941","EXOSC4","Porites evermanni","A0ABN8M8W7",92.653,245,18,0,1,245,1,245,2.56e-177,486
"Pocillopora_meandrina_HIv1___RNAseq.g28146.t1","Exosome component 7","PMEA_00028419","EXOSC7","Pocillopora meandrina","A0AAU9VXB3",98.955,287,3,0,1,287,1,287,0,586
"Pocillopora_meandrina_HIv1___RNAseq.g28341.t1","C3H1-type domain-containing protein","pdam_00023615","ZFC3H1","Pocillopora damicornis","A0A3M6TF63",89.481,770,64,2,53,805,87,856,0,1404
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","pdam_00013354","ZFC3H1","Pocillopora damicornis","A0A3M6U709",99.831,592,1,0,1,592,1,592,0,1225
"Pocillopora_meandrina_HIv1___TS.g19303.t1","C3H1-type domain-containing protein","pdam_00003006","ZFC3H1","Pocillopora damicornis","A0A3M6U800",94.646,1905,88,3,1243,3136,1053,2954,0,3721
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","pdam_00006329","ZFC3H1","Pocillopora damicornis","A0A3M6UU55",74.777,337,12,5,1,264,1,337,6.66e-170,478
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","pdam_00020642","ZFC3H1","Pocillopora damicornis","A0A3M6UXL4",99.773,441,1,0,1,441,1,441,0,887
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","pdam_00006425","ZFC3H1","Pocillopora damicornis","A0A3M6UXZ5",100,294,0,0,1,294,1,294,0,600
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","pdam_00007335","ZFC3H1","Pocillopora damicornis","A0A3M6V1Q8",99.373,797,4,1,1,796,1,797,0,1643
"Pocillopora_meandrina_HIv1___TS.g10992.t2","C3H1-type domain-containing protein","pdam_00014534","ZFC3H1","Pocillopora damicornis","A0A3M6V413",97.857,140,3,0,1,140,1,140,1.08e-98,290
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5UU27",51.27,433,171,13,1,402,1,424,3.86e-110,330
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5UY71",50.667,225,109,2,211,434,314,537,1.73e-80,268
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5WRS8",47.183,284,135,6,216,497,191,461,7.87e-80,273
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5WU21",41.294,201,92,4,12,203,25,208,2.6e-41,143
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5XDW6",41.294,201,92,4,12,203,25,208,4.15e-41,142
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913WR49",70.991,424,104,5,1,405,1,424,3.84e-178,504
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913WTR0",54.321,243,85,4,31,254,24,259,1.06e-84,256
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XAL5",45.975,559,239,12,1,516,1,539,6.56e-154,456
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XEY4",65.763,295,80,6,1,277,34,325,4.68e-127,371
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XEZ4",67.647,374,107,9,1,366,34,401,1.06e-176,497
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XF03",68.121,298,83,7,1,292,34,325,4.16e-135,392
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913Y3U2",45.723,678,281,21,228,842,140,793,5.46e-156,476
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913YXN3",45.723,678,281,21,89,703,140,793,5.32e-158,476
"Pocillopora_meandrina_HIv1___RNAseq.g28545.t1","C3H1-type domain-containing protein","OS493_013117","ZFC3H1","Desmophyllum pertusum","A0A9W9YT36",90.756,714,58,3,1,706,1,714,0,1234
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","OS493_017776","ZFC3H1","Desmophyllum pertusum","A0A9W9ZCL1",83.333,120,19,1,1,120,1,119,3.88e-56,176
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","OS493_000086","ZFC3H1","Desmophyllum pertusum","A0A9X0AA07",63.458,561,136,10,1,501,1,552,0,636
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","OS493_007929","ZFC3H1","Desmophyllum pertusum","A0A9X0CI06",77.741,611,114,10,40,647,1,592,0,953
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","PMEA_00016502","ZFC3H1","Pocillopora meandrina","A0AAU9VPY1",98.997,798,7,1,1,798,1,797,0,1640
"Pocillopora_meandrina_HIv1___RNAseq.g28338.t1","C3H1-type domain-containing protein","PMEA_00025418","ZFC3H1","Pocillopora meandrina","A0AAU9VUI3",91.706,2110,110,7,1348,3457,1145,3189,0,3939
"Pocillopora_meandrina_HIv1___RNAseq.g11578.t2","C3H1-type domain-containing protein","PMEA_00006800","ZFC3H1","Pocillopora meandrina","A0AAU9WJL5",96.947,1081,29,1,1,1077,1,1081,0,2163
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","PMEA_00008538","ZFC3H1","Pocillopora meandrina","A0AAU9WNB9",96.35,411,0,1,1,396,1,411,0,814
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","PMEA_00026845","ZFC3H1","Pocillopora meandrina","A0AAU9XMA9",99.32,441,3,0,1,441,1,441,0,884
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","PMEA_00034110","ZFC3H1","Pocillopora meandrina","A0AAU9XYX6",99.493,592,3,0,1,592,1,592,0,1218
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","PEVE_00014570","ZFC3H1","Porites evermanni","A0ABN8LDS2",69.378,627,145,14,1,615,1,592,0,841
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","PEVE_00018839","ZFC3H1","Porites evermanni","A0ABN8M174",54.928,761,274,24,78,793,60,796,0,715
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","PEVE_00024196","ZFC3H1","Porites evermanni","A0ABN8M8L2",86.006,343,45,3,1,340,82,424,0,526
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","PEVE_00024197","ZFC3H1","Porites evermanni","A0ABN8MAN4",93.182,176,11,1,1,175,82,257,4.49e-120,347
"Pocillopora_meandrina_HIv1___RNAseq.g11586.t2","C3H1-type domain-containing protein","PLOB_00030861","ZFC3H1","Porites lobata","A0ABN8MV42",66.194,494,132,4,1,460,1,493,0,639
"Pocillopora_meandrina_HIv1___RNAseq.g28338.t1","C3H1-type domain-containing protein","PLOB_00035750","ZFC3H1","Porites lobata","A0ABN8MVQ5",35.05,1903,1073,49,1170,2975,1145,2981,0,956
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","PLOB_00002629","ZFC3H1","Porites lobata","A0ABN8N7E6",64.527,296,83,4,3,278,1,294,4.47e-119,342
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","C3H1-type domain-containing protein","PLOB_00022053","ZFC3H1","Porites lobata","A0ABN8NLF5",86.321,424,55,3,1,421,1,424,0,617
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","C3H1-type domain-containing protein","PLOB_00049275","ZFC3H1","Porites lobata","A0ABN8PWR5",55.61,820,294,25,1,775,2,796,0,790
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","C3H1-type domain-containing protein","PLOB_00027635","ZFC3H1","Porites lobata","A0ABN8RUA0",67.783,627,148,15,1,608,1,592,0,809
"Pocillopora_meandrina_HIv1___RNAseq.g25540.t1","C3H1-type domain-containing protein","PEVE_00028906","ZFC3H1","Porites evermanni","A0ABN8STI4",60.759,316,113,2,160,464,369,684,8.35e-129,393
"Pocillopora_meandrina_HIv1___RNAseq.g11586.t2","C3H1-type domain-containing protein","PEVE_00028020","ZFC3H1","Porites evermanni","A0ABN8SXS4",62.146,494,141,7,1,449,1,493,0,577
"Pocillopora_meandrina_HIv1___RNAseq.g11586.t2","C3H1-type domain-containing protein","PEVE_00033986","ZFC3H1","Porites evermanni","A0ABN8T119",63.514,444,128,4,13,422,50,493,0,543
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","C3H1-type domain-containing protein","NEMVEDRAFT_v1g242949","ZFC3H1","Nematostella vectensis","A7S573",47.975,321,122,9,7,309,1,294,8.24e-82,249
"Pocillopora_meandrina_HIv1___TS.g10682.t1","C3H1-type domain-containing protein","NEMVEDRAFT_v1g210446","ZFC3H1","Nematostella vectensis","A7SD65",75.893,224,49,3,1,221,39,260,8.93e-119,346
"Pocillopora_meandrina_HIv1___TS.g10511.t2","Integrator complex subunit 10","INTS10","INTS10","Stylophora pistillata","A0A2B4RL22",90.344,756,66,2,1,749,1,756,0,1357
"Pocillopora_meandrina_HIv1___TS.g10511.t2","Integrator complex subunit 10","pdam_00020400","INTS10","Pocillopora damicornis","A0A3M6UR45",95.833,768,4,3,1,752,1,756,0,1508
