Orthogroup	Apulchra-genome.pep	Porites_evermanni_v1.annot.pep
OG0000027	FUN_029591-T1, FUN_029666-T1	Peve_00013211
OG0000027	FUN_001559-T1	Peve_00028951
OG0000027	FUN_029705-T1, FUN_029681-T1	Peve_00013206, Peve_00012798
OG0000027	FUN_029565-T1, FUN_029565-T2	Peve_00028932
OG0000027	FUN_029566-T1	Peve_00028950, Peve_00023396
OG0000027	FUN_029678-T1, FUN_029676-T1, FUN_029559-T1, FUN_029609-T1, FUN_029604-T1, FUN_029575-T1, FUN_029582-T1, FUN_029611-T1, FUN_029592-T1, FUN_029655-T1, FUN_029589-T1, FUN_029602-T1, FUN_029596-T1, FUN_029652-T1, FUN_029646-T1, FUN_029607-T1, FUN_029598-T1, FUN_029594-T1, FUN_029564-T1, FUN_029560-T1, FUN_029578-T1, FUN_029600-T1	Peve_00012803, Peve_00012799
OG0000040	FUN_044850-T1	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183
OG0000042	FUN_039489-T1	Peve_00042810
OG0000042	FUN_042079-T1	Peve_00014060, Peve_00039409
OG0000043	FUN_011106-T1, FUN_018687-T1, FUN_040887-T1, FUN_037033-T1, FUN_020930-T1, FUN_011071-T1, FUN_039762-T1, FUN_036534-T1, FUN_026606-T1, FUN_036776-T1, FUN_015676-T1, FUN_019857-T1, FUN_019675-T1, FUN_001931-T1, FUN_019679-T1, FUN_002839-T1, FUN_018895-T1, FUN_007595-T1, FUN_040459-T1, FUN_024920-T1, FUN_019861-T1, FUN_015717-T1, FUN_040981-T1, FUN_040355-T1, FUN_006347-T1, FUN_011152-T1, FUN_039103-T1, FUN_011494-T1, FUN_009912-T1, FUN_002398-T1, FUN_015877-T1, FUN_015617-T1, FUN_015681-T1, FUN_005702-T1, FUN_037816-T1, FUN_030637-T1, FUN_006355-T1, FUN_027642-T1, FUN_027639-T1, FUN_039998-T1, FUN_027649-T1, FUN_009596-T1, FUN_027641-T1, FUN_019569-T1, FUN_013816-T1	Peve_00032816
OG0000047	FUN_024298-T1, FUN_024294-T1, FUN_024318-T1, FUN_024283-T1, FUN_024266-T1, FUN_024229-T1, FUN_026907-T1, FUN_024256-T1, FUN_024302-T1, FUN_024311-T1, FUN_024275-T1, FUN_024263-T1, FUN_024291-T1, FUN_024326-T1, FUN_024253-T3, FUN_024253-T2, FUN_024253-T1, FUN_024305-T1, FUN_024259-T1, FUN_024231-T1, FUN_024309-T1, FUN_024273-T1, FUN_024241-T1, FUN_024271-T1, FUN_024307-T1, FUN_024236-T1, FUN_024293-T1, FUN_024262-T1, FUN_024238-T1, FUN_024269-T1, FUN_024225-T1, FUN_024228-T1, FUN_024292-T1, FUN_024240-T1, FUN_024235-T1, FUN_024261-T1, FUN_024304-T1, FUN_024258-T1	Peve_00031178, Peve_00016346, Peve_00031176, Peve_00016344, Peve_00028682
OG0000048	FUN_002140-T1, FUN_044743-T1, FUN_045370-T1, FUN_014083-T1	Peve_00042660, Peve_00003020, Peve_00040289, Peve_00041364, Peve_00018343, Peve_00028151, Peve_00008813, Peve_00010969, Peve_00028156, Peve_00010970, Peve_00001802, Peve_00022693, Peve_00040250, Peve_00036119, Peve_00031127, Peve_00017170, Peve_00029971, Peve_00008161, Peve_00023441, Peve_00019057, Peve_00045274, Peve_00023700, Peve_00011290, Peve_00020249, Peve_00028281, Peve_00043084, Peve_00029100, Peve_00031722, Peve_00029061, Peve_00041184, Peve_00045110, Peve_00027740, Peve_00023061, Peve_00010357, Peve_00000310, Peve_00043132, Peve_00000916, Peve_00028278, Peve_00029058
OG0000049	FUN_003890-T1	Peve_00034526, Peve_00034520
OG0000049	FUN_009417-T1, FUN_031228-T1, FUN_009400-T1, FUN_009397-T3, FUN_009397-T2	Peve_00030897, Peve_00005436, Peve_00031806, Peve_00005437, Peve_00013651, Peve_00013676, Peve_00015471, Peve_00018441, Peve_00013650, Peve_00013684, Peve_00013682, Peve_00005443, Peve_00005442, Peve_00031807, Peve_00028097, Peve_00013681, Peve_00005438, Peve_00013674, Peve_00013683, Peve_00013679, Peve_00005444, Peve_00005439, Peve_00028099, Peve_00005440, Peve_00028098, Peve_00005441, Peve_00028100
OG0000049	FUN_009397-T1	Peve_00013545, Peve_00032405, Peve_00017756, Peve_00026525
OG0000051	FUN_029836-T1	Peve_00015352, Peve_00004880, Peve_00021451, Peve_00045252, Peve_00037971, Peve_00030318, Peve_00043355, Peve_00042503, Peve_00013561, Peve_00044415, Peve_00018277, Peve_00003736, Peve_00043765, Peve_00038221, Peve_00045349, Peve_00032455, Peve_00020866, Peve_00021350, Peve_00043766, Peve_00011537, Peve_00039425, Peve_00008678, Peve_00017793, Peve_00029655, Peve_00026765, Peve_00004050, Peve_00022062, Peve_00039390, Peve_00012639, Peve_00024941, Peve_00009324, Peve_00005532, Peve_00028938, Peve_00028226, Peve_00033294, Peve_00003351, Peve_00036909, Peve_00013756, Peve_00002293, Peve_00000198, Peve_00026053, Peve_00002233
OG0000059	FUN_019875-T1, FUN_019362-T1, FUN_006031-T1, FUN_019620-T1, FUN_019347-T1, FUN_006021-T1, FUN_019693-T1, FUN_006298-T1, FUN_006290-T1, FUN_006315-T1, FUN_019739-T1, FUN_020968-T1, FUN_028773-T1, FUN_028538-T1, FUN_026439-T3, FUN_002935-T1, FUN_002878-T1, FUN_019367-T1, FUN_019354-T1, FUN_019371-T1, FUN_002838-T1, FUN_019768-T1, FUN_019831-T1, FUN_006027-T1, FUN_028735-T1, FUN_028599-T1, FUN_028532-T1, FUN_020992-T1, FUN_020615-T1, FUN_019315-T1, FUN_028705-T1, FUN_028567-T1, FUN_026436-T1, FUN_019650-T1, FUN_026430-T1, FUN_019381-T1, FUN_002889-T1, FUN_002889-T2	Peve_00013972, Peve_00043468, Peve_00023750
OG0000063	FUN_033107-T1	Peve_00042888, Peve_00035225, Peve_00035704, Peve_00016793, Peve_00016786, Peve_00039018, Peve_00010949, Peve_00028253, Peve_00025169, Peve_00035707, Peve_00035714, Peve_00017178, Peve_00035702, Peve_00010284, Peve_00026440, Peve_00010291, Peve_00010286, Peve_00013004, Peve_00010285, Peve_00026439, Peve_00029240, Peve_00026063, Peve_00017908, Peve_00008307, Peve_00042621, Peve_00038342, Peve_00038344, Peve_00042892, Peve_00017177, Peve_00029952, Peve_00035425, Peve_00006282, Peve_00015330, Peve_00034250, Peve_00025172, Peve_00035706, Peve_00035718, Peve_00035695, Peve_00039372
OG0000064	FUN_045432-T1	Peve_00040264, Peve_00035586, Peve_00000299, Peve_00014962
OG0000064	FUN_044428-T1	Peve_00039318, Peve_00023879, Peve_00005546, Peve_00025238, Peve_00033176, Peve_00006354, Peve_00008258, Peve_00015673, Peve_00014919, Peve_00041846, Peve_00040894, Peve_00018659, Peve_00028057, Peve_00007748, Peve_00015707, Peve_00001836, Peve_00042540, Peve_00018511, Peve_00012167, Peve_00033000, Peve_00027911, Peve_00037273, Peve_00029552, Peve_00042547, Peve_00025561, Peve_00025529, Peve_00043647, Peve_00038236, Peve_00004093, Peve_00030659, Peve_00024519
OG0000066	FUN_030169-T1	Peve_00042272
OG0000066	FUN_002851-T1, FUN_015568-T1, FUN_039706-T1, FUN_034270-T1, FUN_005965-T1, FUN_026939-T1, FUN_044509-T1, FUN_045442-T1, FUN_003609-T1, FUN_012460-T1, FUN_030168-T1, FUN_013819-T1, FUN_021030-T1, FUN_044601-T1, FUN_019037-T1, FUN_016535-T1, FUN_027309-T1, FUN_015741-T1, FUN_032893-T1, FUN_027465-T1, FUN_001496-T1, FUN_042323-T1, FUN_027437-T1, FUN_016630-T1, FUN_015673-T1, FUN_015569-T1, FUN_023776-T1, FUN_019077-T1, FUN_023777-T1, FUN_014150-T1, FUN_030104-T1, FUN_040648-T1, FUN_030171-T1, FUN_011083-T1, FUN_013671-T1, FUN_040367-T1	Peve_00016060
OG0000070	FUN_030188-T1	Peve_00029075
OG0000070	FUN_000286-T2, FUN_000286-T3, FUN_000286-T1	Peve_00029078, Peve_00027320, Peve_00027198, Peve_00002458, Peve_00027197, Peve_00011861, Peve_00011860, Peve_00027319, Peve_00014113, Peve_00027316, Peve_00029077, Peve_00029076, Peve_00002061, Peve_00033564, Peve_00028711, Peve_00028710, Peve_00007102, Peve_00001380, Peve_00033137, Peve_00007103, Peve_00031571, Peve_00029663, Peve_00022114, Peve_00026218, Peve_00026219, Peve_00022646, Peve_00022647, Peve_00033571, Peve_00033570
OG0000070	FUN_030189-T1	Peve_00027315
OG0000071	FUN_001239-T1	Peve_00022816, Peve_00031626, Peve_00039915, Peve_00039329, Peve_00030320, Peve_00045238, Peve_00029235, Peve_00033823, Peve_00039080, Peve_00039078, Peve_00039079, Peve_00039075, Peve_00039376, Peve_00039375, Peve_00018592, Peve_00039088, Peve_00039082, Peve_00018596, Peve_00039081, Peve_00018594, Peve_00011751, Peve_00006236, Peve_00019206, Peve_00021737, Peve_00036088, Peve_00025392, Peve_00011752, Peve_00021738, Peve_00030597, Peve_00025393, Peve_00011753, Peve_00033276, Peve_00025391, Peve_00021739, Peve_00019205, Peve_00019203
OG0000073	FUN_008729-T1	Peve_00013706
OG0000074	FUN_012092-T1, FUN_012081-T1, FUN_012079-T1, FUN_012079-T2, FUN_022272-T1	Peve_00026492, Peve_00013067, Peve_00038482, Peve_00032972, Peve_00023633, Peve_00014753, Peve_00014749, Peve_00014751, Peve_00009831, Peve_00008294, Peve_00008291, Peve_00000376, Peve_00044334, Peve_00018215, Peve_00040933, Peve_00018216, Peve_00018214, Peve_00040939, Peve_00040931, Peve_00018953, Peve_00040940, Peve_00040937, Peve_00009835, Peve_00040929, Peve_00018218, Peve_00008292, Peve_00009827, Peve_00009833, Peve_00009830, Peve_00043021, Peve_00041159
OG0000077	FUN_012089-T1	Peve_00018666, Peve_00039095
OG0000077	FUN_012088-T1	Peve_00025143, Peve_00019671
OG0000077	FUN_012086-T1	Peve_00007419, Peve_00016103
OG0000077	FUN_012117-T1, FUN_012115-T3, FUN_012115-T4, FUN_012115-T1, FUN_012116-T1, FUN_012115-T2	Peve_00019675, Peve_00019672, Peve_00032239, Peve_00021190, Peve_00030611
OG0000081	FUN_043748-T1, FUN_030099-T1, FUN_003749-T1, FUN_039458-T1, FUN_030621-T1, FUN_021175-T1, FUN_045847-T1, FUN_003536-T1, FUN_003512-T1, FUN_033584-T1, FUN_028869-T1, FUN_040839-T1, FUN_039716-T1, FUN_017688-T1, FUN_021179-T1, FUN_027251-T1, FUN_020897-T1, FUN_042372-T1, FUN_042330-T1, FUN_033592-T1, FUN_042348-T1, FUN_010115-T1, FUN_043749-T1, FUN_033071-T1, FUN_039673-T1, FUN_013000-T1, FUN_007563-T1, FUN_045301-T1	Peve_00026620
OG0000081	FUN_017250-T1, FUN_042386-T1, FUN_005710-T1, FUN_012999-T1	Peve_00000257
OG0000088	FUN_024504-T1	Peve_00015631
OG0000088	FUN_045246-T1	Peve_00006572, Peve_00005708, Peve_00021306, Peve_00023324, Peve_00041426, Peve_00021394, Peve_00020744, Peve_00009395, Peve_00018830, Peve_00044612, Peve_00013868, Peve_00009380, Peve_00037999, Peve_00018758, Peve_00023320, Peve_00023687, Peve_00021495, Peve_00032412, Peve_00013867, Peve_00011479, Peve_00019657
OG0000088	FUN_018705-T1, FUN_021830-T1, FUN_030850-T1	Peve_00043329, Peve_00019187, Peve_00045284
OG0000089	FUN_026330-T1, FUN_026334-T1, FUN_026332-T1, FUN_026340-T1, FUN_026339-T1, FUN_026331-T1, FUN_026333-T1, FUN_026329-T1, FUN_026335-T1, FUN_026342-T1, FUN_026336-T1, FUN_026344-T1, FUN_026343-T1, FUN_026341-T1, FUN_026338-T1, FUN_026337-T1, FUN_026318-T1, FUN_026323-T1, FUN_026322-T1, FUN_026315-T1, FUN_026316-T1, FUN_026319-T1, FUN_026317-T1, FUN_026325-T1, FUN_026345-T1, FUN_026324-T1, FUN_026320-T1, FUN_026321-T1	Peve_00006302, Peve_00003049, Peve_00013720, Peve_00017699, Peve_00026428
OG0000090	FUN_040163-T1	Peve_00002610, Peve_00041608
OG0000090	FUN_044575-T1, FUN_045659-T1, FUN_044882-T1	Peve_00037751
OG0000093	FUN_032498-T1, FUN_032502-T1, FUN_032494-T1, FUN_032496-T1, FUN_006479-T1, FUN_006548-T1, FUN_029884-T1, FUN_006495-T1, FUN_029886-T1, FUN_006470-T2, FUN_006470-T1, FUN_032501-T1, FUN_006484-T1, FUN_006556-T1, FUN_006503-T1, FUN_032500-T1, FUN_001865-T1, FUN_001865-T2, FUN_032495-T1, FUN_032495-T2, FUN_006554-T1, FUN_006538-T1, FUN_006504-T1, FUN_006485-T1	Peve_00019791, Peve_00042410, Peve_00042414, Peve_00042406, Peve_00042411, Peve_00045332, Peve_00042408
OG0000095	FUN_033651-T1, FUN_043810-T1, FUN_009850-T1, FUN_042865-T1, FUN_039503-T1, FUN_039470-T1, FUN_017319-T1, FUN_017321-T1, FUN_017238-T1, FUN_017242-T1, FUN_017295-T1, FUN_013311-T1, FUN_024684-T1, FUN_013846-T1, FUN_006346-T1, FUN_018609-T1, FUN_019279-T1, FUN_005848-T1, FUN_002755-T1, FUN_019864-T1, FUN_037037-T1, FUN_027624-T1, FUN_013973-T1, FUN_011190-T1, FUN_039102-T1, FUN_016925-T1, FUN_011153-T1, FUN_027623-T1, FUN_024683-T1, FUN_013312-T1, FUN_027551-T1, FUN_019684-T1	Peve_00045202
OG0000098	FUN_015196-T1	Peve_00037834
OG0000098	FUN_015214-T1, FUN_015215-T1, FUN_045358-T1, FUN_015203-T1, FUN_015195-T1	Peve_00026840, Peve_00000661, Peve_00000662, Peve_00009750, Peve_00033200, Peve_00043819, Peve_00009746, Peve_00043818, Peve_00043817, Peve_00024464, Peve_00026838, Peve_00033201, Peve_00009745, Peve_00043815, Peve_00026839, Peve_00009751, Peve_00009753, Peve_00024463, Peve_00026850, Peve_00030515, Peve_00025575, Peve_00009272, Peve_00023106, Peve_00024465, Peve_00026113, Peve_00026115
OG0000099	FUN_022729-T1, FUN_022731-T1, FUN_022754-T1, FUN_022745-T1, FUN_022739-T1, FUN_022736-T1, FUN_022732-T1, FUN_022742-T1, FUN_022744-T1, FUN_022725-T1, FUN_022726-T1, FUN_022737-T1, FUN_022741-T1, FUN_022750-T1, FUN_022752-T1, FUN_022743-T1, FUN_022746-T1, FUN_022728-T1, FUN_022747-T1, FUN_022738-T1, FUN_022753-T1, FUN_022740-T1, FUN_022749-T1, FUN_022727-T1, FUN_022733-T1, FUN_022734-T1, FUN_022751-T1, FUN_022748-T1, FUN_022730-T1, FUN_022735-T1, FUN_022755-T1	Peve_00011020
OG0000100	FUN_024205-T1	Peve_00034492, Peve_00025537, Peve_00029150, Peve_00034488, Peve_00025532, Peve_00025533, Peve_00025562, Peve_00025530, Peve_00025551, Peve_00025560, Peve_00029147, Peve_00025565, Peve_00029151, Peve_00025554, Peve_00011550, Peve_00025531, Peve_00025550, Peve_00025564, Peve_00025552, Peve_00034491, Peve_00025536, Peve_00025534, Peve_00034490, Peve_00025553, Peve_00029148, Peve_00025557, Peve_00034485, Peve_00022949, Peve_00025566, Peve_00025555, Peve_00034487, Peve_00011549
OG0000108	FUN_008615-T1	Peve_00015389, Peve_00036403
OG0000109	FUN_011515-T1	Peve_00011712, Peve_00001810, Peve_00011689, Peve_00025522, Peve_00000421, Peve_00036828, Peve_00026465, Peve_00014351, Peve_00044849, Peve_00029212, Peve_00016155, Peve_00041193, Peve_00023236, Peve_00034793, Peve_00035071, Peve_00037118, Peve_00006494, Peve_00005041, Peve_00035696, Peve_00033864, Peve_00011246, Peve_00008787, Peve_00019650, Peve_00003778, Peve_00014154, Peve_00014153, Peve_00028130, Peve_00042141, Peve_00010222, Peve_00042262
OG0000110	FUN_031585-T1	Peve_00033240
OG0000110	FUN_031576-T1, FUN_031572-T1, FUN_031571-T1, FUN_031573-T1, FUN_031587-T1, FUN_031586-T1, FUN_031584-T1, FUN_031577-T1, FUN_031582-T1, FUN_031575-T1	Peve_00007530, Peve_00033241
OG0000120	FUN_032208-T1, FUN_003628-T1, FUN_003616-T1, FUN_032880-T1, FUN_003618-T1, FUN_003690-T1, FUN_003687-T1, FUN_032674-T1, FUN_032588-T1	Peve_00040582, Peve_00038676, Peve_00022064, Peve_00025597, Peve_00025595, Peve_00023456, Peve_00023459, Peve_00016607, Peve_00025218, Peve_00038039, Peve_00025596, Peve_00032725, Peve_00032726, Peve_00027519, Peve_00018867, Peve_00018866, Peve_00018868, Peve_00014716, Peve_00014717
OG0000121	FUN_004143-T1	Peve_00021041, Peve_00010718, Peve_00010716, Peve_00024413, Peve_00021032, Peve_00032051, Peve_00010722, Peve_00024411, Peve_00032052
OG0000121	FUN_036236-T1	Peve_00036674, Peve_00037443, Peve_00036675, Peve_00037442, Peve_00027477, Peve_00035440, Peve_00044145, Peve_00044150, Peve_00028428, Peve_00044155, Peve_00044144, Peve_00044146, Peve_00010269, Peve_00032557, Peve_00031334, Peve_00010253, Peve_00010254, Peve_00010266
