Orthogroup	Porites_evermanni_v1.annot.pep	Pocillopora_meandrina_HIv1.genes.pep
OG0000045	Peve_00020882, Peve_00043458, Peve_00011943, Peve_00039441, Peve_00036220, Peve_00042446, Peve_00042957, Peve_00042207, Peve_00029830, Peve_00003095, Peve_00033011, Peve_00033014, Peve_00000306, Peve_00044253, Peve_00034653, Peve_00004999, Peve_00044800	Pocillopora_meandrina_HIv1___TS.g28748.t1
OG0000047	Peve_00031178, Peve_00016346, Peve_00031176, Peve_00016344, Peve_00028682	Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b
OG0000049	Peve_00030897, Peve_00005436, Peve_00031806, Peve_00005437, Peve_00013651, Peve_00013676, Peve_00015471, Peve_00018441, Peve_00013650, Peve_00013684, Peve_00013682, Peve_00005443, Peve_00005442, Peve_00031807, Peve_00028097, Peve_00013681, Peve_00005438, Peve_00013674, Peve_00013683, Peve_00013679, Peve_00005444, Peve_00005439, Peve_00028099, Peve_00005440, Peve_00028098, Peve_00005441, Peve_00028100	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a
OG0000054	Peve_00017319, Peve_00042028, Peve_00042766, Peve_00038267, Peve_00027934, Peve_00036858, Peve_00017328, Peve_00013061, Peve_00024089, Peve_00013060, Peve_00017311, Peve_00036857, Peve_00017317, Peve_00017312, Peve_00002754, Peve_00035260, Peve_00017316, Peve_00017322, Peve_00017320, Peve_00017324, Peve_00017323, Peve_00042026, Peve_00025828, Peve_00042038, Peve_00042027, Peve_00042031, Peve_00024500, Peve_00028876, Peve_00024082, Peve_00024080, Peve_00024087, Peve_00024086, Peve_00017129, Peve_00017128, Peve_00024765, Peve_00024767, Peve_00017127, Peve_00013059, Peve_00024083, Peve_00013062	Pocillopora_meandrina_HIv1___RNAseq.g3228.t1, Pocillopora_meandrina_HIv1___RNAseq.g3234.t1
OG0000064	Peve_00040264, Peve_00035586, Peve_00000299, Peve_00014962	Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___RNAseq.g12945.t1
OG0000064	Peve_00039318, Peve_00023879, Peve_00005546, Peve_00025238, Peve_00033176, Peve_00006354, Peve_00008258, Peve_00015673, Peve_00014919, Peve_00041846, Peve_00040894, Peve_00018659, Peve_00028057, Peve_00007748, Peve_00015707, Peve_00001836, Peve_00042540, Peve_00018511, Peve_00012167, Peve_00033000, Peve_00027911, Peve_00037273, Peve_00029552, Peve_00042547, Peve_00025561, Peve_00025529, Peve_00043647, Peve_00038236, Peve_00004093, Peve_00030659, Peve_00024519	Pocillopora_meandrina_HIv1___TS.g23490.t1
OG0000069	Peve_00039896, Peve_00005919, Peve_00005923, Peve_00044036, Peve_00004921, Peve_00028728, Peve_00028725, Peve_00027623, Peve_00014898, Peve_00038333, Peve_00022161, Peve_00022163, Peve_00038327, Peve_00000644, Peve_00043244, Peve_00028388, Peve_00026474, Peve_00026473, Peve_00030252, Peve_00002438, Peve_00002440, Peve_00009937, Peve_00005921, Peve_00027627, Peve_00027625, Peve_00027626, Peve_00027628, Peve_00003985, Peve_00004923, Peve_00009271, Peve_00009269, Peve_00022957, Peve_00035278, Peve_00002439, Peve_00009935, Peve_00009940, Peve_00009936	Pocillopora_meandrina_HIv1___RNAseq.g26032.t1
OG0000070	Peve_00029078, Peve_00027320, Peve_00027198, Peve_00002458, Peve_00027197, Peve_00011861, Peve_00011860, Peve_00027319, Peve_00014113, Peve_00027316, Peve_00029077, Peve_00029076, Peve_00002061, Peve_00033564, Peve_00028711, Peve_00028710, Peve_00007102, Peve_00001380, Peve_00033137, Peve_00007103, Peve_00031571, Peve_00029663, Peve_00022114, Peve_00026218, Peve_00026219, Peve_00022646, Peve_00022647, Peve_00033571, Peve_00033570	Pocillopora_meandrina_HIv1___RNAseq.g27892.t1a
OG0000073	Peve_00013706	Pocillopora_meandrina_HIv1___TS.g68.t1, Pocillopora_meandrina_HIv1___RNAseq.g12742.t1, Pocillopora_meandrina_HIv1___RNAseq.g12743.t1, Pocillopora_meandrina_HIv1___RNAseq.g12729.t1, Pocillopora_meandrina_HIv1___RNAseq.g12718.t1, Pocillopora_meandrina_HIv1___RNAseq.g12741.t1
OG0000073	Peve_00040073	Pocillopora_meandrina_HIv1___RNAseq.g14697.t1, Pocillopora_meandrina_HIv1___TS.g3825.t1, Pocillopora_meandrina_HIv1___RNAseq.g14699.t1, Pocillopora_meandrina_HIv1___RNAseq.g14640.t1, Pocillopora_meandrina_HIv1___RNAseq.g14639.t1, Pocillopora_meandrina_HIv1___RNAseq.g14654.t1, Pocillopora_meandrina_HIv1___TS.g10084.t1, Pocillopora_meandrina_HIv1___TS.g3784.t1, Pocillopora_meandrina_HIv1___RNAseq.g14653.t1, Pocillopora_meandrina_HIv1___TS.g3783.t1, Pocillopora_meandrina_HIv1___RNAseq.g8072.t1, Pocillopora_meandrina_HIv1___TS.g3843.t1, Pocillopora_meandrina_HIv1___RNAseq.g14684.t1, Pocillopora_meandrina_HIv1___RNAseq.g12728.t1b, Pocillopora_meandrina_HIv1___RNAseq.g14673.t2, Pocillopora_meandrina_HIv1___RNAseq.g13849.t2, Pocillopora_meandrina_HIv1___RNAseq.g14657.t2, Pocillopora_meandrina_HIv1___RNAseq.g8065.t3, Pocillopora_meandrina_HIv1___RNAseq.g1279.t3, Pocillopora_meandrina_HIv1___RNAseq.g14700.t1, Pocillopora_meandrina_HIv1___RNAseq.g14656.t1, Pocillopora_meandrina_HIv1___RNAseq.g13848.t1, Pocillopora_meandrina_HIv1___RNAseq.g14677.t1, Pocillopora_meandrina_HIv1___RNAseq.g14647.t1, Pocillopora_meandrina_HIv1___RNAseq.g14632.t1, Pocillopora_meandrina_HIv1___RNAseq.g14630.t1, Pocillopora_meandrina_HIv1___RNAseq.g14652.t1, Pocillopora_meandrina_HIv1___RNAseq.g14687.t1
OG0000074	Peve_00026492, Peve_00013067, Peve_00038482, Peve_00032972, Peve_00023633, Peve_00014753, Peve_00014749, Peve_00014751, Peve_00009831, Peve_00008294, Peve_00008291, Peve_00000376, Peve_00044334, Peve_00018215, Peve_00040933, Peve_00018216, Peve_00018214, Peve_00040939, Peve_00040931, Peve_00018953, Peve_00040940, Peve_00040937, Peve_00009835, Peve_00040929, Peve_00018218, Peve_00008292, Peve_00009827, Peve_00009833, Peve_00009830, Peve_00043021, Peve_00041159	Pocillopora_meandrina_HIv1___RNAseq.g9806.t1
OG0000077	Peve_00018666, Peve_00039095	Pocillopora_meandrina_HIv1___RNAseq.g5459.t1
OG0000079	Peve_00001568, Peve_00036523	Pocillopora_meandrina_HIv1___TS.g9711.t1
OG0000079	Peve_00026695, Peve_00033850, Peve_00020814, Peve_00013299, Peve_00042208, Peve_00027318, Peve_00035827, Peve_00020852, Peve_00018920, Peve_00038803, Peve_00031138, Peve_00008575, Peve_00045072, Peve_00035523, Peve_00014382, Peve_00033012, Peve_00038161, Peve_00008640, Peve_00031009, Peve_00004998, Peve_00011942, Peve_00020711, Peve_00014134, Peve_00042706, Peve_00039440, Peve_00005911, Peve_00000737, Peve_00028513, Peve_00000923, Peve_00022708, Peve_00010205, Peve_00022709	Pocillopora_meandrina_HIv1___RNAseq.g23301.t1
OG0000081	Peve_00026620	Pocillopora_meandrina_HIv1___TS.g12881.t1
OG0000088	Peve_00015631, Peve_00035376, Peve_00006572, Peve_00005708, Peve_00021306, Peve_00023324, Peve_00041426, Peve_00021394, Peve_00020744, Peve_00009395, Peve_00018830, Peve_00044612, Peve_00013868, Peve_00009380, Peve_00037999, Peve_00018758, Peve_00023320, Peve_00023687, Peve_00021495, Peve_00032412, Peve_00013867, Peve_00011479, Peve_00019657, Peve_00043329, Peve_00019187, Peve_00045284	Pocillopora_meandrina_HIv1___RNAseq.g25143.t1, Pocillopora_meandrina_HIv1___RNAseq.g9035.t1b, Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c
OG0000089	Peve_00006302, Peve_00003049, Peve_00013720, Peve_00017699, Peve_00026428	Pocillopora_meandrina_HIv1___RNAseq.g28009.t1
OG0000090	Peve_00037751	Pocillopora_meandrina_HIv1___RNAseq.g29837.t1, Pocillopora_meandrina_HIv1___TS.g17053.t1, Pocillopora_meandrina_HIv1___RNAseq.g23218.t1, Pocillopora_meandrina_HIv1___RNAseq.g3288.t1, Pocillopora_meandrina_HIv1___RNAseq.g17090.t1, Pocillopora_meandrina_HIv1___RNAseq.g6573.t1, Pocillopora_meandrina_HIv1___RNAseq.g16068.t1, Pocillopora_meandrina_HIv1___RNAseq.g19523.t1, Pocillopora_meandrina_HIv1___RNAseq.g19512.t1, Pocillopora_meandrina_HIv1___RNAseq.g21956.t1, Pocillopora_meandrina_HIv1___TS.g12820.t1, Pocillopora_meandrina_HIv1___RNAseq.g16969.t1, Pocillopora_meandrina_HIv1___RNAseq.g269.t1, Pocillopora_meandrina_HIv1___RNAseq.g19581.t1, Pocillopora_meandrina_HIv1___RNAseq.g1641.t1, Pocillopora_meandrina_HIv1___RNAseq.g13844.t1, Pocillopora_meandrina_HIv1___RNAseq.g1642.t1, Pocillopora_meandrina_HIv1___RNAseq.g13843.t1, Pocillopora_meandrina_HIv1___RNAseq.g1262.t1, Pocillopora_meandrina_HIv1___RNAseq.g25387.t1, Pocillopora_meandrina_HIv1___RNAseq.g13845.t1, Pocillopora_meandrina_HIv1___RNAseq.g27026.t1, Pocillopora_meandrina_HIv1___RNAseq.g1640.t1, Pocillopora_meandrina_HIv1___RNAseq.g27025.t1, Pocillopora_meandrina_HIv1___TS.g26720.t1a, Pocillopora_meandrina_HIv1___RNAseq.g7646.t1, Pocillopora_meandrina_HIv1___RNAseq.g29911.t1
OG0000091	Peve_00044793, Peve_00002581, Peve_00042991, Peve_00000895, Peve_00000897, Peve_00036528, Peve_00035520, Peve_00029944, Peve_00001571, Peve_00039109, Peve_00043642, Peve_00032984, Peve_00024355, Peve_00011295, Peve_00036529, Peve_00041611, Peve_00000592, Peve_00042198, Peve_00016782, Peve_00005472, Peve_00015806, Peve_00030342, Peve_00019009, Peve_00044657, Peve_00008616, Peve_00003090, Peve_00035517, Peve_00022320, Peve_00042378, Peve_00042952, Peve_00018566, Peve_00010620, Peve_00002957	Pocillopora_meandrina_HIv1___TS.g23424.t1
OG0000093	Peve_00019791, Peve_00042410, Peve_00042414, Peve_00042406, Peve_00042411, Peve_00045332, Peve_00042408	Pocillopora_meandrina_HIv1___RNAseq.g24335.t1, Pocillopora_meandrina_HIv1___RNAseq.g24753.t1
OG0000099	Peve_00011020	Pocillopora_meandrina_HIv1___TS.g26354.t1
OG0000104	Peve_00011735, Peve_00021020, Peve_00021848, Peve_00011733, Peve_00021019, Peve_00041160, Peve_00043028, Peve_00015082, Peve_00021815, Peve_00025785, Peve_00025783, Peve_00022033, Peve_00012623, Peve_00019208, Peve_00019262, Peve_00019236, Peve_00045025, Peve_00037066, Peve_00018772, Peve_00018771, Peve_00037074, Peve_00039720, Peve_00037063, Peve_00015084, Peve_00009046, Peve_00031745, Peve_00023950, Peve_00010534, Peve_00039726, Peve_00019779, Peve_00031752, Peve_00010535	Pocillopora_meandrina_HIv1___TS.g27055.t1
OG0000108	Peve_00015389, Peve_00036403	Pocillopora_meandrina_HIv1___RNAseq.g1283.t1, Pocillopora_meandrina_HIv1___RNAseq.g8074.t1, Pocillopora_meandrina_HIv1___RNAseq.g12744.t1, Pocillopora_meandrina_HIv1___RNAseq.g12728.t1a, Pocillopora_meandrina_HIv1___RNAseq.g1291.t1, Pocillopora_meandrina_HIv1___RNAseq.g1281.t1, Pocillopora_meandrina_HIv1___TS.g15730.t1, Pocillopora_meandrina_HIv1___RNAseq.g14648.t1, Pocillopora_meandrina_HIv1___RNAseq.g14678.t1, Pocillopora_meandrina_HIv1___RNAseq.g8069.t1, Pocillopora_meandrina_HIv1___RNAseq.g14642.t1, Pocillopora_meandrina_HIv1___TS.g3823.t1, Pocillopora_meandrina_HIv1___RNAseq.g14643.t1, Pocillopora_meandrina_HIv1___RNAseq.g14655.t1, Pocillopora_meandrina_HIv1___RNAseq.g14695.t1, Pocillopora_meandrina_HIv1___RNAseq.g1284.t1, Pocillopora_meandrina_HIv1___RNAseq.g1292.t1, Pocillopora_meandrina_HIv1___RNAseq.g14641.t1, Pocillopora_meandrina_HIv1___RNAseq.g14692.t1, Pocillopora_meandrina_HIv1___RNAseq.g1293.t1, Pocillopora_meandrina_HIv1___RNAseq.g8073.t1, Pocillopora_meandrina_HIv1___RNAseq.g14696.t2, Pocillopora_meandrina_HIv1___TS.g7926.t1, Pocillopora_meandrina_HIv1___RNAseq.g14649.t1, Pocillopora_meandrina_HIv1___RNAseq.g1282.t1, Pocillopora_meandrina_HIv1___RNAseq.g14650.t1, Pocillopora_meandrina_HIv1___RNAseq.g8075.t1, Pocillopora_meandrina_HIv1___RNAseq.g14636.t1, Pocillopora_meandrina_HIv1___RNAseq.g14631.t1
OG0000109	Peve_00011712, Peve_00001810, Peve_00011689, Peve_00025522, Peve_00000421, Peve_00036828, Peve_00026465, Peve_00014351, Peve_00044849, Peve_00029212, Peve_00016155, Peve_00041193, Peve_00023236, Peve_00034793, Peve_00035071, Peve_00037118, Peve_00006494, Peve_00005041, Peve_00035696, Peve_00033864, Peve_00011246, Peve_00008787, Peve_00019650, Peve_00003778, Peve_00014154, Peve_00014153, Peve_00028130, Peve_00042141, Peve_00010222, Peve_00042262	Pocillopora_meandrina_HIv1___TS.g12759.t1
OG0000110	Peve_00011087	Pocillopora_meandrina_HIv1___RNAseq.g27266.t1
OG0000110	Peve_00027368, Peve_00011151, Peve_00027366, Peve_00011152, Peve_00011147, Peve_00011076, Peve_00011155, Peve_00021510, Peve_00026512, Peve_00026511, Peve_00021509, Peve_00021508, Peve_00033240, Peve_00007530, Peve_00033241, Peve_00011077, Peve_00011081, Peve_00011084	Pocillopora_meandrina_HIv1___RNAseq.g27827.t1
OG0000113	Peve_00006067, Peve_00000502, Peve_00027608, Peve_00000505, Peve_00027606, Peve_00000500, Peve_00026046, Peve_00021586, Peve_00041658, Peve_00005431, Peve_00012079, Peve_00021527, Peve_00038054, Peve_00017991, Peve_00041652, Peve_00041651, Peve_00026049, Peve_00040637, Peve_00003603, Peve_00003272, Peve_00020280, Peve_00029507, Peve_00011022, Peve_00005814, Peve_00012076, Peve_00021525, Peve_00012074, Peve_00043357, Peve_00018858, Peve_00000728, Peve_00043368	Pocillopora_meandrina_HIv1___RNAseq.g8454.t1
OG0000120	Peve_00040582, Peve_00038676, Peve_00022064, Peve_00025597, Peve_00025595, Peve_00023456, Peve_00023459, Peve_00016607, Peve_00025218, Peve_00038039, Peve_00025596, Peve_00032725, Peve_00032726, Peve_00027519, Peve_00018867, Peve_00018866, Peve_00018868, Peve_00014716, Peve_00014717	Pocillopora_meandrina_HIv1___RNAseq.g5295.t1, Pocillopora_meandrina_HIv1___RNAseq.g23950.t1, Pocillopora_meandrina_HIv1___RNAseq.g24361.t1
OG0000121	Peve_00021041, Peve_00010718, Peve_00010716, Peve_00024413, Peve_00021032, Peve_00032051, Peve_00010722, Peve_00024411, Peve_00032052	Pocillopora_meandrina_HIv1___RNAseq.g27580.t1, Pocillopora_meandrina_HIv1___TS.g14930.t1
OG0000125	Peve_00014146	Pocillopora_meandrina_HIv1___TS.g15626.t1b
OG0000125	Peve_00040323	Pocillopora_meandrina_HIv1___RNAseq.g25771.t2
OG0000126	Peve_00003977	Pocillopora_meandrina_HIv1___RNAseq.g14364.t1, Pocillopora_meandrina_HIv1___RNAseq.g14367.t1, Pocillopora_meandrina_HIv1___RNAseq.g2885.t1, Pocillopora_meandrina_HIv1___RNAseq.g28817.t1, Pocillopora_meandrina_HIv1___RNAseq.g9484.t1, Pocillopora_meandrina_HIv1___RNAseq.g2887.t1, Pocillopora_meandrina_HIv1___TS.g8596.t1, Pocillopora_meandrina_HIv1___RNAseq.g25400.t1, Pocillopora_meandrina_HIv1___RNAseq.g9483.t1, Pocillopora_meandrina_HIv1___RNAseq.g2886.t1, Pocillopora_meandrina_HIv1___TS.g5846.t1, Pocillopora_meandrina_HIv1___RNAseq.g3586.t1, Pocillopora_meandrina_HIv1___TS.g8064.t1, Pocillopora_meandrina_HIv1___TS.g13701.t1, Pocillopora_meandrina_HIv1___RNAseq.g8540.t1, Pocillopora_meandrina_HIv1___RNAseq.g12910.t1, Pocillopora_meandrina_HIv1___RNAseq.g9175.t1, Pocillopora_meandrina_HIv1___RNAseq.g9173.t1, Pocillopora_meandrina_HIv1___RNAseq.g19551.t1, Pocillopora_meandrina_HIv1___RNAseq.g11396.t1, Pocillopora_meandrina_HIv1___RNAseq.g19598.t1, Pocillopora_meandrina_HIv1___RNAseq.g13143.t1, Pocillopora_meandrina_HIv1___RNAseq.g2822.t1, Pocillopora_meandrina_HIv1___RNAseq.g2392.t1, Pocillopora_meandrina_HIv1___TS.g19583.t1
OG0000128	Peve_00016424	Pocillopora_meandrina_HIv1___RNAseq.g12372.t1, Pocillopora_meandrina_HIv1___RNAseq.g10298.t1, Pocillopora_meandrina_HIv1___RNAseq.g10265.t1, Pocillopora_meandrina_HIv1___RNAseq.g3249.t1, Pocillopora_meandrina_HIv1___RNAseq.g3243.t1, Pocillopora_meandrina_HIv1___RNAseq.g10233.t1, Pocillopora_meandrina_HIv1___RNAseq.g10240.t1, Pocillopora_meandrina_HIv1___TS.g13704.t1, Pocillopora_meandrina_HIv1___RNAseq.g10271.t1, Pocillopora_meandrina_HIv1___RNAseq.g10289.t1, Pocillopora_meandrina_HIv1___TS.g18539.t1, Pocillopora_meandrina_HIv1___RNAseq.g10311.t1, Pocillopora_meandrina_HIv1___RNAseq.g12371.t1, Pocillopora_meandrina_HIv1___RNAseq.g10272.t1, Pocillopora_meandrina_HIv1___RNAseq.g10287.t1, Pocillopora_meandrina_HIv1___RNAseq.g10303.t1, Pocillopora_meandrina_HIv1___RNAseq.g10278.t1, Pocillopora_meandrina_HIv1___RNAseq.g3245.t1, Pocillopora_meandrina_HIv1___TS.g13678.t1, Pocillopora_meandrina_HIv1___RNAseq.g25178.t1, Pocillopora_meandrina_HIv1___RNAseq.g20548.t1, Pocillopora_meandrina_HIv1___RNAseq.g16998.t1b, Pocillopora_meandrina_HIv1___TS.g17830.t1, Pocillopora_meandrina_HIv1___RNAseq.g12367.t1, Pocillopora_meandrina_HIv1___RNAseq.g10237.t1, Pocillopora_meandrina_HIv1___RNAseq.g10305.t1, Pocillopora_meandrina_HIv1___RNAseq.g10268.t1, Pocillopora_meandrina_HIv1___RNAseq.g10248.t1, Pocillopora_meandrina_HIv1___RNAseq.g10295.t1, Pocillopora_meandrina_HIv1___RNAseq.g10260.t1
OG0000133	Peve_00012192, Peve_00041329, Peve_00012189, Peve_00008408, Peve_00012187, Peve_00012190, Peve_00041335, Peve_00012186, Peve_00041345, Peve_00012191, Peve_00012066, Peve_00012067, Peve_00008413, Peve_00008409, Peve_00015338, Peve_00041325, Peve_00015337, Peve_00008407, Peve_00015340, Peve_00008410, Peve_00040196, Peve_00041331, Peve_00038049, Peve_00038035	Pocillopora_meandrina_HIv1___TS.g20911.t1a, Pocillopora_meandrina_HIv1___TS.g20909.t1, Pocillopora_meandrina_HIv1___RNAseq.g17921.t1, Pocillopora_meandrina_HIv1___RNAseq.g17922.t1, Pocillopora_meandrina_HIv1___RNAseq.g17924.t1
OG0000134	Peve_00027133, Peve_00019381, Peve_00034893	Pocillopora_meandrina_HIv1___RNAseq.g24213.t1, Pocillopora_meandrina_HIv1___RNAseq.g24184.t1, Pocillopora_meandrina_HIv1___RNAseq.g24188.t1, Pocillopora_meandrina_HIv1___RNAseq.g24183.t1, Pocillopora_meandrina_HIv1___RNAseq.g24212.t1, Pocillopora_meandrina_HIv1___RNAseq.g24194.t1, Pocillopora_meandrina_HIv1___RNAseq.g24232.t1, Pocillopora_meandrina_HIv1___RNAseq.g24231.t1, Pocillopora_meandrina_HIv1___RNAseq.g24193.t1, Pocillopora_meandrina_HIv1___RNAseq.g24236.t1, Pocillopora_meandrina_HIv1___RNAseq.g24200.t1, Pocillopora_meandrina_HIv1___RNAseq.g24197.t1, Pocillopora_meandrina_HIv1___RNAseq.g24202.t1, Pocillopora_meandrina_HIv1___RNAseq.g24226.t1, Pocillopora_meandrina_HIv1___TS.g12167.t1, Pocillopora_meandrina_HIv1___TS.g12172.t1, Pocillopora_meandrina_HIv1___TS.g12149.t1, Pocillopora_meandrina_HIv1___RNAseq.g24235.t1, Pocillopora_meandrina_HIv1___RNAseq.g24207.t1, Pocillopora_meandrina_HIv1___RNAseq.g24196.t1, Pocillopora_meandrina_HIv1___RNAseq.g24222.t1, Pocillopora_meandrina_HIv1___RNAseq.g24214.t1, Pocillopora_meandrina_HIv1___RNAseq.g24185.t1
