"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V1","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"67",67,"Cluster_10051","ntLink_8:25893339-25922517",152,-21.44,2,20,8958,8979,19,"68.42%","84.21%","FUN_004695",0.924456922184046,0.0246401022955009,0.911947326397717,NA,NA,NA,NA,NA,NA
"77",77,"Cluster_10051","ntLink_8:28386241-28400792",159,-20.28,2,21,7118,7140,20,"70.00%","80.00%","FUN_004887",0.921538726197288,0.0260698468160098,0.914225011702335,"ntLink_8:28386241-28400792","A0A0R4IBK5","E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)","Danio rerio (Zebrafish) (Brachydanio rerio)","blood circulation [GO:0008015]; defense response to bacterium [GO:0042742]; immune system process [GO:0002376]; lipid droplet formation [GO:0140042]; lipid ubiquitination [GO:0120323]; negative regulation of non-canonical Wnt signaling pathway [GO:2000051]; protein K63-linked ubiquitination [GO:0070534]; regulation of lipid metabolic process [GO:0019216]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511]; xenophagy [GO:0098792]","GO:0002040; GO:0002376; GO:0004842; GO:0005524; GO:0005730; GO:0005811; GO:0005829; GO:0006511; GO:0008015; GO:0016887; GO:0019216; GO:0042742; GO:0046872; GO:0061630; GO:0070534; GO:0098792; GO:0120323; GO:0140042; GO:2000051"
"78",78,"Cluster_10051","ntLink_8:28551781-28595720",154,-20.56,2,21,30000,30024,22,"68.18%","77.27%","FUN_004905",0.92146101214084,0.0261082763450531,0.914225011702335,NA,NA,NA,NA,NA,NA
"91",91,"Cluster_10051","ntLink_8:562626-605293",154,-22.29,2,21,15128,15154,24,"66.67%","75.00%","FUN_002363",0.919479933980937,0.0270940488508446,0.914225011702335,NA,NA,NA,NA,NA,NA
"99",99,"Cluster_10051","ptg000001l:13428988-13429342",160,-20.85,2,20,158,179,19,"78.95%","84.21%","FUN_006513",0.986343585700007,0.00191182107517003,0.545343267336266,NA,NA,NA,NA,NA,NA
"111",111,"Cluster_10051","ptg000001l:18762219-18765460",156,-20.73,2,21,1633,1654,19,"68.42%","73.68%","FUN_006955",0.895440583760492,0.0399436003967228,0.96546924320845,"ptg000001l:18762219-18765460","Q9U6Y6","GFP-like fluorescent chromoprotein amFP486","Anemonia manjano (Sea anemone)","bioluminescence [GO:0008218]; generation of precursor metabolites and energy [GO:0006091]","GO:0006091; GO:0008218"
"120",120,"Cluster_10051","ptg000001l:19602915-19702038",152,-20.86,2,21,1457,1478,19,"63.16%","73.68%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"121",121,"Cluster_10051","ptg000001l:19602915-19702038",152,-20.86,2,21,20175,20196,19,"63.16%","73.68%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"122",122,"Cluster_10051","ptg000001l:19602915-19702038",152,-20.86,2,21,35118,35139,19,"63.16%","73.68%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"123",123,"Cluster_10051","ptg000001l:19602915-19702038",152,-20.86,2,21,50475,50496,19,"63.16%","73.68%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"124",124,"Cluster_10051","ptg000001l:19602915-19702038",152,-20.86,2,21,68356,68377,19,"63.16%","73.68%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"125",125,"Cluster_10051","ptg000001l:19602915-19702038",155,-20.58,2,19,93201,93220,17,"76.47%","82.35%","FUN_007037",0.978255057697467,0.00383662722599413,0.545343267336266,"ptg000001l:19602915-19702038","Q96MB7","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Homo sapiens (Human)","","GO:0004518; GO:0005634; GO:0005829; GO:0005886; GO:0034451; GO:0046872"
"126",126,"Cluster_10051","ptg000001l:19707882-19713219",152,-20.86,2,21,286,307,19,"63.16%","73.68%","FUN_007038",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"145",145,"Cluster_10051","ptg000001l:5273522-5324885",170,-22.02,2,19,21924,21945,17,"82.35%","88.24%","FUN_005890",0.899363123057674,0.0377400677348616,0.96546924320845,NA,NA,NA,NA,NA,NA
"148",148,"Cluster_10051","ptg000001l:8276165-8310705",151,-20.67,2,21,16646,16669,21,"61.90%","76.19%","FUN_006140",0.900195191214334,0.0372777939564538,0.96546924320845,"ptg000001l:8276165-8310705","B8V7S0","CUB and peptidase domain-containing protein 1","Acropora millepora (Staghorn coral) (Heteropora millepora)","proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508"
"151",151,"Cluster_10051","ptg000002l:10302998-10311991",161,-21.21,2,21,1279,1300,20,"80.00%","80.00%","FUN_008324",0.96755942484353,0.00697978447307705,0.676835217909263,NA,NA,NA,NA,NA,NA
"164",164,"Cluster_10051","ptg000002l:15267179-15269798",160,-20.37,2,21,1219,1239,20,"80.00%","80.00%","FUN_008755",0.923318615101228,0.025194709564171,0.914225011702335,NA,NA,NA,NA,NA,NA
"172",172,"Cluster_10051","ptg000002l:5995256-6010627",159,-20.09,2,16,2981,3002,14,"78.57%","92.86%","FUN_007895",0.897809910821938,0.0386078340541554,0.96546924320845,NA,NA,NA,NA,NA,NA
"174",174,"Cluster_10051","ptg000002l:7314183-7331666",155,-20.47,2,21,2687,2705,19,"73.68%","84.21%","FUN_008023",0.985965668756982,0.00199161354692373,0.545343267336266,NA,NA,NA,NA,NA,NA
"181",181,"Cluster_10051","ptg000004l:1003808-1019036",158,-23.7,2,21,14716,14740,22,"63.64%","86.36%","FUN_008973",0.989250151196218,0.00133578284446748,0.545343267336266,NA,NA,NA,NA,NA,NA
"187",187,"Cluster_10051","ptg000004l:15039257-15040303",156,-23.87,2,13,41,62,11,"90.91%","100.00%","FUN_010134",0.949326545430932,0.0135886319495017,0.776980128461315,NA,NA,NA,NA,NA,NA
"193",193,"Cluster_10051","ptg000004l:5852747-5868692",147,-20.85,2,13,13603,13625,12,"83.33%","91.67%","FUN_009363",0.966011128896181,0.00748363036526953,0.677079544727381,NA,NA,NA,NA,NA,NA
"201",201,"Cluster_10051","ptg000004l:7941669-7950100",170,-21.68,2,21,1257,1277,19,"78.95%","89.47%","FUN_009518",0.890418895569101,0.0428219956381823,0.96546924320845,NA,NA,NA,NA,NA,NA
"211",211,"Cluster_10051","ptg000007l:12010102-12013478",164,-22.97,2,21,619,638,19,"78.95%","89.47%","FUN_011644",0.924582651133568,0.0245790891884275,0.911947326397717,NA,NA,NA,NA,NA,NA
"212",212,"Cluster_10051","ptg000007l:1308922-1335047",143,-21.43,2,21,13455,13477,20,"60.00%","70.00%","FUN_010663",0.92846445119371,0.0227196117573346,0.903915194278403,"ptg000007l:1308922-1335047","Q99MV1","Tudor domain-containing protein 1","Mus musculus (Mouse)","DNA methylation involved in gamete generation [GO:0043046]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; P granule organization [GO:0030719]; piRNA processing [GO:0034587]; RNA-mediated gene silencing [GO:0031047]; spermatogenesis [GO:0007283]","GO:0005737; GO:0005829; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0033391; GO:0034587; GO:0043046; GO:0043186; GO:0045202; GO:0046872; GO:0051321; GO:0071546; GO:1990904"
"213",213,"Cluster_10051","ptg000007l:1308922-1335047",157,-24.07,2,21,23573,23598,23,"69.57%","82.61%","FUN_010663",0.92846445119371,0.0227196117573346,0.903915194278403,"ptg000007l:1308922-1335047","Q99MV1","Tudor domain-containing protein 1","Mus musculus (Mouse)","DNA methylation involved in gamete generation [GO:0043046]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; P granule organization [GO:0030719]; piRNA processing [GO:0034587]; RNA-mediated gene silencing [GO:0031047]; spermatogenesis [GO:0007283]","GO:0005737; GO:0005829; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0033391; GO:0034587; GO:0043046; GO:0043186; GO:0045202; GO:0046872; GO:0051321; GO:0071546; GO:1990904"
"220",220,"Cluster_10051","ptg000007l:4124166-4125003",150,-20.24,2,21,429,449,19,"57.89%","84.21%","FUN_010908",-0.949879877360153,0.0133677959743389,0.773501915235558,"ptg000007l:4124166-4125003","R1CW23","Dimethylsulfonioproprionate lyase 7 (DMSP lyase 7) (EC 4.4.1.3) (Dimethylpropiothetin dethiomethylase 7)","Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi)","","GO:0047869"
"253",253,"Cluster_10051","ptg000008l:22281850-22290480",146,-20.69,2,21,241,261,19,"68.42%","68.42%","FUN_013422",0.923047211792585,0.0253275298489524,0.914225011702335,NA,NA,NA,NA,NA,NA
"272",272,"Cluster_10051","ptg000008l:30593732-30598204",152,-21.22,2,18,2780,2802,17,"76.47%","76.47%","FUN_014041",0.978983580949011,0.00364584405831639,0.545343267336266,NA,NA,NA,NA,NA,NA
"273",273,"Cluster_10051","ptg000008l:31022126-31025623",152,-22.29,2,18,1816,1838,17,"76.47%","76.47%","FUN_014058",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"279",279,"Cluster_10051","ptg000008l:5248105-5259971",168,-20.89,2,21,3385,3406,19,"78.95%","78.95%","FUN_012115",0.893682030853322,0.0409443340231988,0.96546924320845,"ptg000008l:5248105-5259971","Q95LU3","Fibrinogen C domain-containing protein 1","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)","","GO:0008061; GO:0016020; GO:0046872"
"281",281,"Cluster_10051","ptg000008l:6525989-6529750",155,-23.09,2,18,2066,2086,16,"75.00%","87.50%","FUN_012225",0.986492779299764,0.0018806196778239,0.545343267336266,"ptg000008l:6525989-6529750","P05186","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme) (Phosphoamidase) (Phosphocreatine phosphatase) (EC 3.9.1.1)","Homo sapiens (Human)","bone mineralization [GO:0030282]; calcium ion homeostasis [GO:0055074]; cellular homeostasis [GO:0019725]; cellular response to organic cyclic compound [GO:0071407]; cementum mineralization [GO:0071529]; dephosphorylation [GO:0016311]; developmental process involved in reproduction [GO:0003006]; endochondral ossification [GO:0001958]; multicellular organism aging [GO:0010259]; osteoblast differentiation [GO:0001649]; phosphate ion homeostasis [GO:0055062]; positive regulation of cold-induced thermogenesis [GO:0120162]; pyridoxal phosphate metabolic process [GO:0042822]; response to antibiotic [GO:0046677]; response to glucocorticoid [GO:0051384]; response to insulin [GO:0032868]; response to lipopolysaccharide [GO:0032496]; response to macrophage colony-stimulating factor [GO:0036005]; response to sodium phosphate [GO:1904383]; response to vitamin B6 [GO:0034516]; response to vitamin D [GO:0033280]; skeletal system development [GO:0001501]","GO:0001501; GO:0001649; GO:0001958; GO:0003006; GO:0004035; GO:0004427; GO:0005509; GO:0005576; GO:0005758; GO:0005886; GO:0010259; GO:0016020; GO:0016311; GO:0016462; GO:0016887; GO:0019725; GO:0030282; GO:0031012; GO:0031966; GO:0032496; GO:0032868; GO:0033280; GO:0033883; GO:0034516; GO:0036005; GO:0042822; GO:0043262; GO:0046677; GO:0050187; GO:0051384; GO:0052732; GO:0055062; GO:0055074; GO:0070062; GO:0071407; GO:0071529; GO:0120162; GO:1904383"
"282",282,"Cluster_10051","ptg000008l:6584080-6591882",162,-24.76,2,17,1279,1299,15,"86.67%","93.33%","FUN_012231",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"284",284,"Cluster_10051","ptg000008l:7452014-7523711",160,-20.89,2,19,4608,4628,17,"82.35%","82.35%","FUN_012293",0.879549273363967,0.0492653479289746,0.96546924320845,NA,NA,NA,NA,NA,NA
"301",301,"Cluster_10051","ptg000009l:2758009-2759284",163,-20.24,2,21,1226,1248,20,"75.00%","80.00%","FUN_014750",-0.922001999461092,0.0258411376408119,0.914225011702335,"ptg000009l:2758009-2759284","Q5F2F2","Protein ABHD15 (Alpha/beta hydrolase domain-containing protein 15) (Abhydrolase domain-containing protein 15)","Mus musculus (Mouse)","cellular lipid metabolic process [GO:0044255]","GO:0005576; GO:0034338; GO:0044255; GO:0047372"
"303",303,"Cluster_10051","ptg000009l:4158586-4167642",163,-21.86,2,21,8286,8309,21,"71.43%","80.95%","FUN_014909",0.904872638292727,0.0347133072563657,0.95285770210788,NA,NA,NA,NA,NA,NA
"309",309,"Cluster_10051","ptg000009l:5367802-5383548",151,-21.51,2,21,3821,3843,20,"65.00%","75.00%","FUN_015023",0.925623393383059,0.0240759229468664,0.911947326397717,NA,NA,NA,NA,NA,NA
"312",312,"Cluster_10051","ptg000009l:746570-749470",161,-21.03,2,20,2474,2494,18,"77.78%","83.33%","FUN_014505",0.881719159162854,0.0479563547031606,0.96546924320845,"ptg000009l:746570-749470","Q8BH44","Coronin-2B","Mus musculus (Mouse)","focal adhesion assembly [GO:0048041]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of establishment of protein localization [GO:1904950]; negative regulation of stress fiber assembly [GO:0051497]; positive regulation of establishment of protein localization [GO:1904951]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cellular response to stress [GO:0080135]; regulation of glomerular filtration [GO:0003093]","GO:0001725; GO:0003093; GO:0005737; GO:0005925; GO:0010812; GO:0017166; GO:0032956; GO:0048041; GO:0051015; GO:0051497; GO:0080135; GO:1904950; GO:1904951; GO:1990147"
"316",316,"Cluster_10051","ptg000010l:1683580-1714541",163,-25.03,2,20,19771,19792,18,"72.22%","83.33%","FUN_016110",0.885301151981183,0.0458200754538992,0.96546924320845,NA,NA,NA,NA,NA,NA
"320",320,"Cluster_10051","ptg000010l:933390-981993",164,-27.3,2,19,39357,39377,17,"76.47%","94.12%","FUN_016037",0.96040332870312,0.00940211256050052,0.717681557663573,NA,NA,NA,NA,NA,NA
"327",327,"Cluster_10051","ptg000011l:2878324-2887013",176,-26.94,2,21,857,878,19,"78.95%","89.47%","FUN_016423",0.944463455903943,0.0155794029234196,0.818666876857758,NA,NA,NA,NA,NA,NA
"334",334,"Cluster_10051","ptg000011l:5110097-5140351",157,-21.25,2,21,596,617,20,"75.00%","80.00%","FUN_016596",0.950934265502318,0.0129502724108881,0.766084851142397,NA,NA,NA,NA,NA,NA
"354",354,"Cluster_10051","ptg000012l:2275432-2286980",162,-22.38,2,15,5443,5464,13,"84.62%","100.00%","FUN_017950",0.902369349991487,0.036078516070568,0.96166722275777,NA,NA,NA,NA,NA,NA
"366",366,"Cluster_10051","ptg000015l:5911757-5914297",171,-20.94,2,21,1716,1738,20,"80.00%","85.00%","FUN_019769",0.978580789954303,0.0037509282834102,0.545343267336266,NA,NA,NA,NA,NA,NA
"368",368,"Cluster_10051","ptg000015l:8086292-8088221",171,-20.94,2,21,1663,1685,20,"80.00%","85.00%","FUN_020616",0.986705326043718,0.00183646402768314,0.545343267336266,NA,NA,NA,NA,NA,NA
"369",369,"Cluster_10051","ptg000015l:9181001-9203173",164,-20.82,2,21,19620,19641,19,"73.68%","78.95%","FUN_020838",0.961649036923387,0.00896363253992455,0.709933172151155,NA,NA,NA,NA,NA,NA
"370",370,"Cluster_10051","ptg000015l:9635285-9640715",155,-23.33,2,19,3613,3634,18,"77.78%","83.33%","FUN_020894",0.95689662558587,0.0106726617238051,0.733804862705068,"ptg000015l:9635285-9640715","Q03278","Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Retrovirus-related Pol polyprotein from type I retrotransposable element R2) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease]","Nasonia vitripennis (Parasitic wasp)","","GO:0003964; GO:0004519; GO:0046872"
"374",374,"Cluster_10051","ptg000016l:12187426-12236747",155,-20.66,2,17,6063,6085,16,"75.00%","87.50%","FUN_022669",0.89871288302428,0.0381025855957286,0.96546924320845,"ptg000016l:12187426-12236747","B8UU59","Polycystic kidney disease 1-related protein","Acropora millepora (Staghorn coral) (Heteropora millepora)","kidney development [GO:0001822]","GO:0001822; GO:0005929; GO:0016020"
"375",375,"Cluster_10051","ptg000016l:12573392-12578028",153,-22.11,2,20,1014,1040,23,"69.57%","73.91%","FUN_022712",0.959547018810186,0.00970748436589319,0.717681557663573,NA,NA,NA,NA,NA,NA
"382",382,"Cluster_10051","ptg000016l:5709010-5709496",156,-20.26,2,21,93,111,19,"73.68%","78.95%","FUN_022138",0.97716189362909,0.00412886433342424,0.549490226360659,NA,NA,NA,NA,NA,NA
"387",387,"Cluster_10051","ptg000016l:6665139-6673115",155,-20.72,2,21,4267,4285,19,"73.68%","84.21%","FUN_022243",0.963024871661293,0.00848740486726359,0.696622815048002,NA,NA,NA,NA,NA,NA
"393",393,"Cluster_10051","ptg000017l:103302-117046",165,-24.95,2,14,3101,3122,12,"100.00%","100.00%","FUN_022800",0.926577403871319,0.0236176513263164,0.911947326397717,"ptg000017l:103302-117046","Q80ZA4","Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1) (Protein D86)","Mus musculus (Mouse)","sensory perception of sound [GO:0007605]","GO:0007605; GO:0016020; GO:0032426; GO:0120234"
"404",404,"Cluster_10051","ptg000017l:6477630-6495940",168,-21.7,2,20,6607,6626,18,"83.33%","88.89%","FUN_023341",0.885734487944067,0.0455637338810211,0.96546924320845,NA,NA,NA,NA,NA,NA
"405",405,"Cluster_10051","ptg000017l:790378-809674",146,-20.21,2,20,5113,5136,20,"60.00%","75.00%","FUN_022863",0.964482351901114,0.00799231837934494,0.681594235929287,NA,NA,NA,NA,NA,NA
"412",412,"Cluster_10051","ptg000018l:11592403-11593704",150,-21.01,2,21,427,454,25,"64.00%","72.00%","FUN_024838",0.978580789954302,0.00375092828341026,0.545343267336266,NA,NA,NA,NA,NA,NA
"415",415,"Cluster_10051","ptg000018l:13812690-13838254",167,-24.85,2,21,9814,9836,20,"75.00%","85.00%","FUN_025100",0.898237220631031,0.0383684729364829,0.96546924320845,"ptg000018l:13812690-13838254","Q8ND30","Liprin-beta-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 2) (PTPRF-interacting protein-binding protein 2)","Homo sapiens (Human)","neuromuscular junction development [GO:0007528]; synapse organization [GO:0050808]","GO:0005615; GO:0005829; GO:0007528; GO:0042802; GO:0048786; GO:0050808"
"416",416,"Cluster_10051","ptg000018l:1849467-1907450",175,-26.28,2,16,39185,39206,14,"100.00%","100.00%","FUN_024069",0.956879956250421,0.010678826382565,0.734066457669035,"ptg000018l:1849467-1907450","Q9P215","Pogo transposable element with KRAB domain","Homo sapiens (Human)","regulation of DNA-templated transcription [GO:0006355]","GO:0003677; GO:0005634; GO:0005654; GO:0006355"
"418",418,"Cluster_10051","ptg000018l:3073995-3087433",154,-21.24,2,21,13157,13183,24,"66.67%","75.00%","FUN_024175",0.930627010381601,0.0217044044451367,0.891743174717792,NA,NA,NA,NA,NA,NA
"425",425,"Cluster_10051","ptg000019l:1069223-1088615",144,-20.5,2,13,9659,9680,11,"72.73%","90.91%","FUN_025304",0.883169112720561,0.0470879010806041,0.96546924320845,NA,NA,NA,NA,NA,NA
"429",429,"Cluster_10051","ptg000019l:2114592-2114955",145,-20.05,2,21,304,326,21,"61.90%","76.19%","FUN_025383",0.917369557289179,0.0281570124968753,0.918304760560781,NA,NA,NA,NA,NA,NA
"432",432,"Cluster_10051","ptg000019l:5170767-5195986",170,-26.39,2,21,16819,16839,19,"78.95%","89.47%","FUN_025643",0.953200319720688,0.0120677349009328,0.766084851142397,NA,NA,NA,NA,NA,NA
"438",438,"Cluster_10051","ptg000020l:12292311-12304164",151,-21.09,2,18,10355,10378,18,"72.22%","83.33%","FUN_026675",0.896857933215238,0.0391427946458629,0.96546924320845,"ptg000020l:12292311-12304164","Q9NZJ4","Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)","Homo sapiens (Human)","negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]","GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0042802; GO:0051087; GO:0070628; GO:0070852; GO:0090084"
"461",461,"Cluster_10051","ptg000021l:13215368-13219970",158,-20.51,2,21,3377,3397,19,"73.68%","78.95%","FUN_027918",0.916239679977693,0.0287314979420249,0.922979388371587,NA,NA,NA,NA,NA,NA
"473",473,"Cluster_10051","ptg000021l:16163649-16169296",167,-24.58,2,21,3069,3091,20,"80.00%","80.00%","FUN_028143",0.964923001448358,0.00784457023969649,0.679601032092131,"ptg000021l:16163649-16169296","Q5SZT7","NKAP-like protein","Mus musculus (Mouse)","cell differentiation [GO:0030154]; regulation of gene expression [GO:0010468]; spermatogenesis [GO:0007283]","GO:0003682; GO:0005634; GO:0007283; GO:0010468; GO:0030154"
"479",479,"Cluster_10051","ptg000021l:9767789-9779288",155,-20.9,2,20,5190,5211,18,"61.11%","83.33%","FUN_027731",0.951268529528354,0.0128188142113535,0.766084851142397,NA,NA,NA,NA,NA,NA
"490",490,"Cluster_10051","ptg000022l:9709210-9715522",163,-21.39,2,21,1678,1700,20,"70.00%","85.00%","FUN_029262",0.976239321583211,0.00438094868887469,0.562617375579486,"ptg000022l:9709210-9715522","Q6DG03","Cyclin-D-binding Myb-like transcription factor 1","Danio rerio (Zebrafish) (Brachydanio rerio)","cell cycle [GO:0007049]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000976; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0007049"
"498",498,"Cluster_10051","ptg000023l:23764757-23783457",150,-20.17,2,21,13791,13811,19,"68.42%","73.68%","FUN_031641",0.991062089848895,0.00101298898918499,0.545343267336266,NA,NA,NA,NA,NA,NA
"509",509,"Cluster_10051","ptg000023l:29528115-29571204",158,-20.29,2,19,490,511,17,"76.47%","76.47%","FUN_032182",0.962827161928118,0.00855531344348705,0.698624152245555,"ptg000023l:29528115-29571204","B8V7S0","CUB and peptidase domain-containing protein 1","Acropora millepora (Staghorn coral) (Heteropora millepora)","proteolysis [GO:0006508]","GO:0004252; GO:0005576; GO:0006508"
