"target","gene_name"
"Pocillopora_meandrina_HIv1___RNAseq.g3962.t1","PARP15"
"Pocillopora_meandrina_HIv1___RNAseq.g8634.t1","Parp16"
"Pocillopora_meandrina_HIv1___RNAseq.g26788.t1","Parg"
"Pocillopora_meandrina_HIv1___RNAseq.g815.t1","Arh1-Adprh"
"Pocillopora_meandrina_HIv1___RNAseq.g1730.t2","Arh3-Adprs"
"Pocillopora_meandrina_HIv1___RNAseq.g4296.t1","Kat1-Hat1"
"Pocillopora_meandrina_HIv1___RNAseq.g4104.t1","Kat2a"
"Pocillopora_meandrina_HIv1___RNAseq.g4104.t1","Kat2b"
"Pocillopora_meandrina_HIv1___RNAseq.g18524.t1a","Kat3A-Crebbp"
"Pocillopora_meandrina_HIv1___RNAseq.g18524.t1a","Kat3B-Ep300"
"Pocillopora_meandrina_HIv1___RNAseq.g20427.t1","Kat4-Taf1"
"Pocillopora_meandrina_HIv1___RNAseq.g17986.t1","Kat5"
"Pocillopora_meandrina_HIv1___RNAseq.g29333.t1","Kat6a"
"Pocillopora_meandrina_HIv1___RNAseq.g29333.t1","Kat6b"
"Pocillopora_meandrina_HIv1___RNAseq.g20859.t1","Kat7"
"Pocillopora_meandrina_HIv1___TS.g25955.t1","Kat8"
"Pocillopora_meandrina_HIv1___RNAseq.g22813.t2","Kat9-Elp3"
"Pocillopora_meandrina_HIv1___RNAseq.g11644.t1","Kat14"
"Pocillopora_meandrina_HIv1___RNAseq.g24660.t1","GTF3C2"
"Pocillopora_meandrina_HIv1___RNAseq.g8494.t1","ATAT1"
"Pocillopora_meandrina_HIv1___RNAseq.g20796.t1b","GTF3C1"
"Pocillopora_meandrina_HIv1___RNAseq.g25660.t1","NAA10"
"Pocillopora_meandrina_HIv1___RNAseq.6732_t","NAA50"
"Pocillopora_meandrina_HIv1___RNAseq.g28277.t1","NAA60"
"Pocillopora_meandrina_HIv1___RNAseq.g7264.t1","BRD4"
"Pocillopora_meandrina_HIv1___RNAseq.g21322.t1","ESCO2"
"Pocillopora_meandrina_HIv1___RNAseq.g21322.t1","ESCO1"
"Pocillopora_meandrina_HIv1___RNAseq.g24281.t1","DLAT"
"Pocillopora_meandrina_HIv1___RNAseq.g2924.t1","ATF2"
"Pocillopora_meandrina_HIv1___RNAseq.g14538.t3","MCM3AP"
"Pocillopora_meandrina_HIv1___RNAseq.g2906.t1","BLOC1S1"
"Pocillopora_meandrina_HIv1___RNAseq.g26117.t1","NAT10"
"Pocillopora_meandrina_HIv1___RNAseq.g23377.t1","ACAT1"
"Pocillopora_meandrina_HIv1___RNAseq.g23332.t1","ACAT2"
"Pocillopora_meandrina_HIv1___RNAseq.g9373.t1","Hspbap1"
"Pocillopora_meandrina_HIv1___RNAseq.g23278.t2","Kdm1a"
"Pocillopora_meandrina_HIv1___TS.g25030.t1","Kdm1b"
"Pocillopora_meandrina_HIv1___RNAseq.g21746.t2","Kdm2a"
"Pocillopora_meandrina_HIv1___RNAseq.g21746.t2","Kdm2b"
"Pocillopora_meandrina_HIv1___RNAseq.g1950.t1","Kdm3a"
"Pocillopora_meandrina_HIv1___RNAseq.g1950.t1","Kdm3b"
"Pocillopora_meandrina_HIv1___RNAseq.g11488.t1","Kdm4a"
"Pocillopora_meandrina_HIv1___RNAseq.g11488.t1","Kdm4b"
"Pocillopora_meandrina_HIv1___RNAseq.g11488.t1","Kdm4c"
"Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","Kdm5a"
"Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","Kdm5b"
"Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","Kdm5c"
"Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","Kdm5d"
"Pocillopora_meandrina_HIv1___RNAseq.g16424.t1","Kdm6a"
"Pocillopora_meandrina_HIv1___RNAseq.g16424.t1","Kdm6b"
"Pocillopora_meandrina_HIv1___RNAseq.g15015.t1","Kdm7a"
"Pocillopora_meandrina_HIv1___RNAseq.g7280.t1","Kdm8"
"Pocillopora_meandrina_HIv1___RNAseq.g16424.t1","Uty"
"Pocillopora_meandrina_HIv1___RNAseq.g15015.t1","Phf2"
"Pocillopora_meandrina_HIv1___RNAseq.g15015.t1","Phf8"
"Pocillopora_meandrina_HIv1___RNAseq.g1614.t1","Jmjd6"
"Pocillopora_meandrina_HIv1___RNAseq.g27354.t1","Jarid2"
"Pocillopora_meandrina_HIv1___RNAseq.g4951.t1","Jmjd7"
"Pocillopora_meandrina_HIv1___RNAseq.g1950.t1","Kdm3c-Jmjd1c"
"Pocillopora_meandrina_HIv1___RNAseq.g388.t3","Tyw5"
"Pocillopora_meandrina_HIv1___RNAseq.g18086.t1a","Riox1"
"Pocillopora_meandrina_HIv1___RNAseq.g18086.t1a","Riox2"
"Pocillopora_meandrina_HIv1___RNAseq.g29787.t1","STK4"
"Pocillopora_meandrina_HIv1___RNAseq.g1990.t1a","SLK"
"Pocillopora_meandrina_HIv1___RNAseq.g16896.t1","PRKAA2"
"Pocillopora_meandrina_HIv1___RNAseq.g2111.t1","WEE1"
"Pocillopora_meandrina_HIv1___RNAseq.g22092.t1","HIRA"
"Pocillopora_meandrina_HIv1___RNAseq.g680.t1","HASPIN"
"Pocillopora_meandrina_HIv1___RNAseq.g18172.t1","BUB1"
"Pocillopora_meandrina_HIv1___RNAseq.g6541.t1","DAPK3"
"Pocillopora_meandrina_HIv1___RNAseq.g6837.t1","PKN1"
"Pocillopora_meandrina_HIv1___RNAseq.g28947.t1","PKM"
"Pocillopora_meandrina_HIv1___TS.15901_t","WDR5"
"Pocillopora_meandrina_HIv1___RNAseq.g20883.t1","JAK2"
"Pocillopora_meandrina_HIv1___RNAseq.g15886.t1","DYRK1A"
"Pocillopora_meandrina_HIv1___RNAseq.g29995.t1","RPS6KA5"
"Pocillopora_meandrina_HIv1___RNAseq.g29995.t1","RPS6KA4"
"Pocillopora_meandrina_HIv1___RNAseq.g24581.t1","YWHAQ"
"Pocillopora_meandrina_HIv1___TS.g5371.t2","PRKCB"
"Pocillopora_meandrina_HIv1___RNAseq.g12164.t1","AURKB"
"Pocillopora_meandrina_HIv1___RNAseq.g12164.t1","AURKC"
"Pocillopora_meandrina_HIv1___RNAseq.g12164.t1","AURKA"
"Pocillopora_meandrina_HIv1___TS.g29715.t2","JKAMP"
"Pocillopora_meandrina_HIv1___TS.g12783.t1","MAPK9"
"Pocillopora_meandrina_HIv1___TS.g12783.t1","MAPK8"
"Pocillopora_meandrina_HIv1___RNAseq.g29787.t1","STK4"
"Pocillopora_meandrina_HIv1___RNAseq.g21513.t1","MDC1"
"Pocillopora_meandrina_HIv1___TS.g26409.t1","MCPH1"
"Pocillopora_meandrina_HIv1___RNAseq.g16000.t2","PAK2"
"Pocillopora_meandrina_HIv1___RNAseq.g22092.t1","HIRA"
"Pocillopora_meandrina_HIv1___RNAseq.g23511.t1","ATM"
"Pocillopora_meandrina_HIv1___RNAseq.g24618.t1","ATR"
"Pocillopora_meandrina_HIv1___RNAseq.g7969.t1","CSNK2B"
"Pocillopora_meandrina_HIv1___RNAseq.g14851.t1","PRKCD"
"Pocillopora_meandrina_HIv1___RNAseq.g8258.t1","MAP2K1"
"Pocillopora_meandrina_HIv1___RNAseq.g335.t1","MAP3K12"
"Pocillopora_meandrina_HIv1___RNAseq.g401.t2","map3k22"
"Pocillopora_meandrina_HIv1___RNAseq.g21574.t1","MAPK1"
"Pocillopora_meandrina_HIv1___RNAseq.g21574.t1","MAPK3"
"Pocillopora_meandrina_HIv1___TS.g12783.t1","mapk8b"
"Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK11"
"Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK12"
"Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK13"
"Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK14"
"Pocillopora_meandrina_HIv1___RNAseq.g16896.t1","PRKAA1"
"Pocillopora_meandrina_HIv1___RNAseq.g16896.t1","PRKAA2"
"Pocillopora_meandrina_HIv1___RNAseq.g25842.t2","PRKDC"
"Pocillopora_meandrina_HIv1___RNAseq.g14892.t1","PIM1"
"Pocillopora_meandrina_HIv1___TS.g2626.t1","CDK8"
"Pocillopora_meandrina_HIv1___TS.g13145.t5b","Chuk"
"Pocillopora_meandrina_HIv1___TS.g4804.t1","CDK1"
"Pocillopora_meandrina_HIv1___RNAseq.g15513.t1","CHEK1"
"Pocillopora_meandrina_HIv1___RNAseq.g19066.t2","APBB1"
"Pocillopora_meandrina_HIv1___RNAseq.g1337.t1","BAZ1B"
"Pocillopora_meandrina_HIv1___RNAseq.g25661.t1","Suv39h1-kmt1a"
"Pocillopora_meandrina_HIv1___RNAseq.g25661.t1","Suv39h2-Kmt1b"
"Pocillopora_meandrina_HIv1___RNAseq.g7900.t1","Kmt1c-Ehmt2"
"Pocillopora_meandrina_HIv1___RNAseq.g7900.t1","Kmt1d-Ehmt1"
"Pocillopora_meandrina_HIv1___TS.g19376.t1","Kmt1e-Setdb1"
"Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","Kmt2a"
"Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","Kmt2b"
"Pocillopora_meandrina_HIv1___RNAseq.g4384.t1","Kmt2c"
"Pocillopora_meandrina_HIv1___RNAseq.g4384.t1","Kmt2d"
"Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","Kmt2f-Setd1a"
"Pocillopora_meandrina_HIv1___RNAseq.g15486.t1","Kmt2g-Setd1b"
"Pocillopora_meandrina_HIv1___RNAseq.g9632.t1","Kmt2h-Ash1l"
"Pocillopora_meandrina_HIv1___RNAseq.g9632.t1","Kmt3a-Setd2"
"Pocillopora_meandrina_HIv1___TS.g17121.t2","Kmt3b-Nsd1"
"Pocillopora_meandrina_HIv1___RNAseq.g1041.t1","Kmt3c-Smyd2"
"Pocillopora_meandrina_HIv1___RNAseq.g11507.t1","Kmt4-Dot1l"
"Pocillopora_meandrina_HIv1___RNAseq.g22322.t1","Kmt5a—Setd8"
"Pocillopora_meandrina_HIv1___RNAseq.g26592.t1","Kmt5b"
"Pocillopora_meandrina_HIv1___RNAseq.g26592.t1","Kmt5c"
"Pocillopora_meandrina_HIv1___RNAseq.g25259.t1","Kmt6-Ezh2"
"Pocillopora_meandrina_HIv1___RNAseq.g9850.t1","Prdm4"
"Pocillopora_meandrina_HIv1___RNAseq.g3227.t1","Prdm5"
"Pocillopora_meandrina_HIv1___RNAseq.g11567.t1","Prdm6"
"Pocillopora_meandrina_HIv1___RNAseq.g9850.t1","PRDM7"
"Pocillopora_meandrina_HIv1___RNAseq.g9850.t1","Prdm9"
"Pocillopora_meandrina_HIv1___RNAseq.g18186.t1","Prdm11"
"Pocillopora_meandrina_HIv1___RNAseq.g7374.t1","Prdm12"
"Pocillopora_meandrina_HIv1___RNAseq.g23964.t1","Prdm13"
"Pocillopora_meandrina_HIv1___RNAseq.g12538.t1","Prdm14"
"Pocillopora_meandrina_HIv1___RNAseq.g3222.t1","Prdm15"
"Pocillopora_meandrina_HIv1___RNAseq.g10407.t1","Prdm16"
"Pocillopora_meandrina_HIv1___RNAseq.g18690.t1","Setmar"
"Pocillopora_meandrina_HIv1___RNAseq.g1335.t1","Ash2l"
"Pocillopora_meandrina_HIv1___TS.g17121.t2","Whsc1-Nsd2"
"Pocillopora_meandrina_HIv1___TS.g17121.t2","Whsc1l-Nsd3"
"Pocillopora_meandrina_HIv1___RNAseq.g25259.t1","Ezh1"
"Pocillopora_meandrina_HIv1___RNAseq.g29392.t1","Setd3"
"Pocillopora_meandrina_HIv1___RNAseq.g29863.t1","Setd4"
"Pocillopora_meandrina_HIv1___RNAseq.g25607.t1","Setd5"
"Pocillopora_meandrina_HIv1___RNAseq.g22626.t1","Setd6"
"Pocillopora_meandrina_HIv1___RNAseq.g1041.t1","Smyd1"
"Pocillopora_meandrina_HIv1___RNAseq.g1041.t1","Smyd3"
"Pocillopora_meandrina_HIv1___RNAseq.g22632.t1","Smyd4"
"Pocillopora_meandrina_HIv1___RNAseq.g17397.t1","Smyd5"
"Pocillopora_meandrina_HIv1___TS.g280.t1","Mbd2"
"Pocillopora_meandrina_HIv1___TS.g280.t1","Mbd3"
"Pocillopora_meandrina_HIv1___TS.g4883.t1","Mbd4"
"Pocillopora_meandrina_HIv1___RNAseq.g10512.t2b","Mbd6"
"Pocillopora_meandrina_HIv1___RNAseq.g10512.t2b","Baz2b"
"Pocillopora_meandrina_HIv1___RNAseq.g19284.t1","Uhrf1"
"Pocillopora_meandrina_HIv1___RNAseq.g19284.t1","Uhrf2"
"Pocillopora_meandrina_HIv1___RNAseq.g18913.t1","Klf4"
"Pocillopora_meandrina_HIv1___RNAseq.g1753.t1","Egr1"
"Pocillopora_meandrina_HIv1___RNAseq.g3225.t1","Ctcf"
"Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA1"
"Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA3"
"Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA4"
"Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA2"
"Pocillopora_meandrina_HIv1___RNAseq.g22617.t1","PPM1D"
"Pocillopora_meandrina_HIv1___TS.g6709.t1","PPP6C"
"Pocillopora_meandrina_HIv1___RNAseq.g22756.t1","PPP4C"
"Pocillopora_meandrina_HIv1___TS.g5633.t1","DUS1L"
"Pocillopora_meandrina_HIv1___RNAseq.g22781.t1","PPP1CA"
"Pocillopora_meandrina_HIv1___RNAseq.g5313.t1","PPP1CB"
"Pocillopora_meandrina_HIv1___RNAseq.g22781.t1","PPP1CC"
"Pocillopora_meandrina_HIv1___RNAseq.g30294.t1","Prmt2"
"Pocillopora_meandrina_HIv1___RNAseq.g29144.t1","Prmt3"
"Pocillopora_meandrina_HIv1___RNAseq.g12300.t1","Prmt5"
"Pocillopora_meandrina_HIv1___RNAseq.g26024.t1","Prmt6"
"Pocillopora_meandrina_HIv1___RNAseq.g27723.t1","Prmt7"
"Pocillopora_meandrina_HIv1___RNAseq.g26024.t1","Prmt8"
"Pocillopora_meandrina_HIv1___RNAseq.g15995.t1","Prmt9"
"Pocillopora_meandrina_HIv1___RNAseq.g22970.t1","PPP1R7"
"Pocillopora_meandrina_HIv1___RNAseq.g20958.t1","PPP1R8"
"Pocillopora_meandrina_HIv1___RNAseq.g25340.t1","PPP1R9A"
"Pocillopora_meandrina_HIv1___RNAseq.g25340.t1","PPP1R9B"
"Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R12A"
"Pocillopora_meandrina_HIv1___RNAseq.g29387.t1","PPP1R12C"
"Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R12B"
"Pocillopora_meandrina_HIv1___RNAseq.g310.t1","PPP1R13B"
"Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R16A"
"Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R16B"
"Pocillopora_meandrina_HIv1___RNAseq.g12110.t1","PPP1R2"
"Pocillopora_meandrina_HIv1___RNAseq.g26787.t1","METTL14"
"Pocillopora_meandrina_HIv1___TS.g16227.t2","WTAP"
"Pocillopora_meandrina_HIv1___RNAseq.g27186.t1","VIRMA"
"Pocillopora_meandrina_HIv1___RNAseq.g19283.t1","RBM15"
"Pocillopora_meandrina_HIv1___TS.g26974.t1","METTL16"
"Pocillopora_meandrina_HIv1___TS.g9740.t1","ZCCHC4"
"Pocillopora_meandrina_HIv1___RNAseq.g18209.t1","METTL5"
"Pocillopora_meandrina_HIv1___RNAseq.22127_t","TRMT112"
"Pocillopora_meandrina_HIv1___RNAseq.g19283.t1","RBM15B"
"Pocillopora_meandrina_HIv1___RNAseq.g902.t1","ALKBH5"
"Pocillopora_meandrina_HIv1___RNAseq.g8293.t1","YTHDC2"
"Pocillopora_meandrina_HIv1___RNAseq.g11166.t3","YTHDC1"
"Pocillopora_meandrina_HIv1___RNAseq.g24275.t1","YTHDF1"
"Pocillopora_meandrina_HIv1___RNAseq.g24275.t1","YTHDF2"
"Pocillopora_meandrina_HIv1___RNAseq.g24275.t1","YTHDF3"
"Pocillopora_meandrina_HIv1___RNAseq.g14117.t1","FMR1"
"Pocillopora_meandrina_HIv1___RNAseq.g21765.t1","HNRNPA2B1"
"Pocillopora_meandrina_HIv1___RNAseq.g17306.t1","METTL4"
"Pocillopora_meandrina_HIv1___RNAseq.g7765.t1","DCP2"
"Pocillopora_meandrina_HIv1___TS.g14409.t1","NSUN2"
"Pocillopora_meandrina_HIv1___RNAseq.g11005.t1","TRDMT1"
"Pocillopora_meandrina_HIv1___RNAseq.g23736.t1","NSUN4"
"Pocillopora_meandrina_HIv1___RNAseq.g22986.t1","NSUN6"
"Pocillopora_meandrina_HIv1___TS.g27739.t1a","NSUN5"
"Pocillopora_meandrina_HIv1___TS.g2094.t1","NOP2"
"Pocillopora_meandrina_HIv1___RNAseq.g5606.t1","ALKBH1"
"Pocillopora_meandrina_HIv1___RNAseq.g22939.t1","YBX1"
"Pocillopora_meandrina_HIv1___RNAseq.g1103.t2","ALYREF"
"Pocillopora_meandrina_HIv1___RNAseq.g3591.t2","TRMT1"
"Pocillopora_meandrina_HIv1___RNAseq.g9313.t2","TRMT61A"
"Pocillopora_meandrina_HIv1___RNAseq.g18707.t1","TRMT10A"
"Pocillopora_meandrina_HIv1___TS.g13787.t1","METTL2A"
"Pocillopora_meandrina_HIv1___TS.g13787.t1","METTL2B"
"Pocillopora_meandrina_HIv1___RNAseq.g10433.t1","METTL6"
"Pocillopora_meandrina_HIv1___TS.g13787.t1","METTL8"
"Pocillopora_meandrina_HIv1___RNAseq.g11044.t1","METTL1"
"Pocillopora_meandrina_HIv1___RNAseq.g15091.t1","DKC1"
"Pocillopora_meandrina_HIv1___RNAseq.g27056.t1","RPUSD2"
"Pocillopora_meandrina_HIv1___RNAseq.g22798.t1","RPUSD4"
"Pocillopora_meandrina_HIv1___RNAseq.g20540.t2","PUS3"
"Pocillopora_meandrina_HIv1___RNAseq.g5357.t1","PUS10"
"Pocillopora_meandrina_HIv1___RNAseq.g17040.t1","PUS1"
"Pocillopora_meandrina_HIv1___RNAseq.g15496.t1","PUS7L"
"Pocillopora_meandrina_HIv1___RNAseq.g13635.t2","PUS7"
"Pocillopora_meandrina_HIv1___TS.g13502.t1","ADAR"
"Pocillopora_meandrina_HIv1___RNAseq.26310_t","ADARB1"
"Pocillopora_meandrina_HIv1___RNAseq.26310_t","ADARB2"
"Pocillopora_meandrina_HIv1___RNAseq.g3024.t1","Senp1"
