Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000000:3581968-3582415	Cluster_42	N	56	39	62	43	67
Pocillopora_meandrina_HIv1___Sc0000000:3628199-3628623	Cluster_43	N	1	30	0	35	7
Pocillopora_meandrina_HIv1___Sc0000000:3691324-3691932	Cluster_44	N	544	936	556	1820	4112
Pocillopora_meandrina_HIv1___Sc0000000:3848323-3848809	Cluster_45	N	985	1732	1453	2996	2353
Pocillopora_meandrina_HIv1___Sc0000000:3848821-3849297	Cluster_46	N	14	37	24	60	120
Pocillopora_meandrina_HIv1___Sc0000000:3849327-3849741	Cluster_47	N	11	34	14	49	76
Pocillopora_meandrina_HIv1___Sc0000000:4241544-4242078	Cluster_48	N	559	900	117	199	789
Pocillopora_meandrina_HIv1___Sc0000000:4422260-4423231	Cluster_49	N	290	49	111	267	207
Pocillopora_meandrina_HIv1___Sc0000000:4423715-4424118	Cluster_50	N	0	18	35	68	19
Pocillopora_meandrina_HIv1___Sc0000000:4429481-4429905	Cluster_51	N	34	139	11	17	11
Pocillopora_meandrina_HIv1___Sc0000000:4429917-4430343	Cluster_52	N	44	95	3	8	9
Pocillopora_meandrina_HIv1___Sc0000000:4430717-4431143	Cluster_53	N	67	360	6	5	7
Pocillopora_meandrina_HIv1___Sc0000000:4431209-4432144	Cluster_54	N	371	454	112	61	114
Pocillopora_meandrina_HIv1___Sc0000000:4528180-4528608	Cluster_55	N	7	1	120	8	3
Pocillopora_meandrina_HIv1___Sc0000000:4531785-4532259	Cluster_56	N	82	160	124	336	374
Pocillopora_meandrina_HIv1___Sc0000000:4532302-4532705	Cluster_57	N	7	28	4	35	66
Pocillopora_meandrina_HIv1___Sc0000000:4534325-4534799	Cluster_58	N	431	658	499	2026	688
Pocillopora_meandrina_HIv1___Sc0000000:4561521-4561940	Cluster_59	N	0	29	0	31	55
Pocillopora_meandrina_HIv1___Sc0000000:4565452-4566337	Cluster_60	N	157	7	341	29	159
Pocillopora_meandrina_HIv1___Sc0000000:4595761-4596188	Cluster_61	N	142	31	3	10	6
Pocillopora_meandrina_HIv1___Sc0000000:4616213-4616622	Cluster_62	N	12	1	11	78	2
Pocillopora_meandrina_HIv1___Sc0000000:4754952-4755436	Cluster_63	N	4118	4859	4216	5818	2491
Pocillopora_meandrina_HIv1___Sc0000000:4905183-4905809	Cluster_64	N	3	87	57	0	38
Pocillopora_meandrina_HIv1___Sc0000000:5011888-5012317	Cluster_65	N	0	2	243	1	1
Pocillopora_meandrina_HIv1___Sc0000000:5114052-5114478	Cluster_66	N	84	31	59	19	9
Pocillopora_meandrina_HIv1___Sc0000000:5114853-5115279	Cluster_67	N	134	61	44	18	26
Pocillopora_meandrina_HIv1___Sc0000000:5115363-5116268	Cluster_68	N	1190	32	36	959	10
Pocillopora_meandrina_HIv1___Sc0000000:5116661-5117931	Cluster_69	N	429	141	180	287	61
Pocillopora_meandrina_HIv1___Sc0000000:5237977-5238405	Cluster_70	N	3	30	328	23	3
Pocillopora_meandrina_HIv1___Sc0000000:5304149-5304689	Cluster_71	N	151	141	111	325	574
Pocillopora_meandrina_HIv1___Sc0000000:5624826-5625249	Cluster_72	N	76	11	25	0	7
Pocillopora_meandrina_HIv1___Sc0000000:5722791-5723213	Cluster_73	N	66	8	33	4	0
Pocillopora_meandrina_HIv1___Sc0000000:5724791-5725218	Cluster_74	N	125	50	34	6	2
Pocillopora_meandrina_HIv1___Sc0000000:5833474-5833903	Cluster_75	N	0	93	0	0	82
Pocillopora_meandrina_HIv1___Sc0000000:6035686-6037543	Cluster_76	N	6743	2599	2947	5446	2464
Pocillopora_meandrina_HIv1___Sc0000000:6038527-6040210	Cluster_77	N	781	275	505	450	141
Pocillopora_meandrina_HIv1___Sc0000000:6054442-6055284	Cluster_78	N	2102	42	160	13	8
Pocillopora_meandrina_HIv1___Sc0000000:6072274-6072714	Cluster_79	N	1322	844	2465	594	2804
Pocillopora_meandrina_HIv1___Sc0000000:6175141-6175559	Cluster_80	N	0	0	0	0	148
Pocillopora_meandrina_HIv1___Sc0000000:6300017-6300449	Cluster_81	N	131	93	23	0	43
Pocillopora_meandrina_HIv1___Sc0000000:6432068-6432496	Cluster_82	N	836	90	219	2	12
Pocillopora_meandrina_HIv1___Sc0000000:6432523-6433169	Cluster_83	N	320	7	9	237	119
Pocillopora_meandrina_HIv1___Sc0000000:6523200-6523627	Cluster_84	N	0	49	33	0	0
Pocillopora_meandrina_HIv1___Sc0000000:6781587-6782077	Cluster_85	N	27	150	48	116	157
Pocillopora_meandrina_HIv1___Sc0000000:6784342-6785024	Cluster_86	N	142	335	197	372	413
Pocillopora_meandrina_HIv1___Sc0000000:6785838-6786298	Cluster_87	N	17	96	23	68	66
Pocillopora_meandrina_HIv1___Sc0000000:6786579-6787211	Cluster_88	N	51	252	92	293	315
Pocillopora_meandrina_HIv1___Sc0000000:6820857-6821266	Cluster_89	N	8	22	15	36	73
Pocillopora_meandrina_HIv1___Sc0000000:6863950-6864369	Cluster_90	N	4	24	7	46	102
Pocillopora_meandrina_HIv1___Sc0000000:6905074-6905503	Cluster_91	N	0	104	16	345	39
Pocillopora_meandrina_HIv1___Sc0000000:6905904-6906371	Cluster_92	N	3215	119	0	45	184
Pocillopora_meandrina_HIv1___Sc0000000:7029852-7030270	Cluster_93	N	446	327	411	453	296
Pocillopora_meandrina_HIv1___Sc0000000:7039343-7040274	Cluster_94	N	316	658	413	652	1360
Pocillopora_meandrina_HIv1___Sc0000000:7040841-7041266	Cluster_95	N	24	40	27	44	60
Pocillopora_meandrina_HIv1___Sc0000000:7041283-7041776	Cluster_96	N	170	664	262	631	1090
Pocillopora_meandrina_HIv1___Sc0000000:7041807-7042290	Cluster_97	N	458	494	450	545	1039
Pocillopora_meandrina_HIv1___Sc0000000:7042332-7042805	Cluster_98	N	67	118	88	135	108
Pocillopora_meandrina_HIv1___Sc0000000:7100067-7100478	Cluster_99	N	16	92	20	54	110
Pocillopora_meandrina_HIv1___Sc0000000:7205683-7206107	Cluster_100	N	432	151	173	168	97
Pocillopora_meandrina_HIv1___Sc0000000:7584506-7585241	Cluster_101	N	724	325	1306	1302	54
Pocillopora_meandrina_HIv1___Sc0000000:7586369-7586860	Cluster_102	N	145	43	108	146	14
Pocillopora_meandrina_HIv1___Sc0000000:7586876-7588109	Cluster_103	N	218	87	74	122	14
Pocillopora_meandrina_HIv1___Sc0000000:7588484-7588910	Cluster_104	N	141	64	37	22	23
Pocillopora_meandrina_HIv1___Sc0000000:7588994-7589421	Cluster_105	N	84	14	26	3	4
Pocillopora_meandrina_HIv1___Sc0000000:7589863-7590269	Cluster_106	N	51	52	43	100	7
Pocillopora_meandrina_HIv1___Sc0000000:7590291-7592205	Cluster_107	N	1032	277	785	861	160
Pocillopora_meandrina_HIv1___Sc0000000:7592666-7593548	Cluster_108	N	1131	390	1451	1299	180
Pocillopora_meandrina_HIv1___Sc0000000:7593750-7594800	Cluster_109	N	687	343	1780	1595	114
Pocillopora_meandrina_HIv1___Sc0000000:7594848-7595397	Cluster_110	N	1210	276	1322	1192	133
Pocillopora_meandrina_HIv1___Sc0000000:7596727-7597157	Cluster_111	N	856	23	0	1	61
Pocillopora_meandrina_HIv1___Sc0000000:7597818-7598221	Cluster_112	N	67	4	0	0	6
Pocillopora_meandrina_HIv1___Sc0000000:7598683-7600443	Cluster_113	N	1489	386	1	1	264
Pocillopora_meandrina_HIv1___Sc0000000:7600923-7601349	Cluster_114	N	103	30	0	1	15
Pocillopora_meandrina_HIv1___Sc0000000:7601404-7602137	Cluster_115	N	440	544	1	0	125
Pocillopora_meandrina_HIv1___Sc0000000:7609392-7609804	Cluster_116	N	26	1	22	36	8
Pocillopora_meandrina_HIv1___Sc0000000:7656710-7658491	Cluster_117	N	787	530	882	726	319
Pocillopora_meandrina_HIv1___Sc0000000:7697508-7697937	Cluster_118	N	3	0	0	1	349
Pocillopora_meandrina_HIv1___Sc0000000:8103238-8103666	Cluster_119	N	59	10	95	56	49
Pocillopora_meandrina_HIv1___Sc0000000:8155944-8156374	Cluster_120	N	0	37	175	14	1
Pocillopora_meandrina_HIv1___Sc0000000:8246882-8247297	Cluster_121	N	1	23	110	1	0
Pocillopora_meandrina_HIv1___Sc0000000:8310086-8310514	Cluster_122	N	159	25	0	17	0
Pocillopora_meandrina_HIv1___Sc0000000:8311015-8312237	Cluster_123	N	496	24	146	928	61
Pocillopora_meandrina_HIv1___Sc0000000:8426708-8427191	Cluster_124	N	20	31	20	61	214
Pocillopora_meandrina_HIv1___Sc0000000:8427562-8428099	Cluster_125	N	163	116	142	191	204
Pocillopora_meandrina_HIv1___Sc0000000:8608677-8609097	Cluster_126	N	2	23	59	312	2
Pocillopora_meandrina_HIv1___Sc0000000:8734505-8734915	Cluster_127	N	8	24	13	57	102
Pocillopora_meandrina_HIv1___Sc0000000:8743606-8744021	Cluster_128	N	14	44	25	66	127
Pocillopora_meandrina_HIv1___Sc0000000:8940693-8941545	Cluster_129	N	803	253	471	185	166
Pocillopora_meandrina_HIv1___Sc0000000:9256539-9256969	Cluster_130	N	320	99	120	29	67
Pocillopora_meandrina_HIv1___Sc0000000:9257153-9257838	Cluster_131	N	2906	297	181	61	453
Pocillopora_meandrina_HIv1___Sc0000000:9265055-9265482	Cluster_132	N	8	2	0	359	1
Pocillopora_meandrina_HIv1___Sc0000000:9279901-9280374	Cluster_133	N	69	127	61	120	132
Pocillopora_meandrina_HIv1___Sc0000000:9284299-9284771	Cluster_134	N	85	129	96	72	164
Pocillopora_meandrina_HIv1___Sc0000000:9285767-9286194	Cluster_135	N	5	5	4	149	90
Pocillopora_meandrina_HIv1___Sc0000000:9286598-9287030	Cluster_136	N	64	209	120	146	223
Pocillopora_meandrina_HIv1___Sc0000000:9440859-9441685	Cluster_137	N	6699	16449	5144	11052	45885
Pocillopora_meandrina_HIv1___Sc0000000:9460512-9460942	Cluster_138	N	288	1	7	601	0
Pocillopora_meandrina_HIv1___Sc0000000:9465183-9465611	Cluster_139	N	173	78	149	122	65
Pocillopora_meandrina_HIv1___Sc0000000:9797403-9798674	Cluster_140	N	9	206	2806	209	205
Pocillopora_meandrina_HIv1___Sc0000000:9799661-9800082	Cluster_141	N	0	0	55	0	47
Pocillopora_meandrina_HIv1___Sc0000000:9800095-9800513	Cluster_142	N	0	55	60	33	5
Pocillopora_meandrina_HIv1___Sc0000000:9800666-9801089	Cluster_143	N	2	4	43	49	4
Pocillopora_meandrina_HIv1___Sc0000000:9803333-9803772	Cluster_144	N	12	0	224	1	31
Pocillopora_meandrina_HIv1___Sc0000000:9828155-9828582	Cluster_145	N	4	0	4	158	0
Pocillopora_meandrina_HIv1___Sc0000000:9842833-9843262	Cluster_146	N	5	0	117	0	1
Pocillopora_meandrina_HIv1___Sc0000000:9853254-9853660	Cluster_147	N	88	11	3	28	18
Pocillopora_meandrina_HIv1___Sc0000000:9853689-9856016	Cluster_148	N	5010	2236	2937	5205	1144
Pocillopora_meandrina_HIv1___Sc0000000:9856063-9856639	Cluster_149	N	331	337	220	268	70
Pocillopora_meandrina_HIv1___Sc0000000:9857383-9857809	Cluster_150	N	13	64	23	6	1
Pocillopora_meandrina_HIv1___Sc0000000:9878202-9878692	Cluster_151	N	137	6	1005	33	51
Pocillopora_meandrina_HIv1___Sc0000000:9884246-9884668	Cluster_152	N	64	27	48	16	0
Pocillopora_meandrina_HIv1___Sc0000000:9887131-9887541	Cluster_153	N	64	11	92	24	18
Pocillopora_meandrina_HIv1___Sc0000000:9889894-9890324	Cluster_154	N	2	1	114	1	0
Pocillopora_meandrina_HIv1___Sc0000000:9898243-9898662	Cluster_155	N	24	31	0	78	10
Pocillopora_meandrina_HIv1___Sc0000000:9904080-9904712	Cluster_156	N	249	26	327	18	57
Pocillopora_meandrina_HIv1___Sc0000000:9912448-9913768	Cluster_157	N	217	167	58	862	38
Pocillopora_meandrina_HIv1___Sc0000000:9913961-9914383	Cluster_158	N	11	9	3	130	10
Pocillopora_meandrina_HIv1___Sc0000000:9920126-9920554	Cluster_159	N	75	2	10	1	8
Pocillopora_meandrina_HIv1___Sc0000000:9924478-9924909	Cluster_160	N	5	11	1	94	258
Pocillopora_meandrina_HIv1___Sc0000000:9931048-9932750	Cluster_161	N	779	254	479	428	107
Pocillopora_meandrina_HIv1___Sc0000000:9933750-9935597	Cluster_162	N	6544	2345	2393	4648	2017
Pocillopora_meandrina_HIv1___Sc0000000:10052623-10053049	Cluster_163	N	5	21	36	28	69
Pocillopora_meandrina_HIv1___Sc0000000:10181668-10182095	Cluster_164	N	30	118	0	21	4
Pocillopora_meandrina_HIv1___Sc0000000:10361747-10362173	Cluster_165	N	0	9	11	131	25
Pocillopora_meandrina_HIv1___Sc0000000:10377199-10381489	Cluster_166	N	1068	2110	3809	3986	521
Pocillopora_meandrina_HIv1___Sc0000000:10424158-10424581	Cluster_167	N	0	113	0	0	1
Pocillopora_meandrina_HIv1___Sc0000000:10531069-10531491	Cluster_168	N	72	27	23	51	21
Pocillopora_meandrina_HIv1___Sc0000000:10531933-10532626	Cluster_169	N	186	36	54	261	13
Pocillopora_meandrina_HIv1___Sc0000000:10532825-10533252	Cluster_170	N	50	26	13	71	21
Pocillopora_meandrina_HIv1___Sc0000000:10534041-10534763	Cluster_171	N	72	50	156	43	7
Pocillopora_meandrina_HIv1___Sc0000000:10540694-10541123	Cluster_172	N	0	0	0	76	0
Pocillopora_meandrina_HIv1___Sc0000000:10543785-10544200	Cluster_173	N	44	60	67	3	1
Pocillopora_meandrina_HIv1___Sc0000000:10544222-10544652	Cluster_174	N	29	102	114	3	1
Pocillopora_meandrina_HIv1___Sc0000000:10553046-10553473	Cluster_175	N	0	0	152	14	4
Pocillopora_meandrina_HIv1___Sc0000000:10685159-10685778	Cluster_176	N	368	67	108	226	26
Pocillopora_meandrina_HIv1___Sc0000000:10686623-10687051	Cluster_177	N	74	0	0	294	0
Pocillopora_meandrina_HIv1___Sc0000000:10707707-10708135	Cluster_178	N	3	25	175	58	0
Pocillopora_meandrina_HIv1___Sc0000000:10714522-10714951	Cluster_179	N	97	6	13	186	13
Pocillopora_meandrina_HIv1___Sc0000000:10734393-10734819	Cluster_180	N	0	0	0	72	0
Pocillopora_meandrina_HIv1___Sc0000000:10786268-10787798	Cluster_181	N	345	46	1151	280	87
Pocillopora_meandrina_HIv1___Sc0000000:10787973-10788448	Cluster_182	N	568	3	57	54	28
Pocillopora_meandrina_HIv1___Sc0000000:10789452-10790490	Cluster_183	N	199	23	215	178	60
Pocillopora_meandrina_HIv1___Sc0000000:10790631-10791623	Cluster_184	N	242	67	186	299	77
Pocillopora_meandrina_HIv1___Sc0000000:10791761-10792227	Cluster_185	N	94	26	137	40	27
Pocillopora_meandrina_HIv1___Sc0000000:10804976-10805394	Cluster_186	N	47	4	24	22	2
Pocillopora_meandrina_HIv1___Sc0000000:10806850-10808466	Cluster_187	N	3319	162	19	1004	129
Pocillopora_meandrina_HIv1___Sc0000000:10811913-10812348	Cluster_188	N	239	61	10	2	44
Pocillopora_meandrina_HIv1___Sc0000000:10812967-10813462	Cluster_189	N	738	14	5329	14	5
Pocillopora_meandrina_HIv1___Sc0000000:10856559-10857208	Cluster_190	N	707	18	528	1	3
Pocillopora_meandrina_HIv1___Sc0000000:10873453-10873924	Cluster_191	N	199	0	0	1	1
Pocillopora_meandrina_HIv1___Sc0000000:10906504-10906934	Cluster_192	N	19	393	158	1	2
Pocillopora_meandrina_HIv1___Sc0000000:11008650-11009079	Cluster_193	N	169	31	64	34	25
Pocillopora_meandrina_HIv1___Sc0000000:11039301-11039720	Cluster_194	N	0	102	1	69	0
Pocillopora_meandrina_HIv1___Sc0000000:11041565-11042739	Cluster_195	N	201	87	141	412	37
Pocillopora_meandrina_HIv1___Sc0000000:11042952-11043456	Cluster_196	N	86	21	66	282	17
Pocillopora_meandrina_HIv1___Sc0000000:11043472-11043898	Cluster_197	N	42	22	49	77	9
Pocillopora_meandrina_HIv1___Sc0000000:11044016-11044443	Cluster_198	N	127	56	44	101	12
Pocillopora_meandrina_HIv1___Sc0000000:11044450-11046447	Cluster_199	N	964	579	1188	1110	471
Pocillopora_meandrina_HIv1___Sc0000000:11067582-11068009	Cluster_200	N	0	0	2	123	0
Pocillopora_meandrina_HIv1___Sc0000000:11068926-11069353	Cluster_201	N	140	1	12	41	2
Pocillopora_meandrina_HIv1___Sc0000000:11070468-11070894	Cluster_202	N	24	4	2	114	5
Pocillopora_meandrina_HIv1___Sc0000000:11071238-11071734	Cluster_203	N	125	374	1	0	7
Pocillopora_meandrina_HIv1___Sc0000000:11077717-11078219	Cluster_204	N	115	0	87	17	19
Pocillopora_meandrina_HIv1___Sc0000000:11489850-11490268	Cluster_205	N	3	28	10	36	3
Pocillopora_meandrina_HIv1___Sc0000000:11542819-11543245	Cluster_206	N	54	0	71	57	17
Pocillopora_meandrina_HIv1___Sc0000000:11543483-11544140	Cluster_207	N	397	55	224	202	159
Pocillopora_meandrina_HIv1___Sc0000000:11544360-11545811	Cluster_208	N	191	180	130	644	247
Pocillopora_meandrina_HIv1___Sc0000000:11552655-11555295	Cluster_209	N	1338	476	1761	4720	104
Pocillopora_meandrina_HIv1___Sc0000000:11557735-11558203	Cluster_210	N	12	51	20	146	6
Pocillopora_meandrina_HIv1___Sc0000000:11558679-11559293	Cluster_211	N	221	32	112	154	31
Pocillopora_meandrina_HIv1___Sc0000000:11559941-11560372	Cluster_212	N	205	13	84	59	136
Pocillopora_meandrina_HIv1___Sc0000000:11561257-11561733	Cluster_213	N	254	35	95	113	87
Pocillopora_meandrina_HIv1___Sc0000000:11566070-11566661	Cluster_214	N	192	57	153	183	32
Pocillopora_meandrina_HIv1___Sc0000000:11566680-11567858	Cluster_215	N	749	343	452	1236	274
Pocillopora_meandrina_HIv1___Sc0000000:11568056-11570378	Cluster_216	N	7418	10199	10438	11191	4761
Pocillopora_meandrina_HIv1___Sc0000000:11574178-11574789	Cluster_217	N	216	13	59	504	38
Pocillopora_meandrina_HIv1___Sc0000000:11575547-11575948	Cluster_218	N	52	11	46	197	14
Pocillopora_meandrina_HIv1___Sc0000000:11576453-11577455	Cluster_219	N	569	49	86	659	395
Pocillopora_meandrina_HIv1___Sc0000000:11580662-11581090	Cluster_220	N	0	177	0	0	0
Pocillopora_meandrina_HIv1___Sc0000000:11583909-11584334	Cluster_221	N	5	11	24	30	14
Pocillopora_meandrina_HIv1___Sc0000000:11584630-11585077	Cluster_222	N	70	22	265	22	5
Pocillopora_meandrina_HIv1___Sc0000000:11587332-11587855	Cluster_223	N	439	4	43	48	6
Pocillopora_meandrina_HIv1___Sc0000000:11588495-11588921	Cluster_224	N	118	3	50	138	19
Pocillopora_meandrina_HIv1___Sc0000000:11589851-11590275	Cluster_225	N	150	0	0	21	1
Pocillopora_meandrina_HIv1___Sc0000000:11590462-11591142	Cluster_226	N	917	24	56	49	36
Pocillopora_meandrina_HIv1___Sc0000000:11594639-11595518	Cluster_227	N	1417	437	1365	897	120
Pocillopora_meandrina_HIv1___Sc0000000:11597439-11597857	Cluster_228	N	110	27	23	60	5
Pocillopora_meandrina_HIv1___Sc0000000:11610279-11610705	Cluster_229	N	36	51	28	103	7
Pocillopora_meandrina_HIv1___Sc0000000:11611076-11611579	Cluster_230	N	168	45	151	151	132
Pocillopora_meandrina_HIv1___Sc0000000:11612226-11612654	Cluster_231	N	30	228	1	11	1
Pocillopora_meandrina_HIv1___Sc0000000:11615894-11616321	Cluster_232	N	33	35	26	86	52
Pocillopora_meandrina_HIv1___Sc0000000:11619462-11619866	Cluster_233	N	28	16	42	24	2
Pocillopora_meandrina_HIv1___Sc0000000:11619869-11620712	Cluster_234	N	803	382	2701	1724	4
Pocillopora_meandrina_HIv1___Sc0000000:11630399-11631232	Cluster_235	N	196	138	63	136	244
Pocillopora_meandrina_HIv1___Sc0000000:11635028-11636324	Cluster_236	N	1811	2729	2	1841	93
Pocillopora_meandrina_HIv1___Sc0000000:11790561-11790980	Cluster_237	N	49	21	51	34	14
Pocillopora_meandrina_HIv1___Sc0000000:11794303-11794869	Cluster_238	N	96	341	543	2	3
Pocillopora_meandrina_HIv1___Sc0000000:11798273-11798686	Cluster_239	N	51	12	12	25	24
Pocillopora_meandrina_HIv1___Sc0000000:11804184-11804611	Cluster_240	N	74	17	58	17	19
Pocillopora_meandrina_HIv1___Sc0000000:11812161-11812606	Cluster_241	N	128	28	66	21	9
Pocillopora_meandrina_HIv1___Sc0000000:11813263-11815282	Cluster_242	N	191	1704	1802	5	534
Pocillopora_meandrina_HIv1___Sc0000000:11817000-11818263	Cluster_243	N	25	37	892	225	168
Pocillopora_meandrina_HIv1___Sc0000000:11818269-11818788	Cluster_244	N	24	20	651	13	206
Pocillopora_meandrina_HIv1___Sc0000000:11819696-11820119	Cluster_245	N	81	6	73	32	30
Pocillopora_meandrina_HIv1___Sc0000000:11820158-11820585	Cluster_246	N	80	12	31	29	19
Pocillopora_meandrina_HIv1___Sc0000000:11822367-11824220	Cluster_247	N	6720	2558	2992	5393	2443
Pocillopora_meandrina_HIv1___Sc0000000:11825210-11826893	Cluster_248	N	788	269	476	443	151
Pocillopora_meandrina_HIv1___Sc0000000:11828733-11829700	Cluster_249	N	128	23	87	69	326
Pocillopora_meandrina_HIv1___Sc0000000:11851345-11852170	Cluster_250	N	560	409	10	770	212
Pocillopora_meandrina_HIv1___Sc0000000:11859861-11860838	Cluster_251	N	1410	23	720	47	716
Pocillopora_meandrina_HIv1___Sc0000000:11860889-11861894	Cluster_252	N	1691	25	1620	191	899
Pocillopora_meandrina_HIv1___Sc0000000:11862228-11862803	Cluster_253	N	190	17	379	4	364
Pocillopora_meandrina_HIv1___Sc0000000:11864343-11866061	Cluster_254	N	562	231	1468	4949	217
Pocillopora_meandrina_HIv1___Sc0000000:11866698-11867901	Cluster_255	N	25545	603	27756	5880	8227
Pocillopora_meandrina_HIv1___Sc0000000:11869195-11869664	Cluster_256	N	360	21	63	2	52
Pocillopora_meandrina_HIv1___Sc0000000:11870083-11871218	Cluster_257	N	1307	75	281	27	227
Pocillopora_meandrina_HIv1___Sc0000000:11871339-11872217	Cluster_258	N	497	72	176	16	132
Pocillopora_meandrina_HIv1___Sc0000000:11872623-11873076	Cluster_259	N	507	52	262	10	58
Pocillopora_meandrina_HIv1___Sc0000000:11879278-11880568	Cluster_260	N	13092	8588	7292	9315	1337
Pocillopora_meandrina_HIv1___Sc0000000:11880663-11881090	Cluster_261	N	88	14	924	112	104
Pocillopora_meandrina_HIv1___Sc0000000:11882086-11882516	Cluster_262	N	161	30	90	60	32
Pocillopora_meandrina_HIv1___Sc0000000:11882808-11883388	Cluster_263	N	168	28	234	102	23
Pocillopora_meandrina_HIv1___Sc0000000:11884724-11885487	Cluster_264	N	646	3	10	26	2
