# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/17-Ptuh-lncRNA/Ptuh-lncRNA.gtf" "-o" "../output/18-Ptuh-lncRNA-matrix/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam
lncRNA_164	Pocillopora_meandrina_HIv1___Sc0000000	14599137	14600432	+	1296	14	68	187	83	162
lncRNA_165	Pocillopora_meandrina_HIv1___Sc0000000	14611608	14612633	+	1026	25	1	25	47	6
lncRNA_166	Pocillopora_meandrina_HIv1___Sc0000000	14632849	14635002	+	2154	12	83	0	3	26
lncRNA_167	Pocillopora_meandrina_HIv1___Sc0000000	14647533	14648090	+	558	4	6	2	2	9
lncRNA_168	Pocillopora_meandrina_HIv1___Sc0000000	14649014	14649822	+	809	1	15	8	0	24
lncRNA_169	Pocillopora_meandrina_HIv1___Sc0000000	14710165	14711291	+	1127	3	10	4	5	2
lncRNA_170	Pocillopora_meandrina_HIv1___Sc0000000	14786026	14789004	+	2979	51	57	22	21	1
lncRNA_171	Pocillopora_meandrina_HIv1___Sc0000000	14846058	14847993	+	1936	33	6	8	20	24
lncRNA_172	Pocillopora_meandrina_HIv1___Sc0000000	14943336	14944516	+	1181	8	11	17	9	4
lncRNA_173	Pocillopora_meandrina_HIv1___Sc0000000	15370977	15372042	+	1066	86	6	63	92	13
lncRNA_174	Pocillopora_meandrina_HIv1___Sc0000000	15386328	15392287	+	5960	64	99	73	46	31
lncRNA_175	Pocillopora_meandrina_HIv1___Sc0000000	15389161	15392287	+	3127	0	0	0	0	0
lncRNA_176	Pocillopora_meandrina_HIv1___Sc0000000	15411327	15418397	+	7071	104	45	104	111	17
lncRNA_177	Pocillopora_meandrina_HIv1___Sc0000000	15415028	15418397	+	3370	0	0	0	0	0
lncRNA_178	Pocillopora_meandrina_HIv1___Sc0000000	15433242	15433826	+	585	0	6	68	29	11
lncRNA_179	Pocillopora_meandrina_HIv1___Sc0000000	15479084	15479418	+	335	54	33	0	0	0
lncRNA_180	Pocillopora_meandrina_HIv1___Sc0000000	15695108	15695427	+	320	4	6	0	0	18
lncRNA_181	Pocillopora_meandrina_HIv1___Sc0000000	16097460	16097673	+	214	9	20	9	6	0
lncRNA_182	Pocillopora_meandrina_HIv1___Sc0000000	16099065	16099374	+	310	8	34	6	69	0
lncRNA_183	Pocillopora_meandrina_HIv1___Sc0000000	16255299	16255623	+	325	0	5	42	2	27
lncRNA_184	Pocillopora_meandrina_HIv1___Sc0000000	16313103	16313991	+	889	160	14	165	126	57
lncRNA_185	Pocillopora_meandrina_HIv1___Sc0000000	16329071	16349049	+	19979	0	0	0	0	0
lncRNA_186	Pocillopora_meandrina_HIv1___Sc0000000	16329093	16343128	+	14036	0	0	0	0	0
lncRNA_187	Pocillopora_meandrina_HIv1___Sc0000000	16329095	16350465	+	21371	0	0	0	0	0
lncRNA_188	Pocillopora_meandrina_HIv1___Sc0000000	16341558	16349983	+	8426	0	0	0	0	0
lncRNA_189	Pocillopora_meandrina_HIv1___Sc0000000	16341558	16350465	+	8908	0	0	0	0	0
lncRNA_190	Pocillopora_meandrina_HIv1___Sc0000000	16346390	16349636	+	3247	0	0	0	0	0
lncRNA_191	Pocillopora_meandrina_HIv1___Sc0000000	16524407	16524917	+	511	64	6	50	34	5
lncRNA_192	Pocillopora_meandrina_HIv1___Sc0000000	16811031	16817926	+	6896	0	26	40	29	15
lncRNA_193	Pocillopora_meandrina_HIv1___Sc0000000	16890245	16893298	+	3054	10	33	92	33	40
lncRNA_194	Pocillopora_meandrina_HIv1___Sc0000000	17405134	17409115	+	3982	98	9	225	36	10
lncRNA_195	Pocillopora_meandrina_HIv1___Sc0000000	17407396	17409115	+	1720	0	0	0	0	0
lncRNA_196	Pocillopora_meandrina_HIv1___Sc0000000	17554340	17573143	+	18804	804	2242	486	1102	849
lncRNA_197	Pocillopora_meandrina_HIv1___Sc0000000	17663471	17664151	+	681	38	61	65	68	97
lncRNA_198	Pocillopora_meandrina_HIv1___Sc0000000	17709117	17712468	+	3352	1	12	6	6	7
lncRNA_199	Pocillopora_meandrina_HIv1___Sc0000000	17710754	17712468	+	1715	0	0	0	0	0
lncRNA_200	Pocillopora_meandrina_HIv1___Sc0000000	17902836	17904172	+	1337	691	846	282	860	419
lncRNA_201	Pocillopora_meandrina_HIv1___Sc0000000	18039711	18040963	+	1253	500	748	516	959	1373
lncRNA_202	Pocillopora_meandrina_HIv1___Sc0000000	18139371	18139693	+	323	3	7	0	13	9
lncRNA_203	Pocillopora_meandrina_HIv1___Sc0000000	18353878	18393987	+	40110	786	569	719	762	635
lncRNA_204	Pocillopora_meandrina_HIv1___Sc0000000	18584296	18584588	+	293	0	40	0	0	118
lncRNA_205	Pocillopora_meandrina_HIv1___Sc0000000	18584752	18585578	+	827	10	132	10	41	27
lncRNA_206	Pocillopora_meandrina_HIv1___Sc0000000	18917961	18919836	+	1876	0	12	16	31	0
lncRNA_207	Pocillopora_meandrina_HIv1___Sc0000000	18927456	18932799	+	5344	28	220	74	275	92
lncRNA_208	Pocillopora_meandrina_HIv1___Sc0000000	18946015	18946268	+	254	23	0	0	23	6
lncRNA_209	Pocillopora_meandrina_HIv1___Sc0000000	19038918	19040534	+	1617	0	0	1	0	0
lncRNA_210	Pocillopora_meandrina_HIv1___Sc0000000	19039001	19040534	+	1534	0	0	0	0	0
lncRNA_211	Pocillopora_meandrina_HIv1___Sc0000000	19054461	19055325	+	865	7	9	7	18	49
lncRNA_212	Pocillopora_meandrina_HIv1___Sc0000000	19189138	19203043	+	13906	0	0	0	0	0
lncRNA_213	Pocillopora_meandrina_HIv1___Sc0000000	19213804	19214765	+	962	10	0	0	4	51
lncRNA_214	Pocillopora_meandrina_HIv1___Sc0000000	19409986	19420418	+	10433	76	20	8	21	34
lncRNA_215	Pocillopora_meandrina_HIv1___Sc0000000	19439499	19502560	+	63062	0	0	0	0	0
lncRNA_216	Pocillopora_meandrina_HIv1___Sc0000000	19449790	19502560	+	52771	0	0	0	0	0
lncRNA_217	Pocillopora_meandrina_HIv1___Sc0000000	19469600	19512370	+	42771	66	51	0	16	24
lncRNA_218	Pocillopora_meandrina_HIv1___Sc0000000	19552157	19553134	+	978	9	13	37	26	0
lncRNA_219	Pocillopora_meandrina_HIv1___Sc0000000	19553190	19554409	+	1220	0	0	0	0	0
lncRNA_220	Pocillopora_meandrina_HIv1___Sc0000000	19553190	19554409	+	1220	0	0	0	0	0
lncRNA_221	Pocillopora_meandrina_HIv1___Sc0000000	19553190	19555483	+	2294	0	0	0	0	0
lncRNA_222	Pocillopora_meandrina_HIv1___Sc0000000	19553243	19554409	+	1167	0	0	0	0	0
lncRNA_223	Pocillopora_meandrina_HIv1___Sc0000000	19607566	19626741	+	19176	18	49	10	0	17
lncRNA_224	Pocillopora_meandrina_HIv1___Sc0000000	19624835	19634928	+	10094	26	18	12	11	10
lncRNA_225	Pocillopora_meandrina_HIv1___Sc0000000	19667168	19672593	+	5426	0	0	0	2	0
lncRNA_226	Pocillopora_meandrina_HIv1___Sc0000000	19739187	19740734	+	1548	2	882	134	746	1144
lncRNA_227	Pocillopora_meandrina_HIv1___Sc0000000	19743093	19744144	+	1052	1	22	14	24	27
lncRNA_228	Pocillopora_meandrina_HIv1___Sc0000000	19935270	19935947	+	678	83	91	47	148	175
lncRNA_229	Pocillopora_meandrina_HIv1___Sc0000000	20528054	20528848	+	795	107	93	107	149	38
lncRNA_230	Pocillopora_meandrina_HIv1___Sc0000000	21027691	21038871	+	11181	6580	1868	9792	3695	6405
lncRNA_231	Pocillopora_meandrina_HIv1___Sc0000000	21549933	21550518	+	586	8	14	19	9	0
lncRNA_232	Pocillopora_meandrina_HIv1___Sc0000000	21549990	21550518	+	529	0	0	0	0	0
lncRNA_233	Pocillopora_meandrina_HIv1___Sc0000000	52404	53056	+	653	2	2	11	15	26
lncRNA_234	Pocillopora_meandrina_HIv1___Sc0000000	106861	107459	+	599	55	37	9	64	14
lncRNA_235	Pocillopora_meandrina_HIv1___Sc0000000	479479	480976	+	1498	267	99	266	177	304
