# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/19-Apul-lncRNA-matrix/Apul-lncRNAs.gtf" "-o" "../output/19-Apul-lncRNA-matrix/Apul-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam" "../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/07-Apul-Hisat/RNA-ACR-140.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-145.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-150.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-173.sorted.bam	../output/07-Apul-Hisat/RNA-ACR-178.sorted.bam
lncRNA_085	ntLink_6	9569856	9571186	+	1331	35	0	99	27	114
lncRNA_086	ntLink_6	9985183	9989332	+	4150	2252	3243	1153	693	590
lncRNA_087	ntLink_6	10142566	10146199	+	3634	0	0	0	0	0
lncRNA_088	ntLink_6	10142631	10146199	+	3569	0	0	0	0	0
lncRNA_089	ntLink_6	10700178	10702160	+	1983	328	64	125	73	303
lncRNA_090	ntLink_6	10780625	10782361	+	1737	44	8	10	8	53
lncRNA_091	ntLink_6	10806727	10808319	+	1593	6	5	14	21	41
lncRNA_092	ntLink_6	11454881	11456928	+	2048	487	24	6	80	45
lncRNA_093	ntLink_6	11631175	11633058	+	1884	44	0	51	11	80
lncRNA_094	ntLink_6	11946425	11947900	+	1476	517	508	281	582	660
lncRNA_095	ntLink_6	12012395	12012819	+	425	12	2	4	1	20
lncRNA_096	ntLink_6	12032302	12032781	+	480	44	19	28	37	28
lncRNA_097	ntLink_6	12560663	12564333	+	3671	174	108	161	226	171
lncRNA_098	ntLink_6	12654167	12654858	+	692	512	464	415	559	939
lncRNA_099	ntLink_6	13210101	13212000	+	1900	0	0	0	0	0
lncRNA_100	ntLink_6	13210121	13212000	+	1880	0	0	0	0	0
lncRNA_101	ntLink_6	13210128	13212000	+	1873	0	0	0	0	0
lncRNA_102	ntLink_6	13261605	13263461	+	1857	91	45	166	62	229
lncRNA_103	ntLink_6	13308020	13309106	+	1087	133	190	138	58	42
lncRNA_104	ntLink_6	13449452	13449965	+	514	21	0	21	0	89
lncRNA_105	ntLink_6	13982978	13983717	+	740	24	8	63	5	160
lncRNA_106	ntLink_6	14461663	14467392	+	5730	447	235	255	266	587
lncRNA_107	ntLink_6	14988332	14992963	+	4632	53	62	325	326	41
lncRNA_108	ntLink_6	15045131	15050576	+	5446	36	19	206	45	52
lncRNA_109	ntLink_6	16651387	16651931	+	545	0	0	0	0	0
lncRNA_110	ntLink_6	16652043	16652378	+	336	0	0	0	0	0
lncRNA_111	ntLink_6	16811294	16813623	+	2330	0	0	3	1	1
lncRNA_112	ntLink_6	17292593	17294780	+	2188	1	1	8	2	36
lncRNA_113	ntLink_6	17680045	17683725	+	3681	4	5	5	0	61
lncRNA_114	ntLink_6	17681769	17683725	+	1957	0	0	0	0	0
lncRNA_115	ntLink_6	17729689	17730076	+	388	8	13	21	0	8
lncRNA_116	ntLink_6	17884070	17884793	+	724	20	11	9	14	11
lncRNA_117	ntLink_6	18058697	18059448	+	752	44	6	0	23	7
lncRNA_118	ntLink_6	18138862	18140836	+	1975	500	1401	816	853	1141
lncRNA_119	ntLink_6	18419167	18420020	+	854	4	38	17	84	0
lncRNA_120	ntLink_6	18459327	18464663	+	5337	0	0	0	0	0
lncRNA_121	ntLink_6	18459335	18464663	+	5329	0	0	0	0	0
lncRNA_122	ntLink_6	18459347	18464663	+	5317	0	0	0	0	0
lncRNA_123	ntLink_6	18720173	18722964	+	2792	32	0	21	37	2
lncRNA_124	ntLink_6	18759404	18760214	+	811	0	0	11	8	78
lncRNA_125	ntLink_6	18949350	18949634	+	285	0	0	11	0	10
lncRNA_126	ntLink_6	19600273	19601778	+	1506	24	62	7	21	5
lncRNA_127	ntLink_6	19855337	19857585	+	2249	514	120	150	0	181
lncRNA_128	ntLink_6	20263019	20263665	+	647	0	0	43	12	0
lncRNA_129	ntLink_6	20264666	20271250	+	6585	55	272	165	138	192
lncRNA_130	ntLink_6	20264719	20267793	+	3075	0	0	0	0	0
lncRNA_131	ntLink_6	20265430	20267793	+	2364	0	0	0	0	0
lncRNA_132	ntLink_6	20300832	20303193	+	2362	27	0	63	0	51
lncRNA_133	ntLink_6	20626871	20689993	+	63123	0	0	0	0	0
lncRNA_134	ntLink_6	20626871	20696617	+	69747	21	0	21	0	66
lncRNA_135	ntLink_6	20658318	20672920	+	14603	0	0	0	0	0
lncRNA_136	ntLink_6	20680417	20689281	+	8865	0	0	0	0	0
lncRNA_137	ntLink_6	20700257	20700540	+	284	0	0	1	0	1
lncRNA_138	ntLink_6	20701494	20714052	+	12559	81	3	105	0	232
lncRNA_139	ntLink_6	20706016	20714052	+	8037	0	0	0	0	0
lncRNA_140	ntLink_6	20714192	20720529	+	6338	169	2	174	2	440
lncRNA_141	ntLink_6	20724557	20726653	+	2097	381	0	153	16	130
lncRNA_142	ntLink_6	20773249	20791508	+	18260	1	0	0	0	1
lncRNA_143	ntLink_6	20778425	20791508	+	13084	0	0	0	0	0
lncRNA_144	ntLink_6	20791765	20800175	+	8411	37	0	40	0	72
lncRNA_145	ntLink_6	20816306	20819895	+	3590	65	1	66	2	211
lncRNA_146	ntLink_6	20820595	20831665	+	11071	68	1	89	1	90
lncRNA_147	ntLink_6	20822147	20827342	+	5196	0	0	0	0	0
lncRNA_148	ntLink_6	20822147	20828829	+	6683	0	0	0	0	0
lncRNA_149	ntLink_6	20832026	20837698	+	5673	51	1	54	3	142
lncRNA_150	ntLink_6	20865867	20873900	+	8034	13	1	25	4	71
lncRNA_151	ntLink_6	20884883	20890641	+	5759	4	0	10	0	15
lncRNA_152	ntLink_6	21062410	21113639	+	51230	471	5	343	8	909
lncRNA_153	ntLink_6	21102344	21110038	+	7695	0	0	0	0	0
lncRNA_154	ntLink_6	21114074	21118846	+	4773	49	1	48	0	140
lncRNA_155	ntLink_6	21134079	21134386	+	308	2	0	8	0	0
lncRNA_156	ntLink_6	21163670	21171006	+	7337	14	0	40	0	72
lncRNA_157	ntLink_6	21167758	21171006	+	3249	0	0	0	0	0
lncRNA_158	ntLink_6	21172690	21181191	+	8502	4	0	0	0	10
lncRNA_159	ntLink_6	21470309	21475905	+	5597	3	0	2	0	3
lncRNA_160	ntLink_6	21500685	21510903	+	10219	0	0	0	0	0
lncRNA_161	ntLink_6	21533050	21543211	+	10162	279	2	256	2	649
lncRNA_162	ntLink_6	21551309	21552365	+	1057	6	2	0	0	0
lncRNA_163	ntLink_6	21551336	21551994	+	659	0	0	0	0	0
lncRNA_164	ntLink_6	21556200	21562528	+	6329	12	0	22	0	52
lncRNA_165	ntLink_6	21556252	21558683	+	2432	0	0	0	0	0
lncRNA_166	ntLink_6	21567295	21576318	+	9024	38	7	9	3	91
lncRNA_167	ntLink_6	21576755	21591588	+	14834	46	0	50	10	42
lncRNA_168	ntLink_6	21581982	21591588	+	9607	0	0	0	0	0
lncRNA_169	ntLink_6	21596452	21602807	+	6356	69	0	31	1	179
lncRNA_170	ntLink_6	21609912	21612972	+	3061	2	3	0	37	37
lncRNA_171	ntLink_6	21614531	21620552	+	6022	147	0	52	3	214
lncRNA_172	ntLink_6	21623801	21626100	+	2300	42	0	10	0	36
lncRNA_173	ntLink_6	21773382	21784196	+	10815	161	3	143	4	471
lncRNA_174	ntLink_6	21777718	21780656	+	2939	0	0	0	0	0
lncRNA_175	ntLink_6	21839275	21844304	+	5030	76	18	78	9	299
lncRNA_176	ntLink_6	21854440	21856515	+	2076	0	0	0	0	1
lncRNA_177	ntLink_6	21854692	21856515	+	1824	0	0	0	0	0
lncRNA_178	ntLink_6	21934435	21940779	+	6345	104	6	74	24	301
lncRNA_179	ntLink_6	21944537	21946899	+	2363	68	4	121	0	236
lncRNA_180	ntLink_6	21947857	21949159	+	1303	62	0	103	0	211
lncRNA_181	ntLink_6	21949738	21957752	+	8015	68	1	91	8	268
lncRNA_182	ntLink_6	21982343	21993457	+	11115	73	12	28	0	169
lncRNA_183	ntLink_6	21992571	21993457	+	887	0	0	0	0	0
lncRNA_184	ntLink_6	22004131	22005450	+	1320	0	0	0	0	5
lncRNA_185	ntLink_6	22014455	22018312	+	3858	0	0	0	0	0
lncRNA_186	ntLink_6	22014619	22020377	+	5759	7	1	17	0	25
lncRNA_187	ntLink_6	22299335	22299859	+	525	53	69	27	91	65
lncRNA_188	ntLink_6	22628429	22629525	+	1097	2	3	0	0	0
lncRNA_189	ntLink_6	22724962	22729379	+	4418	0	0	0	0	0
lncRNA_190	ntLink_6	22724962	22729379	+	4418	0	0	0	0	0
lncRNA_191	ntLink_6	22777123	22778219	+	1097	0	56	25	0	0
lncRNA_192	ntLink_6	22853225	22854179	+	955	13	40	17	14	22
lncRNA_193	ntLink_6	22854260	22854908	+	649	8	6	48	15	14
lncRNA_194	ntLink_6	62483	68696	+	6214	505	180	344	233	1153
lncRNA_195	ntLink_6	180986	181266	+	281	18	2	12	2	2
lncRNA_196	ntLink_6	211586	213782	+	2197	475	585	387	530	256
lncRNA_197	ntLink_6	211766	213782	+	2017	0	0	0	0	0
lncRNA_198	ntLink_6	419473	421686	+	2214	107	88	93	51	133
lncRNA_199	ntLink_6	487115	505393	+	18279	0	0	0	0	0
lncRNA_200	ntLink_6	487115	505393	+	18279	0	0	0	0	0
lncRNA_201	ntLink_6	612731	616073	+	3343	65	33	53	88	65
lncRNA_202	ntLink_6	714915	717037	+	2123	20	14	26	33	0
lncRNA_203	ntLink_6	714993	715824	+	832	0	0	0	0	0
lncRNA_204	ntLink_6	714993	715824	+	832	0	0	0	0	0
lncRNA_205	ntLink_6	780685	782249	+	1565	45	70	14	47	55
lncRNA_206	ntLink_6	985094	992987	+	7894	68443	62561	53435	52466	39916
lncRNA_207	ntLink_6	1014351	1016207	+	1857	299	338	347	139	337
lncRNA_208	ntLink_6	1040327	1047453	+	7127	38	12	112	43	258
lncRNA_209	ntLink_6	1064300	1070810	+	6511	985	501	867	846	834
lncRNA_210	ntLink_6	1145022	1150399	+	5378	7	41	7	12	59
lncRNA_211	ntLink_6	1170894	1171714	+	821	0	1	0	2	3
lncRNA_212	ntLink_6	1824168	1825059	+	892	6	0	41	28	6
lncRNA_213	ntLink_6	1997635	1999817	+	2183	35	17	468	143	423
lncRNA_214	ntLink_6	2206412	2213960	+	7549	0	0	0	0	3
lncRNA_215	ntLink_6	2206425	2213960	+	7536	0	0	0	0	0
lncRNA_216	ntLink_6	2206467	2213960	+	7494	0	0	0	0	0
lncRNA_217	ntLink_6	2234261	2235786	+	1526	9	51	258	208	51
lncRNA_218	ntLink_6	2412718	2417035	+	4318	13165	15794	15331	13365	9744
lncRNA_219	ntLink_6	2570680	2572329	+	1650	98	94	103	115	140
lncRNA_220	ntLink_6	3157072	3158840	+	1769	159	7	11	156	113
lncRNA_221	ntLink_6	3521295	3521650	+	356	34	0	20	7	213
lncRNA_222	ntLink_6	3659587	3660666	+	1080	76	10	2	85	14
lncRNA_223	ntLink_6	3659273	3659487	+	215	6	13	0	17	21
lncRNA_224	ntLink_6	3873791	3874825	+	1035	16	0	16	0	112
lncRNA_225	ntLink_6	3881126	3886229	+	5104	201	365	142	105	135
lncRNA_226	ntLink_6	3943586	3950386	+	6801	0	0	0	0	0
lncRNA_227	ntLink_6	3943586	3950386	+	6801	0	0	0	0	0
lncRNA_228	ntLink_6	3959488	3963322	+	3835	405	307	258	555	767
lncRNA_229	ntLink_6	3961350	3968968	+	7619	260	160	78	394	247
lncRNA_230	ntLink_6	4123993	4124867	+	875	218	119	58	101	123
lncRNA_231	ntLink_6	4125054	4128349	+	3296	7	6	1	13	18
lncRNA_232	ntLink_6	4125283	4128349	+	3067	0	0	0	0	0
lncRNA_233	ntLink_6	4125283	4128349	+	3067	0	0	0	0	0
lncRNA_234	ntLink_6	4439934	4441749	+	1816	645	494	438	251	853
lncRNA_235	ntLink_6	4449178	4452297	+	3120	90	75	159	41	83
lncRNA_236	ntLink_6	5540754	5543995	+	3242	82	68	1	0	57
lncRNA_237	ntLink_6	5544113	5546695	+	2583	820	1720	224	184	983
lncRNA_238	ntLink_6	6070004	6070857	+	854	21	55	10	22	30
lncRNA_239	ntLink_6	6374108	6381752	+	7645	41	4	52	52	36
lncRNA_240	ntLink_6	6374746	6381808	+	7063	21	16	0	28	7
lncRNA_241	ntLink_6	6552996	6554514	+	1519	155	168	106	88	234
lncRNA_242	ntLink_6	6571008	6572963	+	1956	612	851	604	1200	763
lncRNA_243	ntLink_6	7029141	7029661	+	521	14	46	10	22	3
lncRNA_244	ntLink_6	7064147	7066946	+	2800	0	0	0	0	0
lncRNA_245	ntLink_6	7064147	7066946	+	2800	0	0	0	0	0
lncRNA_246	ntLink_6	7064147	7066946	+	2800	0	0	0	0	0
lncRNA_247	ntLink_6	7064147	7066946	+	2800	0	0	0	0	0
lncRNA_248	ntLink_6	7064170	7066946	+	2777	0	0	0	0	0
lncRNA_249	ntLink_6	7295829	7303960	+	8132	168	225	4964	53	204
lncRNA_250	ntLink_6	7428565	7450439	+	21875	4122	2353	1183	4562	2199
lncRNA_251	ntLink_6	7534531	7542035	+	7505	2	0	12	3	1
lncRNA_252	ntLink_6	7534769	7538869	+	4101	0	0	0	0	0
lncRNA_253	ntLink_6	7535046	7546880	+	11835	0	0	0	0	0
lncRNA_254	ntLink_6	7583788	7585685	+	1898	0	25	4	5	85
lncRNA_255	ntLink_6	7958521	7958987	+	467	10	24	20	7	23
lncRNA_256	ntLink_6	7983629	7986000	+	2372	0	0	0	0	0
lncRNA_257	ntLink_6	7984589	7985882	+	1294	0	0	0	0	0
lncRNA_258	ntLink_6	8374433	8378990	+	4558	9	2	0	14	10
lncRNA_259	ntLink_6	8374667	8378990	+	4324	0	0	0	0	0
lncRNA_260	ntLink_6	8729523	8735888	+	6366	4	0	0	0	70
lncRNA_261	ntLink_6	8841632	8842326	+	695	76	58	12	12	15
lncRNA_262	ntLink_6	8890047	8891695	+	1649	165	38	33	78	117
lncRNA_263	ntLink_6	9058987	9061014	+	2028	16010	11420	6030	13966	11023
lncRNA_264	ntLink_6	9109354	9111108	+	1755	0	0	0	3	0
lncRNA_265	ntLink_6	9109441	9111108	+	1668	0	0	0	0	0
lncRNA_266	ntLink_6	9634514	9634777	+	264	3	0	0	18	0
lncRNA_267	ntLink_6	9690133	9691942	+	1810	281	610	24	423	45
lncRNA_268	ntLink_6	9987339	9989277	+	1939	0	0	0	0	0
lncRNA_269	ntLink_6	10591726	10593885	+	2160	1428	1229	816	1112	913
lncRNA_270	ntLink_6	10805051	10807606	+	2556	12	0	0	0	9
lncRNA_271	ntLink_6	11308806	11309278	+	473	0	4	0	8	36
lncRNA_272	ntLink_6	11546399	11548361	+	1963	180	17	114	51	100
lncRNA_273	ntLink_6	11787059	11797278	+	10220	18	7	22	12	42
lncRNA_274	ntLink_6	11787078	11794647	+	7570	0	0	0	0	0
lncRNA_275	ntLink_6	11952389	11954501	+	2113	13	11	34	18	0
lncRNA_276	ntLink_6	11966291	11966616	+	326	29	6	34	4	24
lncRNA_277	ntLink_6	12028869	12031657	+	2789	24	41	41	17	49
lncRNA_278	ntLink_6	12062591	12065075	+	2485	14	23	19	36	34
lncRNA_279	ntLink_6	12062685	12064263	+	1579	0	0	0	0	0
lncRNA_280	ntLink_6	12704170	12705614	+	1445	4	65	4	170	20
lncRNA_281	ntLink_6	12868458	12871518	+	3061	391	214	149	65	37
lncRNA_282	ntLink_6	13783560	13784715	+	1156	31	12	21	39	57
lncRNA_283	ntLink_6	13801309	13801535	+	227	9	0	1	55	0
lncRNA_284	ntLink_6	15257884	15272932	+	15049	0	0	0	0	0
lncRNA_285	ntLink_6	15257884	15272932	+	15049	0	0	0	0	0
lncRNA_286	ntLink_6	15257927	15272932	+	15006	0	0	0	0	0
lncRNA_287	ntLink_6	15257927	15272932	+	15006	0	0	0	0	0
lncRNA_288	ntLink_6	15524507	15547619	+	23113	1789	66	88	250	391
lncRNA_289	ntLink_6	16149177	16157537	+	8361	436	161	221	106	381
lncRNA_290	ntLink_6	16154522	16157537	+	3016	0	0	0	0	0
lncRNA_291	ntLink_6	16155887	16157537	+	1651	0	0	0	0	0
lncRNA_292	ntLink_6	16651202	16652392	+	1191	0	0	0	0	6
lncRNA_293	ntLink_6	16812772	16814012	+	1241	59	2	54	10	370
lncRNA_294	ntLink_6	16894246	16898752	+	4507	2535	4677	1548	4794	3793
lncRNA_295	ntLink_6	16969395	16971821	+	2427	1048	482	463	1034	883
lncRNA_296	ntLink_6	17496925	17498883	+	1959	31	4	3	0	53
lncRNA_297	ntLink_6	17623854	17624768	+	915	1530	1522	1323	1769	1555
lncRNA_298	ntLink_6	17857964	17864025	+	6062	0	0	2	0	0
lncRNA_299	ntLink_6	17858155	17864025	+	5871	0	0	0	0	0
lncRNA_300	ntLink_6	19491371	19496034	+	4664	304	203	129	504	460
lncRNA_301	ntLink_6	19600439	19601186	+	748	0	0	0	0	0
lncRNA_302	ntLink_6	19809707	19811823	+	2117	121	8	163	41	307
lncRNA_303	ntLink_6	19853307	19855219	+	1913	0	0	0	0	0
lncRNA_304	ntLink_6	19853307	19855219	+	1913	0	0	0	0	0
lncRNA_305	ntLink_6	19853312	19855219	+	1908	0	0	0	0	0
lncRNA_306	ntLink_6	19858154	19859800	+	1647	144	0	104	6	104
lncRNA_307	ntLink_6	19886976	19889803	+	2828	53	129	53	44	328
lncRNA_308	ntLink_6	20103126	20103667	+	542	83	87	28	142	66
lncRNA_309	ntLink_6	20263332	20263939	+	608	22	16	1	0	12
lncRNA_310	ntLink_6	20267006	20268172	+	1167	0	0	0	0	0
lncRNA_311	ntLink_6	20267210	20268172	+	963	0	0	0	0	0
lncRNA_312	ntLink_6	20273043	20274651	+	1609	63	15	18	54	37
lncRNA_313	ntLink_6	20286387	20286882	+	496	8	2	25	3	33
lncRNA_314	ntLink_6	20721335	20724528	+	3194	134	18	71	38	214
lncRNA_315	ntLink_6	20727809	20742860	+	15052	17	2	37	0	97
lncRNA_316	ntLink_6	20753541	20773046	+	19506	0	0	0	0	0
lncRNA_317	ntLink_6	20753541	20777480	+	23940	9	0	0	0	0
lncRNA_318	ntLink_6	20963893	20977482	+	13590	205	3	172	2	482
lncRNA_319	ntLink_6	20974376	20979813	+	5438	14	0	47	0	50
lncRNA_320	ntLink_6	20982108	21006582	+	24475	39	0	87	4	188
lncRNA_321	ntLink_6	20983201	20990759	+	7559	0	0	0	0	0
lncRNA_322	ntLink_6	20986572	20989414	+	2843	0	0	0	0	0
lncRNA_323	ntLink_6	21105634	21110571	+	4938	0	0	0	0	0
lncRNA_324	ntLink_6	21148070	21150601	+	2532	0	0	0	0	0
lncRNA_325	ntLink_6	21148070	21162334	+	14265	59	0	83	0	134
lncRNA_326	ntLink_6	21176911	21207459	+	30549	0	0	0	0	0
lncRNA_327	ntLink_6	21179285	21185914	+	6630	0	0	0	0	0
lncRNA_328	ntLink_6	21185913	21207459	+	21547	0	0	0	0	0
lncRNA_329	ntLink_6	21253122	21260343	+	7222	80	1	61	2	224
lncRNA_330	ntLink_6	21277708	21285030	+	7323	0	0	0	0	0
lncRNA_331	ntLink_6	21278195	21285030	+	6836	0	0	0	0	0
lncRNA_332	ntLink_6	21290392	21296697	+	6306	2	0	0	0	2
lncRNA_333	ntLink_6	21290986	21292734	+	1749	0	0	0	0	0
lncRNA_334	ntLink_6	21294948	21296697	+	1750	0	0	0	0	0
lncRNA_335	ntLink_6	21313405	21353961	+	40557	77	1	50	5	205
lncRNA_336	ntLink_6	21370885	21394972	+	24088	109	5	119	3	245
lncRNA_337	ntLink_6	21468289	21471323	+	3035	0	0	3	0	8
lncRNA_338	ntLink_6	21481553	21511602	+	30050	112	7	142	4	247
lncRNA_339	ntLink_6	21502674	21508443	+	5770	0	0	0	0	0
lncRNA_340	ntLink_6	21511289	21513051	+	1763	4	1	2	0	3
lncRNA_341	ntLink_6	21518536	21526003	+	7468	123	7	62	2	216
lncRNA_342	ntLink_6	21526493	21536614	+	10122	9	1	22	1	92
lncRNA_343	ntLink_6	21747780	21755294	+	7515	31	2	32	8	82
