Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0001717	FUN_044745-T1	Pocillopora_meandrina_HIv1___RNAseq.g11023.t1, Pocillopora_meandrina_HIv1___RNAseq.g337.t1, Pocillopora_meandrina_HIv1___TS.g17216.t1	Peve_00005239, Peve_00025085, Peve_00026509, Peve_00038184
OG0001718	FUN_044767-T1, FUN_045494-T1, FUN_045835-T1	Pocillopora_meandrina_HIv1___TS.g14275.t1, Pocillopora_meandrina_HIv1___TS.g8451.t1	Peve_00015674, Peve_00017478, Peve_00022973
OG0001719	FUN_044786-T1, FUN_045716-T1		Peve_00004719, Peve_00023855, Peve_00030028, Peve_00032066, Peve_00038935, Peve_00042851
OG0001720	FUN_045020-T1	Pocillopora_meandrina_HIv1___RNAseq.g11281.t1, Pocillopora_meandrina_HIv1___RNAseq.g11912.t1, Pocillopora_meandrina_HIv1___RNAseq.g23471.t1, Pocillopora_meandrina_HIv1___RNAseq.g26721.t1, Pocillopora_meandrina_HIv1___RNAseq.g627.t1b, Pocillopora_meandrina_HIv1___RNAseq.g6560.t1, Pocillopora_meandrina_HIv1___TS.g26127.t1	
OG0001721	FUN_045045-T1	Pocillopora_meandrina_HIv1___RNAseq.g2824.t1a	Peve_00003678, Peve_00007856, Peve_00022251, Peve_00023448, Peve_00023449, Peve_00036115
OG0001722	FUN_045271-T1		Peve_00007787, Peve_00008576, Peve_00017297, Peve_00023155, Peve_00029003, Peve_00040044, Peve_00043923
OG0001723	FUN_045306-T1	Pocillopora_meandrina_HIv1___RNAseq.g12922.t1, Pocillopora_meandrina_HIv1___RNAseq.g16244.t1, Pocillopora_meandrina_HIv1___RNAseq.g25188.t1, Pocillopora_meandrina_HIv1___RNAseq.g29562.t1, Pocillopora_meandrina_HIv1___RNAseq.g29574.t1, Pocillopora_meandrina_HIv1___RNAseq.g29601.t1	Peve_00011482
OG0001724	FUN_045473-T1		Peve_00001378, Peve_00001969, Peve_00011427, Peve_00013830, Peve_00015796, Peve_00016877, Peve_00036657
OG0001725	FUN_045736-T1	Pocillopora_meandrina_HIv1___RNAseq.g17623.t1, Pocillopora_meandrina_HIv1___TS.g18020.t1, Pocillopora_meandrina_HIv1___TS.g23496.t1	Peve_00002075, Peve_00017038, Peve_00024705, Peve_00043117
OG0001726		Pocillopora_meandrina_HIv1___RNAseq.g20577.t1, Pocillopora_meandrina_HIv1___RNAseq.g2821.t1, Pocillopora_meandrina_HIv1___RNAseq.g28871.t1, Pocillopora_meandrina_HIv1___TS.g15572.t1, Pocillopora_meandrina_HIv1___TS.g62.t1, Pocillopora_meandrina_HIv1___TS.g8652.t1	Peve_00005974, Peve_00008255
OG0001727		Pocillopora_meandrina_HIv1___RNAseq.g16293.t1, Pocillopora_meandrina_HIv1___RNAseq.g16341.t1, Pocillopora_meandrina_HIv1___RNAseq.g27276.t1, Pocillopora_meandrina_HIv1___RNAseq.g29267.t1, Pocillopora_meandrina_HIv1___RNAseq.g29271.t1, Pocillopora_meandrina_HIv1___TS.g11359.t1, Pocillopora_meandrina_HIv1___TS.g6475.t1	Peve_00005484
OG0001728		Pocillopora_meandrina_HIv1___RNAseq.23581_t, Pocillopora_meandrina_HIv1___RNAseq.g17470.t1, Pocillopora_meandrina_HIv1___RNAseq.g17471.t1, Pocillopora_meandrina_HIv1___RNAseq.g17479.t1, Pocillopora_meandrina_HIv1___RNAseq.g17482.t1, Pocillopora_meandrina_HIv1___RNAseq.g17487.t1, Pocillopora_meandrina_HIv1___RNAseq.g17491.t1, Pocillopora_meandrina_HIv1___TS.g17058.t1	
OG0001729		Pocillopora_meandrina_HIv1___RNAseq.g13132.t1, Pocillopora_meandrina_HIv1___RNAseq.g13133.t1, Pocillopora_meandrina_HIv1___RNAseq.g16151.t1, Pocillopora_meandrina_HIv1___RNAseq.g16277.t1, Pocillopora_meandrina_HIv1___RNAseq.g25795.t1, Pocillopora_meandrina_HIv1___RNAseq.g613.t1, Pocillopora_meandrina_HIv1___TS.g11309.t1	Peve_00011220
OG0001730		Pocillopora_meandrina_HIv1___RNAseq.g22542.t1, Pocillopora_meandrina_HIv1___RNAseq.g22543.t1, Pocillopora_meandrina_HIv1___RNAseq.g22544.t1, Pocillopora_meandrina_HIv1___RNAseq.g22545.t1, Pocillopora_meandrina_HIv1___RNAseq.g22546.t1, Pocillopora_meandrina_HIv1___RNAseq.g28210.t1, Pocillopora_meandrina_HIv1___RNAseq.g28211.t1, Pocillopora_meandrina_HIv1___TS.g7997.t1	
OG0001731		Pocillopora_meandrina_HIv1___RNAseq.g11913.t1, Pocillopora_meandrina_HIv1___RNAseq.g12056.t1, Pocillopora_meandrina_HIv1___RNAseq.g12389.t1, Pocillopora_meandrina_HIv1___RNAseq.g16069.t1b, Pocillopora_meandrina_HIv1___RNAseq.g23207.t1, Pocillopora_meandrina_HIv1___RNAseq.g6161.t1b, Pocillopora_meandrina_HIv1___TS.g10089.t1	Peve_00035355
OG0001732		Pocillopora_meandrina_HIv1___RNAseq.g14321.t1, Pocillopora_meandrina_HIv1___RNAseq.g26722.t1, Pocillopora_meandrina_HIv1___RNAseq.g26725.t1, Pocillopora_meandrina_HIv1___RNAseq.g26726.t1, Pocillopora_meandrina_HIv1___RNAseq.g29807.t1, Pocillopora_meandrina_HIv1___TS.g14066.t1, Pocillopora_meandrina_HIv1___TS.g25064.t1, Pocillopora_meandrina_HIv1___TS.g27771.t1	
OG0001733		Pocillopora_meandrina_HIv1___RNAseq.g19771.t1, Pocillopora_meandrina_HIv1___RNAseq.g19772.t1, Pocillopora_meandrina_HIv1___RNAseq.g19773.t1, Pocillopora_meandrina_HIv1___RNAseq.g19774.t1, Pocillopora_meandrina_HIv1___RNAseq.g19775.t1, Pocillopora_meandrina_HIv1___RNAseq.g19777.t1, Pocillopora_meandrina_HIv1___RNAseq.g19778.t1	Peve_00003253
OG0001734		Pocillopora_meandrina_HIv1___RNAseq.g21813.t1, Pocillopora_meandrina_HIv1___RNAseq.g21818.t1, Pocillopora_meandrina_HIv1___RNAseq.g21819.t1, Pocillopora_meandrina_HIv1___RNAseq.g21820.t1, Pocillopora_meandrina_HIv1___TS.g19650.t1, Pocillopora_meandrina_HIv1___TS.g26564.t1, Pocillopora_meandrina_HIv1___TS.g26566.t1, Pocillopora_meandrina_HIv1___TS.g26569.t1a	
OG0001735		Pocillopora_meandrina_HIv1___RNAseq.g13252.t1, Pocillopora_meandrina_HIv1___RNAseq.g13254.t1, Pocillopora_meandrina_HIv1___RNAseq.g13258.t1, Pocillopora_meandrina_HIv1___RNAseq.g13259.t1, Pocillopora_meandrina_HIv1___TS.g2245.t1, Pocillopora_meandrina_HIv1___TS.g2246.t1, Pocillopora_meandrina_HIv1___TS.g2250.t1, Pocillopora_meandrina_HIv1___TS.g2257.t2b	
OG0001736		Pocillopora_meandrina_HIv1___RNAseq.g1792.t1, Pocillopora_meandrina_HIv1___RNAseq.g9142.t1, Pocillopora_meandrina_HIv1___TS.g11073.t1, Pocillopora_meandrina_HIv1___TS.g16477.t1, Pocillopora_meandrina_HIv1___TS.g23653.t1, Pocillopora_meandrina_HIv1___TS.g4301.t1, Pocillopora_meandrina_HIv1___TS.g9431.t1	Peve_00041272
OG0001737		Pocillopora_meandrina_HIv1___RNAseq.g20183.t1, Pocillopora_meandrina_HIv1___RNAseq.g20185.t1, Pocillopora_meandrina_HIv1___RNAseq.g20187.t1, Pocillopora_meandrina_HIv1___RNAseq.g20188.t1, Pocillopora_meandrina_HIv1___RNAseq.g202.t1, Pocillopora_meandrina_HIv1___RNAseq.g204.t1, Pocillopora_meandrina_HIv1___RNAseq.g207.t1, Pocillopora_meandrina_HIv1___TS.g5746.t1	
OG0001738		Pocillopora_meandrina_HIv1___RNAseq.g23113.t1	Peve_00017135, Peve_00024920, Peve_00025740, Peve_00032622, Peve_00033163, Peve_00033280, Peve_00036152
OG0001739		Pocillopora_meandrina_HIv1___RNAseq.g15035.t1, Pocillopora_meandrina_HIv1___RNAseq.g15041.t1, Pocillopora_meandrina_HIv1___TS.g9420.t1, Pocillopora_meandrina_HIv1___TS.g9421.t1, Pocillopora_meandrina_HIv1___TS.g9422.t1, Pocillopora_meandrina_HIv1___TS.g9423.t1, Pocillopora_meandrina_HIv1___TS.g9424.t1, Pocillopora_meandrina_HIv1___TS.g9426.t1	
OG0001740		Pocillopora_meandrina_HIv1___RNAseq.g21223.t1, Pocillopora_meandrina_HIv1___TS.g15626.t1a	Peve_00007156, Peve_00007157, Peve_00032969, Peve_00032970, Peve_00033533, Peve_00038414
OG0001741		Pocillopora_meandrina_HIv1___RNAseq.g22160.t1, Pocillopora_meandrina_HIv1___RNAseq.g25019.t1, Pocillopora_meandrina_HIv1___RNAseq.g4287.t2, Pocillopora_meandrina_HIv1___RNAseq.g7551.t1, Pocillopora_meandrina_HIv1___TS.g11360.t1, Pocillopora_meandrina_HIv1___TS.g6598.t1, Pocillopora_meandrina_HIv1___TS.g7403.t1	Peve_00027957
OG0001742		Pocillopora_meandrina_HIv1___RNAseq.g17676.t1, Pocillopora_meandrina_HIv1___RNAseq.g17850.t1, Pocillopora_meandrina_HIv1___RNAseq.g3297.t1, Pocillopora_meandrina_HIv1___RNAseq.g3329.t1, Pocillopora_meandrina_HIv1___RNAseq.g3341.t1, Pocillopora_meandrina_HIv1___TS.g9523.t1, Pocillopora_meandrina_HIv1___TS.g9555.t1	Peve_00035149
OG0001743		Pocillopora_meandrina_HIv1___RNAseq.g29147.t1, Pocillopora_meandrina_HIv1___RNAseq.g29149.t1, Pocillopora_meandrina_HIv1___RNAseq.g29150.t1, Pocillopora_meandrina_HIv1___RNAseq.g29151.t1	Peve_00002988, Peve_00014261, Peve_00021365, Peve_00034799
OG0001744		Pocillopora_meandrina_HIv1___RNAseq.g23911.t1	Peve_00006133, Peve_00012218, Peve_00020359, Peve_00023093, Peve_00027289, Peve_00030717, Peve_00044712
OG0001745		Pocillopora_meandrina_HIv1___RNAseq.g11962.t1b, Pocillopora_meandrina_HIv1___RNAseq.g22040.t1, Pocillopora_meandrina_HIv1___RNAseq.g22041.t1, Pocillopora_meandrina_HIv1___RNAseq.g26862.t1b, Pocillopora_meandrina_HIv1___RNAseq.g28013.t1, Pocillopora_meandrina_HIv1___TS.g15028.t1	Peve_00022491, Peve_00022492
OG0001746		Pocillopora_meandrina_HIv1___RNAseq.g20668.t1	Peve_00005194, Peve_00005196, Peve_00019802, Peve_00033802, Peve_00033803, Peve_00033804, Peve_00037311
OG0001747		Pocillopora_meandrina_HIv1___RNAseq.g17678.t1, Pocillopora_meandrina_HIv1___RNAseq.g17853.t1, Pocillopora_meandrina_HIv1___RNAseq.g20630.t2, Pocillopora_meandrina_HIv1___RNAseq.g3318.t1, Pocillopora_meandrina_HIv1___RNAseq.g3352.t1, Pocillopora_meandrina_HIv1___RNAseq.g3369.t1, Pocillopora_meandrina_HIv1___RNAseq.g3378.t1, Pocillopora_meandrina_HIv1___RNAseq.g3384.t1	
OG0001748		Pocillopora_meandrina_HIv1___RNAseq.g14543.t1, Pocillopora_meandrina_HIv1___RNAseq.g14552.t1, Pocillopora_meandrina_HIv1___RNAseq.g14564.t1, Pocillopora_meandrina_HIv1___RNAseq.g14602.t1, Pocillopora_meandrina_HIv1___RNAseq.g14611.t1, Pocillopora_meandrina_HIv1___RNAseq.g20874.t1, Pocillopora_meandrina_HIv1___RNAseq.g25205.t1, Pocillopora_meandrina_HIv1___RNAseq.g25217.t1	
OG0001749		Pocillopora_meandrina_HIv1___RNAseq.g4020.t1, Pocillopora_meandrina_HIv1___RNAseq.g4021.t1, Pocillopora_meandrina_HIv1___RNAseq.g4022.t2, Pocillopora_meandrina_HIv1___RNAseq.g4023.t1, Pocillopora_meandrina_HIv1___RNAseq.g4024.t1, Pocillopora_meandrina_HIv1___RNAseq.g4025.t1, Pocillopora_meandrina_HIv1___RNAseq.g4026.t1	Peve_00034309
OG0001750		Pocillopora_meandrina_HIv1___RNAseq.g6566.t1, Pocillopora_meandrina_HIv1___RNAseq.g6586.t1, Pocillopora_meandrina_HIv1___RNAseq.g6647.t1, Pocillopora_meandrina_HIv1___RNAseq.g6648.t1, Pocillopora_meandrina_HIv1___RNAseq.g6649.t1, Pocillopora_meandrina_HIv1___RNAseq.g6651.t1a, Pocillopora_meandrina_HIv1___RNAseq.g6651.t1b, Pocillopora_meandrina_HIv1___RNAseq.g8728.t1	
OG0001751		Pocillopora_meandrina_HIv1___RNAseq.g6537.t1, Pocillopora_meandrina_HIv1___RNAseq.g6556.t1, Pocillopora_meandrina_HIv1___RNAseq.g6557.t1, Pocillopora_meandrina_HIv1___RNAseq.g6558.t1, Pocillopora_meandrina_HIv1___RNAseq.g6559.t1, Pocillopora_meandrina_HIv1___RNAseq.g6562.t1, Pocillopora_meandrina_HIv1___RNAseq.g6563.t1, Pocillopora_meandrina_HIv1___TS.g289.t1	
OG0001752		Pocillopora_meandrina_HIv1___RNAseq.g21889.t1, Pocillopora_meandrina_HIv1___TS.g26638.t1, Pocillopora_meandrina_HIv1___TS.g26639.t1, Pocillopora_meandrina_HIv1___TS.g26642.t1, Pocillopora_meandrina_HIv1___TS.g26651.t1, Pocillopora_meandrina_HIv1___TS.g26652.t1, Pocillopora_meandrina_HIv1___TS.g26655.t1, Pocillopora_meandrina_HIv1___TS.g9.t1	
OG0001753		Pocillopora_meandrina_HIv1___TS.g20640.t1	Peve_00017669, Peve_00017678, Peve_00017682, Peve_00017683, Peve_00017684, Peve_00031213, Peve_00031214
OG0001754		Pocillopora_meandrina_HIv1___RNAseq.g4899.t1, Pocillopora_meandrina_HIv1___RNAseq.g4900.t1, Pocillopora_meandrina_HIv1___RNAseq.g4901.t1, Pocillopora_meandrina_HIv1___RNAseq.g4903.t1, Pocillopora_meandrina_HIv1___RNAseq.g4904.t1, Pocillopora_meandrina_HIv1___RNAseq.g4905.t1, Pocillopora_meandrina_HIv1___TS.g8682.t1	Peve_00036807
OG0001755		Pocillopora_meandrina_HIv1___RNAseq.g2523.t1, Pocillopora_meandrina_HIv1___RNAseq.g26180.t1, Pocillopora_meandrina_HIv1___RNAseq.g26181.t1, Pocillopora_meandrina_HIv1___RNAseq.g26249.t1, Pocillopora_meandrina_HIv1___TS.g5029.t1	Peve_00028378, Peve_00035358, Peve_00036667
OG0001756		Pocillopora_meandrina_HIv1___RNAseq.g25207.t1	Peve_00002318, Peve_00017179, Peve_00021361, Peve_00026047, Peve_00026095, Peve_00031075, Peve_00044330
OG0001757		Pocillopora_meandrina_HIv1___RNAseq.g6350.t1, Pocillopora_meandrina_HIv1___RNAseq.g6354.t1, Pocillopora_meandrina_HIv1___TS.g15700.t1, Pocillopora_meandrina_HIv1___TS.g15701.t1, Pocillopora_meandrina_HIv1___TS.g15702.t1, Pocillopora_meandrina_HIv1___TS.g15712.t1, Pocillopora_meandrina_HIv1___TS.g15714.t1	Peve_00022821
OG0001758		Pocillopora_meandrina_HIv1___RNAseq.g12106.t1, Pocillopora_meandrina_HIv1___RNAseq.g12108.t1, Pocillopora_meandrina_HIv1___RNAseq.g26744.t1, Pocillopora_meandrina_HIv1___RNAseq.g26750.t1, Pocillopora_meandrina_HIv1___RNAseq.g26753.t1, Pocillopora_meandrina_HIv1___RNAseq.g26760.t1, Pocillopora_meandrina_HIv1___RNAseq.g26770.t1, Pocillopora_meandrina_HIv1___TS.g274.t1	
OG0001759		Pocillopora_meandrina_HIv1___RNAseq.g13583.t1, Pocillopora_meandrina_HIv1___RNAseq.g13608.t1, Pocillopora_meandrina_HIv1___RNAseq.g13611.t1, Pocillopora_meandrina_HIv1___RNAseq.g13612.t1, Pocillopora_meandrina_HIv1___RNAseq.g13613.t1, Pocillopora_meandrina_HIv1___RNAseq.g13614.t1, Pocillopora_meandrina_HIv1___TS.g2576.t1, Pocillopora_meandrina_HIv1___TS.g2605.t1	
OG0001760		Pocillopora_meandrina_HIv1___RNAseq.g14575.t1, Pocillopora_meandrina_HIv1___RNAseq.g15952.t1, Pocillopora_meandrina_HIv1___RNAseq.g15958.t1, Pocillopora_meandrina_HIv1___RNAseq.g27125.t1, Pocillopora_meandrina_HIv1___RNAseq.g2797.t1, Pocillopora_meandrina_HIv1___RNAseq.g5993.t1, Pocillopora_meandrina_HIv1___RNAseq.g6364.t1, Pocillopora_meandrina_HIv1___TS.g15603.t1	
OG0001761		Pocillopora_meandrina_HIv1___RNAseq.g5618.t1, Pocillopora_meandrina_HIv1___RNAseq.g5621.t1, Pocillopora_meandrina_HIv1___RNAseq.g5622.t1, Pocillopora_meandrina_HIv1___RNAseq.g5623.t1, Pocillopora_meandrina_HIv1___RNAseq.g5626.t1, Pocillopora_meandrina_HIv1___RNAseq.g5627.t1, Pocillopora_meandrina_HIv1___RNAseq.g5628.t1, Pocillopora_meandrina_HIv1___TS.g24342.t1	
OG0001762		Pocillopora_meandrina_HIv1___RNAseq.g10798.t1, Pocillopora_meandrina_HIv1___RNAseq.g10800.t1, Pocillopora_meandrina_HIv1___RNAseq.g12414.t1, Pocillopora_meandrina_HIv1___RNAseq.g12415.t1, Pocillopora_meandrina_HIv1___RNAseq.g12416.t1, Pocillopora_meandrina_HIv1___RNAseq.g12417.t1, Pocillopora_meandrina_HIv1___TS.g13316.t1, Pocillopora_meandrina_HIv1___TS.g13317.t1	
OG0001763		Pocillopora_meandrina_HIv1___RNAseq.g12422.t1, Pocillopora_meandrina_HIv1___RNAseq.g19404.t1, Pocillopora_meandrina_HIv1___RNAseq.g20834.t1, Pocillopora_meandrina_HIv1___RNAseq.g27296.t1, Pocillopora_meandrina_HIv1___RNAseq.g9172.t1, Pocillopora_meandrina_HIv1___TS.g24763.t1b, Pocillopora_meandrina_HIv1___TS.g3349.t1, Pocillopora_meandrina_HIv1___TS.g8645.t1	
OG0001764		Pocillopora_meandrina_HIv1___RNAseq.g5578.t1, Pocillopora_meandrina_HIv1___RNAseq.g5581.t1, Pocillopora_meandrina_HIv1___RNAseq.g5582.t1, Pocillopora_meandrina_HIv1___RNAseq.g5585.t1, Pocillopora_meandrina_HIv1___RNAseq.g5586.t1, Pocillopora_meandrina_HIv1___RNAseq.g5587.t1, Pocillopora_meandrina_HIv1___RNAseq.g8659.t1, Pocillopora_meandrina_HIv1___RNAseq.g8660.t1	
OG0001765		Pocillopora_meandrina_HIv1___RNAseq.g14439.t1, Pocillopora_meandrina_HIv1___RNAseq.g21941.t1, Pocillopora_meandrina_HIv1___RNAseq.g26901.t1, Pocillopora_meandrina_HIv1___RNAseq.g8530.t1, Pocillopora_meandrina_HIv1___RNAseq.g8904.t1a, Pocillopora_meandrina_HIv1___RNAseq.g9152.t1, Pocillopora_meandrina_HIv1___RNAseq.g9332.t1, Pocillopora_meandrina_HIv1___TS.g589.t1	
OG0001766		Pocillopora_meandrina_HIv1___RNAseq.g30097.t1, Pocillopora_meandrina_HIv1___RNAseq.g30122.t1, Pocillopora_meandrina_HIv1___RNAseq.g30123.t1, Pocillopora_meandrina_HIv1___TS.g22420.t1, Pocillopora_meandrina_HIv1___TS.g22422.t1, Pocillopora_meandrina_HIv1___TS.g22424.t1, Pocillopora_meandrina_HIv1___TS.g22427.t1, Pocillopora_meandrina_HIv1___TS.g7698.t1	
OG0001767		Pocillopora_meandrina_HIv1___RNAseq.g19163.t1, Pocillopora_meandrina_HIv1___RNAseq.g19164.t1, Pocillopora_meandrina_HIv1___RNAseq.g19165.t1, Pocillopora_meandrina_HIv1___RNAseq.g19166.t1, Pocillopora_meandrina_HIv1___RNAseq.g19167.t1	Peve_00027349, Peve_00027350, Peve_00032977
OG0001768		Pocillopora_meandrina_HIv1___RNAseq.g18740.t1, Pocillopora_meandrina_HIv1___RNAseq.g18741.t1, Pocillopora_meandrina_HIv1___RNAseq.g18742.t1, Pocillopora_meandrina_HIv1___RNAseq.g18743.t1, Pocillopora_meandrina_HIv1___RNAseq.g18744.t1, Pocillopora_meandrina_HIv1___RNAseq.g18745.t1, Pocillopora_meandrina_HIv1___TS.g28131.t1	Peve_00032998
OG0001769		Pocillopora_meandrina_HIv1___RNAseq.g14437.t1, Pocillopora_meandrina_HIv1___RNAseq.g14502.t1, Pocillopora_meandrina_HIv1___RNAseq.g14513.t1, Pocillopora_meandrina_HIv1___RNAseq.g14514.t1, Pocillopora_meandrina_HIv1___RNAseq.g14540.t1, Pocillopora_meandrina_HIv1___RNAseq.g14571.t1, Pocillopora_meandrina_HIv1___RNAseq.g14600.t1, Pocillopora_meandrina_HIv1___TS.g29300.t2	
OG0001770		Pocillopora_meandrina_HIv1___RNAseq.g28421.t1	Peve_00002110, Peve_00017973, Peve_00020849, Peve_00020850, Peve_00021315, Peve_00027806, Peve_00038760
OG0001771		Pocillopora_meandrina_HIv1___RNAseq.g26388.t1, Pocillopora_meandrina_HIv1___RNAseq.g26389.t1, Pocillopora_meandrina_HIv1___RNAseq.g26392.t1, Pocillopora_meandrina_HIv1___RNAseq.g26394.t1, Pocillopora_meandrina_HIv1___RNAseq.g26395.t1, Pocillopora_meandrina_HIv1___RNAseq.g26397.t1, Pocillopora_meandrina_HIv1___TS.g19145.t1, Pocillopora_meandrina_HIv1___TS.g19148.t1	
OG0001772		Pocillopora_meandrina_HIv1___RNAseq.g13179.t1, Pocillopora_meandrina_HIv1___RNAseq.g13180.t1, Pocillopora_meandrina_HIv1___RNAseq.g13181.t1, Pocillopora_meandrina_HIv1___RNAseq.g23728.t1, Pocillopora_meandrina_HIv1___RNAseq.g23730.t1, Pocillopora_meandrina_HIv1___RNAseq.g23732.t1, Pocillopora_meandrina_HIv1___TS.g16600.t1, Pocillopora_meandrina_HIv1___TS.g2175.t1	
OG0001773		Pocillopora_meandrina_HIv1___RNAseq.g11195.t1, Pocillopora_meandrina_HIv1___RNAseq.g117.t1, Pocillopora_meandrina_HIv1___RNAseq.g118.t1, Pocillopora_meandrina_HIv1___RNAseq.g20856.t1, Pocillopora_meandrina_HIv1___RNAseq.g30108.t1, Pocillopora_meandrina_HIv1___RNAseq.g30109.t1	Peve_00028470, Peve_00032413
OG0001774		Pocillopora_meandrina_HIv1___RNAseq.g29894.t1, Pocillopora_meandrina_HIv1___RNAseq.g29905.t1, Pocillopora_meandrina_HIv1___RNAseq.g29937.t1, Pocillopora_meandrina_HIv1___RNAseq.g29939.t1, Pocillopora_meandrina_HIv1___TS.g25139.t1, Pocillopora_meandrina_HIv1___TS.g25162.t1, Pocillopora_meandrina_HIv1___TS.g25186.t1	Peve_00017507
OG0001775		Pocillopora_meandrina_HIv1___RNAseq.g23239.t1, Pocillopora_meandrina_HIv1___RNAseq.g23241.t1, Pocillopora_meandrina_HIv1___RNAseq.g23245.t1a, Pocillopora_meandrina_HIv1___RNAseq.g5397.t1, Pocillopora_meandrina_HIv1___RNAseq.g6771.t1, Pocillopora_meandrina_HIv1___TS.g16118.t1, Pocillopora_meandrina_HIv1___TS.g16124.t1, Pocillopora_meandrina_HIv1___TS.g27963.t1a	
OG0001776		Pocillopora_meandrina_HIv1___RNAseq.g22326.t1, Pocillopora_meandrina_HIv1___RNAseq.g22329.t1, Pocillopora_meandrina_HIv1___RNAseq.g27611.t1, Pocillopora_meandrina_HIv1___RNAseq.g27748.t1, Pocillopora_meandrina_HIv1___RNAseq.g6739.t1, Pocillopora_meandrina_HIv1___TS.g27089.t1, Pocillopora_meandrina_HIv1___TS.g27097.t1	Peve_00004461
OG0001777		Pocillopora_meandrina_HIv1___RNAseq.g16662.t1, Pocillopora_meandrina_HIv1___RNAseq.g16663.t1	Peve_00003912, Peve_00017332, Peve_00033667, Peve_00033669, Peve_00037052, Peve_00037064
OG0001778		Pocillopora_meandrina_HIv1___RNAseq.g16634.t1, Pocillopora_meandrina_HIv1___RNAseq.g16639.t1, Pocillopora_meandrina_HIv1___RNAseq.g16647.t1, Pocillopora_meandrina_HIv1___RNAseq.g16652.t1, Pocillopora_meandrina_HIv1___RNAseq.g16658.t1, Pocillopora_meandrina_HIv1___RNAseq.g16677.t1, Pocillopora_meandrina_HIv1___RNAseq.g25791.t1, Pocillopora_meandrina_HIv1___TS.g17493.t1	
OG0001779		Pocillopora_meandrina_HIv1___TS.g7117.t1	Peve_00000247, Peve_00000248, Peve_00018954, Peve_00025704, Peve_00025705, Peve_00035795, Peve_00040934
OG0001780		Pocillopora_meandrina_HIv1___RNAseq.g850.t1, Pocillopora_meandrina_HIv1___RNAseq.g851.t1, Pocillopora_meandrina_HIv1___RNAseq.g852.t1, Pocillopora_meandrina_HIv1___TS.g5382.t1	Peve_00002836, Peve_00002837, Peve_00016868, Peve_00016869
OG0001781		Pocillopora_meandrina_HIv1___RNAseq.g28166.t1b, Pocillopora_meandrina_HIv1___RNAseq.g28169.t1a, Pocillopora_meandrina_HIv1___RNAseq.g28169.t1c, Pocillopora_meandrina_HIv1___RNAseq.g29886.t1, Pocillopora_meandrina_HIv1___RNAseq.g29929.t1, Pocillopora_meandrina_HIv1___TS.g7949.t1, Pocillopora_meandrina_HIv1___TS.g7957.t1, Pocillopora_meandrina_HIv1___TS.g7958.t1	
OG0001782		Pocillopora_meandrina_HIv1___RNAseq.6787_t, Pocillopora_meandrina_HIv1___RNAseq.g16076.t1, Pocillopora_meandrina_HIv1___RNAseq.g21669.t1, Pocillopora_meandrina_HIv1___RNAseq.g24772.t2, Pocillopora_meandrina_HIv1___RNAseq.g3448.t2	Peve_00008689, Peve_00009841, Peve_00031479
OG0001783		Pocillopora_meandrina_HIv1___RNAseq.g26613.t1, Pocillopora_meandrina_HIv1___RNAseq.g26625.t1, Pocillopora_meandrina_HIv1___RNAseq.g26627.t1, Pocillopora_meandrina_HIv1___RNAseq.g26629.t1, Pocillopora_meandrina_HIv1___RNAseq.g26631.t1, Pocillopora_meandrina_HIv1___TS.g19387.t1	Peve_00007814, Peve_00031519
OG0001784		Pocillopora_meandrina_HIv1___RNAseq.g26206.t1, Pocillopora_meandrina_HIv1___RNAseq.g26207.t1, Pocillopora_meandrina_HIv1___RNAseq.g26208.t1, Pocillopora_meandrina_HIv1___RNAseq.g26209.t1, Pocillopora_meandrina_HIv1___RNAseq.g26212.t1, Pocillopora_meandrina_HIv1___RNAseq.g26213.t1, Pocillopora_meandrina_HIv1___RNAseq.g26214.t1, Pocillopora_meandrina_HIv1___TS.g18958.t1	
OG0001785		Pocillopora_meandrina_HIv1___TS.g3897.t1	Peve_00003417, Peve_00003420, Peve_00005614, Peve_00005617, Peve_00005619, Peve_00005626, Peve_00011878
OG0001786		Pocillopora_meandrina_HIv1___RNAseq.g27332.t1, Pocillopora_meandrina_HIv1___TS.g11042.t1, Pocillopora_meandrina_HIv1___TS.g18744.t1	Peve_00001777, Peve_00001799, Peve_00010136, Peve_00029834, Peve_00037321
OG0001787		Pocillopora_meandrina_HIv1___RNAseq.g18228.t1	Peve_00003821, Peve_00005691, Peve_00007357, Peve_00010109, Peve_00019546, Peve_00031912, Peve_00044539
OG0001788		Pocillopora_meandrina_HIv1___RNAseq.g26205.t1	Peve_00012409, Peve_00012410, Peve_00012411, Peve_00017962, Peve_00017964, Peve_00017965, Peve_00017967
OG0001789		Pocillopora_meandrina_HIv1___TS.g1423.t1	Peve_00000361, Peve_00000362, Peve_00000365, Peve_00016337, Peve_00016340, Peve_00021156, Peve_00038985
OG0001790			Peve_00000145, Peve_00004855, Peve_00005058, Peve_00015601, Peve_00025577, Peve_00033310, Peve_00034896, Peve_00044246
OG0001791			Peve_00000878, Peve_00000879, Peve_00000881, Peve_00000882, Peve_00012159, Peve_00012161, Peve_00012162, Peve_00012163
OG0001792			Peve_00000973, Peve_00000977, Peve_00011773, Peve_00011870, Peve_00017093, Peve_00017095, Peve_00040571, Peve_00043593
