Orthogroup	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep	Total
OG0000070	5	1	31	37
OG0000071	1	0	36	37
OG0000072	2	35	0	37
OG0000073	1	34	2	37
OG0000074	5	1	31	37
OG0000075	36	0	0	36
OG0000076	36	0	0	36
OG0000077	19	1	16	36
OG0000078	0	36	0	36
OG0000079	0	2	34	36
OG0000080	35	0	0	35
OG0000081	32	1	2	35
OG0000082	0	0	35	35
OG0000083	0	0	35	35
OG0000084	34	0	0	34
OG0000085	34	0	0	34
OG0000086	34	0	0	34
OG0000087	34	0	0	34
OG0000088	5	3	26	34
OG0000089	28	1	5	34
OG0000090	4	27	3	34
OG0000091	0	1	33	34
OG0000092	0	0	34	34
OG0000093	24	2	7	33
OG0000094	1	32	0	33
OG0000095	32	0	1	33
OG0000096	33	0	0	33
OG0000097	33	0	0	33
OG0000098	6	0	27	33
OG0000099	31	1	1	33
OG0000100	1	0	32	33
OG0000101	33	0	0	33
OG0000102	0	33	0	33
OG0000103	0	33	0	33
OG0000104	0	1	32	33
OG0000105	0	0	33	33
OG0000106	32	0	0	32
OG0000107	32	0	0	32
OG0000108	1	29	2	32
OG0000109	1	1	30	32
OG0000110	11	2	19	32
OG0000111	0	32	0	32
OG0000112	0	32	0	32
OG0000113	0	1	31	32
OG0000114	0	0	32	32
OG0000115	0	0	32	32
OG0000116	0	0	32	32
OG0000117	31	0	0	31
OG0000118	31	0	0	31
OG0000119	31	0	0	31
OG0000120	9	3	19	31
OG0000121	2	2	27	31
OG0000122	31	0	0	31
OG0000123	19	0	12	31
OG0000124	30	1	0	31
OG0000125	27	2	2	31
OG0000126	5	25	1	31
OG0000127	31	0	0	31
OG0000128	0	30	1	31
OG0000129	30	0	0	30
OG0000130	29	0	1	30
OG0000131	29	1	0	30
OG0000132	1	0	29	30
OG0000133	1	5	24	30
OG0000134	3	23	4	30
OG0000135	4	13	13	30
OG0000136	30	0	0	30
OG0000137	2	1	27	30
OG0000138	0	30	0	30
OG0000139	0	1	29	30
OG0000140	0	0	30	30
OG0000141	29	0	0	29
OG0000142	2	2	25	29
OG0000143	29	0	0	29
OG0000144	28	1	0	29
OG0000145	3	9	17	29
OG0000146	3	14	12	29
OG0000147	1	27	1	29
OG0000148	0	29	0	29
OG0000149	0	0	29	29
OG0000150	0	0	29	29
OG0000151	26	2	0	28
OG0000152	6	0	22	28
OG0000153	11	1	16	28
OG0000154	28	0	0	28
OG0000155	4	3	21	28
OG0000156	21	1	6	28
OG0000157	28	0	0	28
OG0000158	26	1	1	28
OG0000159	1	0	27	28
OG0000160	7	21	0	28
OG0000161	0	26	2	28
OG0000162	0	21	7	28
OG0000163	0	4	24	28
OG0000164	0	2	26	28
OG0000165	0	0	28	28
OG0000166	0	0	28	28
OG0000167	26	0	1	27
OG0000168	26	0	1	27
OG0000169	1	24	2	27
OG0000170	23	1	3	27
OG0000171	10	4	13	27
OG0000172	1	1	25	27
OG0000173	2	8	17	27
OG0000174	1	26	0	27
OG0000175	0	27	0	27
OG0000176	0	1	26	27
OG0000177	0	0	27	27
OG0000178	26	0	0	26
OG0000179	26	0	0	26
OG0000180	26	0	0	26
OG0000181	26	0	0	26
OG0000182	13	2	11	26
OG0000183	26	0	0	26
OG0000184	0	26	0	26
OG0000185	0	25	1	26
OG0000186	0	26	0	26
OG0000187	0	26	0	26
OG0000188	0	0	26	26
OG0000189	0	0	26	26
OG0000190	0	0	26	26
OG0000191	21	1	3	25
OG0000192	25	0	0	25
OG0000193	25	0	0	25
OG0000194	8	5	12	25
OG0000195	15	2	8	25
OG0000196	9	1	15	25
OG0000197	25	0	0	25
OG0000198	20	0	5	25
OG0000199	1	15	9	25
OG0000200	7	1	17	25
OG0000201	0	25	0	25
OG0000202	0	25	0	25
OG0000203	0	25	0	25
OG0000204	0	25	0	25
OG0000205	0	0	25	25
OG0000206	0	0	25	25
OG0000207	0	0	25	25
OG0000208	12	3	9	24
OG0000209	24	0	0	24
OG0000210	24	0	0	24
OG0000211	3	2	19	24
OG0000212	1	22	1	24
OG0000213	2	0	22	24
OG0000214	1	0	23	24
OG0000215	4	18	2	24
OG0000216	0	24	0	24
OG0000217	0	24	0	24
OG0000218	0	22	2	24
OG0000219	0	0	24	24
OG0000220	0	0	24	24
OG0000221	0	0	24	24
OG0000222	23	0	0	23
OG0000223	23	0	0	23
OG0000224	21	1	1	23
OG0000225	23	0	0	23
OG0000226	21	0	2	23
OG0000227	23	0	0	23
OG0000228	3	12	8	23
OG0000229	23	0	0	23
OG0000230	23	0	0	23
OG0000231	1	21	1	23
OG0000232	2	1	20	23
OG0000233	1	2	20	23
OG0000234	23	0	0	23
OG0000235	1	4	18	23
OG0000236	0	23	0	23
OG0000237	0	22	1	23
OG0000238	0	22	1	23
OG0000239	0	23	0	23
OG0000240	0	23	0	23
OG0000241	0	21	2	23
OG0000242	0	1	22	23
OG0000243	0	0	23	23
OG0000244	0	0	23	23
OG0000245	0	0	23	23
OG0000246	18	0	4	22
OG0000247	21	0	1	22
OG0000248	20	0	2	22
OG0000249	4	1	17	22
OG0000250	2	19	1	22
OG0000251	21	0	1	22
OG0000252	22	0	0	22
OG0000253	1	13	8	22
OG0000254	1	20	1	22
OG0000255	0	22	0	22
OG0000256	0	22	0	22
OG0000257	0	19	3	22
OG0000258	0	0	22	22
OG0000259	1	17	3	21
OG0000260	20	0	1	21
OG0000261	19	1	1	21
OG0000262	20	0	1	21
OG0000263	21	0	0	21
OG0000264	20	1	0	21
OG0000265	21	0	0	21
OG0000266	18	1	2	21
OG0000267	8	2	11	21
OG0000268	1	1	19	21
OG0000269	1	16	4	21
OG0000270	21	0	0	21
OG0000271	17	2	2	21
OG0000272	1	0	20	21
OG0000273	8	1	12	21
OG0000274	0	21	0	21
OG0000275	0	21	0	21
OG0000276	0	21	0	21
OG0000277	0	18	3	21
OG0000278	0	0	21	21
OG0000279	0	0	21	21
OG0000280	9	2	9	20
OG0000281	20	0	0	20
OG0000282	16	1	3	20
OG0000283	19	1	0	20
OG0000284	19	0	1	20
OG0000285	19	0	1	20
OG0000286	20	0	0	20
OG0000287	4	7	9	20
OG0000288	6	2	12	20
OG0000289	1	12	7	20
OG0000290	1	0	19	20
OG0000291	3	2	15	20
OG0000292	1	2	17	20
OG0000293	1	18	1	20
OG0000294	8	2	10	20
OG0000295	1	0	19	20
OG0000296	0	20	0	20
OG0000297	0	20	0	20
OG0000298	0	20	0	20
OG0000299	0	19	1	20
OG0000300	0	20	0	20
OG0000301	0	20	0	20
OG0000302	0	0	20	20
OG0000303	0	0	20	20
OG0000304	0	0	20	20
OG0000305	0	0	20	20
OG0000306	0	0	20	20
OG0000307	0	0	20	20
OG0000308	19	0	0	19
OG0000309	19	0	0	19
OG0000310	19	0	0	19
OG0000311	19	0	0	19
OG0000312	19	0	0	19
OG0000313	19	0	0	19
OG0000314	5	12	2	19
OG0000315	7	0	12	19
OG0000316	2	11	6	19
OG0000317	18	1	0	19
OG0000318	18	0	1	19
OG0000319	19	0	0	19
OG0000320	1	1	17	19
OG0000321	19	0	0	19
OG0000322	1	0	18	19
OG0000323	19	0	0	19
OG0000324	19	0	0	19
OG0000325	18	0	1	19
OG0000326	5	13	1	19
OG0000327	3	8	8	19
OG0000328	1	0	18	19
OG0000329	8	3	8	19
OG0000330	1	17	1	19
OG0000331	0	14	5	19
OG0000332	0	19	0	19
OG0000333	0	19	0	19
OG0000334	0	0	19	19
OG0000335	17	0	1	18
OG0000336	18	0	0	18
OG0000337	12	4	2	18
OG0000338	18	0	0	18
OG0000339	2	8	8	18
OG0000340	15	2	1	18
OG0000341	18	0	0	18
OG0000342	18	0	0	18
OG0000343	13	3	2	18
OG0000344	7	9	2	18
OG0000345	6	4	8	18
OG0000346	1	8	9	18
OG0000347	17	1	0	18
OG0000348	15	1	2	18
OG0000349	17	0	1	18
OG0000350	9	2	7	18
OG0000351	18	0	0	18
OG0000352	1	2	15	18
OG0000353	0	15	3	18
OG0000354	0	18	0	18
OG0000355	0	18	0	18
OG0000356	0	18	0	18
OG0000357	0	15	3	18
OG0000358	0	18	0	18
OG0000359	0	17	1	18
OG0000360	0	0	18	18
OG0000361	0	0	18	18
OG0000362	0	0	18	18
OG0000363	0	0	18	18
OG0000364	0	0	18	18
OG0000365	12	3	2	17
OG0000366	16	1	0	17
OG0000367	8	2	7	17
OG0000368	14	0	3	17
OG0000369	17	0	0	17
OG0000370	17	0	0	17
OG0000371	11	3	3	17
OG0000372	17	0	0	17
OG0000373	1	0	16	17
OG0000374	16	0	1	17
OG0000375	17	0	0	17
OG0000376	17	0	0	17
OG0000377	17	0	0	17
OG0000378	14	2	1	17
OG0000379	2	1	14	17
OG0000380	2	13	2	17
OG0000381	1	4	12	17
OG0000382	3	12	2	17
OG0000383	3	13	1	17
OG0000384	1	11	5	17
OG0000385	3	11	3	17
OG0000386	1	0	16	17
OG0000387	1	13	3	17
OG0000388	2	14	1	17
OG0000389	5	9	3	17
OG0000390	1	1	15	17
OG0000391	1	2	14	17
OG0000392	2	15	0	17
OG0000393	0	16	1	17
OG0000394	0	17	0	17
OG0000395	0	15	2	17
OG0000396	0	17	0	17
OG0000397	0	14	3	17
OG0000398	0	17	0	17
OG0000399	0	17	0	17
OG0000400	0	17	0	17
OG0000401	0	16	1	17
OG0000402	0	14	3	17
OG0000403	0	2	15	17
OG0000404	0	1	16	17
OG0000405	0	0	17	17
OG0000406	0	0	17	17
OG0000407	0	0	17	17
OG0000408	0	0	17	17
OG0000409	16	0	0	16
OG0000410	8	2	6	16
OG0000411	15	1	0	16
OG0000412	16	0	0	16
OG0000413	3	13	0	16
OG0000414	15	0	1	16
OG0000415	14	0	2	16
OG0000416	16	0	0	16
OG0000417	4	12	0	16
OG0000418	16	0	0	16
OG0000419	9	0	7	16
OG0000420	4	1	11	16
OG0000421	16	0	0	16
OG0000422	13	3	0	16
OG0000423	8	4	4	16
OG0000424	3	7	6	16
OG0000425	15	1	0	16
OG0000426	6	6	4	16
OG0000427	3	0	13	16
OG0000428	6	6	4	16
OG0000429	14	1	1	16
OG0000430	3	6	7	16
OG0000431	7	0	9	16
OG0000432	1	11	4	16
OG0000433	1	14	1	16
OG0000434	11	1	4	16
OG0000435	2	13	1	16
OG0000436	3	2	11	16
OG0000437	14	0	2	16
OG0000438	2	13	1	16
OG0000439	14	1	1	16
OG0000440	1	1	14	16
OG0000441	3	3	10	16
OG0000442	3	1	12	16
OG0000443	16	0	0	16
OG0000444	1	3	12	16
OG0000445	1	11	4	16
OG0000446	1	2	13	16
OG0000447	4	9	3	16
OG0000448	5	9	2	16
OG0000449	2	0	14	16
OG0000450	0	16	0	16
OG0000451	0	12	4	16
OG0000452	0	16	0	16
OG0000453	0	16	0	16
OG0000454	0	15	1	16
OG0000455	0	1	15	16
OG0000456	0	16	0	16
OG0000457	0	16	0	16
OG0000458	0	13	3	16
OG0000459	0	6	10	16
OG0000460	0	1	15	16
OG0000461	0	0	16	16
OG0000462	0	0	16	16
OG0000463	0	0	16	16
OG0000464	0	0	16	16
OG0000465	3	3	9	15
OG0000466	15	0	0	15
OG0000467	12	1	2	15
OG0000468	15	0	0	15
OG0000469	15	0	0	15
OG0000470	15	0	0	15
OG0000471	15	0	0	15
OG0000472	1	12	2	15
OG0000473	12	1	2	15
OG0000474	3	8	4	15
OG0000475	1	12	2	15
OG0000476	15	0	0	15
OG0000477	14	0	1	15
OG0000478	10	0	5	15
OG0000479	4	1	10	15
OG0000480	1	1	13	15
OG0000481	15	0	0	15
OG0000482	14	1	0	15
OG0000483	6	1	8	15
OG0000484	5	6	4	15
OG0000485	11	2	2	15
OG0000486	2	12	1	15
OG0000487	13	1	1	15
OG0000488	1	14	0	15
OG0000489	12	1	2	15
OG0000490	15	0	0	15
OG0000491	1	0	14	15
OG0000492	2	7	6	15
OG0000493	1	9	5	15
OG0000494	3	7	5	15
OG0000495	15	0	0	15
OG0000496	2	1	12	15
OG0000497	2	12	1	15
OG0000498	1	13	1	15
OG0000499	1	0	14	15
OG0000500	2	11	2	15
OG0000501	1	13	1	15
OG0000502	3	8	4	15
OG0000503	2	12	1	15
OG0000504	4	0	11	15
OG0000505	1	0	14	15
OG0000506	1	9	5	15
OG0000507	1	13	1	15
OG0000508	1	14	0	15
OG0000509	0	15	0	15
OG0000510	0	15	0	15
OG0000511	0	15	0	15
OG0000512	0	15	0	15
OG0000513	0	15	0	15
OG0000514	0	13	2	15
OG0000515	0	14	1	15
OG0000516	0	15	0	15
OG0000517	0	15	0	15
OG0000518	0	1	14	15
OG0000519	0	13	2	15
OG0000520	0	15	0	15
OG0000521	0	15	0	15
OG0000522	0	15	0	15
OG0000523	0	15	0	15
OG0000524	0	12	3	15
OG0000525	0	1	14	15
OG0000526	0	2	13	15
OG0000527	0	1	14	15
OG0000528	0	1	14	15
OG0000529	0	0	15	15
OG0000530	0	0	15	15
OG0000531	0	0	15	15
OG0000532	0	0	15	15
OG0000533	0	0	15	15
OG0000534	0	0	15	15
OG0000535	0	0	15	15
OG0000536	14	0	0	14
OG0000537	14	0	0	14
OG0000538	14	0	0	14
OG0000539	3	8	3	14
OG0000540	14	0	0	14
OG0000541	14	0	0	14
OG0000542	13	0	1	14
OG0000543	14	0	0	14
OG0000544	13	0	1	14
OG0000545	10	2	2	14
OG0000546	14	0	0	14
OG0000547	14	0	0	14
OG0000548	9	3	2	14
OG0000549	14	0	0	14
OG0000550	14	0	0	14
OG0000551	13	0	1	14
OG0000552	14	0	0	14
OG0000553	14	0	0	14
OG0000554	2	2	10	14
OG0000555	7	2	5	14
OG0000556	1	13	0	14
OG0000557	14	0	0	14
OG0000558	8	5	1	14
OG0000559	1	1	12	14
OG0000560	1	13	0	14
OG0000561	9	2	3	14
OG0000562	5	4	5	14
OG0000563	9	3	2	14
OG0000564	8	2	4	14
OG0000565	14	0	0	14
OG0000566	8	1	5	14
OG0000567	14	0	0	14
OG0000568	12	1	1	14
OG0000569	9	3	2	14
OG0000570	2	9	3	14
OG0000571	3	10	1	14
OG0000572	2	1	11	14
OG0000573	6	3	5	14
OG0000574	13	0	1	14
OG0000575	3	6	5	14
OG0000576	2	1	11	14
OG0000577	1	13	0	14
OG0000578	1	2	11	14
OG0000579	7	4	3	14
OG0000580	12	0	2	14
OG0000581	13	0	1	14
OG0000582	1	0	13	14
OG0000583	2	5	7	14
OG0000584	3	3	8	14
OG0000585	2	2	10	14
OG0000586	1	10	3	14
OG0000587	1	13	0	14
OG0000588	2	10	2	14
OG0000589	1	13	0	14
OG0000590	1	11	2	14
OG0000591	1	4	9	14
OG0000592	0	14	0	14
OG0000593	0	13	1	14
OG0000594	0	14	0	14
OG0000595	0	12	2	14
OG0000596	0	14	0	14
OG0000597	0	13	1	14
OG0000598	0	13	1	14
OG0000599	0	1	13	14
OG0000600	0	3	11	14
OG0000601	0	0	14	14
OG0000602	0	0	14	14
OG0000603	0	0	14	14
OG0000604	0	0	14	14
OG0000605	0	0	14	14
OG0000606	0	0	14	14
OG0000607	0	0	14	14
OG0000608	0	0	14	14
OG0000609	0	0	14	14
OG0000610	0	0	14	14
OG0000611	0	0	14	14
OG0000612	0	0	14	14
OG0000613	13	0	0	13
OG0000614	2	0	11	13
OG0000615	13	0	0	13
OG0000616	6	1	6	13
OG0000617	13	0	0	13
OG0000618	10	1	2	13
OG0000619	6	2	5	13
OG0000620	13	0	0	13
OG0000621	5	2	6	13
OG0000622	9	2	2	13
OG0000623	13	0	0	13
OG0000624	13	0	0	13
OG0000625	2	0	11	13
OG0000626	10	1	2	13
OG0000627	5	6	2	13
OG0000628	9	1	3	13
OG0000629	13	0	0	13
OG0000630	13	0	0	13
OG0000631	13	0	0	13
OG0000632	13	0	0	13
OG0000633	13	0	0	13
OG0000634	12	0	1	13
OG0000635	8	3	2	13
OG0000636	4	1	8	13
OG0000637	12	0	1	13
OG0000638	7	5	1	13
OG0000639	8	2	3	13
OG0000640	12	0	1	13
OG0000641	13	0	0	13
OG0000642	13	0	0	13
OG0000643	4	0	9	13
OG0000644	13	0	0	13
OG0000645	13	0	0	13
OG0000646	4	1	8	13
OG0000647	5	5	3	13
OG0000648	12	0	1	13
OG0000649	2	1	10	13
OG0000650	2	0	11	13
OG0000651	11	1	1	13
OG0000652	10	0	3	13
OG0000653	1	1	11	13
OG0000654	13	0	0	13
OG0000655	13	0	0	13
OG0000656	6	3	4	13
OG0000657	13	0	0	13
OG0000658	3	2	8	13
OG0000659	13	0	0	13
OG0000660	3	0	10	13
OG0000661	2	10	1	13
OG0000662	1	11	1	13
OG0000663	1	12	0	13
OG0000664	13	0	0	13
OG0000665	1	0	12	13
OG0000666	2	4	7	13
OG0000667	2	2	9	13
OG0000668	6	1	6	13
OG0000669	1	11	1	13
OG0000670	11	1	1	13
OG0000671	11	0	2	13
OG0000672	2	2	9	13
OG0000673	4	8	1	13
OG0000674	2	2	9	13
OG0000675	13	0	0	13
OG0000676	2	7	4	13
OG0000677	3	2	8	13
OG0000678	2	10	1	13
OG0000679	1	12	0	13
OG0000680	13	0	0	13
OG0000681	1	1	11	13
OG0000682	3	9	1	13
OG0000683	3	8	2	13
OG0000684	1	11	1	13
OG0000685	1	2	10	13
OG0000686	1	11	1	13
OG0000687	0	13	0	13
OG0000688	0	11	2	13
OG0000689	0	13	0	13
OG0000690	0	13	0	13
OG0000691	0	13	0	13
OG0000692	0	13	0	13
OG0000693	0	13	0	13
OG0000694	0	13	0	13
OG0000695	0	13	0	13
OG0000696	0	13	0	13
OG0000697	0	12	1	13
OG0000698	0	13	0	13
OG0000699	0	13	0	13
OG0000700	0	12	1	13
OG0000701	0	13	0	13
OG0000702	0	13	0	13
OG0000703	0	3	10	13
OG0000704	0	1	12	13
OG0000705	0	13	0	13
OG0000706	0	6	7	13
OG0000707	0	13	0	13
OG0000708	0	1	12	13
OG0000709	0	1	12	13
OG0000710	0	1	12	13
OG0000711	0	2	11	13
OG0000712	0	1	12	13
OG0000713	0	0	13	13
OG0000714	0	0	13	13
OG0000715	0	0	13	13
OG0000716	0	0	13	13
OG0000717	0	0	13	13
OG0000718	0	0	13	13
OG0000719	0	0	13	13
OG0000720	0	0	13	13
OG0000721	0	0	13	13
OG0000722	0	0	13	13
OG0000723	0	0	13	13
OG0000724	12	0	0	12
OG0000725	3	5	4	12
OG0000726	12	0	0	12
OG0000727	12	0	0	12
OG0000728	8	2	2	12
OG0000729	6	3	3	12
OG0000730	4	7	1	12
OG0000731	6	6	0	12
OG0000732	1	11	0	12
OG0000733	3	0	9	12
OG0000734	11	0	1	12
OG0000735	7	4	1	12
OG0000736	6	2	4	12
OG0000737	1	11	0	12
OG0000738	1	11	0	12
OG0000739	4	2	6	12
OG0000740	11	0	1	12
OG0000741	12	0	0	12
OG0000742	7	5	0	12
OG0000743	7	2	3	12
OG0000744	3	1	8	12
OG0000745	11	0	1	12
OG0000746	11	0	1	12
OG0000747	12	0	0	12
OG0000748	7	3	2	12
OG0000749	2	8	2	12
OG0000750	3	7	2	12
OG0000751	12	0	0	12
OG0000752	11	0	1	12
OG0000753	5	3	4	12
OG0000754	2	5	5	12
OG0000755	1	3	8	12
OG0000756	2	2	8	12
OG0000757	1	10	1	12
OG0000758	7	1	4	12
OG0000759	1	7	4	12
OG0000760	1	6	5	12
OG0000761	12	0	0	12
OG0000762	5	2	5	12
OG0000763	3	7	2	12
OG0000764	7	2	3	12
OG0000765	4	3	5	12
OG0000766	12	0	0	12
OG0000767	12	0	0	12
OG0000768	12	0	0	12
OG0000769	8	1	3	12
OG0000770	3	7	2	12
OG0000771	2	1	9	12
OG0000772	10	1	1	12
OG0000773	1	10	1	12
OG0000774	7	3	2	12
OG0000775	1	8	3	12
OG0000776	6	2	4	12
OG0000777	2	8	2	12
OG0000778	11	0	1	12
OG0000779	8	1	3	12
OG0000780	12	0	0	12
OG0000781	10	1	1	12
OG0000782	5	1	6	12
OG0000783	1	2	9	12
OG0000784	4	3	5	12
OG0000785	8	0	4	12
OG0000786	10	1	1	12
OG0000787	1	10	1	12
OG0000788	2	1	9	12
OG0000789	2	1	9	12
OG0000790	1	4	7	12
OG0000791	2	2	8	12
OG0000792	12	0	0	12
OG0000793	9	1	2	12
OG0000794	6	5	1	12
OG0000795	4	3	5	12
OG0000796	12	0	0	12
OG0000797	12	0	0	12
OG0000798	9	0	3	12
OG0000799	5	2	5	12
OG0000800	11	1	0	12
OG0000801	5	6	1	12
OG0000802	10	1	1	12
OG0000803	8	3	1	12
OG0000804	1	9	2	12
OG0000805	2	10	0	12
OG0000806	3	2	7	12
OG0000807	12	0	0	12
OG0000808	1	1	10	12
OG0000809	5	4	3	12
OG0000810	8	3	1	12
OG0000811	1	10	1	12
OG0000812	1	9	2	12
OG0000813	1	9	2	12
OG0000814	1	0	11	12
OG0000815	1	8	3	12
OG0000816	2	0	10	12
OG0000817	5	0	7	12
OG0000818	1	0	11	12
OG0000819	1	7	4	12
OG0000820	1	0	11	12
OG0000821	0	11	1	12
OG0000822	0	12	0	12
OG0000823	0	12	0	12
OG0000824	0	11	1	12
OG0000825	0	10	2	12
OG0000826	0	1	11	12
OG0000827	0	12	0	12
OG0000828	0	12	0	12
OG0000829	0	10	2	12
OG0000830	0	12	0	12
OG0000831	0	4	8	12
OG0000832	0	8	4	12
OG0000833	0	9	3	12
OG0000834	0	12	0	12
OG0000835	0	11	1	12
OG0000836	0	12	0	12
OG0000837	0	11	1	12
OG0000838	0	10	2	12
OG0000839	0	12	0	12
OG0000840	0	12	0	12
OG0000841	0	1	11	12
OG0000842	0	2	10	12
OG0000843	0	1	11	12
OG0000844	0	1	11	12
OG0000845	0	3	9	12
OG0000846	0	0	12	12
OG0000847	0	0	12	12
OG0000848	0	0	12	12
OG0000849	0	0	12	12
OG0000850	0	0	12	12
OG0000851	0	0	12	12
OG0000852	0	0	12	12
OG0000853	0	0	12	12
OG0000854	7	2	2	11
OG0000855	11	0	0	11
OG0000856	4	0	7	11
OG0000857	6	2	3	11
OG0000858	2	2	7	11
OG0000859	11	0	0	11
OG0000860	6	0	5	11
OG0000861	5	0	6	11
OG0000862	2	4	5	11
OG0000863	4	3	4	11
OG0000864	7	2	2	11
OG0000865	4	1	6	11
OG0000866	11	0	0	11
OG0000867	1	5	5	11
OG0000868	10	0	1	11
OG0000869	10	0	1	11
OG0000870	8	3	0	11
OG0000871	1	9	1	11
OG0000872	3	0	8	11
OG0000873	2	2	7	11
OG0000874	1	9	1	11
OG0000875	6	1	4	11
OG0000876	1	0	10	11
OG0000877	11	0	0	11
OG0000878	9	0	2	11
OG0000879	8	2	1	11
OG0000880	6	2	3	11
OG0000881	11	0	0	11
OG0000882	5	0	6	11
OG0000883	1	3	7	11
OG0000884	3	1	7	11
OG0000885	6	2	3	11
OG0000886	1	8	2	11
OG0000887	11	0	0	11
OG0000888	1	7	3	11
OG0000889	3	1	7	11
OG0000890	5	2	4	11
OG0000891	2	0	9	11
OG0000892	1	0	10	11
OG0000893	10	0	1	11
OG0000894	9	0	2	11
OG0000895	1	2	8	11
OG0000896	4	6	1	11
OG0000897	11	0	0	11
OG0000898	2	9	0	11
OG0000899	3	6	2	11
OG0000900	11	0	0	11
OG0000901	9	1	1	11
OG0000902	5	3	3	11
OG0000903	4	2	5	11
OG0000904	6	1	4	11
OG0000905	11	0	0	11
OG0000906	11	0	0	11
OG0000907	8	1	2	11
OG0000908	4	2	5	11
OG0000909	2	7	2	11
OG0000910	8	2	1	11
OG0000911	4	5	2	11
OG0000912	9	0	2	11
OG0000913	5	3	3	11
OG0000914	10	0	1	11
OG0000915	1	10	0	11
OG0000916	7	1	3	11
OG0000917	3	1	7	11
OG0000918	2	7	2	11
OG0000919	4	5	2	11
OG0000920	2	4	5	11
OG0000921	2	9	0	11
OG0000922	6	2	3	11
OG0000923	3	1	7	11
OG0000924	2	8	1	11
OG0000925	6	2	3	11
OG0000926	1	10	0	11
OG0000927	3	4	4	11
OG0000928	1	1	9	11
OG0000929	4	5	2	11
OG0000930	11	0	0	11
OG0000931	3	4	4	11
OG0000932	10	0	1	11
OG0000933	2	1	8	11
OG0000934	2	2	7	11
OG0000935	2	2	7	11
OG0000936	1	0	10	11
OG0000937	3	6	2	11
OG0000938	2	1	8	11
OG0000939	3	0	8	11
OG0000940	1	10	0	11
OG0000941	1	9	1	11
OG0000942	4	2	5	11
OG0000943	9	1	1	11
OG0000944	2	5	4	11
OG0000945	3	5	3	11
OG0000946	3	2	6	11
OG0000947	10	0	1	11
OG0000948	5	4	2	11
OG0000949	2	2	7	11
OG0000950	1	10	0	11
OG0000951	2	5	4	11
OG0000952	4	5	2	11
OG0000953	7	0	4	11
OG0000954	1	0	10	11
OG0000955	1	2	8	11
OG0000956	6	1	4	11
OG0000957	1	3	7	11
OG0000958	1	4	6	11
OG0000959	2	1	8	11
OG0000960	1	8	2	11
OG0000961	8	1	2	11
OG0000962	5	0	6	11
OG0000963	1	0	10	11
OG0000964	3	6	2	11
OG0000965	3	5	3	11
OG0000966	11	0	0	11
OG0000967	1	1	9	11
OG0000968	1	0	10	11
OG0000969	1	2	8	11
OG0000970	3	6	2	11
OG0000971	3	1	7	11
OG0000972	2	8	1	11
OG0000973	10	0	1	11
OG0000974	8	2	1	11
OG0000975	2	0	9	11
OG0000976	1	9	1	11
OG0000977	1	0	10	11
OG0000978	1	3	7	11
OG0000979	1	9	1	11
OG0000980	1	1	9	11
OG0000981	1	0	10	11
OG0000982	1	7	3	11
OG0000983	0	8	3	11
OG0000984	0	11	0	11
OG0000985	0	11	0	11
OG0000986	0	9	2	11
OG0000987	0	11	0	11
OG0000988	0	11	0	11
OG0000989	0	11	0	11
OG0000990	0	11	0	11
