"qseqid" "sseqid" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore"
"30" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:5382168-5389641" "Cluster_2859::Pocillopora_meandrina_HIv1___Sc0000008:5387738-5387830(-)" 100 93 0 0 5570 5662 93 1 3.13e-44 168
"31" "transcript::Pocillopora_meandrina_HIv1___Sc0000008:5382569-5389641" "Cluster_2859::Pocillopora_meandrina_HIv1___Sc0000008:5387738-5387830(-)" 100 93 0 0 5169 5261 93 1 2.96e-44 168
"32" "transcript::Pocillopora_meandrina_HIv1___Sc0000010:8008539-8014109" "Cluster_3392::Pocillopora_meandrina_HIv1___Sc0000010:8012916-8013008(+)" 100 93 0 0 4377 4469 1 93 2.33e-44 168
"33" "transcript::Pocillopora_meandrina_HIv1___Sc0000010:8010601-8014109" "Cluster_3392::Pocillopora_meandrina_HIv1___Sc0000010:8012916-8013008(+)" 100 93 0 0 2315 2407 1 93 1.52e-44 168
"34" "transcript::Pocillopora_meandrina_HIv1___Sc0000010:8008765-8013853" "Cluster_3392::Pocillopora_meandrina_HIv1___Sc0000010:8012916-8013008(+)" 100 93 0 0 4151 4243 1 93 2.13e-44 168
"35" "transcript::Pocillopora_meandrina_HIv1___Sc0000010:8009039-8013853" "Cluster_3392::Pocillopora_meandrina_HIv1___Sc0000010:8012916-8013008(+)" 100 93 0 0 3877 3969 1 93 2.01e-44 168
"36" "transcript::Pocillopora_meandrina_HIv1___Sc0000010:8009189-8013853" "Cluster_3392::Pocillopora_meandrina_HIv1___Sc0000010:8012916-8013008(+)" 100 93 0 0 3727 3819 1 93 2.02e-44 168
"37" "transcript::Pocillopora_meandrina_HIv1___Sc0000012:6412836-6456125" "Cluster_3661::Pocillopora_meandrina_HIv1___Sc0000012:6455183-6455276(+)" 100 94 0 0 42347 42440 1 94 4.83e-44 170
"38" "transcript::Pocillopora_meandrina_HIv1___Sc0000012:6453048-6455906" "Cluster_3661::Pocillopora_meandrina_HIv1___Sc0000012:6455183-6455276(+)" 100 94 0 0 2135 2228 1 94 3.53e-45 170
"39" "transcript::Pocillopora_meandrina_HIv1___Sc0000014:2590221-2602242" "Cluster_4040::Pocillopora_meandrina_HIv1___Sc0000014:2594743-2594833(+)" 100 91 0 0 4522 4612 1 91 5.91e-43 165
"40" "transcript::Pocillopora_meandrina_HIv1___Sc0000014:2593067-2602242" "Cluster_4040::Pocillopora_meandrina_HIv1___Sc0000014:2594743-2594833(+)" 100 91 0 0 1676 1766 1 91 4.68e-43 165
"41" "transcript::Pocillopora_meandrina_HIv1___Sc0000014:9359559-9367897" "Cluster_4118::Pocillopora_meandrina_HIv1___Sc0000014:9365459-9365552(-)" 100 94 0 0 5900 5993 94 1 9.99e-45 170
"42" "transcript::Pocillopora_meandrina_HIv1___Sc0000017:5040660-5060662" "Cluster_4572::Pocillopora_meandrina_HIv1___Sc0000017:5050908-5051000(-)" 100 93 0 0 10248 10340 93 1 8.08e-44 168
"43" "transcript::Pocillopora_meandrina_HIv1___Sc0000018:6845867-6863996" "Cluster_4823::Pocillopora_meandrina_HIv1___Sc0000018:6855499-6855592(+)" 100 94 0 0 9632 9725 1 94 2.1e-44 170
"44" "transcript::Pocillopora_meandrina_HIv1___Sc0000018:6845930-6863996" "Cluster_4823::Pocillopora_meandrina_HIv1___Sc0000018:6855499-6855592(+)" 100 94 0 0 9569 9662 1 94 2.09e-44 170
"45" "transcript::Pocillopora_meandrina_HIv1___Sc0000018:6851678-6863996" "Cluster_4823::Pocillopora_meandrina_HIv1___Sc0000018:6855499-6855592(+)" 100 94 0 0 3821 3914 1 94 1.42e-44 170
"46" "transcript::Pocillopora_meandrina_HIv1___Sc0000018:6852954-6863996" "Cluster_4823::Pocillopora_meandrina_HIv1___Sc0000018:6855499-6855592(+)" 100 94 0 0 2545 2638 1 94 1.28e-44 170
"47" "transcript::Pocillopora_meandrina_HIv1___Sc0000021:4343937-4359207" "Cluster_5253::Pocillopora_meandrina_HIv1___Sc0000021:4351817-4351909(+)" 100 93 0 0 7880 7972 1 93 6.17e-44 168
"48" "transcript::Pocillopora_meandrina_HIv1___Sc0000021:4343945-4359207" "Cluster_5253::Pocillopora_meandrina_HIv1___Sc0000021:4351817-4351909(+)" 100 93 0 0 7872 7964 1 93 6.16e-44 168
"49" "transcript::Pocillopora_meandrina_HIv1___Sc0000021:4346471-4359207" "Cluster_5253::Pocillopora_meandrina_HIv1___Sc0000021:4351817-4351909(+)" 100 93 0 0 5346 5438 1 93 5.14e-44 168
"50" "transcript::Pocillopora_meandrina_HIv1___Sc0000021:4346968-4359207" "Cluster_5253::Pocillopora_meandrina_HIv1___Sc0000021:4351817-4351909(+)" 100 93 0 0 4849 4941 1 93 4.94e-44 168
"51" "transcript::Pocillopora_meandrina_HIv1___Sc0000024:4797252-4815862" "Cluster_5612::Pocillopora_meandrina_HIv1___Sc0000024:4808666-4808760(+)" 100 95 0 0 11414 11508 1 95 6.17e-45 172
"52" "transcript::Pocillopora_meandrina_HIv1___Sc0000024:4797853-4815862" "Cluster_5612::Pocillopora_meandrina_HIv1___Sc0000024:4808666-4808760(+)" 100 95 0 0 10813 10907 1 95 5.97e-45 172
"53" "transcript::Pocillopora_meandrina_HIv1___Sc0000026:1150884-1161746" "Cluster_5740::Pocillopora_meandrina_HIv1___Sc0000026:1154719-1154813(-)" 100 95 0 0 3835 3929 95 1 3.6e-45 172
