gene_name	GeneOntologyIDs
Peve_00000042	GO:0001784; GO:0005068; GO:0005091; GO:0005154; GO:0005168; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005794; GO:0005829; GO:0005886; GO:0005911; GO:0005938; GO:0007165; GO:0007173; GO:0007265; GO:0008180; GO:0008286; GO:0008543; GO:0012506; GO:0014044; GO:0016020; GO:0017124; GO:0019899; GO:0019901; GO:0019903; GO:0019904; GO:0030036; GO:0030674; GO:0030838; GO:0031623; GO:0032991; GO:0035987; GO:0042552; GO:0042770; GO:0042802; GO:0043408; GO:0043560; GO:0044877; GO:0046875; GO:0048009; GO:0048646; GO:0050853; GO:0051219; GO:0060670; GO:0070436; GO:0071479; GO:0098793; GO:2000379
Peve_00000044	GO:0005242; GO:0005886; GO:0006813; GO:0006936; GO:0008016; GO:0016020; GO:0034702; GO:0034765; GO:0051289; GO:1990573
Peve_00000045	GO:0005737; GO:0031514; GO:0036064
Peve_00000046	GO:0003924; GO:0005525; GO:0005654; GO:0005739; GO:0005829; GO:0016887
Peve_00000047	GO:0004324; GO:0005739; GO:0005743; GO:0005759; GO:0006091; GO:0006694; GO:0008203; GO:0015039; GO:0070995
Peve_00000048	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0035556
Peve_00000049	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0035556
Peve_00000050	GO:0005886; GO:0016497; GO:0061827; GO:0070472; GO:0097225; GO:1902093
Peve_00000052	GO:0005886; GO:0007186; GO:0008188; GO:0015629; GO:0031628; GO:0032870; GO:0042277; GO:0043408
Peve_00000053	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0032870; GO:0042277; GO:1901653
Peve_00000054	GO:0004966; GO:0005886; GO:0007188; GO:0007218
Peve_00000056	GO:0005886; GO:0007186; GO:0008188; GO:0015629; GO:0031628; GO:0032870; GO:0042277; GO:0043408
Peve_00000058	GO:0016020
Peve_00000060	GO:0001653; GO:0004016; GO:0004383; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0019934; GO:0038023
Peve_00000061	GO:0001503; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0007168; GO:0016941; GO:0017046; GO:0035556
Peve_00000063	GO:0000724; GO:0003677; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006268; GO:0009378; GO:0016853; GO:0016887; GO:0043138; GO:0046872
Peve_00000064	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007168; GO:0035556
Peve_00000066	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007166; GO:0007168; GO:0007589; GO:0008217; GO:0008528; GO:0010753; GO:0016525; GO:0016941; GO:0017046; GO:0019934; GO:0030308; GO:0035810; GO:0035815; GO:0042417; GO:0042562; GO:0043114; GO:0043235; GO:0048662; GO:0097746; GO:1990620
Peve_00000067	GO:0001764; GO:0005576; GO:0005604; GO:0005654; GO:0005737; GO:0005829; GO:0006915; GO:0006930; GO:0007097; GO:0007265; GO:0007409; GO:0007411; GO:0008045; GO:0008283; GO:0009887; GO:0009888; GO:0014009; GO:0015629; GO:0016358; GO:0030334; GO:0030517; GO:0030879; GO:0032488; GO:0033564; GO:0042472; GO:0045202; GO:0045773; GO:0051963; GO:0060252; GO:0060603; GO:0061643; GO:0062023; GO:0071944; GO:0097475; GO:0098609; GO:0098978; GO:1903975; GO:2000147
Peve_00000068	GO:0000149; GO:0005484; GO:0006886; GO:0006906; GO:0012505; GO:0031201; GO:0048278
Peve_00000069	GO:0016020
Peve_00000072	GO:0001996; GO:0002025; GO:0004940; GO:0005769; GO:0005886; GO:0071880
Peve_00000073	GO:0005829; GO:0007283; GO:0030552
Peve_00000075	GO:0002244; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0016607; GO:0048025; GO:1990825; GO:1990904
Peve_00000076	GO:0001558; GO:0005085; GO:0005765; GO:0005770; GO:0005886; GO:0008104; GO:0010008; GO:0010761; GO:0031902; GO:0032008; GO:0035579; GO:0038202; GO:0043410; GO:0060090; GO:0070821; GO:0071230; GO:0071986; GO:0150116; GO:1902414; GO:1904263; GO:1990877
Peve_00000077	GO:0005096; GO:0005543; GO:0005829; GO:0006887; GO:0007165; GO:0014069; GO:0030425; GO:0031256; GO:0031267; GO:0032956; GO:0035021; GO:0043087; GO:0043197; GO:0048786; GO:0050804; GO:0051056; GO:0051490; GO:0055037; GO:0061001; GO:0098886; GO:0098887; GO:0098978; GO:0099152
Peve_00000079	GO:0005310; GO:0005634; GO:0005654; GO:0005739; GO:0005743; GO:0006094; GO:0006811; GO:0006835; GO:0006869; GO:0008272; GO:0015116; GO:0015117; GO:0015131; GO:0015140; GO:0015141; GO:0015297; GO:0015709; GO:0015729; GO:0035435; GO:0046166; GO:0070221; GO:0071422; GO:0071423
Peve_00000080	GO:0001649; GO:0005615; GO:0009953; GO:0030514; GO:0051151; GO:0051216; GO:1902747
Peve_00000082	GO:0000462; GO:0005694; GO:0030515; GO:0032040; GO:0034388; GO:0042274
Peve_00000083	GO:0001649; GO:0005615; GO:0009953; GO:0030514; GO:0045596; GO:0051216
Peve_00000084	GO:0003127; GO:0005102; GO:0005245; GO:0005248; GO:0005261; GO:0005262; GO:0005267; GO:0005509; GO:0005789; GO:0005886; GO:0005929; GO:0007166; GO:0015271; GO:0016020; GO:0016055; GO:0016323; GO:0030659; GO:0034703; GO:0050982; GO:0051209; GO:0051262; GO:0051290; GO:0051371; GO:0060170; GO:0070588; GO:0071277; GO:0071805; GO:0098662
Peve_00000085	GO:0002943; GO:0017150; GO:0050660; GO:0102262; GO:0102263
Peve_00000090	GO:0016020
Peve_00000091	GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0006405; GO:0006406; GO:0008380; GO:0016607; GO:0062153
Peve_00000092	GO:0005879; GO:0005929; GO:0018095; GO:0030992; GO:0042073; GO:0120170
Peve_00000095	GO:0005737; GO:0005834; GO:0007200; GO:0007601; GO:0016028; GO:0030424; GO:0031681; GO:0050909
Peve_00000096	GO:0003756; GO:0003810; GO:0005783; GO:0005788; GO:0006457; GO:0016222; GO:0030968; GO:0034976; GO:0043412
Peve_00000097	GO:0005094; GO:0005096; GO:0005829; GO:0007266; GO:0016020; GO:0071526
Peve_00000098	
Peve_00000099	GO:0016020
Peve_00000100	GO:0006598; GO:0009505; GO:0016491; GO:0046208; GO:0046592; GO:0048046; GO:0050660; GO:0052893; GO:0052896; GO:0052897; GO:0052900
Peve_00000101	GO:0005085
Peve_00000102	GO:0003684; GO:0003905; GO:0005654; GO:0005829; GO:0006284; GO:0006307; GO:0008725; GO:0019104; GO:0042645; GO:0043916; GO:0045007; GO:0052821; GO:0052822
Peve_00000103	GO:0005634; GO:0005829; GO:0009691; GO:0016799; GO:0102682
Peve_00000104	GO:0005737; GO:0005829; GO:0016279; GO:0018023; GO:0032991; GO:0042054
Peve_00000106	GO:0005783; GO:0005789; GO:0016020; GO:0030424; GO:0030425
Peve_00000107	GO:0003723; GO:0003724; GO:0004386; GO:0005524; GO:0016887
Peve_00000108	GO:0001832; GO:0001833; GO:0005634; GO:0007566; GO:0031965; GO:0032039; GO:0034474; GO:0043066
Peve_00000110	GO:0000978; GO:0000981; GO:0005634; GO:0005667; GO:0006357; GO:0021983
Peve_00000113	GO:0002040; GO:0005634; GO:0005737; GO:0016055; GO:0016567; GO:0030515; GO:0032040; GO:0046983
Peve_00000114	GO:0000978; GO:0000981; GO:0001947; GO:0003146; GO:0005634; GO:0006357; GO:0007368; GO:0060088; GO:0060271
Peve_00000115	GO:0005737; GO:0005739; GO:0005876; GO:0008017; GO:0097431
Peve_00000116	GO:0005737; GO:0005739; GO:0005876; GO:0008017; GO:0097431
Peve_00000117	GO:0005576; GO:0006812; GO:0015267; GO:0042151; GO:0044218; GO:0046930; GO:0046931; GO:0051715; GO:0090729
Peve_00000118	GO:0005737; GO:0005739; GO:0005876; GO:0007052; GO:0008017; GO:0051315; GO:0097431
Peve_00000119	GO:0004935; GO:0004989; GO:0005886; GO:0007188; GO:0007189; GO:0016020; GO:0043410; GO:0045886; GO:0071880
Peve_00000120	GO:0004935; GO:0004989; GO:0005886; GO:0007188; GO:0007189; GO:0016020; GO:0043410; GO:0045886; GO:0071880
Peve_00000121	GO:0001042; GO:0001164; GO:0001181; GO:0001701; GO:0005634; GO:0005654; GO:0005730; GO:0006361; GO:0007000; GO:0007028; GO:0042254; GO:0045893; GO:0048144; GO:0048872; GO:0072332; GO:1902254; GO:2000142
Peve_00000123	GO:0004416; GO:0005739; GO:0005759; GO:0006749; GO:0019243; GO:0046872
Peve_00000126	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0032870; GO:0042277; GO:1901653
Peve_00000128	GO:0004989; GO:0005886; GO:0007186; GO:0007189; GO:0008227; GO:0016020; GO:0043410; GO:0071880
Peve_00000131	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0016020; GO:0032870; GO:0042277
Peve_00000133	GO:0005886; GO:0007186; GO:0007218; GO:0007631; GO:0016499; GO:0017046; GO:0032870; GO:0042277; GO:0051480; GO:0070374
Peve_00000134	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0016020; GO:0032870; GO:0042277
Peve_00000135	GO:0003400; GO:0003924; GO:0003925; GO:0005525; GO:0005765; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0016050; GO:0030127; GO:0032368; GO:0032580; GO:0042953; GO:0046872; GO:0048208; GO:0055088; GO:0061024; GO:0070863; GO:0070971; GO:0090110
Peve_00000136	GO:0001822; GO:0003146; GO:0005929; GO:0007368; GO:0007601; GO:0016055; GO:0048793; GO:0060026; GO:0060271; GO:0060972; GO:0070121; GO:0097543; GO:0097546
Peve_00000137	GO:0000902; GO:0001701; GO:0001750; GO:0005737; GO:0005856; GO:0005886; GO:0005929; GO:0007224; GO:0008406; GO:0030326; GO:0030991; GO:0031076; GO:0031514; GO:0032391; GO:0035721; GO:0042471; GO:0043113; GO:0048701; GO:0050877; GO:0055123; GO:0060271; GO:0060831; GO:0061055; GO:0061512; GO:0065003; GO:0097730; GO:1903441
Peve_00000138	GO:0005576; GO:0010508; GO:0016491
Peve_00000139	GO:0005886; GO:0007193; GO:0008502; GO:0042562; GO:0043235; GO:0097159
Peve_00000142	GO:0005290; GO:0005765; GO:0015031; GO:0015333; GO:0015647; GO:0015833; GO:0015835; GO:0031901; GO:0033023; GO:0034157; GO:0034161; GO:0034165; GO:0036020; GO:0042937; GO:0045087; GO:0045089; GO:0048302; GO:0070424; GO:0070430; GO:0070434; GO:0071916; GO:0140206
Peve_00000146	GO:0005018; GO:0005524; GO:0005794; GO:0005886; GO:0005929; GO:0006935; GO:0043235; GO:0048407; GO:0048701
Peve_00000147	GO:0007605; GO:0032420
Peve_00000148	GO:0001409; GO:0005524; GO:0005730; GO:0005794; GO:0005886; GO:0006855; GO:0008559; GO:0015132; GO:0015143; GO:0015431; GO:0015432; GO:0015562; GO:0015665; GO:0015721; GO:0015732; GO:0015747; GO:0015850; GO:0016020; GO:0016323; GO:0016324; GO:0016887; GO:0031088; GO:0032310; GO:0034634; GO:0042626; GO:0042910; GO:0048661; GO:0055085; GO:0060271; GO:0070730; GO:0071716; GO:0098591; GO:0140115; GO:1901571
Peve_00000149	GO:0000055; GO:0005730; GO:0015031; GO:0042273
Peve_00000150	GO:0046872; GO:0051213
Peve_00000151	GO:0046872; GO:0051213
Peve_00000155	GO:0000287; GO:0005524; GO:0005886; GO:0008270; GO:0009860; GO:0010286; GO:0012505; GO:0015914; GO:0016887; GO:0140326; GO:1905038
Peve_00000159	GO:0005096; GO:0005634; GO:0005886; GO:0006979; GO:0030659; GO:0042995; GO:0098793
Peve_00000160	GO:0005085; GO:0005096; GO:0005737; GO:0005829; GO:0005886; GO:0007264; GO:0017124; GO:0031267; GO:0048011; GO:0051056
Peve_00000162	GO:0000981; GO:0005634; GO:0006357; GO:0043565; GO:0071425
Peve_00000164	GO:0005634; GO:0035575; GO:0046872
Peve_00000165	GO:0004222; GO:0006508; GO:0008270
Peve_00000174	GO:0003413; GO:0005509; GO:0005615; GO:0007165; GO:0008289; GO:0009986; GO:0019897; GO:0042802; GO:0045669; GO:0045778; GO:0045880; GO:0097108; GO:1902732
Peve_00000175	
Peve_00000178	GO:0004792; GO:0005524; GO:0005737; GO:0005829; GO:0006535; GO:0008146; GO:0008641; GO:0009274; GO:0016020; GO:0016779; GO:0016782; GO:0019344; GO:0042783
Peve_00000179	GO:0000139; GO:0001937; GO:0005634; GO:0005901; GO:0005925; GO:0006906; GO:0007005; GO:0007029; GO:0008286; GO:0019901; GO:0031410; GO:0031748; GO:0042383; GO:0043410; GO:0044853; GO:0048278; GO:0048471; GO:0048741; GO:0051480; GO:0060090; GO:0060161; GO:0070836
Peve_00000180	GO:0000139; GO:0001937; GO:0005634; GO:0005901; GO:0005925; GO:0006906; GO:0007005; GO:0007029; GO:0008286; GO:0019901; GO:0031410; GO:0031748; GO:0042383; GO:0043410; GO:0044853; GO:0048278; GO:0048471; GO:0048741; GO:0051480; GO:0060090; GO:0060161; GO:0070836
Peve_00000183	GO:0000139; GO:0001937; GO:0005768; GO:0005794; GO:0005901; GO:0008142; GO:0016050; GO:0019901; GO:0030154; GO:0031295; GO:0031410; GO:0031623; GO:0044325; GO:0044860; GO:0048471; GO:0051480; GO:0060090; GO:0070382; GO:0070836; GO:1903361
Peve_00000184	GO:0001558; GO:0005634; GO:0005737; GO:0005819; GO:0006302; GO:0008432; GO:0016035; GO:0033138; GO:0042177; GO:0042772; GO:0045893; GO:0051301; GO:1904667
Peve_00000185	GO:0005502; GO:0005886; GO:0007186; GO:0007601; GO:0007602; GO:0007634; GO:0008020; GO:0016020; GO:0030424; GO:0030425; GO:0042752; GO:0043052; GO:0043204; GO:0048511; GO:0050960; GO:0060041; GO:0071482; GO:1990384; GO:1990913
Peve_00000186	GO:0000122; GO:0000287; GO:0003170; GO:0003279; GO:0003281; GO:0004115; GO:0004118; GO:0005634; GO:0005737; GO:0005739; GO:0005741; GO:0005743; GO:0005759; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0007193; GO:0007507; GO:0008270; GO:0010628; GO:0010749; GO:0010752; GO:0010754; GO:0010821; GO:0019933; GO:0019934; GO:0030424; GO:0030425; GO:0030552; GO:0030553; GO:0030911; GO:0035556; GO:0035904; GO:0036004; GO:0036006; GO:0042301; GO:0042734; GO:0042802; GO:0042803; GO:0043116; GO:0043117; GO:0043949; GO:0043951; GO:0046069; GO:0047555; GO:0048471; GO:0050729; GO:0060976; GO:0061028; GO:0071222; GO:0071260; GO:0071320; GO:0071321; GO:0071560; GO:0090324; GO:0097011; GO:0097060; GO:0097457; GO:1904613; GO:1904880
Peve_00000187	GO:0005886; GO:0007200; GO:0007218; GO:0007268; GO:0007631; GO:0008188; GO:0010840; GO:0016499; GO:0017046; GO:0022410; GO:0032870; GO:0040011; GO:0042277; GO:0045202; GO:0051480
Peve_00000189	GO:0005886; GO:0007186; GO:0008188; GO:0015629; GO:0031628; GO:0032870; GO:0042277; GO:0043408
Peve_00000193	GO:0004930; GO:0004983; GO:0005886; GO:0007186; GO:0032870; GO:0042277; GO:1901653
Peve_00000195	GO:0004842; GO:0005737; GO:0005827; GO:0016567; GO:0031463; GO:0032465; GO:0035853; GO:0051301; GO:0097602
Peve_00000196	GO:0005886; GO:0008502
Peve_00000197	GO:0000149; GO:0001662; GO:0004970; GO:0005234; GO:0005886; GO:0006874; GO:0007215; GO:0007268; GO:0015277; GO:0019228; GO:0030165; GO:0031624; GO:0031625; GO:0032839; GO:0032983; GO:0035249; GO:0042734; GO:0042802; GO:0043113; GO:0043195; GO:0043204; GO:0043524; GO:0043525; GO:0046328; GO:0048169; GO:0048172; GO:0050804; GO:0050806; GO:0051402; GO:0051967; GO:0060080; GO:0097110; GO:0097471; GO:0098686; GO:0098815; GO:0098839; GO:0098978; GO:0099171; GO:0099507; GO:0120169; GO:1904315
Peve_00000198	
Peve_00000199	GO:0004970; GO:0004971; GO:0005886; GO:0007268; GO:0008328; GO:0014069; GO:0030425; GO:0032281; GO:0032983; GO:0034392; GO:0035249; GO:0042802; GO:0043025; GO:0043195; GO:0043197; GO:0045202; GO:0048787; GO:0050803; GO:0050804; GO:0051968; GO:0060992; GO:0098839; GO:0098978; GO:0099507; GO:1904315
Peve_00000200	GO:0001932; GO:0004862; GO:0005829; GO:0005952; GO:0030552; GO:0034236
Peve_00000205	GO:0005886; GO:0015250
Peve_00000206	GO:0001932; GO:0005747; GO:0007420; GO:0008137; GO:0022900; GO:0032981; GO:0045333; GO:0048146; GO:0051591; GO:0072593
Peve_00000207	GO:0003779; GO:0005737; GO:0005802; GO:0005829; GO:0006895; GO:0015031; GO:0016567; GO:0016605; GO:0019964; GO:0030424; GO:0030425; GO:0031463; GO:0043066; GO:0043161; GO:0048471; GO:1990390
Peve_00000208	GO:0004115; GO:0004118; GO:0006935; GO:0007602; GO:0007635; GO:0008340; GO:0010446; GO:0010628; GO:0010754; GO:0019933; GO:0032528; GO:0042542; GO:0046872; GO:0047555
Peve_00000209	GO:0000278; GO:0000902; GO:0001650; GO:0001935; GO:0002021; GO:0002244; GO:0002526; GO:0002536; GO:0004771; GO:0005654; GO:0005764; GO:0005829; GO:0006006; GO:0006096; GO:0006631; GO:0006641; GO:0006695; GO:0006754; GO:0006776; GO:0006897; GO:0007005; GO:0007040; GO:0007264; GO:0008333; GO:0008340; GO:0009409; GO:0009410; GO:0010467; GO:0010878; GO:0016042; GO:0016125; GO:0016298; GO:0030099; GO:0030217; GO:0030324; GO:0030421; GO:0031929; GO:0033028; GO:0033189; GO:0033344; GO:0034383; GO:0035726; GO:0042098; GO:0042159; GO:0043202; GO:0043231; GO:0048536; GO:0048539; GO:0048771; GO:0048873; GO:0050862; GO:0051881; GO:0055088; GO:0060612; GO:0060837; GO:0061519; GO:0070231; GO:0070341; GO:0071830; GO:0071838; GO:0072576; GO:0097384; GO:0140354; GO:0140962; GO:1901355; GO:1903409; GO:1990845
Peve_00000210	GO:0001701; GO:0005783; GO:0005789; GO:0005791; GO:0005886; GO:0006465; GO:0008233; GO:0009986; GO:0031625; GO:0033619; GO:0036513; GO:0042500; GO:0042803; GO:0098553; GO:0098554; GO:1904211
Peve_00000215	GO:0001527; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0008201; GO:0009653; GO:0031012
Peve_00000218	GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0010033; GO:0014070; GO:0015267; GO:0015278; GO:0019233; GO:0032421; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070588; GO:0071310; GO:0097604
Peve_00000220	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0007369; GO:0016055; GO:0030154; GO:0045944
Peve_00000221	GO:0000228; GO:0000287; GO:0000712; GO:0000775; GO:0000793; GO:0000819; GO:0001673; GO:0002244; GO:0003677; GO:0003682; GO:0003916; GO:0003918; GO:0005080; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005814; GO:0006265; GO:0006266; GO:0006974; GO:0007059; GO:0007143; GO:0008301; GO:0009330; GO:0030261; GO:0030263; GO:0040016; GO:0042752; GO:0042803; GO:0043065; GO:0043130; GO:0043565; GO:0045870; GO:0045944; GO:0046982; GO:0048511; GO:0051309; GO:1905463; GO:1990904
Peve_00000222	GO:0003924; GO:0005525; GO:0005802; GO:0005829; GO:0006886; GO:0007369; GO:0016020; GO:0034067; GO:0042147; GO:0043001
Peve_00000224	GO:0004714; GO:0005524; GO:0005886; GO:0007169; GO:0042127; GO:0043235; GO:0043410; GO:0045664; GO:0050769
Peve_00000225	GO:0004181; GO:0005794; GO:0005814; GO:0005829; GO:0006508; GO:0008270; GO:0008285; GO:0015631; GO:0021954; GO:0035608; GO:0035609; GO:0035610; GO:0036064; GO:0051607; GO:0098930; GO:0098957; GO:0098958; GO:0120222; GO:1904115; GO:2000060
Peve_00000226	GO:0006886; GO:0007188; GO:0017156; GO:0017157; GO:0030073; GO:0030154; GO:0031267; GO:0042391; GO:0042734; GO:0042995; GO:0044325; GO:0046872; GO:0048167; GO:0048786; GO:0048788; GO:0048791; GO:0050806; GO:0061669; GO:0070062; GO:0097151; GO:1903861; GO:2000300; GO:2000463
Peve_00000227	GO:0007155; GO:0016020
Peve_00000229	GO:0001540; GO:0001919; GO:0004970; GO:0004971; GO:0005886; GO:0014069; GO:0016020; GO:0022849; GO:0030425; GO:0032279; GO:0032281; GO:0032991; GO:0035249; GO:0042734; GO:0043025; GO:0043083; GO:0043195; GO:0043197; GO:0043198; GO:0043204; GO:0045211; GO:0048787; GO:0050804; GO:0051289; GO:0051290; GO:0060291; GO:0098688; GO:0098839; GO:0098978; GO:0099507; GO:1904315
Peve_00000230	GO:0005509; GO:0005615; GO:0007165; GO:0009897; GO:0009986; GO:0042802; GO:0045880
Peve_00000231	GO:0001527; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0008201; GO:0009653; GO:0031012
Peve_00000235	GO:0000139; GO:0004864; GO:0005576; GO:0018279; GO:0030144; GO:0030145; GO:0030335; GO:1904894
Peve_00000236	GO:0008270; GO:0016567; GO:0061630
Peve_00000237	GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0106310
Peve_00000239	GO:0004115; GO:0004117; GO:0005516; GO:0005764; GO:0005929; GO:0007608; GO:0019933; GO:0030552; GO:0043025; GO:0046872; GO:0047555; GO:0048101; GO:0051592; GO:0061179
Peve_00000240	GO:0000139; GO:0004864; GO:0005794; GO:0006487; GO:0016020; GO:0018279; GO:0019082; GO:0030144; GO:0030145; GO:0030335; GO:0070062; GO:1903614; GO:1904894
Peve_00000241	GO:0005737; GO:0036064; GO:0044458
Peve_00000242	GO:0000785; GO:0005576; GO:0005635; GO:0005793; GO:0005813; GO:0005829; GO:0008104; GO:0009838; GO:0015031; GO:0019076; GO:0019904; GO:0030496; GO:0035578; GO:0036258; GO:0042802; GO:0043231; GO:0044877; GO:0045184; GO:0045296; GO:0045862; GO:0046745; GO:0048668; GO:0048672; GO:0051301; GO:0061640; GO:0070062; GO:0090541; GO:0090543; GO:1904903
