"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"111",111,"Cluster_1167","Porites_evermani_scaffold_110:194724-220248",150,-20.48,2,19,14629,14648,17,"76.47%","82.35%","Peve_00001859",0.999909726776791,0.00855416971793915,0.573710369894872,"Q90WN7","Synaptonemal complex protein 2-like (SCP-2-like) (145 kDa nucleolar protein)","Xenopus laevis (African clawed frog)","","GO:0000775; GO:0005730"
"121",121,"Cluster_1167","Porites_evermani_scaffold_1117:100998-113772",143,-22.64,2,12,6428,6449,10,"80.00%","90.00%","Peve_00002111",0.999909726776791,0.00855416971793389,0.573710369894872,"Q498D6","Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)","Rattus norvegicus (Rat)","alveolar secondary septum development [GO:0061144]; cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; fibroblast growth factor receptor signaling pathway [GO:0008543]; glucose homeostasis [GO:0042593]; lung development [GO:0030324]; negative regulation of fibroblast growth factor production [GO:0090272]; negative regulation of gene expression [GO:0010629]; organ induction [GO:0001759]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphate ion homeostasis [GO:0055062]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of kinase activity [GO:0033674]; positive regulation of parathyroid hormone secretion [GO:2000830]; positive regulation of proteolysis [GO:0045862]; protein autophosphorylation [GO:0046777]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of lipid metabolic process [GO:0019216]; regulation of phosphate transport [GO:0010966]; regulation of phosphorus metabolic process [GO:0051174]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vitamin D3 metabolic process [GO:0070640]","GO:0001759; GO:0004714; GO:0005007; GO:0005524; GO:0005768; GO:0005783; GO:0005794; GO:0005886; GO:0005911; GO:0007169; GO:0008201; GO:0008284; GO:0008543; GO:0010628; GO:0010629; GO:0010715; GO:0010966; GO:0016477; GO:0017134; GO:0018108; GO:0019216; GO:0030133; GO:0030324; GO:0033674; GO:0042593; GO:0042632; GO:0043085; GO:0043235; GO:0045862; GO:0046777; GO:0051174; GO:0055062; GO:0061144; GO:0070374; GO:0070640; GO:0070857; GO:0090272; GO:2000573; GO:2000830"
"122",122,"Cluster_1167","Porites_evermani_scaffold_1119:63465-82833",156,-24.16,2,20,18683,18702,18,"72.22%","83.33%","Peve_00002130",0.999909726776791,0.00855416971793389,0.573710369894872,"Q20191","Zinc metalloproteinase nas-13 (EC 3.4.24.-) (Nematode astacin 13)","Caenorhabditis elegans","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0006508; GO:0008270"
"132",132,"Cluster_1167","Porites_evermani_scaffold_1128:3358-23196",144,-20.32,2,21,15594,15618,23,"69.57%","69.57%","Peve_00002245",0.999909726776791,0.00855416971793915,0.573710369894872,NA,NA,NA,NA,NA
"135",135,"Cluster_1167","Porites_evermani_scaffold_11:371284-415897",147,-22.24,2,21,2285,2308,21,"61.90%","71.43%","Peve_00001844",0.999712456515832,0.0152671261208546,0.747661024355386,"P35559","Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin)","Rattus norvegicus (Rat)","amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta metabolic process [GO:0050435]; antigen processing and presentation of endogenous peptide antigen via MHC class I [GO:0019885]; bradykinin catabolic process [GO:0010815]; determination of adult lifespan [GO:0008340]; hormone catabolic process [GO:0042447]; insulin catabolic process [GO:1901143]; insulin metabolic process [GO:1901142]; insulin receptor recycling [GO:0038020]; negative regulation of proteolysis [GO:0045861]; peptide catabolic process [GO:0043171]; positive regulation of protein binding [GO:0032092]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of aerobic respiration [GO:1903715]; response to oxidative stress [GO:0006979]; ubiquitin recycling [GO:0010992]","GO:0001540; GO:0004175; GO:0004222; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0006508; GO:0006979; GO:0008233; GO:0008270; GO:0008340; GO:0009897; GO:0009986; GO:0010815; GO:0010992; GO:0016323; GO:0016887; GO:0017046; GO:0019885; GO:0030163; GO:0031597; GO:0031626; GO:0031904; GO:0032092; GO:0038020; GO:0042277; GO:0042447; GO:0042802; GO:0042803; GO:0043171; GO:0043559; GO:0044877; GO:0045861; GO:0050435; GO:0051603; GO:0070062; GO:0097242; GO:0140036; GO:0150094; GO:1901142; GO:1901143; GO:1903715"
"162",162,"Cluster_1167","Porites_evermani_scaffold_1184:86928-113868",156,-24.94,2,21,22156,22177,19,"63.16%","78.95%","Peve_00003099",0.998614570448091,0.0335148667827687,0.909359886114279,"P35546","Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]","Mus musculus (Mouse)","activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; anatomical structure morphogenesis [GO:0009653]; cellular response to retinoic acid [GO:0071300]; embryonic epithelial tube formation [GO:0001838]; enteric nervous system development [GO:0048484]; glial cell-derived neurotrophic factor receptor signaling pathway [GO:0035860]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; innervation [GO:0060384]; MAPK cascade [GO:0000165]; membrane protein proteolysis [GO:0033619]; nervous system development [GO:0007399]; neural crest cell migration [GO:0001755]; neuron cell-cell adhesion [GO:0007158]; neuron differentiation [GO:0030182]; neuron maturation [GO:0042551]; Peyer's patch morphogenesis [GO:0061146]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of cell size [GO:0045793]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of gene expression [GO:0010628]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of metanephric glomerulus development [GO:0072300]; positive regulation of neuron maturation [GO:0014042]; positive regulation of neuron projection development [GO:0010976]; positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of axonogenesis [GO:0050770]; regulation of cell adhesion [GO:0030155]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; retina development in camera-type eye [GO:0060041]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; ureter maturation [GO:0035799]; ureteric bud development [GO:0001657]","GO:0000165; GO:0001657; GO:0001755; GO:0001838; GO:0004714; GO:0005509; GO:0005524; GO:0005769; GO:0005886; GO:0006919; GO:0007156; GO:0007158; GO:0007169; GO:0007399; GO:0009410; GO:0009653; GO:0010008; GO:0010628; GO:0010976; GO:0014042; GO:0030155; GO:0030182; GO:0030335; GO:0030424; GO:0030425; GO:0033141; GO:0033619; GO:0033630; GO:0033674; GO:0035799; GO:0035860; GO:0042551; GO:0043025; GO:0043235; GO:0043410; GO:0045121; GO:0045793; GO:0045893; GO:0048265; GO:0048484; GO:0050770; GO:0051897; GO:0060041; GO:0060384; GO:0061146; GO:0071300; GO:0072300; GO:0098797; GO:2001241"
"173",173,"Cluster_1167","Porites_evermani_scaffold_120:12742-33522",150,-23.47,2,15,5196,5217,13,"76.92%","84.62%","Peve_00003388",0.999335236615113,0.0232141468595536,0.847368488701098,NA,NA,NA,NA,NA
"174",174,"Cluster_1167","Porites_evermani_scaffold_120:12742-33522",154,-26.19,2,21,728,748,19,"68.42%","78.95%","Peve_00003388",0.999335236615113,0.0232141468595536,0.847368488701098,NA,NA,NA,NA,NA
"193",193,"Cluster_1167","Porites_evermani_scaffold_123:44906-53696",165,-25.62,2,20,1942,1962,18,"77.78%","88.89%","Peve_00003793",0.999909726776791,0.00855416971793915,0.573710369894872,"Q96KE9","BTB/POZ domain-containing protein 6 (Lens BTB domain protein)","Homo sapiens (Human)","neurogenesis [GO:0022008]","GO:0005829; GO:0022008"
"206",206,"Cluster_1167","Porites_evermani_scaffold_126:221058-228838",146,-22.27,2,20,1398,1421,20,"65.00%","70.00%","Peve_00004232",0.999909726776791,0.00855416971793915,0.573710369894872,"Q8BG58","Transmembrane prolyl 4-hydroxylase (P4H-TM) (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 4) (HIF-PH4) (HIF-prolyl hydroxylase 4) (HPH-4)","Mus musculus (Mouse)","peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; regulation of erythrocyte differentiation [GO:0045646]","GO:0004656; GO:0005506; GO:0005509; GO:0005783; GO:0005789; GO:0016706; GO:0018401; GO:0031418; GO:0045646"
"212",212,"Cluster_1167","Porites_evermani_scaffold_1281:72035-90441",152,-21.93,2,17,7785,7806,15,"73.33%","80.00%","Peve_00004514",0.999306288894562,0.0237142587257691,0.852510803297052,"Q12830","Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)","Homo sapiens (Human)","anterior/posterior pattern specification [GO:0009952]; brain development [GO:0007420]; chromatin remodeling [GO:0006338]; embryonic placenta development [GO:0001892]; endoderm development [GO:0007492]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000122; GO:0000785; GO:0000978; GO:0001892; GO:0005634; GO:0005654; GO:0005737; GO:0006338; GO:0006355; GO:0006357; GO:0007420; GO:0007492; GO:0009952; GO:0016589; GO:0035064; GO:0043565; GO:0045944; GO:0046872; GO:0070062; GO:1904949"
"241",241,"Cluster_1167","Porites_evermani_scaffold_1321:96983-107255",141,-22.16,2,14,7167,7188,12,"75.00%","75.00%","Peve_00005112",0.999914846341146,0.00830806449585902,0.573710369894872,NA,NA,NA,NA,NA
"244",244,"Cluster_1167","Porites_evermani_scaffold_13:349130-362704",159,-25.08,2,21,8716,8738,20,"70.00%","80.00%","Peve_00004764",0.999909726776791,0.00855416971794441,0.573710369894872,"O43854","EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)","Homo sapiens (Human)","cell adhesion [GO:0007155]; positive regulation of cell-substrate adhesion [GO:0010811]","GO:0005178; GO:0005509; GO:0007155; GO:0010811; GO:0062023; GO:0070062; GO:1903561"
"245",245,"Cluster_1167","Porites_evermani_scaffold_133:54281-61849",152,-22.04,2,19,1775,1795,17,"76.47%","76.47%","Peve_00005214",0.999909726776791,0.00855416971792863,0.573710369894872,"P21804","Fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (Tyrosine kinase receptor CEK1)","Gallus gallus (Chicken)","epicardial cell to mesenchymal cell transition [GO:0003347]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of phospholipase C activity [GO:0010863]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","GO:0003347; GO:0004714; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0008201; GO:0008284; GO:0010863; GO:0017134; GO:0018108; GO:0031410; GO:0033674; GO:0043235; GO:0043406; GO:0045597; GO:0045893"
"246",246,"Cluster_1167","Porites_evermani_scaffold_133:54281-61849",156,-25.71,2,19,2214,2241,23,"73.91%","73.91%","Peve_00005214",0.999909726776791,0.00855416971792863,0.573710369894872,"P21804","Fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (Tyrosine kinase receptor CEK1)","Gallus gallus (Chicken)","epicardial cell to mesenchymal cell transition [GO:0003347]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of phospholipase C activity [GO:0010863]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","GO:0003347; GO:0004714; GO:0005007; GO:0005524; GO:0005634; GO:0005829; GO:0005886; GO:0007169; GO:0008201; GO:0008284; GO:0010863; GO:0017134; GO:0018108; GO:0031410; GO:0033674; GO:0043235; GO:0043406; GO:0045597; GO:0045893"
"260",260,"Cluster_1167","Porites_evermani_scaffold_137:133620-191883",147,-20.66,2,20,55833,55852,18,"72.22%","77.78%","Peve_00005762",0.998589476055448,0.033817104073598,0.909359886114279,"A1L3F5","C-Maf-inducing protein (c-Mip)","Xenopus laevis (African clawed frog)","","GO:0005634; GO:0005737"
"266",266,"Cluster_1167","Porites_evermani_scaffold_1382:47094-99820",152,-23.21,2,13,41063,41084,11,"90.91%","90.91%","Peve_00005941",0.999909726776791,0.00855416971793915,0.573710369894872,NA,NA,NA,NA,NA
"267",267,"Cluster_1167","Porites_evermani_scaffold_1382:4803-17713",150,-22.13,2,19,11775,11796,17,"70.59%","70.59%","Peve_00005937",0.998112144659499,0.0391244120935113,0.909359886114279,"Q9Y253","DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)","Homo sapiens (Human)","cellular response to UV-C [GO:0071494]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; pyrimidine dimer repair [GO:0006290]; regulation of DNA repair [GO:0006282]; response to radiation [GO:0009314]; response to UV-C [GO:0010225]","GO:0000731; GO:0003684; GO:0003887; GO:0005634; GO:0005654; GO:0005657; GO:0005829; GO:0006260; GO:0006281; GO:0006282; GO:0006290; GO:0009314; GO:0010225; GO:0035861; GO:0042276; GO:0046872; GO:0070987; GO:0071494"
"268",268,"Cluster_1167","Porites_evermani_scaffold_1382:4803-17713",151,-26.36,2,21,8314,8332,19,"73.68%","78.95%","Peve_00005937",0.998112144659499,0.0391244120935113,0.909359886114279,"Q9Y253","DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)","Homo sapiens (Human)","cellular response to UV-C [GO:0071494]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; pyrimidine dimer repair [GO:0006290]; regulation of DNA repair [GO:0006282]; response to radiation [GO:0009314]; response to UV-C [GO:0010225]","GO:0000731; GO:0003684; GO:0003887; GO:0005634; GO:0005654; GO:0005657; GO:0005829; GO:0006260; GO:0006281; GO:0006282; GO:0006290; GO:0009314; GO:0010225; GO:0035861; GO:0042276; GO:0046872; GO:0070987; GO:0071494"
"276",276,"Cluster_1167","Porites_evermani_scaffold_1399:52672-62073",140,-24.54,2,9,8551,8572,7,"100.00%","100.00%","Peve_00006147",0.998797149089736,0.031228028253816,0.903929377050813,"Q2KIH4","Ribosome biogenesis regulatory protein homolog","Bos taurus (Bovine)","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; mitotic metaphase plate congression [GO:0007080]; protein localization to nucleolus [GO:1902570]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]","GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0005730; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570"
"281",281,"Cluster_1167","Porites_evermani_scaffold_1410:23308-33492",143,-20.62,2,15,9801,9820,13,"76.92%","84.62%","Peve_00006405",0.998249339248832,0.0376755410016539,0.909359886114279,NA,NA,NA,NA,NA
"298",298,"Cluster_1167","Porites_evermani_scaffold_144:231118-266564",151,-24.15,2,12,17771,17792,10,"90.00%","100.00%","Peve_00006734",0.997186132942251,0.0477692913024595,0.94460944882157,NA,NA,NA,NA,NA
"317",317,"Cluster_1167","Porites_evermani_scaffold_1472:99423-121953",140,-20.94,2,9,432,453,7,"100.00%","100.00%","Peve_00007130",0.998360755174564,0.0364566178277266,0.909359886114279,"Q9Y2H9","Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)","Homo sapiens (Human)","brain development [GO:0007420]; cytoskeleton organization [GO:0007010]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]","GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0005856; GO:0005886; GO:0006468; GO:0007010; GO:0007420; GO:0008017; GO:0018105; GO:0030424; GO:0030425; GO:0035556; GO:0043005; GO:0043025; GO:0106310"
"330",330,"Cluster_1167","Porites_evermani_scaffold_1491:82833-107804",153,-24.31,2,15,21935,21957,14,"85.71%","85.71%","Peve_00007364",0.998367533584612,0.036381143649436,0.909359886114279,"P84039","Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)","Rattus norvegicus (Rat)","cell communication [GO:0007154]","GO:0000210; GO:0005886; GO:0007154; GO:0008270; GO:0016020"
"341",341,"Cluster_1167","Porites_evermani_scaffold_1511:103980-121538",150,-25.62,2,19,212,233,17,"64.71%","76.47%","Peve_00007688",0.99996576416501,0.0052678915078678,0.551398425649056,NA,NA,NA,NA,NA
"358",358,"Cluster_1167","Porites_evermani_scaffold_1539:47953-117642",158,-24.51,2,21,1933,1956,21,"71.43%","80.95%","Peve_00007969",0.999363808240768,0.0227097402921709,0.840566722266011,"P46023","G-protein coupled receptor GRL101","Lymnaea stagnalis (Great pond snail) (Helix stagnalis)","","GO:0004930; GO:0005886"
"370",370,"Cluster_1167","Porites_evermani_scaffold_1557:103274-118663",146,-20.57,2,16,8765,8788,16,"75.00%","75.00%","Peve_00008195",0.999909726776791,0.00855416971793389,0.573710369894872,NA,NA,NA,NA,NA
"371",371,"Cluster_1167","Porites_evermani_scaffold_1562:103818-108216",150,-25.93,2,21,1551,1571,19,"68.42%","73.68%","Peve_00008266",0.999909726776791,0.00855416971793915,0.573710369894872,NA,NA,NA,NA,NA
"372",372,"Cluster_1167","Porites_evermani_scaffold_1570:18614-21383",147,-22.99,2,20,493,511,18,"72.22%","72.22%","Peve_00008387",0.999946883222669,0.0065616475953019,0.573710369894872,"P35384","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (BoPCaR1) (PCaR1)","Bos taurus (Bovine)","calcium ion import [GO:0070509]; calcium ion transport [GO:0006816]; cellular calcium ion homeostasis [GO:0006874]; detection of calcium ion [GO:0005513]; G protein-coupled receptor signaling pathway [GO:0007186]; JNK cascade [GO:0007254]; ossification [GO:0001503]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; regulation of calcium ion transport [GO:0051924]; vasodilation [GO:0042311]","GO:0001503; GO:0004930; GO:0005509; GO:0005513; GO:0005886; GO:0006816; GO:0006874; GO:0007186; GO:0007254; GO:0008284; GO:0010628; GO:0016597; GO:0032781; GO:0042311; GO:0042803; GO:0043679; GO:0051924; GO:0070509"
"386",386,"Cluster_1167","Porites_evermani_scaffold_160:4740-62493",144,-23.14,2,21,43794,43815,19,"57.89%","68.42%","Peve_00008820",0.998248244852637,0.0376873187172547,0.909359886114279,"Q969X6","U3 small nucleolar RNA-associated protein 4 homolog (Cirhin) (UTP4 small subunit processome component)","Homo sapiens (Human)","maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of DNA-templated transcription [GO:0006355]","GO:0000462; GO:0001650; GO:0003723; GO:0005654; GO:0005694; GO:0005730; GO:0006355; GO:0030490; GO:0030686; GO:0032040; GO:0034455"
"387",387,"Cluster_1167","Porites_evermani_scaffold_1613:30495-39446",150,-21.16,2,11,6106,6127,9,"100.00%","100.00%","Peve_00008998",-0.997353015680191,0.0463304639479773,0.937216290033208,NA,NA,NA,NA,NA
"392",392,"Cluster_1167","Porites_evermani_scaffold_1632:79867-83735",143,-20.44,2,21,2547,2569,20,"60.00%","70.00%","Peve_00009220",0.999909726776791,0.00855416971793915,0.573710369894872,NA,NA,NA,NA,NA
"393",393,"Cluster_1167","Porites_evermani_scaffold_1633:90128-94145",142,-22.87,2,17,1297,1325,22,"68.18%","68.18%","Peve_00009226",0.99883535025456,0.0307280462571865,0.903929377050813,NA,NA,NA,NA,NA
