"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","given_miRNA_name"
"Cluster_18728","FUN_022994",0.0931818687097166,0.881529077429151,0.998649612991003,143,-22.64,"2 12","243 264",10,"80.00%","90.00%","3UTR","apul-mir-100"
"Cluster_1951","FUN_012148",-0.749613034886426,0.144619610809357,0.998649612991003,171,-20.48,"2 21","680 703",21,"76.19%","85.71%","3UTR","apul-mir-novel-3"
"Cluster_5981","FUN_012147",0.677352537556959,0.209026618350687,0.998649612991003,168,-28.4,"2 22","109 132",21,"71.43%","85.71%","3UTR","apul-mir-novel-9"
"Cluster_18728","FUN_011050",0.0809170724326444,0.897085723474687,0.998649612991003,157,-26.06,"2 16","690 710",14,"85.71%","92.86%","3UTR","apul-mir-100"
"Cluster_3250","FUN_005144",-0.294876168865974,0.630066258134949,0.998649612991003,176,-24.67,"2 21","886 907",19,"78.95%","89.47%","3UTR","apul-mir-novel-21"
"Cluster_15340","FUN_009542",0.164908820986767,0.790987167273334,0.998649612991003,165,-21.28,"2 20","376 396",18,"83.33%","83.33%","3UTR","apul-mir-novel-19"
"Cluster_17776","FUN_009545",0.185479658457039,0.765201129708606,0.998649612991003,157,-26.99,"2 14","930 951",12,"83.33%","100.00%","3UTR","apul-mir-novel-7"
"Cluster_1862","FUN_022430",0.0370903213695475,0.952785966151581,0.998649612991003,171,-25.31,"2 23","719 745",24,"75.00%","87.50%","3UTR","apul-mir-novel-5"
"Cluster_10093","FUN_022430",0.115478970818314,0.853295053696592,0.998649612991003,169,-20.25,"2 19","260 282",18,"83.33%","88.89%","3UTR","apul-mir-novel-20"
"Cluster_1862","FUN_039839",-0.561615998222225,0.324535231329676,0.998649612991003,161,-20.32,"2 23","427 451",22,"68.18%","77.27%","3UTR","apul-mir-novel-5"
"Cluster_2463","FUN_022437",-0.0170510644380411,0.978290962517765,0.998649612991003,180,-26.6,"2 21","113 134",19,"84.21%","89.47%","3UTR","apul-mir-novel-13"
"Cluster_5981","FUN_024771",-0.688363119666309,0.198785122160962,0.998649612991003,153,-21.02,"2 20","779 805",22,"68.18%","77.27%","3UTR","apul-mir-novel-9"
"Cluster_2859","FUN_030689",0.136261579937961,0.827044755615098,0.998649612991003,161,-22.5,"2 22","848 870",20,"70.00%","75.00%","3UTR","apul-mir-9425"
"Cluster_15775","FUN_030689",-0.147202824000102,0.81325463379524,0.998649612991003,177,-20.17,"2 19","788 811",18,"88.89%","94.44%","3UTR","apul-mir-novel-33"
"Cluster_10057","FUN_030682",-0.071044456556782,0.909619540024681,0.998649612991003,157,-20.06,"2 21","39 58",19,"73.68%","78.95%","3UTR","apul-mir-2028"
"Cluster_5899","FUN_038057",-0.232524265976981,0.706630839478583,0.998649612991003,146,-20.24,"2 21","61 87",24,"62.50%","70.83%","3UTR","apul-mir-novel-30"
"Cluster_17776","FUN_004883",0.82299463204441,0.0869826839646731,0.998649612991003,148,-23.72,"2 21","71 92",19,"63.16%","68.42%","3UTR","apul-mir-novel-7"
"Cluster_4220","FUN_004886",0.265006028580016,0.666575883424847,0.998649612991003,176,-24.05,"2 21","212 233",19,"78.95%","89.47%","3UTR","apul-mir-novel-10"
"Cluster_1862","FUN_004888",0.71416135400109,0.175370661783313,0.998649612991003,168,-22.25,"2 23","733 755",21,"76.19%","80.95%","3UTR","apul-mir-novel-5"
"Cluster_14768","FUN_020100",-0.419674609853595,0.481782085793466,0.998649612991003,155,-21.27,"2 17","607 628",16,"81.25%","81.25%","3UTR","apul-mir-novel-26"
"Cluster_1826","FUN_040297",0.355718598087545,0.556826698572167,0.998649612991003,172,-20.25,"2 20","314 333",18,"88.89%","88.89%","3UTR","apul-mir-novel-6"
"Cluster_15854","FUN_001632",0.747211971598653,0.146647198592028,0.998649612991003,180,-20.04,"2 22","426 449",21,"80.95%","90.48%","3UTR","apul-mir-novel-12"
"Cluster_15340","FUN_007288",0.0799658774998039,0.898292897663972,0.998649612991003,157,-20.37,"2 21","373 394",20,"70.00%","85.00%","3UTR","apul-mir-novel-19"
"Cluster_15340","FUN_007285",0.255858675541905,0.677820704264093,0.998649612991003,152,-24.73,"2 20","495 516",19,"73.68%","78.95%","3UTR","apul-mir-novel-19"
"Cluster_10228","FUN_016891",0.510460507488423,0.379508453235536,0.998649612991003,172,-21.86,"2 22","103 126",21,"76.19%","85.71%","3UTR","apul-mir-2022"
"Cluster_18728","FUN_028993",0.0988404598718625,0.874357629196187,0.998649612991003,148,-22.43,"2 14","11 33",13,"84.62%","84.62%","3UTR","apul-mir-100"
"Cluster_14768","FUN_027450",0.140091035453362,0.822215715013845,0.998649612991003,153,-20.26,"2 20","637 660",21,"71.43%","76.19%","3UTR","apul-mir-novel-26"
"Cluster_18728","FUN_033012",-0.49308550720513,0.398644003437488,0.998649612991003,144,-24.47,"2 13","741 762",11,"81.82%","81.82%","3UTR","apul-mir-100"
"Cluster_5900","FUN_032593",-0.0766061185319525,0.902557544861982,0.998649612991003,156,-20.13,"2 17","285 306",15,"66.67%","93.33%","3UTR","apul-mir-novel-8a; apul-mir-novel-8b"
"Cluster_5981","FUN_032592",0.854224898279571,0.065332160298353,0.980304192920767,144,-20.87,"2 20","772 792",18,"66.67%","72.22%","3UTR","apul-mir-novel-9"
"Cluster_5981","FUN_032592",0.854224898279571,0.065332160298353,0.980304192920767,177,-21.55,"2 22","369 391",20,"75.00%","90.00%","3UTR","apul-mir-novel-9"
"Cluster_15775","FUN_032592",0.73937260530801,0.153324332481271,0.998649612991003,177,-20.79,"2 22","879 901",20,"70.00%","95.00%","3UTR","apul-mir-novel-33"
"Cluster_14768","FUN_042987",0.796875213687235,0.10648345792897,0.998649612991003,161,-22.66,"2 19","461 483",19,"73.68%","84.21%","3UTR","apul-mir-novel-26"
"Cluster_1826","FUN_042984",0.877590524462239,0.0504564923150908,0.96546924320845,179,-20.29,"2 21","926 949",21,"85.71%","85.71%","3UTR","apul-mir-novel-6"
"Cluster_4220","FUN_003569",0.0868433131360634,0.88956680220137,0.998649612991003,147,-21.53,"2 18","898 918",16,"75.00%","75.00%","3UTR","apul-mir-novel-10"
"Cluster_5981","FUN_004716",0.261004521086834,0.671491388973232,0.998649612991003,157,-22.79,"2 21","730 750",19,"73.68%","78.95%","3UTR","apul-mir-novel-9"
"Cluster_18728","FUN_011279",-0.395039432010128,0.51042708051663,0.998649612991003,143,-22.64,"2 12","288 309",10,"80.00%","90.00%","3UTR","apul-mir-100"
"Cluster_14768","FUN_000717",-0.301444245220863,0.622083912818802,0.998649612991003,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR","apul-mir-novel-26"
"Cluster_14768","FUN_000710",0.636301846257066,0.248429796086502,0.998649612991003,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR","apul-mir-novel-26"
"Cluster_14768","FUN_000713",-0.419674609853595,0.481782085793466,0.998649612991003,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR","apul-mir-novel-26"
"Cluster_4254","FUN_029425",0.170284111152514,0.784239948038342,0.998649612991003,167,-20.42,"2 21","692 714",20,"75.00%","85.00%","3UTR","apul-mir-2050"
"Cluster_1862","FUN_016492",0.302692655068562,0.620568640834489,0.998649612991003,160,-20.35,"2 23","159 181",21,"71.43%","76.19%","3UTR","apul-mir-novel-5"
"Cluster_19193","FUN_043573",0.929674659349317,0.0221496324840345,0.897955770703476,151,-24.7,"2 18","743 766",18,"72.22%","83.33%","3UTR","apul-mir-novel-23"
"Cluster_15775","FUN_013785",-0.0290141311754949,0.963063244561928,0.998649612991003,155,-22.8,"2 22","332 356",22,"68.18%","77.27%","3UTR","apul-mir-novel-33"
"Cluster_15340","FUN_042339",-0.523330750689899,0.36548065134442,0.998649612991003,154,-21.63,"2 21","515 538",21,"71.43%","76.19%","3UTR","apul-mir-novel-19"
"Cluster_10228","FUN_023104",0.363898761738358,0.547108980208864,0.998649612991003,150,-20.82,"2 20","828 851",19,"57.89%","84.21%","3UTR","apul-mir-2022"
"Cluster_1826","FUN_042332",0.204473343458347,0.741482136170626,0.998649612991003,172,-20.25,"2 20","929 948",18,"88.89%","88.89%","3UTR","apul-mir-novel-6"
"Cluster_2859","FUN_028486",0.48071998838259,0.412395780847128,0.998649612991003,160,-22.39,"2 22","236 261",23,"69.57%","73.91%","3UTR","apul-mir-9425"
"Cluster_15775","FUN_028373",-0.565045358056441,0.320927580602088,0.998649612991003,162,-20.18,"2 22","416 438",21,"76.19%","80.95%","3UTR","apul-mir-novel-33"
"Cluster_15775","FUN_028373",-0.565045358056441,0.320927580602088,0.998649612991003,172,-21.35,"2 22","479 502",21,"80.95%","80.95%","3UTR","apul-mir-novel-33"
"Cluster_15775","FUN_028373",-0.565045358056441,0.320927580602088,0.998649612991003,181,-21.93,"2 22","667 689",20,"85.00%","85.00%","3UTR","apul-mir-novel-33"
"Cluster_10051","FUN_025197",0.978580789954302,0.00375092828341026,0.545343267336266,171,-21.7,"2 21","778 800",20,"80.00%","85.00%","3UTR","apul-mir-novel-15"
"Cluster_15340","FUN_025193",0.0921022724810811,0.882897750538237,0.998649612991003,152,-24.73,"2 20","271 292",19,"73.68%","78.95%","3UTR","apul-mir-novel-19"
"Cluster_16409","FUN_019843",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","515 537",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_16409","FUN_019846",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","511 533",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_16409","FUN_019847",-0.401147977647691,0.503292317197317,0.998649612991003,170,-23.37,"2 20","200 222",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_16409","FUN_019914",-0.401147977647691,0.503292317197317,0.998649612991003,170,-23.37,"2 20","202 224",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_17776","FUN_004260",0.0251065071072244,0.968036760925117,0.998649612991003,146,-20.69,"2 20","19 36",18,"72.22%","72.22%","3UTR","apul-mir-novel-7"
"Cluster_5981","FUN_023647",-0.115244442497524,0.853591670768908,0.998649612991003,153,-20.62,"2 22","335 356",21,"66.67%","80.95%","3UTR","apul-mir-novel-9"
"Cluster_14768","FUN_023641",-0.468012236944308,0.426639333086432,0.998649612991003,155,-20.96,"2 20","676 696",18,"66.67%","77.78%","3UTR","apul-mir-novel-26"
"Cluster_15928","FUN_023641",-0.394148368872731,0.511469556006572,0.998649612991003,161,-23.79,"2 21","446 468",21,"76.19%","80.95%","3UTR","apul-mir-novel-31"
"Cluster_3250","FUN_043074",0.282128749106305,0.64560651648367,0.998649612991003,151,-21,"2 21","706 729",21,"61.90%","76.19%","3UTR","apul-mir-novel-21"
"Cluster_10419","FUN_011515",0.716116242469985,0.17363086669468,0.998649612991003,162,-20.94,"2 16","149 171",15,"86.67%","93.33%","3UTR","apul-mir-novel-14"
"Cluster_1862","FUN_023643",0.447094861431598,0.450320076979045,0.998649612991003,170,-20.55,"2 23","542 565",21,"71.43%","80.95%","3UTR","apul-mir-novel-5"
"Cluster_18723","FUN_035448",-0.549037376977023,0.33785413622492,0.998649612991003,163,-20.79,"2 21","56 78",20,"75.00%","80.00%","3UTR","apul-mir-novel-17"
"Cluster_15851","FUN_035441",-0.33371328329908,0.583126743883962,0.998649612991003,172,-23.7,"2 21","900 921",19,"78.95%","84.21%","3UTR","apul-mir-novel-11"
"Cluster_19193","FUN_031563",0.435863591850602,0.463151041615761,0.998649612991003,141,-22.88,"2 21","742 764",21,"66.67%","66.67%","3UTR","apul-mir-novel-23"
"Cluster_5899","FUN_031562",-0.0083313111200279,0.989392367939127,0.998929520526841,153,-20.04,"2 20","34 58",21,"71.43%","76.19%","3UTR","apul-mir-novel-30"
"Cluster_5981","FUN_031567",0.768636535227448,0.128854085484393,0.998649612991003,169,-22.64,"2 22","506 528",20,"70.00%","85.00%","3UTR","apul-mir-novel-9"
"Cluster_5900","FUN_031564",0.206351039938828,0.739142360721053,0.998649612991003,159,-23.14,"2 21","571 593",20,"70.00%","80.00%","3UTR","apul-mir-novel-8a; apul-mir-novel-8b"
"Cluster_5981","FUN_020734",-0.213897293640758,0.729748702106089,0.998649612991003,171,-24.35,"2 16","727 749",14,"92.86%","100.00%","3UTR","apul-mir-novel-9"
"Cluster_16409","FUN_020734",-0.401147977647691,0.503292317197317,0.998649612991003,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_5981","FUN_020733",0.1439150313519,0.817396195247635,0.998649612991003,171,-24.35,"2 16","727 749",14,"92.86%","100.00%","3UTR","apul-mir-novel-9"
"Cluster_16409","FUN_020733",0.680477662501479,0.206105149874625,0.998649612991003,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_15340","FUN_000175",-0.0717477911851993,0.908726311895286,0.998649612991003,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_15340","FUN_000177",-0.00100818801497499,0.998716335368268,0.999832236992281,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_15340","FUN_000171",-0.0191041590558632,0.975677308896457,0.998649612991003,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_15340","FUN_000173",0.0207976635250069,0.973521501470722,0.998649612991003,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_15340","FUN_000179",0.200218922151858,0.746786975692669,0.998649612991003,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_4220","FUN_007742",-0.0580119556207721,0.926178334637062,0.998649612991003,150,-20.94,"2 16","201 224",16,"75.00%","81.25%","3UTR","apul-mir-novel-10"
"Cluster_15340","FUN_008267",0.267127345191137,0.663972296341758,0.998649612991003,157,-28.97,"2 21","725 746",20,"65.00%","90.00%","3UTR","apul-mir-novel-19"
"Cluster_18711","FUN_007927",-0.630183050019527,0.254459404153731,0.998649612991003,164,-20.8,"2 18","320 342",17,"82.35%","88.24%","3UTR","apul-mir-novel-16"
"Cluster_14768","FUN_000836",-0.0754097159476042,0.904076445250987,0.998649612991003,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR","apul-mir-novel-26"
"Cluster_14768","FUN_000836",-0.0754097159476042,0.904076445250987,0.998649612991003,150,-20.84,"2 20","178 202",22,"68.18%","68.18%","3UTR","apul-mir-novel-26"
"Cluster_10051","FUN_016908",-0.117441061081773,0.850813842565487,0.998649612991003,166,-22.54,"2 21","489 509",19,"78.95%","84.21%","3UTR","apul-mir-novel-15"
"Cluster_19193","FUN_003480",-0.220683230958403,0.721315034372877,0.998649612991003,152,-20.06,"2 13","37 58",11,"90.91%","90.91%","3UTR","apul-mir-novel-23"
"Cluster_19193","FUN_003489",0.764055103675283,0.132601517273294,0.998649612991003,152,-20.06,"2 13","631 652",11,"90.91%","90.91%","3UTR","apul-mir-novel-23"
"Cluster_1862","FUN_003488",-0.731186231379746,0.16038871994947,0.998649612991003,173,-20.12,"2 23","800 825",23,"69.57%","86.96%","3UTR","apul-mir-novel-5"
"Cluster_15340","FUN_000125",-0.141518761427455,0.820415988455126,0.998649612991003,154,-20.65,"2 20","358 381",20,"65.00%","80.00%","3UTR","apul-mir-novel-19"
"Cluster_10051","FUN_014343",0.938315097289955,0.0182197517071088,0.847898695599974,157,-20.65,"2 21","255 276",20,"70.00%","85.00%","3UTR","apul-mir-novel-15"
"Cluster_10093","FUN_034272",-0.364967721908798,0.545841537469677,0.998649612991003,171,-26.19,"2 21","549 571",20,"75.00%","90.00%","3UTR","apul-mir-novel-20"
"Cluster_5981","FUN_034276",0.0177529708093456,0.977397402916637,0.998649612991003,156,-20.33,"2 21","798 820",21,"76.19%","76.19%","3UTR","apul-mir-novel-9"
"Cluster_17791","FUN_002469",-0.303325228300241,0.619801088103513,0.998649612991003,168,-20.86,"2 19","415 436",17,"82.35%","94.12%","3UTR","apul-mir-novel-2"
"Cluster_1826","FUN_012371",-0.537423770052848,0.350268836878277,0.998649612991003,168,-22.41,"2 20","82 101",18,"83.33%","88.89%","3UTR","apul-mir-novel-6"
"Cluster_1951","FUN_012370",-0.657925494517357,0.227440723894224,0.998649612991003,174,-20.3,"2 21","177 197",19,"84.21%","89.47%","3UTR","apul-mir-novel-3"
"Cluster_15340","FUN_012370",-0.566424687536755,0.319479427101301,0.998649612991003,162,-25.65,"2 21","225 245",19,"73.68%","84.21%","3UTR","apul-mir-novel-19"
"Cluster_1826","FUN_012372",-0.251286783988181,0.683451556408269,0.998649612991003,168,-22.41,"2 20","82 101",18,"83.33%","88.89%","3UTR","apul-mir-novel-6"
"Cluster_3250","FUN_029385",0.918700592430811,0.0274850568020725,0.914225011702335,157,-22.39,"2 20","682 707",22,"72.73%","77.27%","3UTR","apul-mir-novel-21"
"Cluster_4254","FUN_029382",-0.690168836978037,0.197119397993106,0.998649612991003,171,-23.56,"2 20","880 901",18,"83.33%","83.33%","3UTR","apul-mir-2050"
"Cluster_14402","FUN_012598",-0.209618009017461,0.735073690871462,0.998649612991003,172,-25.43,"2 19","910 930",17,"88.24%","94.12%","3UTR","apul-mir-novel-22"
"Cluster_17776","FUN_009195",0.644732185371047,0.240186877618569,0.998649612991003,150,-21.73,"2 16","340 363",16,"75.00%","81.25%","3UTR","apul-mir-novel-7"
"Cluster_15340","FUN_009194",-0.566424687536755,0.319479427101301,0.998649612991003,162,-21.71,"2 21","322 342",19,"73.68%","84.21%","3UTR","apul-mir-novel-19"
"Cluster_5981","FUN_028523",-0.213897293640758,0.729748702106089,0.998649612991003,147,-21.99,"2 21","665 688",20,"65.00%","70.00%","3UTR","apul-mir-novel-9"
"Cluster_2859","FUN_024945",0.574754865779806,0.310769205080368,0.998649612991003,151,-20.71,"2 13","158 181",12,"91.67%","91.67%","3UTR","apul-mir-9425"
"Cluster_18711","FUN_038227",-0.211399366149957,0.732856420336297,0.998649612991003,172,-21.45,"2 21","148 169",19,"78.95%","84.21%","3UTR","apul-mir-novel-16"
"Cluster_2859","FUN_027628",0.403874546819026,0.500114386021807,0.998649612991003,166,-21.33,"2 20","588 611",19,"78.95%","84.21%","3UTR","apul-mir-9425"
"Cluster_10228","FUN_038483",-0.688755532323002,0.198422796625911,0.998649612991003,155,-23.81,"2 22","177 203",24,"66.67%","75.00%","3UTR","apul-mir-2022"
"Cluster_19193","FUN_039689",-0.212235030498096,0.731816562396769,0.998649612991003,159,-22.78,"2 21","783 805",20,"65.00%","85.00%","3UTR","apul-mir-novel-23"
"Cluster_14768","FUN_027086",-0.173504790357875,0.780200291099976,0.998649612991003,162,-23.55,"2 20","946 967",19,"73.68%","84.21%","3UTR","apul-mir-novel-26"
"Cluster_1862","FUN_037352",-0.278914218357511,0.649535044299477,0.998649612991003,170,-20.15,"2 23","334 357",21,"71.43%","80.95%","3UTR","apul-mir-novel-5"
"Cluster_15340","FUN_037353",0.355507562973902,0.557077832895695,0.998649612991003,175,-24.55,"2 20","558 579",18,"83.33%","88.89%","3UTR","apul-mir-novel-19"
"Cluster_4254","FUN_005477",-0.15434363818833,0.804266622738193,0.998649612991003,150,-20.04,"2 16","428 452",17,"76.47%","76.47%","3UTR","apul-mir-2050"
"Cluster_1862","FUN_026023",-0.188679511817941,0.76119888232579,0.998649612991003,161,-20.19,"2 23","751 777",24,"62.50%","79.17%","3UTR","apul-mir-novel-5"
"Cluster_10093","FUN_007834",0.50341383900947,0.387242219363194,0.998649612991003,160,-23.56,"2 21","652 671",19,"78.95%","84.21%","3UTR","apul-mir-novel-20"
"Cluster_10057","FUN_034078",0.311616579973485,0.609755648058165,0.998649612991003,150,-20.4,"2 11","170 191",9,"100.00%","100.00%","3UTR","apul-mir-2028"
"Cluster_15340","FUN_018466",0.0799658774998039,0.898292897663972,0.998649612991003,149,-24.01,"2 21","729 751",21,"66.67%","76.19%","3UTR","apul-mir-novel-19"
"Cluster_16409","FUN_018465",0.223133743562934,0.718272737304838,0.998649612991003,153,-21.05,"2 15","757 781",16,"81.25%","81.25%","3UTR","apul-mir-novel-34"
"Cluster_16409","FUN_020652",0.912436100242777,0.0306925837127653,0.922979388371587,170,-23.37,"2 20","523 545",19,"78.95%","89.47%","3UTR","apul-mir-novel-34"
"Cluster_19193","FUN_043328",0.965914639369325,0.00751541039444425,0.677079544727381,173,-22.26,"2 19","931 954",19,"84.21%","89.47%","3UTR","apul-mir-novel-23"
"Cluster_15316","FUN_007169",0.428761223151362,0.471305319921508,0.998649612991003,143,-24.1,"2 21","751 782",29,"55.17%","65.52%","3UTR","apul-mir-2025"
"Cluster_18728","FUN_007169",-0.347431000225946,0.566705111029605,0.998649612991003,147,-24.86,"2 21","816 838",20,"65.00%","70.00%","3UTR","apul-mir-100"
"Cluster_15775","FUN_034923",0.952463395955054,0.0123525010315663,0.766084851142397,175,-21.08,"2 22","665 686",20,"80.00%","90.00%","3UTR","apul-mir-novel-33"
"Cluster_14768","FUN_036564",-0.631052897637042,0.253599861859297,0.998649612991003,152,-22.51,"2 20","868 886",18,"66.67%","83.33%","3UTR","apul-mir-novel-26"
"Cluster_19193","FUN_042053",-0.0682784761916291,0.913132739036078,0.998649612991003,141,-23.69,"2 21","685 707",21,"61.90%","71.43%","3UTR","apul-mir-novel-23"
"Cluster_10419","FUN_042052",-0.124110708510177,0.842383963368966,0.998649612991003,162,-22.71,"2 21","842 868",24,"75.00%","75.00%","3UTR","apul-mir-novel-14"
"Cluster_17776","FUN_042054",-0.240491524889522,0.696774435790616,0.998649612991003,158,-25.86,"2 20","918 940",19,"73.68%","78.95%","3UTR","apul-mir-novel-7"
"Cluster_10051","FUN_040565",0.142308002913325,0.819421265458819,0.998649612991003,167,-21.29,"2 20","937 958",18,"72.22%","88.89%","3UTR","apul-mir-novel-15"
"Cluster_14768","FUN_040565",-0.460533732089179,0.435072798195923,0.998649612991003,158,-24.79,"2 19","114 134",17,"70.59%","82.35%","3UTR","apul-mir-novel-26"
"Cluster_3366","FUN_026199",-0.280130151053268,0.648048582200861,0.998649612991003,169,-23.94,"2 18","606 629",16,"81.25%","93.75%","3UTR","apul-mir-novel-28"
"Cluster_3367","FUN_026199",-0.631477452655553,0.253180621148176,0.998649612991003,169,-25.17,"2 18","606 629",16,"81.25%","93.75%","3UTR","apul-mir-novel-29"
"Cluster_5981","FUN_023340",-0.808764733806857,0.0974581539328724,0.998649612991003,174,-21.86,"2 20","451 474",19,"84.21%","89.47%","3UTR","apul-mir-novel-9"
"Cluster_10228","FUN_040698",0.0434581955557902,0.944684728836472,0.998649612991003,164,-22.76,"2 22","7 30",21,"76.19%","76.19%","3UTR","apul-mir-2022"
"Cluster_10228","FUN_040695",-0.0877080888548334,0.888469937048299,0.998649612991003,167,-23.81,"2 21","219 243",21,"76.19%","80.95%","3UTR","apul-mir-2022"
"Cluster_15340","FUN_026193",0.00785942943207461,0.989993166671444,0.998929520526841,149,-20.08,"2 21","607 633",25,"64.00%","72.00%","3UTR","apul-mir-novel-19"
"Cluster_15775","FUN_027826",0.915440855529146,0.0291399046285765,0.922979388371587,150,-20.73,"2 22","966 997",29,"65.52%","68.97%","3UTR","apul-mir-novel-33"
"Cluster_17776","FUN_000329",-0.119053047449204,0.848775797532878,0.998649612991003,156,-20.57,"2 17","301 322",15,"80.00%","80.00%","3UTR","apul-mir-novel-7"
"Cluster_1951","FUN_008664",0.423524760093641,0.477336895898717,0.998649612991003,163,-20.46,"2 17","756 778",16,"87.50%","87.50%","3UTR","apul-mir-novel-3"
"Cluster_15928","FUN_008664",0.88089978514717,0.0484493357400938,0.96546924320845,162,-22.36,"2 21","280 304",22,"77.27%","77.27%","3UTR","apul-mir-novel-31"
"Cluster_1951","FUN_029038",-0.366814360202625,0.543653363504648,0.998649612991003,162,-20.07,"2 15","274 295",13,"84.62%","100.00%","3UTR","apul-mir-novel-3"
"Cluster_2859","FUN_029039",-0.846554552558228,0.0704705078781739,0.983915773335456,155,-21.05,"2 12","766 788",10,"100.00%","100.00%","3UTR","apul-mir-9425"
"Cluster_15928","FUN_010651",0.398624012478123,0.506237800248633,0.998649612991003,168,-20.59,"2 21","518 539",19,"73.68%","84.21%","3UTR","apul-mir-novel-31"
"Cluster_1951","FUN_028342",-0.14475795326979,0.816334192033941,0.998649612991003,158,-20.19,"2 21","811 834",21,"76.19%","76.19%","3UTR","apul-mir-novel-3"
