"accession","protein_name","gene_name","species"
"ENSP00000423333","Ubiquitin carboxyl-terminal hydrolase 51","USP51","Homo sapiens"
"ENSP00000434676","Ubiquitin carboxyl-terminal hydrolase 50","USP50","Homo sapiens"
"ENSP00000257931","Poly(A)-specific ribonuclease subunit PAN2 (USP52)","PAN2","Homo sapiens"
"ENSP00000274030","Ubiquitin carboxyl-terminal hydrolase 53","USP53","Homo sapiens"
"ENSP00000345216","Ubiquitin carboxyl-terminal hydrolase 54","USP54","Homo sapiens"
"ENSP00000352676","Zinc finger RANBP2-type and RING finger-containing protein 1 (TRABID)","ZRANB1","Homo sapiens"
"ENSP00000309031","Deubiquitinating protein VCPIP1","VCPIP1","Homo sapiens"
"ENSP00000285420","OTU domain-containing protein 6B","OTUD6B","Homo sapiens"
"ENSP00000395487","OTU domain-containing protein 4","OTUD4","Homo sapiens"
"ENSP00000365678","OTU domain-containing protein 1","OTUD1","Homo sapiens"
"ENSP00000365671","OTU domain-containing protein 5 (DUBA)","OTUD5","Homo sapiens"
"ENSP00000339389","OTU domain-containing protein 6A","OTUD6A","Homo sapiens"
"ENSP00000364261","OTU domain-containing protein 3","OTUD3","Homo sapiens"
"ENSP00000378260","UDP-N-acetylglucosamine transferase subunit ALG13","ALG13","Homo sapiens"
"ENSP00000496695","Ataxin-3 (Josephin domain deubiquitinase)","ATXN3","Homo sapiens"
"ENSP00000369996","Ataxin-3-like protein","ATXN3L","Homo sapiens"
"ENSP00000506752","Josephin domain-containing protein 1","JOSD1","Homo sapiens"
"ENSP00000468956","Josephin domain-containing protein 2","JOSD2","Homo sapiens"
"ENSP00000417132","Ubiquitin carboxyl-terminal hydrolase BAP1","BAP1","Homo sapiens"
"ENSP00000284440","Ubiquitin carboxyl-terminal hydrolase isozyme L1","UCHL1","Homo sapiens"
"ENSP00000366819","Ubiquitin carboxyl-terminal hydrolase isozyme L3","UCHL3","Homo sapiens"
"ENSP00000356424","Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH37)","UCHL5","Homo sapiens"
"ENSMUSP00000045208","Ubiquitin carboxyl-terminal hydrolase isozyme L4","Uchl4","Mus musculus"
"ENSP00000305926","OTU domain-containing protein 7A (CEZANNE2)","OTUD7A","Homo sapiens"
"ENSP00000462729","OTU domain-containing protein 7B (CEZANNE)","OTUD7B","Homo sapiens"
"ENSP00000386541","26S proteasome non-ATPase regulatory subunit 14 (POH1/Rpn11)","PSMD14","Homo sapiens"
"ENSP00000350512","COP9 signalosome complex subunit 5 (JAB1/CSN5)","COPS5","Homo sapiens"
"ENSP00000304102","COP9 signalosome complex subunit 6 (CSN6)","COPS6","Homo sapiens"
"ENSP00000360994","Stam-binding protein-like 1 (AMSH-LP)","STAMBPL1","Homo sapiens"
"ENSP00000328641","Lys-63-specific deubiquitinase BRCC3","BRCC3","Homo sapiens"
"ENSP00000418734","Histone H2A deubiquitinase MYSM1","MYSM1","Homo sapiens"
"ENSP00000471735","MPN domain-containing protein","MPND","Homo sapiens"
"ENSP00000219313","26S proteasome non-ATPase regulatory subunit 7 (Rpn8)","PSMD7","Homo sapiens"
"ENSP00000304350","Pre-mRNA-processing-splicing factor 8 (PRPF8/SNRNP220)","PRPF8","Homo sapiens"
"ENSP00000429931","Eukaryotic translation initiation factor 3 subunit H","EIF3H","Homo sapiens"
"ENSP00000499218","Eukaryotic translation initiation factor 3 subunit F","EIF3F","Homo sapiens"
"ENSP00000340839","Endoribonuclease ZC3H12B (Regnase-2)","ZC3H12B","Homo sapiens"
"ENSP00000278590","Endoribonuclease ZC3H12C (Regnase-3)","ZC3H12C","Homo sapiens"
"ENSP00000386616","Endoribonuclease ZC3H12D (Regnase-4)","ZC3H12D","Homo sapiens"
"ENSP00000362179","Endoribonuclease ZC3H12A (MCPIP1/Regnase-1)","ZC3H12A","Homo sapiens"
"ENSP00000344504","Histone H1.0","H1-0","Homo sapiens"
"ENSP00000244573","Histone H1.1 (HIST1H1A)","H1-1","Homo sapiens"
"ENSP00000244534","Histone H1.3 (HIST1H1D)","H1-3","Homo sapiens"
"ENSP00000307705","Histone H1.4 (HIST1H1E)","H1-4","Homo sapiens"
"ENSP00000319799","Histone H1.8 (H1foo)","H1-8","Homo sapiens"
"ENSP00000330074","Histone H1.5 (HIST1H1B)","H1-5","Homo sapiens"
"ENSP00000329662","Histone H1.10","H1-10","Homo sapiens"
"ENSP00000334805","Histone H1oo (oocyte-specific)","H1-7","Homo sapiens"
"ENSP00000341214","Histone H1t","H1-6","Homo sapiens"
"ENSP00000339566","Histone H1.2 (HIST1H1C)","H1-2","Homo sapiens"
"ENSP00000355656","Histone H2A.W","H2AW","Homo sapiens"
"ENSP00000482564","Histone H2A-Bbd type 3","H2AB3","Homo sapiens"
"ENSP00000302572","Core histone macro-H2A.1 (macroH2A1/H2AFY)","MACROH2A1","Homo sapiens"
"ENSP00000346509","Histone H2A-Bbd type 2","H2AB2","Homo sapiens"
"ENSP00000339511","Histone H2A.P","H2AP","Homo sapiens"
"ENSP00000308405","Histone H2A.z.2","H2AZ2","Homo sapiens"
"ENSP00000296417","Histone H2A.z.1","H2AZ1","Homo sapiens"
"ENSP00000373730","Histone H2A.J","H2AJ","Homo sapiens"
"ENSP00000484261","Histone H2A-Bbd type 1 (H2A.Bbd)","H2AB1","Homo sapiens"
"ENSP00000364310","Histone H2A.x","H2AX","Homo sapiens"
"ENSMUSP00000019911","Histone deacetylase 2","Hdac2","Mus musculus"
"ENSMUSP00000037981","Histone deacetylase 3","Hdac3","Mus musculus"
"ENSMUSP00000008995","Histone deacetylase 4","Hdac4","Mus musculus"
"ENSMUSP00000008999","Histone deacetylase 5","Hdac5","Mus musculus"
"ENSMUSP00000033501","Histone deacetylase 6","Hdac6","Mus musculus"
"ENSMUSP00000112110","Histone deacetylase 7","Hdac7","Mus musculus"
"ENSMUSP00000085226","Histone deacetylase 8","Hdac8","Mus musculus"
"ENSMUSP00000148029","Histone deacetylase 9","Hdac9","Mus musculus"
"ENSMUSP00000080832","Histone deacetylase 10","Hdac10","Mus musculus"
"ENSMUSP00000043828","Histone deacetylase 11","Hdac11","Mus musculus"
"ENSMUSP00000020257","NAD-dependent protein deacetylase sirtuin-1","Sirt1","Mus musculus"
"ENSMUSP00000072732","NAD-dependent protein deacetylase sirtuin-2","Sirt2","Mus musculus"
"ENSMUSP00000147716","NAD-dependent protein deacetylase sirtuin-3","Sirt3","Mus musculus"
"ENSMUSP00000107697","NAD-dependent protein lysine acylase sirtuin-4","Sirt4","Mus musculus"
"ENSMUSP00000152526","NAD-dependent protein lysine desuccinylase sirtuin-5","Sirt5","Mus musculus"
"ENSMUSP00000048971","NAD-dependent protein deacylase sirtuin-6","Sirt6","Mus musculus"
"ENSMUSP00000079093","NAD-dependent protein desuccinylase sirtuin-7","Sirt7","Mus musculus"
"ENSMUSP00000045409","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase (OGT)","Ogt","Mus musculus"
"ENSMUSP00000048877","Poly [ADP-ribose] polymerase 2","Parp2","Mus musculus"
"ENSMUSP00000108098","Poly [ADP-ribose] polymerase 3","Parp3","Mus musculus"
"ENSMUSP00000124258","Poly [ADP-ribose] polymerase 4","Parp4","Mus musculus"
"ENSMUSP00000033929","Tankyrase-1 (TNKS/PARP5A)","Parp5a-Tnks","Mus musculus"
"ENSMUSP00000025729","Tankyrase-2 (TNKS2/PARP5B)","Parp5b-Tnks2","Mus musculus"
"ENSMUSP00000026267","Poly [ADP-ribose] polymerase 6","Parp6","Mus musculus"
"ENSMUSP00000048051","TCDD-inducible poly [ADP-ribose] polymerase (TIPARP/PARP7)","Parp7-Tiparp","Mus musculus"
"ENSMUSP00000022239","Poly [ADP-ribose] polymerase 8","Parp8","Mus musculus"
"ENSMUSP00000110528","Poly [ADP-ribose] polymerase 9 (BAL1)","Parp9","Mus musculus"
"ENSMUSP00000075110","Poly [ADP-ribose] polymerase 10","Parp10","Mus musculus"
"ENSMUSP00000036127","Poly [ADP-ribose] polymerase 11","Parp11","Mus musculus"
"ENSMUSP00000039704","Poly [ADP-ribose] polymerase 12","Parp12","Mus musculus"
"ENSMUSP00000110550","Zinc finger CCCH-type antiviral protein 1 (ZAP/PARP13)","Parp13-Zc3hav1","Mus musculus"
"ENSMUSP00000037657","Poly [ADP-ribose] polymerase 14 (BAL2)","Parp14","Mus musculus"
"ENSP00000417214","Poly [ADP-ribose] polymerase 15 (BAL3)","PARP15","Homo sapiens"
"ENSMUSP00000070098","Poly [ADP-ribose] polymerase 16","Parp16","Mus musculus"
"ENSMUSP00000022470","Poly(ADP-ribose) glycohydrolase","Parg","Mus musculus"
"ENSMUSP00000002923","ADP-ribosylhydrolase ARH1","Arh1-Adprh","Mus musculus"
"ENSMUSP00000099677","ADP-ribosylhydrolase ARH3","Arh3-Adprs","Mus musculus"
"ENSMUSP00000028408","Histone acetyltransferase type B catalytic subunit (HAT1/KAT1)","Kat1-Hat1","Mus musculus"
"ENSMUSP00000099407","Histone acetyltransferase KAT2A (GCN5)","Kat2a","Mus musculus"
"ENSMUSP00000000724","Histone acetyltransferase KAT2B (PCAF)","Kat2b","Mus musculus"
"ENSMUSP00000023165","CREB-binding protein (CREBBP/KAT3A)","Kat3A-Crebbp","Mus musculus"
"ENSMUSP00000066789","Histone acetyltransferase p300 (EP300/KAT3B)","Kat3B-Ep300","Mus musculus"
"ENSMUSP00000114765","Transcription initiation factor TFIID subunit 1 (TAF1/KAT4)","Kat4-Taf1","Mus musculus"
"ENSMUSP00000109271","Histone acetyltransferase KAT5 (Tip60)","Kat5","Mus musculus"
"ENSMUSP00000038181","Histone acetyltransferase KAT6A (MOZ)","Kat6a","Mus musculus"
"ENSMUSP00000159058","Histone acetyltransferase KAT6B (MORF)","Kat6b","Mus musculus"
"ENSMUSP00000103362","Histone acetyltransferase KAT7 (HBO1)","Kat7","Mus musculus"
"ENSMUSP00000033070","Histone acetyltransferase KAT8 (MOF)","Kat8","Mus musculus"
"ENSMUSP00000022609","Elongator complex protein 3 (ELP3/KAT9)","Kat9-Elp3","Mus musculus"
"ENSMUSP00000042265","Transcription factor IIIC subunit 4 (GTF3C4/KAT12)","Kat12-Gtf3c4","Mus musculus"
"ENSMUSP00000082971","Nuclear receptor coactivator 1 (NCOA1/KAT13A)","Kat13A-Ncoa1","Mus musculus"
"ENSMUSP00000085416","Nuclear receptor coactivator 3 (NCOA3/KAT13B)","Kat13B-Ncoa3","Mus musculus"
"ENSMUSP00000006037","Nuclear receptor coactivator 2 (NCOA2/KAT13C)","Kat13C-Ncoa2","Mus musculus"
"ENSMUSP00000074656","Circadian locomoter output cycles protein kaput (CLOCK/KAT13D)","Kat13D-Clock","Mus musculus"
"ENSMUSP00000028911","Histone acetyltransferase KAT14 (CSRP2BP)","Kat14","Mus musculus"
"ENSP00000264720","Transcription factor IIIC 110 kDa subunit (TFIIIC110/GTF3C2)","GTF3C2","Homo sapiens"
"ENSP00000327832","Alpha-tubulin acetyltransferase 1","ATAT1","Homo sapiens"
"ENSP00000348510","Transcription factor IIIC 220 kDa subunit (TFIIIC220/GTF3C1)","GTF3C1","Homo sapiens"
"ENSP00000417763","N-alpha-acetyltransferase 10 (NatA catalytic subunit)","NAA10","Homo sapiens"
"ENSP00000240922","N-alpha-acetyltransferase 50 (NatE catalytic subunit)","NAA50","Homo sapiens"
"ENSP00000385903","N-alpha-acetyltransferase 60 (NatF catalytic subunit)","NAA60","Homo sapiens"
"ENSP00000262410","Microtubule-associated protein tau (MAPT)","MAPT","Homo sapiens"
"ENSP00000263377","Bromodomain-containing protein 4","BRD4","Homo sapiens"
"ENSP00000306999","N-acetyltransferase ESCO2","ESCO2","Homo sapiens"
"ENSP00000269214","N-acetyltransferase ESCO1 (establishment of cohesion)","ESCO1","Homo sapiens"
"ENSP00000280346","Dihydrolipoyllysine-residue acetyltransferase (PDC-E2)","DLAT","Homo sapiens"
"ENSP00000264110","Cyclic AMP-dependent transcription factor ATF-2","ATF2","Homo sapiens"
"ENSP00000291688","Germinal-center associated nuclear protein (GANP/MCM3AP)","MCM3AP","Homo sapiens"
"ENSP00000272425","N-acetyltransferase 8 (camello-like 1)","NAT8","Homo sapiens"
"ENSP00000485054","N-acetyltransferase 8B (camello-like 2)","NAT8B","Homo sapiens"
"ENSP00000413064","N-acetyltransferase 8-like","NAT8L","Homo sapiens"
"ENSP00000447537","Biogenesis of lysosome-related organelles complex 1 subunit 1","BLOC1S1","Homo sapiens"
"ENSP00000257829","N-acetyltransferase 10 (RNA cytidine acetyltransferase)","NAT10","Homo sapiens"
"ENSP00000265838","Acetyl-CoA acetyltransferase 1 (mitochondrial)","ACAT1","Homo sapiens"
"ENSP00000356015","Acetyl-CoA acetyltransferase 2 (cytoplasmic)","ACAT2","Homo sapiens"
"ENSMUSP00000156217","HSPA binding protein 1 (HSPBAP1)","Hspbap1","Mus musculus"
"ENSMUSP00000101473","Lysine-specific histone demethylase 1A (LSD1)","Kdm1a","Mus musculus"
"ENSMUSP00000038373","Lysine-specific histone demethylase 1B (LSD2)","Kdm1b","Mus musculus"
"ENSMUSP00000047683","Lysine-specific demethylase 2A","Kdm2a","Mus musculus"
"ENSMUSP00000038229","Lysine-specific demethylase 2B","Kdm2b","Mus musculus"
"ENSMUSP00000065716","Lysine-specific demethylase 3A","Kdm3a","Mus musculus"
"ENSMUSP00000037628","Lysine-specific demethylase 3B","Kdm3b","Mus musculus"
"ENSMUSP00000102011","Lysine-specific demethylase 4A","Kdm4a","Mus musculus"
"ENSMUSP00000025036","Lysine-specific demethylase 4B","Kdm4b","Mus musculus"
"ENSMUSP00000030102","Lysine-specific demethylase 4C","Kdm4c","Mus musculus"
"ENSMUSP00000061632","Lysine-specific demethylase 4D","Kdm4d","Mus musculus"
"ENSMUSP00000005108","Lysine-specific demethylase 5A (JARID1A)","Kdm5a","Mus musculus"
"ENSMUSP00000038138","Lysine-specific demethylase 5B (JARID1B)","Kdm5b","Mus musculus"
"ENSMUSP00000108203","Lysine-specific demethylase 5C (JARID1C)","Kdm5c","Mus musculus"
"ENSMUSP00000061095","Lysine-specific demethylase 5D (JARID1D)","Kdm5d","Mus musculus"
"ENSMUSP00000061539","Lysine-specific demethylase 6A (UTX)","Kdm6a","Mus musculus"
"ENSMUSP00000091620","Lysine-specific demethylase 6B (JMJD3)","Kdm6b","Mus musculus"
"ENSMUSP00000002305","Lysine-specific demethylase 7A (JHDM1D/PHF8-related)","Kdm7a","Mus musculus"
"ENSMUSP00000033010","Lysine-specific demethylase 8 (JMJD5)","Kdm8","Mus musculus"
"ENSMUSP00000070012","Inactive histone demethylase UTY","Uty","Mus musculus"
"ENSMUSP00000047308","PHD finger protein 2 (histone demethylase)","Phf2","Mus musculus"
"ENSMUSP00000040765","Histone lysine demethylase PHF8","Phf8","Mus musculus"
"ENSMUSP00000047570","Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6","Jmjd6","Mus musculus"
"ENSMUSP00000026832","JMJD8 protein","Jmjd8","Mus musculus"
"ENSMUSP00000037774","Protein Jumonji (JARID2)","Jarid2","Mus musculus"
"ENSMUSP00000041220","Lysine demethylase JMJD7","Jmjd7","Mus musculus"
"ENSMUSP00000124042","Lysine demethylase and nuclear receptor corepressor HR","Hr","Mus musculus"
"ENSMUSP00000134551","Lysine-specific demethylase JMJD1C (KDM3C)","Kdm3c-Jmjd1c","Mus musculus"
"ENSMUSP00000125427","tRNA wybutosine-synthesizing protein 5","Tyw5","Mus musculus"
"ENSMUSP00000057984","Ribosomal oxygenase 1 (NO66)","Riox1","Mus musculus"
"ENSMUSP00000023407","Ribosomal oxygenase 2 (MINA53)","Riox2","Mus musculus"
"ENSP00000361892","Serine/threonine-protein kinase 4 (MST1/STK4)","STK4","Homo sapiens"
"ENSP00000414287","Hepatocyte growth factor-like protein (MST1)","MST1","Homo sapiens"
"ENSP00000358770","STE20-like serine/threonine-protein kinase SLK","SLK","Homo sapiens"
"ENSP00000360290","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPKa2)","PRKAA2","Homo sapiens"
"ENSP00000402084","Wee1-like protein kinase","WEE1","Homo sapiens"
"ENSP00000263208","Histone cell cycle regulator (HIRA)","HIRA","Homo sapiens"
"ENSP00000325290","Serine/threonine-protein kinase haspin (GSG2)","HASPIN","Homo sapiens"
"ENSP00000350447","Shugoshin-like 2 (SGO2)","SGO2","Homo sapiens"
"ENSP00000410458","Shugoshin-like 1 (SGO1)","SGO1","Homo sapiens"
"ENSP00000302530","Mitotic checkpoint serine/threonine-protein kinase BUB1","BUB1","Homo sapiens"
"ENSP00000340292","Protein delta homolog 1 (Preadipocyte factor 1/Pref-1)","DLK1","Homo sapiens"
"ENSP00000442973","Death-associated protein kinase 3 (ZIPK)","DAPK3","Homo sapiens"
"ENSP00000242783","Serine/threonine-protein kinase N1 (PKN1/PRK1)","PKN1","Homo sapiens"
"ENSP00000334983","Pyruvate kinase PKM","PKM","Homo sapiens"
"ENSP00000351446","WD repeat-containing protein 5 (H3K4 methyltransferase complex subunit)","WDR5","Homo sapiens"
"ENSP00000371067","Tyrosine-protein kinase JAK2","JAK2","Homo sapiens"
"ENSP00000265728","Protein DBF4 homolog A (Cdc7 kinase regulatory subunit)","DBF4","Homo sapiens"
"ENSP00000494572","Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Homo sapiens"
"ENSP00000479667","Ribosomal protein S6 kinase alpha-5 (MSK1)","RPS6KA5","Homo sapiens"
"ENSP00000333896","Ribosomal protein S6 kinase alpha-4 (MSK2)","RPS6KA4","Homo sapiens"
"ENSP00000238081","14-3-3 protein theta","YWHAQ","Homo sapiens"
"ENSP00000496129","Protein kinase C beta type (PKCb)","PRKCB","Homo sapiens"
"ENSP00000463999","Aurora kinase B","AURKB","Homo sapiens"
"ENSP00000302898","Aurora kinase C","AURKC","Homo sapiens"
"ENSP00000379251","Aurora kinase A","AURKA","Homo sapiens"
"ENSP00000479775","JMJD8-associated regulatory complex component (JKAMP)","JKAMP","Homo sapiens"
"ENSP00000394560","Mitogen-activated protein kinase 9 (JNK2)","MAPK9","Homo sapiens"
"ENSP00000353483","Mitogen-activated protein kinase 8 (JNK1)","MAPK8","Homo sapiens"
"ENSP00000361892","Serine/threonine-protein kinase 4 (MST1/STK4)","STK4","Homo sapiens"
"ENSP00000414287","Hepatocyte growth factor-like protein (MST1)","MST1","Homo sapiens"
"ENSP00000365588","Mediator of DNA damage checkpoint protein 1","MDC1","Homo sapiens"
"ENSP00000342924","Microcephalin (MCPH1; DNA damage sensor)","MCPH1","Homo sapiens"
"ENSP00000314067","Serine/threonine-protein kinase PAK2","PAK2","Homo sapiens"
"ENSP00000263208","Histone cell cycle regulator (HIRA)","HIRA","Homo sapiens"
"ENSP00000501606","Serine-protein kinase ATM (DNA damage checkpoint)","ATM","Homo sapiens"
"ENSP00000343741","Serine/threonine-protein kinase ATR","ATR","Homo sapiens"
"ENSP00000365042","Casein kinase II subunit beta","CSNK2B","Homo sapiens"
"ENSP00000331602","Protein kinase C delta type","PRKCD","Homo sapiens"
"ENSP00000302486","Dual specificity mitogen-activated protein kinase kinase 1 (MEK1)","MAP2K1","Homo sapiens"
"ENSP00000449038","Mitogen-activated protein kinase kinase kinase 12 (DLK/MUK)","MAP3K12","Homo sapiens"
"ENSDARP00000139147","Mitogen-activated protein kinase kinase kinase 22","map3k22","Danio rerio"
"ENSP00000215832","Mitogen-activated protein kinase 1 (ERK2)","MAPK1","Homo sapiens"
"ENSP00000263025","Mitogen-activated protein kinase 3 (ERK1)","MAPK3","Homo sapiens"
"ENSDARP00000111769","Mitogen-activated protein kinase 8b (JNK1b, zebrafish)","mapk8b","Danio rerio"
"ENSP00000333685","Mitogen-activated protein kinase 11 (p38b)","MAPK11","Homo sapiens"
"ENSP00000215659","Mitogen-activated protein kinase 12 (p38g/ERK6)","MAPK12","Homo sapiens"
"ENSP00000211287","Mitogen-activated protein kinase 13 (p38d/SAPK4)","MAPK13","Homo sapiens"
"ENSP00000229794","Mitogen-activated protein kinase 14 (p38a)","MAPK14","Homo sapiens"
"ENSP00000346148","5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPKa1)","PRKAA1","Homo sapiens"
"ENSP00000360290","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPKa2)","PRKAA2","Homo sapiens"
"ENSP00000313420","DNA-dependent protein kinase catalytic subunit (DNA-PKcs)","PRKDC","Homo sapiens"
"ENSP00000362608","Proto-oncogene serine/threonine-protein kinase Pim-1","PIM1","Homo sapiens"
"ENSP00000370938","Cyclin-dependent kinase 8 (Mediator kinase)","CDK8","Homo sapiens"
"ENSMUSP00000026217","Inhibitor of nuclear factor kappa-B kinase subunit alpha (IKKa)","Chuk","Mus musculus"
"ENSP00000378699","Cyclin-dependent kinase 1 (CDC2)","CDK1","Homo sapiens"
"ENSP00000388648","Serine/threonine-protein kinase Chk1","CHEK1","Homo sapiens"
"ENSP00000477213","Amyloid precursor protein-binding family B member 1 (Fe65)","APBB1","Homo sapiens"
"ENSP00000342434","Bromodomain adjacent to zinc finger domain protein 1B (WSTF)","BAZ1B","Homo sapiens"
"ENSMUSP00000111300","Histone-lysine N-methyltransferase SUV39H1 (KMT1A)","Suv39h1-kmt1a","Mus musculus"
"ENSMUSP00000027956","Histone-lysine N-methyltransferase SUV39H2 (KMT1B)","Suv39h2-Kmt1b","Mus musculus"
"ENSMUSP00000013931","Histone-lysine N-methyltransferase EHMT2 (G9a/KMT1C)","Kmt1c-Ehmt2","Mus musculus"
"ENSMUSP00000119057","Histone-lysine N-methyltransferase EHMT1 (GLP/KMT1D)","Kmt1d-Ehmt1","Mus musculus"
"ENSMUSP00000015841","Histone-lysine N-methyltransferase SETDB1 (KMT1E)","Kmt1e-Setdb1","Mus musculus"
"ENSMUSP00000093450","Histone-lysine N-methyltransferase SETDB2 (KMT1F)","Kmt1f-Setdb2","Mus musculus"
"ENSMUSP00000002095","Histone-lysine N-methyltransferase 2A (MLL1)","Kmt2a","Mus musculus"
"ENSMUSP00000006470","Histone-lysine N-methyltransferase 2B (MLL4)","Kmt2b","Mus musculus"
"ENSMUSP00000043874","Histone-lysine N-methyltransferase 2C (MLL3)","Kmt2c","Mus musculus"
"ENSMUSP00000023741","Histone-lysine N-methyltransferase 2D (MLL2)","Kmt2d","Mus musculus"
"ENSMUSP00000110781","Histone-lysine N-methyltransferase 2E (MLL5)","Kmt2e","Mus musculus"
"ENSMUSP00000047672","Histone-lysine N-methyltransferase SETD1A (KMT2F)","Kmt2f-Setd1a","Mus musculus"
"ENSMUSP00000134686","Histone-lysine N-methyltransferase SETD1B (KMT2G)","Kmt2g-Setd1b","Mus musculus"
"ENSMUSP00000088451","Histone-lysine N-methyltransferase ASH1L (KMT2H)","Kmt2h-Ash1l","Mus musculus"
