"target","protein_name","gene_name","std_gene_name","species","accession","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"Peve_00020046","Exosome complex component MTR3","exosc6","EXOSC6","Stylophora pistillata","A0A2B4RYW7",52.06,267,55,3,1,196,1,265,8.86e-83,246
"Peve_00020046","Exosome complex component MTR3","LOC116290412","EXOSC6","Actinia tenebrosa","A0A6P8HE33",58.582,268,111,0,3,270,2,269,9.5e-121,346
"Peve_00020083","Exosome complex component MTR3-like","PACLA_8A000183","EXOSC6","Paramuricea clavata","A0A6S7GJ09",50.725,138,66,1,1,138,1,136,3.19e-46,147
"Peve_00020046","Exosome complex component MTR3","EXOSC6 OS=Exaiptasia diaphana OX=2652724","EXOSC6","Exaiptasia diaphana","A0A913WZJ6",58.491,265,110,0,3,267,2,266,4.53e-115,332
"Peve_00020046","Exosome complex component MTR3","P5673_017063","EXOSC6","Acropora cervicornis","A0AAD9V3T6",55.484,155,47,1,1,133,45,199,1.03e-54,173
"Peve_00020046","Exosome complex component MTR3","PMEA_00019616","EXOSC6","Pocillopora meandrina","A0AAU9X9S1",79.623,265,54,0,1,265,1,265,1.59e-162,451
"Peve_00020046","Exosome complex component MTR3 isoform X2","LOC100207150","EXOSC6","Hydra vulgaris","A0ABM4C6I8",45.977,261,131,6,1,256,1,256,7.29e-75,229
"Peve_00020046","Exosome complex component MTR3","NEMVEDRAFT_v1g180736","EXOSC6","Nematostella vectensis","A7RQ94",66.795,259,86,0,1,259,1,259,8.33e-131,371
"Peve_00023222","Exosome complex component RRP45","Exosc9","EXOSC9","Stylophora pistillata","A0A2B4RAA2",85.354,198,29,0,33,230,74,271,6.44e-125,368
"Peve_00009801","Exosome complex component RRP46","Exosc5","EXOSC5","Stylophora pistillata","A0A2B4RF23",81.545,233,43,0,1,233,1,233,3.25e-142,397
"Peve_00004940","Exosome complex component RRP4","Exosc2","EXOSC2","Stylophora pistillata","A0A2B4S5V0",92.727,165,12,0,1,165,1,165,3.27e-109,313
"Peve_00008062","Exosome complex component RRP40","exosc3","EXOSC3","Stylophora pistillata","A0A2B4SR58",81.967,244,42,1,1,244,1,242,2.33e-152,424
"Peve_00023222","Exosome complex component RRP45","pdam_00009552","EXOSC9","Pocillopora damicornis","A0A3M6UQC0",72.406,453,119,4,1,447,24,476,0,663
"Peve_00004940","Exosome complex component RRP4","pdam_00007007","EXOSC2","Pocillopora damicornis","A0A3M6UUQ1",93.939,165,10,0,1,165,1,165,2.61e-112,322
"Peve_00009801","Exosome complex component RRP46","pdam_00007805","EXOSC5","Pocillopora damicornis","A0A3M6V4C8",83.262,233,39,0,1,233,1,233,1.54e-146,408
"Peve_00023222","Exosome complex component RRP45","LOC116300293","EXOSC9","Actinia tenebrosa","A0A6P8IEZ0",75.98,204,49,0,1,204,24,227,1.83e-120,350
"Peve_00004940","Exosome complex component RRP4","LOC116303449","EXOSC2","Actinia tenebrosa","A0A6P8IPQ4",83.03,165,28,0,1,165,1,165,1.02e-98,287
"Peve_00008062","Exosome complex component RRP40","LOC116304424","EXOSC3","Actinia tenebrosa","A0A6P8IV31",68.936,235,72,1,3,237,7,240,6.69e-127,359
"Peve_00009801","Exosome complex component RRP46","LOC116306362","EXOSC5","Actinia tenebrosa","A0A6P8J3V5",62.222,225,85,0,2,226,7,231,1.9e-109,314
"Peve_00008062","Exosome complex component RRP40","PACLA_8A022679","EXOSC3","Paramuricea clavata","A0A6S7G1C4",55.372,242,107,1,1,242,1,241,5.08e-94,276
"Peve_00021343","Exosome complex component RRP43","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A6S7HA05",57.143,112,48,0,1,112,135,246,9.79e-42,147
"Peve_00004940","Exosome complex component RRP4","PACLA_8A071563","EXOSC2","Paramuricea clavata","A0A6S7J9K2",72.024,168,43,2,3,170,2,165,2.37e-81,240
"Peve_00009801","Exosome complex component RRP46","PACLA_8A074450","EXOSC5","Paramuricea clavata","A0A6S7JNA3",57.273,220,94,0,9,228,14,233,3.65e-91,268
"Peve_00021343","Exosome complex component RRP43, partial","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I466",58.333,132,55,0,2,133,115,246,1.63e-51,176
"Peve_00021343","Exosome complex component RRP43","PACLA_8A023843","EXOSC2","Paramuricea clavata","A0A7D9I844",58.678,121,50,0,2,122,115,235,3.13e-48,166
"Peve_00023222","Exosome complex component RRP45","PACLA_8A072350","EXOSC9","Paramuricea clavata","A0A7D9L738",67.266,278,91,0,1,278,24,301,5.15e-141,406
"Peve_00023222","Exosome complex component RRP45","EXOSC9 OS=Clytia hemisphaerica OX=252671","EXOSC9","Clytia hemisphaerica","A0A7M5WMX1",44.037,436,214,5,1,416,24,449,6.63e-127,377
"Peve_00009801","Exosome complex component RRP46","EXOSC5 OS=Exaiptasia diaphana OX=2652724","EXOSC5","Exaiptasia diaphana","A0A913XB37",63.208,212,78,0,10,221,16,227,9.11e-105,302
"Peve_00004940","Exosome complex component RRP4","EXOSC2 OS=Exaiptasia diaphana OX=2652724","EXOSC2","Exaiptasia diaphana","A0A913XN19",81.818,165,30,0,1,165,1,165,3.74e-98,285
"Peve_00023222","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913Y5G0",62.67,442,149,6,7,432,24,465,0,556
"Peve_00008062","Exosome complex component RRP40","EXOSC3 OS=Exaiptasia diaphana OX=2652724","EXOSC3","Exaiptasia diaphana","A0A913Y852",67.249,229,75,0,9,237,12,240,2.01e-123,350
"Peve_00023222","Exosome complex component RRP45","EXOSC9 OS=Exaiptasia diaphana OX=2652724","EXOSC9","Exaiptasia diaphana","A0A913YV10",62.162,444,151,6,7,435,24,465,0,554
"Peve_00027941","Exosome complex component RRP41","EXOSC4","EXOSC4","Desmophyllum pertusum","A0A9W9YAL0",96,125,5,0,1,125,1,125,1.86e-87,257
"Peve_00023222","Exosome complex component RRP45","EXOSC9","EXOSC9","Desmophyllum pertusum","A0A9W9YLS2",83.586,396,59,4,1,392,24,417,0,676
"Peve_00004940","Exosome complex component RRP4","EXOSC2","EXOSC2","Desmophyllum pertusum","A0A9X0CGQ7",92.121,165,13,0,1,165,1,165,7.96e-110,312
"Peve_00023222","Exosome complex component RRP45","P5673_013236","EXOSC9","Acropora cervicornis","A0AAD9QLH6",86.275,204,28,0,1,204,24,227,1.2e-133,384
"Peve_00008062","Exosome complex component RRP40","P5673_005421","EXOSC3","Acropora cervicornis","A0AAD9QY03",81.25,240,45,0,1,240,1,240,4.83e-146,407
"Peve_00004940","Exosome complex component RRP4","P5673_022786","EXOSC2","Acropora cervicornis","A0AAD9UZC1",79.787,188,12,2,1,185,1,165,1.86e-99,290
"Peve_00004940","Exosome complex component RRP4","PMEA_00021516","EXOSC2","Pocillopora meandrina","A0AAU9VU96",94.545,165,9,0,1,165,1,165,2.07e-112,322
"Peve_00009801","Exosome complex component RRP46","PMEA_00031659","EXOSC5","Pocillopora meandrina","A0AAU9VZK7",83.262,233,39,0,1,233,1,233,1.25e-146,408
"Peve_00023222","Exosome complex component RRP45","PMEA_00012340","EXOSC9","Pocillopora meandrina","A0AAU9WU01",69.979,473,119,6,377,843,21,476,0,650
"Peve_00008062","Exosome complex component RRP40","PMEA_00013752","EXOSC3","Pocillopora meandrina","A0AAU9WXP4",81.405,242,45,0,1,242,1,242,7.77e-153,425
"Peve_00027941","Exosome complex component RRP41","LOC100202311","EXOSC4","Hydra vulgaris","A0ABM4BSR1",63.485,241,87,1,1,241,1,240,3.62e-118,337
"Peve_00009801","Exosome complex component RRP46-like","LOC136084887","EXOSC5","Hydra vulgaris","A0ABM4CKD3",41.395,215,126,0,1,215,17,231,4.83e-62,193
"Peve_00023222","Exosome complex component RRP45","LOC100212566","EXOSC9","Hydra vulgaris","A0ABM4D7J1",50,358,163,4,1,346,24,377,6.35e-123,366
"Peve_00023222","Exosome complex component RRP45","PLOB_00043031","EXOSC9","Porites lobata","A0ABN8N3W7",98.196,499,8,1,1,498,1,499,0,999
"Peve_00009801","Exosome complex component RRP46","PEVE_00009801","EXOSC5","Porites evermanni","A0ABN8R6C4",100,233,0,0,1,233,1,233,1.14e-173,476
"Peve_00023222","Exosome complex component RRP45","PEVE_00023222","EXOSC9","Porites evermanni","A0ABN8SQP2",100,499,0,0,1,499,1,499,0,1026
"Peve_00009801","Exosome complex component RRP46","NEMVEDRAFT_v1g99151","EXOSC5","Nematostella vectensis","A7RZV7",62.273,220,83,0,2,221,4,223,9.83e-106,305
"Peve_00008062","Exosome complex component RRP40","NEMVEDRAFT_v1g120763","EXOSC3","Nematostella vectensis","A7SJP6",67.811,233,74,1,7,239,9,240,2.69e-121,345
"Peve_00024390","Exosome complex component RRP40","EXOSC3","EXOSC3","Hydra vulgaris","T2M4E6",55.365,233,99,4,11,240,10,240,8.46e-85,253
"Peve_00009801","Exosome complex component RRP46","EXOSC5","EXOSC5","Hydra vulgaris","T2M4V1",41.395,215,126,0,1,215,17,231,5.87e-62,193
"Peve_00004940","Exosome complex component RRP4","EXOSC2","EXOSC2","Hydra vulgaris","T2ME10",69.277,166,50,1,1,166,1,165,1.71e-82,246
"Peve_00023222","Exosome complex component RRP45","EXOSC9","EXOSC9","Hydra vulgaris","T2ME23",49.721,358,164,4,1,346,24,377,6.22e-123,366
"Peve_00021642","Exosome complex exonuclease RRP44 isoform X2","LOC100215214","DIS3","Hydra vulgaris","A0ABM4D387",55.567,970,399,8,1,951,1,957,0,1120
"Peve_00009801","Exosome complex exonuclease RRP46","PLOB_00045787","EXOSC5","Porites lobata","A0ABN8N0P1",97.425,233,6,0,1,233,1,233,6.3e-169,464
"Peve_00021642","Exosome complex exonuclease RRP44","PLOB_00046581","DIS3","Porites lobata","A0ABN8PS90",97.701,957,22,0,1,957,1,957,0,1958
"Peve_00027941","Exosome complex exonuclease RRP41","PLOB_00014067","EXOSC4","Porites lobata","A0ABN8R256",97.959,245,5,0,1,245,1,245,0,503
"Peve_00021642","Exosome complex exonuclease RRP44","PEVE_00021642","DIS3","Porites evermanni","A0ABN8SLK5",100,957,0,0,1,957,1,957,0,1996
"Peve_00027941","Exosome component 4","PEVE_00027941","EXOSC4","Porites evermanni","A0ABN8M8W7",100,245,0,0,1,245,1,245,0,511
"Peve_00025446","Exosome component 7","PMEA_00028419","EXOSC7","Pocillopora meandrina","A0AAU9VXB3",84.192,291,46,0,1,291,1,291,0,516
"Peve_00002243","C3H1-type domain-containing protein","pdam_00023615","ZFC3H1","Pocillopora damicornis","A0A3M6TF63",50.559,2775,1163,53,465,3184,451,3071,0,2546
"Peve_00014570","C3H1-type domain-containing protein","pdam_00013354","ZFC3H1","Pocillopora damicornis","A0A3M6U709",69.378,627,145,14,1,592,1,615,0,844
"Peve_00002241","C3H1-type domain-containing protein","pdam_00003006","ZFC3H1","Pocillopora damicornis","A0A3M6U800",47.872,1504,674,29,1936,3405,17,1444,0,1258
"Peve_00007700","C3H1-type domain-containing protein","pdam_00006329","ZFC3H1","Pocillopora damicornis","A0A3M6UU55",63.275,403,68,9,13,336,2,403,4.32e-155,441
"Peve_00024196","C3H1-type domain-containing protein","pdam_00020642","ZFC3H1","Pocillopora damicornis","A0A3M6UXL4",86.006,343,45,3,82,424,1,340,0,520
"Peve_00026757","C3H1-type domain-containing protein","pdam_00006425","ZFC3H1","Pocillopora damicornis","A0A3M6UXZ5",66.438,292,74,7,1,289,3,273,3.71e-124,366
"Peve_00018839","C3H1-type domain-containing protein","pdam_00007335","ZFC3H1","Pocillopora damicornis","A0A3M6V1Q8",55.249,762,269,24,60,795,78,793,0,745
"Peve_00033123","C3H1-type domain-containing protein","pdam_00014534","ZFC3H1","Pocillopora damicornis","A0A3M6V413",97.143,140,4,0,1,140,1,140,1.48e-99,292
"Peve_00024196","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5UU27",50.289,346,147,9,76,402,1,340,2.53e-90,277
"Peve_00014570","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5UY71",51.982,227,108,1,209,434,333,559,2.63e-83,277
"Peve_00018839","C3H1-type domain-containing protein","ZFC3H1 OS=Clytia hemisphaerica OX=252671","ZFC3H1","Clytia hemisphaerica","A0A7M5WRS8",47.134,314,119,7,232,517,210,504,2.71e-84,285
"Peve_00024196","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913WR49",71.091,339,83,3,82,405,2,340,2.89e-151,432
"Peve_00026757","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913WTR0",50.671,298,112,9,6,295,3,273,1.79e-81,256
"Peve_00014570","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XAL5",43.328,607,233,16,1,529,1,574,1.83e-145,436
"Peve_00007700","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XEY4",66.667,297,69,9,1,276,23,310,2.62e-126,369
"Peve_00007700","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XEZ4",68.333,300,74,10,1,291,23,310,8.12e-132,383
"Peve_00007700","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913XF03",68.333,300,74,10,1,291,23,310,6.21e-132,384
"Peve_00018839","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913Y3U2",49.836,608,223,19,289,842,211,790,2.84e-167,505
"Peve_00023685","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913Y7Z7",49.364,472,197,11,486,923,514,977,4.77e-136,435
"Peve_00018839","C3H1-type domain-containing protein","ZFC3H1 OS=Exaiptasia diaphana OX=2652724","ZFC3H1","Exaiptasia diaphana","A0A913YXN3",49.836,608,223,19,150,703,211,790,6.04e-169,504
"Peve_00007224","C3H1-type domain-containing protein","OS493_013117","ZFC3H1","Desmophyllum pertusum","A0A9W9YT36",89.451,711,70,2,1,706,23,733,0,1214
"Peve_00026757","C3H1-type domain-containing protein","OS493_017776","ZFC3H1","Desmophyllum pertusum","A0A9W9ZCL1",73.333,120,27,3,1,120,3,117,2.26e-54,178
"Peve_00018839","C3H1-type domain-containing protein","OS493_000086","ZFC3H1","Desmophyllum pertusum","A0A9X0AA07",66.176,408,112,8,94,494,161,549,0,530
"Peve_00014570","C3H1-type domain-containing protein","OS493_007929","ZFC3H1","Desmophyllum pertusum","A0A9X0CI06",71.955,624,150,8,40,647,1,615,0,904
"Peve_00018839","C3H1-type domain-containing protein","PMEA_00016502","ZFC3H1","Pocillopora meandrina","A0AAU9VPY1",55.701,763,266,24,60,797,78,793,0,751
"Peve_00002243","C3H1-type domain-containing protein","PMEA_00025418","ZFC3H1","Pocillopora meandrina","A0AAU9VUI3",36.442,2917,1554,68,681,3456,561,3318,0,1621
"Peve_00009218","C3H1-type domain-containing protein","PMEA_00006800","ZFC3H1","Pocillopora meandrina","A0AAU9WJL5",45.224,984,422,29,167,1069,142,1089,0,691
"Peve_00007700","C3H1-type domain-containing protein","PMEA_00008538","ZFC3H1","Pocillopora meandrina","A0AAU9WNB9",79.331,329,48,3,13,322,2,329,4.26e-173,489
"Peve_00024196","C3H1-type domain-containing protein","PMEA_00026845","ZFC3H1","Pocillopora meandrina","A0AAU9XMA9",86.006,343,45,3,82,424,1,340,0,520
"Peve_00014570","C3H1-type domain-containing protein","PMEA_00034110","ZFC3H1","Pocillopora meandrina","A0AAU9XYX6",69.378,627,145,14,1,592,1,615,0,845
"Peve_00014570","C3H1-type domain-containing protein","PEVE_00014570","ZFC3H1","Porites evermanni","A0ABN8LDS2",100,615,0,0,1,615,1,615,0,1278
"Peve_00018839","C3H1-type domain-containing protein","PEVE_00018839","ZFC3H1","Porites evermanni","A0ABN8M174",100,796,0,0,1,796,1,796,0,1648
"Peve_00024196","C3H1-type domain-containing protein","PEVE_00024196","ZFC3H1","Porites evermanni","A0ABN8M8L2",100,356,0,0,1,356,1,356,0,725
"Peve_00024197","C3H1-type domain-containing protein","PEVE_00024197","ZFC3H1","Porites evermanni","A0ABN8MAN4",100,189,0,0,1,189,1,189,6.52e-140,387
"Peve_00028020","C3H1-type domain-containing protein","PLOB_00030861","ZFC3H1","Porites lobata","A0ABN8MV42",93.191,470,21,2,1,470,1,459,0,870
"Peve_00002243","C3H1-type domain-containing protein","PLOB_00035750","ZFC3H1","Porites lobata","A0ABN8MVQ5",83.198,3321,470,13,1,3242,7,3318,0,5617
"Peve_00026757","C3H1-type domain-containing protein","PLOB_00002629","ZFC3H1","Porites lobata","A0ABN8N7E6",99.267,273,2,0,1,273,1,273,0,561
"Peve_00024196","C3H1-type domain-containing protein","PLOB_00022053","ZFC3H1","Porites lobata","A0ABN8NLF5",98.876,356,4,0,82,437,1,356,0,722
"Peve_00018839","C3H1-type domain-containing protein","PLOB_00049275","ZFC3H1","Porites lobata","A0ABN8PWR5",98.331,719,12,0,60,778,78,796,0,1471
"Peve_00014570","C3H1-type domain-containing protein","PLOB_00027635","ZFC3H1","Porites lobata","A0ABN8RUA0",97.724,615,7,1,1,608,1,615,0,1244
"Peve_00028906","C3H1-type domain-containing protein","PEVE_00028906","ZFC3H1","Porites evermanni","A0ABN8STI4",100,581,0,0,1,581,1,581,0,1221
"Peve_00028020","C3H1-type domain-containing protein","PEVE_00028020","ZFC3H1","Porites evermanni","A0ABN8SXS4",100,459,0,0,1,459,1,459,0,953
"Peve_00033986","C3H1-type domain-containing protein","PEVE_00033986","ZFC3H1","Porites evermanni","A0ABN8T119",100,432,0,0,1,432,1,432,0,895
"Peve_00026757","C3H1-type domain-containing protein","NEMVEDRAFT_v1g242949","ZFC3H1","Nematostella vectensis","A7S573",52.595,289,90,8,16,283,11,273,1.01e-83,263
"Peve_00007700","C3H1-type domain-containing protein","NEMVEDRAFT_v1g210446","ZFC3H1","Nematostella vectensis","A7SD65",77.578,223,46,3,1,221,28,248,7.25e-120,349
"Peve_00023310","Integrator complex subunit 10","INTS10","INTS10","Stylophora pistillata","A0A2B4RL22",74.834,751,183,3,1,749,1,747,0,1177
"Peve_00023310","Integrator complex subunit 10","pdam_00020400","INTS10","Pocillopora damicornis","A0A3M6UR45",74.738,764,164,5,1,752,1,747,0,1184
"Peve_00023310","Integrator complex subunit 10","LOC116301585","INTS10","Actinia tenebrosa","A0A6P8IIL6",52.807,748,336,8,17,760,13,747,0,791
"Peve_00023310","Integrator complex subunit 10","PACLA_8A028259","INTS10","Paramuricea clavata","A0A7D9DCJ8",38.865,687,371,15,1,653,75,746,1.06e-159,477
"Peve_00023310","Integrator complex subunit 10","INTS10 OS=Exaiptasia diaphana OX=2652724","INTS10","Exaiptasia diaphana","A0A913XFC5",48.163,762,305,18,2,692,5,747,0,671
"Peve_00023310","Integrator complex subunit 10","INTS10","INTS10","Desmophyllum pertusum","A0A9W9Y953",81.481,351,64,1,301,651,398,747,0,598
"Peve_00023310","Integrator complex subunit 10","P5673_001020","INTS10","Acropora cervicornis","A0AAD9R5R9",63.974,755,227,7,6,727,5,747,0,957
"Peve_00023310","Integrator complex subunit 10","PMEA_00008300","INTS10","Pocillopora meandrina","A0AAU9WMN8",76.995,752,167,3,1,751,1,747,0,1217
"Peve_00023310","Integrator complex subunit 10","LOC100204300","INTS10","Hydra vulgaris","A0ABM4B4R9",30.47,745,440,16,4,677,9,746,1.12e-107,343
"Peve_00023310","Integrator complex subunit 10","PLOB_00012379","INTS10","Porites lobata","A0ABN8NDJ1",94.385,748,41,1,1,748,1,747,0,1467
"Peve_00006447","Integrator complex subunit 10","PEVE_00006447","INTS10","Porites evermanni","A0ABN8QUE3",100,751,0,0,1,751,1,751,0,1562
"Peve_00023310","Integrator complex subunit 10","PEVE_00023310","INTS10","Porites evermanni","A0ABN8SKW7",100,747,0,0,1,747,1,747,0,1560
"Peve_00035005","Integrator complex subunit 10","NEMVEDRAFT_v1g212612","INTS10","Nematostella vectensis","A7SI39",34.109,387,201,12,158,499,319,696,6.44e-53,191
"Peve_00023310","Integrator complex subunit 10","NEMVEDRAFT_v1g139223","INTS10","Nematostella vectensis","A7SZL1",60.811,148,58,0,8,155,13,160,2.65e-61,201
"Peve_00009358","Integrator complex subunit 11","pdam_00006394","INTS11","Pocillopora damicornis","A0A3M6TQM9",88.298,282,31,2,338,619,300,579,2.22e-173,506
"Peve_00009358","Integrator complex subunit 11","INTS11 OS=Clytia hemisphaerica OX=252671","INTS11","Clytia hemisphaerica","A0A7M5XBL5",69.138,580,173,3,14,590,3,579,0,866
"Peve_00009358","Integrator complex subunit 11","INTS11 OS=Exaiptasia diaphana OX=2652724","INTS11","Exaiptasia diaphana","A0A913YHP1",82.979,564,93,2,1,564,19,579,0,1004
"Peve_00009358","Integrator complex subunit 11","INTS11 OS=Exaiptasia diaphana OX=2652724","INTS11","Exaiptasia diaphana","A0A913YME0",91.977,349,28,0,1,349,19,367,0,700
"Peve_00009358","Integrator complex subunit 11","PMEA_00016861","INTS11","Pocillopora meandrina","A0AAU9VQD5",93.448,580,36,2,9,588,2,579,0,1142
"Peve_00009358","Integrator complex subunit 11","LOC100202570","INTS11","Hydra vulgaris","A0ABM4DI96",71.773,581,159,3,14,593,3,579,0,890
"Peve_00009358","Integrator complex subunit 11","NEMVEDRAFT_v1g179209","INTS11","Nematostella vectensis","A7RL47",84.762,525,71,1,1,516,19,543,0,952
"Peve_00009358","Integrator complex subunit 11","CPSF3L","INTS11","Stylophora pistillata","A0A2B4STP1",92.919,579,39,2,14,592,3,579,0,1136
"Peve_00009358","Integrator complex subunit 11","LOC116291394","INTS11","Actinia tenebrosa","A0A6P8HHK7",82.788,581,96,1,14,594,3,579,0,1040
"Peve_00009358","Integrator complex subunit 11","INTS11 OS=Exaiptasia diaphana OX=2652724","INTS11","Exaiptasia diaphana","A0A913X120",83.103,580,95,2,14,593,3,579,0,1035
"Peve_00009358","Integrator complex subunit 11","INTS11 OS=Exaiptasia diaphana OX=2652724","INTS11","Exaiptasia diaphana","A0A913XJX1",91.781,365,30,0,14,378,3,367,0,731
"Peve_00009358","Integrator complex subunit 11","CPSF3L","INTS11","Desmophyllum pertusum","A0A9X0A702",92.388,578,43,1,14,591,3,579,0,1134
"Peve_00035301","Integrator complex subunit 12","INTS12","INTS12","Stylophora pistillata","A0A2B4S4P7",72.113,355,92,4,1,350,1,353,3.38e-160,452
"Peve_00035301","Integrator complex subunit 12","LOC116301812","INTS12","Actinia tenebrosa","A0A6P8IJ32",45.429,361,181,9,1,353,1,353,9.17e-79,245
"Peve_00035301","Integrator complex subunit 12","INTS12 OS=Exaiptasia diaphana OX=2652724","INTS12","Exaiptasia diaphana","A0A913YKG6",42.818,362,182,8,13,361,4,353,5.92e-74,233
"Peve_00035301","Integrator complex subunit 12","INTS12","INTS12","Desmophyllum pertusum","A0A9X0CZE9",67.204,372,98,5,1,367,1,353,6.17e-148,422
"Peve_00035301","Integrator complex subunit 12","P5673_007265","INTS12","Acropora cervicornis","A0AAD9VBW7",73.151,365,83,7,1,362,1,353,1.91e-158,448
"Peve_00035301","Integrator complex subunit 12","PMEA_00007650","INTS12","Pocillopora meandrina","A0AAU9WL65",72.394,355,91,4,18,367,1,353,2.69e-160,453
"Peve_00035301","Integrator complex subunit 12","PEVE_00035301","INTS12","Porites evermanni","A0ABN8MNQ2",100,353,0,0,1,353,1,353,0,723
"Peve_00035301","Integrator complex subunit 12","PLOB_00038393","INTS12","Porites lobata","A0ABN8P772",98.3,353,6,0,1,353,1,353,0,709
"Peve_00026086","Integrator complex subunit 13","P5673_029862","INTS13","Acropora cervicornis","A0AAD9PVE8",65.522,670,149,8,1,595,1,663,0,843
