"target","gene_name"
"FUN_038633-T1","JOSD1"
"FUN_038633-T1","JOSD2"
"FUN_002813-T1","BAP1"
"FUN_024215-T1","UCHL1"
"FUN_024215-T1","UCHL3"
"FUN_042970-T1","UCHL5"
"FUN_024215-T1","Uchl4"
"FUN_004918-T1","OTUD7A"
"FUN_004918-T1","OTUD7B"
"FUN_032607-T1","PSMD14"
"FUN_015424-T1","COPS5"
"FUN_041920-T1","COPS6"
"FUN_036827-T2","STAMBPL1"
"FUN_041902-T1","BRCC3"
"FUN_016586-T1","MPND"
"FUN_017768-T1","PSMD7"
"FUN_014855-T1","PRPF8"
"FUN_010733-T1","EIF3H"
"FUN_028193-T1","EIF3F"
"FUN_032815-T1","ZC3H12B"
"FUN_032815-T1","ZC3H12C"
"FUN_032815-T1","ZC3H12D"
"FUN_032815-T1","ZC3H12A"
"FUN_009519-T1","H1-2"
"FUN_036132-T1","H2AW"
"FUN_009519-T1","MACROH2A1"
"FUN_009959-T1","H2AZ2"
"FUN_009959-T1","H2AZ1"
"FUN_036132-T1","H2AJ"
"FUN_014486-T2","H2AX"
"FUN_014486-T2","Hdac2"
"FUN_004054-T1","Hdac3"
"FUN_026177-T2","Hdac4"
"FUN_026177-T2","Hdac5"
"FUN_006104-T1","Hdac6"
"FUN_026177-T1","Hdac7"
"FUN_012762-T1","Hdac8"
"FUN_026177-T1","Hdac9"
"FUN_006104-T1","Hdac10"
"FUN_007150-T1","Hdac11"
"FUN_001342-T1","Sirt1"
"FUN_032088-T1","Sirt2"
"FUN_033885-T1","Sirt3"
"FUN_015228-T1","Sirt4"
"FUN_035720-T1","Sirt5"
"FUN_040878-T1","Sirt6"
"FUN_034483-T1","Sirt7"
"FUN_024566-T1","Ogt"
"FUN_036205-T1","Parp2"
"FUN_008108-T2","Parp3"
"FUN_012366-T1","Parp4"
"FUN_001354-T1","Parp5a-Tnks"
"FUN_001354-T1","Parp5b-Tnks2"
"FUN_040029-T1","Parp7-Tiparp"
"FUN_035359-T1","Parp9"
"FUN_040021-T1","Parp11"
"FUN_012662-T1","Parp12"
"FUN_040025-T1","Parp13-Zc3hav1"
"FUN_035359-T1","Parp14"
"FUN_035359-T1","PARP15"
"FUN_004860-T1","Parp16"
"FUN_037053-T1","Parg"
"FUN_038088-T1","Arh1-Adprh"
"FUN_002092-T1","Arh3-Adprs"
"FUN_022482-T1","Kat1-Hat1"
"FUN_022104-T2","Kat2a"
"FUN_022104-T2","Kat2b"
"FUN_023950-T1","Kat3A-Crebbp"
"FUN_023950-T1","Kat3B-Ep300"
"FUN_006169-T1","Kat4-Taf1"
"FUN_008278-T1","Kat5"
"FUN_001141-T1","Kat6a"
"FUN_001141-T1","Kat6b"
"FUN_001141-T1","Kat7"
"FUN_010779-T1","Kat8"
"FUN_014483-T1","Kat9-Elp3"
"FUN_033745-T1","Kat13D-Clock"
"FUN_004512-T1","Kat14"
"FUN_014437-T1","GTF3C2"
"FUN_040153-T1","ATAT1"
"FUN_032433-T1","GTF3C1"
"FUN_008711-T1","NAA10"
"FUN_041312-T1","NAA50"
"FUN_038403-T1","NAA60"
"FUN_042837-T1","BRD4"
"FUN_010654-T1","ESCO2"
"FUN_010654-T1","ESCO1"
"FUN_032220-T1","DLAT"
"FUN_009381-T1","MCM3AP"
"FUN_022632-T1","BLOC1S1"
"FUN_034339-T3","NAT10"
"FUN_011847-T1","ACAT1"
"FUN_011931-T1","ACAT2"
"FUN_012353-T1","Kdm1a"
"FUN_033309-T1","Kdm1b"
"FUN_015145-T1","Kdm2a"
"FUN_015145-T1","Kdm2b"
"FUN_001425-T1","Kdm3a"
"FUN_001425-T1","Kdm3b"
"FUN_004436-T1","Kdm4a"
"FUN_004436-T1","Kdm4b"
"FUN_004436-T1","Kdm4c"
"FUN_004436-T1","Kdm4d"
"FUN_045329-T1","Kdm5a"
"FUN_045329-T1","Kdm5b"
"FUN_045329-T1","Kdm5c"
"FUN_045329-T1","Kdm5d"
"FUN_028309-T1","Kdm6a"
"FUN_029248-T1","Kdm7a"
"FUN_039863-T1","Kdm8"
"FUN_028309-T1","Uty"
"FUN_029248-T1","Phf2"
"FUN_029248-T1","Phf8"
"FUN_037684-T1","Jmjd6"
"FUN_036208-T2","Jarid2"
"FUN_004470-T1","Jmjd7"
"FUN_001425-T1","Kdm3c-Jmjd1c"
"FUN_016677-T1","Tyw5"
"FUN_008086-T1","Riox1"
"FUN_008086-T1","Riox2"
"FUN_032610-T1","STK4"
"FUN_001593-T1","SLK"
"FUN_004346-T1","PRKAA2"
"FUN_001403-T1","WEE1"
"FUN_016148-T1","HIRA"
"FUN_023202-T1","HASPIN"
"FUN_007977-T1","BUB1"
"FUN_040002-T2","DLK1"
"FUN_040266-T1","DAPK3"
"FUN_043156-T1","PKN1"
"FUN_044376-T1","PKM"
"FUN_040103-T1","WDR5"
"FUN_004511-T1","JAK2"
"FUN_041777-T1","DYRK1A"
"FUN_008187-T1","RPS6KA5"
"FUN_008187-T1","RPS6KA4"
"FUN_016070-T1","YWHAQ"
"FUN_038100-T1","PRKCB"
"FUN_034972-T1","AURKB"
"FUN_034972-T1","AURKC"
"FUN_034972-T1","AURKA"
"FUN_006369-T1","JKAMP"
"FUN_032245-T1","MAPK9"
"FUN_032245-T1","MAPK8"
"FUN_032610-T1","STK4"
"FUN_010587-T1","MDC1"
"FUN_015402-T1","MCPH1"
"FUN_041551-T1","PAK2"
"FUN_016148-T1","HIRA"
"FUN_012182-T1","ATM"
"FUN_032605-T1","ATR"
"FUN_043503-T1","CSNK2B"
"FUN_002429-T1","PRKCD"
"FUN_005133-T1","MAP2K1"
"FUN_017901-T1","MAP3K12"
"FUN_016284-T1","map3k22"
"FUN_016091-T1","MAPK1"
"FUN_016091-T1","MAPK3"
"FUN_032245-T1","mapk8b"
"FUN_028838-T1","MAPK11"
"FUN_028838-T1","MAPK12"
"FUN_028838-T1","MAPK13"
"FUN_028838-T1","MAPK14"
"FUN_004346-T1","PRKAA1"
"FUN_004346-T1","PRKAA2"
"FUN_034460-T1","PRKDC"
"FUN_002454-T1","PIM1"
"FUN_012595-T1","CDK8"
"FUN_036826-T1","Chuk"
"FUN_001344-T1","CDK1"
"FUN_028262-T1","CHEK1"
"FUN_024481-T1","APBB1"
"FUN_008710-T1","BAZ1B"
"FUN_008710-T1","Suv39h1-kmt1a"
"FUN_008710-T1","Suv39h2-Kmt1b"
"FUN_043447-T1","Kmt1c-Ehmt2"
"FUN_043447-T1","Kmt1d-Ehmt1"
"FUN_034263-T1","Kmt1e-Setdb1"
"FUN_041732-T2","Kmt2a"
"FUN_041732-T1","Kmt2b"
"FUN_022629-T1","Kmt2c"
"FUN_022629-T1","Kmt2d"
"FUN_028977-T1","Kmt2e"
"FUN_011276-T1","Kmt2f-Setd1a"
"FUN_011276-T1","Kmt2g-Setd1b"
"FUN_017839-T1","Kmt2h-Ash1l"
"FUN_017839-T1","Kmt3a-Setd2"
"FUN_023369-T2","Kmt3b-Nsd1"
"FUN_037911-T1","Kmt3c-Smyd2"
"FUN_042630-T1","Kmt4-Dot1l"
"FUN_011179-T1","Kmt5a—Setd8"
"FUN_033922-T1","Kmt5b"
"FUN_033922-T1","Kmt5c"
"FUN_018005-T1","Kmt6-Ezh2"
"FUN_016202-T1","Prdm4"
"FUN_016200-T1","Prdm5"
"FUN_004096-T1","Prdm6"
"FUN_016202-T1","Prdm9"
"FUN_045444-T1","Prdm11"
"FUN_039873-T1","Prdm12"
"FUN_012490-T1","Prdm13"
"FUN_004339-T1","Prdm14"
"FUN_016202-T1","Prdm15"
"FUN_024354-T1","Setmar"
"FUN_037745-T1","Ash2l"
"FUN_017839-T1","Whsc1-Nsd2"
"FUN_023369-T2","Whsc1l-Nsd3"
"FUN_018005-T1","Ezh1"
"FUN_001664-T1","Setd3"
"FUN_032757-T1","Setd4"
"FUN_028977-T1","Setd5"
"FUN_014515-T1","Setd6"
"FUN_037911-T1","Smyd3"
"FUN_014509-T1","Smyd4"
"FUN_023248-T1","Smyd5"
"FUN_040713-T1","Mbd2"
"FUN_040713-T1","Mbd3"
"FUN_045194-T1","Mbd6"
"FUN_045194-T1","Baz2b"
"FUN_024017-T1","Uhrf1"
"FUN_024017-T1","Uhrf2"
"FUN_024220-T1","Klf4"
"FUN_023134-T1","Egr1"
"FUN_016202-T1","Ctcf"
"FUN_016161-T1","EYA1"
"FUN_016161-T1","EYA3"
"FUN_016161-T1","EYA4"
"FUN_016161-T1","EYA2"
"FUN_014527-T1","PPM1D"
"FUN_001196-T1","PPP6C"
"FUN_014616-T1","PPP4C"
"FUN_038347-T1","DUS1L"
"FUN_014624-T1","PPP1CA"
"FUN_032162-T1","PPP1CB"
"FUN_014624-T1","PPP1CC"
"FUN_030672-T1","Prmt2"
"FUN_001172-T1","Prmt3"
"FUN_034799-T1","Prmt5"
"FUN_034029-T1","Prmt6"
"FUN_035067-T1","Prmt7"
"FUN_034029-T1","Prmt8"
"FUN_041548-T1","Prmt9"
"FUN_013560-T1","PPP1R7"
"FUN_010713-T1","PPP1R8"
"FUN_018029-T1","PPP1R9A"
"FUN_018029-T1","PPP1R9B"
"FUN_001086-T1","PPP1R12A"
"FUN_001086-T1","PPP1R12C"
"FUN_001086-T1","PPP1R12B"
"FUN_017922-T1","PPP1R13B"
"FUN_035677-T1","PPP1R16A"
"FUN_035677-T1","PPP1R16B"
"FUN_036742-T1","PPP1R2"
"FUN_037054-T1","METTL14"
"FUN_012384-T1","WTAP"
"FUN_034836-T1","VIRMA"
"FUN_024018-T1","RBM15"
"FUN_015272-T1","METTL16"
"FUN_023577-T1","ZCCHC4"
"FUN_031939-T1","METTL5"
"FUN_016652-T1","TRMT112"
"FUN_024018-T1","RBM15B"
"FUN_038218-T1","ALKBH5"
"FUN_005063-T1","YTHDC2"
"FUN_003846-T1","YTHDC1"
"FUN_032215-T1","YTHDF1"
"FUN_032215-T1","YTHDF2"
"FUN_032215-T1","YTHDF3"
"FUN_028511-T1","FMR1"
"FUN_015158-T1","HNRNPA2B1"
"FUN_029671-T1","METTL4"
"FUN_040230-T1","DCP2"
"FUN_040949-T2","NSUN2"
"FUN_037384-T1","TRDMT1"
"FUN_011956-T3","NSUN4"
"FUN_013377-T1","NSUN6"
"FUN_028908-T1","NSUN5"
"FUN_025798-T1","ALKBH1"
"FUN_013400-T1","YBX1"
"FUN_038346-T1","ALYREF"
"FUN_023552-T1","TRMT1"
"FUN_022390-T1","TRMT61A"
"FUN_024446-T1","TRMT10A"
"FUN_025766-T1","METTL2A"
"FUN_025766-T1","METTL2B"
"FUN_025733-T1","METTL6"
"FUN_025766-T1","METTL8"
"FUN_037221-T1","METTL1"
"FUN_041750-T1","DKC1"
"FUN_040954-T1","RPUSD2"
"FUN_007018-T1","PUS3"
"FUN_032137-T1","PUS10"
"FUN_023231-T1","PUS1"
"FUN_028279-T1","PUS7L"
"FUN_012591-T1","PUS7"
"FUN_037383-T1","ADAR"
"FUN_025756-T1","ADARB1"
"FUN_025756-T1","ADARB2"
"FUN_045085-T1","Senp1"
"FUN_045085-T1","Senp2"
"FUN_045085-T1","Senp3"
"FUN_011974-T1","Senp6"
"FUN_011974-T1","Senp7"
"FUN_028911-T1","Senp8"
"FUN_032363-T1","Tet1"
"FUN_032363-T1","Tet2"
"FUN_022341-T1","Tet3"
"FUN_002469-T1","HUWE1"
"FUN_025748-T1","UBE2Z"
"FUN_035552-T1","UBE2V1"
"FUN_024761-T1","UBE2A"
"FUN_001341-T1","UBE2D1"
"FUN_001341-T1","UBE2D2"
"FUN_001341-T1","UBE2D3"
"FUN_007147-T1","UBA1"
"FUN_034808-T1","UBA3"
"FUN_004748-T1","UBA6"
"FUN_007147-T1","UBA7"
"FUN_018046-T1","UBA5"
"FUN_035867-T1","UBA2"
"FUN_016340-T1","UBE4A"
"FUN_024017-T1","UHRF1"
"FUN_027900-T1","RNF168"
"FUN_038038-T1","TOM1"
"FUN_015193-T1","TRIM37"
"FUN_006985-T1","UBE3A"
"FUN_032104-T1","UBR2"
"FUN_010962-T1","RNF20"
"FUN_010962-T1","RNF40"
"FUN_012241-T1","ARID1A"
"FUN_012241-T1","ARID1B"
"FUN_041642-T1","CUL4A"
"FUN_033843-T1","DDB1"
"FUN_035357-T1","DTX3L"
