# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/Peve-lncRNA.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-71.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-73.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-76.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-79.sorted.bam	/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/data/01.6-Peve-lncRNA-pipeline/RNA-POR-82.sorted.bam
lncRNA_066	Porites_evermani_scaffold_1007	84296	84691	+	396	59.42	21	6	3	69.83
lncRNA_067	Porites_evermani_scaffold_1007	141303	141511	+	209	18	0	31	29	16
lncRNA_068	Porites_evermani_scaffold_1007	144686	146427	+	1742	40	12	144	19	263
lncRNA_069	Porites_evermani_scaffold_1009	66695	71857	+	5163	2	0	28	5	16
lncRNA_070	Porites_evermani_scaffold_1009	35935	37276	+	1342	2068	820	40	1817	545
lncRNA_071	Porites_evermani_scaffold_101	23	1677	+	1655	253	12.50	0	12	40
lncRNA_072	Porites_evermani_scaffold_101	275970	276890	+	921	12	10	48	0	9
lncRNA_073	Porites_evermani_scaffold_101	308512	309079	+	568	53.50	9.50	1	5	32.50
lncRNA_074	Porites_evermani_scaffold_101	93774	94029	+	256	4	0	34	4	5
lncRNA_075	Porites_evermani_scaffold_101	310159	310492	+	334	79	13	151	43	96
lncRNA_076	Porites_evermani_scaffold_101	352710	352922	+	213	0	0	36	0	0
lncRNA_077	Porites_evermani_scaffold_101	488999	489315	+	317	1	0	54	0	8
lncRNA_078	Porites_evermani_scaffold_101	506816	507049	+	234	0	0	28	0	0
lncRNA_079	Porites_evermani_scaffold_1010	23938	26609	+	2672	51.43	17.40	119.33	64.37	78.10
lncRNA_080	Porites_evermani_scaffold_1010	140330	140547	+	218	30.63	0.60	0.65	1.80	51.63
lncRNA_081	Porites_evermani_scaffold_1011	33329	38887	+	5559	1042	318	678	534	1286
lncRNA_082	Porites_evermani_scaffold_1011	121753	122198	+	446	0	1	46	2	12
lncRNA_083	Porites_evermani_scaffold_1011	88196	89259	+	1064	112	20	2	8	79
lncRNA_084	Porites_evermani_scaffold_1011	139078	139698	+	621	74.23	20.17	21.20	3	15.77
lncRNA_085	Porites_evermani_scaffold_1011	155451	155947	+	497	12	0	62	15	19
lncRNA_086	Porites_evermani_scaffold_1012	54717	56145	+	1429	279	207	1308	206	436
lncRNA_087	Porites_evermani_scaffold_1013	64663	68723	+	4061	1	6	20	2	35
lncRNA_088	Porites_evermani_scaffold_1013	148823	153032	+	4210	55.00	7	2.20	46.00	30
lncRNA_089	Porites_evermani_scaffold_1014	105573	106040	+	468	721	536	1731	598	673
lncRNA_090	Porites_evermani_scaffold_1014	106187	109731	+	3545	1357	545	2002	1023	999
lncRNA_091	Porites_evermani_scaffold_1014	160341	162433	+	2093	45.33	24.50	28.00	98.66	833.48
lncRNA_092	Porites_evermani_scaffold_1014	160341	162433	+	2093	45.33	24.50	28.00	98.66	833.48
lncRNA_093	Porites_evermani_scaffold_1014	160341	162433	+	2093	45.33	24.50	28.00	98.66	833.48
lncRNA_094	Porites_evermani_scaffold_1014	1258	1727	+	470	58	25	85	64	61
lncRNA_095	Porites_evermani_scaffold_1015	119213	127407	+	8195	2324.13	222.20	1840.30	1422.20	1426.70
lncRNA_096	Porites_evermani_scaffold_1016	25370	26143	+	774	157.77	12.50	773.00	93.75	226.67
lncRNA_097	Porites_evermani_scaffold_1016	8855	9109	+	255	179.75	50	163.50	311.25	1.50
lncRNA_098	Porites_evermani_scaffold_1017	156795	161692	+	4898	65.80	54	88	35.60	21
lncRNA_099	Porites_evermani_scaffold_1017	46365	46814	+	450	0.40	0	44	15.00	24.60
lncRNA_100	Porites_evermani_scaffold_1018	118699	118936	+	238	89.60	0	22	0	1.00
lncRNA_101	Porites_evermani_scaffold_1018	139659	140347	+	689	90.37	21.50	50	20	3
lncRNA_102	Porites_evermani_scaffold_1019	4700	6650	+	1951	785.75	610	1196	519	765
lncRNA_103	Porites_evermani_scaffold_1019	75791	82403	+	6613	10864.54	3125.68	2333.64	6870.82	14685.73
lncRNA_104	Porites_evermani_scaffold_1019	83166	97903	+	14738	13959.73	4144.88	4195.42	8535.88	16141.80
lncRNA_105	Porites_evermani_scaffold_102	24900	29082	+	4183	32	6	135	55	45
lncRNA_106	Porites_evermani_scaffold_102	29597	40269	+	10673	57	14	261	36	82
lncRNA_107	Porites_evermani_scaffold_102	46085	46681	+	597	52	34	166.00	2	113
lncRNA_108	Porites_evermani_scaffold_102	59034	60288	+	1255	127.50	69	319	46	285.50
lncRNA_109	Porites_evermani_scaffold_102	147178	147558	+	381	0.60	1.40	9.00	1.40	30.20
lncRNA_110	Porites_evermani_scaffold_102	202933	203185	+	253	0	0	11.50	0	8
lncRNA_111	Porites_evermani_scaffold_102	209324	210137	+	814	19.10	66.87	25.92	149.03	22.17
lncRNA_112	Porites_evermani_scaffold_102	267981	268446	+	466	15	0	32	0	27
lncRNA_113	Porites_evermani_scaffold_102	315940	316192	+	253	89	70	73	48	83
lncRNA_114	Porites_evermani_scaffold_102	478318	478565	+	248	0	0	48	0	0
lncRNA_115	Porites_evermani_scaffold_1020	139962	140856	+	895	54.00	63.67	66.92	53.33	36.17
lncRNA_116	Porites_evermani_scaffold_1021	34655	36616	+	1962	55.50	2	135	29	43.00
lncRNA_117	Porites_evermani_scaffold_1021	34655	36616	+	1962	55.50	2	135	29	43.00
lncRNA_118	Porites_evermani_scaffold_1021	72083	75027	+	2945	27.17	27.07	71.72	18.20	31.60
lncRNA_119	Porites_evermani_scaffold_1021	92576	96004	+	3429	36	78	276	93	252
lncRNA_120	Porites_evermani_scaffold_1021	36874	37778	+	905	102.20	14.20	208	31.50	131.00
lncRNA_121	Porites_evermani_scaffold_1022	140031	141073	+	1043	1098	1015	688.50	641.50	1972.50
lncRNA_122	Porites_evermani_scaffold_1022	87825	88035	+	211	0	0	25	0	0
lncRNA_123	Porites_evermani_scaffold_1023	1514	9031	+	7518	134.17	10.35	111.42	31.08	79.17
lncRNA_124	Porites_evermani_scaffold_1023	3279	8032	+	4754	37.83	8.85	21.92	15.92	27.83
lncRNA_125	Porites_evermani_scaffold_1023	138960	139194	+	235	137.50	0	0	4	125
lncRNA_126	Porites_evermani_scaffold_1023	139422	139784	+	363	68.17	0	0	0	63.67
lncRNA_127	Porites_evermani_scaffold_1024	10368	10737	+	370	13	8	34	24	30
lncRNA_128	Porites_evermani_scaffold_1024	132906	133220	+	315	0	0.25	36	0	0
lncRNA_129	Porites_evermani_scaffold_1024	141929	142151	+	223	107.50	113.00	20.50	25	97.67
lncRNA_130	Porites_evermani_scaffold_1024	144355	144641	+	287	0	1	28	0	0
lncRNA_131	Porites_evermani_scaffold_1025	7170	7549	+	380	103.67	46.50	1.50	133.67	525.83
lncRNA_132	Porites_evermani_scaffold_1025	3987	7552	+	3566	452.50	199	30.50	790.00	1714.17
lncRNA_133	Porites_evermani_scaffold_1025	88618	92928	+	4311	170.20	96.50	268	177	554.67
lncRNA_134	Porites_evermani_scaffold_1027	25567	26209	+	643	31	21	48	40	82
lncRNA_135	Porites_evermani_scaffold_1028	19715	19934	+	220	0	0	46	4	0
lncRNA_136	Porites_evermani_scaffold_103	48921	60536	+	11616	682.50	278	101	188	668.33
lncRNA_137	Porites_evermani_scaffold_103	69001	82053	+	13053	1398.82	921.68	2259.98	893.13	1658.27
lncRNA_138	Porites_evermani_scaffold_103	69001	82842	+	13842	1604.82	1003.68	3237.98	1037.13	1923.27
lncRNA_139	Porites_evermani_scaffold_103	163808	164899	+	1092	17	0	24	0	5
lncRNA_140	Porites_evermani_scaffold_103	250758	264745	+	13988	463	193	1533	1427.50	662.50
lncRNA_141	Porites_evermani_scaffold_103	250758	264745	+	13988	463	193	1533	1427.50	662.50
lncRNA_142	Porites_evermani_scaffold_103	96721	97941	+	1221	18	6	185	25	96
lncRNA_143	Porites_evermani_scaffold_103	362450	364688	+	2239	342	114	415	258	1235
lncRNA_144	Porites_evermani_scaffold_103	501949	504039	+	2091	23	12	270	14	11
lncRNA_145	Porites_evermani_scaffold_103	72	291	+	220	0	15	32	3	11
lncRNA_146	Porites_evermani_scaffold_103	175499	175706	+	208	14	0	54	1	12
lncRNA_147	Porites_evermani_scaffold_103	301885	303948	+	2064	797	299	136	488	2098
lncRNA_148	Porites_evermani_scaffold_103	359343	359860	+	518	0	0	66	1	2
lncRNA_149	Porites_evermani_scaffold_103	469873	470094	+	222	0	1	54	0	21
lncRNA_150	Porites_evermani_scaffold_103	494408	494709	+	302	0	0	40	8	2
lncRNA_151	Porites_evermani_scaffold_1030	87884	88772	+	889	4	26	32	32	14
lncRNA_152	Porites_evermani_scaffold_1031	116717	120802	+	4086	210.93	65.83	213.47	93.97	267.68
lncRNA_153	Porites_evermani_scaffold_1032	112772	117167	+	4396	869	399	811	331	1081.20
lncRNA_154	Porites_evermani_scaffold_1032	136518	136779	+	262	0	0	24	0	0
lncRNA_155	Porites_evermani_scaffold_1032	158959	159267	+	309	4	0	39	10	6
lncRNA_156	Porites_evermani_scaffold_1033	115008	121956	+	6949	4	0	116.50	8	27
lncRNA_157	Porites_evermani_scaffold_1033	38302	39477	+	1176	111.50	50.17	63.33	34.00	129.17
lncRNA_158	Porites_evermani_scaffold_1033	94323	95874	+	1552	405.52	10.55	27.33	98.03	5.70
lncRNA_159	Porites_evermani_scaffold_1033	104936	105459	+	524	0	0	54.67	7	6.50
lncRNA_160	Porites_evermani_scaffold_1034	130854	133821	+	2968	6	2	36.50	6	3
lncRNA_161	Porites_evermani_scaffold_1034	47041	47473	+	433	0	0	56	0	0
lncRNA_162	Porites_evermani_scaffold_1034	116004	116234	+	231	12	0	40	2	0
lncRNA_163	Porites_evermani_scaffold_1035	13470	13670	+	201	3.75	0	24.43	2	4
lncRNA_164	Porites_evermani_scaffold_1036	131367	131625	+	259	56.50	4	99.50	27	73.33
lncRNA_165	Porites_evermani_scaffold_1037	155956	159871	+	3916	478	11	37	153	784.50
lncRNA_166	Porites_evermani_scaffold_1037	138218	140096	+	1879	278.53	161.85	59.00	139.67	399.70
lncRNA_167	Porites_evermani_scaffold_1038	19389	20776	+	1388	477	169	475	131	1424
lncRNA_168	Porites_evermani_scaffold_1039	95576	108509	+	12934	999.83	153	244	292	747.50
lncRNA_169	Porites_evermani_scaffold_1039	33562	33777	+	216	0	0	28	0	0
lncRNA_170	Porites_evermani_scaffold_1039	105003	106573	+	1571	63.50	14.50	107	24	62
lncRNA_171	Porites_evermani_scaffold_1039	113674	113938	+	265	16	5	32	1	8
lncRNA_172	Porites_evermani_scaffold_1039	115769	116448	+	680	30	20	74	26	32
lncRNA_173	Porites_evermani_scaffold_1039	121979	122243	+	265	25	5	32	4	11
lncRNA_174	Porites_evermani_scaffold_104	286923	288979	+	2057	384.25	52	755	371.50	617
lncRNA_175	Porites_evermani_scaffold_104	291004	292778	+	1775	373.87	20.33	261.16	122.37	372.23
lncRNA_176	Porites_evermani_scaffold_104	291675	293189	+	1515	385.71	20.00	261.66	120.04	381.39
lncRNA_177	Porites_evermani_scaffold_104	291679	292910	+	1232	370.21	20.00	261.16	116.04	365.89
lncRNA_178	Porites_evermani_scaffold_104	292040	293189	+	1150	223.96	11.67	137	65.54	230.73
lncRNA_179	Porites_evermani_scaffold_104	333337	333691	+	355	6	8	24	20.50	41.50
lncRNA_180	Porites_evermani_scaffold_1040	85874	86425	+	552	66	42	19	9	12
lncRNA_181	Porites_evermani_scaffold_1041	107620	112502	+	4883	130.33	38	217.33	90.25	160.33
lncRNA_182	Porites_evermani_scaffold_1042	98407	100080	+	1674	67	15	444	321	215
lncRNA_183	Porites_evermani_scaffold_1043	80023	84147	+	4125	28	0	34	0	21
lncRNA_184	Porites_evermani_scaffold_1043	4732	4995	+	264	0	0	32	0	0
lncRNA_185	Porites_evermani_scaffold_1043	16514	16719	+	206	0	0	28	0	0
lncRNA_186	Porites_evermani_scaffold_1043	106261	106573	+	313	5	0	30	0	0
lncRNA_187	Porites_evermani_scaffold_1044	5766	6100	+	335	88	43	151	88	153
lncRNA_188	Porites_evermani_scaffold_1045	6788	7036	+	249	1.00	1.20	29.20	0	2.60
lncRNA_189	Porites_evermani_scaffold_1045	35074	35347	+	274	15	0	44	9	5
lncRNA_190	Porites_evermani_scaffold_1046	140883	141357	+	475	7.50	14	60	18	24.50
lncRNA_191	Porites_evermani_scaffold_1046	32305	32697	+	393	2	2	56	11	4
lncRNA_192	Porites_evermani_scaffold_1046	137142	139652	+	2511	105	61	695	70	169
lncRNA_193	Porites_evermani_scaffold_1047	94665	95099	+	435	165.67	78.17	275.00	44.50	168.17
lncRNA_194	Porites_evermani_scaffold_1047	131727	132017	+	291	2	0	26	1	0
lncRNA_195	Porites_evermani_scaffold_1048	101764	104222	+	2459	476	206	703	605	1865
lncRNA_196	Porites_evermani_scaffold_1048	83848	84156	+	309	0.73	1.33	0.33	1.53	53.88
lncRNA_197	Porites_evermani_scaffold_105	76485	76960	+	476	11	2	1	4	33
lncRNA_198	Porites_evermani_scaffold_105	92403	93034	+	632	191	142	139	113	320
lncRNA_199	Porites_evermani_scaffold_105	407245	407681	+	437	451	120	82	167	653
lncRNA_200	Porites_evermani_scaffold_105	299053	299421	+	369	2.50	1	19.33	0.67	29.48
lncRNA_201	Porites_evermani_scaffold_105	371947	373080	+	1134	24	18	305	42	67
lncRNA_202	Porites_evermani_scaffold_105	404100	404355	+	256	0	0	30	0	3
lncRNA_203	Porites_evermani_scaffold_1050	53161	53457	+	297	16.40	20.33	52	1	8.50
lncRNA_204	Porites_evermani_scaffold_1050	71002	71300	+	299	52.50	12.50	44	31.83	92.67
lncRNA_205	Porites_evermani_scaffold_1050	76629	77019	+	391	43.33	1.50	104.50	15	64.50
lncRNA_206	Porites_evermani_scaffold_1051	69644	74798	+	5155	406.58	236.95	669.90	347.78	446.25
lncRNA_207	Porites_evermani_scaffold_1051	97099	98408	+	1310	13.25	16.75	119.50	88.50	35.00
lncRNA_208	Porites_evermani_scaffold_1051	97391	98408	+	1018	10.25	11.75	69.50	40.50	13
lncRNA_209	Porites_evermani_scaffold_1052	25351	28157	+	2807	247	73	100	436	728
lncRNA_210	Porites_evermani_scaffold_1052	87087	88359	+	1273	0	3	68	13	4
lncRNA_211	Porites_evermani_scaffold_1052	94154	95454	+	1301	243	32	276	88	167
lncRNA_212	Porites_evermani_scaffold_1052	37929	38201	+	273	6	0	28	0	0
lncRNA_213	Porites_evermani_scaffold_1052	47533	47946	+	414	0	0	42	3	1
lncRNA_214	Porites_evermani_scaffold_1052	77971	78276	+	306	5	0	43	0	0
lncRNA_215	Porites_evermani_scaffold_1052	80051	80311	+	261	4	0	42	0	7
lncRNA_216	Porites_evermani_scaffold_1053	90007	91955	+	1949	43	30	250	64	24
lncRNA_217	Porites_evermani_scaffold_1053	145205	148843	+	3639	745.86	15.17	524.05	262.61	625.63
lncRNA_218	Porites_evermani_scaffold_1053	56715	57547	+	833	590	1794	1520.50	470.50	1180
lncRNA_219	Porites_evermani_scaffold_1055	99286	104646	+	5361	5001.92	279.96	285.38	1135.53	1920.17
lncRNA_220	Porites_evermani_scaffold_1055	99306	106185	+	6880	11087.75	436.87	594.12	1246.86	3905.50
lncRNA_221	Porites_evermani_scaffold_1055	156743	158428	+	1686	60.33	12	349	0	48
lncRNA_222	Porites_evermani_scaffold_1056	86545	86837	+	293	0	71	169	0	1
lncRNA_223	Porites_evermani_scaffold_1057	156850	158113	+	1264	91	0	0	26	21
lncRNA_224	Porites_evermani_scaffold_1057	72067	72745	+	679	19.37	2.40	15.50	9.70	7.63
lncRNA_225	Porites_evermani_scaffold_1057	80649	80918	+	270	2	0	58	0	0
lncRNA_226	Porites_evermani_scaffold_1058	89298	89556	+	259	0	0	28	0	0
lncRNA_227	Porites_evermani_scaffold_1059	7879	10115	+	2237	6.20	58	65	5	42
lncRNA_228	Porites_evermani_scaffold_1059	132439	133252	+	814	11.70	10.50	49.50	11.00	26.75
lncRNA_229	Porites_evermani_scaffold_1059	1269	1570	+	302	8	1	44	2	22
lncRNA_230	Porites_evermani_scaffold_1059	18444	18792	+	349	5	4	33	2	0
lncRNA_231	Porites_evermani_scaffold_106	277668	300729	+	23062	4444.59	2496.58	4988.49	2524.25	8203.57
lncRNA_232	Porites_evermani_scaffold_106	288021	300729	+	12709	4086.16	2347.25	4675.65	2311.58	7604.64
lncRNA_233	Porites_evermani_scaffold_106	340475	342743	+	2269	103.00	49.50	94.50	83.25	82.00
lncRNA_234	Porites_evermani_scaffold_106	340539	342743	+	2205	100.00	49.50	94.50	82.25	80.00
lncRNA_235	Porites_evermani_scaffold_106	143306	151344	+	8039	32.33	14.00	124.50	2.00	26.50
lncRNA_236	Porites_evermani_scaffold_106	152434	154284	+	1851	28.50	3	75.00	3	30.67
lncRNA_237	Porites_evermani_scaffold_106	22127	22958	+	832	138.60	22.60	2	0	5.40
lncRNA_238	Porites_evermani_scaffold_106	57025	57225	+	201	4	0	38	0	0
lncRNA_239	Porites_evermani_scaffold_106	73805	74031	+	227	10	0	40	0	6
lncRNA_240	Porites_evermani_scaffold_106	97983	99677	+	1695	34	40	47.20	11	227
lncRNA_241	Porites_evermani_scaffold_106	263206	265208	+	2003	180	149.50	304	249.50	245
lncRNA_242	Porites_evermani_scaffold_106	459704	460046	+	343	35.50	2	7	0	3
lncRNA_243	Porites_evermani_scaffold_106	518941	519182	+	242	16.50	0	74	2.50	4
lncRNA_244	Porites_evermani_scaffold_1060	98881	127055	+	28175	816.10	201.60	1600.50	837.27	1228.65
lncRNA_245	Porites_evermani_scaffold_1060	99286	126707	+	27422	374.10	125.60	714.50	483.27	506.65
lncRNA_246	Porites_evermani_scaffold_1061	130478	140901	+	10424	44.50	9.50	65.50	76.50	86.50
