# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "../output/01.6-Ptuh-lncRNA-pipeline/Ptuh_lncRNA_for_fc.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam
lncRNA_047	Pocillopora_meandrina_HIv1___Sc0000000	3921675	3924741	+	3067	8	18	12	72.50	20
lncRNA_048	Pocillopora_meandrina_HIv1___Sc0000000	4024777	4025435	+	659	97	18	36	69	46.33
lncRNA_049	Pocillopora_meandrina_HIv1___Sc0000000	4204839	4207113	+	2275	212	543	164	344	319
lncRNA_050	Pocillopora_meandrina_HIv1___Sc0000000	4588557	4594516	+	5960	21	24.33	72.17	88.37	26.45
lncRNA_051	Pocillopora_meandrina_HIv1___Sc0000000	4598832	4599768	+	937	0	53	68	22	45
lncRNA_052	Pocillopora_meandrina_HIv1___Sc0000000	4637653	4638343	+	691	0	6	40	52.50	0
lncRNA_053	Pocillopora_meandrina_HIv1___Sc0000000	4661180	4661760	+	581	0	38	47	27	0
lncRNA_054	Pocillopora_meandrina_HIv1___Sc0000000	5011202	5012520	+	1319	77.04	56.63	70.13	60.53	48.62
lncRNA_055	Pocillopora_meandrina_HIv1___Sc0000000	5126397	5129291	+	2895	0	49	0	50	70
lncRNA_056	Pocillopora_meandrina_HIv1___Sc0000000	5291310	5291782	+	473	96.61	25.05	2	39.50	0
lncRNA_057	Pocillopora_meandrina_HIv1___Sc0000000	5327899	5331180	+	3282	926	587	1504	791	816
lncRNA_058	Pocillopora_meandrina_HIv1___Sc0000000	5506434	5507897	+	1464	40	206	174	85	82
lncRNA_059	Pocillopora_meandrina_HIv1___Sc0000000	5635007	5637653	+	2647	76.53	82.75	197.25	105.01	127
lncRNA_060	Pocillopora_meandrina_HIv1___Sc0000000	5650738	5651750	+	1013	4.08	14.78	17.10	51.14	11.25
lncRNA_061	Pocillopora_meandrina_HIv1___Sc0000000	5658609	5666296	+	7688	19.07	19.45	24.25	91.78	10.38
lncRNA_062	Pocillopora_meandrina_HIv1___Sc0000000	5688021	5696036	+	8016	9.26	30.89	43.61	108.77	23.99
lncRNA_063	Pocillopora_meandrina_HIv1___Sc0000000	5695778	5703740	+	7963	28.43	30.73	64.63	126.92	25.08
lncRNA_064	Pocillopora_meandrina_HIv1___Sc0000000	5701368	5702426	+	1059	6.83	3.83	8.24	12.28	4.33
lncRNA_065	Pocillopora_meandrina_HIv1___Sc0000000	5708269	5720970	+	12702	40.08	128.45	87.89	86.16	16.32
lncRNA_066	Pocillopora_meandrina_HIv1___Sc0000000	5709502	5714513	+	5012	24.99	71.19	37.61	36.43	9.49
lncRNA_067	Pocillopora_meandrina_HIv1___Sc0000000	5732540	5738118	+	5579	10	46.67	30.50	99.33	12.33
lncRNA_068	Pocillopora_meandrina_HIv1___Sc0000000	5732856	5738278	+	5423	10	52.00	30.50	127.33	6.33
lncRNA_069	Pocillopora_meandrina_HIv1___Sc0000000	5904680	5905046	+	367	1	69	57	8	29
lncRNA_070	Pocillopora_meandrina_HIv1___Sc0000000	5945002	5952102	+	7101	339.99	504.41	405.49	381.38	309.33
lncRNA_071	Pocillopora_meandrina_HIv1___Sc0000000	5945097	5952102	+	7006	339.99	500.16	404.99	374.38	309.33
lncRNA_072	Pocillopora_meandrina_HIv1___Sc0000000	6031697	6034798	+	3102	1942	273	1809	959	607
lncRNA_073	Pocillopora_meandrina_HIv1___Sc0000000	6042793	6043084	+	292	34.41	0	12.12	2.07	1
lncRNA_074	Pocillopora_meandrina_HIv1___Sc0000000	6435294	6443412	+	8119	310	571	553	439.67	500
lncRNA_075	Pocillopora_meandrina_HIv1___Sc0000000	6619457	6620509	+	1053	455	217	435	268	377
lncRNA_076	Pocillopora_meandrina_HIv1___Sc0000000	6877173	6881746	+	4574	59	21	17	21.50	2.50
lncRNA_077	Pocillopora_meandrina_HIv1___Sc0000000	6937320	6938200	+	881	43.33	83.33	40.50	47.00	6.50
lncRNA_078	Pocillopora_meandrina_HIv1___Sc0000000	7198341	7198627	+	287	4	0	0	24	0
lncRNA_079	Pocillopora_meandrina_HIv1___Sc0000000	7255092	7256199	+	1108	51.33	19.94	60.74	77.88	29.35
lncRNA_080	Pocillopora_meandrina_HIv1___Sc0000000	7325304	7325560	+	257	0	0	1.67	0	16.17
lncRNA_081	Pocillopora_meandrina_HIv1___Sc0000000	7326134	7326559	+	426	5	0	0	0	37.00
lncRNA_082	Pocillopora_meandrina_HIv1___Sc0000000	7333843	7340649	+	6807	13.00	23.54	47.28	31.32	89.32
lncRNA_083	Pocillopora_meandrina_HIv1___Sc0000000	7390468	7391477	+	1010	2.67	36.37	50.50	76.62	20.50
lncRNA_084	Pocillopora_meandrina_HIv1___Sc0000000	7515606	7517858	+	2253	42.65	40.31	16.25	7.73	60.32
lncRNA_085	Pocillopora_meandrina_HIv1___Sc0000000	7628792	7629210	+	419	1	1.50	0	51.00	26
lncRNA_086	Pocillopora_meandrina_HIv1___Sc0000000	7753022	7755908	+	2887	77.35	78.71	87.05	68.12	151.95
lncRNA_087	Pocillopora_meandrina_HIv1___Sc0000000	7771343	7771663	+	321	0	12	0	0	15
lncRNA_088	Pocillopora_meandrina_HIv1___Sc0000000	7772315	7773700	+	1386	34.50	133.67	4	5	91.50
lncRNA_089	Pocillopora_meandrina_HIv1___Sc0000000	8200223	8201005	+	783	218.75	96.73	195.75	113.25	73.58
lncRNA_090	Pocillopora_meandrina_HIv1___Sc0000000	8209963	8214545	+	4583	625.63	275.27	562.37	295.04	224.25
lncRNA_091	Pocillopora_meandrina_HIv1___Sc0000000	8134203	8135450	+	1248	36	88	64	58	77
lncRNA_092	Pocillopora_meandrina_HIv1___Sc0000000	8285609	8286466	+	858	48.33	55.63	88.29	62.22	35.75
lncRNA_093	Pocillopora_meandrina_HIv1___Sc0000000	8285617	8289662	+	4046	147.83	171.33	241.79	173.47	125.58
lncRNA_094	Pocillopora_meandrina_HIv1___Sc0000000	8308881	8312289	+	3409	381.77	230.25	833.75	378.00	30.77
lncRNA_095	Pocillopora_meandrina_HIv1___Sc0000000	8414779	8415385	+	607	155	60	191	77	136
lncRNA_096	Pocillopora_meandrina_HIv1___Sc0000000	8603364	8605920	+	2557	103	177	479.33	551	204
lncRNA_097	Pocillopora_meandrina_HIv1___Sc0000000	8788920	8790694	+	1775	121.98	80.41	54.33	118.58	81.61
lncRNA_098	Pocillopora_meandrina_HIv1___Sc0000000	8788937	8789734	+	798	77.52	50.25	39.33	93.58	43.59
lncRNA_099	Pocillopora_meandrina_HIv1___Sc0000000	8788961	8789734	+	774	76.02	50.25	39.33	92.58	43.59
lncRNA_100	Pocillopora_meandrina_HIv1___Sc0000000	8790203	8790829	+	627	47.74	30.17	12.17	40.33	47.61
lncRNA_101	Pocillopora_meandrina_HIv1___Sc0000000	8934276	8945136	+	10861	90.11	102.33	69.31	130.64	129.77
lncRNA_102	Pocillopora_meandrina_HIv1___Sc0000000	9060946	9065445	+	4500	34.86	38.95	42.88	16.98	35.35
lncRNA_103	Pocillopora_meandrina_HIv1___Sc0000000	9083766	9084358	+	593	81	24.33	112.62	299.22	59.27
lncRNA_104	Pocillopora_meandrina_HIv1___Sc0000000	9131228	9132057	+	830	189	158	73	58	108
lncRNA_105	Pocillopora_meandrina_HIv1___Sc0000000	9212037	9215281	+	3245	162.00	242.17	240.71	125.83	108.83
lncRNA_106	Pocillopora_meandrina_HIv1___Sc0000000	9252610	9259584	+	6975	565.09	215.04	354.09	155.19	265.59
lncRNA_107	Pocillopora_meandrina_HIv1___Sc0000000	9406473	9409610	+	3138	651.33	500.33	590.66	1257.06	600.66
lncRNA_108	Pocillopora_meandrina_HIv1___Sc0000000	9421432	9422169	+	738	10.65	7.45	82.32	9.03	94.18
lncRNA_109	Pocillopora_meandrina_HIv1___Sc0000000	9460120	9468105	+	7986	635	299	375.50	603	472
lncRNA_110	Pocillopora_meandrina_HIv1___Sc0000000	9579558	9582249	+	2692	106.50	201.50	102	1247.33	401.50
lncRNA_111	Pocillopora_meandrina_HIv1___Sc0000000	9887778	9888045	+	268	12	27	18	4	7.00
lncRNA_112	Pocillopora_meandrina_HIv1___Sc0000000	9889784	9891175	+	1392	60	119	758	38	27
lncRNA_113	Pocillopora_meandrina_HIv1___Sc0000000	10329622	10331775	+	2154	0	12	0	26	0
lncRNA_114	Pocillopora_meandrina_HIv1___Sc0000000	10360246	10362419	+	2174	81.61	204.83	65.21	156.32	90.01
lncRNA_115	Pocillopora_meandrina_HIv1___Sc0000000	10360339	10362419	+	2081	81.61	202.83	65.21	156.32	90.01
lncRNA_116	Pocillopora_meandrina_HIv1___Sc0000000	10360388	10361766	+	1379	66.78	129.72	54.99	145.91	76.26
lncRNA_117	Pocillopora_meandrina_HIv1___Sc0000000	10360400	10362419	+	2020	81.61	202.83	65.14	153.32	90.01
lncRNA_118	Pocillopora_meandrina_HIv1___Sc0000000	11223476	11224394	+	919	28	9	70	23	14
lncRNA_119	Pocillopora_meandrina_HIv1___Sc0000000	11864487	11865244	+	758	10	0	42	57	0
lncRNA_120	Pocillopora_meandrina_HIv1___Sc0000000	11888733	11889138	+	406	172	17.25	23	116.83	9.33
lncRNA_121	Pocillopora_meandrina_HIv1___Sc0000000	12115439	12115882	+	444	36	41.33	2.50	10.33	6
lncRNA_122	Pocillopora_meandrina_HIv1___Sc0000000	12449387	12472620	+	23234	586.47	135.27	154.03	301.71	75.83
lncRNA_123	Pocillopora_meandrina_HIv1___Sc0000000	12570299	12571194	+	896	281	117	1	0	0
lncRNA_124	Pocillopora_meandrina_HIv1___Sc0000000	12691109	12693819	+	2711	52.47	12.10	15.07	109.07	1.83
lncRNA_125	Pocillopora_meandrina_HIv1___Sc0000000	12706150	12708458	+	2309	149.61	78.23	16.96	5.67	13.42
lncRNA_126	Pocillopora_meandrina_HIv1___Sc0000000	12718310	12718796	+	487	28.50	4	59.50	79.50	29.50
lncRNA_127	Pocillopora_meandrina_HIv1___Sc0000000	13189376	13190820	+	1445	94.07	13.32	57.43	57.81	11.16
lncRNA_128	Pocillopora_meandrina_HIv1___Sc0000000	13270171	13271825	+	1655	51	15	7	657	40
lncRNA_129	Pocillopora_meandrina_HIv1___Sc0000000	13305001	13305592	+	592	44.19	16.10	6.66	46.63	0
lncRNA_130	Pocillopora_meandrina_HIv1___Sc0000000	13367951	13380740	+	12790	150	343.62	172.75	206.00	183
lncRNA_131	Pocillopora_meandrina_HIv1___Sc0000000	13467624	13468774	+	1151	26.37	32.50	96.10	42.67	85.59
lncRNA_132	Pocillopora_meandrina_HIv1___Sc0000000	13545781	13548900	+	3120	32	70.18	9.21	55.14	11.50
lncRNA_133	Pocillopora_meandrina_HIv1___Sc0000000	13563201	13564908	+	1708	189.30	23.47	9.32	157.25	2.80
lncRNA_134	Pocillopora_meandrina_HIv1___Sc0000000	13637792	13638344	+	553	35.80	9.74	29.27	3.08	19.43
lncRNA_135	Pocillopora_meandrina_HIv1___Sc0000000	13651135	13654120	+	2986	10.50	45.58	45	57.00	23.50
lncRNA_136	Pocillopora_meandrina_HIv1___Sc0000000	13670738	13672111	+	1374	52.72	53.63	22.96	195.31	390.63
lncRNA_137	Pocillopora_meandrina_HIv1___Sc0000000	13775134	13776062	+	929	15.37	82.45	58.87	32.82	17.40
lncRNA_138	Pocillopora_meandrina_HIv1___Sc0000000	13795532	13800913	+	5382	189.26	115.44	261.13	163.56	160.27
lncRNA_139	Pocillopora_meandrina_HIv1___Sc0000000	13796548	13798819	+	2272	98.52	44.13	148.76	84.39	62.73
lncRNA_140	Pocillopora_meandrina_HIv1___Sc0000000	13796578	13800913	+	4336	144.27	98.42	206.63	113.37	136.17
lncRNA_141	Pocillopora_meandrina_HIv1___Sc0000000	13798657	13800913	+	2257	77.67	67.57	105.69	55.75	105.71
lncRNA_142	Pocillopora_meandrina_HIv1___Sc0000000	13808182	13809880	+	1699	0	2.00	0	17.17	3
lncRNA_143	Pocillopora_meandrina_HIv1___Sc0000000	13900288	13902208	+	1921	10.58	93.64	60.47	23.33	49.99
lncRNA_144	Pocillopora_meandrina_HIv1___Sc0000000	13923752	13924397	+	646	9.00	22.07	29.78	24.25	42.82
lncRNA_145	Pocillopora_meandrina_HIv1___Sc0000000	14035025	14036553	+	1529	1.08	15.89	32.43	14.27	41.18
lncRNA_146	Pocillopora_meandrina_HIv1___Sc0000000	14114319	14116418	+	2100	27.06	46.51	55.58	47.79	70.98
lncRNA_147	Pocillopora_meandrina_HIv1___Sc0000000	14130935	14132750	+	1816	35.24	82.29	55.87	29.03	50.47
lncRNA_148	Pocillopora_meandrina_HIv1___Sc0000000	14197857	14201074	+	3218	52.03	75.76	87.46	84.51	134.23
lncRNA_149	Pocillopora_meandrina_HIv1___Sc0000000	14264604	14268767	+	4164	27.42	39.59	61.14	97.63	77.82
lncRNA_150	Pocillopora_meandrina_HIv1___Sc0000000	14282541	14282791	+	251	8.13	19.10	10.50	11.83	5.30
lncRNA_151	Pocillopora_meandrina_HIv1___Sc0000000	14286225	14286463	+	239	1	0	53.32	1.29	12.61
lncRNA_152	Pocillopora_meandrina_HIv1___Sc0000000	14311522	14312472	+	951	0	0	0	0	76
lncRNA_153	Pocillopora_meandrina_HIv1___Sc0000000	14343529	14344341	+	813	31.12	59.02	48.36	24.40	4.50
lncRNA_154	Pocillopora_meandrina_HIv1___Sc0000000	14360477	14360770	+	294	0	6.98	22.36	21.15	0
lncRNA_155	Pocillopora_meandrina_HIv1___Sc0000000	14442006	14442610	+	605	15	3.50	71.27	18.50	0.50
lncRNA_156	Pocillopora_meandrina_HIv1___Sc0000000	14419578	14420297	+	720	9.57	31.30	29.97	1.50	4.50
lncRNA_157	Pocillopora_meandrina_HIv1___Sc0000000	14446074	14446590	+	517	6.60	14.07	44.91	20.27	5
lncRNA_158	Pocillopora_meandrina_HIv1___Sc0000000	14472312	14473475	+	1164	15.03	48.32	49.37	26.13	3.30
lncRNA_159	Pocillopora_meandrina_HIv1___Sc0000000	14487026	14487875	+	850	0	10.50	4	26	76
lncRNA_160	Pocillopora_meandrina_HIv1___Sc0000000	14514871	14516980	+	2110	54.30	43.84	298.07	44.97	16.90
lncRNA_161	Pocillopora_meandrina_HIv1___Sc0000000	14516088	14518328	+	2241	44.33	29.01	280.31	33.87	11.77
lncRNA_162	Pocillopora_meandrina_HIv1___Sc0000000	14530775	14532537	+	1763	15.83	41.25	31.87	43.08	91.88
lncRNA_163	Pocillopora_meandrina_HIv1___Sc0000000	14562745	14565939	+	3195	39.61	57.47	67.54	76.14	94.91
lncRNA_164	Pocillopora_meandrina_HIv1___Sc0000000	14599136	14600432	+	1297	25.47	93.33	177.45	101.08	187.07
lncRNA_165	Pocillopora_meandrina_HIv1___Sc0000000	14611607	14612633	+	1027	35.25	4	23	30.23	16.21
lncRNA_166	Pocillopora_meandrina_HIv1___Sc0000000	14632848	14635002	+	2155	23	117.53	7.50	18.50	9
lncRNA_167	Pocillopora_meandrina_HIv1___Sc0000000	14647532	14648090	+	559	9.19	8.08	1.60	5.55	36.87
lncRNA_168	Pocillopora_meandrina_HIv1___Sc0000000	14649013	14649822	+	810	18.40	41.07	13.20	5.83	87.83
lncRNA_169	Pocillopora_meandrina_HIv1___Sc0000000	14710164	14711291	+	1128	24.42	48.87	42.82	19.84	1.60
lncRNA_170	Pocillopora_meandrina_HIv1___Sc0000000	14786025	14789004	+	2980	106.02	97.03	66.24	37.75	12.07
lncRNA_171	Pocillopora_meandrina_HIv1___Sc0000000	14846057	14847993	+	1937	74.48	22.67	34.60	44.16	47.66
lncRNA_172	Pocillopora_meandrina_HIv1___Sc0000000	14943335	14944516	+	1182	36.31	20.21	69.15	23.94	11.60
lncRNA_173	Pocillopora_meandrina_HIv1___Sc0000000	15370976	15372042	+	1067	86	6	63	92	13
lncRNA_174	Pocillopora_meandrina_HIv1___Sc0000000	15386327	15392287	+	5961	133	888.50	132.00	94.50	127.50
lncRNA_175	Pocillopora_meandrina_HIv1___Sc0000000	15389160	15392287	+	3128	69	789.50	59.00	48.50	96.50
lncRNA_176	Pocillopora_meandrina_HIv1___Sc0000000	15411326	15418397	+	7072	291.77	97.25	272.48	233.17	133.36
lncRNA_177	Pocillopora_meandrina_HIv1___Sc0000000	15415027	15418397	+	3371	179.94	50.17	164.90	116.63	114.80
lncRNA_178	Pocillopora_meandrina_HIv1___Sc0000000	15433241	15433826	+	586	0	6	68	29	11
lncRNA_179	Pocillopora_meandrina_HIv1___Sc0000000	15479083	15479418	+	336	55	33	0	0	0
lncRNA_180	Pocillopora_meandrina_HIv1___Sc0000000	15695107	15695427	+	321	12.83	22.50	0	16.50	25
lncRNA_181	Pocillopora_meandrina_HIv1___Sc0000000	16097459	16097673	+	215	24	21	18	7.50	6
lncRNA_182	Pocillopora_meandrina_HIv1___Sc0000000	16099064	16099374	+	311	8	22	14	67	0
lncRNA_183	Pocillopora_meandrina_HIv1___Sc0000000	16255298	16255623	+	326	0	5	42	2	27
lncRNA_184	Pocillopora_meandrina_HIv1___Sc0000000	16313102	16313991	+	890	171.53	44.25	163.40	126.50	62.67
lncRNA_185	Pocillopora_meandrina_HIv1___Sc0000000	16329070	16349049	+	19980	675.10	38.10	249.42	71.50	170.79
lncRNA_186	Pocillopora_meandrina_HIv1___Sc0000000	16329092	16343128	+	14037	644.66	30.43	216.00	54.70	167.06
lncRNA_187	Pocillopora_meandrina_HIv1___Sc0000000	16329094	16350465	+	21372	709.73	46.55	269.75	96.55	213.46
lncRNA_188	Pocillopora_meandrina_HIv1___Sc0000000	16341557	16349983	+	8427	93.41	18.87	54.72	46.50	6.58
lncRNA_189	Pocillopora_meandrina_HIv1___Sc0000000	16341557	16350465	+	8909	129.57	30.22	69.26	55.90	71.79
lncRNA_190	Pocillopora_meandrina_HIv1___Sc0000000	16346389	16349636	+	3248	48.74	8.37	36.66	34.38	3.10
lncRNA_191	Pocillopora_meandrina_HIv1___Sc0000000	16524406	16524917	+	512	64	6	50	34	5
lncRNA_192	Pocillopora_meandrina_HIv1___Sc0000000	16811030	16817926	+	6897	2.00	25.17	42.00	29	16.20
lncRNA_193	Pocillopora_meandrina_HIv1___Sc0000000	16890244	16893298	+	3055	10	25	92	33	40
lncRNA_194	Pocillopora_meandrina_HIv1___Sc0000000	17405133	17409115	+	3983	204.15	66.45	515.90	109.58	50.42
lncRNA_195	Pocillopora_meandrina_HIv1___Sc0000000	17407395	17409115	+	1721	102.15	57.45	272.90	72.58	31.42
lncRNA_196	Pocillopora_meandrina_HIv1___Sc0000000	17554339	17573143	+	18805	910.21	2324.43	742.89	1631.30	1137.36
lncRNA_197	Pocillopora_meandrina_HIv1___Sc0000000	17663470	17664151	+	682	38	79	65	68	97
lncRNA_198	Pocillopora_meandrina_HIv1___Sc0000000	17709116	17712468	+	3353	38	21	31.50	22.50	50.50
lncRNA_199	Pocillopora_meandrina_HIv1___Sc0000000	17710753	17712468	+	1716	37	9	25.50	16.50	43.50
lncRNA_200	Pocillopora_meandrina_HIv1___Sc0000000	17902835	17904172	+	1338	691	833	282	863	419
lncRNA_201	Pocillopora_meandrina_HIv1___Sc0000000	18039710	18040963	+	1254	500	750	516	967	1373
lncRNA_202	Pocillopora_meandrina_HIv1___Sc0000000	18139370	18139693	+	324	9.50	13.50	0	15.50	18.50
lncRNA_203	Pocillopora_meandrina_HIv1___Sc0000000	18353877	18393987	+	40111	791.67	572	750.75	757.50	646.75
lncRNA_204	Pocillopora_meandrina_HIv1___Sc0000000	18584295	18584588	+	294	0	40	0	0	118
lncRNA_205	Pocillopora_meandrina_HIv1___Sc0000000	18584751	18585578	+	828	10	173.77	37.30	74.57	42.02
lncRNA_206	Pocillopora_meandrina_HIv1___Sc0000000	18917960	18919836	+	1877	0	12	16	31	0
